[5.18818343 9.72521154],[2.29865939 3.15800507],[3.60074917 0.77401828],[-1.25441543 -1.64443555],[2.83000675 1.43852389],[-1.04306478 -2.07037727],[1.28748032 2.35983346],[ 4.97823012 -1.66414519],[8.98020562 9.40374132],[ 2.52410385 -3.58108496],[6.63480924 9.11717197],[0.9601452  4.94643747],[0.50804604 4.1349414 ],[2.9019443  4.42861109],[1.7973439  4.94063192],[4.06702532 1.59367236],[7.10768678 2.5348756 ],[-0.34100447  4.40247429],[3.25598231 3.80844465],[-2.12081176  0.96790426],[1.32839887 5.45361583],[-3.48922678  3.72869517],[1.33397981 5.95132619],[ 0.55444652 -3.65335034],[9.03920939 6.52494055],[ 2.83383569 -4.0815824 ],[2.0374908  8.16500166],[-1.44454705 -3.14185865],[6.72493135 4.95543001],[ 0.34040687 -4.43932873],[0.55856333 1.01387883],[-4.88671683  1.20362776],[5.84694808 2.0485424 ],[-3.83850622  1.62560255],[4.73734328 8.38926978],[ 3.2019166  -1.70099511],[8.0846335  2.31490358],[4.87650168 1.91182345],[6.41506374 7.87296559],[4.48859845 4.32202647],[2.83604579 9.92945014],[-0.40900636 -4.52634101],[1.97369916 3.21344036],[-4.57513412  2.0071407 ],[2.19528717 0.07008058],[-1.85006603  0.19642513],[4.71052176 0.32650757],[-4.33041855 -1.11017702],[6.70054578 4.55246751],[-4.17001369  0.92445449],[1.80300671 1.4773385 ],[-4.90118583  0.76815755],[8.10674152 0.40062785],[ 2.42654505 -0.61939835],[4.99838515 2.90491985],[ 1.58740466 -4.84255661],[7.24183155 6.87324572],[0.25726831 0.59363978],[3.94069178 8.57011083],[ 2.28272093 -4.6646093 ],[1.73618993 6.55221559],[-3.48196134  1.2937288 ],[2.57857206 7.80412865],[-4.88184844  2.9327118 ]
[5.49049383 3.23786734],[-1.06698663 -0.18935966],[4.19326974 6.73895974],[1.03272539 0.07309381],[3.59910597 6.49124507],[0.98326356 0.3602664 ],[4.04053606 6.572102  ],[-0.97704101 -0.31633778],[3.77810652 3.12112455],[-0.80969955  0.69758341],[2.60496535 4.03285216],[ 0.47488513 -0.91208287],[5.30578657 2.95811365],[-0.91855035 -0.39138437],[4.17965107 2.74076231],[-0.97452592  0.19049646],[2.81784663 4.25003277],[ 0.19822228 -0.95928487],[6.64498119 4.92089544],[ 0.06962604 -0.98276327],[6.46957616 3.94056324],[-0.51530768 -0.87310529],[5.54824098 6.47618714],[-0.89875674  0.47742111],[2.76149568 4.14170406],[-0.14685515  1.04345459],[6.51446716 5.03368083],[-0.17528333  0.99909645],[3.33547848 6.19073679],[0.77311936 0.65904877],[5.41555256 6.56794305],[ 0.86051494 -0.56234156],[5.41720713 6.4121378 ],[ 0.90929449 -0.33134003],[2.71445082 4.23635609],[-0.21052088  1.00908013],[3.24093858 6.13292996],[-0.61383806 -0.84703092],[4.53905371 2.94064894],[-1.01991599  0.33195916],[5.69147509 3.29401728],[0.81647872 0.56061511],[6.60019553 4.73218549],[-0.08383471 -1.00264658],[5.14737711 6.64150295],[ 0.94692808 -0.39836737],[4.86456701 6.68435852],[ 0.99329528 -0.18757326],[2.64912993 3.71218377],[ 0.11097421 -0.8634325 ],[5.98653586 6.10125429],[ 0.63031327 -0.79744721],[5.4874117  6.36627869],[-1.09153653  0.13502664],[2.82130203 5.61923268],[0.62549648 0.85274654],[3.34723707 3.31851584],[ 0.81327897 -0.59885315],[2.78860387 4.06943961],[-0.38792396  0.93163325],[6.05874972 3.40482021],[0.56851559 0.86211633],[5.62437829 2.96919663],[0.78733895 0.65643839]
[5.43705268 3.22889585],[-1.07035315 -0.16935921],[4.24489471 6.74197755],[1.0322654  0.04775465],[3.64849388 6.50874013],[0.99155571 0.33898363],[3.99184853 6.55568988],[-0.96995338 -0.33965454],[3.73802998 3.15642466],[-0.79235535  0.71529569],[2.62915656 3.98743805],[ 0.49153882 -0.90548213],[5.25964762 2.93914946],[-0.92749849 -0.36778   ],[4.1310987 2.7510079],[-0.96664207  0.22013208],[2.82840435 4.20229173],[ 0.22432743 -0.95001514],[6.64783895 4.87172167],[ 0.0449209 -0.9838744],[6.44315374 3.89713935],[-0.54265211 -0.86491163],[5.50298003 6.49945668],[-0.910937    0.45399188],[2.75464941 4.19385591],[-0.12727338  1.04236718],[6.50504454 5.08347645],[-0.19999675  0.99415155],[3.37447292 6.22322064],[0.78695805 0.64068294],[5.45823076 6.53930765],[ 0.84680276 -0.58272682],[5.46244165 6.39501697],[ 0.89972467 -0.35371407],[2.70460737 4.28699341],[-0.18539695  1.01415262],[3.21068703 6.09022452],[-0.59854412 -0.86336897],[4.48824413 2.95775257],[-1.01134833  0.35316654],[5.73182244 3.32239751],[0.7983583  0.57547251],[6.59527473 4.68201386],[-0.11123489 -1.00241165],[5.19444604 6.62102071],[ 0.93351551 -0.42313296],[4.91417152 6.67447127],[ 0.99088466 -0.20772066],[2.65537932 3.66916565],[ 0.13607512 -0.86008971],[6.01756171 6.0610045 ],[ 0.61187493 -0.81126523],[5.43273426 6.37240768],[-1.09421017  0.11141044],[2.85295293 5.66141975],[0.64244136 0.83671166],[3.38824108 3.28904655],[ 0.82837486 -0.5783028 ],[2.76973631 4.11619529],[-0.36645325  0.93882492],[6.08662638 3.44826294],[0.54816132 0.87706618],[5.66325867 3.00245269],[0.76913747 0.67497901]
[5.38349642 3.22095921],[-1.07250578 -0.14885585],[4.29660868 6.74385742],[1.03499426 0.02633509],[3.6981835  6.52506875],[0.99569484 0.3139306 ],[3.94363721 6.53822652],[-0.95734423 -0.35767234],[3.69886187 3.1926322 ],[-0.77435537  0.73289299],[2.65426207 3.94246284],[ 0.5129025  -0.89315776],[5.21301427 2.9213086 ],[-0.93724466 -0.34541046],[4.08302799 2.76281122],[-0.95748899  0.25056168],[2.84018233 4.15493935],[ 0.2462303  -0.94452207],[6.64945311 4.82250016],[ 0.01984694 -0.98473549],[6.41542864 3.85419841],[-0.56467332 -0.8511159 ],[5.45721512 6.52163975],[-0.91913659  0.43376528],[2.74893386 4.24609569],[-0.09984878  1.04857854],[6.49450014 5.13311477],[-0.22144537  0.9914952 ],[3.414003   6.25463054],[0.79590889 0.61744045],[5.50024568 6.50969767],[ 0.8331242  -0.60219184],[5.50716794 6.37676208],[ 0.88889272 -0.37678931],[2.69589362 4.33774387],[-0.1625702   1.01642796],[3.18124574 6.04675784],[-0.57845297 -0.87454102],[4.43798684 2.97602582],[-1.00125379  0.37530963],[5.77142252 3.35168156],[0.78424331 0.5944436 ],[6.58908977 4.63197336],[-0.1357764  -0.99880944],[5.24078778 6.59925468],[ 0.92029062 -0.44724804],[4.9636297  6.66357352],[ 0.98743316 -0.22802396],[2.66284734 3.62628946],[ 0.16233575 -0.85517746],[6.04754326 6.01996252],[ 0.58824544 -0.82941416],[5.37803678 6.37745859],[-1.0929022   0.09143906],[2.88549096 5.70284642],[0.66006763 0.82140551],[3.43003444 3.26066166],[ 0.84213585 -0.55818104],[2.75194734 4.16329856],[-0.34500109  0.94533266],[6.11347158 3.49242897],[0.52612742 0.88992621],[5.70130518 3.03671022],[0.75418244 0.69670009]
[5.32979633 3.21399137],[-1.07490303 -0.12942734],[4.34835784 6.74458252],[1.03641124 0.00428914],[3.74801911 6.54008798],[0.99831948 0.28751463],[3.89607079 6.51987733],[-0.9456436  -0.37658525],[3.66054849 3.2296548 ],[-0.75694354  0.74912059],[2.68047045 3.89815837],[ 0.53675713 -0.87757123],[5.16592622 2.90460714],[-0.94506304 -0.3215605 ],[4.03519368 2.77589327],[-0.95570996  0.27262061],[2.85296796 4.10779201],[ 0.26617085 -0.9402003 ],[6.6496625  4.77310495],[-0.00945962 -0.98891865],[6.38671845 3.81206324],[-0.58363313 -0.8342718 ],[5.41115831 6.54291539],[-0.92341443  0.41693415],[2.74456957 4.29860024],[-0.07454234  1.051704  ],[6.48289961 5.18260958],[-0.24410473  0.98657568],[3.45424972 6.28514942],[0.81236623 0.60181496],[5.54154917 6.47910811],[ 0.8194365  -0.62080627],[5.55146189 6.35747995],[ 0.88121642 -0.39599922],[2.68844764 4.38871645],[-0.13708766  1.02059398],[3.15283522 6.00276391],[-0.55877818 -0.88591106],[4.38817026 2.9953222 ],[-0.99290744  0.39487536],[5.81027926 3.38187937],[0.77030559 0.61370311],[6.58173124 4.58217492],[-0.1595864  -0.99414336],[5.28645816 6.57628796],[ 0.90702902 -0.47078363],[5.0129663 6.6517356],[ 0.98537929 -0.24596276],[2.67155442 3.58359451],[ 0.18511493 -0.85331738],[6.07647835 5.97816972],[ 0.56832399 -0.84300718],[5.32336141 6.38146182],[-1.09175623  0.07102373],[2.919022   5.74361939],[0.67967603 0.80808479],[3.47252625 3.23331456],[ 0.85634731 -0.5367546 ],[2.73527121 4.21075034],[-0.32114886  0.95354079],[6.13933805 3.53734846],[0.50672613 0.90491193],[5.73858795 3.07203602],[0.73864499 0.71775709]
[5.27608474 3.20808832],[-1.07520178 -0.10848284],[4.40014382 6.74419167],[ 1.0349838  -0.01984522],[3.79802139 6.5538282 ],[1.00104376 0.26142752],[3.84915335 6.50064567],[-0.93382487 -0.39540675],[3.62310387 3.26746757],[-0.74025815  0.76384941],[2.70791785 3.85469569],[ 0.56111213 -0.86083012],[5.1185501  2.88919367],[-0.94961984 -0.29469876],[3.98751466 2.79011278],[-0.94921884  0.2981933 ],[2.86672604 4.06085738],[ 0.28584332 -0.93532975],[6.64849234 4.72360789],[-0.03828054 -0.99179685],[6.35700342 3.77071314],[-0.60449113 -0.81931783],[5.36473292 6.56318021],[-0.93237637  0.39476648],[2.74141764 4.35119092],[-0.0514154   1.05202776],[6.47011824 5.23179033],[-0.26830042  0.97933172],[3.49526723 6.3148394 ],[0.82734736 0.58489134],[5.58207701 6.44751784],[ 0.80304964 -0.64128532],[5.59534506 6.33722896],[ 0.87448999 -0.41348917],[2.68225938 4.43986365],[-0.111067    1.02458181],[3.12541838 5.95821842],[-0.53925366 -0.89716676],[4.3387944  3.01559808],[-0.98241227  0.4157398 ],[5.8484916  3.41309613],[0.75905554 0.63579161],[6.5732065  4.53264246],[-0.18285673 -0.98860865],[5.33147414 6.5521701 ],[ 0.89571239 -0.49167732],[5.06207854 6.63890082],[ 0.97815701 -0.2682575 ],[2.68152566 3.54113026],[ 0.21278966 -0.84612012],[6.10446665 5.93576603],[ 0.55051424 -0.85373148],[5.26881231 6.38451037],[-1.08994877  0.05119102],[2.9533498 5.7835448],[0.69528796 0.79086336],[3.51562719 3.20695744],[ 0.86965795 -0.51543921],[2.71981858 4.25862206],[-0.29719885  0.96099773],[6.16409674 3.58286884],[0.48269572 0.91486309],[5.77511105 3.10842883],[0.72060751 0.73618455]
[5.22228359 3.20313881],[-1.07620324 -0.08905076],[4.45180633 6.74255347],[ 1.03276485 -0.04429289],[3.8482223  6.56633283],[1.00724643 0.2391563 ],[3.80276524 6.48040548],[-0.92175469 -0.41421372],[3.58648913 3.30599335],[-0.72510103  0.77629229],[2.73648988 3.81199582],[ 0.58240435 -0.84636663],[5.07077813 2.87494578],[-0.95968467 -0.27383005],[3.94022763 2.80565668],[-0.94212974  0.32349389],[2.88160781 4.01432093],[ 0.30715349 -0.92825731],[6.64600115 4.67410592],[-0.06156273 -0.98845824],[6.32626608 3.7301316 ],[-0.62680619 -0.80580348],[5.31784964 6.58230711],[-0.9439689   0.36916774],[2.73950847 4.40386823],[-0.02544565  1.05452642],[6.45620444 5.28066562],[-0.28790793  0.97581871],[3.53692613 6.34357925],[0.83745194 0.56322526],[5.62188645 6.41502623],[ 0.7897958  -0.65776245],[5.63885534 6.31608884],[ 0.86551833 -0.43238777],[2.67719232 4.49101639],[-0.09125477  1.02194585],[3.09894208 5.91308265],[-0.51852953 -0.90688183],[4.28987478 3.03682833],[-0.97356456  0.43411669],[5.88599029 3.44526895],[0.74117178 0.65133859],[6.56339578 4.48327759],[-0.20859939 -0.98499249],[5.3759798  6.52708516],[ 0.88436854 -0.51170381],[5.11076505 6.62489974],[ 0.9705571  -0.29043144],[2.69285852 3.49901276],[ 0.24157104 -0.83744807],[6.1313897  5.89267193],[ 0.52922721 -0.86709669],[5.21431362 6.38652154],[-1.09086874  0.02832774],[2.98862309 5.82277568],[0.7154533  0.77825462],[3.55942788 3.18172296],[ 0.88102982 -0.49517106],[2.7056093  4.30689166],[-0.27155336  0.96929508],[6.18768904 3.62891401],[0.46239463 0.92817729],[5.81074383 3.14575035],[0.70475711 0.75662587]
[5.16845655 3.19916646],[-1.07650091 -0.0696272 ],[4.50328946 6.73963658],[ 1.02764894 -0.07120939],[3.89874622 6.57775206],[1.01305697 0.21712994],[3.75693918 6.45917899],[-0.9119169  -0.43546874],[3.55054123 3.34503233],[-0.71154764  0.78642597],[2.7662626  3.77017447],[ 0.60649062 -0.82836183],[5.02271842 2.8619465 ],[-0.96632956 -0.24991596],[3.89328346 2.8224297 ],[-0.9368466   0.34597205],[2.89750701 3.96810788],[ 0.32651183 -0.92240914],[6.64226056 4.62469803],[-0.08914924 -0.98889572],[6.29433749 3.6901526 ],[-0.6488517  -0.79193511],[5.27037234 6.60011323],[-0.95339553  0.34469755],[2.73881071 4.45656925],[-0.00170503  1.05422143],[6.44124905 5.32927896],[-0.30935667  0.96948752],[3.57910167 6.37124852],[0.84957651 0.54364555],[5.66098381 6.38168313],[ 0.77335575 -0.6765621 ],[5.68186514 6.29396955],[ 0.85645475 -0.45066797],[2.67312912 4.54204713],[-0.0698115   1.02074101],[3.07352976 5.86749491],[-0.49756868 -0.91613358],[4.24139317 3.05895142],[-0.96543989  0.45089488],[5.92266522 3.47829043],[0.72583657 0.66947398],[6.55233732 4.43414462],[-0.23421263 -0.9807783 ],[5.41992188 6.50102403],[ 0.87227522 -0.53163195],[5.15902664 6.60975991],[ 0.9598297 -0.3151732],[2.70559677 3.45730333],[ 0.26613484 -0.83261279],[6.15733348 5.84901327],[ 0.50984447 -0.87782202],[5.15980751 6.38741485],[-1.08983746  0.00693499],[3.02476059 5.86123421],[0.73127531 0.7613999 ],[3.60375896 3.15748211],[ 0.8918234 -0.474743 ],[2.69248898 4.35536729],[-0.25086294  0.97206964],[6.21020583 3.67555031],[0.43743892 0.93633359],[5.84553967 3.18404427],[0.68595767 0.77390242]
[5.11479822 3.19633855],[-1.07215174 -0.0458681 ],[4.55467642 6.73554815],[ 1.02667631 -0.09331272],[3.94960926 6.58813719],[1.01824882 0.19522789],[3.71163142 6.43690842],[-0.90152635 -0.45646707],[3.51533368 3.38462364],[-0.69427236  0.799598  ],[2.79712868 3.72916326],[ 0.62871653 -0.81137562],[4.97412495 2.84992079],[-0.97465183 -0.22855913],[3.84663194 2.84032566],[-0.93007362  0.36879817],[2.91437499 3.92220869],[ 0.34735658 -0.91429748],[6.63709935 4.57524797],[-0.11510296 -0.98686173],[6.26137852 3.65093875],[-0.6685548  -0.77574887],[5.22252137 6.6167745 ],[-0.96054435  0.3217686 ],[2.73923268 4.50917643],[0.01780405 1.04932507],[6.42515742 5.37749088],[-0.33333571  0.95984539],[3.62182257 6.39788096],[0.85901695 0.52148971],[5.69932391 6.34748576],[ 0.75931206 -0.69212811],[5.72443507 6.27096947],[ 0.84590815 -0.46963423],[2.67029656 4.59316069],[-0.04488494  1.02234802],[3.04909992 5.82138677],[-0.47763839 -0.9260761 ],[4.19337347 3.081948  ],[-0.95660878  0.46753856],[5.95855379 3.51220002],[0.71095381 0.68809522],[6.53991579 4.38515492],[-0.26276424 -0.97884313],[5.46324093 6.47396819],[ 0.86048608 -0.55045195],[5.2067065  6.59334657],[ 0.94600553 -0.34264536],[2.71945603 3.41574679],[ 0.28794708 -0.82974283],[6.18236254 5.80488948],[ 0.49178572 -0.88657766],[5.10536559 6.3872426 ],[-1.0894958  -0.01549732],[3.06174796 5.8989117 ],[0.74731282 0.7448805 ],[3.64862054 3.13427206],[ 0.90325848 -0.45291958],[2.68048711 4.40405071],[-0.22909406  0.97531192],[6.23154864 3.72265963],[0.41702405 0.94862509],[5.87934914 3.22315009],[0.66589082 0.78969384]
[5.0611783  3.19450573],[-1.07326551 -0.028226  ],[4.60590252 6.73025837],[ 1.02126848 -0.11925056],[4.00073233 6.59744371],[1.025661   0.17620536],[3.66679135 6.41352707],[-0.89243612 -0.47913325],[3.48111697 3.42498238],[-0.6735863   0.81544835],[2.82905708 3.68897373],[ 0.648811   -0.79565673],[4.92525428 2.839087  ],[-0.97952113 -0.20426246],[3.80031238 2.85932834],[-0.92174177  0.39206458],[2.93232902 3.87677386],[ 0.36943401 -0.90435523],[6.6306318  4.52590607],[-0.14228394 -0.98546475],[6.22749528 3.61259309],[-0.68812758 -0.75951227],[5.1742456  6.63220112],[-0.9690952  0.2965794],[2.74070361 4.56160791],[0.03984184 1.04673308],[6.4079334  5.42526862],[-0.35676483  0.94997772],[3.66484435 6.42323271],[0.86448029 0.49525313],[5.73693219 6.31250125],[ 0.7447022 -0.7074307],[5.76644718 6.24700776],[ 0.835088   -0.48817863],[2.66874023 4.64436685],[-0.01863796  1.02453661],[3.02575474 5.77487713],[-0.45458889 -0.93267125],[4.14585018 3.10581088],[-0.94534784  0.48581916],[5.99361532 3.54695818],[0.69353199 0.70418789],[6.52609858 4.33631222],[-0.29021219 -0.97512548],[5.50592601 6.44594751],[ 0.84732367 -0.56983477],[5.25379521 6.57566789],[ 0.93895186 -0.36291452],[2.73453088 3.3744779 ],[ 0.31530845 -0.8206304 ],[6.20639069 5.76024765],[ 0.47161216 -0.89673374],[5.05099296 6.38599059],[-1.08630892 -0.03546295],[3.09946801 5.93569743],[0.76229616 0.72744345],[3.69398683 3.11210546],[ 0.91215533 -0.43289483],[2.66964206 4.4529474 ],[-0.20579561  0.9794237 ],[6.25171061 3.77021156],[0.39075848 0.95465127],[5.91217738 3.2630618 ],[0.64874667 0.80816356]
[5.00754273 3.19357609],[-1.07399774 -0.01102576],[4.65697732 6.7238048 ],[ 1.02231727 -0.13804926],[4.05215179 6.60574597],[1.0287422  0.15365819],[3.62247418 6.38907255],[-0.87942341 -0.49818537],[3.44789639 3.4660769 ],[-0.65601677  0.82745076],[2.8620925  3.64969404],[ 0.6716808  -0.77630717],[4.87614399 2.82946008],[-0.98459984 -0.18069252],[3.75457453 2.87963794],[-0.90941239  0.41851284],[2.95136741 3.83183206],[ 0.39238831 -0.89292841],[6.62290399 4.47674507],[-0.16716138 -0.98127054],[6.19265801 3.57508189],[-0.70722472 -0.74288579],[5.12567595 6.64648474],[-0.97435045  0.27400775],[2.74327137 4.61389685],[0.06215437 1.04407178],[6.38957042 5.47256682],[-0.3787186   0.94083268],[3.70833395 6.44746777],[0.87747329 0.47661089],[5.77378074 6.27674272],[ 0.72913896 -0.72287903],[5.80787653 6.22209456],[ 0.82450167 -0.50579058],[2.66830459 4.69547916],[0.00328691 1.02200658],[3.00350134 5.72798113],[-0.4356165  -0.94310344],[4.09882981 3.13050795],[-0.93406221  0.50334025],[6.02782034 3.58253529],[0.67414193 0.71829991],[6.51096968 4.2877287 ],[-0.31634904 -0.96959489],[5.5479327  6.41695707],[ 0.83249239 -0.59009819],[5.30051292 6.55697878],[ 0.93073027 -0.38352716],[2.75091592 3.33362181],[ 0.341946   -0.81161748],[6.22957013 5.71527103],[ 0.4526354  -0.90517476],[4.99671866 6.38367143],[-1.08471102 -0.05736561],[3.13791699 5.97159467],[0.77468015 0.70754892],[3.73987223 3.09103312],[ 0.92425328 -0.40888607],[2.66005868 4.50212768],[-0.17858733  0.98661144],[6.2705755 3.8180743],[0.36458232 0.96050132],[5.94402156 3.30376325],[0.6271395  0.82190201]
[4.95386357 3.1934742 ],[-1.07314907  0.00682819],[4.70806535 6.71639981],[ 1.02193733 -0.15720241],[4.1036672  6.61287438],[1.03083813 0.13058548],[3.57884912 6.36370324],[-0.86545774 -0.51642084],[3.41554662 3.50774715],[-0.63826623  0.83897243],[2.89622543 3.61135764],[ 0.69338549 -0.75724467],[4.82682951 2.82104798],[-0.98824998 -0.15621851],[3.70942732 2.90122227],[-0.89854088  0.44263033],[2.97161001 3.78752965],[ 0.41526283 -0.88110595],[6.61396778 4.42784046],[-0.18973705 -0.97438044],[6.15680857 3.53834211],[-0.72659707 -0.72664282],[5.07674744 6.65952356],[-0.9823366  0.2478741],[2.74697909 4.66606638],[0.08612005 1.04262568],[6.37010337 5.51938212],[-0.40011522  0.93145062],[3.75253749 6.47084354],[0.89048217 0.45835398],[5.80973022 6.24011076],[ 0.70940464 -0.74170304],[5.84879575 6.19633986],[ 0.81214006 -0.52439964],[2.66902471 4.74651292],[0.02769888 1.0214889 ],[2.98228498 5.68066086],[-0.41476858 -0.95133223],[4.05245624 3.15614779],[-0.9212726   0.52175206],[6.06118973 3.61895101],[0.65794861 0.73556891],[6.49456339 4.23946358],[-0.3391615  -0.96031573],[5.58933333 6.38710951],[ 0.82388697 -0.60329079],[5.34686772 6.53732846],[ 0.92350908 -0.40227891],[2.7686763  3.29327457],[ 0.36793372 -0.80264676],[6.25168178 5.66977227],[ 0.4311609  -0.91535779],[4.94256554 6.38028984],[-1.08065527 -0.07714471],[3.17704881 6.00656428],[0.79024633 0.69098184],[3.78640728 3.07123076],[ 0.93557595 -0.38466511],[2.65180955 4.5516185 ],[-0.14963751  0.99460948],[6.28821783 3.86630701],[0.34198712 0.96952777],[5.97475435 3.34511499],[0.60389313 0.83377879]
[4.90016452 3.19418145],[-1.07347444  0.0225999 ],[4.75907527 6.70800329],[ 1.01873299 -0.1782492 ],[4.15530197 6.61887685],[1.03529532 0.11044315],[3.53591762 6.33741403],[-0.85256141 -0.53587923],[3.38420296 3.55009454],[-0.61537741  0.85490658],[2.9312777  3.57383137],[ 0.7090985  -0.74325185],[4.77737046 2.81388345],[-0.98705785 -0.12738699],[3.66489109 2.92405746],[-0.885413    0.46809446],[2.99280222 3.74364305],[ 0.43308565 -0.87353456],[6.60381893 4.37920579],[-0.2151661  -0.96993659],[6.12003598 3.50245637],[-0.74540257 -0.70998086],[5.02759035 6.67140876],[-0.9850216   0.22640109],[2.7518301  4.71809603],[0.10706555 1.03772191],[6.34954125 5.56568241],[-0.42379752  0.91899318],[3.79723666 6.4931576 ],[0.89768419 0.43446949],[5.84476202 6.20262658],[ 0.69159337 -0.75781094],[5.88904637 6.16962129],[ 0.79717983 -0.54493893],[2.67108616 4.79762166],[0.05366252 1.02168191],[2.96200302 5.63283248],[-0.39629608 -0.96143573],[4.00677485 3.18274673],[-0.9084184   0.53963819],[6.09360156 3.65608143],[0.64005344 0.75109745],[6.47696641 4.19161776],[-0.3641784  -0.95296588],[5.6301122  6.35643238],[ 0.80836387 -0.62257326],[5.39278901 6.51668764],[ 0.91508817 -0.42144655],[2.78777319 3.25343078],[ 0.39505896 -0.79183231],[6.27275613 5.62381902],[ 0.41262692 -0.92190953],[4.8886841  6.37598702],[-1.07542411 -0.09577229],[3.2168462 6.0405968],[0.79974399 0.6684912 ],[3.83339851 3.05254783],[ 0.94444127 -0.36215195],[2.64491686 4.6013921 ],[-0.12644218  0.99592459],[6.30471331 3.91495992],[0.31761967 0.97623336],[6.0044972  3.38722523],[0.58370239 0.84839198]
[4.84657633 3.19578694],[-1.07053101  0.04099958],[4.80989723 6.69854438],[ 1.01484254 -0.19922893],[4.20715302 6.62388761],[1.03700927 0.08839735],[3.49362031 6.31013634],[-0.84105586 -0.55694685],[3.35394615 3.59316137],[-0.59549931  0.86706335],[2.96719682 3.53710907],[ 0.7278122  -0.72534254],[4.72792131 2.80810729],[-0.99210207 -0.10504708],[3.6208813  2.94800989],[-0.87425086  0.49054195],[3.01503805 3.7003051 ],[ 0.45416614 -0.8620297 ],[6.59237285 4.33078051],[-0.24267949 -0.96702429],[6.08233475 3.46741098],[-0.76232774 -0.69162136],[4.97818196 6.68208546],[-0.98900662  0.20290242],[2.75766503 4.76981294],[0.12588438 1.03058035],[6.32776221 5.61131168],[-0.44565347  0.90773205],[3.84256413 6.51455315],[0.91212544 0.41821936],[5.87901022 6.16446334],[ 0.678998   -0.76793872],[5.92855935 6.14190184],[ 0.78466964 -0.56237626],[2.67416326 4.84845107],[0.07193981 1.01403539],[2.94276328 5.58462804],[-0.37412084 -0.96748083],[3.96162956 3.21011369],[-0.89492884  0.55738638],[6.12510719 3.69397499],[0.62067013 0.76506745],[6.4581275  4.14415836],[-0.3878752  -0.94394569],[5.67019037 6.32488579],[ 0.79347189 -0.64044829],[5.4383694  6.49519164],[ 0.90749787 -0.43886236],[2.80802762 3.21395093],[ 0.4165896  -0.78569847],[6.29274449 5.57739601],[ 0.38984019 -0.93197569],[4.83491588 6.37059525],[-1.07312322 -0.11775777],[3.25722208 6.07361112],[0.81448233 0.6513644 ],[3.88073994 3.03491439],[ 0.95092008 -0.34140863],[2.6391484  4.65118494],[-0.103158  0.996861],[6.31989634 3.9638458 ],[0.29134357 0.9807361 ],[6.03325684 3.43008347],[0.56385795 0.86299199]
[4.79317808 3.19834166],[-1.06577615  0.06071668],[4.86056958 6.68810406],[ 1.00901936 -0.22127005],[4.25912782 6.62785025],[1.04173699 0.07007241],[3.45197174 6.28187268],[-0.82811463 -0.57678931],[3.32463981 3.63677595],[-0.57674126  0.87744464],[3.00404937 3.50130256],[ 0.74574694 -0.70731044],[4.67847275 2.80368857],[-0.98754548 -0.07345186],[3.57747033 2.97310014],[-0.86184137  0.51323503],[3.03835093 3.65758202],[ 0.47598661 -0.84913835],[6.57955133 4.28251803],[-0.26994567 -0.96319884],[6.04386777 3.4333596 ],[-0.77954144 -0.67373309],[4.92870073 6.69170192],[-0.98983615  0.18212275],[2.7645142  4.82124247],[0.14749315 1.02602084],[6.3048532  5.65632057],[-0.470657    0.89256782],[3.88835044 6.53488179],[0.91660439 0.39224213],[5.91245849 6.12564196],[ 0.65885944 -0.78486294],[5.96760967 6.11349403],[ 0.77502647 -0.57611095],[2.67842156 4.89915571],[0.09872194 1.01437876],[2.92463361 5.53612926],[-0.35169939 -0.97300947],[3.91721107 3.23840566],[-0.88210699  0.57388066],[6.15575209 3.73267277],[0.60474794 0.78237737],[6.43813684 4.0971875 ],[-0.41203765 -0.93518191],[5.70938346 6.29232281],[ 0.77595123 -0.66024462],[5.48334739 6.47261838],[ 0.89406462 -0.46151276],[2.82948203 3.17492416],[ 0.44247664 -0.77431534],[6.3115832  5.53047928],[ 0.36481334 -0.94348389],[4.78139934 6.36423607],[-1.06880811 -0.13787843],[3.29827178 6.1057104 ],[0.82721912 0.6324092 ],[3.92844659 3.01837545],[ 0.95802195 -0.31937002],[2.63460085 4.70106554],[-0.0795994   0.99742227],[6.33383427 4.01301536],[0.26653692 0.98627096],[6.06091129 3.47355201],[0.5438105  0.87709797]
