[9.88424269 3.28039331],[-1.84940613 -3.06325497],[5.00337111 3.1385692 ],[-3.1099257  -0.59882909],[4.68819745 9.95803713],[-3.75466288 -2.50733847],[3.36565309 1.68488914],[-3.6885048 -3.6285723],[0.65230521 7.54510897],[-4.7396125  1.9276967],[6.41537492 4.3590607 ],[-3.8413879  -1.09547562],[7.90126422 3.28513849],[-3.56609095 -1.05533913],[2.25635422 9.98553971],[-0.91075889 -1.99387045],[1.6614203  0.97759462],[-3.15177414 -1.16364601],[4.84133697 3.5493092 ],[-0.03677743 -2.3499609 ]
[5.36194517 6.20357198],[ 0.25961219 -1.11752643],[5.50508388 2.86893849],[-1.082085 -0.427424],[5.80134894 5.44434419],[-1.09683346  0.41947041],[6.69884629 4.03090648],[-0.95757413 -0.77796907],[6.71001753 4.88002282],[-1.18276484  0.30722886],[5.98882687 3.60038935],[-0.63788208 -0.90175392],[5.90619859 4.23292827],[-0.568617   -0.99268342],[5.71325645 5.55391309],[-1.1763298   0.24203259],[6.72698121 3.99237243],[-1.03377025 -0.7001656 ],[6.43627503 5.75426452],[-0.27628892 -1.1606037 ]
[5.38482184 6.09094932],[ 0.19862363 -1.1335727 ],[5.39589851 2.82832527],[-1.10134426 -0.38534629],[5.69039264 5.48354929],[-1.12140543  0.36489237],[6.60129004 3.95513778],[-0.99243352 -0.73707204],[6.59048686 4.90898566],[-1.20741598  0.27111186],[5.92254113 3.51200936],[-0.6883372  -0.86654821],[5.84674857 4.13484444],[-0.61732459 -0.96608727],[5.59510037 5.57565592],[-1.18674234  0.19257152],[6.62219481 3.92438368],[-1.05847245 -0.65677971],[6.40500568 5.63836138],[-0.35063648 -1.15869953]
[5.40124558 5.97657674],[ 0.13212228 -1.1508826 ],[5.28507286 2.79202046],[-1.11623896 -0.34248325],[5.57706571 5.51719198],[-1.14350658  0.30898983],[6.5004761  3.88348082],[-1.02266457 -0.6956195 ],[6.46872771 4.93419556],[-1.22924072  0.23054197],[5.85099138 3.42690057],[-0.73898269 -0.83220874],[5.78279329 4.03974066],[-0.6617151  -0.93617089],[5.47607348 5.59254456],[-1.19245532  0.14642279],[6.51486939 3.86046788],[-1.08741375 -0.62181626],[6.36668893 5.52314375],[-0.41351046 -1.14360353]
[5.41152655 5.86114967],[ 0.07358889 -1.15721088],[5.17292831 2.76000051],[-1.1280944  -0.30000712],[5.46201238 5.54557859],[-1.15631775  0.25971553],[6.39676591 3.81589911],[-1.05274431 -0.65809485],[6.34513514 4.95539211],[-1.24270679  0.19259173],[5.77435452 3.34514815],[-0.79315994 -0.80254932],[5.71456796 3.94774214],[-0.70402385 -0.90530491],[5.3567071  5.60502996],[-1.1946624   0.10341806],[6.40510674 3.80027798],[-1.10824483 -0.58314615],[6.3225726  5.40987981],[-0.46896019 -1.1221768 ]
[5.41569204 5.74496859],[ 0.01167823 -1.16412144],[5.05966973 2.73212533],[-1.13825305 -0.25929983],[5.3455574 5.5688113],[-1.16992797  0.20732158],[6.29020685 3.75200118],[-1.07759259 -0.61975784],[6.22070909 4.97315638],[-1.24724338  0.16095565],[5.69274114 3.26672547],[-0.84090037 -0.76810709],[5.64235053 3.85900568],[-0.74217369 -0.87156625],[5.23704108 5.61310275],[-1.19685891  0.05975787],[6.29340239 3.74389888],[-1.12741607 -0.54679188],[6.2726108  5.29841377],[-0.52913604 -1.10609419]
[5.41387331 5.62841518],[-0.04854017 -1.16703434],[4.94551888 2.70826549],[-1.14372565 -0.21731792],[5.22857621 5.58758488],[-1.17010771  0.16792157],[6.18110391 3.69166167],[-1.10278896 -0.58625071],[6.09547706 4.98728117],[-1.2553356   0.12320765],[5.60678221 3.19207097],[-0.87889446 -0.72602556],[5.56584268 3.77310413],[-0.7877118  -0.84647161],[5.11720258 5.61682854],[-1.19890098  0.01557469],[6.17970483 3.69085654],[-1.14587419 -0.51419188],[6.21701015 5.18890084],[-0.58075069 -1.08234669]
[5.40604049 5.51169696],[-0.10427731 -1.1632226 ],[4.83084398 2.68847963],[-1.14754776 -0.17660967],[5.11115852 5.60198831],[-1.1762675   0.12184389],[6.07016578 3.63515529],[-1.11584659 -0.54428587],[5.96995635 4.99807734],[-1.25400768  0.09386291],[5.51705472 3.12154101],[-0.91340747 -0.68281897],[5.48517864 3.69003643],[-0.82365736 -0.81334028],[4.99746267 5.61640876],[-1.19570263 -0.02360442],[6.06465134 3.64137256],[-1.1552069  -0.47600349],[6.15671762 5.0821234 ],[-0.62534108 -1.05382149]
[5.39272025 5.3954851 ],[-0.16421661 -1.16271286],[4.71596994 2.67282581],[-1.14942294 -0.13642982],[4.99344558 5.61205177],[-1.17695427  0.0805695 ],[5.9581863  3.58297905],[-1.12658923 -0.50247346],[5.84496528 5.00637725],[-1.2455153   0.07297797],[5.42397509 3.0553086 ],[-0.94646878 -0.64063162],[5.40118735 3.61045716],[-0.85370722 -0.77616491],[4.87803181 5.6120678 ],[-1.1915589  -0.06180882],[5.94879235 3.59570879],[-1.16545566 -0.44132861],[6.09168999 4.97783182],[-0.67127482 -1.02845334]
[5.37373537 5.27974606],[-0.21667186 -1.15329269],[4.60088159 2.66102235],[-1.15168235 -0.09950376],[4.87576044 5.6180852 ],[-1.17711465  0.03964663],[5.84503099 3.53474307],[-1.13646809 -0.46272722],[5.72031191 5.01213372],[-1.24657642  0.04293251],[5.3279168  2.99348899],[-0.97195481 -0.5933893 ],[5.31447999 3.53479387],[-0.8819562  -0.73899087],[4.75930925 5.60422944],[-1.18100121 -0.0927484 ],[5.83171698 3.55312801],[-1.17359296 -0.40832528],[6.02273195 4.87662107],[-0.70634464 -0.99475853]
[5.34957401 5.16504361],[-0.26418825 -1.13859441],[4.48591999 2.65313781],[-1.14857761 -0.05951929],[4.75798972 5.61991491],[-1.17665374 -0.00147022],[5.73082972 3.49028198],[-1.14644855 -0.42599036],[5.59594939 5.0152631 ],[-1.24032128  0.02029423],[5.22942896 2.93640272],[-0.99586567 -0.54686917],[5.22469952 3.46249931],[-0.91101116 -0.70468455],[4.6412946  5.59300167],[-1.17816476 -0.13084981],[5.71411045 3.51400646],[-1.17735562 -0.37335281],[5.94992833 4.77831924],[-0.74758845 -0.96953136]
[5.32081725 5.05192845],[-0.31178435 -1.12464249],[4.37113237 2.6490052 ],[-1.14849637 -0.02504626],[4.64050287 5.61785195],[-1.17261843 -0.03910807],[5.61562535 3.44933617],[-1.15652023 -0.39242779],[5.47177401 5.01568828],[-1.23999533 -0.00867381],[5.12873384 2.88403526],[-1.01897073 -0.50187887],[5.13252829 3.39405433],[-0.93307059 -0.66522123],[4.523821   5.57819993],[-1.17066402 -0.16442129],[5.59622488 3.47837765],[-1.17987799 -0.33909992],[5.87342704 4.68285846],[-0.78559445 -0.94328535]
[5.28719487 4.9401134 ],[-0.35910418 -1.11007375],[4.2564049  2.64821394],[-1.1462765   0.00851578],[4.52328232 5.61188261],[-1.16709289 -0.07569117],[5.49972819 3.4119198 ],[-1.16215056 -0.35704548],[5.34832899 5.01394136],[-1.22869188 -0.02554855],[5.02572422 2.83602392],[-1.04272376 -0.46048735],[5.03790374 3.32920882],[-0.95734378 -0.63005085],[4.40766345 5.56068522],[-1.1565718  -0.18967136],[5.47812447 3.44611804],[-1.18290448 -0.30731664],[5.79330734 4.5900955 ],[-0.81747655 -0.91311893]
[5.24931655 4.83021327],[-0.39639515 -1.08623556],[4.14205577 2.65080752],[-1.14016941  0.0435274 ],[4.406788   5.60245141],[-1.16254038 -0.11268754],[5.38338594 3.3780428 ],[-1.16448601 -0.32061902],[5.22590521 5.01051249],[-1.22412258 -0.04739928],[4.92032545 2.7919579 ],[-1.06135956 -0.41765035],[4.94115543 3.26808122],[-0.97465327 -0.58989533],[4.29250629 5.54027722],[-1.14597943 -0.21774394],[5.35995632 3.41717303],[-1.17960531 -0.27095784],[5.71007903 4.50030915],[-0.84730092 -0.88327916]
[5.20769091 4.72260369],[-0.43560494 -1.06558839],[4.02842541 2.65691978],[-1.13399632  0.07683466],[4.29060258 5.58913798],[-1.15726166 -0.14975949],[5.26643325 3.3472976 ],[-1.17056468 -0.29082564],[5.10386499 5.00479954],[-1.21845082 -0.06845206],[4.81338704 2.75235789],[-1.07690649 -0.37438742],[4.84291938 3.2111405 ],[-0.99193921 -0.55113587],[4.17826303 5.51693446],[-1.13776792 -0.24790521],[5.24169506 3.39135701],[-1.18339894 -0.24367372],[5.62422585 4.41374529],[-0.86723544 -0.84591739]
[5.1623074  4.61718694],[-0.47231735 -1.04322528],[3.91563407 2.66649474],[-1.1231467  0.1131296],[4.17523499 5.57241996],[-1.14928817 -0.18378944],[5.14953594 3.32011016],[-1.16850063 -0.25428823],[4.98232487 4.99691136],[-1.21169786 -0.08847841],[4.70531944 2.71738042],[-1.08368334 -0.32463337],[4.74316259 3.15819802],[-1.00146523 -0.50620991],[4.06525144 5.49102687],[-1.12262984 -0.27021018],[5.12352689 3.3686406 ],[-1.17982021 -0.21066516],[5.53629308 4.33071856],[-0.88888582 -0.81249507]
[5.1133542  4.51406845],[-0.50608405 -1.01867578],[3.80406255 2.67977494],[-1.10650399  0.15423117],[4.06091267 5.55257612],[-1.13898714 -0.21477194],[5.03271599 3.29637782],[-1.17089691 -0.22372901],[4.86163272 4.9872379 ],[-1.20202701 -0.10474052],[4.59662083 2.68735284],[-1.0913673  -0.27740414],[4.64230769 3.10955398],[-1.01549045 -0.46693791],[3.95355148 5.4627353 ],[-1.11044483 -0.29449585],[5.00572976 3.34919514],[-1.17703092 -0.17950183],[5.44652493 4.25126223],[-0.90506742 -0.77557866]
[5.06111118 4.41344659],[-0.53987313 -0.995032  ],[3.69414717 2.69715   ],[-1.0926367   0.19227885],[3.94796306 5.5300197 ],[-1.11727999 -0.23303357],[4.91594293 3.27588988],[-1.16596436 -0.18762834],[4.74208115 4.97617112],[-1.18856245 -0.11567589],[4.48683118 2.66158255],[-1.10228855 -0.2364689 ],[4.53996446 3.06465243],[-1.03163158 -0.43176566],[3.84325663 5.43224881],[-1.09398515 -0.3134689 ],[4.88809251 3.33265145],[-1.17287109 -0.14875112],[5.35494851 4.17521475],[-0.92555705 -0.74482721]
[5.00540213 4.31507842],[-0.57440744 -0.97252381],[3.58519217 2.71781197],[-1.08532522  0.22154436],[3.83680036 5.5053781 ],[-1.10424481 -0.257861  ],[4.79931296 3.25859469],[-1.16715002 -0.15937066],[4.62390861 4.96414924],[-1.17488919 -0.12437898],[4.37649066 2.64032439],[-1.10638149 -0.19100692],[4.43641584 3.02357558],[-1.0399877 -0.3906238],[3.73460853 5.39994696],[-1.08026798 -0.33374965],[4.77114937 3.31942496],[-1.16551267 -0.11530181],[5.26175547 4.10258947],[-0.9413157  -0.71103902]
[4.94644168 4.21914147],[-0.6047922  -0.94640234],[3.47732547 2.74164271],[-1.07216409  0.25457182],[3.72695886 5.47831591],[-1.09257205 -0.28326375],[4.68311865 3.24460016],[-1.15955537 -0.123469  ],[4.50652291 4.95071851],[-1.17098312 -0.14260139],[4.26575364 2.62351117],[-1.11020785 -0.14766339],[4.33200493 2.98651666],[-1.04867103 -0.35129468],[3.6276298  5.36597332],[-1.06311316 -0.34928208],[4.65464051 3.30919452],[-1.16254307 -0.08761663],[5.16711702 4.03339292],[-0.95396454 -0.67568652]
[4.88423852 4.12558513],[-0.63712486 -0.92268612],[3.37096699 2.76889498],[-1.05649494  0.28873545],[3.61842019 5.44886858],[-1.07743141 -0.30462264],[4.5668725  3.23328181],[-1.1642338  -0.10246412],[4.38999595 4.93593161],[-1.15884997 -0.15225374],[4.15474121 2.61100763],[-1.11075166 -0.10357952],[4.22659978 2.95316414],[-1.05485448 -0.31151521],[3.5219439  5.33005398],[-1.05028237 -0.36871956],[4.53872186 3.30196693],[-1.15965407 -0.0611386 ],[5.07082853 3.96725953],[-0.97060024 -0.64609801]
[4.81886777 4.03444158],[-0.66927998 -0.89929071],[3.26627825 2.7996035 ],[-1.03994111  0.32247353],[3.51150502 5.4174565 ],[-1.0619473  -0.32451856],[4.45065148 3.22441688],[-1.16219413 -0.07732484],[4.27464403 4.92019412],[-1.14764704 -0.16176002],[4.0439944  2.60313367],[-1.10390016 -0.05376585],[4.12079911 2.92395056],[-1.06035039 -0.2722095 ],[3.4173085  5.29194868],[-1.03875536 -0.38961534],[4.42324285 3.29744042],[-1.15198264 -0.03157384],[4.97336448 3.90449674],[-0.97796503 -0.60862322]
[4.75086483 3.94618546],[-0.69175652 -0.86705863],[3.16299567 2.83333432],[-1.02424822  0.35330614],[3.40589948 5.38383217],[-1.04882366 -0.34646896],[4.33508366 3.21844486],[-1.15082889 -0.04391945],[4.16036891 4.90349487],[-1.1366913  -0.17081653],[3.93370743 2.59995181],[-1.1037717  -0.01231022],[4.01465326 2.89880198],[-1.06160875 -0.23001346],[3.3145088  5.25248736],[-1.01836255 -0.40043355],[4.30818416 3.29544336],[-1.14879876 -0.00839093],[4.8751356  3.84541111],[-0.98961702 -0.57639662]
[4.68063382 3.8611225 ],[-0.71124508 -0.83278227],[3.06115295 2.86991588],[-1.01075598  0.37985068],[3.3019546  5.34839993],[-1.03272125 -0.36458304],[4.22026449 3.21539325],[-1.14809265 -0.02012615],[4.04689288 4.8855999 ],[-1.12863599 -0.18287983],[3.82369506 2.60104338],[-1.09730779  0.03294823],[3.90808049 2.87748722],[-1.06711004 -0.19390992],[3.21381601 5.21207939],[-0.99316621 -0.40492704],[4.19378238 3.29602202],[-1.14064859  0.01835365],[4.77559627 3.78931906],[-1.00076672 -0.54538704]
[4.60840153 3.77938989],[-0.73772345 -0.80635389],[2.96088621 2.90928397],[-0.9944022   0.40732553],[3.19969396 5.31126901],[-1.01400127 -0.3793354 ],[4.10588864 3.2147768 ],[-1.13910504  0.00797614],[3.93450364 4.8668047 ],[-1.12060503 -0.19445008],[3.71437408 2.60660983],[-1.08947844  0.07760818],[3.8015266  2.86027785],[-1.06510434 -0.15151591],[3.11509794 5.17075988],[-0.98270785 -0.42301018],[4.08017984 3.29920797],[-1.13482867  0.04158561],[4.67509198 3.73640148],[-1.00926512 -0.51313882]
[4.53347106 3.70022   ],[-0.760893   -0.77722875],[2.86219769 2.95123893],[-0.97679599  0.43406148],[3.09881808 5.27218865],[-1.00058937 -0.39932512],[3.99267718 3.21721477],[-1.12523974  0.0407215 ],[3.82319758 4.84714736],[-1.10710182 -0.20014937],[3.60615942 2.61688016],[-1.07463367  0.12783446],[3.69496844 2.84703041],[-1.06218581 -0.10981182],[3.01750834 5.12769109],[-0.96683605 -0.43604241],[3.96744253 3.30492452],[-1.12118552  0.07148124],[4.57379912 3.68670479],[-1.01528275 -0.47971084]
[4.45637166 3.62407328],[-0.78287925 -0.74766939],[2.7656748  2.99620669],[-0.95279737  0.46598408],[2.99963902 5.23148143],[-0.98133294 -0.41300751],[3.88064263 3.22270108],[-1.11311951  0.0712899 ],[3.71300281 4.82670161],[-1.09514682 -0.20703206],[3.49928169 2.63196407],[-1.06164446  0.1747674 ],[3.58875903 2.83794964],[-1.0595226  -0.06952613],[2.92179388 5.08363282],[-0.94487815 -0.44232089],[3.85548718 3.31298662],[-1.1148836   0.09252988],[4.47219158 3.64059843],[-1.01682381 -0.44247662]
[4.37738489 3.55115636],[-0.79689997 -0.710862  ],[2.67142176 3.04417569],[-0.92855468  0.49683746],[2.90281569 5.18989804],[-0.95868616 -0.4219535 ],[3.76969272 3.23108415],[-1.10387975  0.09809526],[3.6043013  4.80590978],[-1.0778734  -0.20746592],[3.39356867 2.65149333],[-1.04979499  0.21823941],[3.48307892 2.83310919],[-1.05506352 -0.02856322],[2.82822987 5.03895391],[-0.92709056 -0.45185897],[3.74476247 3.32372019],[-1.10048776  0.12113071],[4.37010063 3.59784112],[-1.02380908 -0.41174668]
[4.2969418  3.48183627],[-0.81233886 -0.676081  ],[2.57970932 3.09528711],[-0.90683933  0.52392502],[2.80792668 5.14712227],[-0.94029126 -0.43464164],[3.65995193 3.24239266],[-1.09321478  0.12553737],[3.49698761 4.78478992],[-1.06522283 -0.21174902],[3.28970565 2.6759625 ],[-1.03218869  0.26609087],[3.37800212 2.83244864],[-1.04469549  0.01697415],[2.73663852 4.99353629],[-0.90539709 -0.45700658],[3.63564083 3.33747758],[-1.08303068  0.15291136],[4.26745022 3.55822216],[-1.02638303 -0.377966  ]
[4.21518808 3.41620146],[-0.82215926 -0.63614688],[2.49024025 3.14908401],[-0.8807926   0.55354901],[2.71487404 5.10308824],[-0.92124799 -0.44648103],[3.55158223 3.25669834],[-1.07418893  0.16070598],[3.39091344 4.76323432],[-1.0568598  -0.21999655],[3.18726273 2.70474255],[-1.01611306  0.30964905],[3.27359485 2.8359109 ],[-1.04119161  0.05407319],[2.64714076 4.94755447],[-0.88562608 -0.46360254],[3.52828933 3.35444794],[-1.06629057  0.1841664 ],[4.16444539 3.52183239],[-1.03202158 -0.34843035]
[4.13225277 3.35434379],[-0.8363477  -0.60093606],[2.40384695 3.20625536],[-0.84989847  0.58679786],[2.62383857 5.05799153],[-0.89906664 -0.45491673],[3.44499582 3.27441466],[-1.05896833  0.19207932],[3.2858768  4.74104071],[-1.04367131 -0.22363955],[3.0868219  2.73816488],[-0.99186876  0.35928057],[3.16988402 2.84333557],[-1.03320659  0.09375001],[2.55952084 4.9008214 ],[-0.8668824  -0.47116794],[3.42236004 3.37426093],[-1.05447089  0.20962415],[4.06086528 3.48829545],[-1.03718213 -0.32022177]
[4.04791568 3.29600036],[-0.8513061  -0.56698853],[2.32080469 3.26694078],[-0.81319067  0.62441209],[2.53477624 5.01181857],[-0.88189032 -0.46830423],[3.33953793 3.29479844],[-1.04846438  0.21704302],[3.18220647 4.71854495],[-1.02903402 -0.22547015],[2.98844665 2.77607876],[-0.97561379  0.3984477 ],[3.06711958 2.8547817 ],[-1.02280864  0.13409167],[2.47384353 4.85339557],[-0.84617063 -0.47680038],[3.31771684 3.39664705],[-1.03758343  0.23879392],[3.95746548 3.45822917],[-1.03212706 -0.28235093]
[3.96222896 3.24116968],[-0.86172704 -0.52903827],[2.24087938 3.33074258],[-0.78547731  0.65108596],[2.44733554 4.96418928],[-0.86772158 -0.48520721],[3.2356821  3.31817274],[-1.02653284  0.2525571 ],[3.08011143 4.69601129],[-1.01468716 -0.22692506],[2.89198531 2.81803813],[-0.95311753  0.4407748 ],[2.96576518 2.87055828],[-1.00429024  0.18134868],[2.39026445 4.80543564],[-0.82667006 -0.48368161],[3.21491577 3.42207949],[-1.01863405  0.26959687],[3.85444842 3.43182308],[-1.02818306 -0.245894  ]
[3.87570003 3.19032049],[-0.86709317 -0.48618624],[2.16425334 3.39763235],[-0.74745538  0.68595237],[2.36190483 4.91543917],[-0.83996329 -0.48877816],[3.13377676 3.3448468 ],[-1.01268356  0.27951495],[2.97966554 4.67357747],[-0.99457498 -0.22194248],[2.79799771 2.86432209],[-0.92465999  0.48648819],[2.86624351 2.89100758],[-0.98611884  0.22739326],[2.30873066 4.75686727],[-0.80191049 -0.48557565],[3.11395866 3.45051024],[-0.99970207  0.29965419],[3.75171493 3.40892368],[-1.02611215 -0.21198416]
[3.78861026 3.143741  ],[-0.87444608 -0.4452144 ],[2.09143652 3.46790553],[-0.70656672  0.72142889],[2.27893713 4.86602586],[-0.81854999 -0.49868573],[3.03351221 3.37439503],[-0.9904379   0.31351354],[2.88104666 4.65150473],[-0.97740893 -0.21903338],[2.70684693 2.9150505 ],[-0.90063465  0.52523831],[2.76851721 2.91596809],[-0.96793731  0.27196637],[2.22976146 4.70819665],[-0.77729759 -0.48764742],[3.01474239 3.48174085],[-0.9813759   0.32792941],[3.64933444 3.38951858],[-1.02034458 -0.17511621]
[3.70045896 3.10091055],[-0.88545961 -0.40842801],[2.02286038 3.54175162],[-0.66159753  0.75839242],[2.19868718 4.81619139],[-0.78958834 -0.50108407],[2.93555602 3.4074081 ],[-0.96986255  0.34538755],[2.78413768 4.62974407],[-0.96212802 -0.21750144],[2.61810113 2.9694881 ],[-0.87154129  0.56574136],[2.67279604 2.94549339],[-0.94974218  0.31490925],[2.15338146 4.65943633],[-0.75004129 -0.48732816],[2.91780588 3.51621121],[-0.95830659  0.36042478],[3.54770017 3.37395728],[-1.01385156 -0.13767758]
[3.61169926 3.06224133],[-0.89037571 -0.36568186],[1.95854212 3.61891068],[-0.62642219  0.78267251],[2.12112122 4.76589416],[-0.76231503 -0.50549114],[2.83944219 3.44331704],[-0.95101003  0.37397134],[2.68903953 4.60844286],[-0.94161633 -0.21020287],[2.53224801 3.02781038],[-0.8436464   0.60204399],[2.57931106 2.97962822],[-0.91817508  0.36939949],[2.07941547 4.61037144],[-0.72725775 -0.49208394],[2.82334839 3.55408407],[-0.93573768  0.39180297],[3.44645234 3.36183063],[-1.00794842 -0.10194129]
[3.52239369 3.02777944],[-0.89374049 -0.32159091],[1.89795479 3.69857196],[-0.58414858  0.81121947],[2.04616066 4.71500387],[-0.73483438 -0.51033257],[2.74524309 3.48203004],[-0.93004832  0.40301838],[2.5957314  4.58762656],[-0.92075693 -0.20220566],[2.44936996 3.0897909 ],[-0.81146502  0.63951121],[2.48880575 3.01897393],[-0.89089725  0.41820627],[2.00790094 4.56096285],[-0.70162598 -0.49480804],[2.73092509 3.59478224],[-0.9115791   0.42317311],[3.34591154 3.35335964],[-1.00283003 -0.0677126 ]
[3.43284392 2.99782019],[-0.89404678 -0.27440959],[1.84153136 3.78087117],[-0.54299396  0.83559815],[1.97389018 4.66353161],[-0.70827376 -0.51694086],[2.65383794 3.52430259],[-0.89710453  0.44334829],[2.50471266 4.56786584],[-0.90061865 -0.19392035],[2.37001996 3.15567788],[-0.7753053   0.67795291],[2.40107425 3.0631344 ],[-0.86388921  0.46434674],[1.93901081 4.51129637],[-0.67687908 -0.49938033],[2.64096707 3.6386067 ],[-0.88562551  0.45506849],[3.24615158 3.34853145],[-0.99416914 -0.03078908]
[3.34333681 2.97267459],[-0.89918573 -0.23179809],[1.7895807  3.86580493],[-0.49362167  0.8648801 ],[1.9043547  4.61142491],[-0.68054049 -0.52346585],[2.56566421 3.57051796],[-0.86531663  0.4818192 ],[2.41545434 4.54868402],[-0.88345113 -0.18860194],[2.29451485 3.22548062],[-0.73114061  0.72122681],[2.31619777 3.11191797],[-0.8326268   0.51186329],[1.87245432 4.46096882],[-0.65423204 -0.5073773 ],[2.55365364 3.68560338],[-0.8581267   0.48712789],[3.14728315 3.3473725 ],[-0.98176193  0.00896572]
[3.25358441 2.95202866],[-0.89737366 -0.18265181],[1.74272993 3.95363665],[-0.44348712  0.89104095],[1.83791319 4.55892521],[-0.64739028 -0.52580751],[2.48048165 3.6203226 ],[-0.83698452  0.51531267],[2.32804206 4.53016139],[-0.86464073 -0.18167009],[2.22349074 3.29950802],[-0.68707276  0.76099307],[2.2349169  3.16578744],[-0.79658503  0.56136648],[1.80852576 4.4101317 ],[-0.62771228 -0.51295649],[2.46921079 3.73585217],[-0.82880664  0.51951719],[3.04974295 3.35025503],[-0.96574162  0.0519521 ]
[3.16375608 2.93602172],[-0.8968267  -0.13525827],[1.70110497 4.04410024],[-0.38834303  0.91818842],[1.77487324 4.5062073 ],[-0.61428342 -0.52965747],[2.39828572 3.67353469],[-0.80681436  0.5487196 ],[2.24233276 4.51213971],[-0.84636951 -0.17567427],[2.15700693 3.37745949],[-0.64321101  0.79680508],[2.1568904  3.22408104],[-0.76426085  0.60355493],[1.74716347 4.3585672 ],[-0.59728864 -0.51634177],[2.38781888 3.78937497],[-0.79676743  0.5529327 ],[2.95383737 3.35746783],[-0.95058076  0.09390505]
[3.07428547 2.92505039],[-0.89364679 -0.08541068],[1.66505298 4.13711861],[-0.33306792  0.94108928],[1.715229   4.45310144],[-0.57712904 -0.53127787],[2.31930577 3.73018335],[-0.77173563  0.58493814],[2.15829129 4.49453116],[-0.82956309 -0.17175802],[2.09471371 3.45861051],[-0.5987337   0.82949622],[2.08235261 3.2866593 ],[-0.72438777  0.6494773 ],[1.68923543 4.30696795],[-0.5619392  -0.51661178],[2.3099442  3.84646846],[-0.76133882  0.58797305],[2.85970897 3.36912002],[-0.93540543  0.13552034]
[2.98503743 2.91893328],[-0.8935027  -0.03941497],[1.63423842 4.23194116],[-0.28343518  0.95461521],[1.65916315 4.39959217],[-0.54336392 -0.53842995],[2.24423362 3.79074793],[-0.72912069  0.6265492 ],[2.07630838 4.47767805],[-0.81136848 -0.16672794],[2.03741329 3.54336983],[-0.54588885  0.8663323 ],[2.01195681 3.35378887],[-0.68001993  0.69593149],[1.63458532 4.25497878],[-0.53162129 -0.52408025],[2.23562291 3.90696872],[-0.72330951  0.62343323],[2.76687608 3.38463499],[-0.92099647  0.17475557]
[2.89636262 2.91791986],[-0.87878229  0.02039324],[1.60901568 4.32855123],[-0.22058246  0.97714265],[1.60678244 4.34555446],[-0.50263141 -0.54110906],[2.17321561 3.85514023],[-0.68929748  0.66277005],[1.99646802 4.46162618],[-0.78608325 -0.15498458],[1.98537557 3.6315655 ],[-0.49618508  0.89559056],[1.9465463  3.42589644],[-0.62714854  0.74647837],[1.58297608 4.20213061],[-0.49857628 -0.53128877],[2.16501606 3.97080593],[-0.68716359  0.65453719],[2.67575142 3.4042682 ],[-0.90095423  0.21829079]
[2.80904892 2.92278353],[-0.86840052  0.07578169],[1.59024019 4.42730644],[-0.15493083  0.99707723],[1.55839359 4.29102758],[-0.46216461 -0.54690561],[2.10652612 3.92335328],[-0.64586015  0.69959386],[1.91902094 4.44660172],[-0.7622044 -0.1449315],[1.9387165  3.72287509],[-0.43845421  0.92830996],[1.88637556 3.50276656],[-0.57664135  0.78970702],[1.53525988 4.14901339],[-0.45438926 -0.5301591 ],[2.09858825 4.03818157],[-0.64316203  0.69072301],[2.58695453 3.42853645],[-0.87527721  0.26659957]
[2.72278326 2.93313964],[-0.85747653  0.13049309],[1.5783188  4.52805467],[-0.08377349  1.01673063],[1.51438437 4.23609403],[-0.41862506 -0.55290753],[2.04422121 3.99512341],[-0.59808595  0.73736539],[1.84409281 4.43269175],[-0.73486587 -0.13180848],[1.89754764 3.81694103],[-0.38359204  0.95365788],[1.83128717 3.58373542],[-0.52539441  0.82853372],[1.49182792 4.09571627],[-0.41672614 -0.53876332],[2.03674467 4.10920484],[-0.5941338   0.72875332],[2.50105309 3.45792379],[-0.84422026  0.31957283]
[2.63798754 2.94927414],[-0.83806297  0.19235684],[1.57336584 4.63033857],[-0.0140269   1.02939536],[1.47457667 4.18023206],[-0.37204953 -0.55942781],[1.98734938 4.07112811],[-0.54227625  0.77908856],[1.77203062 4.42021452],[-0.70804791 -0.11948598],[1.86213877 3.9135828 ],[-0.32296252  0.98003052],[1.78180015 3.66879247],[-0.46122159  0.87466033],[1.45251731 4.04174201],[-0.36822045 -0.54005487],[1.97956842 4.18362082],[-0.54830812  0.76004624],[2.41829893 3.49259832],[-0.81149952  0.37302516]
[2.55507589 2.97146241],[-0.81814512  0.25312835],[1.57548248 4.73370935],[0.05418604 1.03519143],[1.43988029 4.12396893],[-0.32093938 -0.56554768],[1.9360755  4.15109784],[-0.48334736  0.81933093],[1.70244733 4.40872054],[-0.68011744 -0.1070033 ],[1.83293496 4.01274572],[-0.26091374  1.00263211],[1.73868849 3.75809874],[-0.4008158   0.91067648],[1.41816286 3.98754425],[-0.31656172 -0.54226941],[1.92715888 4.26116245],[-0.49827243  0.79173615],[2.33858935 3.53229543],[-0.7805383  0.4226331]
