[9.88424269 3.28039331],[-1.84940613 -3.06325497],[5.00337111 3.1385692 ],[-3.1099257  -0.59882909],[4.68819745 9.95803713],[-3.75466288 -2.50733847],[3.36565309 1.68488914],[-3.6885048 -3.6285723],[0.65230521 7.54510897],[-4.7396125  1.9276967],[6.41537492 4.3590607 ],[-3.8413879  -1.09547562],[7.90126422 3.28513849],[-3.56609095 -1.05533913],[2.25635422 9.98553971],[-0.91075889 -1.99387045],[1.6614203  0.97759462],[-3.15177414 -1.16364601],[4.84133697 3.5493092 ],[-0.03677743 -2.3499609 ]
[8.63877387 2.30648381],[-1.24962913 -0.24524273],[3.54933422 3.05570899],[-0.97112007  0.19088214],[3.58711498 8.68989469],[-0.46193133 -1.20430858],[2.29344427 0.87250615],[-0.64160803 -0.12483503],[-0.51993201  7.85801833],[-0.37004519 -0.21800404],[4.87094214 4.01853568],[-1.08301932 -0.12629887],[6.28857102 3.06748589],[-1.20425442  0.09060123],[2.04692171 8.42228027],[ 0.20513496 -1.31543325],[0.46150126 0.90900666],[-0.5266523  0.5700739],[4.79478721 2.25589254],[-0.06830537 -0.81841948]
[8.51271905 2.28562154],[-1.2700229  -0.17248237],[3.45323956 3.0766889 ],[-0.94918567  0.23022985],[3.54402874 8.56886441],[-0.40201071 -1.21755324],[2.23007485 0.86428955],[-0.626881   -0.03991151],[-0.55178719  7.83137063],[-0.2678826  -0.31836433],[4.76351695 4.00711473],[-1.06906667 -0.10554356],[6.16868568 3.07825604],[-1.19462137  0.12321484],[2.06977412 8.29120885],[ 0.25093084 -1.3057972 ],[0.41338686 0.97219376],[-0.43583445  0.69192473],[4.78771054 2.17587795],[-0.07219971 -0.78103144]
[8.38512843 2.27202155],[-1.28019132 -0.09937994],[3.35951747 3.10179178],[-0.92513214  0.27189476],[3.50668522 8.44653814],[-0.34362851 -1.22696641],[2.16892462 0.8655555 ],[-0.59898622  0.06312084],[-0.5729979   7.79426321],[-0.15544299 -0.42549608],[4.6574004  3.99771632],[-1.05483758 -0.08392917],[6.04987772 3.09229498],[-1.18014864  0.15872608],[2.09728334 8.16145119],[ 0.29702964 -1.29108327],[0.37464366 1.04732351],[-0.3372948  0.8100892],[4.78010352 2.09942486],[-0.08101911 -0.74913396]
[8.25664463 2.26541074],[-1.28849717 -0.03352431],[3.26813625 3.13098135],[-0.89953686  0.31475802],[3.47490977 8.32323658],[-0.29226872 -1.23835607],[2.1100647  0.87685062],[-0.57914029  0.16231853],[-0.58251492  7.7460879 ],[-0.03179541 -0.53692735],[4.55236648 3.99014345],[-1.04284164 -0.06454447],[5.93297398 3.1103366 ],[-1.15967972  0.20029864],[2.12933312 8.03328875],[ 0.34052776 -1.27502747],[0.34619291 1.13394283],[-0.2330806   0.91799573],[4.77170803 2.02626124],[-0.09025096 -0.71741685]
[8.12754089 2.26512747],[-1.29324132  0.02671737],[3.17942506 3.16455088],[-0.87207331  0.35910596],[3.44761108 8.19849545],[-0.24471835 -1.24661677],[2.05346899 0.89849041],[-0.55050953  0.27297091],[-0.57881352  7.687056  ],[ 0.10509775 -0.64511767],[4.44872503 3.9847272 ],[-1.02903568 -0.04275096],[5.81754831 3.13191959],[-1.15100556  0.22864661],[2.16562735 7.9068059 ],[ 0.38111854 -1.2581751 ],[0.32794856 1.23025813],[-0.12865364  1.00834845],[4.76237295 1.95629354],[-0.09717219 -0.68259775]
[7.9982595  2.27073114],[-1.29109158  0.08547305],[3.09346295 3.20252077],[-0.84510148  0.40210171],[3.42553583 8.07358309],[-0.19834002 -1.25235706],[2.00026101 0.93178149],[-0.51302165  0.39328679],[-0.56120543  7.61734707],[ 0.24574892 -0.74890532],[4.34661259 3.98168368],[-1.01606313 -0.02100531],[5.70323746 3.1564418 ],[-1.13264558  0.26420686],[2.20531414 7.78157928],[ 0.41418362 -1.24415723],[0.32055207 1.33506121],[-0.02125045  1.08276565],[4.75209539 1.88960832],[-0.10664708 -0.64917952]
[7.86936465 2.28203801],[-1.28730208  0.13889472],[3.01019058 3.24471263],[-0.8192534   0.44250039],[3.40826824 7.94847721],[-0.14903999 -1.25101212],[1.95115902 0.97736684],[-0.47022636  0.51636769],[-0.5296108   7.53780516],[ 0.38299752 -0.84109281],[4.24561976 3.98062942],[-1.00471136 -0.00105158],[5.59047187 3.18416991],[-1.12207802  0.2904586 ],[2.24808151 7.65772454],[ 0.44256178 -1.23090728],[0.32380338 1.44634299],[0.0820326 1.1361373],[4.74078214 1.82625437],[-0.11711836 -0.61516008]
[7.74104412 2.29854096],[-1.27852684  0.19067106],[2.92965395 3.2910028 ],[-0.79155464  0.48285468],[3.39518058 7.82299726],[-0.11175134 -1.25658984],[1.90606836 1.03469147],[-0.4284751   0.63169536],[-0.48489233  7.44980915],[ 0.51221612 -0.91200793],[4.14573814 3.98153055],[-0.99261459  0.01937298],[5.47895892 3.21459261],[-1.10657721  0.31936867],[2.29380006 7.5354595 ],[ 0.47016634 -1.21545851],[0.33738738 1.56226195],[0.18964882 1.18003657],[4.72875766 1.76672422],[-0.12478324 -0.57658358]
[7.6137401  2.32008072],[-1.26780029  0.23903359],[2.85217163 3.3415067 ],[-0.75744916  0.5275333 ],[3.38605874 7.6974375 ],[-0.07060328 -1.25384608],[1.8660251  1.10389832],[-0.37311288  0.74943204],[-0.42759897  7.35621426],[ 0.63064337 -0.95608234],[4.04699178 3.98438418],[-0.98096712  0.03903655],[5.36932045 3.24817221],[-1.08488945  0.35350497],[2.34191483 7.41453866],[ 0.49215717 -1.20239723],[0.36138678 1.68162752],[0.29102102 1.20629823],[4.7158261  1.71102175],[-0.13394103 -0.53717511]
[7.48721068 2.34587114],[-1.25995081  0.27837694],[2.77824407 3.39651394],[-0.72047589  0.5728178 ],[3.38087913 7.57215566],[-0.03454789 -1.25261051],[1.83197413 1.18459239],[-0.30897443  0.86046791],[-0.35928028  7.25939347],[ 0.73342038 -0.97608473],[3.9495575  3.98934824],[-0.9672724  0.0606829],[5.26164307 3.28492162],[-1.06783122  0.38198045],[2.39229009 7.295115  ],[ 0.51461004 -1.18643632],[0.39515751 1.80283727],[0.38155471 1.21445192],[4.70216501 1.65958062],[-0.13941256 -0.49136084]
[7.36185598 2.37572776],[-1.24673982  0.31838387],[2.70838551 3.45629243],[-0.67833855  0.62061751],[3.37900071 7.44690886],[-0.0052783  -1.25364557],[1.80486372 1.27599716],[-0.23392104  0.96358146],[-0.28186076  7.16124755],[ 0.81125115 -0.98487469],[3.853724   3.99672597],[-0.95346191  0.08279902],[5.15577435 3.32454354],[-1.04997021  0.40974769],[2.44482054 7.17729326],[ 0.53351105 -1.17209711],[0.43694311 1.92371941],[0.45672033 1.20585125],[4.68752157 1.6124461 ],[-0.15461617 -0.45190583]
[7.23779712 2.40934037],[-1.23282824  0.35489138],[2.64252328 3.52047601],[-0.63423884  0.66714633],[3.37985043 7.32161152],[ 0.02142282 -1.25242532],[1.78509719 1.37655539],[-0.16364873  1.04214862],[-0.19742971  7.0629954 ],[ 0.87450988 -0.97870376],[3.75904147 4.00606051],[-0.94118893  0.10279104],[5.05145645 3.36660552],[-1.03505241  0.43253174],[2.49928566 7.0610498 ],[ 0.55629717 -1.15213821],[0.48624443 2.04374003],[0.52968137 1.19513472],[4.67146108 1.56956101],[-0.17083315 -0.40934688]
[7.11528907 2.44659532],[-1.21704259  0.38992773],[2.58109751 3.58915867],[-0.59392048  0.70623772],[3.38355886 7.19679173],[ 0.05047462 -1.24567945],[1.77262963 1.48432429],[-0.08503338  1.11084774],[-0.1074172   6.96578088],[ 0.92443951 -0.96375535],[3.66544916 4.01722583],[-0.93301486  0.11790423],[4.94877126 3.41099246],[-1.01748942  0.45612245],[2.55606385 6.94686945],[ 0.57752594 -1.13303337],[0.54259921 2.16249906],[0.59365991 1.17668602],[4.65390905 1.53129604],[-0.1826387  -0.35761946]
[6.99454544 2.48740371],[-1.19946708  0.42404597],[2.52406764 3.66191658],[-0.54680472  0.7480946 ],[3.39017024 7.07276328],[ 0.07696573 -1.23925423],[1.76788185 1.59796701],[-0.00955575  1.15996471],[-0.01298519  6.87032239],[ 0.96213024 -0.94528807],[3.57284068 4.03000838],[-0.9194447   0.13737641],[4.84821414 3.45805893],[-0.9978413   0.48074289],[2.61473521 6.83443477],[ 0.59679685 -1.11454954],[0.60507319 2.2792722 ],[0.65313038 1.15675551],[4.63461885 1.49791272],[-0.20468601 -0.31066101]
[6.8755234  2.53144435],[-1.18064896  0.45666304],[2.4719498  3.73884059],[-0.49640802  0.7887548 ],[3.39944081 6.9495126 ],[ 0.10698951 -1.22697189],[1.77044631 1.71562437],[0.06227468 1.19300198],[0.08505773 6.7771338 ],[ 0.99892138 -0.91677336],[3.48169823 4.04482858],[-0.90513363  0.1572763 ],[4.74932262 3.50719925],[-0.98130712  0.50042632],[2.67508167 6.72365832],[ 0.60861859 -1.10215455],[0.67296221 2.3937117 ],[0.70512539 1.13316305],[4.61333077 1.469738  ],[-0.22401622 -0.25475298]
[6.75801013 2.57822744],[-1.16713243  0.48091176],[2.42446091 3.81919549],[-0.45303578  0.81803044],[3.41156006 6.82740581],[ 0.13619864 -1.21421815],[1.77963421 1.83558613],[0.12236996 1.20622003],[0.18697311 6.68740337],[ 1.03464376 -0.88146617],[3.3921005  4.06173807],[-0.88647057  0.18121939],[4.6521774  3.55831323],[-0.9608052   0.52246056],[2.73611303 6.61374183],[ 0.61486355 -1.09298793],[0.74551086 2.50546077],[0.74706549 1.10391201],[4.59021732 1.44760444],[-0.23759585 -0.18611442]
