[9.7803942  7.80386973],[ 3.10425333 -2.93719318],[3.44055187 9.8203091 ],[-4.85467104  3.30460226],[7.1311259  1.89577513],[ 1.14286695 -3.30021654],[4.42911105 3.94885856],[-0.94243545  3.19267967],[9.70130368 8.69295679],[3.23886918 2.69351453],[0.36739226 8.0247451 ],[-3.52546773  2.80256258],[2.53028635 8.41872774],[-3.0708844  -1.87925259],[5.8172056 2.1625362],[-1.83251155  2.93762731],[6.89075194 7.50558791],[ 1.64406202 -3.4561128 ],[2.94501111 8.02288023],[ 2.24089442 -3.13014657],[2.02464279 9.49057504],[0.11994915 0.67791287],[0.38776823 3.96684632],[-2.90488925 -1.40646159],[1.28660715 4.81870401],[3.99901044 0.10526574],[8.38920725 0.48650377],[-1.8076547  -0.38985987],[2.07569776 8.4242328 ],[ 2.61559238 -0.1719607 ],[8.31082483 9.84987563],[2.548417   3.77757139],[7.80262899 5.55413525],[-3.90884287  1.68140048],[9.39966111 0.3413489 ],[-1.96568444  0.43296734],[0.74068989 2.37587369],[ 0.56622405 -0.0827636 ],[0.85090233 7.87643476],[-4.33022435  4.77261819],[8.03670292 4.58670631],[-2.94179544 -3.3485199 ],[1.15827574 8.1016303 ],[-4.2373829   1.57023602],[1.57738003 8.24270165],[ 4.46121359 -3.27073909],[1.04460673 4.67082415],[4.18714745 1.22082148],[3.83733594 0.49223235],[-1.11426558 -3.52143014],[4.47480788 8.62004152],[2.24081265 4.87715487],[2.31686828 9.35064147],[1.31767937 4.54604487],[0.86701471 4.45093517],[-0.29465267 -1.16874006],[9.13180519 5.03301624],[4.63727035 4.10871538],[6.37163164 3.97482642],[2.07387105 3.1514579 ],[9.98292265 4.86999327],[-1.39636003 -2.91852654],[9.8781843  4.91841753],[2.62744888 2.04605318]
[8.13601264 7.64996663],[-1.26486344 -0.16680561],[4.19569034 4.14213948],[ 0.26040004 -0.35534524],[1.79849135 2.7185254 ],[-0.52614473  0.17446369],[5.89164623 4.80477649],[0.72836801 0.26213734],[3.69881918 6.40523254],[1.10188217 0.57712276],[4.99438388 5.20957777],[ 0.85803336 -0.10703938],[6.52979982 7.05605618],[-0.24229117 -0.79356557],[3.98926749 4.63057245],[-1.02342354 -1.10645524],[6.80679179 8.44176047],[-0.64024267 -0.76964271],[4.50946413 4.79635835],[0.95146192 0.924219  ],[8.01245329 6.45898663],[ 0.48916748 -0.51743595],[7.30019539 6.95144748],[0.66851926 0.64207577],[4.94291253 5.17152212],[0.21183286 0.17321419],[5.76529359 6.33037702],[0.8234887  0.67552628],[4.03554346 3.82496018],[-0.38828071  0.06087931],[8.31660578 8.18829738],[0.93464136 0.38841998],[5.79210842 4.45064634],[-0.54634993 -1.17936861],[6.41531139 6.39032691],[1.19916579 1.34851159],[1.8088702  3.20380942],[0.63333659 0.87958231],[4.840557   4.10232896],[0.70829359 0.18543736],[7.74631164 9.18542388],[0.14474176 0.63859335],[5.71093779 5.73393505],[-1.09881157 -1.12946656],[6.9588327  5.73961745],[-0.94622665  0.03607134],[5.66363734 4.19089795],[-0.83939489 -0.44341516],[4.20347995 4.64981045],[-0.77845801  0.468964  ],[6.32485852 6.39221346],[0.77639271 0.63227165],[3.75690751 3.65953817],[0.52384811 0.01498277],[4.9916546  4.00061218],[1.51361137 1.04867139],[5.44213718 5.48985701],[-0.50652556 -0.30662252],[4.45346681 4.41611663],[-0.46869019 -0.26453069],[4.43616686 5.28176024],[-0.60049995 -0.90342899],[4.07839454 4.64323373],[-0.95535134 -0.92847557]
[8.01049891 7.631326  ],[-1.06058145 -0.0164436 ],[4.20355259 4.08643925],[ 0.09219898 -0.5616985 ],[1.75564006 2.74706337],[-0.11526645  0.61148218],[5.96478211 4.83180517],[0.80114673 0.34757407],[3.80525701 6.45708199],[1.03460507 0.46756245],[5.0440358  5.16050925],[ 0.31803412 -0.69237573],[6.47426186 6.94553904],[-0.79891797 -1.32718002],[3.90198095 4.53466958],[-0.70845721 -0.7992811 ],[6.70888541 8.32980437],[-0.96204309 -1.11247717],[4.61387449 4.89792538],[1.16475726 1.13577   ],[8.07215729 6.41796591],[ 0.5979931  -0.41107889],[7.36255966 7.01168151],[0.85780756 0.84170941],[4.95429238 5.17866445],[0.0519673  0.00570575],[5.85698845 6.40695211],[0.8975958  0.74449146],[3.99686949 3.83344938],[-0.67131562 -0.17803178],[8.39062128 8.20715094],[0.67211422 0.10995727],[5.74290169 4.34169342],[-0.54809576 -1.11777429],[6.53596588 6.52456319],[1.36539567 1.48665301],[1.86215616 3.28001402],[0.20574166 0.42104794],[4.91808065 4.12745461],[1.00988151 0.49207229],[7.79228925 9.27947725],[0.66091176 1.11060238],[5.62309575 5.64324939],[-0.7815917  -0.80877665],[6.85508995 5.73454453],[-0.8012325   0.19962911],[5.59460392 4.16414595],[-0.58816102 -0.13534086],[4.1170512  4.68811726],[-0.66207731  0.58641481],[6.40040494 6.4534474 ],[0.71209797 0.56819172],[3.8004801  3.65036517],[0.54733152 0.00219443],[5.13544908 4.1042567 ],[1.31247601 0.9628552 ],[5.39876029 5.46726421],[-0.08315255  0.13276147],[4.38510382 4.36874068],[-0.90684367 -0.69396046],[4.3823456  5.19667567],[-0.57302332 -0.89378017],[3.99993335 4.566819  ],[-0.57366049 -0.55934575]
[7.90305826 7.62853787],[-1.28580221 -0.25029104],[4.21520774 4.03071107],[ 0.16686697 -0.52656809],[1.74419388 2.80922673],[-0.14732446  0.59908971],[6.05913377 4.88235619],[1.05035369 0.63499049],[3.9042592 6.4971486],[0.75605124 0.13571598],[5.06370151 5.07746229],[ 0.02293091 -1.01216041],[6.38545441 6.80704461],[-1.23021968 -1.68188037],[3.81702002 4.44024648],[-0.94742784 -1.04606004],[6.62643231 8.23114272],[-0.5472798  -0.72511451],[4.73598682 5.0171516 ],[1.19648354 1.16795306],[8.12895265 6.37367154],[ 0.7621043  -0.24804836],[7.44533065 7.09340409],[0.69760336 0.69266321],[4.95661655 5.1759404 ],[-0.07774475 -0.13257149],[5.93835053 6.47260787],[0.7184012  0.55545528],[3.96922637 3.85718276],[-0.08721303  0.4476024 ],[8.48503619 8.24550054],[1.04126675 0.48993378],[5.67191679 4.21904579],[-0.48034177 -0.95662445],[6.65557484 6.65497946],[0.88514282 0.98466639],[1.89931737 3.33768036],[0.66135989 0.85334528],[5.01556445 4.1750575 ],[0.85372607 0.36831102],[7.84810082 9.3775613 ],[0.47186033 0.87278909],[5.53944851 5.55702347],[-0.55545055 -0.57993592],[6.76994735 5.75220971],[-0.76257465  0.29091978],[5.54186768 4.16027716],[-0.70517263 -0.18074104],[4.0506921  4.74721655],[-0.67191623  0.58766335],[6.45411914 6.49243075],[0.41421868 0.26308988],[3.84951661 3.64306332],[ 0.50418643 -0.0762892 ],[5.24105969 4.1778111 ],[1.04145875 0.74257578],[5.42361126 5.51457859],[0.37621307 0.60717611],[4.29816976 4.30292398],[-0.7341227  -0.52335534],[4.29239354 5.07512949],[-1.10077421 -1.39589604],[3.95412175 4.52184282],[-0.05624019 -0.05383088]
[7.78535531 7.61183066],[-1.1841363  -0.18597447],[4.23306998 3.97721639],[ 0.05391683 -0.67626555],[1.70309742 2.84375284],[-0.81275115 -0.04917945],[6.1823101  4.96786607],[1.21941402 0.88302962],[3.99185746 6.51891774],[0.91148841 0.21745184],[5.07371237 4.98432329],[ 0.28143622 -0.75846101],[6.26370838 6.64620577],[-1.19753065 -1.53656893],[3.72645562 4.33962228],[-0.71223178 -0.81592874],[6.5482686  8.13369697],[-0.84623985 -1.05063358],[4.82097665 5.09917315],[0.49523549 0.46303947],[8.18835883 6.33220269],[ 0.72641347 -0.28224831],[7.50484153 7.15295552],[0.36397136 0.36977226],[4.94103036 5.15442262],[-0.38639259 -0.44995739],[5.99490661 6.51194248],[0.51496495 0.33202836],[3.96619844 3.90993164],[0.27764261 0.85471864],[8.60054394 8.30819405],[1.13674196 0.63372073],[5.63845222 4.13918565],[-0.48620186 -0.9349915 ],[6.72068712 6.73018686],[1.02751244 1.12826807],[2.00903832 3.46370836],[1.29542218 1.42415592],[5.07971517 4.19081501],[ 0.33110471 -0.15585699],[7.89919682 9.46644909],[0.34009689 0.70084043],[5.46380743 5.47901179],[-0.69909509 -0.72161347],[6.6746296  5.76448837],[-1.11600273 -0.03399079],[5.5001563  4.17481995],[-0.33167596  0.27191221],[3.98496142 4.80767667],[-0.52894488  0.73477937],[6.47182849 6.49436558],[ 0.0673799  -0.09757186],[3.9145899  3.64860154],[0.81781349 0.21223318],[5.3345214  4.24338041],[0.93298103 0.67176226],[5.44044263 5.55521364],[0.17117405 0.41912562],[4.22672155 4.25278604],[-0.50758054 -0.29048157],[4.1964131  4.95078617],[-0.90961599 -1.18008127],[3.95503619 4.52237419],[0.20663744 0.19636727]
[7.65978299 7.58322664],[-1.14524694 -0.20783452],[4.19961371 3.87128023],[-0.50776792 -1.20493813],[1.63160827 2.84912012],[-0.93234338 -0.16066513],[6.30124778 5.05658378],[1.23317995 0.965832  ],[4.07903538 6.53309689],[0.82993815 0.0599765 ],[5.11609084 4.92079089],[ 0.12176683 -0.95383031],[6.19306047 6.54359074],[-0.28662649 -0.60814717],[3.65205404 4.25422594],[-0.95388545 -1.06725885],[6.46967685 8.03366593],[-0.56680455 -0.79523117],[4.85372159 5.12833332],[0.23439777 0.19438808],[8.247875  6.2909744],[ 0.77635948 -0.22920845],[7.54464162 7.19390059],[0.77953332 0.79656992],[4.92706079 5.13366232],[-0.05773422 -0.13064873],[6.07285466 6.57088816],[0.80478649 0.6107493 ],[3.97093625 3.97392906],[0.09454587 0.70721732],[8.70051396 8.35959624],[0.69422492 0.21600648],[5.59330804 4.0510057 ],[-0.49198362 -0.90116028],[6.79590185 6.81529028],[0.72474114 0.82347692],[2.14214466 3.60645827],[1.34430998 1.41117885],[5.10742725 4.16895883],[ 0.49537653 -0.00874544],[7.9495096  9.55117072],[0.66241735 0.9859022 ],[5.39974357 5.41276551],[-0.4605611  -0.48192534],[6.54680013 5.74269756],[-1.26890348 -0.237761  ],[5.43468317 4.17345492],[-1.33427851 -0.6725493 ],[3.97398893 4.92098473],[0.23929267 1.43438351],[6.45884238 6.46417408],[-0.20643074 -0.38454046],[3.9991017  3.67221812],[0.95889174 0.34882876],[5.42302109 4.30746893],[0.68937687 0.4625356 ],[5.44339371 5.58400728],[-0.10065295  0.16908974],[4.2045463  4.25340274],[-0.22512988  0.01377075],[4.13053022 4.85780025],[-0.57726526 -0.8552478 ],[3.96158307 4.52720199],[0.11214808 0.08780153]
[7.54329173 7.55953784],[-1.54610302 -0.649214  ],[4.14539211 3.75038472],[-0.72645086 -1.36159564],[1.53912286 2.83271314],[-0.71397323  0.03634179],[6.44250381 5.17589655],[0.90443017 0.72587756],[4.16204692 6.53517746],[ 0.84338504 -0.00933932],[5.12986561 4.82724847],[ 0.5193941  -0.55522516],[6.16573649 6.48279742],[-0.50778241 -0.85409415],[3.5434812 4.1345735],[-1.0614503 -1.1701448],[6.39052609 7.93048363],[-0.9329892  -1.18146806],[4.85208053 5.12222795],[-0.4662635  -0.51552127],[8.31372432 6.25704866],[ 0.30153808 -0.69186462],[7.5814578  7.23297885],[0.01696442 0.04580866],[4.90843204 5.10722201],[-0.35507    -0.43818347],[6.15583676 6.63406266],[0.73018638 0.5274844 ],[3.98443804 4.04973801],[-0.00275743  0.63406038],[8.76094488 8.37128583],[0.54919916 0.05180351],[5.56288763 3.98101565],[-0.21649698 -0.60099256],[6.85021556 6.87953829],[0.45444948 0.55657941],[2.26902311 3.73766502],[1.14394868 1.16558213],[5.15836792 4.16893313],[0.80105109 0.28673977],[8.00756052 9.63924964],[0.4183829  0.69898894],[5.37104528 5.38192629],[-0.20463906 -0.22628756],[6.4112653  5.70731997],[-1.58182965 -0.63073589],[5.34352118 4.14937237],[-0.62236635  0.07395574],[4.0057674  5.06406282],[0.20854358 1.24926618],[6.43059153 6.41751445],[-0.44483725 -0.63372695],[4.10707042 3.72129627],[0.95042004 0.37659335],[5.47861778 4.34133181],[0.4199461  0.21120604],[5.46567576 5.63423331],[0.46142557 0.74672318],[4.20155194 4.27543463],[0.30152705 0.56251456],[4.0460315  4.74584484],[-0.92205472 -1.1886899 ],[3.98298663 4.54541018],[0.53299535 0.49347799]
[7.40550059 7.50586721],[-1.56883739 -0.7754705 ],[4.07153595 3.61769107],[-0.84549432 -1.3908096 ],[1.4934418  2.86287651],[-0.02885095  0.73803949],[6.50248455 5.21943265],[0.55120151 0.39924624],[4.262066   6.54685007],[1.06613289 0.15968093],[5.16748527 4.75590706],[-0.12246819 -1.21465467],[6.12971645 6.41133089],[-0.48355037 -0.84789415],[3.43937336 4.01975408],[-0.84850664 -0.95512908],[6.30637026 7.82113426],[-0.46922623 -0.73060695],[4.82390319 5.08866167],[-0.3414728  -0.40010494],[8.32230898 6.16748676],[-0.29415862 -1.24109861],[7.54651232 7.20155582],[-0.18332344 -0.14160901],[4.91461545 5.10453184],[0.24255783 0.14794933],[6.22115131 6.67817244],[0.67665768 0.45607028],[3.97150408 4.10267119],[-0.20639207  0.47530055],[8.83325216 8.39337837],[0.74044767 0.23484107],[5.50522551 3.88691586],[-0.74521994 -1.07751624],[6.89887664 6.9386452 ],[0.31862479 0.42568088],[2.35687392 3.82585866],[0.65361393 0.63936069],[5.22371527 4.1828373 ],[0.63788737 0.12255958],[8.05210533 9.71012369],[0.43069743 0.6788519 ],[5.35381459 5.36249708],[-0.07216625 -0.09452542],[6.25403668 5.63797606],[-1.5564047  -0.75941744],[5.26676819 4.14540941],[-0.68451661  0.06930999],[4.02426702 5.18337092],[0.42091054 1.38749156],[6.40723748 6.37471962],[-0.18960225 -0.39072477],[4.23218362 3.79205496],[1.27744053 0.77424081],[5.52531542 4.36794375],[0.44621734 0.25357265],[5.52475762 5.72173249],[0.54075825 0.81872222],[4.21236587 4.31337018],[0.06184238 0.34465135],[3.97365364 4.64719355],[-0.39471546 -0.66161931],[4.03903917 4.59679184],[0.58769944 0.53382382]
[7.24582057 7.4171533 ],[-1.48770406 -0.8622276 ],[4.01982909 3.51348322],[-0.51616617 -1.0281101 ],[1.46240919 2.90883888],[-0.68831176  0.08861721],[6.56643561 5.26957634],[0.58277778 0.45987075],[4.38908344 6.5828627 ],[1.55974689 0.67059478],[5.17768873 4.65818699],[ 0.36089903 -0.71775321],[6.10262793 6.34671781],[-0.22714449 -0.61532517],[3.34185896 3.91163533],[-0.55996152 -0.66701151],[6.22588207 7.71334331],[-1.25753589 -1.53075898],[4.77382538 5.03230525],[-0.61713131 -0.68335776],[8.30771018 6.06170581],[-0.34146996 -1.21786024],[7.51122735 7.1711195 ],[-0.19584415 -0.14054544],[4.9461734  5.12602881],[0.54037412 0.43427072],[6.31020964 6.74481724],[0.99346062 0.76905063],[3.92077657 4.12246882],[-0.600434    0.12650759],[8.9386509  8.44990488],[1.03775136 0.56809988],[5.45454338 3.80537437],[-0.38946432 -0.68023475],[6.98170463 7.03202512],[1.0060746  1.10676272],[2.44665338 3.91251233],[0.98241409 0.93521129],[5.29606028 4.20396094],[0.81751358 0.30885823],[8.09982304 9.78102491],[0.45188157 0.66567334],[5.32704682 5.33345541],[-0.61341211 -0.63637059],[6.09617468 5.55219238],[-1.69463732 -1.04323864],[5.2094314  4.16707952],[-0.36203811  0.46700482],[4.07882055 5.32679406],[0.52174144 1.33794158],[6.37579203 6.32258689],[-0.37832985 -0.58933376],[4.37252919 3.88661952],[1.39174032 0.98713044],[5.58001142 4.40428538],[0.56855813 0.3969856 ],[5.57251127 5.79751524],[0.63041281 0.90935674],[4.20105438 4.33162787],[0.03023417 0.33912967],[3.92416882 4.56988284],[-0.60090677 -0.88646051],[4.11275686 4.66450744],[0.59482718 0.52860296]
[7.10828396 7.33759451],[-1.4737088 -0.9409044],[3.96551956 3.40964913],[-0.58097419 -1.05934318],[1.38740167 2.91171051],[-0.97414544 -0.20121872],[6.62846346 5.32079816],[0.92231935 0.82957682],[4.53919348 6.64939285],[1.3708882  0.57317981],[5.23862769 4.60989349],[ 0.70175454 -0.40213811],[6.07892451 6.28295649],[-0.29798672 -0.71156472],[3.27914193 3.83753239],[-0.77473949 -0.89502634],[6.10527235 7.56688611],[-1.18926288 -1.43051314],[4.71047133 4.96201824],[-0.75204856 -0.82397801],[8.26156494 5.93329419],[-0.81962275 -1.56209719],[7.47765518 7.14381942],[-0.36590411 -0.29590911],[4.97246604 5.14111153],[-0.01670722 -0.13562166],[6.40392522 6.81609274],[0.85869191 0.63421625],[3.87943995 4.15610963],[-0.38618971  0.38738582],[9.02265278 8.48803997],[0.87077222 0.41216399],[5.41911219 3.74239186],[-0.25039793 -0.51111573],[7.0577247  7.11772712],[0.52036712 0.61684485],[2.5347607  3.99425976],[1.02776137 0.94818278],[5.37958167 4.23793838],[0.75187439 0.26442141],[8.14356123 9.84437128],[0.35754021 0.53772156],[5.25427227 5.25844111],[-0.71666608 -0.73818414],[5.93084289 5.44338278],[-1.42858867 -0.9308803 ],[5.13568114 4.17960403],[-1.00488638 -0.12044829],[4.13600291 5.46004951],[0.75894223 1.45894884],[6.34053038 6.26576006],[-0.26331665 -0.4829938 ],[4.48516573 3.96122181],[1.10411949 0.74551952],[5.65923169 4.46783255],[0.78554863 0.6455827 ],[5.67327674 5.9242872 ],[1.17280682 1.40425863],[4.18151273 4.34433624],[-0.42215638 -0.08673081],[3.87638865 4.49286477],[-0.3383249  -0.64263442],[4.18396619 4.72841317],[0.74292613 0.66395141]
[6.95838027 7.23453036],[-1.29272164 -0.87524941],[3.92542516 3.32290864],[-0.29632996 -0.76063433],[1.30801859 2.90903691],[-0.82908622 -0.06666119],[6.72955264 5.41473149],[1.0842192  1.03228248],[4.65620994 6.68598873],[1.32107877 0.51408644],[5.31736726 4.57782548],[ 0.52938834 -0.58424598],[6.03025173 6.1925256 ],[-0.85879072 -1.27135309],[3.19134238 3.73742249],[-1.03947644 -1.16254351],[5.99011555 7.42855494],[-1.228241   -1.45246933],[4.64751098 4.89157845],[-0.63140127 -0.70906121],[8.22254977 5.82602187],[-0.1833237  -0.83510616],[7.44276161 7.11669695],[-0.31934282 -0.23369906],[4.95919454 5.11524204],[-0.34850151 -0.48146834],[6.47324202 6.86241855],[0.47455557 0.23530268],[3.83356482 4.18991642],[-0.71854892  0.09958472],[9.12724245 8.5482621 ],[1.10498714 0.68257558],[5.38736147 3.68593785],[-0.5247675  -0.75612964],[7.0974627  7.16732991],[0.14903856 0.25073365],[2.63684247 4.08704751],[1.05566    0.94928908],[5.46462158 4.27542378],[0.91691088 0.45354109],[8.16452549 9.88184407],[0.1164138  0.26747168],[5.20564435 5.2076693 ],[-0.65690035 -0.67836342],[5.78205074 5.34014995],[-1.63882944 -1.23223113],[5.05286833 4.18743445],[-0.97013467 -0.03589172],[4.2166396  5.60324146],[0.71049203 1.26979861],[6.30253411 6.2056432 ],[-0.16240377 -0.38846933],[4.56306048 4.00422805],[0.62188414 0.27372044],[5.74697288 4.54326443],[0.90096847 0.7962765 ],[5.77824449 6.04985387],[1.03495126 1.22451464],[4.11922943 4.31650883],[-0.88645813 -0.53752145],[3.86085407 4.44503238],[-0.23078966 -0.57286725],[4.27429777 4.81040641],[0.94420196 0.85715212]
[6.81288505 7.12644091],[-1.4678792  -1.14190448],[3.89493168 3.24650662],[-0.07581418 -0.53597618],[1.23625456 2.91341679],[-0.79693394 -0.0385097 ],[6.84361986 5.52556263],[1.10323183 1.08999997],[4.79052561 6.74119518],[1.39859527 0.63176116],[5.34006915 4.48898291],[-0.07685414 -1.18052532],[5.94207727 6.06527281],[-1.14772022 -1.50776119],[3.1137342 3.6473906],[-0.2965318  -0.42599712],[5.87507023 7.29198749],[-1.03181791 -1.24311845],[4.57865837 4.81473699],[-0.5287951  -0.61077953],[8.19575081 5.73672637],[-0.35920897 -0.95683587],[7.40405715 7.08736894],[-0.41473147 -0.3129687 ],[4.95399639 5.09599763],[-0.10541739 -0.25415391],[6.544307   6.90871618],[0.75868583 0.50446022],[3.75158069 4.19107047],[-0.99095156 -0.15939   ],[9.22291715 8.60327594],[0.95156599 0.55502633],[5.31422441 3.59222853],[-0.92448639 -1.10345252],[7.1195592  7.19999832],[0.41964515 0.52922508],[2.73390338 4.17211341],[0.8668567  0.73353039],[5.54209692 4.30735597],[0.91788169 0.4726585 ],[8.17015487 9.9010894 ],[0.12058659 0.24185817],[5.14899199 5.1489062 ],[-0.56282115 -0.58390549],[5.62325708 5.21686356],[-1.5724673  -1.26277649],[4.96448263 4.19418024],[-0.79248881  0.18200526],[4.2824402  5.72063199],[0.64067581 1.12207579],[6.27818138 6.15801029],[-0.35808774 -0.59680883],[4.63956638 4.04627048],[0.86664437 0.52613894],[5.84521495 4.6328855 ],[0.92962869 0.86267596],[5.90171371 6.18980269],[1.09420981 1.23663031],[4.02517894 4.25663972],[-0.69081907 -0.35532971],[3.81523272 4.36443478],[-0.45477755 -0.81386965],[4.40096206 4.92843986],[1.41952805 1.33782091]
[6.66764378 7.00956196],[-1.20710791 -0.95949176],[3.84548574 3.15179802],[-0.75814354 -1.19205618],[1.19719066 2.95058755],[-0.43936069  0.32836317],[6.9529233  5.63524938],[1.05559363 1.07563125],[4.93444801 6.8112431 ],[1.5633876  0.86593407],[5.33726571 4.3793186 ],[ 0.11867411 -0.93421064],[5.81798214 5.90972901],[-1.19774413 -1.46666994],[3.11871424 3.63817818],[ 0.09778029 -0.05725196],[5.76851258 7.1642559 ],[-1.25978921 -1.46754688],[4.50916106 4.73675156],[-0.82910363 -0.9146528 ],[8.15345766 5.63838695],[-0.36591654 -0.89177188],[7.36057772 7.05488552],[-0.59144346 -0.47334082],[4.93393789 5.06026657],[-0.50816896 -0.67097231],[6.63173632 6.9702823 ],[1.11749002 0.86005497],[3.65128891 4.17294874],[-1.04064765 -0.22474385],[9.34377455 8.68741965],[1.13977929 0.80320604],[5.26480222 3.52715138],[-0.25052713 -0.38874532],[7.13881066 7.23057441],[0.10556948 0.22327551],[2.86551234 4.28983147],[1.3867809  1.24933646],[5.63274434 4.35541919],[0.71273681 0.30281517],[8.18740241 9.92881429],[-0.07370371  0.01410547],[5.09410173 5.09191151],[-0.61876912 -0.63971553],[5.47874001 5.10034939],[-1.50024099 -1.24849075],[4.84952451 4.17658476],[-1.401639   -0.44858804],[4.31798497 5.80240258],[0.37831165 0.83041307],[6.23032866 6.08622293],[-0.42422961 -0.6646526 ],[4.72543078 4.09898436],[0.65731088 0.33382314],[5.94951757 4.73230151],[1.03466445 1.00414896],[5.99407088 6.29532382],[0.87288353 0.99567791],[3.98276832 4.24878447],[-0.14617454  0.21091362],[3.75681433 4.27005095],[-0.69659525 -1.05895422],[4.56261265 5.08291229],[1.17236102 1.10761577]
[6.53319545 6.8973925 ],[-1.45032533 -1.25658565],[3.75518588 3.02164443],[-1.07292994 -1.42750029],[1.16752846 2.99812465],[-0.24802777  0.5277876 ],[7.06026435 5.746069  ],[1.12928057 1.17819807],[5.07324921 6.88386585],[1.1727681  0.52907021],[5.35182697 4.28908141],[ 0.07904227 -0.96436433],[5.7149783  5.78263322],[-0.76562722 -0.99205854],[3.12754601 3.63011659],[0.30929815 0.12635862],[5.64560467 7.02131612],[-1.22640723 -1.41675764],[4.41335533 4.63255255],[-1.06035005 -1.14224168],[8.08348913 5.52061113],[-0.76026409 -1.17900011],[7.30302883 7.00985644],[-0.84809037 -0.71605727],[4.88972851 4.99931904],[-0.3409475  -0.51300258],[6.73736047 7.0509116 ],[0.89964391 0.65454846],[3.57035178 4.17414822],[-0.8048794   0.02433342],[9.42602309 8.7373861 ],[0.67024775 0.3517276 ],[5.23941273 3.48967614],[-0.08819157 -0.19135407],[7.10626132 7.21022886],[-0.65409462 -0.52906358],[2.97277   4.3826894],[0.77116733 0.6144518 ],[5.69153089 4.37376054],[0.40273706 0.0015411 ],[8.18452735 9.93294365],[-0.24780322 -0.19615754],[5.05102084 5.04672402],[-0.26564238 -0.28700547],[5.34617628 4.99098633],[-1.26041178 -1.04446126],[4.73121542 4.15140927],[-0.99408848 -0.0715074 ],[4.35869889 5.88684014],[0.55733005 0.97755488],[6.20102734 6.03242539],[-0.32514435 -0.57581624],[4.79393512 4.13533285],[0.62380513 0.30451228],[6.02334223 4.80465347],[0.77040595 0.77124612],[6.09109458 6.4038215 ],[1.30276883 1.40536443],[3.93886694 4.24179834],[-0.75110221 -0.3719897 ],[3.67000037 4.14887457],[-0.72418229 -1.05510078],[4.67726626 5.19102497],[0.94207819 0.87494548]
[6.42133888 6.80326075],[-1.06856816 -0.90438254],[3.65737081 2.89227566],[-0.92739884 -1.21019864],[1.14497723 3.05332769],[-0.41276418  0.3659178 ],[7.14212803 5.83428983],[0.69937685 0.77896404],[5.18584254 6.93122684],[1.23081269 0.57636784],[5.35284546 4.18766174],[ 0.0780332  -0.93265191],[5.63508557 5.6807794 ],[-0.80997149 -1.02225948],[3.1680112  3.65090553],[0.45394555 0.2440808 ],[5.53257722 6.88939767],[-1.12252966 -1.30803539],[4.30532747 4.51674434],[-1.03950324 -1.11428199],[7.98888747 5.39035858],[-0.91847964 -1.21497381],[7.19933045 6.91920395],[-0.94699925 -0.81908706],[4.86238565 4.95401532],[-0.35202415 -0.53867897],[6.83993935 7.12928607],[0.98854876 0.75309859],[3.50079085 4.18873875],[-0.62791141  0.22683599],[9.47294205 8.75247797],[ 0.23681863 -0.08540733],[5.24917388 3.49089774],[0.10263514 0.0356073 ],[7.04465429 7.16121324],[-0.60991927 -0.48239374],[3.05112288 4.44356239],[1.08860409 0.89775414],[5.77464633 4.41788848],[1.15011408 0.78005281],[8.14311288 9.89469492],[-0.67216038 -0.66135052],[5.02264538 5.01616342],[-0.42736026 -0.44972324],[5.21941493 4.88446599],[-1.21201939 -1.02264026],[4.64602696 4.15907798],[-0.85783935  0.09344625],[4.39646781 5.96451149],[0.05029728 0.43788444],[6.17017851 5.97598016],[-0.35392265 -0.61412851],[4.82348241 4.13250128],[ 0.25556112 -0.07434279],[6.09506591 4.87800837],[0.44083383 0.47283951],[6.20738087 6.52896379],[0.98160936 1.05930095],[3.84837014 4.18887987],[-1.0726652  -0.70534555],[3.59398689 4.04109806],[-0.52730708 -0.84257819],[4.77717373 5.28396684],[0.9671404  0.89407618]
