[8.6363206 5.949278 ],[-0.28203122  0.99516652],[9.37655766 6.39995235],[-0.02080768  0.85757394],[3.66073633 3.84864216],[-0.27380852 -0.86150001],[0.35116049 6.52656553],[-0.31171793  0.21092578],[0.65838255 8.80527373],[-0.16123867 -1.1291139 ],[8.233301   6.11172079],[-0.75106389  0.77690547],[5.00506238 3.71482426],[-0.68900196 -0.65152734],[8.72700674 3.67405954],[0.66902781 0.56286611],[10.07173992  5.42995651],[-0.33825207 -1.06602286],[0.38291247 1.09581011],[0.15732544 1.28456667]
[8.60451295 6.0476252 ],[-0.35083875  0.97446634],[9.36973609 6.48542213],[-0.11891361  0.84861985],[3.63574969 3.76363168],[-0.22871099 -0.84174531],[0.32525801 6.54687299],[-0.20562538  0.19464097],[0.64857368 8.68979388],[-0.0358778  -1.17809882],[8.15544736 6.18747151],[-0.80428303  0.73862204],[4.936336   3.65105277],[-0.68839626 -0.6266103 ],[8.79059889 3.73284812],[0.60084629 0.6114259 ],[10.03242256  5.32417429],[-0.44719597 -1.04836891],[0.40467098 1.22507154],[0.27480755 1.29710792]
[8.56550444 6.14341675],[-0.43262075  0.93768709],[9.35271789 6.56964396],[-0.22081013  0.83622858],[3.6151134  3.68036375],[-0.18584342 -0.82558388],[0.31016758 6.56528538],[-0.09148787  0.17657298],[0.65105353 8.57015239],[ 0.08340303 -1.21309332],[8.07218258 6.25894856],[-0.85859054  0.69216793],[4.86773639 3.5898951 ],[-0.6825804  -0.59533669],[8.84729958 3.79660792],[0.5327604 0.6638923],[9.98279603 5.22082131],[-0.54222962 -1.015832  ],[0.4372165  1.35455549],[0.37473787 1.29164559]
[8.51856646 6.23564217],[-0.50583137  0.90634998],[9.32565149 6.65267836],[-0.3198746  0.8243855],[3.59871726 3.59861275],[-0.14289355 -0.81037757],[0.30736272 6.58216255],[0.03472504 0.15820047],[0.66529788 8.44791987],[ 0.19846056 -1.23092435],[7.98409142 6.32604663],[-0.90156353  0.65042937],[4.79981873 3.53203476],[-0.67825446 -0.56413453],[8.89731197 3.86592161],[0.46363547 0.71898997],[9.92397585 5.12098898],[-0.63386914 -0.98084004],[0.47908373 1.48296173],[0.46366601 1.27818523]
[8.46432037 6.32450715],[-0.57954228  0.8695702 ],[9.2884272  6.73406275],[-0.42110076  0.80573667],[3.58666774 3.51838694],[-0.09756609 -0.79376664],[0.31753803 6.59686015],[0.16848789 0.13315136],[0.69053349 8.32446622],[ 0.3053576  -1.23544512],[7.89169416 6.38865447],[-0.94439898  0.60270669],[4.73212369 3.47715881],[-0.67786206 -0.53537756],[8.93999556 3.94049904],[0.39184384 0.77463684],[9.85666993 5.02525023],[-0.7119218  -0.93418615],[0.5294252  1.60979391],[0.54253269 1.25875027]
[8.40283013 6.40954409],[-0.64841625  0.83193463],[9.24063288 6.81280599],[-0.53392225  0.76867958],[3.57856447 3.43921254],[-0.06092785 -0.78610948],[0.34166567 6.60888979],[0.31733416 0.10852306],[0.725911   8.20103283],[ 0.40179213 -1.23024232],[7.79553877 6.44673665],[-0.98010881  0.55667959],[4.66403165 3.42479443],[-0.68292039 -0.51065023],[8.97520731 4.02045627],[0.31200705 0.82426288],[9.78133987 4.93382468],[-0.79091681 -0.89122068],[0.58730452 1.73458775],[0.61185544 1.23495694]
[8.33458459 6.49062762],[-0.71438868  0.79068184],[9.18226605 6.88811424],[-0.63231219  0.73671778],[3.57441422 3.36108846],[-0.02182536 -0.77607796],[0.38127472 6.61839608],[0.4751817  0.08039885],[0.77018744 8.07832986],[ 0.48247472 -1.22188388],[7.69619844 6.50035748],[-1.00578878  0.51602691],[4.59555355 3.37509651],[-0.68386601 -0.48028692],[9.00220976 4.10520808],[0.2265586  0.86918321],[9.6987955  4.84720178],[-0.85907562 -0.84115575],[0.65156383 1.85676127],[0.67156923 1.20799449]
[8.25999581 6.56749549],[-0.7742563   0.74861624],[9.11413534 6.95972632],[-0.72769588  0.69596877],[3.57470467 3.28448225],[ 0.0251299  -0.75863867],[0.43731258 6.62534175],[0.64335833 0.05615094],[0.82233939 7.95712559],[ 0.56044693 -1.19994708],[7.59422632 6.54965546],[-1.03213933  0.47080993],[4.52700539 3.32854812],[-0.68666592 -0.44999219],[9.0203029  4.19408138],[0.13679778 0.90940208],[9.60923947 4.76516447],[-0.92684552 -0.79536961],[0.72159744 1.97635942],[0.72513991 1.18109967]
[8.17934559 6.63972728],[-0.83755373  0.69600126],[9.03700271 7.02714855],[-0.81390272  0.65121519],[3.57932588 3.20924866],[ 0.06800493 -0.7453085 ],[0.50962437 6.62938922],[0.8024388  0.02607425],[0.88204462 7.83852067],[ 0.62915645 -1.17454478],[7.48990966 6.59454509],[-1.05489572  0.42572366],[4.45838731 3.28533418],[-0.6895318  -0.41782327],[9.02929004 4.28673361],[0.04345292 0.94342672],[9.51356149 4.68809395],[-0.98911615 -0.74959846],[0.79618494 2.09280996],[0.76782759 1.15034196]
[8.0928894  6.70685948],[-0.89058718  0.64644503],[8.95144417 7.08960143],[-0.8962427   0.59648224],[3.58854    3.13565205],[ 0.1153515  -0.72751835],[0.59728518 6.63053366],[ 0.94247432 -0.00797123],[0.94796079 7.72239831],[ 0.68854605 -1.1468095 ],[7.38333093 6.63476557],[-1.07630673  0.37852956],[4.38957999 3.24553601],[-0.69143351 -0.38267096],[9.02901228 4.38263724],[-0.04530494  0.97704121],[9.41195207 4.61556828],[-1.04079431 -0.69985934],[0.87513757 2.20659359],[0.8107013  1.12577351]
