[8.47081783 1.69528036],[0.07077241 1.22302743],[1.63126993 7.73807843],[ 0.56924228 -1.2762165 ],[1.86824541 9.43872626],[0.4265005  0.25387093],[7.28022639 5.23500781],[ 0.23417303 -1.12997594],[ 7.08080878 -0.30796134],[0.97055313 0.26906699],[3.39290673 1.42419007],[-0.71287779  0.56703006],[8.25745946 2.09249602],[0.11368954 1.18493876],[8.16204061 1.71176528],[ 0.87405584 -0.02671575],[9.55039126 8.52364429],[ 0.12424475 -1.30947934],[9.00458546 2.4791635 ],[ 0.61524548 -0.45597513]
[8.47534784 1.81745971],[0.02059267 1.22037904],[1.69131523 7.61179017],[ 0.63261477 -1.24726062],[1.91810382 9.45780845],[0.56967229 0.12426471],[7.30204172 5.12212514],[ 0.20563959 -1.1244793 ],[ 7.17702727 -0.27563488],[0.9518884  0.37574843],[3.32520864 1.4848953 ],[-0.64175181  0.64573213],[8.26631989 2.21082349],[0.06688544 1.18406175],[8.2483988  1.71196711],[0.85283423 0.03039879],[9.55856139 8.39189936],[ 0.04002864 -1.32449041],[9.06415243 2.43442708],[ 0.57437494 -0.44092787]
[8.47494252 1.93921457],[-0.02726282  1.21538049],[1.75763541 7.48867806],[ 0.69111353 -1.21646705],[1.98243092 9.46340218],[ 0.71418284 -0.01580568],[7.32114402 5.00983457],[ 0.17925164 -1.11874629],[ 7.27091652 -0.23301043],[0.92673022 0.47769795],[3.26445095 1.55306514],[-0.56960044  0.7204706 ],[8.27057869 2.32891132],[0.017329   1.17623376],[8.33302455 1.71830742],[0.83760273 0.09458471],[9.55881931 8.25916333],[-0.03788528 -1.33329868],[9.11975613 2.39121832],[ 0.53683538 -0.42437183]
[8.46995067 2.06043029],[-0.07428815  1.20657117],[1.8292399  7.36842414],[ 0.74237755 -1.18612283],[2.06116663 9.45493554],[ 0.85788947 -0.1537918 ],[7.33816486 4.89856362],[ 0.16282144 -1.1055442 ],[ 7.3622534  -0.18015395],[0.89867792 0.57805941],[3.21153563 1.62899704],[-0.49061664  0.79495057],[8.27027525 2.44643822],[-0.02335391  1.17364675],[8.41580011 1.73083469],[0.81605833 0.15428469],[9.551676   8.12592764],[-0.10582333 -1.33276423],[9.17171982 2.34972953],[ 0.50352293 -0.40443247]
[8.46037835 2.18071483],[-0.11318517  1.20213514],[1.90598871 7.25149213],[ 0.79071172 -1.15350945],[2.15334357 9.4327089 ],[ 0.98307962 -0.28763743],[7.35317983 4.78814507],[ 0.13830222 -1.10209633],[ 7.45060575 -0.11743131],[0.86561091 0.67337807],[3.16640226 1.71184371],[-0.41218214  0.86038583],[8.26580714 2.56341206],[-0.06447954  1.16669142],[8.49625684 1.74925517],[0.79665527 0.21811609],[9.53839671 7.99324855],[-0.1623446  -1.32413368],[9.22003556 2.30990941],[ 0.46291719 -0.39186075]
[8.44685986 2.30024662],[-0.15860955  1.186754  ],[1.98696071 7.13747   ],[ 0.827004   -1.12781217],[2.25629796 9.39722166],[ 1.07223197 -0.41808227],[7.36558155 4.67790996],[ 0.10879585 -1.10344289],[ 7.53510864 -0.04579854],[0.82456286 0.75880982],[3.12951421 1.80115932],[-0.32568008  0.9241343 ],[8.25744393 2.67972211],[-0.10096788  1.16055435],[8.57484446 1.77429116],[0.77270889 0.28064172],[9.5194197  7.86122899],[-0.21781798 -1.31725938],[9.26476347 2.27184421],[ 0.43098983 -0.3699814 ]
[8.42937786 2.41866359],[-0.19169479  1.18020722],[2.07126859 7.0259657 ],[ 0.86356141 -1.09731028],[2.3667248  9.34959874],[ 1.1323391  -0.53013049],[7.3752845  4.56782683],[ 0.08719192 -1.09644149],[7.61561868 0.03432786],[0.78392967 0.8411671 ],[3.1010856  1.89615231],[-0.23930047  0.97755573],[8.24527955 2.79508403],[-0.14418883  1.14449049],[8.65108677 1.805786  ],[0.74970985 0.34734209],[9.49468753 7.72961613],[-0.27367575 -1.31209895],[9.3058714  2.23559964],[ 0.39265553 -0.35320739]
[8.40856398 2.53619203],[-0.22392833  1.17039718],[2.1593878 6.9178183],[ 0.89577267 -1.06816331],[2.48150632 9.29146544],[ 1.16108446 -0.62755801],[7.3829031  4.45847532],[ 0.06409673 -1.09166159],[7.69140467 0.12179106],[0.73141649 0.90669886],[3.08157197 1.99623148],[-0.1511163   1.02217412],[8.22900907 2.90896968],[-0.17816984  1.13566338],[8.72468481 1.84378005],[0.71924553 0.4099411 ],[9.46492808 7.59895939],[-0.32136265 -1.30144694],[9.34332142 2.20130083],[ 0.35767893 -0.3311037 ]
[8.38480114 2.6528248 ],[-0.25193774  1.16085104],[2.25018251 6.81219903],[ 0.92012534 -1.04375878],[2.59804355 9.22446024],[ 1.16822466 -0.70817912],[7.38862229 4.34998699],[ 0.04933388 -1.07935745],[7.76176906 0.21535367],[0.67839706 0.96595051],[3.07134684 2.10071064],[-0.05447663  1.06466072],[8.20938534 3.02184293],[-0.21392183  1.12176156],[8.79515109 1.88810419],[0.69180566 0.47876049],[9.43056602 7.46940154],[-0.36454445 -1.28899708],[9.37749894 2.16956591],[ 0.32252472 -0.30649378]
[8.35816607 2.76826511],[-0.28056905  1.1476783 ],[2.34313685 6.7088754 ],[ 0.93952894 -1.0217944 ],[2.71469283 9.15034274],[ 1.16341122 -0.77131021],[7.39268846 4.24250618],[ 0.03423223 -1.06830315],[7.82676284 0.31444865],[0.62358719 1.0168549 ],[3.07043725 2.20859128],[0.03652828 1.09196558],[8.18634791 3.1333702 ],[-0.24421112  1.11080219],[8.86243692 1.93904051],[0.65522432 0.54165092],[9.39225601 7.34129002],[-0.40088249 -1.27310472],[9.40745186 2.13974702],[ 0.27783993 -0.28800594]
[8.3285129  2.88211819],[-0.31312758  1.12862733],[2.43833721 6.60815232],[ 0.96511468 -0.99176251],[2.83052724 9.07070672],[ 1.15143864 -0.82022865],[7.3953072  4.13613817],[ 0.01858864 -1.05871721],[7.88645263 0.4184551 ],[0.56959385 1.0613939 ],[3.07864194 2.31881046],[0.12571729 1.10947581],[8.16056116 3.24390667],[-0.27281016  1.09821264],[8.92618028 1.99652196],[0.61713683 0.60577992],[9.35041863 7.2147029 ],[-0.43491758 -1.25818842],[9.43304064 2.1120862 ],[ 0.23492207 -0.26351246]
[8.29581505 2.99420267],[-0.34158545  1.11211009],[2.53580063 6.51021719],[ 0.98415062 -0.96669747],[2.94472396 8.98651695],[ 1.13235774 -0.86168005],[7.39623522 4.03059601],[ 0.00164138 -1.05051457],[7.94061802 0.52643867],[0.51432276 1.09760173],[3.09559515 2.43029678],[0.21274209 1.11878214],[8.13203343 3.353172  ],[-0.29966597  1.0848019 ],[8.9857663  2.06017988],[0.57246938 0.66546134],[9.30527289 7.0895666 ],[-0.46491599 -1.24200835],[9.45429085 2.08707741],[ 0.18916934 -0.2367108 ]
[8.26033599 3.10461896],[-0.36604324  1.09776542],[2.63513777 6.41483088],[ 1.00241436 -0.94100242],[3.05662758 8.8983184 ],[ 1.10625932 -0.90041645],[7.39572811 3.92611648],[-0.01191314 -1.03934407],[7.98933076 0.63776933],[0.46140547 1.12913302],[3.12100107 2.54223261],[0.29935017 1.12317986],[8.10090883 3.46107093],[-0.32624195  1.06939904],[9.04104806 2.13004478],[0.53435138 0.73302025],[9.25764874 6.96637489],[-0.48922372 -1.2239571 ],[9.47044828 2.06453096],[ 0.13470934 -0.21244875]
[8.22288816 3.21394021],[-0.38291953  1.08809451],[2.73634247 6.32211968],[ 1.01812874 -0.91659267],[3.16628894 8.80697652],[ 1.08472684 -0.92767883],[7.39366357 3.82254736],[-0.02838294 -1.03100822],[8.03281521 0.75196267],[0.41001779 1.15513818],[3.15495857 2.65428066],[0.37994665 1.11765034],[8.06711415 3.56733413],[-0.3507222  1.0544346],[9.09257537 2.20672648],[0.49543167 0.79956463],[9.20767138 6.84492015],[-0.51196603 -1.20732002],[9.48129079 2.04489623],[ 0.08397707 -0.17719187]
[8.18342834 3.32185307],[-0.40548169  1.07076764],[2.83876086 6.23154039],[ 1.03056546 -0.89452145],[3.27366874 8.71303495],[ 1.06162468 -0.95173258],[7.39015005 3.72000901],[-0.04298506 -1.02081369],[8.071544  0.8687604],[0.36168076 1.17675644],[3.19716875 2.76584108],[0.4613064  1.11038041],[8.03094327 3.67207988],[-0.37015702  1.04265445],[9.1394591  2.28925186],[0.44071793 0.84912236],[9.15568516 6.7252454 ],[-0.53028935 -1.18910448],[9.48683487 2.02897324],[ 0.02427446 -0.14248439]
[8.14171158 3.42796867],[-0.43064346  1.04973082],[2.94242733 6.14321864],[ 1.04052377 -0.87405744],[3.37883801 8.61696594],[ 1.04192952 -0.96900208],[7.38513736 3.61846015],[-0.06076244 -1.01355305],[8.10527177 0.98724401],[0.31367385 1.19269957],[3.24680366 2.87592269],[0.52803887 1.08822249],[7.99308508 3.77577713],[-0.38751532  1.03035712],[9.18065688 2.37644899],[0.38549492 0.89657826],[9.10158263 6.60700705],[-0.5524716  -1.17659858],[9.48591056 2.01649573],[-0.04445504 -0.1071609 ]
[8.09778379 3.53224847],[-0.44832467  1.03511141],[3.04718914 6.05708102],[ 1.05018236 -0.85313086],[3.48197488 8.51923539],[ 1.0239673  -0.98211061],[7.37833796 3.51768291],[-0.072864   -0.99976471],[8.13431046 1.10714126],[0.26915843 1.20621137],[3.30269969 2.98347101],[0.59033895 1.06352625],[7.95300593 3.8776925 ],[-0.4124206   1.00943008],[9.2164812  2.46838982],[0.32954096 0.94010552],[9.04561405 6.49028557],[-0.56884586 -1.16015245],[9.47790084 2.00786661],[-0.11768803 -0.06562184]
[8.05197822 3.63488223],[-0.4698473  1.015315 ],[3.15292881 5.97308084],[ 1.06315624 -0.82820959],[3.58337073 8.4203425 ],[ 1.0041234  -0.99534081],[7.37073041 3.41864849],[-0.07890474 -0.98083537],[8.15883558 1.22804997],[0.22341643 1.21314528],[3.36467488 3.08848349],[0.64522213 1.03338103],[7.91096673 3.97798224],[-0.42974802  0.99473953],[9.24646148 2.56425628],[0.27093057 0.97727212],[8.98821365 6.37530895],[-0.58031317 -1.14096971],[9.46196466 2.00335763],[-0.20149305 -0.02320468]
