[4.28936145 6.02892859],[-4.59089833  1.32718776],[8.92682127 3.29573363],[ 3.49229569 -3.21829073],[0.28834369 4.35865179],[-2.59546132  1.87457371],[5.41058783 8.0304389 ],[ 0.80984093 -3.46200289],[0.77211737 9.64212573],[-2.65961465  0.86487663],[3.41267263 6.28008232],[-3.9413112  -1.48871783],[4.73695794 4.28097266],[1.60978156 0.90056169],[0.93031606 4.61478429],[ 1.9965315  -0.41481723],[2.76786802 5.41664622],[-4.56518542  0.21147663],[5.9573616 7.1832247],[-1.29884987 -2.4920136 ]
[0.36075609 5.91967331],[-0.52064858 -0.60790119],[5.93094931 3.37901148],[-1.16928125  0.6576518 ],[1.9205484  7.10810742],[ 1.10162924 -0.07082371],[3.29422202 4.24368948],[-1.04476759 -0.25042265],[0.83408954 6.45927867],[ 0.83191256 -0.87095569],[0.54639766 4.04206756],[-0.01611962 -0.64801403],[4.44015909 7.32708868],[-1.14816232  0.17172229],[4.94446573 5.76463767],[0.37825412 0.69531968],[0.08349151 6.41774766],[0.33641356 0.51592414],[2.28694713 4.45129438],[-0.98802266 -0.08534716]
[0.31058768 5.85745052],[-0.48414634 -0.63819429],[5.81465424 3.44511175],[-1.15954126  0.6613159 ],[2.0302619  7.09921814],[ 1.09233052 -0.10683735],[3.19001586 4.22094443],[-1.04244494 -0.20767322],[0.91746628 6.37299073],[ 0.83453135 -0.8558381 ],[0.5473127  3.97738062],[ 0.03241128 -0.6478063 ],[4.32490773 7.34169499],[-1.15539006  0.1216506 ],[4.97969715 5.83500038],[0.32731002 0.71320698],[0.12133971 6.46989969],[0.41809785 0.52385403],[2.18813487 4.44390213],[-0.9872743  -0.06179924]
[0.26406539 5.79211488],[-0.44498648 -0.66739227],[5.69897021 3.51116541],[-1.15155277  0.66228972],[2.13853065 7.08628926],[ 1.07456632 -0.15010384],[3.08546473 4.20183432],[-1.04704678 -0.17339308],[1.0008247  6.28795501],[ 0.83332699 -0.84413677],[0.55283051 3.91244807],[ 0.08097567 -0.64784172],[4.20905261 7.35133267],[-1.16081207  0.07188805],[5.009796   5.90723536],[0.27577748 0.73289682],[0.16699843 6.52223968],[0.49626763 0.52350725],[2.08944663 4.43884704],[-0.98659416 -0.03968466]
[0.22132892 5.72366127],[-0.40748007 -0.69956974],[5.58406695 3.57727528],[-1.14595283  0.66040119],[2.24555119 7.06964248],[ 1.06441737 -0.18382406],[2.98035641 4.18594287],[-1.05458577 -0.1443856 ],[1.08414205 6.20418617],[ 0.83156468 -0.83265848],[0.56371244 3.84799486],[ 0.13171277 -0.64611938],[4.09277372 7.35604573],[-1.16478532  0.02211522],[5.0348488  5.98163937],[0.22042182 0.75059162],[0.22058832 6.57446266],[0.57378277 0.51876724],[1.99100753 4.43611251],[-0.9811244  -0.01408252]
[0.18253755 5.6521292 ],[-0.36687578 -0.72966288],[5.46980749 3.64325518],[-1.1434129   0.65483252],[2.35135111 7.04952923],[ 1.05184436 -0.21778439],[2.8750724 4.1734276],[-1.05440486 -0.10950785],[1.16754134 6.12183789],[ 0.83525212 -0.81544326],[0.57945444 3.78352431],[ 0.18499158 -0.64130463],[3.976103   7.35569717],[-1.16599397 -0.02666826],[5.05381745 6.05737624],[0.15839678 0.76385754],[0.28149955 6.6256459 ],[0.64614967 0.5063942 ],[1.89300249 4.43577829],[-0.98020893  0.00585443]
[0.14814606 5.57788235],[-0.3200394  -0.75442147],[5.3559178  3.70873805],[-1.13475198  0.65452057],[2.45551171 7.02572318],[ 1.03178045 -0.25774924],[2.76989162 4.16440032],[-1.04681774 -0.06877019],[1.25090898 6.04082359],[ 0.83461048 -0.80230355],[0.60062709 3.71966846],[ 0.23835605 -0.63569076],[3.85956111 7.35067735],[-1.16566386 -0.07466352],[5.06680701 6.13474272],[0.10024076 0.7823683 ],[0.34962517 6.67550646],[0.71490331 0.48938694],[1.79505112 4.43729783],[-0.97542428  0.02765529]
[0.11857449 5.50125587],[-0.27063127 -0.77739075],[5.24270054 3.77398743],[-1.12809146  0.65193523],[2.55800508 6.99833115],[ 1.01848145 -0.28928123],[2.66522653 4.15916425],[-1.04367725 -0.03341388],[1.33419223 5.96111473],[ 0.83203246 -0.79087627],[0.62742814 3.65672647],[ 0.29855868 -0.62197352],[3.74308856 7.34082795],[-1.16300887 -0.12161547],[5.07383543 6.21384099],[0.03801561 0.79723545],[0.42446415 6.72351624],[0.77579485 0.46497738],[1.69828023 4.44168515],[-0.96362727  0.05644894]
[0.0940324  5.42239301],[-0.22169494 -0.80127644],[5.13037449 3.83920303],[-1.11669314  0.65417263],[2.65881942 6.96753881],[ 0.99657723 -0.32757914],[2.56103244 4.15755744],[-1.04085281e+00  2.90340600e-04],[1.41733076 5.88267174],[ 0.83066322 -0.77803436],[0.66018203 3.59517399],[ 0.36014436 -0.60504801],[3.62714803 7.32652943],[-1.15667868 -0.16526971],[5.07426861 6.29406449],[-0.02899825  0.80745945],[0.50517147 6.76893167],[0.83565939 0.44115166],[1.6024949  4.44873426],[-0.95344343  0.08305829]
[0.07428773 5.341062  ],[-0.17288703 -0.82481805],[5.01903222 3.90450001],[-1.1112551   0.65054544],[2.75758995 6.93312827],[ 0.9781271  -0.36103038],[2.45696039 4.15903971],[-1.03685709  0.03278207],[1.50027259 5.80546268],[ 0.82885625 -0.76544545],[0.69898522 3.5353271 ],[ 0.41785467 -0.58938947],[3.51200566 7.30802129],[-1.14650154 -0.20508169],[5.06798354 6.37526022],[-0.09683882  0.81598406],[0.59109955 6.8113296 ],[0.88351921 0.4079467 ],[1.50769967 4.45838095],[-0.9451378   0.10704243]
[0.05974961 5.25773854],[-0.11575976 -0.83937217],[4.90800311 3.96915462],[-1.10593245  0.64589156],[2.85454683 6.89550112],[ 0.9596958  -0.39247676],[2.35341862 4.16380947],[-1.03056661  0.06580131],[1.58293139 5.72941899],[ 0.82511634 -0.75462701],[0.74342796 3.47708585],[ 0.47065255 -0.57507137],[3.39807976 7.28576849],[-1.13448127 -0.242294  ],[5.0547082  6.45701874],[-0.16956617  0.8178735 ],[0.68182352 6.85059042],[0.93033937 0.37745743],[1.413653  4.4702806],[-0.93592827  0.13059054]
[0.05091526 5.17297954],[-0.06056763 -0.85512398],[4.7977392  4.03356922],[-1.09907179  0.64268406],[2.94945969 6.85461325],[ 0.94238568 -0.42103917],[2.25029017 4.17157081],[-1.02974839  0.09108661],[1.66504107 5.65428796],[ 0.81781976 -0.74725515],[0.79353201 3.42086885],[ 0.53079785 -0.54910111],[3.28555373 7.26002759],[-1.11856652 -0.27471437],[5.03432975 6.53900386],[-0.24065704  0.81853647],[0.77686358 6.88666936],[0.96578046 0.34023546],[1.32093955 4.48491685],[-0.92114887  0.15920985]
[0.04746271 5.08659415],[-0.00864173 -0.87220635],[4.68794186 4.09742151],[-1.09616578  0.63495735],[3.04275888 6.81111214],[ 0.92216769 -0.45006558],[2.14760599 4.18208491],[-1.02358113  0.11932553],[1.74677448 5.58025387],[ 0.81766943 -0.73257941],[0.84961438 3.36745648],[ 0.59100056 -0.51806137],[3.17461829 7.2311043 ],[-1.10278165 -0.3061904 ],[5.00672065 6.62074506],[-0.31507478  0.81196646],[0.87502954 6.91881804],[0.99322419 0.29912524],[1.22923409 4.50188781],[-0.91003514  0.18294525]
[0.04935866 4.99879126],[ 0.04647178 -0.88343705],[4.57882506 4.16087796],[-1.08727501  0.63306249],[3.13372337 6.7644746 ],[ 0.89921888 -0.48029513],[2.04551376 4.19528824],[-1.0161242   0.14659897],[1.82805191 5.50725402],[ 0.81096803 -0.72431954],[0.91176203 3.31748039],[ 0.64719465 -0.48518647],[3.0651386  7.19894204],[-1.08871737 -0.33887216],[4.97154391 6.70147654],[-0.39141726  0.79879384],[0.97571813 6.94682966],[1.01996481 0.26140751],[1.13909626 4.52165874],[-0.89539667  0.20970788]
[0.05681172 4.91005098],[ 0.10208359 -0.89118909],[4.47062286 4.22417533],[-1.07823824  0.63145221],[3.22249133 6.71500832],[ 0.87227725 -0.51268543],[1.94455598 4.2115444 ],[-1.00374059  0.17747164],[1.9091973  5.43562841],[ 0.81162111 -0.70847253],[0.97914969 3.27072492],[ 0.70102055 -0.44834483],[2.9571368  7.16359367],[-1.07114503 -0.3676947 ],[4.92857299 6.78046125],[-0.46652895  0.7812559 ],[1.07861182 6.97082629],[1.03929228 0.22068194],[1.05022713 4.54385374],[-0.88050363  0.23557436]
[0.06987953 4.82076535],[ 0.15989916 -0.89333246],[4.36282812 4.2867922 ],[-1.07778181  0.62059389],[3.30827188 6.66206624],[ 0.84418326 -0.5450252 ],[1.84459642 4.23055352],[-0.99342854  0.20449315],[1.99009406 5.36528441],[ 0.80755208 -0.6971492 ],[1.0519339  3.22801263],[ 0.75453802 -0.40479411],[2.85056916 7.12505606],[-1.05833744 -0.40117206],[4.87786943 6.85713931],[-0.54858705  0.75004746],[1.18346372 6.99101269],[1.05624461 0.18233695],[0.96281382 4.56855507],[-0.86576947  0.2602463 ]
[0.08888396 4.73158518],[ 0.21922758 -0.89055664],[4.25551499 4.34872641],[-1.06934608  0.61730391],[3.39096931 6.60569096],[ 0.81328224 -0.57869309],[1.74616756 4.25271156],[-0.97529378  0.2383796 ],[2.07101594 5.29651872],[ 0.80959516 -0.6794084 ],[1.12982122 3.1897778 ],[ 0.80612184 -0.35574868],[2.7454971  7.08339133],[-1.04418578 -0.4332167 ],[4.81932643 6.9306931 ],[-0.62181473  0.72005457],[1.28956225 7.00712403],[1.06467235 0.13942818],[0.87690541 4.5956991 ],[-0.8536972   0.28112232]
[0.11352904 4.64259641],[ 0.27623007 -0.88586519],[4.14878687 4.41006547],[-1.06456625  0.61008969],[3.47058204 6.5460399 ],[ 0.78300949 -0.60995906],[1.64945318 4.27811715],[-0.95866957  0.26987149],[2.15186904 5.22926871],[ 0.80877637 -0.66425099],[1.21267122 3.15664782],[ 0.84973986 -0.3067289 ],[2.64222219 7.03892258],[-1.02224801 -0.45697122],[4.75362887 7.00098841],[-0.69124036  0.68522859],[1.39632128 7.01893014],[1.06770655 0.09436204],[0.79240281 4.62505471],[-0.83570403  0.30651305]
[0.14400966 4.55441684],[ 0.33002476 -0.88014751],[4.04250342 4.47062913],[-1.06038925  0.60182936],[3.54713984 6.48333552],[ 0.74806803 -0.64388862],[1.55421556 4.30641737],[-0.94532251  0.29655829],[2.23266682 5.16357737],[ 0.80624585 -0.6505033 ],[1.29965337 3.12856804],[ 0.88927821 -0.25423935],[2.54079208 6.99175078],[-1.00448958 -0.48445351],[4.68114161 7.06750124],[-0.75750059  0.64446332],[1.50316484 7.02613205],[1.06787565 0.04885035],[0.70982793 4.65703735],[-0.81881179  0.32989143]
[0.17968397 4.46688916],[ 0.38597284 -0.86707615],[3.93667833 4.53038702],[-1.05686813  0.5925389 ],[3.62038367 6.41751928],[ 0.71972529 -0.66914919],[1.46026935 4.33724842],[-0.93327938  0.31997497],[2.31302922 5.09908649],[ 0.80166324 -0.63864582],[1.39059614 3.10613483],[ 0.92570136 -0.19703624],[2.44117973 6.94188934],[-0.98735613 -0.51226755],[4.60200135 7.12944039],[-0.82296125  0.5950545 ],[1.61043525 7.02935054],[1.07785863 0.01680383],[0.629081   4.69143456],[-0.79882107  0.35515191]
[0.22106572 4.38101126],[ 0.44112534 -0.85022005],[3.83157752 4.58958634],[-1.04720015  0.58940541],[3.69076803 6.34926459],[ 0.68484681 -0.69869786],[1.36759027 4.37037407],[-0.91815619  0.34440855],[2.39278009 5.03563287],[ 0.79675705 -0.62699394],[1.48438444 3.08896793],[ 0.9501902  -0.14523946],[2.34357352 6.88956027],[-0.96522638 -0.53462694],[4.51674941 7.18639754],[-0.88306447  0.54151188],[1.71817387 7.02906294],[ 1.07734285 -0.02159108],[0.55002531 4.72797797],[-0.78295754  0.37479287]
[0.26781932 4.29692432],[ 0.49436728 -0.83025854],[3.72726563 4.64829822],[-1.03993218  0.58389712],[3.75769364 6.27819601],[ 0.65584354 -0.72013408],[1.27648084 4.40591974],[-0.9046923   0.36550947],[2.47225117 4.97357074],[ 0.79160197 -0.61529425],[1.58053494 3.07719987],[ 0.97148953 -0.09055804],[2.24818469 6.8350324 ],[-0.94166523 -0.55493597],[4.42599107 7.23803579],[-0.93256372  0.48934979],[1.82568612 7.02491901],[ 1.06936067 -0.0645676 ],[0.47254142 4.7663885 ],[-0.76733829  0.39250317]
[0.31992128 4.21510431],[ 0.54458798 -0.8083102 ],[3.62339299 4.70614909],[-1.03737208  0.57317652],[3.82108303 6.20446369],[ 0.61647276 -0.74958313],[1.18696605 4.44373348],[-0.88570196  0.39042608],[2.55068003 4.91215293],[ 0.77774422 -0.61233171],[1.67856038 3.07092178],[ 0.98945124 -0.03368353],[2.1548671  6.77821272],[-0.92482682 -0.5816361 ],[4.33033273 7.28406862],[-0.97910654  0.43135137],[1.93211897 7.01625947],[ 1.06068577 -0.106962  ],[0.39701837 4.80689134],[-0.74303232  0.41748045]
[0.37671295 4.13541411],[ 0.58807103 -0.78772743],[3.51984751 4.76296719],[-1.03340778  0.5632585 ],[3.88081238 6.128184  ],[ 0.57967249 -0.77404633],[1.09960081 4.48423575],[-0.86420472  0.41673482],[2.62821852 4.8515301 ],[ 0.76955876 -0.60359344],[1.77827727 3.07051353],[1.00103479 0.02234524],[2.06367054 6.71916933],[-0.90291824 -0.60298303],[4.23065782 7.32454082],[-1.01544473  0.37586909],[2.03763742 7.0034131 ],[ 1.05011784 -0.14922395],[0.32399739 4.84990492],[-0.71440944  0.44562531]
[0.43784042 4.05803689],[ 0.63373803 -0.75969222],[3.41685923 4.81894029],[-1.02589472  0.55665747],[3.93666172 6.04938495],[ 0.54014491 -0.798685  ],[1.01431984 4.52723158],[-0.83840057  0.44598128],[2.70467102 4.79151565],[ 0.76097425 -0.59519005],[1.87896515 3.07573935],[1.01286309 0.08306845],[1.97469516 6.65803285],[-0.87717159 -0.62019357],[4.12746695 7.3592202 ],[-1.04522729  0.31985837],[2.14223342 6.98659206],[ 1.03881092 -0.18988968],[0.25408984 4.89593679],[-0.68500935  0.47352879]
[0.50327958 3.98345872],[ 0.67424797 -0.73183805],[3.31453053 4.87415421],[-1.02016139  0.54816461],[3.98849828 5.96819206],[ 0.49735357 -0.82393085],[0.93164657 4.57312978],[-0.81431259  0.47249119],[2.7805351  4.73262681],[ 0.75348257 -0.58536963],[1.98014395 3.08655643],[1.00859349 0.13149096],[1.88812001 6.59502429],[-0.85622718 -0.6418379 ],[4.02167064 7.38838562],[-1.07324111  0.25999831],[2.24555729 6.96565235],[ 1.02865647 -0.22748946],[0.18711884 4.94468578],[-0.65642936  0.49917298]
[0.57272382 3.91186272],[ 0.71568665 -0.69824301],[3.21307434 4.92882161],[-1.01001076  0.54421979],[4.03613411 5.88469362],[ 0.45726977 -0.84369539],[0.85117493 4.62139503],[-0.79415762  0.49346758],[2.85532226 4.67440082],[ 0.74020806 -0.58120016],[2.08107449 3.10251256],[1.00931923 0.18748776],[1.80335317 6.5295624 ],[-0.83993439 -0.66821134],[3.91341893 7.41161222],[-1.08822384  0.20757709],[2.34775494 6.94096938],[ 1.01490924 -0.26617959],[0.12306637 4.9959764 ],[-0.62465407  0.52632178]
[0.6463013 3.843849 ],[ 0.755878   -0.66124371],[3.11239861 4.98286431],[-1.00559101  0.53444345],[4.07971425 5.79930276],[ 0.41586067 -0.86219075],[0.77310557 4.67206479],[-0.76870561  0.51818915],[2.92859687 4.61640725],[ 0.72518585 -0.57876141],[2.18187353 3.12402937],[1.00517318 0.24168826],[1.72039485 6.46163936],[-0.81967731 -0.69063229],[3.80378222 7.42953806],[-1.10524642  0.14952251],[2.44837488 6.91231589],[ 0.99522271 -0.30891717],[0.06236662 5.05006815],[-0.5905854   0.55394892]
[0.72394257 3.77981119],[ 0.79806556 -0.61760773],[3.01219746 5.03593323],[-0.9999639   0.52534876],[4.11924277 5.712276  ],[ 0.3729304  -0.87968574],[0.6973838  4.72492564],[-0.74510996  0.53936586],[3.00035527 4.55864864],[ 0.7134251  -0.57295719],[2.28215394 3.15098842],[1.0008411  0.29822785],[1.63948316 6.39150238],[-0.79751132 -0.71097721],[3.69283629 7.44184949],[-1.11447795  0.09548987],[2.54701397 6.87944261],[ 0.97903131 -0.34664741],[0.00521727 5.10696448],[-0.55466752  0.58135326]
[0.80541981 3.71998724],[ 0.83233006 -0.57731049],[2.9124336  5.08793766],[-0.99431232  0.51573348],[4.15460134 5.6237552 ],[ 0.33393088 -0.89069598],[0.62422366 4.78002313],[-0.71812505  0.56228028],[3.07099277 4.50153954],[ 0.70348777 -0.56502357],[2.38155956 3.18327501],[0.98682799 0.34712398],[1.56104354 6.31960085],[-0.77061469 -0.7262837 ],[3.58068429 7.448286  ],[-1.1268214   0.03439971],[2.64435884 6.84326908],[ 0.96549433 -0.37877748],[-0.04847217  5.16635563],[-0.51925145  0.60595416]
[0.88990603 3.66398694],[ 0.85816542 -0.54134404],[2.81344876 5.13919223],[-0.98776239  0.5069458 ],[4.18548237 5.53369111],[ 0.28469644 -0.90905116],[0.55346291 4.83702542],[-0.69648861  0.57806335],[3.14090628 4.44551644],[ 0.69293017 -0.55724242],[2.47966687 3.22061548],[0.9757696  0.40036532],[1.48498289 6.24587298],[-0.74849529 -0.74608316],[3.46782282 7.44896799],[-1.12692132 -0.01756573],[2.74000461 6.80365431],[ 0.94902546 -0.41144382],[-0.09854706  5.22815595],[-0.48370128  0.62818056]
[0.9772193  3.61202015],[ 0.88953115 -0.49586477],[2.71499413 5.18942522],[-0.98471761  0.49419442],[4.2117511  5.44225429],[ 0.24049259 -0.9194595 ],[0.48483157 4.89547869],[-0.67485858  0.59198381],[3.20972518 4.39025021],[ 0.68402558 -0.54744374],[2.57628616 3.26297012],[0.95388946 0.4439691 ],[1.4113209  6.17036617],[-0.7223979  -0.76161779],[3.35500058 7.44441974],[-1.12672115 -0.07087816],[2.83415845 6.76106559],[ 0.93227142 -0.44161654],[-0.14526542  5.29185284],[-0.4506545   0.64535453]
[1.06747639 3.56462047],[ 0.91480142 -0.45232825],[2.61676773 5.23826199],[-0.97964845  0.48262383],[4.23330756 5.34962344],[ 0.19005072 -0.9331321 ],[0.41884856 4.95572272],[-0.64675388  0.61066423],[3.27742785 4.33575847],[ 0.67101111 -0.54135953],[2.67074141 3.30971606],[0.93498492 0.49076816],[1.3404683  6.09351843],[-0.69504743 -0.77565518],[3.24280086 7.43509955],[-1.11895324 -0.1172198 ],[2.92623228 6.7151664 ],[ 0.9094698  -0.47581208],[-0.18806377  5.35774317],[-0.40603542  0.67122821]
[1.15986997 3.52135784],[ 0.93350895 -0.41202052],[2.51902739 5.28589228],[-0.97136862  0.47382431],[4.24993737 5.25590872],[ 0.14198255 -0.94131297],[0.35563957 5.0177115 ],[-0.61576966  0.63048506],[3.34380808 4.28187406],[ 0.65549237 -0.53740269],[2.76255994 3.3603919 ],[0.90442319 0.52565542],[1.27223114 6.01516   ],[-0.66895391 -0.79069928],[3.1310033  7.42071379],[-1.118154   -0.17205942],[3.01583245 6.66574095],[ 0.88424713 -0.51068116],[-0.22664917  5.42581568],[-0.36516706  0.69022004]
[1.25385209 3.48197994],[ 0.94907386 -0.37212324],[2.42234811 5.33289312],[-0.96206108  0.46636202],[4.2616543  5.16141785],[ 0.09389271 -0.94655245],[0.295603   5.08166673],[-0.58304855  0.65023484],[3.40858633 4.22835204],[ 0.64021221 -0.53284952],[2.85175453 3.41497945],[0.87843512 0.56497901],[1.20674341 5.93544846],[-0.6382776  -0.80095497],[3.01949965 7.40093528],[-1.10943099 -0.22109857],[3.10300642 6.61302456],[ 0.85805026 -0.54450108],[-0.26076016  5.4960078 ],[-0.31696567  0.71312025]
[1.34959465 3.44695231],[ 0.96489993 -0.32883462],[2.32641694 5.37895639],[-0.95615571  0.4552663 ],[4.26846093 5.06644034],[ 0.0419629  -0.95281481],[0.23921801 5.14787842],[-0.54385459  0.67444728],[3.4718858  4.17535709],[ 0.62474658 -0.52802335],[2.93845059 3.47359777],[0.85697147 0.60882974],[1.1442464  5.85463845],[-0.6093872  -0.81291116],[2.90919894 7.37656618],[-1.09599638 -0.26566797],[3.18749534 6.55695792],[ 0.82980039 -0.57840764],[-0.28991178  5.56843507],[-0.26865392  0.73223377]
[1.44677837 3.41625785],[ 0.97689645 -0.28655403],[2.23150986 5.42434813],[-0.94671517  0.44779462],[4.26990258 4.97083363],[-0.01190629 -0.95756462],[0.18639921 5.21605081],[-0.51072228  0.69048728],[3.53385332 4.12308472],[ 0.61586427 -0.51606341],[3.02301476 3.5366268 ],[0.83039709 0.64772715],[1.08478957 5.77278531],[-0.58064207 -0.82498477],[2.80018719 7.34767627],[-1.08388187 -0.31189762],[3.26938408 6.49783249],[ 0.80552245 -0.60615616],[-0.31433266  5.64248765],[-0.21818712  0.74972902]
[1.54505872 3.3898103 ],[ 0.98770642 -0.24298711],[2.13716282 5.46857864],[-0.94013645  0.43685931],[4.26630152 4.87523375],[-0.0635618  -0.95742861],[0.13681228 5.28564251],[-0.48075684  0.70129675],[3.59462011 4.07172878],[ 0.59921423 -0.51124295],[3.10430222 3.60289619],[0.79744601 0.67958181],[1.02836948 5.6898883 ],[-0.55055584 -0.83569735],[2.69243817 7.31418029],[-1.07192036 -0.35892527],[3.34871997 6.43592162],[ 0.77852329 -0.63435389],[-0.33357422  5.71821102],[-0.16855006  0.76216184]
[1.6445964  3.36804368],[ 1.00162928 -0.19328548],[2.04367019 5.51189784],[-0.93027522  0.42898994],[4.25702654 4.77931718],[-0.12019541 -0.95863849],[0.0905103  5.35650012],[-0.44516518  0.71562539],[3.65391024 4.02107361],[ 0.58453752 -0.50382168],[3.1823129  3.67233698],[0.76472973 0.7110273 ],[0.97455361 5.60553282],[-0.52643499 -0.85198102],[2.58623094 7.27629881],[-1.05121109 -0.39747453],[3.42491819 6.3708586 ],[ 0.74702959 -0.66495963],[-0.34757264  5.79524967],[-0.10957888  0.77961516]
[1.74522899 3.35110218],[ 1.01203242 -0.14409163],[1.95114177 5.55440291],[-0.92051686  0.4208827 ],[4.24232338 4.68367037],[-0.17344125 -0.95353503],[0.04825198 5.42915046],[-0.39922781  0.73769909],[3.71166705 3.97112861],[ 0.56999407 -0.49558195],[3.2571711  3.74500915],[0.73100994 0.74080661],[0.92328078 5.51970754],[-0.49803816 -0.8634419 ],[2.48201487 7.2345144 ],[-1.03376128 -0.43884511],[3.49827581 6.30315649],[ 0.71693538 -0.6919021 ],[-0.35551516  5.87392799],[-0.05056342  0.79191416]
[1.84651601 3.33882472],[ 1.01493214 -0.09993829],[1.8594104  5.59590351],[-0.91450491  0.40861111],[4.22193357 4.58832238],[-0.23251124 -0.95107639],[0.00997533 5.50326041],[-0.3660037   0.74446965],[3.76811709 3.92219411],[ 0.55789917 -0.484102  ],[3.32860175 3.82056599],[0.70088677 0.77341186],[0.87506518 5.43296227],[-0.46690022 -0.87202381],[2.38008275 7.18915819],[-1.00787286 -0.47105608],[3.56860261 6.23285041],[ 0.68917627 -0.71427485],[-0.35757992  5.95356986],[0.01084138 0.8016789 ]
[1.94806915 3.3310466 ],[ 1.01341527 -0.05819787],[1.76844975 5.63632193],[-0.90927132  0.39508041],[4.19613467 4.49385122],[-0.28542368 -0.93999214],[-0.02436688  5.57853843],[-0.31778962  0.76361018],[3.82329935 3.8743922 ],[ 0.5457373  -0.47182172],[3.39702477 3.89934031],[0.66665153 0.8009299 ],[0.83033151 5.34571794],[-0.42983985 -0.87495129],[2.28030123 7.14016191],[-0.98489643 -0.50585317],[3.63579179 6.16005753],[ 0.65211945 -0.74369117],[-0.35331376  6.03410831],[0.07226617 0.80609066]
[2.04938282 3.32740884],[ 1.01493554 -0.01212577],[1.67801976 5.67534793],[-0.89869987  0.38607302],[4.16459444 4.40017397],[-0.34633597 -0.93410772],[-0.05367561  5.65576366],[-0.26545167  0.78323415],[3.87719598 3.8277955 ],[ 0.5307498 -0.4614253],[3.46170321 3.98049959],[0.62611696 0.82125304],[0.78929331 5.25814704],[-0.39156421 -0.87712716],[2.18276308 7.08765937],[-0.97045196 -0.54883228],[3.6991937  6.08436085],[ 0.61573205 -0.77002573],[-0.34284182  6.11490283],[0.13776317 0.80951843]
[2.15060205 3.32823558],[1.01081978 0.0302188 ],[1.58847852 5.71329248],[-0.89369997  0.3711106 ],[4.12775353 4.30798421],[-0.3927088  -0.91178759],[-0.07802901  5.73448585],[-0.22167831  0.79070068],[3.92931789 3.78201062],[ 0.5113721  -0.45445426],[3.52257408 4.06389398],[0.59244614 0.84751134],[0.75179773 5.17006051],[-0.35810437 -0.884329  ],[2.08688338 7.03103848],[-0.94617133 -0.58244836],[3.75911692 6.00630928],[ 0.5818358  -0.79152105],[-0.3257232   6.19586685],[0.20659312 0.81086777]
[2.25159888 3.33357975],[1.0074437  0.07525612],[1.49955261 5.74981426],[-0.88608842  0.35797727],[4.0859316  4.21774975],[-0.44405802 -0.89309763],[-0.09759505  5.81420088],[-0.17213714  0.80049273],[3.97943266 3.73690483],[ 0.49194193 -0.44648625],[3.57999784 4.14977063],[0.55619073 0.86990564],[0.71741643 5.08103812],[-0.32991954 -0.89635902],[1.99336972 6.97101799],[-0.92427722 -0.61801495],[3.81535089 5.92593033],[ 0.54422541 -0.81428657],[-0.30157191  6.27683542],[0.27711489 0.80832103]
[2.35233123 3.34360222],[1.00837131 0.12675975],[1.41129838 5.78489919],[-0.88005211  0.34251646],[4.03878208 4.12927218],[-0.49597548 -0.8733421 ],[-0.11241216  5.8945194 ],[-0.12260724  0.80690771],[4.02753646 3.6925857 ],[ 0.47184011 -0.43801286],[3.63379626 4.23782192],[0.51919146 0.89024875],[0.68640633 4.99138249],[-0.29106062 -0.89750622],[1.90240604 6.90782717],[-0.89548038 -0.64610418],[3.86761893 5.84319711],[ 0.50192387 -0.83912441],[-0.27022274  6.35742147],[0.34829291 0.80105786]
[2.45262542 3.35836048],[1.00062578 0.17169591],[1.32379861 5.81854998],[-0.86943008  0.33094747],[3.98690239 4.04327581],[-0.54232925 -0.84721781],[-0.12195236  5.97560366],[-0.0685573   0.81384089],[4.0735701  3.64911825],[ 0.44945463 -0.43051313],[3.68382177 4.32776876],[0.48018155 0.90728176],[0.6591009  4.90142352],[-0.25292506 -0.89949514],[1.81431196 6.84185651],[-0.86578893 -0.67252081],[3.91581397 5.75827071],[ 0.45993705 -0.86099371],[-0.23158973  6.43719396],[0.41855761 0.78792867]
[2.55235801 3.37792695],[0.9922929  0.21816022],[1.23732005 5.85098134],[-0.86184371  0.31591427],[3.93036929 3.95990567],[-0.59118789 -0.82297399],[-0.12602041  6.05724281],[-0.01170325  0.81937111],[4.11725496 3.60636204],[ 0.42735438 -0.42127361],[3.72978167 4.41920001],[0.43972614 0.92179545],[0.63577003 4.81140973],[-0.21642676 -0.90347586],[1.72907776 6.77317223],[-0.84165877 -0.7038066 ],[3.959837   5.67132471],[ 0.42102092 -0.87711874],[-0.18612054  6.5152596 ],[0.48992461 0.77193119]
[2.65066708 3.4015989 ],[0.97535604 0.25676718],[1.15154654 5.881809  ],[-0.85266005  0.301561  ],[3.8691985 3.8792362],[-0.63274803 -0.79098408],[-0.12419645  6.13940888],[0.04791277 0.82298829],[4.15907678 3.56495688],[ 0.41005708 -0.40560143],[3.77147783 4.51181795],[0.39756799 0.93370262],[0.61612993 4.72105673],[-0.17314073 -0.90041686],[1.64642848 6.7015554 ],[-0.81180902 -0.72883826],[3.99996258 5.58287012],[ 0.37983781 -0.89318668],[-0.13379617  6.5912656 ],[0.55536109 0.74659205]
