[8.83576036 3.48361613],[0.34172677 0.95262493],[9.37576744 3.78087605],[-0.91923471  0.89179391],[6.34703536 3.67174528],[-0.67461777 -0.80516017],[1.62987802 7.61574945],[-0.34986155 -1.02469822],[6.46109594 6.07000993],[-0.78715612 -0.91386839],[4.94732687 8.87363654],[0.99818633 0.07029104],[4.18066549 5.46106802],[ 0.65279478 -0.97966233],[7.54198107 7.45047342],[ 0.83370358 -0.50625968],[2.82489493 0.50101276],[ 0.99783842 -0.2934232 ],[ 3.09229601 -0.62310937],[-0.51569416  0.02095267]
[8.86568787 3.58009743],[0.25620179 0.9759255 ],[9.28204714 3.86823639],[-0.95196841  0.85769261],[6.27911684 3.59304275],[-0.68608219 -0.77148446],[1.60007321 7.51055104],[-0.24806554 -1.07952228],[6.38310217 5.97899212],[-0.77107159 -0.90493252],[5.04764185 8.87517951],[ 1.00914554 -0.03771233],[4.24628643 5.36386675],[ 0.66148845 -0.96258129],[7.6233775 7.3965918],[ 0.79204185 -0.57302931],[2.92753735 0.4770066 ],[ 1.05318168 -0.18696751],[ 3.04192892 -0.61420514],[-0.48961823  0.16008012]
[8.88689223 3.67862006],[0.16763455 0.99373587],[9.18516287 3.95203892],[-0.98338784  0.81995315],[6.20984016 3.51743738],[-0.69930775 -0.74069279],[1.58039938 7.40028741],[-0.14473437 -1.12320035],[6.30660736 5.88872527],[-0.7599357  -0.90157633],[5.1492323  8.86635473],[ 1.02095723 -0.13926307],[4.31309084 5.26865311],[ 0.67396111 -0.94240422],[7.70043053 7.33602542],[ 0.74725399 -0.63935015],[3.03549435 0.46393187],[ 1.10281275 -0.07590861],[ 2.99427606 -0.59101899],[-0.46334748  0.30410407]
[8.8996622 3.7791655],[0.08626177 1.01469893],[9.08528939 4.03201204],[-1.01256381  0.78041111],[6.13913338 3.44475519],[-0.71321085 -0.7115236 ],[1.57140888 7.28651025],[-0.03977836 -1.15493018],[6.23101901 5.79856966],[-0.75227112 -0.90202548],[5.25145276 8.84719762],[ 1.01794484 -0.2479962 ],[4.38103178 5.17532987],[ 0.68553577 -0.92340541],[7.77249562 7.26853934],[ 0.69621572 -0.70731654],[3.14732893 0.46134826],[1.13359961 0.02509621],[ 2.94994291 -0.55266803],[-0.42467195  0.46107046]
[8.90397618 3.88124207],[0.00114599 1.02694101],[8.98296818 4.10833525],[-1.03307922  0.74641622],[6.0674002  3.37531198],[-0.72208118 -0.6781311 ],[1.57230757 7.16961723],[ 0.05892957 -1.17943319],[6.15673795 5.70888837],[-0.73496424 -0.89333238],[5.35301827 8.81721467],[ 1.01224489 -0.35093823],[4.45006602 5.08383752],[ 0.69319321 -0.90833814],[7.8394695  7.19454711],[ 0.64183842 -0.77290439],[3.26216799 0.46918637],[1.16040922 0.13012844],[ 2.90919063 -0.49913246],[-0.38610377  0.61224905]
[8.89997014 3.98443412],[-0.08356332  1.0334417 ],[8.8788433 4.1813948],[-1.05386612  0.70991668],[5.99458977 3.30898428],[-0.73811908 -0.65257939],[1.58311918 7.05098737],[ 0.15894928 -1.18921329],[6.08384779 5.61970861],[-0.72406499 -0.89155258],[5.45366752 8.77713232],[ 1.00047815 -0.44882231],[4.51992012 4.99392154],[ 0.7039501  -0.88989176],[7.90060786 7.11392686],[ 0.58152128 -0.83770875],[3.37853763 0.4866646 ],[1.16977854 0.2228167 ],[ 2.87320219 -0.43017641],[-0.33255091  0.7649828 ]
[8.88784623 4.08828833],[-0.15834155  1.04267667],[8.77231294 4.25034184],[-1.07720782  0.66814421],[5.92004732 3.24504578],[-0.75226602 -0.62588038],[1.60367143 6.93176933],[ 0.24987762 -1.19489235],[6.01210906 5.53075234],[-0.70873453 -0.88569067],[5.55280974 8.72755117],[ 0.98306148 -0.53988248],[4.59070058 4.90571338],[ 0.70991495 -0.87596589],[7.95583606 7.02731047],[ 0.5222433  -0.89418884],[3.49579838 0.51357559],[1.17543607 0.31580886],[ 2.84292295 -0.34658893],[-0.27130153  0.90440504]
[8.86775516 4.19217169],[-0.2429261   1.03440388],[8.66364705 4.31518858],[-1.09496371  0.62965456],[5.84451864 3.18417795],[-0.75943384 -0.59271554],[1.63261507 6.812037  ],[ 0.32926564 -1.19708472],[5.94202042 5.44246711],[-0.69659625 -0.88360972],[5.64963201 8.66892865],[ 0.95182278 -0.6319725 ],[4.66210814 4.81895227],[ 0.72037857 -0.85708705],[8.00498042 6.93526414],[ 0.46001715 -0.94606988],[3.61295919 0.54923601],[1.16693444 0.39641359],[ 2.81930501 -0.24981485],[-0.20106816  1.02629928]
[8.83984082 4.2954851 ],[-0.31282305  1.03273332],[8.55354683 4.37645306],[-1.1054189   0.59715428],[5.76806376 3.1263981 ],[-0.77102364 -0.56440228],[1.66968902 6.69293931],[ 0.40915424 -1.1857466 ],[5.87274183 5.35398035],[-0.68740793 -0.88454888],[5.74297032 8.6013562 ],[ 0.91478446 -0.71752254],[4.7348609 4.7343861],[ 0.73218426 -0.83667489],[8.04777396 6.83828154],[ 0.39444094 -0.99370073],[3.72884834 0.59250646],[1.14844918 0.46607309],[ 2.80293824 -0.14202821],[-0.12749107  1.12356326]
[8.80483205 4.39806404],[-0.3874602   1.01733185],[8.44246272 4.43448792],[-1.11298075  0.56680924],[5.69008358 3.07104721],[-0.78665623 -0.54087784],[1.71417298 6.57500937],[ 0.47885715 -1.17247723],[5.80511959 5.26611473],[-0.67107234 -0.87889785],[5.8326318  8.52587572],[ 0.87952015 -0.78894028],[4.80836113 4.6514514 ],[ 0.73934405 -0.82041074],[8.08404932 6.73695105],[ 0.32836649 -1.03451327],[3.84304003 0.64278924],[1.13449421 0.53838535],[ 2.79376137 -0.02596697],[-0.05579454  1.19417492]
