[7.23916506 0.94214471],[-2.4163632  -3.11508089],[6.03346793 9.89251845],[-2.70986595  1.52625945],[7.41897926 9.18182381],[0.06494686 1.46307537],[1.49092409 9.95162001],[ 2.54806423 -0.42348369],[0.52730046 3.69373378],[-3.99643304 -4.87518182],[0.03908556 3.54178153],[4.38306856 4.07814626],[6.43369814 2.05792837],[-2.3464975  -2.19278642],[6.19804512 8.58133482],[-4.66240523  0.30134304],[1.53659091 6.5320746 ],[-4.26474     4.84938761],[7.57334576 8.53742326],[-4.78720382  3.73056349]
[7.07139556 0.73520519],[-1.33231769 -1.53720768],[ 5.82514522 10.00481521],[-1.72360927  0.87620211],[7.42116832 9.31757465],[-0.01850389  1.26810268],[1.70204455 9.91285364],[ 1.82470362 -0.37499341],[0.32503007 3.44497016],[-1.35963773 -1.69695653],[0.27464057 3.75970919],[1.66918548 1.52953903],[6.25506748 1.89762311],[-1.47760064 -1.25286928],[5.90801271 8.59770421],[-2.15146214  0.09470953],[1.3236094 6.7769386],[-1.43041004  1.67729316],[7.31893243 8.73141866],[-1.79483224  1.31663779]
[6.95025451 0.60562559],[-1.13166885 -1.10615998],[ 5.66868893 10.07884232],[-1.44787315  0.62663305],[7.41566482 9.43766464],[-0.09162755  1.14016686],[1.86943928 9.87472401],[ 1.5560792  -0.39221715],[0.21097336 3.30020544],[-0.97609158 -1.26520451],[0.42169728 3.89319214],[1.33107784 1.19526345],[6.1202927  1.79047312],[-1.2554433  -0.92510856],[5.71927412 8.60322802],[-1.69691862  0.02040735],[1.20299426 6.92155158],[-1.04132027  1.28108324],[7.16108376 8.84193428],[-1.43102483  0.94571219]
[6.84089222 0.50881982],[-1.06827009 -0.84505437],[ 5.5314243  10.13343916],[-1.31411673  0.47120571],[7.40233834 9.54613493],[-0.17294908  1.03529088],[2.01753313 9.83425053],[ 1.41428662 -0.42266159],[0.12395772 3.18479283],[-0.78025544 -1.06261987],[0.54703303 4.00454788],[1.19511231 1.05044221],[5.99967359 1.70866727],[-1.16725532 -0.7199619 ],[5.56082151 8.60225225],[-1.49303665 -0.03742926],[1.10953583 7.04015747],[-0.84429641  1.10961373],[7.02587962 8.92608159],[-1.29058066  0.75366265]
[6.73451984 0.43433088],[-1.06217941 -0.64835981],[ 5.40398709 10.17417202],[-1.23941671  0.34920424],[7.38106068 9.64532817],[-0.25384972  0.94977631],[2.15397814 9.78995332],[ 1.32032183 -0.46410235],[0.05316839 3.08544899],[-0.64431418 -0.93468466],[0.66286934 4.10534187],[1.129896   0.97354276],[5.88528549 1.64519685],[-1.1260401  -0.55395377],[5.41805078 8.59619434],[-1.37499481 -0.086158  ],[1.03177837 7.14559175],[-0.71566281  1.00931631],[6.90043947 8.99443387],[-1.22848687  0.61725519]
[6.62788796 0.37858428],[-1.07163846 -0.46778228],[ 5.28235835 10.20356939],[-1.19660561  0.24074575],[7.35130493 9.73624089],[-0.34238587  0.86899681],[2.28261777 9.74154516],[ 1.25439356 -0.5053822 ],[-0.00538856  2.9971126 ],[-0.52776526 -0.83411283],[0.77356087 4.1997976 ],[1.08753425 0.91921644],[5.77353756 1.5971502 ],[-1.11148048 -0.40887541],[5.28438123 8.58497857],[-1.30146015 -0.13604368],[0.96529909 7.24302485],[-0.61623352  0.94485971],[6.77920794 9.05050152],[-1.19848047  0.50896609]
[6.51940721 0.34001146],[-1.09940751 -0.3056647 ],[ 5.16393811 10.22234899],[-1.17276333  0.1368349 ],[7.31259814 9.81939825],[-0.43067533  0.79607367],[2.40566441 9.68924614],[ 1.20668643 -0.54189491],[-0.05315596  2.91765826],[-0.42979365 -0.75795069],[0.88088862 4.28971417],[1.06148149 0.88174371],[5.66239833 1.56294444],[-1.11380435 -0.27752475],[5.15713452 8.56918012],[-1.24798198 -0.18114268],[0.90784821 7.33503952],[-0.53382359  0.89899426],[6.6598902  9.09640464],[-1.18986349  0.41095344]
[6.40823148 0.31759149],[-1.12532143 -0.14492996],[ 5.04768359 10.23124938],[-1.15495835  0.04025073],[7.26456642 9.89497215],[-0.53181234  0.71386222],[2.52396694 9.63293411],[ 1.16222729 -0.58225096],[-0.09178086  2.84494841],[-0.34120924 -0.69538114],[0.98629995 4.3766308 ],[1.04670345 0.85680723],[5.55056555 1.5414273 ],[-1.12271497 -0.15313875],[5.03437026 8.54879717],[-1.20839246 -0.22560909],[0.8584546  7.42342366],[-0.45726688  0.86826114],[6.54100962 9.13302337],[-1.18591601  0.32555939]
[6.29426175 0.31068184],[-1.15068103  0.00819514],[ 4.9330015 10.230688 ],[-1.13861918 -0.05025051],[7.20674942 9.96268401],[-0.62185406  0.64266125],[2.63811166 9.57269111],[ 1.12236528 -0.62120457],[-0.12177632  2.7780751 ],[-0.25926225 -0.64316973],[1.09067472 4.46157599],[1.03888832 0.84052078],[5.43818329 1.53258718],[-1.12580722 -0.02513747],[4.91534475 8.5242685 ],[-1.1710731  -0.26219665],[0.81670691 7.50941206],[-0.38181501  0.84914015],[6.42225296 9.16141282],[-1.18931739  0.24344239]
[6.17837239 0.31911053],[-1.1656946   0.15917162],[ 4.81948329 10.22083773],[-1.13128726 -0.14592974],[ 7.13997521 10.02316043],[-0.71336706  0.56623664],[2.74850263 9.508732  ],[ 1.08508841 -0.65842369],[-0.14297632  2.7168422 ],[-0.16827545 -0.58563881],[1.19411005 4.54481619],[1.03169766 0.82646736],[5.32540438 1.53624381],[-1.13276416  0.09390087],[4.7994276  8.49586409],[-1.14979448 -0.30766468],[0.78231164 7.59371735],[-0.30625494  0.83781582],[6.30313069 9.18188197],[-1.19412494  0.16572612]
[6.06138531 0.34220937],[-1.17211585  0.30128974],[ 4.70702815 10.20184484],[-1.11974446 -0.23556545],[ 7.06406788 10.07570111],[-0.8062333   0.48169738],[2.85479856 9.44066668],[ 1.04434634 -0.69930794],[-0.15517803  2.66107859],[-0.0755081  -0.52996994],[1.29681722 4.62672467],[1.02436824 0.81392816],[5.21213028 1.5515608 ],[-1.1329101   0.21051228],[4.68583454 8.46331765],[-1.12408748 -0.34434509],[0.75506003 7.67671781],[-0.23690268  0.82471362],[6.18326619 9.19446521],[-1.20218157  0.08722146]
[5.94448488 0.379222  ],[-1.16119348  0.44010749],[ 4.59599997 10.17422818],[-1.0998797  -0.31532567],[ 6.97904297 10.11949211],[-0.89680838  0.38966917],[2.95741855 9.36896081],[ 1.0092339  -0.73333293],[-0.15764979  2.61114961],[ 0.02386511 -0.47134837],[1.39897084 4.70764714],[1.01529063 0.80132625],[5.09901413 1.57816449],[-1.12857968  0.32015023],[4.57441648 8.42690841],[-1.10514732 -0.38423031],[0.73479652 7.75858293],[-0.17000071  0.81132863],[6.06279786 9.19945471],[-1.20340428  0.01678513]
[5.82901061 0.42937684],[-1.14509716  0.56216793],[ 4.48687039 10.13864966],[-1.08375977 -0.39695344],[ 6.88550219 10.15402702],[-0.97227251  0.30072341],[3.05654632 9.29396178],[ 0.97052842 -0.7691611 ],[-0.15011055  2.5669963 ],[ 0.12776974 -0.41126827],[1.50016711 4.78732149],[1.008196  0.7919921],[4.98686543 1.61562608],[-1.11436426  0.42683913],[4.46487311 8.38661754],[-1.08657739 -0.42193085],[0.7217457  7.83966699],[-0.09143463  0.80971369],[5.94201657 9.19727444],[-1.20832609 -0.05653772]
[5.7154532  0.49088626],[-1.12107598  0.66926119],[ 4.37936469 10.09496468],[-1.06520998 -0.47526351],[ 6.78480131 10.17943554],[-1.04129044  0.2057701 ],[3.15179474 9.21545498],[ 0.93818034 -0.79688175],[-0.13175394  2.52915886],[ 0.24220443 -0.34285537],[1.60051438 4.86598989],[1.00022554 0.78306665],[4.87646109 1.66339892],[-1.09163649  0.52838375],[4.35732115 8.34282417],[-1.06673208 -0.45578759],[0.71627499 7.92023387],[-0.01844192  0.80093298],[5.82137851 9.18842477],[-1.19972511 -0.1151646 ]
[5.60483358 0.56258236],[-1.08718671  0.76551902],[ 4.2739889  10.04380626],[-1.0418017  -0.54693632],[ 6.6779512  10.19546872],[-1.09594254  0.1127503 ],[3.24374175 9.13421959],[ 0.90280241 -0.82544616],[-0.10164666  2.49842443],[ 0.36145165 -0.27016365],[1.70003605 4.94380071],[0.9915377 0.7746428],[4.7683929  1.72069688],[-1.06800967  0.6167973 ],[4.25173643 8.29574173],[-1.04533067 -0.48577498],[0.71805818 7.99977811],[0.05453289 0.79000305],[5.70145881 9.17370123],[-1.19965441 -0.18029774]
[5.49772244 0.64310154],[-1.05396961  0.84300319],[4.17140355 9.98606505],[-1.01072899 -0.60806813],[ 6.56599176 10.20196586],[-1.14195756  0.01664894],[3.33223347 9.05031265],[ 0.86831325 -0.85109431],[-0.05936863  2.47528927],[ 0.48585305 -0.19009772],[1.79882202 5.02096287],[0.98255663 0.76712721],[4.66329557 1.78675564],[-1.03406199  0.70203771],[4.14810771 8.24558835],[-1.02974546 -0.51944495],[0.72707243 8.07802189],[0.12563899 0.77436568],[5.58202454 9.15296268],[-1.19024269 -0.23536452]
[5.3943855  0.73102983],[-1.00967596  0.91641818],[4.0717214  9.92216567],[-0.98302701 -0.66946897],[ 6.45002405 10.19891464],[-1.17506759 -0.07676247],[3.41746562 8.96412737],[ 0.83695563 -0.87169107],[-0.00450012  2.46057565],[ 0.61050665 -0.10380426],[1.89620643 5.09690623],[0.96624381 0.75289983],[4.5612893 1.8603839],[-1.00117682  0.77333627],[4.04597886 8.19207472],[-1.00973203 -0.5473993 ],[0.74336953 8.15470842],[0.19962253 0.75815644],[5.46336453 9.12661168],[-1.18399396 -0.29253893]
[5.29561054 0.82581163],[-0.96605952  0.97715398],[3.97485686 9.8523268 ],[-0.95079319 -0.72315943],[ 6.33133669 10.18671025],[-1.19688198 -0.16656913],[3.49969296 8.87610156],[ 0.80955143 -0.8866274 ],[0.06312183 2.45526761],[ 0.74006985 -0.00193422],[1.99222572 5.1717173 ],[0.95592391 0.74524947],[4.46282441 1.94082046],[-0.96994514  0.83170847],[3.94613587 8.13616579],[-0.98803795 -0.57131628],[0.76736888 8.22987348],[0.27810098 0.74219907],[5.34553512 9.09478454],[-1.17289012 -0.34402882]
