[1.37680096 0.37655935],[-4.26094988 -4.03060817],[3.44987912 6.84891591],[3.71552603 2.97180114],[5.53458426 3.42652324],[ 2.9000969  -4.96818392],[9.07320641 9.30347639],[0.76089219 0.95470331],[9.04124769 7.66563801],[-1.22270571 -0.32506457],[6.29894861 9.6299828 ],[-2.87293659 -2.60798584],[9.47704415 1.10322127],[ 2.32357407 -2.85783583],[5.77664015 1.66206253],[ 1.41643759 -4.53362632],[6.17698815 3.19976125],[-3.26379907  3.89593528],[8.96616116 5.29815037],[0.82146543 0.88477005]
[4.40939565 2.37058563],[1.01574522 0.81524472],[7.83137545 4.93388442],[ 0.34412142 -1.00307065],[8.82360622 3.66147921],[0.07028301 1.07192241],[7.91265541 5.68982066],[-0.61633216 -1.01455704],[5.78886386 3.75883151],[-0.09292099 -0.93806982],[6.22636246 4.16053124],[ 0.57504304 -0.89435549],[7.85508142 3.11447093],[-0.71324924  0.94847051],[8.05031559 3.25153769],[-0.07974994  1.15778639],[6.45978692 6.91364589],[ 1.02509007 -0.03567674],[6.57767403 6.21846693],[-0.80300059 -0.77406763]
[4.51056667 2.45171252],[1.00734618 0.80690038],[7.86444247 4.83348413],[ 0.32004008 -1.0021969 ],[8.82828638 3.76871929],[0.0239344  1.07289445],[7.8511078  5.58880827],[-0.61066971 -1.00190355],[5.78096951 3.66525972],[-0.06583854 -0.93412542],[6.28432352 4.07187441],[ 0.58515308 -0.87771012],[7.78397764 3.2088407 ],[-0.70853395  0.93924031],[8.04124232 3.36681131],[-0.1043389   1.14486839],[6.56292807 6.90728412],[ 1.03575566 -0.09236075],[6.49891309 6.1397939 ],[-0.77354986 -0.80050441]
[4.61125634 2.53234954],[1.00665053 0.8060484 ],[7.89522058 4.73328868],[ 0.29352842 -1.00355582],[8.82841571 3.87596943],[-0.01910601  1.07370724],[7.79019351 5.48907755],[-0.60770905 -0.99289725],[5.77579777 3.57212329],[-0.03898529 -0.929901  ],[6.34327462 3.98489136],[ 0.59298114 -0.8627382 ],[7.71345687 3.30239775],[-0.70096398  0.93279611],[8.02955166 3.48061019],[-0.1311354   1.12942509],[6.66650986 6.89490875],[ 1.03561557 -0.15459452],[6.42324193 6.0586712 ],[-0.73951154 -0.82137793]
[4.71166599 2.61268969],[1.00115231 0.8003195 ],[7.92338562 4.63304255],[ 0.27054244 -1.00062572],[8.82426101 3.98312975],[-0.06591551  1.06703209],[7.72934846 5.39000868],[-0.60780489 -0.98711605],[5.77354908 3.47966766],[-0.00353337 -0.91685219],[6.40278937 3.89922848],[ 0.60033916 -0.8473946 ],[7.64378886 3.39539532],[-0.68842136  0.93102939],[8.01524526 3.59291229],[-0.1548152   1.11664913],[6.76991286 6.8763897 ],[ 1.03088168 -0.2164377 ],[6.35074239 5.9752776 ],[-0.70948431 -0.84528027]
[4.81167162 2.69259461],[0.99548967 0.79425288],[7.94897274 4.53283498],[ 0.2425134  -1.00201422],[8.81518808 4.08927879],[-0.11235876  1.05864648],[7.66836673 5.29139457],[-0.6096786  -0.98304115],[5.7746611  3.38830273],[ 0.02605915 -0.90999265],[6.46369275 3.81576863],[ 0.61863714 -0.82091026],[7.57550782 3.48831681],[-0.67578192  0.92874291],[7.99882962 3.70412903],[-0.17272868  1.10805392],[6.87241792 6.85148733],[ 1.0208246  -0.27913362],[6.28132802 5.88962828],[-0.67640695 -0.86509709]
[4.91068237 2.77143525],[0.98776311 0.78552309],[7.97163686 4.43243125],[ 0.2121249  -1.00449921],[8.80157999 4.19455396],[-0.15706584  1.04914191],[7.60756564 5.19354477],[-0.60357442 -0.97129864],[5.77866949 3.2975925 ],[ 0.05465885 -0.90355071],[6.5263906  3.73492495],[ 0.6328798  -0.79833606],[7.50821038 3.58071163],[-0.67038253  0.91898389],[7.98052566 3.81429399],[-0.19503078  1.09338618],[6.97397396 6.82062931],[ 1.01058409 -0.33677731],[6.21549824 5.80231286],[-0.64223543 -0.88304452]
[5.00891093 2.84936955],[0.98250657 0.778822  ],[7.99147672 4.33204799],[ 0.18513202 -1.00262914],[8.78401199 4.2992055 ],[-0.19755208  1.04009441],[7.54758814 5.09703311],[-0.59871362 -0.96178231],[5.78552197 3.20754628],[ 0.08432057 -0.89531726],[6.589941   3.65579923],[ 0.63696566 -0.78519411],[7.44129738 3.67198401],[-0.6656007   0.90875345],[7.960247   3.92318508],[-0.21379432  1.08106275],[7.07418046 6.78394058],[ 0.9961488  -0.39343793],[6.1531239  5.71328125],[-0.60814199 -0.90024736]
[5.10694867 2.92696683],[0.97727918 0.77212647],[8.0086962  4.23195414],[ 0.15800373 -1.00031451],[8.76220059 4.40261548],[-0.23910992  1.02721086],[7.48812555 5.00147627],[-0.59117387 -0.95012364],[5.7955301  3.11852922],[ 0.115416   -0.88532319],[6.65397009 3.57809955],[ 0.6429164  -0.76939521],[7.37543455 3.76278807],[-0.65473449  0.90418609],[7.93778221 4.03050456],[-0.23530892  1.06537618],[7.1732328  6.74217151],[ 0.98293428 -0.44292524],[6.09406781 5.62248707],[-0.57612077 -0.91857688]
[5.20441429 3.00383092],[0.96989685 0.76297165],[8.02317747 4.13211581],[ 0.13410345 -0.99399102],[8.73617851 4.50455005],[-0.2801787   1.01218554],[7.42907164 4.90671906],[-0.58733911 -0.9425384 ],[5.80873603 3.0306238 ],[ 0.14785492 -0.87357611],[6.71881823 3.50223457],[ 0.65337954 -0.74848839],[7.31039729 3.85286125],[-0.6453133  0.897961 ],[7.91346212 4.1364963 ],[-0.2506465   1.05462723],[7.27073015 6.69549466],[ 0.96732154 -0.48932323],[6.03804331 5.52975427],[-0.54312279 -0.93463189]
[5.30098603 3.07959825],[0.96263752 0.75340262],[8.03530032 4.03295033],[ 0.11259133 -0.98515596],[8.7060064  4.60481371],[-0.32146278  0.9943613 ],[7.3704483  4.81274728],[-0.58502949 -0.93683676],[5.82516256 2.94389489],[ 0.18231989 -0.85926779],[6.78456541 3.42834033],[ 0.66109289 -0.72976227],[7.24620547 3.94220324],[-0.63771225  0.88966345],[7.88744252 4.24117741],[-0.26884587  1.0397157 ],[7.36652323 6.64431124],[ 0.9450571  -0.53706765],[5.98585769 5.43598344],[-0.5026766  -0.94279384]
[5.39707002 3.15463253],[0.95810165 0.74630838],[8.04532858 3.93470552],[ 0.08703617 -0.98055185],[8.67198268 4.70342445],[-0.35831954  0.97807763],[7.31209881 4.71937831],[-0.58281258 -0.93139623],[5.84519195 2.85876117],[ 0.21768858 -0.8438615 ],[6.85118575 3.35645041],[ 0.66953235 -0.7097196 ],[7.18278959 4.03071972],[-0.63242904  0.87883552],[7.85965927 4.34436918],[-0.28769602  1.02318129],[7.45970651 6.58818493],[ 0.9156749  -0.58770971],[5.93735316 5.34105729],[-0.47042851 -0.95848589]
[5.49250508 3.22874332],[0.95273514 0.73801246],[8.05281693 3.83697635],[ 0.06222364 -0.97446734],[8.6343254 4.8003109],[-0.39603818  0.95797921],[7.2543309  4.62689671],[-0.57439454 -0.9202284 ],[5.86886562 2.77529778],[ 0.25450738 -0.82659819],[6.9187305  3.28667621],[ 0.68183277 -0.68520444],[7.11987842 4.11812734],[-0.62733528  0.86775493],[7.83043344 4.44629189],[-0.2994406   1.01231729],[7.54988838 6.52713124],[ 0.88787165 -0.63273346],[5.8920932  5.24464703],[-0.43558694 -0.97029926]
[5.58771131 3.30232684],[0.95086229 0.73313665],[8.05759387 3.7396697 ],[ 0.03436136 -0.97038437],[8.59290034 4.89506886],[-0.43023383  0.93890179],[7.19680124 4.53491595],[-0.57406517 -0.91723432],[5.89630146 2.69366613],[ 0.29276679 -0.80735384],[6.98725152 3.21913147],[ 0.69134434 -0.66283537],[7.05768622 4.20462493],[-0.61857502  0.86006986],[7.79992771 4.54694756],[-0.31289177  0.99834304],[7.63706633 6.46156181],[ 0.85657285 -0.67706161],[5.85044338 5.14722767],[-0.39640168 -0.97695803]
[5.68227947 3.37495718],[0.94307231 0.72196417],[8.05983043 3.64305935],[ 0.00900177 -0.96312593],[8.54804876 4.98776601],[-0.46816149  0.91332076],[7.1397565  4.44367925],[-0.5639989  -0.90483853],[5.9273545  2.61379683],[ 0.33068573 -0.78748209],[7.05687275 3.15400795],[ 0.69870268 -0.64190969],[6.99618169 4.29014953],[-0.61484826  0.84709529],[7.76792381 4.64600498],[-0.32698232  0.98292077],[7.72142426 6.39208323],[ 0.82753813 -0.71489882],[5.81305782 5.04948692],[-0.35186387 -0.97840064]
[5.77644629 3.44683531],[0.94046159 0.71575829],[8.05935973 3.54705224],[-0.01577836 -0.95429676],[8.49957128 5.07795913],[-0.50207657  0.88939335],[7.08367166 4.35359338],[-0.55663042 -0.89590057],[5.96269918 2.53644455],[ 0.37351593 -0.76211847],[7.12745441 3.09123817],[ 0.71323748 -0.61304328],[6.93497591 4.37430149],[-0.60820224  0.83698558],[7.73419204 4.74317993],[-0.34423234  0.96392265],[7.80259246 6.31873037],[ 0.79410822 -0.75325156],[5.77963646 4.95112398],[-0.31670616 -0.98874811]
[5.87046034 3.51819629],[0.94123066 0.71289847],[8.05656039 3.45209844],[-0.03889938 -0.94348971],[8.44783179 5.16575451],[-0.53383926  0.86497875],[7.02809312 4.26415577],[-0.55302183 -0.89098799],[6.00186157 2.46122371],[ 0.411292   -0.74042193],[7.19904158 3.0309491 ],[ 0.72006766 -0.59106341],[6.87459088 4.45757781],[-0.59987706  0.82811313],[7.69906334 4.83873936],[-0.35813701  0.94731754],[7.88020849 6.24151803],[ 0.75656095 -0.79203974],[5.74972538 4.85178622],[-0.28141486 -0.99764141]
[5.96438808 3.58911473],[0.93443452 0.70248565],[8.05127509 3.35807429],[-0.06933581 -0.93930442],[8.39274452 5.25081511],[-0.56769869  0.83604195],[6.97344928 4.17575349],[-0.54150214 -0.87881509],[6.04487161 2.38832405],[ 0.45164458 -0.71453042],[7.27113015 2.97271289],[ 0.7224045 -0.5728563],[6.81501058 4.53991942],[-0.58744521  0.82292913],[7.66261258 4.93265364],[-0.37409255  0.92771916],[7.9540319  6.16057006],[ 0.72027937 -0.82597194],[5.72345633 4.75172938],[-0.24595074 -1.00520673]
[6.057805   3.65914382],[0.92910488 0.69322546],[8.04294812 3.26455371],[-0.09678978 -0.93053404],[8.3342027  5.33279702],[-0.59854826  0.80778232],[6.91981056 4.08838725],[-0.53362236 -0.87094554],[6.09199302 2.31817569],[ 0.49441295 -0.68448047],[7.3434536  2.91633109],[ 0.72376585 -0.55497984],[6.75665479 4.62169004],[-0.57850392  0.81360181],[7.624436   5.02446384],[-0.38972196  0.90808346],[8.02414925 6.07632373],[ 0.68044459 -0.86001624],[5.70050801 4.65077939],[-0.21301904 -1.0135083 ]
[6.1504905  3.72802066],[0.9238824  0.68358294],[8.03201928 3.17209895],[-0.12141292 -0.91814686],[8.27245647 5.41170731],[-0.63478276  0.77161944],[6.86675087 4.00158342],[-0.52869878 -0.86625494],[6.14330601 2.25104591],[ 0.52955803 -0.65999469],[7.41584998 2.86170322],[ 0.72604032 -0.53559203],[6.69919304 4.70250714],[-0.57212317  0.8012988 ],[7.58427867 5.11388421],[-0.40622655  0.88739611],[8.09039306 5.98895052],[ 0.64598312 -0.88538874],[5.68088861 4.54912414],[-0.17758471 -1.01753395]
[6.24275215 3.79602064],[0.91935012 0.67436998],[8.0187987 3.081072 ],[-0.14444474 -0.90381903],[8.20767939 5.48746689],[-0.66019947  0.74369527],[6.81412247 3.91518554],[-0.52272929 -0.86059558],[6.19823578 2.18659415],[ 0.57142558 -0.62622442],[7.48867779 2.80925608],[ 0.73116941 -0.51255443],[6.64259032 4.78229695],[-0.55850591  0.79582368],[7.5427159 5.2014325],[-0.42051422  0.86793895],[8.15301487 5.89901032],[ 0.60594146 -0.91343425],[5.66479755 4.44712373],[-0.14275743 -1.02079847]
[6.33418325 3.86269334],[0.91085482 0.66060876],[8.00324403 2.99147508],[-0.16470367 -0.88618807],[8.14039537 5.56033547],[-0.6847637   0.71396376],[6.76209106 3.829339  ],[-0.51868333 -0.85708021],[6.25742665 2.1257258 ],[ 0.61053261 -0.59250432],[7.56199628 2.75913464],[ 0.73567769 -0.48926537],[6.58739321 4.86154522],[-0.5467775   0.78772716],[7.49990571 5.28716315],[-0.43453445  0.84765679],[8.21177197 5.80655053],[ 0.56922213 -0.93531118],[5.65229783 4.34496624],[-0.1062392  -1.02109404]
[6.42545737 3.92867539],[0.91212687 0.65655027],[7.98552291 2.90351291],[-0.19062639 -0.87383168],[8.07068212 5.63012906],[-0.70952313  0.68147153],[6.71063948 3.74401709],[-0.50842243 -0.84754525],[6.32050067 2.06835483],[ 0.64997579 -0.55534694],[7.63598412 2.71161163],[ 0.74316823 -0.46194351],[6.53315497 4.93974714],[-0.53674669  0.77749774],[7.4555722  5.37070067],[-0.45331286  0.82186327],[8.26701159 5.71217505],[ 0.53489329 -0.95254212],[5.64355174 4.24293206],[-0.06983896 -1.02051941]
[6.51622741 3.99361016],[0.90274077 0.64149081],[7.96524182 2.81687122],[-0.21600796 -0.85989081],[7.99847456 5.69652826],[-0.73620894  0.64450847],[6.65968227 3.65910393],[-0.50728037 -0.84722784],[6.38711832 2.01446438],[ 0.68109067 -0.52319136],[7.71063533 2.66679333],[ 0.74561317 -0.43853516],[6.47960878 5.01659539],[-0.53500646  0.75866903],[7.40956982 5.45183657],[-0.46623358  0.80124018],[8.31841527 5.6157868 ],[ 0.48933809 -0.97853284],[5.638286   4.14087068],[-0.0349783 -1.0198915]
[6.60634189 4.05729416],[0.89870443 0.63130571],[7.94261226 2.73185187],[-0.2408849  -0.84465436],[7.92358603 5.75908733],[-0.76125224  0.60654237],[6.60940414 3.57478172],[-0.49744907 -0.8384824 ],[6.45648023 1.96358491],[ 0.70989873 -0.49010835],[7.78534248 2.62416441],[ 0.75164392 -0.41074807],[6.42660273 5.09191793],[-0.5234341   0.74937042],[7.36243758 5.53101787],[-0.4757829   0.78281076],[8.3654376  5.51712346],[ 0.44816935 -0.99723312],[5.63697326 4.03938759],[ 0.01003826 -1.0084666 ]
[6.69581992 4.11970756],[0.88968332 0.61566465],[7.91711999 2.64805527],[-0.2689446  -0.83110433],[7.84607085 5.81758923],[-0.78864926  0.56343515],[6.55997325 3.49117448],[-0.48859123 -0.83109676],[6.52946564 1.91694343],[ 0.74626041 -0.4456063 ],[7.86057806 2.58430312],[ 0.75437618 -0.38502276],[6.37486773 5.16638676],[-0.51152848  0.73965995],[7.31397898 5.60793024],[-0.49387794  0.75485434],[8.40831659 5.41668921],[ 0.4084482  -1.01216215],[5.63983051 3.93873122],[ 0.05020705 -1.00144104]
[6.78441649 4.18053998],[0.88218366 0.60085413],[7.88886455 2.56572434],[-0.29552689 -0.8147326 ],[7.76599981 5.87181735],[-0.81380333  0.51962323],[6.51183062 3.40867363],[-0.47589116 -0.82061812],[6.60575963 1.87462454],[ 0.77927322 -0.40046198],[7.93619809 2.54718713],[ 0.75554166 -0.35962719],[6.32414092 5.23967014],[-0.50461463  0.72435882],[7.26402396 5.68231818],[-0.50620092  0.73176032],[8.4474644  5.31508187],[ 0.3718354  -1.02242928],[5.64633422 3.83847211],[ 0.08058385 -1.00255722]
[6.87236042 4.23996206],[0.87790001 0.58873878],[7.85750926 2.48466836],[-0.3273721  -0.80191714],[7.68363206 5.92173392],[-0.83407127  0.47770979],[6.46470659 3.32694619],[-0.46569884 -0.81311158],[6.68535463 1.83703318],[ 0.81268753 -0.35054636],[8.01193795 2.51266923],[ 0.75690106 -0.3329113 ],[6.27433155 5.31162316],[-0.49310993  0.71306195],[7.21260182 5.75411124],[-0.52174727  0.70443569],[8.48256622 5.21216341],[ 0.33003945 -1.03587703],[5.65592339 3.73827602],[ 0.11066158 -1.00136016]
[6.95998613 4.29826717],[0.87544425 0.57820204],[7.82325611 2.40526127],[-0.3541357  -0.78257446],[7.5993805  5.96746066],[-0.85416237  0.43313203],[6.41833925 3.24569256],[-0.46116176 -0.81146397],[6.76784076 1.8042066 ],[ 0.83541698 -0.30698814],[8.08762199 2.48068473],[ 0.75760628 -0.30575922],[6.22537955 5.38212212],[-0.48579382  0.69698013],[7.159519   5.82301588],[-0.53747721  0.67590793],[8.51365777 5.10815891],[ 0.29197924 -1.04378147],[5.66887948 3.63866511],[ 0.14877354 -0.99029483]
[7.04708751 4.35522327],[0.86993335 0.56417854],[7.78635122 2.32786698],[-0.38287418 -0.76399912],[7.51331496 6.0087741 ],[-0.87047072  0.38935013],[6.37299781 3.16516088],[-0.44564602 -0.79925901],[6.85279687 1.77613521],[ 0.86267328 -0.25467143],[8.16342331 2.45153389],[ 0.75509882 -0.28042945],[6.17694697 5.45077516],[-0.48336622  0.67551018],[7.10533916 5.88947932],[-0.54925284  0.65002473],[8.54112138 5.00359158],[ 0.25365145 -1.05093481],[5.68578141 3.54033633],[ 0.18639003 -0.97893634]
[7.13387098 4.41099539],[0.86564901 0.55112153],[7.74656954 2.25240236],[-0.41110588 -0.74346569],[7.42554767 6.04548101],[-0.88430409  0.34491828],[6.32919914 3.08580016],[-0.42895617 -0.78671602],[6.9403727  1.75343327],[ 0.88502417 -0.20245755],[8.23894529 2.42494017],[ 0.75704479 -0.24948969],[6.12896885 5.5174667 ],[-0.4740898   0.66031825],[7.04943184 5.95274351],[-0.56628341  0.61766298],[8.56440498 4.89806735],[ 0.21501076 -1.05633876],[5.70638558 3.44315331],[ 0.22469238 -0.96550394]
[7.22034232 4.46556207],[0.86339192 0.53983599],[7.70424308 2.17933133],[-0.43667214 -0.71904413],[7.33609312 6.07728282],[-0.90582909  0.28935081],[6.28665768 3.00724624],[-0.42305693 -0.78550323],[7.02980201 1.73578219],[ 0.90349689 -0.15000079],[8.31440506 2.40126472],[ 0.7523562  -0.22364963],[6.08158257 5.58226658],[-0.46837562  0.6408403 ],[6.99197452 6.01285492],[-0.58350459  0.58369339],[8.58419677 4.79241362],[ 0.18007719 -1.05747094],[5.73060565 3.34717667],[ 0.26044976 -0.95302911]
[7.30626065 4.5186568 ],[0.85351504 0.52045368],[7.65934926 2.10875672],[-0.46240784 -0.69347493],[7.24474269 6.10357413],[-0.92024578  0.23679307],[6.24513858 2.92923961],[-0.4068212  -0.77426333],[7.12106728 1.72358824],[ 0.91973815 -0.09527703],[8.38991853 2.38077888],[ 0.7572876  -0.18634295],[6.03536379 5.64566615],[-0.45831577  0.62469481],[6.9328481  6.06954504],[-0.59985801  0.54901312],[8.60042279 4.68661111],[ 0.1435009  -1.05936106],[5.75858431 3.25269292],[ 0.29583805 -0.93951203]
[7.39124625 4.56982345],[0.84737995 0.50396222],[7.61184611 2.04077323],[-0.48777019 -0.66612019],[7.15245083 6.12495037],[-0.92901834  0.18682234],[6.20480987 2.85189586],[-0.39767047 -0.77053271],[7.21360621 1.71672079],[ 0.92932076 -0.04322766],[8.46517638 2.36337117],[ 0.74980811 -0.15971833],[5.99015236 5.70740247],[-0.44634105  0.60945593],[6.8723588  6.12295417],[-0.61200742  0.5168092 ],[8.61270745 4.58041537],[ 0.10325761 -1.06325725],[5.78980926 3.15938549],[ 0.33093697 -0.92409458]
[7.47625578 4.61996968],[0.85097704 0.49722531],[7.56178044 1.97557102],[-0.51444526 -0.63862322],[7.05920034 6.14107876],[-0.93616117  0.13498402],[6.16538346 2.77490622],[-0.38878459 -0.76721589],[7.30724701 1.71540117],[0.94172549 0.01573386],[8.53987304 2.34888963],[ 0.74351949 -0.13028026],[5.94575963 5.76718482],[-0.44176807  0.5857889 ],[6.81031496 6.17270862],[-0.63072661  0.47608602],[8.6211231  4.47406216],[ 0.06516736 -1.06362453],[5.82431644 3.06748662],[ 0.3599178  -0.91276764]
[7.56067353 4.66847567],[0.83983667 0.47520344],[7.50931763 1.91346431],[-0.53508815 -0.60360256],[6.96495643 6.15154588],[-0.94579352  0.07665619],[6.12737914 2.69875764],[-0.37074664 -0.75532048],[7.40157861 1.71963042],[0.94306984 0.0673979 ],[8.6139586  2.33745596],[ 0.73806864 -0.09819564],[5.90211179 5.82483376],[-0.43116603  0.56703936],[6.74655959 6.21844171],[-0.64709223  0.43548479],[8.62570286 4.36770339],[ 0.02752632 -1.06225329],[5.86184961 2.97696403],[ 0.39026687 -0.89783507]
[7.64428046 4.7150427 ],[0.83184131 0.45554085],[7.45429534 1.85444198],[-0.56685443 -0.57812289],[6.8701591  6.15640133],[-0.95145402  0.01860005],[6.0910057  2.62358822],[-0.35468645 -0.74611777],[7.49603957 1.72916607],[0.94638676 0.12415779],[8.68757484 2.3294195 ],[ 0.73112639 -0.06537523],[5.85929458 5.88031528],[-0.42430863  0.54328279],[6.68099644 6.25981661],[-0.66555691  0.39020769],[8.62642972 4.26145305],[-0.01284135 -1.06233011],[5.90235783 2.88797903],[ 0.41982499 -0.88155194]
[7.72706121 4.75957454],[0.82528196 0.43647971],[7.39638298 1.7983357 ],[-0.59213519 -0.54453819],[6.77525276 6.15573194],[-0.94834447 -0.03406191],[6.05616307 2.5492316 ],[-0.34434623 -0.74322383],[7.59071209 1.7444456 ],[0.94287223 0.17769706],[8.76058715 2.32487055],[ 0.72589278 -0.02847423],[5.81764711 5.93383449],[-0.40960761  0.52589619],[6.61365209 6.29658668],[-0.68208498  0.34394187],[8.62342804 4.15556547],[-0.0476442  -1.05588785],[5.94588772 2.80079205],[ 0.45373643 -0.85896892]
[7.80941063 4.80239784],[0.82063668 0.41885863],[7.3357211  1.74544452],[-0.61775523 -0.50973387],[6.68044501 6.14941506],[-0.94538008 -0.09033181],[6.02286371 2.475649  ],[-0.32617476 -0.73306235],[7.68452192 1.76467968],[0.93463774 0.22856939],[8.83289344 2.3239538 ],[0.71935276 0.0096989 ],[5.77745548 5.98551789],[-0.39370667  0.50803544],[6.54448076 6.32839082],[-0.70062476  0.29230309],[8.61680449 4.05021381],[-0.0840947  -1.05028261],[5.99307494 2.71619576],[ 0.49151868 -0.83120131]
[7.89125472 4.8433908 ],[0.8163713  0.40105898],[7.27280923 1.69642698],[-0.64022657 -0.47014523],[6.58620556 6.13758694],[-0.93958348 -0.14684833],[5.99127542 2.40294499],[-0.30956356 -0.72513214],[7.77744213 1.79004489],[0.92523401 0.28055288],[8.90424295 2.32668534],[0.70860008 0.04631892],[5.73853692 6.035009  ],[-0.38307683  0.48310519],[6.47387197 6.35527237],[-0.713751    0.24257806],[8.60690153 3.94580465],[-0.11595095 -1.03991868],[6.04382693 2.63423929],[ 0.52468264 -0.80642299]
[7.97258275 4.88248858],[0.80873769 0.3793075 ],[7.20757144 1.65137147],[-0.66528457 -0.43153858],[6.49281624 6.12022703],[-0.93013993 -0.20273846],[5.96116919 2.33083088],[-0.29021822 -0.71490512],[7.86938781 1.8206957 ],[0.91217298 0.33125023],[8.97457713 2.33328433],[0.69746565 0.08551611],[5.7007821  6.08201053],[-0.37407141  0.45456972],[6.40163362 6.3766639 ],[-0.7297812   0.18579886],[8.59323528 3.84190407],[-0.1568425  -1.03727059],[6.09790246 2.55486387],[ 0.55564322 -0.78188532]
[8.05300625 4.91921981],[0.79920179 0.3546431 ],[7.14000464 1.61042878],[-0.68650914 -0.38755931],[6.40028462 6.09702601],[-0.92220861 -0.26353415],[5.93260678 2.25932412],[-0.27662838 -0.71089034],[7.959917   1.85640181],[0.89717971 0.3818899 ],[9.04368851 2.34385036],[0.68321861 0.12474044],[5.66398727 6.12611069],[-0.3611239   0.42777514],[6.32776088 6.3921135 ],[-0.7454053   0.12470855],[8.57594883 3.7388035 ],[-0.18846    -1.02442444],[6.15481481 2.4777987 ],[ 0.58457317 -0.75708681]
[8.13272339 4.95368536],[0.79844977 0.33791327],[7.07024849 1.57389466],[-0.7100525  -0.34441685],[6.30847562 6.06748337],[-0.91391058 -0.32786831],[5.90600132 2.18878216],[-0.2555473  -0.70015662],[8.04858839 1.89688893],[0.8774981  0.42925508],[9.11119924 2.35832167],[0.66523713 0.16342095],[5.62867707 6.16759628],[-0.34316478  0.40343547],[6.25290104 6.40179724],[-0.75346964  0.06655548],[8.55520073 3.63670866],[-0.22510008 -1.01591848],[6.21498875 2.40368757],[ 0.6186455  -0.72505532]
[8.21240007 4.98650764],[0.79245789 0.31578509],[6.99798271 1.54157391],[-0.73422253 -0.30089989],[6.21793262 6.03176789],[-0.89674447 -0.38663284],[5.88130652 2.11907811],[-0.2385597 -0.6942062],[8.13532904 1.94222489],[0.85626052 0.47647706],[9.17689029 2.37680468],[0.6515439  0.20980204],[5.59500779 6.20634972],[-0.33226592  0.36912993],[6.17696435 6.40513793],[-0.76621917 -0.00159695],[8.53093834 3.53565795],[-0.26102358 -1.00588982],[6.27801675 2.33233835],[ 0.64304367 -0.70040186]
[8.29117668 5.01676568],[0.783497  0.2896168],[6.92330104 1.51364308],[-0.75928297 -0.25760073],[6.12912604 5.99005871],[-0.87979051 -0.44835966],[5.85852885 2.05015872],[-0.21552266 -0.6828595 ],[8.21974109 1.9921252 ],[0.83171508 0.52138789],[9.24146673 2.4003954 ],[0.63881253 0.26149628],[5.5623711  6.24145595],[-0.31915218  0.33377169],[6.10002081 6.4016379 ],[-0.77167519 -0.06832271],[8.50327916 3.43584538],[-0.29023536 -0.98853354],[6.34359812 2.26368632],[ 0.66912763 -0.67170801]
[8.36912329 5.0444202 ],[0.77445439 0.26232922],[6.84619767 1.49013553],[-0.78135253 -0.21117311],[6.04218802 5.94221432],[-0.85699157 -0.50683236],[5.83809445 1.98236552],[-0.191586  -0.6715788],[8.30166118 2.04652404],[0.80443049 0.56440379],[9.30384031 2.42842777],[0.60950694 0.30054864],[5.53138711 6.2731828 ],[-0.30132999  0.29934022],[6.02266491 6.39131132],[-0.77462256 -0.13831037],[8.47265858 3.33771927],[-0.32241158 -0.97417749],[6.41185057 2.19808363],[ 0.69435568 -0.64152712]
[8.44616981 5.06929144],[0.76677206 0.2352541 ],[6.76673254 1.47110119],[-0.805192   -0.16698039],[5.95777709 5.88867683],[-0.83353527 -0.56643202],[5.82024268 1.91583447],[-0.165726   -0.65948228],[8.38089131 2.10529644],[0.77764393 0.6085327 ],[9.36374048 2.46102107],[0.5885816  0.35207068],[5.50209501 6.30116365],[-0.28626365  0.25780468],[5.94525106 6.37392759],[-0.77469717 -0.2113166 ],[8.43861433 3.24086496],[-0.35501084 -0.95939223],[6.48219663 2.13518547],[ 0.7138489  -0.61478846]
[8.52275003 5.09172026],[0.76133401 0.20972025],[6.68545892 1.45702881],[-0.8172836  -0.11156937],[5.87589032 5.82927447],[-0.80504092 -0.62255126],[5.80488787 1.85037525],[-0.1422437  -0.65073993],[8.45729167 2.16835244],[0.7502357 0.6524237],[9.42146325 2.49890641],[0.56475307 0.40516689],[5.47413179 6.32456737],[-0.26917175  0.21325865],[5.86798711 6.34909736],[-0.76928711 -0.28491648],[8.40157729 3.14576946],[-0.38641457 -0.94321842],[6.55448809 2.07506896],[ 0.73176057 -0.58741327]
[8.59863733 5.11140025],[0.75507948 0.18242357],[6.60303041 1.44853803],[-0.83089672 -0.05809677],[5.79727272 5.76463576],[-0.76843038 -0.67132735],[5.79204102 1.78590041],[-0.11735803 -0.64151794],[8.53063098 2.2354844 ],[0.7165572  0.69013449],[9.47633512 2.54185047],[0.53241777 0.45406479],[5.44841814 6.3437742 ],[-0.24859886  0.16641144],[5.79146738 6.31682081],[-0.76225563 -0.36260363],[8.36130992 3.05222465],[-0.4210187 -0.9296217],[6.62845468 2.01767944],[ 0.75020854 -0.55740792]
