[1.37680096 0.37655935],[-4.26094988 -4.03060817],[3.44987912 6.84891591],[3.71552603 2.97180114],[5.53458426 3.42652324],[ 2.9000969  -4.96818392],[9.07320641 9.30347639],[0.76089219 0.95470331],[9.04124769 7.66563801],[-1.22270571 -0.32506457],[6.29894861 9.6299828 ],[-2.87293659 -2.60798584],[9.47704415 1.10322127],[ 2.32357407 -2.85783583],[5.77664015 1.66206253],[ 1.41643759 -4.53362632],[6.17698815 3.19976125],[-3.26379907  3.89593528],[8.96616116 5.29815037],[0.82146543 0.88477005]
[ 0.65275768 -0.39416249],[0.22949643 0.0050107 ],[4.90772162 7.50702196],[1.17125906 0.02444388],[6.44540973 2.20268325],[ 0.73011233 -0.58080984],[9.56707457 9.66302131],[ 0.1827766 -0.3511878],[7.80170668 7.05691491],[-1.00549239 -0.72618164],[5.36839437 8.25149282],[-0.36374229 -1.23560046],[10.20862904  0.21374375],[ 0.19291963 -0.23213432],[6.3765615  0.43443161],[ 0.58727597 -0.45669721],[5.27872115 4.50769477],[-0.43244974  0.94427013],[9.44782703 6.14234666],[0.08635001 0.71331812]
[ 0.68418915 -0.3875313 ],[0.39894546 0.12724709],[5.02498525 7.50601336],[ 1.173819   -0.04368179],[6.51909229 2.1471373 ],[ 0.74413159 -0.5298393 ],[9.58250934 9.62009365],[ 0.12074139 -0.51246538],[7.70243625 6.98321673],[-0.97828094 -0.74580085],[5.33485995 8.12753283],[-0.31145737 -1.24715526],[10.2243845   0.19521814],[ 0.12143974 -0.13701246],[6.43676883 0.39278953],[ 0.6167797  -0.37613421],[5.23725357 4.60179069],[-0.39823781  0.93665852],[9.45305717 6.21339421],[0.01670371 0.70630582]
[ 0.73314818 -0.36809172],[0.58176707 0.2636893 ],[5.14204359 7.49799301],[ 1.16991399 -0.11331392],[6.59426243 2.09670751],[ 0.76152902 -0.47662793],[9.59124975 9.56065924],[ 0.05289903 -0.67608577],[7.60552176 6.90726142],[-0.95656641 -0.76962045],[5.30646717 8.00258198],[-0.25963562 -1.25438156],[10.23217103  0.18612605],[ 0.03495232 -0.04152371],[6.50017563 0.35952707],[ 0.65255794 -0.28748482],[5.19938611 4.69537021],[-0.3610085   0.93316332],[9.45097736 6.28348006],[-0.05766639  0.69627537]
[ 0.80014609 -0.33498104],[0.75660539 0.39849297],[5.25885504 7.48343398],[ 1.16445418 -0.17858229],[6.67121647 2.05163503],[ 0.77697249 -0.42540153],[9.59284513 9.48501015],[-0.0193645  -0.83256199],[7.51115012 6.82936006],[-0.93066877 -0.78793965],[5.28290481 7.87679491],[-0.21236809 -1.26129506],[10.23133421  0.18749739],[-0.05397947  0.06963342],[6.56718384 0.33532488],[ 0.68679762 -0.19667453],[5.16465034 4.78805744],[-0.33141451  0.92305754],[9.44142778 6.35258737],[-0.13391168  0.68532863]
[ 0.88367614 -0.28879508],[0.90968075 0.5232    ],[5.37492471 7.46243768],[ 1.15555978 -0.24178698],[6.74980847 2.01180583],[ 0.79412813 -0.37180235],[9.58704564 9.39445228],[-0.09587102 -0.97407544],[7.41932056 6.74963984],[-0.90407865 -0.80435616],[5.26427465 7.75071715],[-0.16407656 -1.26350777],[10.22078507  0.20012302],[-0.15881834  0.18395575],[6.63809819 0.32094724],[ 0.73087911 -0.09035936],[5.13381742 4.88066147],[-0.28742486  0.92665358],[9.42438507 6.42073655],[-0.20820868  0.67622558]
[ 0.98093783 -0.23099676],[1.02818329 0.62778431],[5.48978793 7.4350574 ],[ 1.14144602 -0.30506477],[6.83000385 1.97728582],[ 0.80900435 -0.31914898],[9.57371725 9.29105302],[-0.16720667 -1.08633737],[7.33019941 6.6683886 ],[-0.87943677 -0.8215428 ],[5.25021595 7.62435774],[-0.11825558 -1.26409334],[10.19989721  0.22519974],[-0.26174837  0.31686697],[6.71292951 0.31707479],[0.76495308 0.01329391],[5.10691823 4.97310495],[-0.25129839  0.92142408],[9.39968773 6.48769898],[-0.28778432  0.66063853]
[ 1.08811771 -0.16399234],[1.10881491 0.70762816],[5.6033799  7.40176959],[ 1.12748562 -0.36251039],[6.91175253 1.94818611],[ 0.82826992 -0.26015722],[9.55359344 9.17794696],[-0.23466659 -1.17136784],[7.24329873 6.58522572],[-0.8584974  -0.84142347],[5.24065052 7.49803418],[-0.07391366 -1.26264926],[10.16783698  0.26323813],[-0.37784767  0.44588908],[6.79109139 0.32389048],[0.79791751 0.12402661],[5.08379733 5.0651517 ],[-0.20981769  0.92057518],[9.36687612 6.55284367],[-0.37157813  0.6385648 ]
[ 1.20136751 -0.09050492],[1.15237971 0.75936525],[5.71571642 7.36317999],[ 1.11679988 -0.41057121],[6.99524938 1.92494479],[ 0.84368016 -0.20217447],[9.52711477 9.05778354],[-0.29014302 -1.22443028],[7.15865455 6.50028961],[-0.83438929 -0.85708149],[5.23536235 7.37187163],[-0.03121023 -1.25934063],[10.12464671  0.31460232],[-0.48446657  0.5806991 ],[6.87190229 0.34155982],[0.81903036 0.23135924],[5.06464925 5.15686567],[-0.1721978   0.91445396],[9.32522751 6.61515712],[-0.4633068   0.60502481]
[ 1.31797962 -0.01255836],[1.17422858 0.79443033],[5.82626154 7.31933615],[ 1.09655302 -0.46304968],[7.08048835 1.90787359],[ 0.85853965 -0.14119349],[9.4955677  8.93350112],[-0.33974335 -1.25836376],[7.07604421 6.41346698],[-0.81578488 -0.87710016],[5.23411302 7.24597939],[ 0.00698546 -1.25703898],[10.07100127  0.37879346],[-0.58620953  0.70048322],[6.95470689 0.37025867],[0.8356879  0.34243446],[5.04914941 5.24779931],[-0.13719364  0.90469316],[9.27506726 6.67452288],[-0.5435145   0.57753506]
[1.43595796 0.06818763],[1.18166577 0.81694015],[5.93494915 7.27066872],[ 1.07682965 -0.50982846],[7.16706957 1.89694199],[ 0.87258459 -0.07734692],[9.45954746 8.80678068],[-0.3813006  -1.27554139],[6.9957406  6.32514711],[-0.78957411 -0.88835212],[5.23720984 7.12096384],[ 0.05359149 -1.24440349],[10.0078895   0.45405745],[-0.6734934   0.80059414],[7.03855205 0.40980314],[0.83984673 0.4479879 ],[5.03737499 5.3379227 ],[-0.09897657  0.89683929],[9.21674685 6.73064954],[-0.62334457  0.54315974]
