[9.5894273  6.08593398],[-0.45001637 -1.14226121],[-0.05517828  1.92853384],[0.24782986 1.21069274],[1.93460423 5.83802579],[ 1.29030104 -0.02000164],[8.33730863 3.67111287],[-1.11098007  0.67626449],[3.71296609 5.6667773 ],[-0.77147351  0.48793617],[6.7779843  3.31712642],[-0.71556555 -0.82056367],[1.22158874 1.73011142],[0.20608747 1.25254921],[8.74355963 1.8069175 ],[-0.23584532  1.24680705],[3.48140508 8.15040968],[ 0.11422646 -1.33192967],[5.93094459 6.01686112],[0.95108637 0.00969573]
[9.54001512 5.97273771],[-0.53827821 -1.12199363],[-0.02476743  2.04950484],[0.35823789 1.20656937],[2.06322117 5.83445388],[ 1.28277799 -0.05020983],[8.2260536  3.73758294],[-1.11608346  0.65138702],[3.63669688 5.71441773],[-0.75239934  0.466883  ],[6.70476833 3.23714165],[-0.74801625 -0.77859346],[1.24611919 1.85480718],[0.2816259  1.23904003],[8.71610686 1.93104415],[-0.30923331  1.2380861 ],[3.49424565 8.01784055],[ 0.14511472 -1.31680501],[6.02539834 6.01594238],[ 0.93619524 -0.02982823]
[9.48212284 5.86184334],[-0.61905282 -1.09587133],[0.0161755  2.16956422],[0.45882585 1.19316568],[2.19078454 5.82768201],[ 1.26722761 -0.0863902 ],[8.11438335 3.80170986],[-1.11549623  0.63334037],[3.56241377 5.76015877],[-0.73417236  0.44740367],[6.62812625 3.16113601],[-0.78375212 -0.74064424],[1.27802822 1.97813334],[0.35806633 1.22923105],[8.68149429 2.05399993],[-0.37951482  1.22297249],[3.5098889  7.88655252],[ 0.16852101 -1.30763983],[6.11820357 6.01090751],[ 0.92022681 -0.07056664]
[9.41640597 5.75368445],[-0.69300266 -1.06567049],[0.06663785 2.28785205],[0.54751343 1.17034205],[2.3172642  5.81784274],[ 1.26144055 -0.11076612],[8.00244897 3.86376534],[-1.12167884  0.60933129],[3.48978631 5.80386897],[-0.71805434  0.42739735],[6.54833108 3.0893079 ],[-0.81113397 -0.69507801],[1.3176862  2.10061551],[0.43062714 1.21631873],[8.64012936 2.17529124],[-0.44258649  1.20659722],[3.52790723 7.7563301 ],[ 0.18995788 -1.29824915],[6.20948516 6.00188302],[ 0.90636007 -0.1088437 ]
[9.34389947 5.64895548],[-0.75888448 -1.03149079],[0.12537306 2.40346859],[0.62480317 1.14057924],[2.44281359 5.80536002],[ 1.2474772  -0.14080966],[7.88999592 3.92352718],[-1.12889221  0.5843542 ],[3.41889271 5.84576272],[-0.70292696  0.40755054],[6.46577327 3.02197831],[-0.83903679 -0.65072226],[1.3640051  2.22133444],[0.48867354 1.19183268],[8.59289473 2.29494893],[-0.50285579  1.18453021],[3.54800843 7.62710601],[ 0.21212954 -1.28584404],[6.29942837 5.98912625],[ 0.89044223 -0.14821808]
[9.26491374 5.54754216],[-0.81639667 -0.9932581 ],[0.19151032 2.51604708],[0.69942117 1.11335194],[2.5671009  5.79007332],[ 1.23576162 -0.16710961],[7.77729805 3.98127278],[-1.12676902  0.56906413],[3.34931998 5.88550842],[-0.68844517  0.3875426 ],[6.38044636 2.95906813],[-0.86722964 -0.60742274],[1.41563056 2.33936469],[0.54496158 1.17046154],[8.53979627 2.4122275 ],[-0.5596601   1.15943797],[3.57029123 7.49915663],[ 0.2318924  -1.27456379],[6.38747676 5.97215167],[ 0.86935722 -0.19235894]
[9.18067207 5.45019205],[-0.86509288 -0.95136153],[0.26459047 2.62563589],[0.76297975 1.08032471],[2.6901253  5.77213738],[ 1.22561569 -0.19029893],[7.66438478 4.03707709],[-1.13194509  0.54658698],[3.28099027 5.92305811],[-0.67897504  0.36262589],[6.29238051 2.90052008],[-0.89189708 -0.56155331],[1.47274812 2.45528004],[0.59645758 1.14756045],[8.48141507 2.527083  ],[-0.60826649  1.13633104],[3.59455557 7.37241931],[ 0.2543637  -1.25913629],[6.4732138  5.95056967],[ 0.84612035 -0.23843776]
[9.09176576 5.3569755 ],[-0.91419351 -0.91505631],[0.34362893 2.73182304],[0.81830854 1.04507584],[2.81233381 5.75221376],[ 1.21962029 -0.20654606],[7.55085774 4.09050575],[-1.13881331  0.52165529],[3.21390735 5.95840673],[-0.66361404  0.34340831],[6.20202513 2.84669677],[-0.91482577 -0.51476759],[1.53469548 2.5687713 ],[0.64163574 1.12211469],[8.41811615 2.63929136],[-0.65395456  1.11072063],[3.62052703 7.24674652],[ 0.26454977 -1.25417623],[6.55688189 5.92467592],[ 0.82901827 -0.27737188]
[8.9985578  5.26774305],[-0.95124918 -0.87180018],[0.42795257 2.83454542],[0.86896742 1.01129169],[2.93403928 5.73093555],[ 1.2128072  -0.22017712],[7.43678986 4.14155225],[-1.14429655  0.49746465],[3.14848988 5.99195322],[-0.64595816  0.32627893],[6.10948311 2.79760784],[-0.93497881 -0.46618839],[1.60078632 2.6795504 ],[0.68190704 1.09588626],[8.35054537 2.74897577],[-0.69432684  1.08526298],[3.64763756 7.12184162],[ 0.27925078 -1.2422911 ],[6.63899536 5.89514212],[ 0.81261248 -0.31358477]
[8.9016652  5.18260501],[-0.98491053 -0.83014916],[0.51719558 2.93404568],[0.91427685 0.97819159],[3.05470259 5.70804092],[ 1.19810212 -0.24005453],[7.32247661 4.19047208],[-1.14383317  0.47908309],[3.08478383 6.02371051],[-0.62704577  0.30994621],[6.01479663 2.75318627],[-0.95474952 -0.41853773],[1.67064587 2.78763973],[0.71619988 1.06757303],[8.27900791 2.85596008],[-0.73387654  1.05629016],[3.67634648 6.99827863],[ 0.29295012 -1.23080739],[6.71878962 5.86139102],[ 0.78351119 -0.36099571]
