[2.26684583 2.68453959],[ 4.63468721 -0.76505396],[6.7295788  9.77351871],[0.16699609 0.97863446],[5.45305741 4.03839294],[-0.94473155  2.04417208],[2.29494954 5.21403366],[-2.09989482  4.83891096],[8.27598893 8.30801275],[-3.79443531  1.54866186],[3.80115035 8.68727486],[-3.56685477 -2.167764  ],[5.50005434 1.61323315],[0.53507397 1.6292694 ],[2.18729807 8.4311973 ],[-1.04784915  4.1174973 ],[2.30300232 9.74068831],[-4.11897167  2.68164183],[9.25899189 0.49067419],[-2.05499407  3.69520597]
[3.88934386 2.85042232],[1.06744984 0.60601506],[ 6.58101771 10.44913705],[-0.52110523  0.2687036 ],[4.85102623 5.4099997 ],[-0.45320837  1.07924007],[1.9532613  6.73307969],[0.13348833 1.05409468],[6.65256155 8.59425833],[-1.23725984 -0.1157307 ],[2.65211054 7.65434397],[-0.55424284 -0.911507  ],[5.7237596  3.11205549],[-0.01979656  1.3093913 ],[2.09334024 9.77815796],[0.30837365 0.71635854],[ 1.10886947 10.23936793],[-0.63953133 -0.16245767],[8.26660283 2.03807882],[-0.84917159  1.1669112 ]
[3.99390848 2.91415463],[1.02292098 0.66710348],[ 6.52475092 10.47243565],[-0.60672424  0.19403054],[4.80593812 5.51753292],[-0.4507646   1.06958078],[1.96953144 6.83775693],[0.19298645 1.04081583],[6.52924224 8.58055204],[-1.22965615 -0.15853758],[2.59955378 7.56296642],[-0.49748065 -0.91635245],[5.72012554 3.24271501],[-0.0524361   1.30389124],[2.12764668 9.84728827],[0.37614175 0.66426338],[ 1.04694443 10.21784573],[-0.59616087 -0.26621605],[8.18148216 2.1543254 ],[-0.85567083  1.15563297]
[4.09430072 2.98414373],[0.98501276 0.73227275],[ 6.4594418  10.48751491],[-0.69637668  0.10938886],[4.76120821 5.62429953],[-0.44430954  1.06537807],[1.99167391 6.94108021],[0.24884529 1.02498182],[6.40685393 8.56287167],[-1.21858383 -0.19495567],[2.5522911  7.47081017],[-0.44699469 -0.92560801],[5.71317276 3.37268762],[-0.08558945  1.29645294],[2.16864209 9.91096561],[0.44740907 0.61242349],[ 0.99023508 10.18646645],[-0.53673845 -0.36120669],[8.09552373 2.26927992],[-0.86147914  1.14549004]
[4.19072907 3.06036096],[0.94284139 0.79077874],[ 6.38567959 10.49425056],[-0.77960114  0.0230214 ],[4.71706592 5.73061794],[-0.43952049  1.06008797],[2.01936348 7.04283834],[0.30393979 1.0093889 ],[6.28535168 8.54146274],[-1.21210834 -0.23359836],[2.50992755 7.37768189],[-0.40026681 -0.93653087],[5.70294097 3.50188809],[-0.11686489  1.28948142],[2.21689991 9.96939826],[0.51808989 0.55604269],[ 0.93896926 10.14469478],[-0.48436833 -0.47118698],[8.00943501 2.38365156],[-0.86009933  1.14200935]
[4.28253754 3.1418762 ],[0.89328948 0.83887378],[ 6.30363265 10.49186954],[-0.85873195 -0.06989356],[4.67337556 5.8364059 ],[-0.43619477  1.0538688 ],[2.05252568 7.14303012],[0.35705956 0.99242737],[6.16472192 8.51650557],[-1.20016329 -0.26477581],[2.47202101 7.28336391],[-0.35826839 -0.94964204],[5.68989411 3.63058739],[-0.14414396  1.28401295],[ 2.27216253 10.02193456],[0.58997583 0.49701101],[ 0.89357232 10.0921778 ],[-0.42463417 -0.58113476],[7.92296415 2.49713976],[-0.86884573  1.12831174]
[4.36938401 3.22803661],[0.845408   0.88548298],[ 6.21426596 10.48020887],[-0.92619001 -0.16288895],[4.62991059 5.94149276],[-0.43747071  1.04369109],[2.09052742 7.24111236],[0.40318981 0.96971638],[6.04538533 8.48867298],[-1.18671744 -0.29158804],[2.43843653 7.18799704],[-0.31140317 -0.95532031],[5.67415071 3.75866173],[-0.17098444  1.27680426],[ 2.33506438 10.06885145],[0.66649356 0.43948258],[ 0.85451923 10.02875745],[-0.3559976 -0.6873008],[7.83591868 2.60956499],[-0.86952501  1.12259632]
[4.45178212 3.31903474],[0.80228708 0.93352951],[ 6.1188931  10.45940717],[-0.97722468 -0.2509185 ],[4.58667882 6.04595246],[-0.42876346  1.04378454],[2.13321616 7.33705437],[0.45120341 0.94990148],[5.92747716 8.45838283],[-1.17247982 -0.31468575],[2.40984498 7.0924379 ],[-0.26430384 -0.95937411],[5.65605707 3.88622283],[-0.19023473  1.27459655],[ 2.40541039 10.10970771],[0.73687236 0.3740596 ],[0.82246126 9.95474335],[-0.28363249 -0.79115985],[7.749056   2.72163071],[-0.8703011   1.11609013]
[4.52940695 3.4142011 ],[0.74888138 0.96782043],[ 6.01916745 10.43005592],[-1.01594348 -0.33622175],[4.5441117  6.15018786],[-0.4239386   1.03947772],[2.1806712  7.43100683],[0.49729248 0.92876063],[5.81111531 8.42605243],[-1.15644872 -0.33304283],[2.3856227  6.99624691],[-0.22112999 -0.96503628],[5.63622834 4.01357752],[-0.20683055  1.27157312],[ 2.48242493 10.14362428],[0.80211022 0.30320318],[0.79848731 9.87129264],[-0.19635338 -0.87741042],[7.66195838 2.83287796],[-0.87134444  1.10914697]
[4.60186172 3.51280004],[0.69959497 1.00288434],[ 5.91628631 10.39248209],[-1.03984996 -0.41447049],[4.50194974 6.25390683],[-0.41946757  1.0347605 ],[2.23260121 7.52275049],[0.54116411 0.90619698],[5.69608555 8.39173594],[-1.14315084 -0.3519574 ],[2.36586595 6.89973692],[-0.17617037 -0.96687515],[5.61419957 4.14001469],[-0.2325387  1.2582652],[ 2.56561005 10.17016959],[0.86121975 0.22788768],[0.7831491 9.7794541],[-0.11038739 -0.95749974],[7.57479222 2.94345391],[-0.86752885  1.10670979]
[4.66944187 3.6147785 ],[0.65102298 1.03499475],[ 5.81159026 10.34738387],[-1.05536318 -0.48951099],[4.46015675 6.3570705 ],[-0.41655635  1.02837956],[2.28872041 7.61208729],[0.58011268 0.87966173],[5.58251491 8.35577513],[-1.13025525 -0.36900699],[2.35031153 6.80286784],[-0.1351121  -0.97023221],[5.59000295 4.2654761 ],[-0.2507891  1.2512832],[ 2.65451707 10.18917641],[0.91888698 0.15524613],[0.77650596 9.68028762],[-0.02386721 -1.02469761],[7.4880818 3.0538214],[-0.8697556   1.09759773]
[4.7322572  3.71986954],[0.60537787 1.06613771],[ 5.70597446 10.29522614],[-1.0558019 -0.5526812],[4.41878378 6.45971634],[-0.41107805  1.02429807],[2.34883167 7.69891959],[0.62161563 0.85669314],[5.47022753 8.31818217],[-1.11590424 -0.38293433],[2.33912022 6.70602605],[-0.09064174 -0.96821452],[5.56375211 4.38994845],[-0.27434482  1.23781029],[ 2.74869066 10.20074961],[0.96263513 0.07555408],[0.77844831 9.57510936],[ 0.05942287 -1.0790184 ],[7.40109623 3.1632307 ],[-0.86842983  1.0920629 ]
[4.79073162 3.82807215],[0.56069973 1.09367919],[ 5.60083549 10.23723333],[-1.04602001 -0.6060254 ],[4.37772984 6.56171405],[-0.41142785  1.01427381],[2.41278023 7.7831893 ],[0.65578141 0.82743452],[5.35914879 8.27904508],[-1.10436147 -0.39831764],[2.33193926 6.60906406],[-0.0511125  -0.96861663],[5.53562298 4.51349363],[-0.28666385  1.23413489],[ 2.84674917 10.20423919],[ 1.00051535 -0.00208513],[0.78863852 9.46532734],[ 0.14351235 -1.11431493],[7.31449091 3.27231017],[-0.86401272  1.08908182]
[4.84442227 3.93851805],[0.51269933 1.11412578],[ 5.49669491 10.17396652],[-1.03719246 -0.65951242],[4.33680765 6.66288541],[-0.40764508  1.00845228],[2.47981786 7.86427609],[0.68759708 0.79721061],[5.24920983 8.23839996],[-1.09071708 -0.41053786],[2.32908118 6.51253226],[-0.00627224 -0.96191821],[5.50604458 4.63633141],[-0.3044827   1.22297808],[ 2.94814734 10.20002038],[ 1.02528763 -0.08276536],[0.80702898 9.35270646],[ 0.22524497 -1.13424953],[7.22778763 3.38054339],[-0.86823478  1.07742699]
[4.89351159 4.05101242],[0.46860993 1.13451075],[ 5.39391471 10.10589438],[-1.01777673 -0.70078848],[4.29600193 6.76320187],[-0.41066495  0.99584394],[2.55035028 7.94271325],[0.72335238 0.77208653],[5.14079861 8.19679333],[-1.08109967 -0.42504119],[2.33036165 6.41642085],[ 0.03236939 -0.95932416],[5.47468196 4.75802148],[-0.3209333   1.21243437],[ 3.05176419 10.18799175],[ 1.04602654 -0.15688277],[0.83307553 9.23842486],[ 0.2962939  -1.14781748],[7.1411553  3.48809435],[-0.86546993  1.07249943]
[4.93824148 4.16538269],[0.42615334 1.15232497],[ 5.29323259 10.03398295],[-0.99444306 -0.73544424],[4.25487983 6.86227358],[-0.41162321  0.98579173],[2.62428424 8.01852542],[0.75414578 0.74326598],[5.03329447 8.153703  ],[-1.07157049 -0.43925468],[2.33612685 6.3212778 ],[ 0.08213185 -0.94420849],[5.44173845 4.87866704],[-0.33677724  1.20141192],[ 3.156709   10.16836093],[ 1.0517041  -0.23509817],[0.86611808 9.12348071],[ 0.36385483 -1.14932747],[7.05469231 3.59502977],[-0.866172    1.06382368]
[4.97861106 4.28122358],[0.38197712 1.16454989],[5.19514768 9.95902867],[-0.96932222 -0.76514525],[4.21405802 6.9607151 ],[-0.40437504  0.9833335 ],[2.70135848 8.0915873 ],[0.78600477 0.71695078],[4.92694105 8.10941985],[-1.05869454 -0.44936313],[2.34682187 6.22763011],[ 0.12769827 -0.93247611],[5.40736786 4.99831568],[-0.34827171  1.19352539],[ 3.26182947 10.14102868],[ 1.05015553 -0.31028997],[0.90546739 9.00863645],[ 0.42379341 -1.14468115],[6.96817036 3.70110447],[-0.86449121  1.05741739]
[5.01466067 4.39820087],[0.33929581 1.17468921],[5.0993007 9.8809724],[-0.94733873 -0.79516855],[4.17384994 7.0587463 ],[-0.40114324  0.9759268 ],[2.78101247 8.16148568],[0.80613738 0.68034994],[4.82177022 8.06406608],[-1.04701915 -0.45993482],[2.36191433 6.13509335],[ 0.17519569 -0.91693433],[5.37200703 5.1172424 ],[-0.35877255  1.18482041],[ 3.36680646 10.10672523],[ 1.04834367 -0.37497104],[0.9504373 8.8944902],[ 0.4749664  -1.13696891],[6.88139307 3.80611157],[-0.86781832  1.04597628]
[5.04651278 4.51608489],[0.29694749 1.18169022],[5.00593431 9.80034055],[-0.92119474 -0.81813171],[4.13376403 7.15583539],[-0.39746442  0.96885132],[2.86258668 8.22769271],[0.82813911 0.64687524],[4.71740834 8.01729697],[-1.03893547 -0.47410673],[2.38171195 6.04413699],[ 0.22004457 -0.90254343],[5.33539081 5.23504365],[-0.37350343  1.17120992],[ 3.47142076 10.06631835],[ 1.04370152 -0.43162993],[1.000394   8.78150026],[ 0.52425972 -1.12120607],[6.79483316 3.91050934],[-0.8660741   1.03922815]
[5.07417199 4.63456498],[0.25698963 1.18798884],[4.91518638 9.71755984],[-0.89427939 -0.83749984],[4.0943505  7.25247437],[-0.39424859  0.96041249],[2.94641939 8.29068187],[0.85090633 0.6155854 ],[4.61430744 7.96958933],[-1.02233669 -0.47905935],[2.40571253 5.95445202],[ 0.2617584  -0.88890693],[5.2974197  5.35159242],[-0.38379305  1.16159002],[ 3.57499367 10.02015904],[ 1.03122023 -0.48653725],[1.05520387 8.6704125 ],[ 0.57427618 -1.09719371],[6.70854625 4.01431706],[-0.85865612  1.03783322]
[5.09843536 4.75405387],[0.22458214 1.19722673],[4.82684711 9.6326917 ],[-0.8704936  -0.85738373],[4.05503113 7.34804195],[-0.39295059  0.95008893],[3.03238867 8.3504777 ],[0.8678079 0.5799075],[4.51261856 7.92119059],[-1.01150851 -0.48890008],[2.43424327 5.86659214],[ 0.31071871 -0.86607724],[5.25851666 5.46721069],[-0.39300261  1.15185477],[3.67710159 9.96873363],[ 1.01235753 -0.53924708],[1.11478438 8.56179166],[ 0.61730034 -1.07427451],[6.62292151 4.11788239],[-0.85027161  1.03694965]
[5.11850691 4.87339345],[0.17941501 1.19190087],[4.74095765 9.54603147],[-0.84889072 -0.87697336],[4.01574288 7.44247713],[-0.3931109   0.93833167],[3.12006129 8.40678215],[0.88341142 0.54420612],[4.41273454 7.87258521],[-0.99007208 -0.48675093],[2.46730403 5.78074778],[ 0.35169099 -0.8491191 ],[5.21867379 5.5817863 ],[-0.40361963  1.13985543],[3.77705624 9.91213614],[ 0.9884049  -0.58991331],[1.1783411  8.45541833],[ 0.6520122  -1.05402621],[6.53804164 4.22124186],[-0.84639527  1.0311925 ]
[5.13467948 4.99270962],[0.14348692 1.19335333],[4.65736577 9.45766794],[-0.82206889 -0.88901448],[3.97632407 7.53562375],[-0.39641135  0.92357846],[3.20921096 8.4594885 ],[0.90147753 0.51213084],[4.31411788 7.82335972],[-0.9796764  -0.49515273],[2.50435926 5.69663793],[ 0.39199981 -0.8299941 ],[5.17778948 5.69515828],[-0.41410936  1.12749107],[3.87464585 9.8508291 ],[ 0.96350325 -0.63508817],[1.2454998  8.35145046],[ 0.68801234 -1.02782063],[6.45373223 4.32419871],[-0.84257904  1.02516637]
[5.14746173 5.11221292],[0.11295586 1.1968593 ],[4.57618796 9.36794069],[-0.8012493  -0.90488476],[3.93635566 7.62710512],[-0.39934291  0.90970713],[3.30008057 8.50897832],[0.91807213 0.4801552 ],[4.2165479  7.77330367],[-0.96838269 -0.50256369],[2.54558066 5.61470785],[ 0.43331863 -0.80723378],[5.13581074 5.80723117],[-0.42447223  1.11492445],[3.96933979 9.78488206],[ 0.93009603 -0.68332828],[1.3160608  8.25010141],[ 0.72230568 -0.99948914],[6.36955198 4.42630322],[-0.84266362  1.01530492]
[5.15690973 5.23162554],[0.07588527 1.19101164],[4.49704363 9.27668568],[-0.78020131 -0.91839105],[3.89625136 7.71734622],[-0.40382177  0.89409256],[3.39242312 8.55516384],[0.92888418 0.44389668],[4.12056337 7.72299922],[-0.95202762 -0.5041355 ],[2.59142838 5.53566856],[ 0.48082903 -0.77594083],[5.09269453 5.91793119],[-0.4370934   1.09985129],[4.06066717 9.71432395],[ 0.89691418 -0.72657108],[1.38989403 8.15159098],[ 0.75152003 -0.97305603],[6.28550996 4.52757015],[-0.83741745  1.01073586]
[5.16306316 5.35075907],[0.04800986 1.19185052],[4.42002291 9.1841997 ],[-0.75967517 -0.9304448 ],[3.85595435 7.80627547],[-0.40514138  0.88145834],[3.48580079 8.597735  ],[0.9388861  0.40794869],[4.02590402 7.6722507 ],[-0.94240037 -0.51207625],[2.64126742 5.45914391],[ 0.51894179 -0.75102129],[5.04882298 6.02759798],[-0.43861738  1.09489637],[4.1491219  9.64012586],[ 0.87179062 -0.75703138],[1.46628792 8.05551772],[ 0.77233769 -0.95194532],[6.2021246  4.62849393],[-0.83169234  1.00631683]
[5.1664857 5.4698661],[0.02048368 1.18963822],[4.34538337 9.09092516],[-0.73155455 -0.9332331 ],[3.81581409 7.89420896],[-0.39780933  0.87685261],[3.58003803 8.63661804],[0.94818312 0.37232519],[3.93239483 7.62089691],[-0.92866256 -0.51583533],[2.69550267 5.38584368],[ 0.56621051 -0.71404906],[5.00460474 6.13649199],[-0.44686779  1.08188942],[4.23480288 9.56283476],[ 0.84092794 -0.78906039],[1.54476587 7.96169632],[ 0.79450709 -0.92683383],[6.11926573 4.72891914],[-0.82777635  0.99989592]
[5.16715714 5.58862001],[-0.0028284   1.18903824],[4.2733985  8.99727735],[-0.71096203 -0.9422373 ],[3.77592717 7.98115931],[-0.40056142  0.86153007],[3.67542914 8.6722424 ],[0.95923385 0.34012779],[3.84015841 7.56907319],[-0.91411835 -0.51861967],[2.7543396  5.31626777],[ 0.61309733 -0.67435244],[4.95958089 6.24409249],[-0.45613634  1.06760649],[4.31716157 9.48228523],[ 0.80595118 -0.82166491],[1.62565531 7.87068298],[ 0.82075312 -0.89565171],[6.03688689 4.82878443],[-0.82074163  0.9964384 ]
[5.16588797 5.70749421],[-0.02556099  1.18501338],[4.20349469 8.90282908],[-0.68775612 -0.9470892 ],[3.7359911  8.06679375],[-0.3977083   0.85153201],[3.77166849 8.70446964],[0.96485347 0.30394275],[3.74925246 7.51685545],[-0.90003988 -0.52169174],[2.81780921 5.25077628],[ 0.65526297 -0.63588724],[4.9136605  6.35029348],[-0.46127743  1.05731424],[4.3959293  9.39854594],[ 0.77002037 -0.85199172],[1.70856681 7.78227831],[ 0.83733847 -0.87229584],[5.95496613 4.92805036],[-0.81940413  0.98715827]
[5.1621657  5.82568282],[-0.05031168  1.17719857],[4.13585212 8.80789715],[-0.66912693 -0.95526601],[3.69611555 8.15118051],[-0.40117205  0.83480306],[3.86834912 8.73300428],[0.9703175 0.2685865],[3.65991332 7.46451204],[-0.8861619  -0.52458941],[2.88544708 5.18927422],[ 0.69372408 -0.59726717],[4.86742273 6.45560638],[-0.46776549  1.04462909],[4.47122416 9.31204351],[ 0.7376153  -0.87586113],[1.79328563 7.69644065],[ 0.85396863 -0.84728437],[5.87335473 5.02656243],[-0.81440343  0.98147562]
[5.15551117 5.9426089 ],[-0.08270788  1.16142734],[4.07015513 8.71230587],[-0.64551018 -0.95707458],[3.6559921 8.2339864],[-0.40137026  0.8212186 ],[3.96551431 8.75801131],[0.97061226 0.2293292 ],[3.57196122 7.41187938],[-0.87002385 -0.52511625],[2.95654957 5.13144885],[ 0.72963518 -0.55725976],[4.82015583 6.55928498],[-0.47571974  1.03073076],[4.54340077 9.22340342],[ 0.7037214  -0.89873757],[1.87960947 7.61311836],[ 0.87056533 -0.82088869],[5.79208194 5.12433693],[-0.81223765  0.97286643]
[5.14592425 6.05825944],[-0.10677807  1.15349851],[4.00634809 8.6161254 ],[-0.62822439 -0.96388584],[3.61561727 8.31519219],[-0.40558456  0.80341634],[4.06275277 8.77916629],[0.97413473 0.19405384],[3.48583009 7.35942611],[-0.85323132 -0.52451864],[3.03147193 5.07806366],[ 0.76703767 -0.51150192],[4.77205823 6.66152433],[-0.48810599  1.012195  ],[4.61221357 9.1326194 ],[ 0.6707624 -0.9183606],[1.96728418 7.53218914],[ 0.8847838  -0.79565001],[5.71078131 5.2210111 ],[-0.80960677  0.96476704]
[5.13387335 6.17297086],[-0.13373877  1.14116488],[3.94428803 8.51934748],[-0.61170173 -0.97010119],[3.57542506 8.39519788],[-0.39833614  0.79641718],[4.16050306 8.79704032],[0.97856094 0.16147217],[3.40109187 7.30674512],[-0.83795631 -0.5254448 ],[3.10984936 5.02918541],[ 0.80133637 -0.46451587],[4.72305812 6.76224536],[-0.49381819  1.00016138],[4.67775477 9.0399999 ],[ 0.63800965 -0.93575877],[2.05662305 7.45408633],[ 0.90268672 -0.76550349],[5.63004184 5.31715892],[-0.80620023  0.95716128]
[5.11951192 6.28676678],[-0.1551512   1.13272494],[3.88438225 8.42249652],[-0.5891745  -0.96953147],[3.53559728 8.47409938],[-0.39713759  0.78260682],[4.25818062 8.81119975],[0.97585358 0.12273081],[3.31818413 7.25429351],[-0.82351558 -0.52689427],[3.19168654 4.98526456],[ 0.83735357 -0.41114673],[4.67330569 6.86155823],[-0.50021925  0.98704973],[4.73942294 8.94515484],[ 0.59579726 -0.9602334 ],[2.14744253 7.37874722],[ 0.91474783 -0.74008567],[5.54971048 5.41260641],[-0.80270396  0.94947869]
