[2.26684583 2.68453959],[ 4.63468721 -0.76505396],[6.7295788  9.77351871],[0.16699609 0.97863446],[5.45305741 4.03839294],[-0.94473155  2.04417208],[2.29494954 5.21403366],[-2.09989482  4.83891096],[8.27598893 8.30801275],[-3.79443531  1.54866186],[3.80115035 8.68727486],[-3.56685477 -2.167764  ],[5.50005434 1.61323315],[0.53507397 1.6292694 ],[2.18729807 8.4311973 ],[-1.04784915  4.1174973 ],[2.30300232 9.74068831],[-4.11897167  2.68164183],[9.25899189 0.49067419],[-2.05499407  3.69520597]
[5.10307744 6.39969583],[-0.17321747  1.12582646],[3.82643535 8.32545455],[-0.56769157 -0.96909662],[3.49617373 8.55187003],[-0.39057037  0.7734108 ],[4.35590167 8.82186346],[0.97605681 0.08833778],[3.23687198 7.20184604],[-0.80261   -0.5218481],[3.27699616 4.94680454],[ 0.86897369 -0.35708882],[4.62296373 6.9595851 ],[-0.50443355  0.97553921],[4.79710484 8.84822167],[ 0.5601816  -0.97585508],[2.23974112 7.30627782],[ 0.93124837 -0.70907946],[5.46957449 5.50712627],[-0.80260667  0.9383437 ]
[5.08455223 6.51157319],[-0.19654236  1.11230255],[3.77086218 8.22869857],[-0.54433006 -0.96646963],[3.45724708 8.62851938],[-0.38583077  0.76160779],[4.45359921 8.82911549],[0.97846031 0.05772411],[3.15721233 7.14947076],[-0.78932003 -0.52440161],[3.36547199 4.91401098],[ 0.90030682 -0.29809414],[4.57222699 7.05644468],[-0.51147152  0.96050387],[4.85155803 8.75013022],[ 0.53095508 -0.98382619],[2.33330722 7.23657915],[ 0.94407819 -0.68073044],[5.38946577 5.60055094],[-0.79942685  0.93025752]
[5.06379671 6.6221638 ],[-0.21649913  1.10127733],[3.7171558  8.13177241],[-0.53094451 -0.97294098],[3.41905351 8.70420207],[-0.37852548  0.75144016],[4.55151436 8.83340768],[0.97624723 0.02480662],[3.07884691 7.09679434],[-0.77992929 -0.53115427],[3.45685825 4.88716976],[ 0.92441196 -0.24095561],[4.52038351 7.15140852],[-0.52400117  0.9401826 ],[4.90288425 8.65108778],[ 0.49786142 -0.99453097],[2.4283691  7.16999022],[ 0.95585571 -0.6521832 ],[5.31005006 5.69352753],[-0.78734432  0.93074287]
[5.04117592 6.73169937],[-0.2376471   1.08760288],[3.66481776 8.03430473],[-0.5147382  -0.97517757],[3.38149938 8.7787362 ],[-0.37182369  0.7398723 ],[4.64877451 8.83402353],[ 0.96807144 -0.01316725],[3.0016781 7.0436753],[-0.7637642  -0.53154574],[3.55003358 4.86563107],[ 0.94234068 -0.18585896],[4.46816527 7.24519107],[-0.52245759  0.9331595 ],[4.95059682 8.55075176],[ 0.46073164 -1.00752854],[2.52451784 7.10621339],[ 0.96706516 -0.62326954],[5.23140239 5.78609563],[-0.78107053  0.92513796]
[5.01660592 6.83998422],[-0.25626733  1.07541763],[3.61473299 7.93726388],[-0.48751676 -0.96626232],[3.3446637  8.85212071],[-0.36520806  0.72738629],[4.74497773 8.83063625],[ 0.95241928 -0.05819279],[2.92600197 6.99038303],[-0.75129816 -0.53589806],[3.64525817 4.85010254],[ 0.96257195 -0.12343982],[4.4154652  7.33760402],[-0.52908473  0.91747634],[4.9949423  8.44952875],[ 0.42676421 -1.01613804],[2.62149617 7.0450768 ],[ 0.97307455 -0.5988132 ],[5.15377204 5.87847664],[-0.77116418  0.92281497]
[4.99019936 6.94702662],[-0.27165874  1.06536456],[3.56682312 7.84056509],[-0.4717383  -0.96855408],[3.30847472 8.92420415],[-0.35746544  0.71526932],[4.83962547 8.82273874],[ 0.94209334 -0.0980586 ],[2.85186128 6.9369267 ],[-0.73073025 -0.53244653],[3.74203939 4.84059528],[ 0.9720057  -0.06718006],[4.36224506 7.42856874],[-0.53506194  0.90203056],[5.03597275 8.34758867],[ 0.39671393 -1.01971678],[2.71872896 6.98605005],[ 0.97558276 -0.57765391],[5.07726226 5.97073761],[-0.76235506  0.91906226]
[4.96230671 7.05303874],[-0.28723361  1.05359113],[3.52061603 7.74381209],[-0.4519898  -0.96605763],[3.27315277 8.99512337],[-0.34876722  0.7031892 ],[4.93297684 8.81062696],[ 0.92705065 -0.14195908],[2.77973038 6.88376421],[-0.71558407 -0.53453117],[3.83996693 4.83712794],[ 0.98515522 -0.00282848],[4.30847681 7.51802486],[-0.53650573  0.89073829],[5.07409545 8.24541173],[ 0.36628232 -1.02319647],[2.81668807 6.92965289],[ 0.98575115 -0.54795909],[5.0015622  6.06254609],[-0.74973075  0.91897686]
[4.93292252 7.15788096],[-0.29887812  1.04454116],[3.47644438 7.64737746],[-0.43368298 -0.9646983 ],[3.23869625 9.06478464],[-0.34013547  0.69013579],[5.02524781 8.79461209],[ 0.91643607 -0.18002228],[2.7089927  6.83024776],[-0.69693124 -0.53358512],[3.9388014  4.83990893],[0.9907865  0.05840171],[4.25449558 7.60624744],[-0.54143503  0.8753163 ],[5.10896584 8.14273153],[ 0.3328109  -1.02856586],[2.91523675 6.87584135],[ 0.98705215 -0.52638709],[4.92668435 6.15389472],[-0.7482702   0.90759073]
[4.90234828 7.26170972],[-0.31451532  1.03003084],[3.43402449 7.55104104],[-0.41454549 -0.96185118],[3.20475431 9.13275572],[-0.33795948  0.66994919],[5.11612905 8.77452898],[ 0.90140671 -0.22123579],[2.64007843 6.77676883],[-0.68057428 -0.53527887],[4.03789843 4.84869925],[0.99157512 0.11838653],[4.20025444 7.69313497],[-0.5424897   0.86324879],[5.14056613 8.03964096],[ 0.29740118 -1.03471747],[3.01397858 6.82426657],[ 0.98940575 -0.50343952],[4.85232057 6.24447448],[-0.73932367  0.90367556]
[4.86994801 7.36382048],[-0.33067341  1.01487681],[3.39330701 7.4548057 ],[-0.39860399 -0.96150724],[3.17155039 9.19918846],[-0.32812373  0.65654074],[5.20569902 8.75059383],[ 0.88937923 -0.25770224],[2.57329456 6.7235966 ],[-0.65545573 -0.52853226],[4.13686255 4.86344591],[0.98748334 0.17673829],[4.14595539 7.77883088],[-0.54392535  0.850177  ],[5.16879246 7.93617834],[ 0.26539695 -1.03622656],[3.11330369 6.77537936],[ 0.99336587 -0.47790328],[4.77863636 6.33444135],[-0.73225445  0.89776008]
[4.83634053 7.46476588],[-0.34331468  1.00203009],[3.35433579 7.35878571],[-0.38112703 -0.95906296],[3.13916838 9.26406867],[-0.32160927  0.6388377 ],[5.29352101 8.72254332],[ 0.87155369 -0.29849419],[2.50871581 6.67077531],[-0.63664529 -0.52847977],[4.23525387 4.8840015 ],[0.98226313 0.23673979],[4.09168434 7.86336076],[-0.54417076  0.83768944],[5.19366344 7.83246651],[ 0.23246209 -1.03745844],[3.212656  6.7286952],[ 0.99189114 -0.45756559],[4.70580264 6.42395011],[-0.72518407  0.89163662]
[4.80134845 7.5642659 ],[-0.35957084  0.98487913],[3.31710722 7.26303009],[-0.36468373 -0.95712205],[3.10738739 9.3270832 ],[-0.31507614  0.62025941],[5.37960287 8.690552  ],[ 0.84956896 -0.34157598],[2.44591577 6.61782866],[-0.61760051 -0.52878045],[4.33321128 4.91081403],[0.97623383 0.29927479],[4.03716328 7.94640133],[-0.54343399  0.82585044],[5.21515726 7.72861274],[ 0.20174871 -1.03528184],[3.31214119 6.68434476],[ 0.99548055 -0.43161579],[4.63388702 6.51304819],[-0.71342865  0.88996717]
[4.76442175 7.66174821],[-0.37962375  0.96410318],[3.28147726 7.16746285],[-0.34826247 -0.95450411],[3.07645679 9.38838512],[-0.30411645  0.60499435],[5.46377347 8.6546328 ],[ 0.83110025 -0.37913594],[2.38523459 6.56503733],[-0.59731988 -0.52843255],[4.43020754 4.94365525],[0.96643666 0.36066939],[3.98266396 8.02817492],[-0.54823801  0.80795789],[5.23391617 7.62531234],[ 0.17316602 -1.03098231],[3.41185683 6.6425013 ],[ 0.99685708 -0.4070905 ],[4.56303625 6.60185275],[-0.70471711  0.88498354]
[4.72575486 7.75740799],[-0.39354167  0.94913503],[3.24762773 7.07231973],[-0.32797393 -0.94764267],[3.04678681 9.44825642],[-0.28915635  0.59233048],[5.5458665  8.61483645],[ 0.81051618 -0.41664801],[2.32653452 6.51219934],[-0.57663053 -0.52836996],[4.5259744 4.9825137],[0.94912103 0.41687715],[3.92790429 8.10836992],[-0.54616651  0.79663632],[5.25003486 7.52266351],[ 0.14771878 -1.02350186],[3.5116589  6.60309092],[ 1.00039035 -0.37974948],[4.4931428  6.69023751],[-0.69076309  0.88503678]
[4.6856868  7.85152056],[-0.40697232  0.9338319 ],[3.21612179 6.97815456],[-0.30454626 -0.9381197 ],[3.01852194 9.50669158],[-0.27852137  0.57380718],[5.625758   8.57126061],[ 0.78872979 -0.4530091 ],[2.26988381 6.45931115],[-0.55704    -0.53016273],[4.61999798 5.02706283],[0.93052222 0.47339801],[3.87306848 8.18712537],[-0.54722997  0.78175334],[5.26365512 7.42081041],[ 0.12313912 -1.01516046],[3.61174986 6.56640933],[ 1.00079222 -0.35444436],[4.42439116 6.77835665],[-0.685151    0.87647254]
[4.64433016 7.94411243],[-0.41895051  0.91910853],[3.18649467 6.88448444],[-0.28941164 -0.93658635],[2.99135477 9.56323933],[-0.26548958  0.55622131],[5.70322439 8.52392676],[ 0.76202736 -0.49183297],[2.21522833 6.40623866],[-0.53500855 -0.53034854],[4.71176987 5.07692025],[0.90933414 0.52826203],[3.81826806 8.26451001],[-0.54975141  0.76493026],[5.27410575 7.31913047],[ 0.08707416 -1.01682693],[3.71169688 6.53210148],[ 0.9975633  -0.33230331],[4.35655052 6.86596366],[-0.67483039  0.87247203]
[4.6016528  8.03506649],[-0.43636684  0.89821696],[3.1583321  6.79096157],[-0.27456157 -0.93442111],[2.96567349 9.61812474],[-0.24942706  0.53990559],[5.77795969 8.47277337],[ 0.73536432 -0.52809589],[2.16266201 6.35298919],[-0.51208118 -0.53053784],[4.80115465 5.13204162],[0.88036473 0.57610025],[3.76319188 8.34017528],[-0.54820875  0.75186252],[5.28135578 7.21776989],[ 0.05757246 -1.01056964],[3.81127437 6.4999694 ],[ 0.99571073 -0.30855605],[4.28943696 6.95286159],[-0.66802199  0.86491292]
[4.5574066  8.12408974],[-0.44955862  0.88112126],[3.1317655  6.69780468],[-0.25520085 -0.92710326],[2.9415343  9.67121974],[-0.23388626  0.52115677],[5.84989491 8.41799707],[ 0.70370318 -0.56660095],[2.11270328 6.29998673],[-0.48662518 -0.52919802],[4.88785941 5.1921793 ],[0.85190284 0.6247728 ],[3.70839471 8.41462605],[-0.55051946  0.73434083],[5.28540667 7.1168552 ],[ 0.02678073 -1.00429271],[3.91081478 6.47040573],[ 0.9943928  -0.28331689],[4.22301981 7.03901823],[-0.6573303   0.86116097]
[4.51217581 8.21168872],[-0.45583667  0.8698743 ],[3.10733446 6.60557247],[-0.23468521 -0.91883358],[2.91895491 9.72234227],[-0.21916029  0.49951813],[5.91869533 8.35954238],[ 0.67128842 -0.60300717],[2.06527587 6.24704976],[-0.46006372 -0.52784929],[4.97143801 5.25690057],[0.81775704 0.66762307],[3.65339587 8.48733867],[-0.54936573  0.71992648],[5.2866561  7.01687903],[-0.00159615 -0.99506347],[4.00983925 6.44299918],[ 0.98622431 -0.26469949],[4.15754117 7.124654  ],[-0.65209829  0.85173514]
[4.46598919 8.2977865 ],[-0.46512587  0.85467834],[3.08478969 6.51400975],[-0.21584366 -0.91199881],[2.89790188 9.77124425],[-0.20228804  0.47777146],[5.98408045 8.29742422],[ 0.63469344 -0.64055623],[2.02081626 6.19449738],[-0.42931305 -0.5235745 ],[5.05155593 5.3258428 ],[0.78074662 0.707187  ],[3.59861292 8.55868267],[-0.54550321  0.70766524],[5.28492116 6.91771569],[-0.03453601 -0.98938008],[4.10833202 6.41775217],[ 0.98291374 -0.24085535],[4.09270896 7.20946857],[-0.64606445  0.84304444]
[4.41857308 8.38202795],[-0.48330679  0.83000981],[3.06422085 6.42322987],[-0.19502856 -0.90307593],[2.87786084 9.81718051],[-0.19438654  0.44473673],[6.04554998 8.23145569],[ 0.5938311  -0.67911475],[1.97936747 6.14223962],[-0.39865378 -0.52079136],[5.12824072 5.39897957],[0.75066493 0.75307624],[3.54417713 8.62873106],[-0.54437316  0.69208254],[5.27973205 6.81905963],[-0.06594043 -0.98031611],[4.20649499 6.39493097],[ 0.98110906 -0.21462855],[4.02856881 7.29349671],[-0.6397116   0.83455238]
[4.3693543  8.46381458],[-0.49770606  0.80897051],[3.04556887 6.33318829],[-0.17773245 -0.89743663],[2.8591715  9.86024123],[-0.18061308  0.41482854],[6.10312044 8.16199172],[ 0.55625913 -0.71089971],[1.94112101 6.09031896],[-0.37005252 -0.52163382],[5.20138038 5.47612863],[0.71280362 0.79034094],[3.4895404  8.69688687],[-0.54522555  0.67412009],[5.27182629 6.72175574],[-0.09613141 -0.96959326],[4.30419853 6.37449585],[ 0.973933  -0.1929971],[3.96473806 7.37635401],[-0.63624215  0.82322557]
[4.31900318 8.54376296],[-0.51062449  0.78860573],[3.02884301 6.24392465],[-0.15478682 -0.88591032],[2.84186301 9.90016364],[-0.16237543  0.38626957],[6.15686697 8.0894598 ],[ 0.51976785 -0.73805102],[1.90539315 6.03789907],[-0.33995807 -0.52247052],[5.27050643 5.55672713],[0.67116546 0.82281532],[3.43515701 8.76355786],[-0.54154692  0.66010878],[5.26050951 6.62521241],[-0.12962722 -0.96037685],[4.40137656 6.35645218],[ 0.96922531 -0.16809045],[3.90161072 7.45842422],[-0.62714152  0.81732302]
[4.26721638 8.62150337],[-0.52314589  0.76804591],[3.01413554 6.15553502],[-0.1366069  -0.87900919],[2.82671288 9.93738232],[-0.14073365  0.35738779],[6.2067465 8.0141702],[ 0.47569847 -0.76921123],[1.87298507 5.98561643],[-0.31049583 -0.52573463],[5.33568095 5.64072511],[0.63224342 0.85675827],[3.3813369  8.82898971],[-0.53360213  0.6496965 ],[5.24585977 6.52968577],[-0.16538863 -0.95186324],[4.4978885  6.34074488],[ 0.96120495 -0.14578965],[3.83884602 7.53935179],[-0.62613354  0.80328195]
[4.2140822  8.69705387],[-0.53955372  0.74289069],[3.00160457 6.06820087],[-0.11058153 -0.864323  ],[2.81370855 9.97148849],[-0.11963837  0.32376742],[6.25226646 7.93600537],[ 0.43347512 -0.79470211],[1.843654  5.9330501],[-0.27456448 -0.52431977],[5.39644723 5.72754061],[0.58482963 0.88103908],[3.32794019 8.8929773 ],[-0.53258496  0.63172973],[5.22788887 6.4353536 ],[-0.19185706 -0.93255772],[4.59355408 6.32725051],[ 0.95014413 -0.12597564],[3.77667696 7.61936203],[-0.61845976  0.79569855]
[4.1590287  8.76978699],[-0.55791798  0.71526554],[2.99181315 5.98243349],[-0.08525171 -0.85109498],[ 2.80298298 10.0021688 ],[-0.09579439  0.2881252 ],[6.29283374 7.85477118],[ 0.38125823 -0.82586135],[1.81808427 5.88068898],[-0.23755279 -0.52393937],[5.45280831 5.81705671],[0.54348343 0.91003481],[3.2749301  8.95542205],[-0.52970628  0.61498999],[5.2070211  6.34273791],[-0.22276912 -0.91684655],[4.68829823 6.31594905],[ 0.94424837 -0.10039968],[3.71510521 7.69843397],[-0.61130139  0.78738236]
[4.10256573 8.84014332],[-0.56889389  0.69415078],[2.98474851 5.89815448],[-0.05735707 -0.83586918],[ 2.79439594 10.0287733 ],[-0.07734613  0.24167711],[6.32814485 7.77061163],[ 0.32486451 -0.85661046],[1.79632684 5.82836835],[-0.1980469  -0.52326048],[5.50482073 5.90917951],[0.49841189 0.93369262],[3.22218046 9.01613414],[-0.52526742  0.5991693 ],[5.18294492 6.25164005],[-0.25925715 -0.90527541],[4.78232259 6.30712856],[ 0.93517406 -0.0768721 ],[3.65441005 7.77681676],[-0.60470565  0.77815515]
[4.04498396 8.90831604],[-0.58284409  0.66904921],[2.98022252 5.81513949],[-0.03141157 -0.82275424],[ 2.78796532 10.05074323],[-0.05097306  0.1969781 ],[6.35775803 7.6835704 ],[ 0.26993734 -0.88088944],[1.77877802 5.77625553],[-0.15257711 -0.5190206 ],[5.55245084 6.00369973],[0.45419247 0.95640639],[3.16945853 9.07481461],[-0.52641006  0.57710668],[5.15539885 6.16198123],[-0.29008264 -0.88622617],[4.87530936 6.30057894],[ 0.92339829 -0.05528976],[3.59444435 7.85433381],[-0.59721346  0.7695509 ]
[3.98612902 8.97405132],[-0.59215053  0.64759309],[2.97843605 5.73356196],[-0.00730441 -0.81178069],[ 2.78406391 10.06778841],[-0.02475655  0.1450471 ],[6.38170711 7.59416934],[ 0.21234773 -0.90301574],[1.76608118 5.72473759],[-0.10119605 -0.51158202],[5.59577118 6.10050597],[0.41143776 0.97842975],[3.11656348 9.13119459],[-0.5288089   0.55306535],[5.12491784 6.0744284 ],[-0.31900131 -0.86418486],[4.96737249 6.29648589],[ 0.91732366 -0.02686802],[3.53514979 7.93089952],[-0.58904784  0.76136517]
[3.92627954 9.03752268],[-0.60624086  0.62026811],[2.97899873 5.65303466],[ 0.01712712 -0.80016279],[ 2.78323307 10.07969614],[0.00867858 0.09231664],[6.40009267 7.50297441],[ 0.15256351 -0.92289648],[1.75844506 5.67374673],[-0.05204589 -0.50913482],[5.63483041 6.19940602],[0.36765269 0.9970115 ],[3.06391404 9.18561469],[-0.52188515  0.53750582],[5.09113364 5.98874319],[-0.35513874 -0.84771102],[5.05870501 6.29519442],[0.91000825 0.00197223],[3.47646568 8.00642835],[-0.58434106  0.74947231]
[3.86485363 9.09803926],[-0.62126211  0.59089544],[2.98212966 5.57380442],[ 0.04780433 -0.78218277],[ 2.785587   10.08573184],[0.04017393 0.02870176],[6.41255978 7.41009497],[ 0.09569346 -0.93512173],[1.75581991 5.622967  ],[-1.69286616e-04 -5.06543776e-01],[5.66925239 6.29980387],[0.32118576 1.01096307],[3.01173919 9.23821549],[-0.51837335  0.51761326],[5.05390487 5.90496451],[-0.38991583 -0.82805589],[5.14902544 6.29658249],[0.89754221 0.02705834],[3.41833509 8.08083801],[-0.57724821  0.73971503]
[3.80206275 9.15569466],[-0.63605794  0.56050716],[2.98780945 5.49585183],[ 0.06450813 -0.77792907],[ 2.79162763 10.08546035],[ 0.07751379 -0.0388363 ],[6.41904804 7.31592461],[ 0.03626047 -0.9453305 ],[1.75862677 5.57256446],[ 0.05935881 -0.4988333 ],[5.69893687 6.40141424],[0.27674769 1.02502869],[2.96025422 9.2891167 ],[-0.51526271  0.49632558],[5.01347586 5.82351162],[-0.42161649 -0.80375825],[5.2382839  6.30073269],[0.88726226 0.05585673],[3.36137203 8.15470688],[-0.56419314  0.73539111]
[3.7379633  9.21041513],[-0.6465442   0.53307651],[2.9957062  5.41891836],[ 0.09458292 -0.75960598],[ 2.8016082  10.07812777],[ 0.12093124 -0.11060503],[6.41961518 7.22097176],[-0.02339782 -0.95160517],[1.76734579 5.52276879],[ 0.11749137 -0.49489229],[5.72446184 6.50455925],[0.23246822 1.03617679],[2.9087434  9.33749797],[-0.51666702  0.46941467],[4.96957096 5.74427311],[-0.45577194 -0.78006517],[5.32646988 6.3078064 ],[0.87617821 0.08559338],[3.30542612 8.22783147],[-0.55462259  0.72713549]
[3.67266869 9.26217481],[-0.66110871  0.50011214],[3.00684713 5.34403604],[ 0.1271006  -0.73920243],[ 2.81610328 10.06327241],[ 0.16955337 -0.18746913],[6.41433731 7.1257036 ],[-0.08203237 -0.95307934],[1.78239541 5.47378365],[ 0.18669361 -0.48187074],[5.74538841 6.60853851],[0.18696111 1.04385185],[2.85698723 9.38302057],[-0.51915022  0.44014334],[4.92218147 5.66742518],[-0.48992985 -0.75454865],[5.41356772 6.31797213],[0.86532919 0.11751976],[3.25038667 8.30005749],[-0.54697113  0.71655064]
[3.60616217 9.31080251],[-0.67036448  0.47086706],[3.02116326 5.27111255],[ 0.15742824 -0.72104698],[ 2.83531136 10.04009845],[ 0.21369874 -0.27821152],[6.40275384 7.03005975],[-0.14717649 -0.95674531],[1.80424118 5.42589795],[ 0.25455059 -0.47159651],[5.76178224 6.71317581],[0.13950161 1.04718241],[2.80539535 9.42595899],[-0.51477131  0.41633302],[4.87166575 5.59349898],[-0.52323203 -0.72659425],[5.4992561  6.33109257],[0.84943426 0.14612687],[3.19609697 8.37119245],[-0.53587377  0.70903689]
[3.53840045 9.35609139],[-0.68652354  0.43293213],[3.03823773 5.19975431],[ 0.18589265 -0.70422232],[ 2.85905667 10.0075874 ],[ 0.26029048 -0.37372176],[6.38476064 6.93435809],[-0.2120879  -0.95604173],[1.83372573 5.3798565 ],[ 0.33454948 -0.44977689],[5.77322673 6.81786724],[0.09161521 1.04848773],[2.75402565 9.46622444],[-0.51318049  0.38816478],[4.81773179 5.52236685],[-0.5604773 -0.7008302],[5.58327312 6.34707881],[0.83034621 0.17317111],[3.14339864 8.44202291],[-0.51876165  0.70678728]
[3.46914283 9.39759905],[-0.69829116  0.39728183],[3.05868744 5.13061416],[ 0.22161962 -0.68000989],[2.88732105 9.9651748 ],[ 0.30596954 -0.47360554],[6.36040623 6.83905622],[-0.27230698 -0.94697537],[1.87126539 5.33607559],[ 0.41672906 -0.42504075],[5.77993967 6.9226385 ],[0.0442095  1.04812257],[2.70227263 9.50303759],[-0.51885497  0.35080897],[4.76003286 5.45386295],[-0.59394949 -0.66949472],[5.66542085 6.36588138],[0.81404654 0.20464   ],[3.09223593 8.51241366],[-0.50657791  0.69889163]
[3.39841609 9.43513926],[-0.71545551  0.3538586 ],[3.08271483 5.06391278],[ 0.26037228 -0.65254803],[2.92016272 9.91282079],[ 0.35025552 -0.5731626 ],[6.32994123 6.74470896],[-0.33856556 -0.94099006],[1.91678503 5.29463756],[ 0.49612093 -0.4006482 ],[5.78185452 7.02721841],[-0.00282165  1.04605988],[2.65017081 9.53622645],[-0.5216293   0.31415241],[4.69906965 5.38865345],[-0.62423243 -0.63343164],[5.74609873 6.38811232],[0.79536355 0.2361647 ],[3.04216232 8.58186037],[-0.49381701  0.69103482]
[3.32599961 9.46822412],[-0.73174281  0.3084747 ],[3.11070154 5.00005346],[ 0.29921604 -0.62472306],[2.95729014 9.85070619],[ 0.39244185 -0.66706626],[6.29290064 6.65118816],[-0.40102202 -0.92787944],[1.97024201 5.25583668],[ 0.57420823 -0.37325148],[5.77929544 7.13168403],[-0.04744805  1.04365414],[2.59792477 9.56576147],[-0.52197083  0.27748141],[4.63484165 5.32688686],[-0.66114692 -0.60256197],[5.82476356 6.41345596],[0.77504941 0.26813145],[2.99320578 8.65033062],[-0.48568518  0.67796601]
[3.25200865 9.49666924],[-0.74571796  0.26229373],[3.14279707 4.93922625],[ 0.34087831 -0.59349507],[2.99848452 9.779674  ],[ 0.42732963 -0.75487611],[6.25010787 6.5595686 ],[-0.45589951 -0.9053906 ],[2.03164229 5.22020736],[ 0.65565796 -0.33619554],[5.77231796 7.23581263],[-0.09224616  1.03833364],[2.54576034 9.59161249],[-0.51825271  0.24216799],[4.56706621 5.26841508],[-0.69405027 -0.56643294],[5.90104654 6.44174185],[0.7529798 0.3003277],[2.94526786 8.7176748 ],[-0.47240918  0.66945629]
[3.17693713 9.52066275],[-0.75408596  0.2187059 ],[3.17877841 4.88129355],[ 0.38266051 -0.56103653],[3.04270854 9.70027868],[ 0.45886714 -0.8280621 ],[6.20151173 6.46996278],[-0.51519594 -0.88566779],[2.10078383 5.18827736],[ 0.72864632 -0.29941336],[5.76115873 7.33955458],[-0.13679262  1.03019247],[2.49398349 9.61380275],[-0.51459251  0.20385915],[4.49611532 5.21372722],[-0.72787471 -0.53014525],[5.97535749 6.47361599],[0.73297222 0.33729066],[2.89837695 8.78385242],[-0.46694691  0.65250004]
[3.10090531 9.54001399],[-0.76346387  0.17085508],[3.21940317 4.82713322],[ 0.428842   -0.52287935],[3.09014924 9.61458705],[ 0.4867124  -0.88563441],[6.14743287 6.38283415],[-0.57037453 -0.86076254],[2.1771783  5.16045592],[ 0.79563075 -0.25891594],[5.74514166 7.44199488],[-0.18326556  1.01854204],[2.44243722 9.63186251],[-0.51616084  0.15690823],[4.42196836 5.16289536],[-0.75404738 -0.48539953],[6.04719149 6.5088424 ],[0.70350117 0.36734113],[2.85231203 8.84858711],[-0.45465407  0.64178236]
[3.02408107 9.55455447],[-0.77360777  0.11878517],[3.26455754 4.77679168],[ 0.47041706 -0.48739563],[3.13975568 9.52350364],[ 0.50534325 -0.93293956],[6.08809848 6.29850308],[-0.61626523 -0.82590498],[2.26013384 5.13707377],[ 0.85996953 -0.21041702],[5.72491297 7.54357254],[-0.22435828  1.00934889],[2.39081936 9.64511417],[-0.51770522  0.10594838],[4.34503312 5.11640693],[-0.78428432 -0.44398013],[6.11624228 6.54736365],[0.67605567 0.40202556],[2.80750521 8.91223949],[-0.44086928  0.63174238]
[2.94642492 9.5638736 ],[-0.7787799   0.06777153],[3.31399455 4.73024643],[ 0.52044725 -0.44090182],[3.19085204 9.42821709],[ 0.51521571 -0.97129328],[6.02393124 6.2174185 ],[-0.66942459 -0.79817039],[2.34898281 5.11855446],[ 0.91533331 -0.15975478],[5.70006143 7.6436112 ],[-0.26925479  0.99436547],[2.33932757 9.6533288 ],[-0.51395479  0.05580639],[4.26549125 5.0745064 ],[-0.8089768  -0.39644075],[6.18257423 6.58952318],[0.65078141 0.44181529],[2.76407149 8.97483669],[-0.42760822  0.62029072]
[2.86837516 9.56802502],[-0.78377746  0.01310306],[3.36823795 4.68831019],[ 0.5646799 -0.3969754],[3.24240785 9.32937073],[ 0.51746331 -1.0017297 ],[5.9546605  6.13932545],[-0.71593885 -0.7637742 ],[2.44282183 5.10510227],[ 0.96082725 -0.10816562],[5.67096044 7.74225824],[-0.31174263  0.97912704],[2.28778508 9.65585424],[-0.51611853 -0.00540453],[4.18321397 5.03710019],[-0.83788054 -0.35308013],[6.24627261 6.63571375],[0.62336682 0.48262653],[2.72167946 9.03596497],[-0.41721253  0.60517782]
[2.78975843 9.56642202],[-0.78712284 -0.04440068],[3.42700735 4.65105942],[ 0.61100876 -0.34701955],[3.2943738  9.22829506],[ 0.52105602 -1.01883535],[5.8806442  6.06455611],[-0.75962005 -0.72704473],[2.54078081 5.09689022],[ 0.99791472 -0.05493187],[5.63808826 7.83970097],[-0.34776003  0.96711248],[2.23598075 9.65192231],[-0.51752337 -0.07175443],[4.09858499 5.00456135],[-0.85547119 -0.29847166],[6.30685359 6.68576502],[0.58690211 0.51747639],[2.68055587 9.09576495],[-0.40607364  0.5898749 ]
[2.71108096 9.55912496],[-0.78542945 -0.10118266],[3.49043548 4.61906354],[ 0.65631285 -0.29331186],[3.34634903 9.1256433 ],[ 0.51541931 -1.03576529],[5.80269015 5.99385091],[-0.8006531  -0.68848953],[2.6423987 5.094447 ],[1.02851184 0.00158519],[5.60129292 7.9354807 ],[-0.3891903   0.94701676],[2.18443633 9.6414448 ],[-0.5123319  -0.13774529],[4.01180386 4.97707786],[-0.87644945 -0.24763876],[6.36354096 6.73920545],[0.54680178 0.55173059],[2.64058929 9.15403081],[-0.39292717  0.57563421]
[2.63274273 9.54611116],[-0.78563552 -0.16410982],[3.55815996 4.59247047],[ 0.69617639 -0.23965405],[3.39758533 9.02153157],[ 0.50854933 -1.04617027],[5.72036959 5.9266772 ],[-0.84391987 -0.65349045],[2.74622758 5.09718382],[1.04707237 0.05327926],[5.56026129 8.02905185],[-0.43155253  0.92387707],[2.13365632 9.62429106],[-0.50578757 -0.20890393],[3.92315035 4.9548787 ],[-0.89759182 -0.19761442],[6.41599158 6.79600166],[0.50497616 0.58741164],[2.6017792  9.21066321],[-0.38282412  0.55733704]
