[2.31864775 4.55133475],[4.93877671 0.89660961],[0.63735868 8.43105787],[-2.18369651  1.81851772],[4.57433747 9.29941805],[-1.46844934 -4.47209365],[0.98282766 4.49585331],[ 0.39749486 -1.8240335 ],[9.41106139 9.74065174],[-0.68810105  1.99738055],[6.93005828 7.11165221],[-2.13075261  0.50978113],[7.49740966 2.40028493],[1.38987054 1.92413358],[7.89480989 4.72185321],[-0.65724028  3.89457483],[9.97190841 4.02011123],[1.11444362 0.88598162],[7.91688236 5.71154967],[3.48784401 2.10039248]
[6.74637019 6.82465381],[0.60815885 0.7937394 ],[3.54436764 8.62149234],[ 1.12855342 -0.54986853],[5.76843304 5.13337995],[ 0.83056159 -0.3614776 ],[5.14162697 5.02246811],[0.78232772 0.93346922],[5.73946967 8.47361404],[-0.58835772 -0.99842115],[3.20407691 6.71013374],[-0.43794357 -0.36504871],[6.73555731 7.08091011],[-0.69526815  0.86650745],[5.27645215 8.38541298],[-0.83676909  0.38676547],[7.5158649  7.24889484],[-1.14032714  0.34574268],[7.29951347 8.51229412],[-1.14096257  0.15412953]
[6.80572434 6.9043627 ],[0.58119107 0.80276177],[3.65675975 8.56643214],[ 1.12007861 -0.55039451],[5.85235449 5.09976293],[ 0.84557738 -0.31261843],[5.21854453 5.11615187],[0.75791783 0.94191195],[5.68135692 8.37368889],[-0.57440319 -1.00030645],[3.1618819 6.6729283],[-0.40639396 -0.37987649],[6.66552903 7.16667133],[-0.70406555  0.84986714],[5.19293287 8.42315622],[-0.83595272  0.36566964],[7.40174091 7.28245355],[-1.140882    0.32664892],[7.18542929 8.52597436],[-1.14015457  0.12002143]
[6.86269044 6.98530217],[0.5555713  0.81347642],[3.76815089 8.51121167],[ 1.111496   -0.55010097],[5.93725834 5.07065743],[ 0.85585613 -0.26562896],[5.29320752 5.21081702],[0.73637879 0.95222358],[5.62494644 8.27394731],[-0.55577652 -0.99628255],[3.12317566 6.6344427 ],[-0.36640682 -0.38892646],[6.59437045 7.25049574],[-0.71615903  0.82950736],[5.10909697 8.458338  ],[-0.83899836  0.33960638],[7.28771519 7.31423767],[-1.13730404  0.31147899],[7.07180158 8.53665261],[-1.13488287  0.09120117]
[6.9168114  7.06705717],[0.52587582 0.82071128],[3.87855971 8.45594401],[ 1.09688739 -0.55505326],[6.02342973 5.04667029],[ 0.86441222 -0.21675893],[5.3657737  5.30651658],[0.71375493 0.96040729],[5.56999967 8.17427925],[-0.53977218 -0.99348235],[3.08841775 6.59485738],[-0.33229472 -0.40677316],[6.52239258 7.33264789],[-0.72223711  0.8146084 ],[5.02499329 8.4908962 ],[-0.84259374  0.31184297],[7.17427603 7.34477509],[-1.13277696  0.29806835],[6.95858212 8.54435304],[-1.13130891  0.06108245]
[6.96799601 7.14960038],[0.49737999 0.82976359],[3.9874002  8.40006235],[ 1.08049667 -0.5620482 ],[6.11010229 5.02736096],[ 0.86975855 -0.16814091],[5.43614667 5.40306225],[0.69626119 0.97279766],[5.51696755 8.07523804],[-0.52246975 -0.98874484],[3.05723913 6.55350142],[-0.29018987 -0.41975418],[6.44963842 7.41311337],[-0.73382247  0.7936613 ],[4.94073796 8.52082646],[-0.84356702  0.28558666],[7.06084412 7.37350395],[-1.13342042  0.27879651],[6.84544139 8.54873342],[-1.12996322  0.02806323]
[7.01624313 7.23298946],[0.4673928  0.83787967],[4.09488174 8.34376583],[ 1.06937368 -0.56355399],[6.19745864 5.01323775],[ 0.87926016 -0.11173242],[5.50447016 5.50048968],[0.66955201 0.97500535],[5.4656664  7.97671346],[-0.50411555 -0.98216644],[3.03059412 6.51099995],[-0.24353695 -0.4316391 ],[6.37587658 7.49161139],[-0.7404883   0.77714228],[4.85662165 8.54832099],[-0.83898964  0.26400403],[6.94806167 7.40104679],[-1.12678177  0.26759119],[6.73264533 8.55001481],[-1.12898397 -0.00551643]
[7.06129643 7.31702462],[0.43366884 0.84298373],[4.20125924 8.28735953],[ 1.05618222 -0.56652559],[6.28562976 5.00483889],[ 0.88230633 -0.0574725 ],[5.57013297 5.59813517],[0.6487182  0.98275914],[5.41579837 7.87849518],[-0.49141226 -0.98014172],[3.0088388  6.46734945],[-0.19437347 -0.44472599],[6.30133988 7.56832194],[-0.74737031  0.7598641 ],[4.7728338  8.57348986],[-0.83745164  0.23861605],[6.83570565 7.42723651],[-1.12249841  0.25413301],[6.61985565 8.54778423],[-1.12494985 -0.03728122]
[7.10322355 7.40184996],[0.40113092 0.84981732],[4.30634099 8.23068587],[ 1.04873211 -0.56348506],[6.37390661 5.00185615],[ 0.88176941 -0.00307364],[5.63357787 5.69638194],[0.62288644 0.98480635],[5.36746388 7.78079209],[-0.4732092  -0.97179719],[2.9920055  6.42220821],[-0.14011695 -0.45651955],[6.22622232 7.64338476],[-0.75649506  0.73979944],[4.68901355 8.59587682],[-0.83979835  0.20797635],[6.72358542 7.45186974],[-1.11829803  0.24017161],[6.50776055 8.54267321],[-1.11791294 -0.06572177]
[7.14179669 7.48729348],[0.36901099 0.85774697],[4.41060261 8.17429622],[ 1.03639374 -0.56442956],[6.46198619 5.00435554],[0.87940571 0.05324917],[5.69460977 5.7949806 ],[0.59775721 0.98711583],[5.32120689 7.68418228],[-0.45385987 -0.96232024],[2.98100245 6.37609064],[-0.07818866 -0.4647153 ],[6.15037778 7.71659981],[-0.76233784  0.72248292],[4.60507017 8.61522536],[-0.83724637  0.18060557],[6.61194275 7.47516918],[-1.11397445  0.22643124],[6.39615859 8.53449999],[-1.11298018 -0.09663905]
[7.17711709 7.57351041],[0.33615358 0.86535576],[4.51379576 8.11799769],[ 1.02615328 -0.56283998],[6.54947807 5.01232114],[0.87209014 0.10827576],[5.7532777 5.8939408],[0.57546498 0.99180303],[5.27653489 7.58819711],[-0.43912112 -0.9567947 ],[2.97585528 6.32861682],[-0.02388315 -0.4844048 ],[6.07382245 7.78792954],[-0.76972764  0.70306831],[4.52136636 8.63175373],[-0.83270697  0.1539091 ],[6.50107443 7.49746017],[-1.10217033  0.22086404],[6.28514068 8.52330436],[-1.10613926 -0.12596279]
[7.20897829 7.6603349 ],[0.30008361 0.87026074],[4.61588193 8.06178712],[ 1.01596564 -0.56084218],[6.63615563 5.02589936],[0.86114676 0.16349073],[5.80973858 5.99336173],[0.55437988 0.9970865 ],[5.23353622 7.49299151],[-0.42231893 -0.94875272],[2.97714952 6.2800026 ],[ 0.04745574 -0.49073711],[5.99612445 7.85688202],[-0.78196714  0.6781349 ],[4.43841535 8.64586842],[-0.8261694   0.12841307],[6.39119402 7.51907176],[-1.09807593  0.20860206],[6.17504727 8.50943704],[-1.0981054  -0.15374466]
[7.23700545 7.74746105],[0.25919499 0.87115042],[4.71710287 8.00596545],[ 1.00621953 -0.55777113],[6.72179519 5.04524197],[0.85367167 0.22613169],[5.86374711 6.09294591],[0.5259933  0.99483241],[5.19163543 7.39806278],[-0.41349699 -0.94748958],[2.98547031 6.23047922],[ 0.11928692 -0.49978589],[5.91744626 7.92355076],[-0.79289638  0.65382542],[4.35600395 8.65725941],[-0.82090107  0.1003827 ],[6.28167333 7.53937263],[-1.09121126  0.19859018],[6.06583569 8.49287675],[-1.08781788 -0.17918893]
[7.26064059 7.83443915],[0.21488942 0.8699562 ],[4.81720714 7.95032143],[ 0.99595068 -0.55498196],[6.80692529 5.07134313],[0.84493128 0.2926112 ],[5.9151556  6.19254796],[0.50321549 0.99815031],[5.1506888  7.30339509],[-0.40323627 -0.94351415],[3.00094209 6.17989883],[ 0.19024445 -0.51188811],[5.83778919 7.98786303],[-0.79574386  0.63686028],[4.2736849  8.66531972],[-0.82179957  0.06412796],[6.17279516 7.55862184],[-1.08080215  0.19220967],[5.95757552 8.47368997],[-1.07588809 -0.20289465]
[7.28036178 7.92184491],[0.17793932 0.87650174],[4.91633781 7.89503183],[ 0.98825902 -0.54918745],[6.89088642 5.10402778],[0.83069949 0.35812123],[5.96435211 6.29252018],[0.4813551  1.00180792],[5.11064759 7.20906558],[-0.39470905 -0.94006325],[3.02376902 6.12831544],[ 0.26694534 -0.51907174],[5.75800594 8.05061673],[-0.79868369  0.619395  ],[4.19155813 8.66992773],[-0.81996351  0.02846323],[6.06510939 7.577453  ],[-1.07478947  0.18264755],[5.85063555 8.45229186],[-1.06092233 -0.22278223]
[7.29603086 8.00955665],[0.13413156 0.87650916],[5.01451104 7.84015559],[ 0.97520448 -0.54833482],[6.97286705 5.14290036],[0.80899763 0.41993181],[6.01150206 6.39296092],[0.46216128 1.00733323],[5.07179618 7.11545108],[-0.38410642 -0.93383946],[3.0540095  6.07578548],[ 0.34005733 -0.52894006],[5.67781235 8.11148258],[-0.80653788  0.59643596],[4.1099927  8.67125103],[-0.8127739  -0.00372979],[5.9578514  7.59512706],[-1.0685536   0.17271092],[5.74506102 8.428824  ],[-1.04801597 -0.24398847]
[7.307257   8.09723774],[0.08993425 0.8766863 ],[5.11124324 7.78522238],[ 0.96197909 -0.54782128],[7.05279881 5.18826105],[0.78786337 0.48607073],[6.05665743 6.49383383],[0.44099994 1.01006259],[5.03410317 7.02259584],[-0.37263906 -0.9260818 ],[3.09195665 6.0227888 ],[ 0.41869798 -0.53048405],[5.59693407 8.17011346],[-0.8105086   0.57661848],[4.02916483 8.66927339],[-0.80162066 -0.0338533 ],[5.85136319 7.61196392],[-1.06053305  0.16468712],[5.64071042 8.40319267],[-1.04182312 -0.27159926]
[7.31406287 8.184946  ],[0.04374986 0.87503371],[5.20683787 7.7305371 ],[ 0.95064734 -0.54511844],[7.13010335 5.23988902],[0.7601576 0.5488246],[6.0996276  6.59488289],[0.42192494 1.01439366],[4.9975424  6.93053306],[-0.36031292 -0.9168121 ],[3.13815686 5.97024991],[ 0.5050145  -0.51952378],[5.51555029 8.22661973],[-0.81445905  0.55614031],[3.94945759 8.66421723],[-0.79656023 -0.07170986],[5.74559824 7.62791856],[-1.05470255  0.15444017],[5.53733639 8.37513006],[-1.02861465 -0.29250525]
[7.31619684 8.27244477],[-0.00373425  0.87222391],[5.30148389 7.67633107],[ 0.94186355 -0.53935178],[7.20424064 5.29753233],[0.72395604 0.60569733],[6.1405284  6.69617403],[0.4004037  1.01561703],[4.96220669 6.83941466],[-0.34726816 -0.9063496 ],[3.19275763 5.91891112],[ 0.58703281 -0.50578278],[5.43389271 8.28117318],[-0.82053825  0.53296536],[3.87040438 8.65539178],[-0.78183756 -0.10241424],[5.64063523 7.64306528],[-1.04459004  0.14855841],[5.43517961 8.34487354],[-1.01439387 -0.31231486]
[7.31376153 8.35982842],[-0.04755761  0.87263649],[5.39501075 7.62248075],[ 0.92789982 -0.53846726],[7.27455566 5.36076675],[0.68284575 0.65969706],[6.17909966 6.79739037],[0.37107079 1.00885218],[4.92791585 6.74910937],[-0.33996992 -0.90093934],[3.25527032 5.86909895],[ 0.66289868 -0.48906454],[5.3511972 8.3329222],[-0.83092808  0.50428751],[3.7925426  8.64311666],[-0.7745165  -0.14262798],[5.5363796  7.65732003],[-1.03996324  0.13701678],[5.33441465 8.31263073],[-1.00137612 -0.3329952 ]
[7.30691259 8.44717139],[-0.09116217  0.87222096],[5.48700058 7.56857038],[ 0.91256412 -0.53905648],[7.34083882 5.42956259],[0.64039788 0.71391831],[6.214769   6.89800295],[0.3439662  1.00505505],[4.89434032 6.65939618],[-0.32997995 -0.8917699 ],[3.32519388 5.82130722],[ 0.73447461 -0.46593635],[5.26780367 8.38209234],[-0.8366137  0.479343 ],[3.71566629 8.62693932],[-0.76240938 -0.18069286],[5.43289443 7.67071127],[-1.0279593   0.13277337],[5.23531841 8.27871297],[-0.98044636 -0.3450476 ]
[7.29549738 8.53420343],[-0.13784384  0.86756303],[5.57758346 7.51473738],[ 0.89808983 -0.53864222],[7.40247988 5.50344042],[0.59364708 0.76487984],[6.24756259 6.99809966],[0.3134917  0.99847163],[4.8615287  6.57039913],[-0.32567014 -0.88734189],[3.40208026 5.77621483],[ 0.80378726 -0.43333418],[5.1840955  8.42898439],[-0.83688881  0.45911304],[3.64034803 8.60719006],[-0.74610327 -0.21682671],[5.33054232 7.68365379],[-1.02048298  0.1246142 ],[5.13793563 8.24325188],[-0.96464838 -0.36153356]
[7.27920639 8.62050866],[-0.19076002  0.8555628 ],[5.66663326 7.46086176],[ 0.88355332 -0.53818487],[7.45934648 5.58234123],[0.54361183 0.81295335],[6.27806679 7.09828289],[0.29341295 1.0017496 ],[4.82947096 6.48221645],[-0.31653537 -0.87721164],[3.48532444 5.73442006],[ 0.86164551 -0.40004943],[5.10027315 8.47374159],[-0.84125606  0.43420965],[3.5665154  8.58355314],[-0.73105275 -0.25683638],[5.22881878 7.69563425],[-1.01524318  0.11373947],[5.04229025 8.2063295 ],[-0.94945417 -0.37799633]
[7.25766023 8.70560463],[-0.2392979   0.84689755],[5.75426253 7.40708139],[ 0.8688911  -0.53756042],[7.51118875 5.66602069],[0.4958428  0.86296276],[6.30581371 7.19804448],[0.2643779  0.99639648],[4.79834971 6.39510468],[-0.30730332 -0.86638988],[3.57451534 5.69672779],[ 0.91721047 -0.35671193],[5.01608628 8.51603562],[-0.84584168  0.40819086],[3.49447396 8.55606962],[-0.71160058 -0.2950347 ],[5.12770752 7.70659255],[-1.00907604  0.10326262],[4.94817494 8.1677826 ],[-0.93161546 -0.39159228]
[7.23114182 8.78962248],[-0.29101643  0.83316769],[5.84052093 7.35347661],[ 0.85492763 -0.53584097],[7.55800104 5.75438472],[0.44076946 0.90433854],[6.33041166 7.29705876],[0.22987491 0.98646942],[4.76829297 6.30923923],[-0.2949942  -0.85206553],[3.66837783 5.66304761],[ 0.95851888 -0.31669123],[4.93125679 8.55548138],[-0.84835     0.38297658],[3.42418282 8.52443199],[-0.6940541  -0.33798735],[5.02738018 7.7166456 ],[-0.9946311   0.10085672],[4.85566323 8.12771676],[-0.91983575 -0.41097422]
[7.19908923 8.87182241],[-0.34701729  0.81349731],[5.92517989 7.29985224],[ 0.84127989 -0.53355162],[7.59959822 5.84708044],[0.38921702 0.94698769],[6.35206927 7.39562053],[0.20119462 0.98268462],[4.7393996  6.22475457],[-0.28219861 -0.8369349 ],[3.76624973 5.63375648],[ 0.99565678 -0.27081639],[4.84671536 8.59292195],[-0.84427972  0.36403228],[3.35568933 8.48839493],[-0.67647904 -0.38388844],[4.9282619  7.72626439],[-0.98674248  0.09248075],[4.76457585 8.08595011],[-0.90206711 -0.42441108]
[7.1617024  8.95220816],[-0.39833981  0.79608971],[6.00857887 7.24659137],[ 0.82834574 -0.52995299],[7.63573461 5.94358908],[0.33213276 0.98122165],[6.37099932 7.49394154],[0.17639065 0.98262248],[4.71179121 6.1417965 ],[-0.268577   -0.82076905],[3.86716247 5.60881323],[ 1.02106144 -0.2283461 ],[4.76208859 8.62794407],[-0.85126571  0.33318522],[3.28930796 8.44797256],[-0.64919723 -0.42296785],[4.83002956 7.7351345 ],[-0.97743917  0.08541837],[4.67490552 8.04248588],[-0.89120198 -0.44482021]
[7.11892498 9.03045271],[-0.45584878  0.76967791],[6.09060262 7.19363425],[ 0.81428731 -0.52695189],[7.66581242 6.04302929],[0.26744644 1.0050796 ],[6.38772902 7.59248784],[0.15762433 0.98745809],[4.68529548 6.06022584],[-0.26141285 -0.81060324],[3.97023961 5.58807985],[ 1.04094372 -0.18475209],[4.67734427 8.66040476],[-0.84670781  0.31292356],[3.22542362 8.40327842],[-0.62607547 -0.46891125],[4.73267742 7.74323828],[-0.96512407  0.08121962],[4.58652085 7.99716283],[-0.8759607  -0.46111621]
[7.07077166 9.10627628],[-0.50645446  0.7468991 ],[6.1714647  7.14125578],[ 0.80225421 -0.52121119],[7.6891787  6.14449954],[0.20242924 1.02629647],[6.40193007 7.69082485],[0.12795046 0.98093042],[4.65974585 5.97993472],[-0.25073962 -0.79625631],[4.07564526 5.5723989 ],[ 1.06208278 -0.13285842],[4.59267784 8.69042371],[-0.84537556  0.28860765],[3.16426984 8.35427409],[-0.59707269 -0.51159324],[4.63677055 7.75118727],[-0.95779399  0.07288982],[4.50005935 7.9506251 ],[-0.85741967 -0.47368534]
[7.01739881 9.17947335],[-0.56190036  0.7155051 ],[6.25112647 7.08949055],[ 0.78825765 -0.51674067],[7.70615284 6.24802605],[0.13824029 1.04477744],[6.41313509 7.78849704],[0.09699278 0.97342552],[4.63502737 5.90087928],[-0.2438657  -0.78490066],[4.1824505  5.56146032],[ 1.07657323 -0.08244682],[4.50805094 8.71787445],[-0.84828961  0.25906056],[3.10621987 8.30108236],[-0.56369184 -0.55232325],[4.5416525  7.75833037],[-0.94629926  0.0683183 ],[4.41505878 7.90243463],[-0.84348319 -0.49095667]
[6.9587582  9.24960828],[-0.61224677  0.68511117],[6.32942105 7.0382327 ],[ 0.777437   -0.50849019],[7.71695984 6.35343681],[0.07847835 1.06313815],[6.42157749 7.88575142],[0.07303992 0.97265479],[4.61103755 5.8230512 ],[-0.23494688 -0.77058187],[4.29058158 5.55571663],[ 1.0846714  -0.03323049],[4.42351317 8.74269018],[-0.84257423  0.23711337],[3.05154908 8.24374512],[-0.52678668 -0.59176266],[4.44745901 7.76479132],[-0.93786486  0.06049778],[4.33160544 7.85267137],[-0.82576702 -0.50447471]
[6.89469176 9.31609031],[-0.66569678  0.64711582],[6.40672753 6.98793978],[ 0.76614323 -0.49982278],[7.72139116 6.46005623],[0.01147008 1.06987955],[6.42715621 7.98243699],[0.03819612 0.96086294],[4.58779362 5.74654745],[-0.23085478 -0.7601904 ],[4.39939832 5.55497216],[1.08923768 0.01642273],[4.33944834 8.76518604],[-0.84100359  0.21036105],[3.00071781 8.18250995],[-0.49120525 -0.63453196],[4.35420745 7.77055271],[-0.92744569  0.05446345],[4.24991693 7.80155319],[-0.80735544 -0.51716088]
[6.82564779 9.37889807],[-0.71469896  0.60866569],[6.48260892 6.93824985],[ 0.7499927  -0.49539031],[7.71939184 6.56740315],[-0.05032704  1.07731339],[6.42950317 8.0782215 ],[0.00622378 0.9522927 ],[4.56488375 5.67107698],[-0.22526844 -0.74698306],[4.50810766 5.55876503],[1.08559494 0.06024609],[4.25558436 8.78499266],[-0.83754671  0.18434569],[2.95356708 8.1170381 ],[-0.45358877 -0.67683155],[4.26148133 7.77515375],[-0.92269643  0.04181178],[4.17002188 7.74912639],[-0.78862393 -0.52939755]
[6.75169004 9.43758896],[-0.76698528  0.56168906],[6.55690057 6.88905769],[ 0.73386173 -0.49035375],[7.71122066 6.67523838],[-0.11659233  1.07515185],[6.42854817 8.17306072],[-0.02330335  0.94642255],[4.54267712 5.59711703],[-0.21902063 -0.73218094],[4.6164304  5.56701049],[1.08007395 0.10421911],[4.17212203 8.80220485],[-0.83616605  0.15522826],[2.91008835 8.04719542],[-0.41420089 -0.71826228],[4.16979686 7.77904363],[-0.91087449  0.0361273 ],[4.09219105 7.6956788 ],[-0.76936419 -0.5408373 ]
[6.67236223 9.49114903],[-0.8164875   0.51157182],[6.62932511 6.84014093],[ 0.71365605 -0.48888098],[7.69654779 6.78277153],[-0.1785141   1.07294521],[6.42490416 8.26752901],[-0.05169798  0.94072107],[4.52104587 5.52464014],[-0.21371781 -0.71724768],[4.72422336 5.57977939],[1.07659267 0.1522347 ],[4.08925434 8.81690764],[-0.82274704  0.13722585],[2.87107013 7.97369636],[-0.36638927 -0.7519377 ],[4.07934043 7.78241869],[-0.89897075  0.03067565],[4.01643568 7.64124798],[-0.74834379 -0.55030591]
[6.58863922 9.53996199],[-0.85833862  0.46337966],[6.6997803 6.7914501],[ 0.69676118 -0.48352766],[7.67598981 6.89011246],[-0.23518579  1.07038847],[6.41803854 8.3610384 ],[-0.08455498  0.93044498],[4.4999665  5.45373706],[-0.20623498 -0.69901766],[4.83128953 5.59706899],[1.06613397 0.19512819],[4.00704624 8.82908675],[-0.82033987  0.10721422],[2.83670475 7.89669026],[-0.31986038 -0.78697835],[3.98998944 7.78515804],[-0.88611553  0.02606363],[3.94273567 7.58583202],[-0.72726947 -0.55958381]
[6.50094544 9.58388278],[-0.89579978  0.4138967 ],[6.76845853 6.74324556],[ 0.67711439 -0.48015281],[7.64948594 6.99666504],[-0.2927853   1.06181857],[6.40801222 8.45362611],[-0.11555688  0.92162862],[4.47953451 5.38460701],[-0.20271278 -0.68368807],[4.93751857 5.61894454],[1.05755668 0.24178875],[3.92515209 8.83825807],[-0.81815656  0.07534627],[2.8072493  7.81645984],[-0.26784171 -0.81607327],[3.90181986 7.78733436],[-0.87680884  0.01785317],[3.87083179 7.52917724],[-0.71251596 -0.57520642]
[6.40964937 9.62272014],[-0.9291648   0.36291844],[6.83496136 6.69520357],[ 0.65327949 -0.48027017],[7.61722598 7.10210394],[-0.35286411  1.04567593],[6.39486267 8.54528289],[-0.14691959  0.91184483],[4.45963897 5.31725532],[-0.19674286 -0.6647092 ],[5.04235435 5.6450087 ],[1.04223287 0.28268257],[3.84403388 8.84473046],[-0.80453944  0.05369454],[2.78268236 7.73305544],[-0.22367404 -0.85164464],[3.8145691  7.78865419],[-0.86883142  0.00779327],[3.800666   7.47121867],[-0.69311667 -0.58624669]
[6.31506838 9.65624044],[-0.96078397  0.30817573],[6.89951659 6.64762733],[ 0.6362752  -0.47264913],[7.57948024 7.20620197],[-0.40046902  1.03681721],[6.37848384 8.63582968],[-0.18474826  0.895037  ],[4.4400448 5.2515748],[-0.19449344 -0.64801723],[5.14559006 5.67514582],[1.0204855 0.3179994],[3.76374597 8.84844967],[-0.80074833  0.02087607],[2.7630719  7.64674411],[-0.17111554 -0.87670399],[3.7281625  7.78897576],[-0.85903416 -0.00114296],[3.73246073 7.41217559],[-0.67177578 -0.59535542]
[6.21732776 9.68399904],[-0.99121607  0.24892053],[6.96196361 6.6004547 ],[ 0.61215022 -0.47118889],[7.53676778 7.30892053],[-0.4539617   1.01663769],[6.35816974 8.72456023],[-0.22158489  0.87946581],[4.42064751 5.18761488],[-0.1923423  -0.62986587],[5.24673998 5.70891013],[1.00020767 0.35497591],[3.68390752 8.84885254],[-0.79365094 -0.01069375],[2.74850109 7.55785119],[-0.11705648 -0.89742818],[3.64268043 7.78831779],[-0.84784885 -0.00933033],[3.66621534 7.35204723],[-0.65375157 -0.60780976]
[6.11702302 9.70605231],[-1.0158691  0.1903478],[7.02213994 6.5536201 ],[ 0.58890831 -0.46781364],[7.48881225 7.40950948],[-0.50580346  0.99370085],[6.33386687 8.81142168],[-0.26294485  0.85927955],[4.40153325 5.12561255],[-0.190802   -0.61077771],[5.34570572 5.74622878],[0.98137216 0.39371325],[3.60481439 8.84604492],[-0.79111097 -0.04873254],[2.73943994 7.46712468],[-0.06362347 -0.91595161],[3.55826753 7.78677264],[-0.84103204 -0.02238529],[3.60194781 7.29084605],[-0.631232   -0.61582238]
[6.01443423 9.72217169],[-1.03551856  0.13177817],[7.07987907 6.50706481],[ 0.56784831 -0.46112643],[7.43590686 7.50781405],[-0.55360108  0.97035799],[6.30527554 8.89610465],[-0.30925811  0.83400705],[4.38269682 5.06572516],[-0.18492739 -0.58571983],[5.4430852  5.78778737],[0.96477621 0.43620913],[3.52618893 8.83951876],[-0.7822268  -0.08294434],[2.73622371 7.37519366],[-0.0033594  -0.92476544],[3.47475967 7.784094  ],[-0.82779155 -0.02984072],[3.53960287 7.22851137],[-0.61350306 -0.62868857]
[5.90986838 9.73218638],[-1.05181892  0.07170478],[7.13514347 6.46087349],[ 0.5396462  -0.46030005],[7.37826173 7.60360881],[-0.59785739  0.9462455 ],[6.27219781 8.97839135],[-0.35368917  0.81021324],[4.36467462 5.00864124],[-0.17690946 -0.55709934],[5.53842682 5.8332742 ],[0.9420974  0.47358472],[3.44860125 8.82961542],[-0.77127803 -0.11717586],[2.73880718 7.28232063],[ 0.05236481 -0.93461644],[3.39237477 7.78044652],[-0.81870063 -0.04204161],[3.47921379 7.16506968],[-0.59392719 -0.63977342]
[5.8041709  9.73650544],[-1.06228829  0.01400887],[7.18753218 6.41477861],[ 0.50488929 -0.46463409],[7.31632325 7.69690319],[-0.64092972  0.91897083],[6.2349489 9.0585171],[-0.39385536  0.78947914],[4.34710079 4.95415402],[-0.17191014 -0.52970215],[5.63132216 5.88235266],[0.91315706 0.50524242],[3.37193739 8.81599509],[-0.75974882 -0.15332012],[2.74670093 7.18843366],[ 0.10800288 -0.93986448],[3.31116753 7.77581408],[-0.80712359 -0.05238293],[3.42112666 7.10085901],[-0.56928436 -0.64590685]
[5.69780382 9.73527681],[-1.06607836 -0.03984769],[7.23644003 6.36832033],[ 0.47468604 -0.46285787],[7.24992432 7.78712609],[-0.68640863  0.88548135],[6.19362005 9.13643026],[-0.43193305  0.76921517],[4.33004553 4.90252025],[-0.16964832 -0.50310766],[5.72141247 5.93469184],[0.88931031 0.54226231],[3.29667283 8.79889472],[-0.74419485 -0.18768166],[2.76033263 7.09440625],[ 0.16619643 -0.93840313],[3.23103037 7.7700187 ],[-0.79671001 -0.06475582],[3.36556557 7.03608823],[-0.54053038 -0.64812962]
[5.59103676 9.72851543],[-1.0709992  -0.09745252],[7.28236716 6.32216925],[ 0.44362549 -0.46010458],[7.17935088 7.87418423],[-0.72492952  0.85516432],[6.14819023 9.21192553],[-0.47777992  0.73928738],[4.3130534 4.853497 ],[-0.17047206 -0.47725683],[5.80906021 5.99071605],[0.86281637 0.57743183],[3.22257499 8.77783723],[-0.73536164 -0.2315333 ],[2.77966037 7.00061625],[ 0.22199422 -0.93492596],[3.15217985 7.76319064],[-0.78174008 -0.07328301],[3.31288691 6.97108441],[-0.51349506 -0.65242903]
[5.4841109  9.71619849],[-1.06611545 -0.14768295],[7.325065   6.27627185],[ 0.4097865  -0.45805803],[7.1051181  7.95821415],[-0.7608004   0.82374981],[6.09822938 9.28439016],[-0.51798905  0.71304256],[4.29586027 4.80706945],[-0.17292016 -0.4503782 ],[5.89381215 6.05003598],[0.83358307 0.61031581],[3.14969912 8.75258458],[-0.72417468 -0.27601331],[2.80423962 6.90709604],[ 0.27027259 -0.93382129],[3.07477498 7.75542899],[-0.76607494 -0.08174825],[3.2625143  6.90523761],[-0.4957964  -0.66630355]
[5.37737109 9.69847313],[-1.06849907 -0.20714432],[7.36402962 6.23034599],[ 0.36906735 -0.46050439],[7.02696014 8.03858947],[-0.80159376  0.7839461 ],[6.04466339 9.35451225],[-0.55574219  0.6865124 ],[4.27888506 4.76393109],[-0.16848818 -0.41386181],[5.97557713 6.11260385],[0.79864837 0.63795533],[3.07824813 8.72303777],[-0.70707316 -0.31760862],[2.83371091 6.81402456],[ 0.31667435 -0.92913022],[2.9988319  7.74668355],[-0.75534324 -0.09589301],[3.21426489 6.83835226],[-0.469041   -0.67129307]
[5.2708515  9.67513082],[-1.05889449 -0.25679271],[7.39892286 6.18431094],[ 0.32640854 -0.46213103],[6.9450636  8.11515297],[-0.83511875  0.74798623],[5.98714859 9.42166973],[-0.59572108  0.65498181],[4.2618832  4.72412572],[-0.1722499  -0.38240863],[6.05392855 6.17802897],[0.76715285 0.6693323 ],[3.00840858 8.68907612],[-0.68682757 -0.35913433],[2.86755494 6.72144868],[ 0.36283316 -0.91890062],[2.92387494 7.73636677],[-0.74285818 -0.10971383],[3.16867227 6.77092986],[-0.44232405 -0.67670902]
[5.16557142 9.64709184],[-1.04734899 -0.30471997],[7.42911631 6.13783771],[ 0.2754568  -0.46877395],[6.86000405 8.18814485],[-0.86380654  0.71360592],[5.92541503 9.48530479],[-0.63829723  0.61783512],[4.24478039 4.6879144 ],[-0.17272478 -0.3441582 ],[6.12873596 6.24621708],[0.7290955  0.69451811],[2.94072217 8.65095095],[-0.66725496 -0.40416818],[2.90609226 6.63021396],[ 0.40924154 -0.90360997],[2.85039641 7.72484084],[-0.72586077 -0.12006478],[3.12585617 6.7030472 ],[-0.41502075 -0.68200722]
