[5.80503326 2.80686357],[ 4.22141962 -3.89122168],[5.79654822 7.07584654],[ 0.53870353 -2.12637513],[0.78121514 0.16725332],[ 0.05268639 -2.04573964],[6.40563389 4.11992662],[-2.25903668  3.42049617],[9.58348262 7.70907276],[3.02735207 3.32920425],[5.04498543 3.37363073],[-2.7158341   1.12647029],[6.13868955 0.61834098],[ 0.21331384 -1.16054558],[9.05294954 0.85092044],[-1.50460967  4.49169326],[2.4350711  2.74879049],[1.39984726 3.50086995],[4.5530903 3.6786744],[-4.91157399 -3.07859411]
[7.65416382 1.69289506],[-0.63559686  0.80721133],[5.63901812 2.1034668 ],[-0.32622137 -0.89050529],[4.71879805 1.27775546],[0.69676358 0.98050404],[3.25846302 4.54594611],[-0.24703565 -1.04620033],[7.59546975 5.63448262],[-0.88711441 -0.96098505],[2.85590606 4.52820253],[ 0.72549574 -0.17287154],[5.33328459 1.68928895],[-0.30908188  1.12821197],[5.15117299 4.08382598],[-1.0114629   0.12231727],[6.45328813 4.41456108],[ 0.82646498 -0.52108831],[4.07435887 0.9966535 ],[ 1.06794226 -0.10376688]
[7.58769266 1.77469018],[-0.68968635  0.82929355],[5.60546458 2.01492595],[-0.34062191 -0.87599773],[4.78749164 1.37575822],[0.6798936 0.9821389],[3.23624068 4.440189  ],[-0.19624448 -1.06701079],[7.50709058 5.53870676],[-0.88000175 -0.95407998],[2.93296849 4.50880056],[ 0.81264349 -0.21616197],[5.30288499 1.80179829],[-0.30162406  1.11928508],[5.05004043 4.09443031],[-1.00660239  0.09415279],[6.53473624 4.36081683],[ 0.8031982  -0.55263304],[4.18150928 0.98869387],[ 1.07399727 -0.05601274]
[7.51658498 1.85846264],[-0.73223363  0.84331779],[5.57112042 1.92848584],[-0.3477933 -0.8544158],[4.85481394 1.4741758 ],[0.66801808 0.9874024 ],[3.21935152 4.33282333],[-0.14241321 -1.08038838],[7.41905939 5.4432548 ],[-0.87872803 -0.95306643],[3.01804758 4.4850368 ],[ 0.88703916 -0.25819248],[5.27304515 1.91325644],[-0.29599951  1.1091889 ],[4.94960822 4.10239014],[-0.99934787  0.06764334],[6.61350917 4.30369808],[ 0.77059862 -0.59104408],[4.28957185 0.98598388],[1.08590177 0.00113638]
[7.44135355 1.94291434],[-0.76960753  0.84596316],[5.53585356 1.84399919],[-0.35825753 -0.83598957],[4.92063412 1.57274164],[0.64884297 0.98424753],[3.20800318 4.22448024],[-0.08590147 -1.08721992],[7.33143091 5.34817686],[-0.87087035 -0.94555467],[3.10969847 4.45702904],[ 0.94586485 -0.29902131],[5.24385678 2.02381189],[-0.28795294  1.10167111],[4.85016879 4.10794435],[-0.99024441  0.04260511],[6.68914819 4.24297989],[ 0.73986037 -0.62522129],[4.3982059  0.98854568],[1.08505375 0.04857123]
[7.3627721  2.02731956],[-0.8010879   0.84107665],[5.49974289 1.76156989],[-0.36478467 -0.81347663],[4.98438388 1.67081781],[0.63054619 0.98153714],[3.20221612 4.11555014],[-0.02965958 -1.09054366],[7.24468451 5.25393436],[-0.86587978 -0.94113235],[3.20648386 4.42507952],[ 0.98695586 -0.33997746],[5.21568478 2.13379754],[-0.27582373  1.09758553],[4.75144469 4.11074518],[-0.98292127  0.01464354],[6.76136018 4.17861528],[ 0.70539339 -0.66062166],[4.5070533  0.99625947],[1.08867741 0.10297074]
[7.28161746 2.11126275],[-0.82150992  0.83673399],[5.46247383 1.6809046 ],[-0.37989144 -0.79897808],[5.04663473 1.76890829],[0.61750163 0.98308539],[3.20166289 4.00610422],[ 0.02040752 -1.09565869],[7.1581322  5.15982678],[-0.86414561 -0.94000967],[3.30702073 4.38951891],[ 1.0217759  -0.37047137],[5.18832099 2.24295218],[-0.27086059  1.08624509],[4.65341527 4.11064989],[-0.97804768 -0.01715707],[6.83016497 4.11088401],[ 0.67028521 -0.69396237],[4.61571839 1.00896971],[1.08733939 0.15425791]
[7.19846222 2.19439294],[-0.83830997  0.82799253],[5.42390596 1.60194412],[-0.39038938 -0.77912678],[5.10755841 1.86707487],[0.60278677 0.9818726 ],[3.20634987 3.89659158],[ 0.07353154 -1.09370243],[7.07201412 5.06608741],[-0.85812231 -0.93471545],[3.41033536 4.35098476],[ 1.04277903 -0.39962461],[5.16164137 2.35117497],[-0.26281781  1.07801657],[4.55626368 4.10769857],[-0.96637849 -0.0434189 ],[6.89547442 4.03997401],[ 0.63449307 -0.72517506],[4.72427603 1.02696006],[1.08154059 0.20337387]
[7.11378023 2.2764864 ],[-0.85234353  0.81599787],[5.38416772 1.52487634],[-0.4028531  -0.76058656],[5.16706602 1.96513233],[0.58808059 0.97977189],[3.21620856 3.78732804],[ 0.12595355 -1.08854284],[6.98680422 4.97317248],[-0.84469022 -0.92225794],[3.51512539 4.30953973],[ 1.05487646 -0.42550473],[5.13574692 2.45854642],[-0.25294179  1.0714115 ],[4.46017387 4.10194965],[-0.95329939 -0.06941142],[6.95692946 3.96581447],[ 0.59480398 -0.75732756],[4.83212444 1.04978467],[1.07758877 0.25548045]
[7.02778973 2.35723931],[-0.86648254  0.7993956 ],[5.34324872 1.44976439],[-0.41520541 -0.74121297],[5.22514282 2.06297319],[0.57087971 0.97439402],[3.23140771 3.67884123],[ 0.17749993 -1.08098962],[6.90245744 4.88101018],[-0.84237363 -0.92113919],[3.62119518 4.26613231],[ 1.06454287 -0.44298856],[5.11076748 2.56515761],[-0.24659961  1.06082358],[4.36553226 4.0937099 ],[-0.93794678 -0.0938022 ],[7.0142178  3.88839768],[ 0.55182344 -0.78958998],[4.93919892 1.07751812],[1.06264045 0.29781944]
[6.94070249 2.4364714 ],[-0.87242933  0.78761549],[5.30083717 1.37638063],[-0.4318978  -0.72517585],[5.28144587 2.16020866],[0.55662359 0.97165803],[3.25166395 3.5712011 ],[ 0.22840898 -1.07039563],[6.81846414 4.78907819],[-0.8355034  -0.91554544],[3.72775406 4.22093091],[ 1.06742699 -0.45904877],[5.08651753 2.67080594],[-0.23910309  1.05131628],[4.27246365 4.08303997],[-0.92437189 -0.12067767],[7.06744174 3.8081485 ],[ 0.5121308  -0.81543382],[5.04447982 1.10915208],[1.04503342 0.33677577]
[6.85303509 2.5144119 ],[-0.87976809  0.77198207],[5.25700225 1.30489873],[-0.44223098 -0.70179413],[5.33660206 2.25740315],[0.54642932 0.97196039],[3.27667218 3.46447111],[ 0.2726171  -1.06249801],[6.73508923 4.69762882],[-0.8296536  -0.91111833],[3.83433816 4.17419313],[ 1.06436104 -0.47473184],[5.06293743 2.77542076],[-0.23103366  1.04238424],[4.18063391 4.0694941 ],[-0.91441675 -0.15270072],[7.11663456 3.72540638],[ 0.47187399 -0.83876261],[5.14819375 1.14487091],[1.02829901 0.37657108]
[6.76487429 2.59093186],[-0.88529753  0.75629619],[5.21195749 1.23562065],[-0.45810572 -0.68305295],[5.39071104 2.35454549],[0.53732764 0.97231418],[3.30630227 3.35892796],[ 0.31731931 -1.05033253],[6.65235556 4.60667112],[-0.82612353 -0.90915539],[3.94068866 4.126214  ],[ 1.06147192 -0.48525551],[5.04041232 2.87935258],[-0.22086845  1.03477555],[4.09009358 4.0529431 ],[-0.89596787 -0.1779307 ],[7.16151565 3.6402068 ],[ 0.42888364 -0.86158606],[5.24994901 1.18425713],[1.00801298 0.41224254]
[6.67608197 2.66572448],[-0.8883537   0.74156082],[5.16564537 1.16859034],[-0.46851581 -0.65782421],[5.44360359 2.45137372],[0.52075606 0.9644719 ],[3.34025075 3.25464543],[ 0.35876865 -1.03751202],[6.57005482 4.51598615],[-0.82022198 -0.90489726],[4.0466578  4.07729615],[ 1.05757261 -0.49283139],[5.01868321 2.98229216],[-0.21268959  1.02500867],[4.00160731 4.03404623],[-0.87591972 -0.20231035],[7.20228942 3.55306462],[ 0.38711751 -0.88028855],[5.34988465 1.22741001],[0.99017545 0.45020123]
[6.58673804 2.73873677],[-0.89790438  0.71909508],[5.11846217 1.10429809],[-0.47883331 -0.63155523],[5.49509324 2.54765664],[0.50903266 0.96104931],[3.37813119 3.15163249],[ 0.39719586 -1.0236772 ],[6.48841447 4.42579059],[-0.811441   -0.89789146],[4.15195345 4.02749051],[ 1.04939826 -0.50183517],[4.99787106 3.08433324],[-0.2027796   1.01655427],[3.9146425 4.0121477],[-0.86325081 -0.23588665],[7.23879352 3.46410982],[ 0.34308815 -0.89830181],[5.44819326 1.27452648],[0.97299274 0.48904766]
[6.49687624 2.80988475],[-0.8989165   0.70415247],[5.06999705 1.04244385],[-0.48949865 -0.60439982],[5.54545753 2.64360869],[0.49720519 0.95679726],[3.41985631 3.05019158],[ 0.43634997 -1.00556891],[6.40777555 4.33640875],[-0.80195683 -0.89040125],[4.2564897  3.97696402],[ 1.03937215 -0.51042912],[4.97797633 3.18542923],[-0.19580517  1.00479076],[3.8292147  3.98706201],[-0.85070256 -0.27163416],[7.27108346 3.37368281],[ 0.30247088 -0.91016668],[5.54449008 1.32522262],[0.95118537 0.52298357]
[6.40678199 2.87936966],[-0.90162913  0.68676637],[5.02057384 0.98347529],[-0.50029015 -0.57610631],[5.59456513 2.73903409],[0.48267412 0.94936263],[3.46514689 2.95038454],[ 0.47173213 -0.98775726],[6.32788747 4.24757124],[-0.79469131 -0.88525876],[4.35982046 3.92544051],[ 1.02698106 -0.5201382 ],[4.95854343 3.28514382],[-0.18721036  0.9950354 ],[3.74495674 3.95817172],[-0.83326566 -0.3052617 ],[7.29829918 3.28122576],[ 0.24310953 -0.93690861],[5.63847909 1.37915326],[0.931229   0.55816388]
[6.31665031 2.94732022],[-0.90072184  0.67245818],[4.96979138 0.9271285 ],[-0.51610168 -0.55135491],[5.64169276 2.83320384],[0.46103694 0.93532005],[3.51415423 2.85267851],[ 0.5062182  -0.96805379],[6.24870256 4.15921836],[-0.79056309 -0.88335498],[4.46186746 3.87295174],[ 1.01603812 -0.52740108],[4.94034357 3.3842044 ],[-0.17578591  0.98704375],[3.66290646 3.92629403],[-0.8077393  -0.33250552],[7.32016162 3.18689252],[ 0.19575973 -0.94767508],[5.73021046 1.43632279],[0.90452899 0.58613792]
[6.22653229 3.01373801],[-0.90064962  0.6568383 ],[4.91722889 0.87313737],[-0.53443819 -0.52752928],[5.6874113  2.92672359],[0.45161239 0.93320167],[3.5661681  2.75666262],[ 0.53294371 -0.95276021],[6.1700298  4.07115454],[-0.78412921 -0.87917692],[4.56307978 3.82006747],[ 1.00771464 -0.53053069],[4.92297704 3.48214093],[-0.16979198  0.9734056 ],[3.58325716 3.89145659],[-0.78548509 -0.36478675],[7.33731499 3.09163982],[ 0.14365442 -0.96043747],[5.81924398 1.49621735],[0.8752749  0.61071561]
[6.13651035 3.07866372],[-0.90108926  0.64029967],[4.86301519 0.82179339],[-0.54883425 -0.49811026],[5.73205323 3.01985992],[0.44058013 0.92881306],[3.62123772 2.66270837],[ 0.56596952 -0.92842856],[6.09223398 3.98373627],[-0.7727818  -0.87021681],[4.66336592 3.76683916],[ 0.99840134 -0.53350399],[4.90660861 3.57909411],[-0.15473078  0.96829203],[3.5057386  3.85318115],[-0.76051706 -0.3966573 ],[7.34933129 2.99535733],[ 0.09292833 -0.96851071],[5.90537396 1.55854709],[0.84875301 0.6371552 ]
[6.04644132 3.14190456],[-0.90151977  0.62327098],[4.80730372 0.77341959],[-0.56663108 -0.47035532],[5.77539662 3.11234149],[0.42436719 0.91893069],[3.67959951 2.57128708],[ 0.597856   -0.90300848],[6.015543  3.8971742],[-0.76599638 -0.86600612],[4.76264656 3.7132867 ],[ 0.98698958 -0.53768715],[4.89148558 3.67521959],[-0.14721513  0.9547601 ],[3.43108607 3.81199374],[-0.73405841 -0.42892731],[7.35600831 2.89817787],[ 0.0427714  -0.97254437],[5.98845021 1.62308194],[0.81395151 0.65452061]
[5.95656059 3.20365759],[-0.89776803  0.61010569],[4.74994052 0.72803787],[-0.57926201 -0.43564008],[5.81718035 3.20390553],[0.41260159 0.9135395 ],[3.74056209 2.48195012],[ 0.62199953 -0.88268852],[5.93911726 3.8106238 ],[-0.75938371 -0.86186994],[4.86073563 3.6592911 ],[ 0.97681021 -0.54007724],[4.87725688 3.77012725],[-0.13753154  0.94316155],[3.35864977 3.76702653],[-0.71242732 -0.4686044 ],[7.3578441  2.80088368],[-0.00991059 -0.9767062 ],[6.06849148 1.68976455],[0.78506416 0.67716317]
[5.86676128 3.26378263],[-0.9007347   0.58978836],[4.69133597 0.68624897],[-0.59377738 -0.40082065],[5.85778394 3.29490367],[0.40169774 0.90858005],[3.80384239 2.39467484],[ 0.64679976 -0.85923343],[5.86364807 3.72477619],[-0.75251888 -0.85759768],[4.95770396 3.60498867],[ 0.96464056 -0.54385465],[4.86400352 3.86385863],[-0.12901288  0.93000541],[3.28841929 3.71799832],[-0.68731458 -0.50744635],[7.35414685 2.70308135],[-0.06543986 -0.98018449],[6.14554872 1.75858837],[0.75907406 0.7021976 ]
[5.77654485 3.32171076],[-0.90166818  0.57064129],[4.63131736 0.64808084],[-0.60758581 -0.36325042],[5.89704101 3.3851367 ],[0.38533221 0.89798449],[3.86997268 2.31021328],[ 0.67487598 -0.83061166],[5.78858201 3.63907658],[-0.74734496 -0.85493239],[5.05354091 3.55042197],[ 0.95228458 -0.54726477],[4.85125969 3.95594372],[-0.12615822  0.91149211],[3.22125307 3.66552336],[-0.65422697 -0.54056526],[7.34495456 2.60516304],[-0.11551744 -0.97503278],[6.2200665  1.82995728],[0.73189537 0.72567052]
[5.6865438  3.37801803],[-0.89762387  0.55619343],[4.56999492 0.61385335],[-0.61908117 -0.32119109],[5.93487726 3.47452475],[0.37239749 0.89075466],[3.93864313 2.22844597],[ 0.70000134 -0.80293931],[5.71430437 3.55391452],[-0.73593081 -0.84606066],[5.14776035 3.49513683],[ 0.93330338 -0.55730653],[4.83871606 4.04612085],[-0.12355645  0.89331988],[3.15737343 3.60960394],[-0.62215148 -0.57691636],[7.33112036 2.50820837],[-0.15923653 -0.96201029],[6.29173371 1.90351869],[0.70163769 0.74562472]
[5.59684457 3.43276803],[-0.89995978  0.53511599],[4.50735077 0.58377006],[-0.63239872 -0.27872881],[5.97136475 3.56312491],[0.35702676 0.88094556],[4.00971286 2.14943108],[ 0.72259294 -0.77583674],[5.64092986 3.46939704],[-0.72712892 -0.8398571 ],[5.24026782 3.4390301 ],[ 0.9183508  -0.56329211],[4.82672989 4.13478325],[-0.11394423  0.88199819],[3.09696532 3.55020302],[-0.58581024 -0.61118665],[7.31224353 2.4119844 ],[-0.2169744  -0.96072249],[6.3601734  1.97885378],[0.66955669 0.76337057]
[5.50685245 3.48530535],[-0.90072789  0.514738  ],[4.44331844 0.55798932],[-0.64906676 -0.23743381],[6.00645756 3.65088572],[0.34400159 0.87340881],[4.08278551 2.07296824],[ 0.74357026 -0.74840425],[5.56872774 3.38578498],[-0.71828613 -0.83374653],[5.33143263 3.38250028],[ 0.90504369 -0.5671395 ],[4.81592251 4.2224727 ],[-0.10441564  0.8695123 ],[3.040431   3.48750913],[-0.54276904 -0.64086697],[7.28759168 2.31605372],[-0.27482185 -0.95618081],[6.42608539 2.0566181 ],[0.64807056 0.79113235]
[5.41659899 3.53557818],[-0.90153414  0.49346805],[4.37772311 0.53654125],[-0.66470468 -0.19314188],[6.04006279 3.73770447],[0.32673731 0.86168901],[4.15829411 1.99967988],[ 0.76689799 -0.71676189],[5.49717061 3.30254835],[-0.71020984 -0.8283322 ],[5.42119115 3.32553269],[ 0.8887533  -0.57353537],[4.80584438 4.30867336],[-0.09522946  0.85630597],[2.9885232  3.42206085],[-0.49745719 -0.67044303],[7.2576613  2.22121195],[-0.32213134 -0.93884385],[6.48924014 2.13651647],[0.61450158 0.80621077]
[5.32678145 3.58423247],[-0.8955164   0.47890021],[4.31072138 0.5197725 ],[-0.67616114 -0.14277715],[6.07178094 3.82321844],[0.30963451 0.85066669],[4.23618765 1.92970383],[ 0.79008129 -0.68333758],[5.42647867 3.21991093],[-0.70114001 -0.82191743],[5.50936842 3.2679879 ],[ 0.87406194 -0.57802192],[4.79683085 4.3936566 ],[-0.08422276  0.8440513 ],[2.9407159  3.35313038],[-0.45867977 -0.70835356],[7.2227164  2.12789798],[-0.37814882 -0.92847045],[6.54910014 2.21796529],[0.58257359 0.82252466]
[5.2372016  3.63104918],[-0.89512148  0.45828043],[4.24220908 0.50775946],[-0.69364854 -0.09694896],[6.10164776 3.90751129],[0.28956253 0.83711998],[4.31601697 1.86278207],[ 0.8053196  -0.65600107],[5.35639745 3.13762109],[-0.70126432 -0.82457862],[5.59580502 3.20973643],[ 0.85602469 -0.58560586],[4.78904393 4.47748661],[-0.07341866  0.83054608],[2.89723083 3.2807765 ],[-0.41247752 -0.74030518],[7.18235406 2.0359246 ],[-0.42964921 -0.91138524],[6.60560924 2.30086803],[0.54850655 0.83633726]
[5.14773626 3.67584342],[-0.89384276  0.43793452],[4.17217555 0.50060741],[-0.70691391 -0.04587367],[6.12980687 3.99076513],[0.27388118 0.82819841],[4.39708684 1.79839177],[ 0.81495473 -0.6326971 ],[5.28669833 3.05547497],[-0.6930668  -0.81870244],[5.68060429 3.15091243],[ 0.83981099 -0.59095569],[4.78227026 4.55986315],[-0.06430068  0.8146251 ],[2.85840034 3.20520408],[-0.36200716 -0.76912816],[7.13705184 1.94594084],[-0.47658195 -0.88835378],[6.65872239 2.38514585],[0.51453226 0.84989684]
[5.05860383 3.71878931],[-0.89031202  0.41942521],[4.1011473  0.49894638],[-0.71495341  0.01138819],[6.15635749 4.07309093],[0.25864093 0.8198195 ],[4.47898417 1.73626308],[ 0.82476149 -0.60790044],[5.21773546 2.97383735],[-0.68593782 -0.81379444],[5.76387726 3.09167397],[ 0.82561234 -0.59376079],[4.77644576 4.64065111],[-0.05377613  0.79944249],[2.82484414 3.12692134],[-0.30863506 -0.79610641],[7.08714008 1.85839335],[-0.52212797 -0.86300296],[6.70855816 2.4708765 ],[0.48048743 0.86289007]
[4.96983128 3.75986725],[-0.88646624  0.40078545],[4.02932811 0.50305002],[-0.72064333  0.07146689],[6.18095447 4.15416882],[0.23885223 0.80738755],[4.56199574 1.67682066],[ 0.83549552 -0.58071111],[5.14993006 2.89313385],[-0.67240129 -0.80252087],[5.84541123 3.03185864],[ 0.8079463 -0.5996081],[4.77135509 4.71957477],[-0.04634257  0.78071446],[2.79658951 3.04587731],[-0.25679574 -0.82500393],[7.03285794 1.77360371],[-0.56461602 -0.83390301],[6.7548335  2.55773501],[0.44574495 0.87491391]
[4.88125864 3.79886424],[-0.88458997  0.37946562],[3.95684118 0.51306465],[-0.72825661  0.12935584],[6.20401053 4.23444201],[0.22001796 0.79588832],[4.64589885 1.61998137],[ 0.84713874 -0.55128138],[5.08313364 2.8132124 ],[-0.66563677 -0.79798383],[5.92530248 2.97160896],[ 0.78816531 -0.6070361 ],[4.76714035 4.79672617],[-0.03802596  0.76215702],[2.77363565 2.96208   ],[-0.19968879 -0.84819555],[6.97401772 1.69144919],[-0.61159651 -0.80853197],[6.79725045 2.64540799],[0.40365707 0.87960111]
[4.79305296 3.83587683],[-0.87983642  0.36046568],[3.88417023 0.52940337],[-0.72833589  0.19398143],[6.22552346 4.31391317],[0.20864318 0.79182645],[4.73121688 1.56642364],[ 0.86044635 -0.51839515],[5.0167086  2.73345385],[-0.6606839  -0.79495996],[6.00331832 2.91074198],[ 0.77169071 -0.61069498],[4.76419158 4.87240491],[-0.0212943   0.75080617],[2.75660768 2.87619946],[-0.14150126 -0.86979117],[6.91078425 1.61216596],[-0.6523708  -0.77644496],[6.83566488 2.73376632],[0.36545003 0.88827956]
[4.70532927 3.87097693],[-0.87477635  0.34127621],[3.81136343 0.55199012],[-0.72628538  0.25883455],[6.24550826 4.39257446],[0.18984713 0.78031104],[4.81772223 1.51609874],[ 0.86812911 -0.48945011],[4.95118595 2.65441282],[-0.65001315 -0.78610979],[6.07949926 2.84934885],[ 0.75235728 -0.6166637 ],[4.76253838 4.9465043 ],[-0.01008649  0.73268338],[2.74523923 2.78807767],[-0.08836846 -0.89462562],[6.84354304 1.53617194],[-0.6907668  -0.74179615],[6.87047599 2.82318734],[0.32972199 0.89894547]
[4.61821365 3.90423493],[-0.86888748  0.32250458],[3.73920399 0.58139172],[-0.71913346  0.32635733],[6.2631345  4.46964751],[0.16262452 0.76124805],[4.90491688 1.46865364],[ 0.87656747 -0.4584414 ],[4.88658982 2.57611962],[-0.64375643 -0.78155421],[6.15387368 2.78751567],[ 0.73325129 -0.62179447],[4.76180954 5.01854454],[-0.00411896  0.70841677],[2.73943137 2.69786192],[-0.02700822 -0.90838818],[6.77243823 1.46362135],[-0.73034726 -0.70832068],[6.90155524 2.91349202],[0.29042468 0.90559612]
[4.53141074 3.93529834],[-0.86653204  0.29931793],[3.66775725 0.61736284],[-0.70722761  0.39492056],[6.2782982  4.54512243],[0.1403679  0.74805605],[4.9926537  1.42406759],[ 0.88311359 -0.42805877],[4.82273848 2.49841297],[-0.63370397 -0.7729938 ],[6.22619353 2.72505494],[ 0.7117789  -0.62870218],[4.76185432 5.08829581],[0.00490644 0.68634108],[2.73990211 2.60653524],[ 0.03679359 -0.91719163],[6.69732659 1.39435982],[-0.76936122 -0.67452503],[6.92863932 3.00438584],[0.25016349 0.91106739]
[4.44465018 3.96379328],[-0.8686993   0.27029119],[3.59765657 0.66012906],[-0.69224527  0.46202389],[6.29131111 4.6193739 ],[0.11648134 0.73372595],[5.08141095 1.38298255],[ 0.89174485 -0.39364958],[4.75991386 2.42158979],[-0.62178631 -0.76244941],[6.29644161 2.66201178],[ 0.69096333 -0.63429155],[4.76270131 5.15568579],[0.01138243 0.660678  ],[2.74672404 2.51445316],[ 0.10031092 -0.92310218],[6.61865813 1.32880069],[-0.80330826 -0.63613722],[6.95160748 3.09572607],[0.20933793 0.91577397]
[4.35803933 3.98968182],[-0.86441195  0.24646577],[3.5290394  0.70931567],[-0.6753146   0.52543451],[6.30195864 4.69225439],[0.09658436 0.72404183],[5.17063823 1.34502106],[ 0.89594028 -0.36226206],[4.69789496 2.34544486],[-0.61740222 -0.75921322],[6.36465407 2.59849068],[ 0.67220341 -0.63709806],[4.76420102 5.22046722],[0.0228681  0.63896177],[2.76006594 2.42212906],[ 0.16755016 -0.92170095],[6.53695891 1.26741872],[-0.83320102 -0.59420518],[6.97056427 3.18758672],[0.1708757  0.92228264]
[4.2718567  4.01313899],[-0.86092721  0.22085141],[3.46277142 0.76519019],[-0.65164923  0.58929506],[6.31036444 4.76393354],[0.07016841 0.70829981],[5.26074512 1.31075723],[ 0.90313188 -0.32573348],[4.63656888 2.26989234],[-0.61066195 -0.75333252],[6.4308379  2.53457543],[ 0.64888957 -0.64367484],[4.76672707 5.28287517],[0.03133726 0.61268319],[2.77999939 2.33000786],[ 0.23003481 -0.920937  ],[6.45219897 1.2101221 ],[-0.86438049 -0.55436172],[6.98560752 3.27997813],[0.12709538 0.92258926]
[4.18597412 4.03392338],[-0.85735046  0.1940435 ],[3.39886885 0.82710199],[-0.62619945  0.64789771],[6.31604228 4.83399577],[0.04147813 0.6911509 ],[5.35129986 1.27996325],[ 0.90819341 -0.28960012],[4.57606817 2.19509164],[-0.60265102 -0.74592566],[6.49472151 2.47007442],[ 0.6273134  -0.64768867],[4.77015986 5.34263382],[0.03857786 0.58355269],[2.80617682 2.23820932],[ 0.29021895 -0.91735496],[6.36433543 1.15676108],[-0.89109438 -0.51128866],[6.99617586 3.3722972 ],[0.08382893 0.92321822]
[4.10061887 4.05213865],[-0.84992805  0.16997553],[3.33757124 0.89456618],[-0.59763858  0.70222349],[6.31859714 4.90214224],[0.01104204 0.6733747 ],[5.44185663 1.25235149],[ 0.90526785 -0.26015363],[4.51625057 2.12093063],[-0.59355176 -0.73710116],[6.55686251 2.40563002],[ 0.61338548 -0.64319539],[4.77486335 5.39993121],[0.05541906 0.56196204],[2.83819866 2.14688618],[ 0.35087424 -0.90741263],[6.27391149 1.10776312],[-0.91425729 -0.46582321],[7.00213255 3.46437745],[0.03534624 0.9183915 ]
[4.01585746 4.06774392],[-0.84562003  0.14162971],[3.27960127 0.96755626],[-0.55905347  0.758974  ],[6.31778257 4.96824356],[-0.02609753  0.65007105],[5.53227431 1.22790174],[ 0.90416806 -0.22755697],[4.45727162 2.04759563],[-0.58470566 -0.72824094],[6.61702578 2.34109404],[ 0.5845415  -0.65271753],[4.78066093 5.45436799],[0.06223667 0.52817583],[2.87587084 2.05644253],[ 0.4033415 -0.8995761],[6.18126093 1.06334489],[-0.93918918 -0.4232959 ],[7.00340321 3.55612111],[-0.01027111  0.91598277]
[3.93136274 4.08027178],[-0.84675636  0.10605792],[3.2254745  1.04581875],[-0.52145595  0.80706109],[6.31325892 5.03207969],[-0.0645021   0.62676562],[5.62295044 1.20717853],[ 0.90867684 -0.18718118],[4.39924352 1.97522551],[-0.57661434 -0.71986795],[6.67404932 2.27540579],[ 0.55817963 -0.65862894],[4.78713204 5.50530992],[0.06895221 0.4920732 ],[2.91935049 1.96763842],[ 0.46419473 -0.8776376 ],[6.08643151 1.02341525],[-0.96041796 -0.37862108],[7.00017916 3.64763973],[-0.05837004  0.91002624]
[3.84703066 4.08940354],[-0.83770508  0.07855995],[3.17582288 1.12921657],[-0.4727651   0.85839082],[6.30486542 5.09361853],[-0.10304871  0.60447223],[5.71395511 1.1904996 ],[ 0.91092269 -0.14652764],[4.34225387 1.90393536],[-0.56655892 -0.70927242],[6.72870585 2.20944944],[ 0.5360063 -0.6592771],[4.79484476 5.55307562],[0.08335978 0.46082871],[2.96832511 1.88072622],[ 0.51326709 -0.86154914],[5.98962561 0.98801499],[-0.9779245  -0.33200815],[6.99172536 3.73812953],[-0.10890697  0.90142006]
[3.7634401  4.09555262],[-0.83232781  0.04588505],[3.13100921 1.21732843],[-0.4226921   0.90340803],[6.29289278 5.15324377],[-0.13834714  0.58612639],[5.80503945 1.17786369],[ 0.90983188 -0.10677095],[4.28593526 1.83338901],[-0.56073244 -0.70249117],[6.78115648 2.14349349],[ 0.51284465 -0.65983209],[4.8037712  5.59733282],[0.09506588 0.42369522],[3.0225211  1.79604296],[ 0.57264454 -0.8292402 ],[5.89127921 0.9573963 ],[-0.98963824 -0.28119972],[6.97837607 3.82786311],[-0.15902098  0.89204003]
[3.68041367 4.09835994],[-0.8251756   0.01301219],[3.0911491  1.30952006],[-0.3761994   0.93766875],[6.27735714 5.21102482],[-0.17243285  0.56945341],[5.8958473  1.16914504],[ 0.90773118 -0.06584816],[4.23042597 1.76376877],[-0.54834384 -0.68876109],[6.83116521 2.07741569],[ 0.48751476 -0.66134726],[4.81428166 5.63810843],[0.11271809 0.38877994],[3.08205702 1.71426598],[ 0.61887885 -0.80449587],[5.79193602 0.93197889],[-0.99857952 -0.22875245],[6.96008527 3.91665858],[-0.20897026  0.88134493]
[3.5983712  4.09806508],[-0.81504597 -0.01851782],[3.05625558 1.40513039],[-0.32397318  0.97119403],[6.25805459 5.2667959 ],[-0.21457366  0.5450577 ],[5.98630544 1.16450356],[ 0.90059943 -0.02756418],[4.1758838  1.69526647],[-0.53968301 -0.67840513],[6.87844139 2.01105468],[ 0.46025089 -0.66341475],[4.82592198 5.67455583],[0.12306449 0.34247852],[3.1463762  1.63541054],[ 0.66562016 -0.77354505],[5.69155069 0.91157684],[-1.00985717 -0.18037148],[6.93683236 4.00432725],[-0.25781997  0.86995852]
