[5.80503326 2.80686357],[ 4.22141962 -3.89122168],[5.79654822 7.07584654],[ 0.53870353 -2.12637513],[0.78121514 0.16725332],[ 0.05268639 -2.04573964],[6.40563389 4.11992662],[-2.25903668  3.42049617],[9.58348262 7.70907276],[3.02735207 3.32920425],[5.04498543 3.37363073],[-2.7158341   1.12647029],[6.13868955 0.61834098],[ 0.21331384 -1.16054558],[9.05294954 0.85092044],[-1.50460967  4.49169326],[2.4350711  2.74879049],[1.39984726 3.50086995],[4.5530903 3.6786744],[-4.91157399 -3.07859411]
[6.93839053 1.79174229],[ 0.68466236 -0.56528488],[6.04881551 5.5504071 ],[ 0.08720585 -1.23292954],[ 1.44292015 -0.84367723],[ 1.11691964 -0.27069021],[5.47656566 5.28758217],[-0.7232061   0.61865658],[10.2895432   8.49958471],[-0.03609693 -0.00607634],[3.74789389 3.914146  ],[-0.83353609  0.35526066],[ 6.2707986  -0.25656974],[ 0.02916768 -0.51904784],[8.27079127 2.36381449],[-0.79884695  0.96384269],[3.28129448 4.07992704],[0.85619309 0.75762841],[3.32210151 2.79308759],[-0.63599743 -0.62190855]
[7.00574683 1.73642756],[ 0.6616275  -0.54236299],[6.0566489  5.42756989],[ 0.07036411 -1.22316579],[ 1.55757123 -0.86522229],[ 1.17470001 -0.15955774],[5.40390329 5.34726731],[-0.73046993  0.57493304],[10.27952342  8.49219972],[-0.16379421 -0.14127603],[3.66600426 3.94929497],[-0.80526765  0.34716013],[ 6.2728935  -0.30581334],[ 0.013153   -0.46485258],[8.18992308 2.45885216],[-0.81807135  0.93725542],[3.36842529 4.15365092],[0.8858551  0.71672235],[3.26036851 2.73068259],[-0.59860527 -0.62626465]
[7.07058723 1.68306403],[ 0.63654147 -0.52391856],[6.0625937  5.30545684],[ 0.04967457 -1.21803686],[ 1.67725046 -0.87579134],[ 1.21731553 -0.0517506 ],[5.33054442 5.40268019],[-0.73447871  0.53574973],[10.25626917  8.47077796],[-0.30046651 -0.28651106],[3.5865575  3.98334185],[-0.77934846  0.33837593],[ 6.27304033 -0.34977533],[-0.01012615 -0.41352087],[8.10712528 2.55118972],[-0.83823084  0.90903481],[3.45822802 4.22310013],[0.909489   0.67196191],[3.2025755  2.66798626],[-0.55556241 -0.62615603]
[7.13347968 1.63202274],[ 0.62054664 -0.4978884 ],[6.06685065 5.18420305],[ 0.03779844 -1.2050865 ],[ 1.80057212 -0.87571002],[1.24974077 0.05537411],[5.25669074 5.45411935],[-0.74320248  0.49248001],[10.2188622   8.43429279],[-0.44634285 -0.442017  ],[3.51007748 4.01696808],[-0.74888015  0.33582923],[ 6.27111188 -0.38808348],[-0.02876852 -0.35204971],[8.02197291 2.64032934],[-0.86357387  0.8748657 ],[3.55010353 4.2878745 ],[0.93072327 0.62659992],[3.14935758 2.60549598],[-0.5102037  -0.62530534]
[7.1948798  1.58364767],[ 0.60494718 -0.47224317],[6.0698072  5.06404742],[ 0.02376321 -1.1957618 ],[ 1.92650223 -0.86513743],[1.26550443 0.15342698],[5.18170981 5.50096586],[-0.75390087  0.44688382],[10.16698885  8.38233589],[-0.58651821 -0.59258851],[3.43669669 4.05046492],[-0.72178563  0.33122539],[ 6.26716405 -0.42007824],[-0.05017456 -0.2867035 ],[7.93462296 2.72634094],[-0.88286402  0.84575953],[3.64439525 4.34851333],[0.9538803  0.58536487],[3.10056508 2.54288936],[-0.46727311 -0.62873355]
[7.25455042 1.53764736],[ 0.58709275 -0.44919602],[6.07126214 4.94469924],[ 0.00726698 -1.18934351],[ 2.053283   -0.84530626],[1.26947163 0.24269257],[5.10573813 5.54329287],[-0.76252877  0.40253948],[10.10197766  8.31618805],[-0.71010133 -0.72671682],[3.36581062 4.0833121 ],[-0.69619821  0.3255179 ],[ 6.26072164 -0.44550396],[-0.07788218 -0.21967239],[7.84569415 2.80974095],[-0.89835744  0.81943337],[3.74087339 4.40501109],[0.97489948 0.54421682],[3.05629571 2.4800676 ],[-0.41764245 -0.6275934 ]
[7.31233588 1.493852  ],[ 0.56684472 -0.42848343],[6.07114983 4.82606828],[-0.00677257 -1.18053289],[ 2.18052104 -0.81637321],[1.2711568  0.33210314],[5.0290032  5.58123388],[-0.77370479  0.35451359],[10.02572505  8.23776771],[-0.80996551 -0.83654026],[3.29756749 4.11568417],[-0.66970787  0.32091729],[ 6.2514102  -0.46386991],[-0.10840711 -0.14615029],[7.75510014 2.89034078],[-0.91386226  0.79205821],[3.83932109 4.45737251],[0.99350242 0.50291511],[3.01653062 2.41678398],[-0.37670245 -0.63743256]
[7.36796599 1.45201408],[ 0.54617745 -0.40779309],[6.06973969 4.70839144],[-0.02090176 -1.17241886],[ 2.30734038 -0.77905192],[1.26212586 0.41095361],[4.95125736 5.61438948],[-0.77992508  0.30963384],[9.94078488 8.14971867],[-0.88055698 -0.91594193],[3.23176419 4.14737895],[-0.64761985  0.31168819],[ 6.23905918 -0.47435257],[-0.13823711 -0.0613916 ],[7.66277358 2.96796684],[-0.93257653  0.76037695],[3.93967966 4.50577691],[1.01131023 0.463354  ],[2.98090858 2.35245886],[-0.33145212 -0.64513721]
[7.42160172 1.41235525],[ 0.52861352 -0.38316239],[6.06728524 4.59185944],[-0.02853663 -1.15879238],[ 2.43247724 -0.73475502],[1.23962247 0.47316693],[4.87306844 5.64315424],[-0.78580618  0.26340376],[9.85007194 8.05508208],[-0.92807281 -0.97092024],[3.16823793 4.17819493],[-0.62787369  0.299537  ],[ 6.2233603  -0.47615465],[-0.17483212  0.02810126],[7.56884887 3.04264175],[-0.94295891  0.73596903],[4.04135562 4.54987011],[1.02141599 0.41804012],[2.95036281 2.2877795 ],[-0.28211655 -0.65146127]
[7.47373689 1.37547996],[ 0.51237573 -0.35584923],[6.06344505 4.47606918],[-0.04535906 -1.15411775],[ 2.55529723 -0.68453002],[1.2167585  0.53055008],[4.79379109 5.66666383],[-0.79990195  0.20612928],[9.75601965 7.95642479],[-0.95048559 -0.99955741],[3.10665253 4.20771009],[-0.60209176  0.29241128],[ 6.20432866 -0.46808698],[-0.20571967  0.13514986],[7.47396235 3.1149168 ],[-0.95309588  0.71111113],[4.14380288 4.5892522 ],[1.03209035 0.37458052],[2.92454161 2.22213738],[-0.2343958  -0.66180154]
[7.52390118 1.34106838],[ 0.49119645 -0.33184425],[6.05805353 4.36090281],[-0.05966786 -1.14629957],[ 2.67587334 -0.62872283],[1.19415037 0.58426803],[4.7134347  5.68460397],[-0.80515347  0.15437291],[9.66031721 7.855547  ],[-0.96349638 -1.01776372],[3.04787172 4.23670224],[-0.57309653  0.28774507],[ 6.18150463 -0.44945248],[-0.24767654  0.24216308],[7.37823064 3.18484078],[-0.96177015  0.68709123],[4.24780815 4.62492436],[1.04594113 0.33734411],[2.90398573 2.15582813],[-0.17874561 -0.66681   ]
[7.57200556 1.30921387],[ 0.46978304 -0.30603393],[6.05121546 4.24651614],[-0.07521676 -1.13942575],[ 2.79408832 -0.56784264],[1.16929382 0.63177873],[4.63278782 5.69746822],[-0.80873598  0.10141704],[9.56342526 7.75300784],[-0.97372433 -1.03224464],[2.99208966 4.26528164],[-0.54335339  0.28287493],[ 6.15450723 -0.41963889],[-0.29148155  0.3558421 ],[7.28144292 3.2521353 ],[-0.97344863  0.65921061],[4.352852  4.6566576],[1.05197143 0.29478904],[2.88870001 2.08860391],[-0.12449583 -0.67549445]
[7.61821213 1.28030603],[ 0.45345504 -0.27258865],[6.04301602 4.13302163],[-0.08820423 -1.12989125],[ 2.90999089 -0.50223259],[1.14976571 0.68089374],[4.55144729 5.70451033],[-0.81450135  0.04239678],[9.46606599 7.64961592],[-0.97408132 -1.03609941],[2.93937691 4.29340916],[-0.51188105  0.27849761],[ 6.12324022 -0.37810417],[-0.3314649   0.47722312],[7.18369017 3.31680448],[-0.98103336  0.63463514],[4.45852497 4.68425813],[1.061134   0.25742114],[2.87919727 2.02075558],[-0.06520864 -0.68139703]
[7.66241635 1.25452262],[ 0.42887304 -0.24435328],[6.03375183 4.02069869],[-0.0980166  -1.11768106],[ 3.02362605 -0.43219211],[1.12314183 0.71935616],[4.46972077 5.70564247],[-0.81887321 -0.01924402],[9.36884241 7.54603999],[-0.97359752 -1.03853831],[2.88948836 4.32069774],[-0.48524638  0.26763737],[ 6.0880907  -0.32439611],[-0.3703647   0.59683162],[7.08523048 3.37903903],[-0.98857642  0.60953239],[4.56497555 4.7081203 ],[1.06943043 0.22192785],[2.87586272 1.95245812],[ 0.00167122 -0.68170003]
[7.70413003 1.23170027],[ 0.40472743 -0.21217896],[6.02358889 3.90964812],[-0.10870754 -1.10697253],[ 3.13462045 -0.35848534],[1.09457106 0.75181361],[4.38786645 5.70071097],[-0.81727774 -0.07911569],[9.27147546 7.44205871],[-0.97322855 -1.04048272],[2.84269323 4.34723631],[-0.45241462  0.26108395],[ 6.04959551 -0.2586564 ],[-0.39986668  0.71500051],[6.98606828 3.43878096],[-0.99422112  0.58570513],[4.67196403 4.72828186],[1.07008537 0.18140427],[2.87959468 1.8844021 ],[ 0.071727   -0.68085285]
[7.74302994 1.21189568],[ 0.3760854  -0.18041309],[6.01208767 3.79942605],[-0.11938171 -1.09568375],[ 3.24299316 -0.28149633],[1.06983889 0.78424895],[4.30607782 5.68948189],[-0.81862682 -0.14637825],[9.1743857  7.33814729],[-0.96962334 -1.03873671],[2.7989485 4.3727764],[-0.42189638  0.24994994],[ 6.0079484  -0.18214538],[-0.42922807  0.81545085],[6.88632504 3.49609713],[-0.99978232  0.5614029 ],[4.77895459 4.74440587],[1.07337955 0.14528383],[2.88989607 1.8159525 ],[ 0.1360687  -0.68629162]
[7.77897318 1.19541063],[ 0.34223836 -0.14904471],[5.9993733  3.69019131],[-0.13302927 -1.08711281],[ 3.34874288 -0.2015992 ],[1.04495845 0.81286112],[4.22468009 5.6718204 ],[-0.81195367 -0.21012034],[9.07771776 7.23449083],[-0.96685744 -1.03745323],[2.7585091  4.39732979],[-0.38822944  0.23935295],[ 5.9639873  -0.09608295],[-0.4479388   0.90374354],[6.78624896 3.55119206],[-1.00395481  0.53816665],[4.8858566 4.7566149],[1.06610381 0.10046532],[2.90680316 1.74714572],[ 0.2004424  -0.69117545]
