[5.43789295 1.81633312],[-1.56167376 -3.55592478],[9.05350995 6.70514605],[-2.46243412 -4.92482385],[0.21622598 8.18311529],[ 4.84086137 -3.95229892],[8.95451031 2.23292933],[-4.70766435  1.23746042],[3.25083639 8.04753335],[-3.19754649  2.37702519],[6.13606293 8.57415863],[ 2.7585082  -3.77124439],[2.7287606  3.04495899],[ 2.65819999 -4.41872647],[1.36078897 1.18427029],[-4.60936665 -1.20819751],[9.73806647 7.51423737],[-4.02287534  3.68049531],[3.39493903 5.85024387],[-1.30950974 -0.83157073]
[2.83588211 3.25615704],[-0.05753631  1.11666209],[4.31973674 3.99964999],[-1.07150262 -0.18033004],[4.45653431 4.38980027],[ 0.59777643 -0.83493322],[3.84357219 4.60532205],[-0.95194526  0.39018562],[2.30427979 5.42133164],[ 0.62667773 -1.02585193],[4.94182955 3.86936501],[-0.91179212 -0.62485089],[5.96169796 3.82800881],[-0.04758566  1.04562832],[2.21358475 4.26526542],[1.04247438 0.54762226],[4.73442703 5.91243405],[-0.77759873 -0.91861768],[3.26561814 2.44142925],[ 0.86437165 -0.43897355]
[2.83135484 3.36744845],[-0.03229224  1.10981398],[4.21300276 3.98201   ],[-1.06252709 -0.17189274],[4.51517481 4.30604774],[ 0.57609465 -0.83894904],[3.74852008 4.64351006],[-0.94686829  0.37572096],[2.36748108 5.31947298],[ 0.63692875 -1.01158025],[4.85034679 3.80797173],[-0.91554208 -0.60083855],[5.95427637 3.93239448],[-0.098885    1.04337322],[2.31785313 4.31884147],[1.04422055 0.52542415],[4.65735831 5.82050649],[-0.76407345 -0.92008763],[3.35277484 2.39932395],[ 0.87744788 -0.40406056]
[2.82928191 3.47797557],[-0.00973443  1.10023735],[4.10687073 3.96487155],[-1.05638625 -0.16725501],[4.57189813 4.22217564],[ 0.55769264 -0.83911025],[3.65416291 4.68042247],[-0.93857563  0.36419591],[2.43159206 5.21898542],[ 0.64587664 -0.99740644],[4.75846032 3.74891475],[-0.92146751 -0.57974658],[5.94161725 4.03627758],[-0.14834124  1.03959704],[2.42236196 4.37032345],[1.04519351 0.50367184],[4.58154673 5.72837185],[-0.75278794 -0.92306668],[3.4414044  2.36100601],[ 0.89477691 -0.36217224]
[2.82949718 3.58759154],[0.01602973 1.09400148],[4.00150504 3.94831699],[-1.04956885 -0.16256536],[4.62713837 4.13866185],[ 0.54813701 -0.83016053],[3.56080546 4.71635716],[-0.93217286  0.35087945],[2.49677182 5.12012687],[ 0.65279723 -0.98449281],[4.66601111 3.69194948],[-0.92808369 -0.56026272],[5.92488589 4.14039447],[-0.18805439  1.04011391],[2.52695237 4.41966423],[1.04489136 0.48165004],[4.5070895  5.63619988],[-0.73683513 -0.92075819],[3.53141621 2.32666865],[ 0.90823764 -0.32140834]
[2.83232767 3.69658159],[0.03937216 1.08463204],[3.89677275 3.93214045],[-1.04384025 -0.15989505],[4.68053627 4.05517663],[ 0.52251859 -0.83667159],[3.46787068 4.75070284],[-0.92476089  0.33775248],[2.56290793 5.02286797],[ 0.66516168 -0.96540498],[4.57289898 3.63687992],[-0.9342119  -0.54136765],[5.90363623 4.24380949],[-0.2363563   1.02817949],[2.63129782 4.46662121],[1.03942041 0.45493994],[4.43423688 5.54428963],[-0.72179036 -0.9189348 ],[3.62313524 2.29693336],[ 0.92463531 -0.27427098]
[2.8374103  3.80455448],[0.06219693 1.07480581],[3.79300257 3.91659837],[-1.03341388 -0.15278166],[4.73146944 3.9711929 ],[ 0.49728973 -0.84173506],[3.37558036 4.7836139 ],[-0.9178473   0.32360507],[2.62955659 4.92683857],[ 0.66903345 -0.95380509],[4.47930198 3.58378377],[-0.94106049 -0.5241274 ],[5.87756968 4.34589038],[-0.28450489  1.01339807],[2.73513959 4.51094989],[1.03696279 0.43127968],[4.36238552 5.45209308],[-0.71234651 -0.92195201],[3.71617618 2.27175109],[ 0.93685055 -0.22819152]
[2.84468376 3.91145506],[0.08488006 1.06485921],[3.69034587 3.90184221],[-1.02289959 -0.14554202],[4.7803968  3.88725162],[ 0.47604436 -0.84217393],[3.28435247 4.81548259],[-0.90930504  0.31110684],[2.69686739 4.83228057],[ 0.6754093  -0.93906403],[4.38505375 3.5323823 ],[-0.94455237 -0.5047305 ],[5.84700258 4.44664355],[-0.32708723  1.0007613 ],[2.83876017 4.55296096],[1.03557917 0.40924582],[4.29173219 5.35988016],[-0.70085673 -0.92234027],[3.81040983 2.25131461],[ 0.94609827 -0.18186271]
[2.85455289 4.01764423],[0.1093483  1.05575441],[3.58858712 3.88763328],[-1.01148011 -0.13783441],[4.82690933 3.8030275 ],[ 0.45391358 -0.84249109],[3.19360109 4.84567922],[-0.90285756  0.29560913],[2.76421944 4.73864533],[ 0.67321953 -0.93188534],[4.29053077 3.48295248],[-0.94387368 -0.4819579 ],[5.81193752 4.54572568],[-0.37425449  0.98040825],[2.94256942 4.59315662],[1.039606   0.39397365],[4.22207419 5.26750848],[-0.689896   -0.92256645],[3.90548511 2.23556398],[ 0.95750367 -0.13041211]
[2.86673454 4.12277265],[0.13268686 1.0452186 ],[3.48778394 3.87399473],[-1.00227742 -0.1326876 ],[4.87111541 3.71872253],[ 0.4330388  -0.84066742],[3.10370668 4.87451988],[-0.89576651  0.28035074],[2.8318266  4.64623749],[ 0.67964772 -0.91550432],[4.19594562 3.43564257],[-0.94520306 -0.46174307],[5.77213449 4.64261622],[-0.4229198   0.95591246],[3.04631737 4.63142404],[1.03461015 0.37065687],[4.15359332 5.1752216 ],[-0.67984361 -0.92318224],[4.00112771 2.22453909],[ 0.95943222 -0.08563056]
[2.88090592 4.22650635],[0.14922228 1.02813943],[3.38831185 3.86129781],[-0.98812376 -0.1222235 ],[4.91301545 3.63442254],[ 0.40735762 -0.84276501],[3.01449618 4.90177249],[-0.88653531  0.26650867],[2.8999969  4.55540057],[ 0.68221577 -0.90267309],[4.10156901 3.39068181],[-0.94435424 -0.43954604],[5.72773993 4.73719951],[-0.46555807  0.93455436],[3.14973803 4.66754718],[1.03494599 0.35320701],[4.08647654 5.08325191],[-0.66456915 -0.9182375 ],[4.09693383 2.21808768],[ 0.95710882 -0.04266407]
[2.89657621 4.32842629],[0.16471598 1.01097988],[3.29004024 3.84943416],[-0.97552101 -0.11323682],[4.95251793 3.55013137],[ 0.38216456 -0.84340172],[2.92644485 4.92786672],[-0.87435101  0.25549436],[2.96821252 4.46566778],[ 0.68217035 -0.89184259],[4.00726168 3.34790349],[-0.94044668 -0.41468642],[5.67929654 4.82969195],[-0.50127917  0.91666281],[3.25299581 4.70177667],[1.03317199 0.33455417],[4.02057419 4.99148312],[-0.65324314 -0.91681141],[4.19294562 2.21650374],[0.95956658 0.00795633]
[2.91429736 4.42912881],[0.18843642 1.00164197],[3.19316081 3.83862086],[-0.96241295 -0.10334724],[4.98951427 3.46584619],[ 0.3573573  -0.84257457],[2.8393197  4.95254493],[-0.86872499  0.23736698],[3.03649385 4.37711331],[ 0.68420377 -0.8784361 ],[3.9133374  3.30761018],[-0.93940067 -0.39264488],[5.62709648 4.92002922],[-0.543047    0.88926976],[3.35610895 4.7342312 ],[1.02719434 0.31271337],[3.9560588  4.90012744],[-0.63724416 -0.9104559 ],[4.28863814 2.21954238],[0.95523825 0.05406659]
[2.93445509 4.52890796],[0.21287693 0.99191033],[3.09756337 3.82877362],[-0.94938007 -0.0933831 ],[5.02394066 3.38160958],[ 0.33185773 -0.84128824],[2.75283784 4.97544238],[-0.86222471  0.21908672],[3.1047537  4.28969954],[ 0.68435921 -0.86643508],[3.81949699 3.26947731],[-0.93886336 -0.37151285],[5.57032177 5.00710191],[-0.58972782  0.854445  ],[3.45818278 4.76403226],[1.0185618  0.28756835],[3.89273921 4.80901746],[-0.62965207 -0.91210805],[4.38368931 2.22708933],[0.9459659  0.09728868]
[2.95668667 4.62731377],[0.23334987 0.97782322],[3.0026603  3.81928351],[-0.94690636 -0.09491477],[5.05566602 3.29741688],[ 0.30520143 -0.839876  ],[2.66680086 4.99623544],[-0.85594426  0.19921151],[3.17370326 4.20416578],[ 0.69294389 -0.84592353],[3.72518114 3.23287664],[-0.94555142 -0.35889835],[5.5095287  5.09119377],[-0.62361323  0.82932203],[3.55986258 4.79181275],[1.01605644 0.2691717 ],[3.83032325 4.71791939],[-0.61928942 -0.91037445],[4.47809726 2.23935557],[0.93981685 0.14604119]
[2.98145373 4.72474711],[0.26039679 0.96907839],[2.90869056 3.81028466],[-0.9349548  -0.08752342],[5.08510628 3.21378925],[ 0.28354568 -0.83266617],[2.58171529 5.01532212],[-0.84430602  0.18392844],[3.24335527 4.1205354 ],[ 0.69662447 -0.83011832],[3.63100124 3.19830552],[-0.93897717 -0.33347435],[5.44510457 5.17236269],[-0.66519104  0.79325855],[3.66138164 4.81789928],[1.01247769 0.25084818],[3.76899781 4.62706865],[-0.60964001 -0.9089284 ],[4.57180605 2.25654055],[0.93475791 0.19853621]
[3.00835502 4.82070686],[0.28029546 0.95270771],[2.81560273 3.80168372],[-0.92737946 -0.08517248],[5.11192986 3.13048418],[ 0.25347246 -0.83261621],[2.49765153 5.03270499],[-0.83673976  0.16378701],[3.31331264 4.03844271],[ 0.70124893 -0.812956  ],[3.53733065 3.16613491],[-0.93441903 -0.3099669 ],[5.37692102 5.2501722 ],[-0.69654441  0.76432999],[3.76201848 4.8416369 ],[0.99953452 0.22299286],[3.70871281 4.53646277],[-0.59597664 -0.90302633],[4.66454517 2.27864595],[0.9216743 0.2455336]
[3.03718977 4.91495224],[0.2957153 0.9316347],[2.72316043 3.79314864],[-0.91817409 -0.08229624],[5.13571897 3.04724336],[ 0.2220003  -0.83222304],[2.41440167 5.04807349],[-0.83106031  0.1405673 ],[3.38338806 3.9577455 ],[ 0.70402997 -0.79717467],[3.44377437 3.13595562],[-0.93652204 -0.29366372],[5.30514044 5.32446791],[-0.73953282  0.72060186],[3.86165423 4.86285264],[0.99265821 0.20084763],[3.64917291 4.44585571],[-0.5913478  -0.90547019],[4.75591394 2.30550109],[0.90681316 0.2929337 ]
[3.06785963 5.00738339],[0.31747287 0.91669708],[2.63218432 3.78545655],[-0.90465537 -0.07486239],[5.15651924 2.96428856],[ 0.19719942 -0.82351052],[2.33153983 5.06084845],[-0.82578918  0.1150479 ],[3.45403395 3.878935  ],[ 0.70680646 -0.78106312],[3.35060725 3.10798101],[-0.92840624 -0.26731083],[5.22962986 5.3948005 ],[-0.77202313  0.68416652],[3.96038134 4.88162795],[0.9846917  0.17749684],[3.59070031 4.3556341 ],[-0.57647647 -0.89732017],[4.84569786 2.33710563],[0.88706327 0.33758148]
[3.10048843 5.09807801],[0.33612164 0.89816249],[2.54254307 3.7784899 ],[-0.89077338 -0.06708481],[5.17487731 2.88229039],[ 0.16886706 -0.81733376],[2.24934469 5.07112715],[-0.81855346  0.0898262 ],[3.52453592 3.80133829],[ 0.70190341 -0.77211497],[3.25769718 3.08207663],[-0.92838096 -0.24945974],[5.15096212 5.46141946],[-0.80007102  0.64897089],[4.05865419 4.89844979],[0.97771532 0.15594854],[3.53377911 4.26628693],[-0.56236397 -0.89003578],[4.93373276 2.37350262],[0.86809306 0.3851417 ]
[3.13511874 5.18702846],[0.35677917 0.88102141],[2.45401737 3.77201341],[-0.88073966 -0.06356531],[5.19023988 2.80083075],[ 0.13886455 -0.81107102],[2.16803559 5.07896338],[-0.80555239  0.06882081],[3.59441327 3.72453051],[ 0.69570303 -0.76390992],[3.16534855 3.0585084 ],[-0.91882964 -0.22206515],[5.06981803 5.52470028],[-0.8249335   0.61401681],[4.15609021 4.91298621],[0.97108531 0.1349228 ],[3.47800815 4.17741776],[-0.5514624  -0.88568963],[5.01924953 2.41411074],[0.84345851 0.42844754]
[3.17148863 5.27391242],[0.37055081 0.85663908],[2.36635069 3.76570561],[-0.87365805 -0.06384813],[5.20233302 2.71983085],[ 0.10284341 -0.80872794],[2.0880233  5.08463682],[-0.79250857  0.04665342],[3.66392588 3.64882276],[ 0.69616159 -0.74859407],[3.07365178 3.03738961],[-0.91579546 -0.2010557 ],[4.98578562 5.58392947],[-0.85794258  0.56773957],[4.25299174 4.92557958],[0.96754088 0.11779934],[3.42344675 4.0891153 ],[-0.53895853 -0.87954071],[5.10254677 2.45938616],[0.8220972  0.47695725]
[3.20935567 5.35847387],[0.3869522  0.83468139],[2.27997068 3.75992159],[-0.85400778 -0.05181413],[5.21123765 2.63958131],[ 0.0710372  -0.80017321],[2.00933453 5.08804607],[-0.78174198  0.02082184],[3.73339467 3.5745752 ],[ 0.69353114 -0.73598114],[2.98223328 3.01831804],[-0.91043055 -0.17824035],[4.89842779 5.63832208],[-0.8885619   0.52018699],[4.3491958  4.93616273],[0.95698879 0.09427977],[3.36982609 4.00113528],[-0.53177708 -0.87826407],[5.18359279 2.50949924],[0.79635684 0.5230479 ]
[3.24882656 5.44077901],[0.40400811 0.81289633],[2.19497248 3.75476074],[-0.84218339 -0.04774974],[5.21671646 2.56005562],[ 0.03806758 -0.79045931],[1.93177344 5.08883285],[-0.7679513  -0.00384621],[3.80243493 3.50144536],[ 0.68817774 -0.72565301],[2.89160177 3.00178697],[-0.90181362 -0.15194581],[4.80846231 5.6882457 ],[-0.9106567   0.47791315],[4.44446954 4.94452809],[0.94735268 0.07194001],[3.31718663 3.91356743],[-0.5219272  -0.87393201],[5.26164082 2.56386942],[0.76350536 0.56340737]
[3.29049391 5.5213441 ],[0.42664602 0.79553832],[2.11141794 3.75025614],[-0.82880031 -0.04224819],[5.21831557 2.48105701],[-0.00223325 -0.78518623],[1.8558827  5.08736885],[-0.7506934  -0.02651522],[3.87100133 3.42943139],[ 0.68299045 -0.71472708],[2.8014746  2.98752246],[-0.89922655 -0.13195794],[4.71610495 5.73360743],[-0.94005923  0.42506166],[4.53857728 4.95045051],[0.93635306 0.04817037],[3.26596166 3.82687069],[-0.50027862 -0.85784648],[5.33641073 2.62234584],[0.7319007  0.60626165]
[3.33408049 5.59978056],[0.44479044 0.77276845],[2.02920223 3.74629154],[-0.81683609 -0.03848224],[5.2164447  2.40327338],[-0.03526965 -0.77025269],[1.78177967 5.08361751],[-0.73139038 -0.04876035],[3.93967137 3.35915261],[ 0.6868359  -0.69437105],[2.71212152 2.97576425],[-0.88832141 -0.10358387],[4.62130453 5.77398809],[-0.95513693  0.38299765],[4.63184457 4.95428681],[0.92686343 0.02651747],[3.21653294 3.74138448],[-0.4892979 -0.8528166],[5.40790396 2.68505372],[0.69548024 0.64550384]
[3.37956741 5.67597802],[0.46488187 0.75098366],[1.94828829 3.74278157],[-0.80148174 -0.03175698],[5.2108102  2.32665585],[-0.07734397 -0.76153551],[1.70929148 5.07722858],[-0.71752251 -0.078546  ],[4.0079797  3.29018492],[ 0.67967061 -0.6845836 ],[2.62368728 2.96669177],[-0.88118996 -0.07875138],[4.52536554 5.81043266],[-0.96654679  0.34268013],[4.72416766 4.9559827 ],[0.92025592 0.00826725],[3.16809182 3.65631114],[-0.47936068 -0.84842744],[5.47551821 2.75149789],[0.65794006 0.68459064]
[3.4269365  5.74981796],[0.48269747 0.72590422],[1.86873431 3.73975543],[-0.79093922 -0.03024638],[5.20116881 2.25127056],[-0.11486451 -0.7451088 ],[1.63834686 5.06789223],[-0.70200249 -0.10918593],[4.07605644 3.2227038 ],[ 0.68192348 -0.66491733],[2.53611503 2.96025167],[-0.87268881 -0.05249689],[4.42814989 5.84259104],[-0.97719115  0.30075573],[4.81565509 4.95572479],[ 0.91010964 -0.01271419],[3.12070855 3.57175469],[-0.46893306 -0.84322439],[5.53942832 2.82194239],[0.61943743 0.72350397]
[3.47591943 5.82093621],[0.50013344 0.69949982],[1.79053199 3.73714949],[-0.77451987 -0.02334281],[5.18721855 2.1771368 ],[-0.16425655 -0.73701992],[1.5690041  5.05540293],[-0.68276992 -0.13889856],[4.14407754 3.15693292],[ 0.67626064 -0.65267816],[2.44907719 2.95609774],[-0.86594223 -0.02854033],[4.32953308 5.87008354],[-0.99149761  0.25231085],[4.90614812 4.95341424],[ 0.90176178 -0.0312634 ],[3.07447764 3.48784611],[-0.45443521 -0.83373201],[5.59954624 2.89636174],[0.58087125 0.76281375]
[3.52681449 5.88952277],[0.51733674 0.67165789],[1.71396114 3.73521227],[-0.76008877 -0.01863585],[5.16859373 2.10427811],[-0.20930436 -0.72064391],[1.50169567 5.03991729],[-0.66192202 -0.16974653],[4.21144951 3.09232693],[ 0.67131839 -0.63923353],[2.36277754 2.9543854 ],[-0.85890059 -0.00463311],[4.22990167 5.89302509],[-1.00394026  0.20327564],[4.9954649  4.94894004],[ 0.8863506  -0.05642799],[3.02933191 3.40452734],[-0.44917399 -0.83318883],[5.65561209 2.97452488],[0.53800524 0.79794219]
[3.57919289 5.95503194],[0.53223473 0.64037139],[1.63888393 3.73377158],[-0.74002092 -0.00873927],[5.1454896  2.03326911],[-0.25379049 -0.69992081],[1.4367884  5.02152465],[-0.63985556 -0.20222107],[4.27814538 3.02890864],[ 0.66229042 -0.62937703],[2.27752921 2.95540443],[-0.84456953  0.02656518],[4.12920608 5.91108888],[-1.00883184  0.15893314],[5.08349075 4.94221085],[ 0.87680733 -0.07535351],[2.98520874 3.32178401],[-0.43523724 -0.8236363 ],[5.70725688 3.05606441],[0.494359   0.83216906]
[3.63345421 6.01773883],[0.55317149 0.61374883],[1.5658429  3.73335227],[-0.71927614  0.00191026],[5.11768179 1.96427971],[-0.30416135 -0.68102966],[1.37390565 4.99952853],[-0.61793233 -0.23838942],[4.34415247 2.96671574],[ 0.65710567 -0.61515635],[2.19363737 2.95948554],[-0.83367782  0.05463759],[4.02798511 5.92457991],[-1.01282391  0.11334138],[5.17021087 4.93327376],[ 0.85733595 -0.10372725],[2.94199351 3.23952556],[-0.42876843 -0.82111087],[5.754507   3.14096731],[0.44913862 0.86417948]
[3.68932314 6.07722506],[0.56515362 0.57672859],[1.49491654 3.73404367],[-0.70000935  0.01113721],[5.08459792 1.89716288],[-0.35694029 -0.66004576],[1.31345468 4.9739721 ],[-0.59025118 -0.27247834],[4.40925459 2.905585  ],[ 0.64422998 -0.60810093],[2.11090938 2.96644281],[-0.82114772  0.08423257],[3.926346   5.93339096],[-1.0223979   0.05989787],[5.25480124 4.92128773],[ 0.83596813 -0.13457414],[2.89961282 3.15773685],[-0.41619153 -0.81198376],[5.79687124 3.22867324],[0.39610344 0.88770846]
[3.74686779 6.13341009],[0.58677743 0.54779281],[1.42565716 3.73537652],[-0.68444187  0.01616919],[5.04630022 1.83242853],[-0.41068171 -0.63562646],[1.25589781 4.9449429 ],[-0.56147912 -0.30931041],[4.4734354  2.84555278],[ 0.64054911 -0.5912932 ],[2.0293494  2.97626494],[-0.80914291  0.11303059],[3.82404589 5.93699647],[-1.02783393  0.00747991],[5.33759673 4.90655687],[ 0.82015539 -0.15976544],[2.85824699 3.07662926],[-0.41000964 -0.80894286],[5.83363215 3.31841941],[0.34258604 0.91049754]
[3.80655598 6.18660195],[0.60824995 0.51709219],[1.35779273 3.73701503],[-0.6769488   0.01228551],[5.00279844 1.77052565],[-0.46126185 -0.60371781],[1.2012913  4.91209443],[-0.53123522 -0.34889772],[4.53706258 2.78704763],[ 0.63197432 -0.57875147],[1.94875193 2.98869811],[-0.79962425  0.13863681],[3.72153694 5.93555558],[-1.02449335 -0.03868844],[5.41864783 4.88916208],[ 0.80244975 -0.18648834],[2.817626  2.9959782],[-0.40467353 -0.80618911],[5.86536279 3.41069465],[0.28972778 0.9324204 ]
[3.86806412 6.23631362],[0.62064929 0.47561502],[1.29073555 3.73824375],[-0.66184112  0.01453698],[4.95371 1.7115 ],[-0.51724915 -0.57293436],[1.14979404 4.87514829],[-0.49670194 -0.38871178],[4.59987586 2.72987165],[ 0.6240716  -0.56489765],[1.86947628 3.00403747],[-0.78606936  0.16784875],[3.61923149 5.92927103],[-1.02340401 -0.08912054],[5.49809683 4.86929504],[ 0.78734883 -0.20989674],[2.77752307 2.91562909],[-0.39763475 -0.80098175],[5.89165806 3.50494333],[0.23400047 0.95001116]
[3.93067149 6.28163646],[0.63407498 0.43314047],[1.22517423 3.73963869],[-0.64858046  0.01399538],[4.89949831 1.65622841],[-0.56718586 -0.5321537 ],[1.10180322 4.83404079],[-0.46217067 -0.43321277],[4.66241083 2.67462993],[ 0.62398978 -0.54245431],[1.79173045 3.02244654],[-0.76833823  0.20084536],[3.51713892 5.91792798],[-1.01664148 -0.13621255],[5.57561481 4.84669853],[ 0.76257841 -0.24246175],[2.73829521 2.83599478],[-0.38593875 -0.79073203],[5.91206371 3.60057217],[0.1744289  0.96252296]
[3.99511355 6.32310953],[0.65420594 0.39550525],[1.16135017 3.74134579],[-0.63051547  0.01740108],[4.84029369 1.60522206],[-0.61976888 -0.49035576],[1.05727577 4.78825347],[-0.42611352 -0.4809795 ],[4.72440273 2.62113802],[ 0.61320788 -0.52993219],[1.71594862 3.0443388 ],[-0.74624051  0.23805308],[3.41580247 5.90187328],[-1.00871208 -0.18367915],[5.6506456  4.82084263],[ 0.73619338 -0.27648305],[2.70040943 2.75755501],[-0.37199629 -0.77829378],[5.92649937 3.69735404],[0.11257501 0.97112659]
[4.06131963 6.36047423],[0.67097967 0.35261246],[1.0995441  3.74356236],[-0.60457086  0.0279214 ],[4.77574936 1.55847439],[-0.66927532 -0.442366  ],[1.01649035 4.7375902 ],[-0.38670645 -0.53006637],[4.78524053 2.56885744],[ 0.60539099 -0.51371782],[1.64249847 3.07006946],[-0.7218305   0.27745925],[3.31548348 5.88122943],[-0.99834395 -0.23003734],[5.7229107  4.79146797],[ 0.7054596  -0.31461968],[2.66372622 2.68016891],[-0.36187592 -0.7695897 ],[5.93484301 3.79500026],[0.0547507  0.98178581]
[4.1293895  6.39364587],[0.68950406 0.30969079],[1.04019924 3.74667123],[-0.58161563  0.03487261],[4.70629278 1.51669935],[-0.71949128 -0.39252752],[0.98003629 4.6821857 ],[-0.33971182 -0.57598306],[4.84502724 2.5179699 ],[ 0.59258591 -0.50168044],[1.57121457 3.09943864],[-0.70173917  0.31190544],[3.21605371 5.85571567],[-0.98980509 -0.28007016],[5.79197303 4.7581596 ],[ 0.67728564 -0.34990857],[2.62789931 2.60351586],[-0.35363068 -0.76235305],[5.93735676 3.89352402],[-0.00673684  0.98581779]
[4.19885835 6.42197581],[0.70055863 0.2572783 ],[0.98333095 3.75062079],[-0.55706382  0.04266446],[4.63156001 1.47973163],[-0.77203921 -0.34371254],[0.94807144 4.62178002],[-0.29705355 -0.6300357 ],[4.90322433 2.46801601],[ 0.57623105 -0.49240717],[1.50217454 3.13244404],[-0.68039102  0.34666748],[3.11758087 5.82520092],[-0.97677697 -0.32755687],[5.85816767 4.72131966],[ 0.64586544 -0.387462  ],[2.5933076  2.52800638],[-0.33982165 -0.74949503],[5.9336858  3.99227368],[-0.0681704   0.98720301]
[4.26940427 6.44492709],[0.71161264 0.20267837],[0.92880511 3.75518488],[-0.53086981  0.05106037],[4.55181142 1.44790083],[-0.82229948 -0.29249285],[0.92083082 4.55627352],[-0.25054822 -0.68312816],[4.96001785 2.41926592],[ 0.56050356 -0.48160142],[1.43497275 3.16855425],[-0.66151724  0.3774025 ],[3.02109053 5.79058863],[-0.95642595 -0.36810888],[5.92143719 4.68100266],[ 0.61815476 -0.41998839],[2.56033015 2.45400239],[-0.32382219 -0.73470929],[5.92365963 4.0908101 ],[-0.13197273  0.98335196]
[4.34113486 6.46239797],[0.72356969 0.14708253],[0.87702429 3.76066679],[-0.50791342  0.05520922],[4.467542   1.42165468],[-0.86427676 -0.2339727 ],[0.89869456 4.48581842],[-0.19320333 -0.72715793],[5.01521507 2.37162064],[ 0.54258162 -0.47202504],[1.36988347 3.20788275],[-0.63934332  0.40979126],[2.92631906 5.75156068],[-0.93819298 -0.41180371],[5.98118072 4.63675226],[ 0.57630126 -0.46517278],[2.52883834 2.38135573],[-0.3088715 -0.7210976],[5.90737659 4.18891687],[-0.19429503  0.97749165]
[4.41374531 6.47390409],[0.72738893 0.08149039],[0.82745473 3.76640417],[-0.48279687  0.05999853],[4.37898457 1.40105452],[-0.90377287 -0.17550294],[0.88224026 4.41086073],[-0.13783106 -0.773803  ],[5.06892738 2.32529274],[ 0.53007645 -0.45594946],[1.30747306 3.25082905],[-0.61131092  0.44636178],[2.83349244 5.70823847],[-0.91831912 -0.4547134 ],[6.03696421 4.58829752],[ 0.53619078 -0.50673789],[2.49831657 2.30955412],[-0.30340382 -0.71664881],[5.88474812 4.28614377],[-0.2559713  0.9685977]
[4.48694323 6.47896066],[0.74012078 0.0231307 ],[0.78061428 3.7727641 ],[-0.45397943  0.06698233],[4.28700855 1.38667836],[-0.9350118  -0.11194901],[0.87156135 4.33151598],[-0.07723025 -0.8141546 ],[5.12133534 2.28057895],[ 0.51626084 -0.43996777],[1.24749291 3.29695696],[-0.58438317  0.47972763],[2.74241119 5.66032772],[-0.90161324 -0.50197677],[6.08854993 4.53561632],[ 0.4954406  -0.54652147],[2.46839633 2.23828404],[-0.29800073 -0.71165066],[5.85617288 4.3824782 ],[-0.31488913  0.95784919]
[4.56105073 6.47778835],[ 0.74016781 -0.04852955],[0.73666116 3.77974397],[-0.42476154  0.07265011],[4.19195306 1.37849244],[-0.96800307 -0.05471068],[0.86679733 4.2481197 ],[-0.01455162 -0.84964504],[5.17205607 2.23722126],[ 0.49821237 -0.42693601],[1.19068967 3.34679511],[-0.55249041  0.51582889],[2.65350783 5.60815623],[-0.8779406  -0.54297059],[6.13548229 4.47852456],[ 0.44274493 -0.59519174],[2.43951106 2.16802893],[-0.27977026 -0.69358848],[5.82152064 4.47732612],[-0.37783399  0.93860167]
[4.63512515 6.469369  ],[ 0.74293647 -0.11817369],[0.69516956 3.78672778],[-0.40463461  0.06706868],[4.09374131 1.37584676],[-0.99468476  0.00211656],[0.8681701  4.16123479],[ 0.04202243 -0.88696408],[5.22101052 2.19527463],[ 0.48076004 -0.41189501],[1.13692462 3.39996606],[-0.52248542  0.54745921],[2.56708855 5.5519799 ],[-0.85259305 -0.5826848 ],[6.17718825 4.41679348],[ 0.39048975 -0.63962766],[2.4122221  2.09933803],[-0.26687899 -0.6810852 ],[5.78090243 4.57034485],[-0.43391377  0.92147444]
[4.70965268 6.45419716],[ 0.74710436 -0.18541984],[0.65658667 3.79393087],[-0.36858088  0.07507708],[3.99333209 1.37901527],[-1.01065627  0.06290618],[0.87570643 4.07141369],[ 0.11101108 -0.90619149],[5.26827959 2.15496958],[ 0.46558846 -0.39299083],[1.08606064 3.45606092],[-0.49361058  0.57513744],[2.48302334 5.49162951],[-0.82652805 -0.62213453],[6.21359004 4.35075849],[ 0.33953727 -0.67835402],[2.38604011 2.03172207],[-0.25649176 -0.67090893],[5.73471821 4.66142883],[-0.48990104  0.89920564]
[4.78403188 6.43182431],[ 0.73842445 -0.26375444],[0.62140448 3.80160544],[-0.3342241  0.0788322],[3.89181281 1.38844024],[-1.01681058  0.12738976],[0.88991679 3.97973286],[ 0.17484571 -0.92453793],[5.31409758 2.11670949],[ 0.44848583 -0.37422601],[1.03866498 3.51535211],[-0.45490091  0.60953981],[2.40211876 5.42788852],[-0.79246646 -0.65348893],[6.24440238 4.28059854],[ 0.27780443 -0.72280659],[2.36106662 1.96530409],[-0.24115404 -0.65568614],[5.68294422 4.75004191],[-0.54493516  0.87281534]
