[5.26283612 0.15010231],[ 1.92358535 -3.31195126],[7.04923577 2.62441857],[ 4.82781865 -1.25664924],[9.77940486 3.86871174],[3.03033044 3.61680912],[8.24474542 4.32860766],[-4.81642792 -2.52503867],[0.75096653 1.62020746],[ 2.62130074 -0.90069741],[0.3989878  8.24807149],[ 2.39335689 -2.81026122],[9.90083711 7.4516995 ],[1.13612151 4.49633442],[2.56831028 2.86019255],[-1.55392484  0.26245726],[5.20090981 5.3857102 ],[-1.90480135 -2.57928119],[4.17524410e-03 7.72668216e+00],[-1.6246001   4.53658037]
[6.48201667 2.9523242 ],[-0.43390081  1.13861511],[7.05681857 5.00507493],[-1.05194158  0.52755178],[6.27047172 5.72700945],[-1.10880125 -0.34400105],[3.29835782 4.27618381],[-0.62951139  0.61446809],[5.55196454 4.12371072],[0.57302814 0.9049646 ],[5.03344326 4.47251463],[ 0.91337466 -0.51653395],[6.04972692 6.53562092],[-0.75590181 -0.95373785],[3.840679   5.66289849],[1.12360541 0.15930445],[4.16344046 1.83977834],[ 0.69804535 -0.17355281],[3.83032764 6.74554627],[ 0.80235646 -0.95192611]
[6.4377706  3.06538893],[-0.45098219  1.12265548],[6.95121364 5.05639113],[-1.05778904  0.50105424],[6.16010556 5.69194291],[-1.10046958 -0.35927116],[3.23707227 4.33891632],[-0.59427579  0.64176237],[5.60819121 4.21414241],[0.55430511 0.90638856],[5.12449652 4.42147435],[ 0.90783752 -0.50408885],[5.97473388 6.440198  ],[-0.74188324 -0.95251149],[3.95310273 5.67751756],[1.1253876  0.13409511],[4.23612364 1.82570673],[ 0.75679909 -0.10534203],[3.91010074 6.65054058],[ 0.79364317 -0.94768144]
[6.39212631 3.17712193],[-0.46049175  1.11310368],[6.84528093 5.10529358],[-1.06169196  0.47612847],[6.05064724 5.6554077 ],[-1.089138   -0.37183522],[3.17964982 4.40460635],[-0.55682392  0.66899983],[5.66249806 4.30464597],[0.52947514 0.90134194],[5.21494605 4.37164048],[ 0.90128693 -0.4924727 ],[5.90114725 6.34493688],[-0.72886169 -0.95162602],[4.06557739 5.68962436],[1.12526283 0.10969005],[4.31452113 1.81873313],[ 0.80943363 -0.03431888],[3.98892537 6.55587781],[ 0.778817   -0.94956757]
[6.34582844 3.28809365],[-0.46551308  1.10593442],[6.73859877 5.15129229],[-1.0696263   0.44593101],[5.94235291 5.61765877],[-1.07802405 -0.38441328],[3.12569662 4.47262629],[-0.52224143  0.69100719],[5.71432075 4.39465799],[0.50678091 0.89867458],[5.30483941 4.323077  ],[ 0.8990992 -0.4761948],[5.82880786 6.24974122],[-0.71874461 -0.9529449 ],[4.17776601 5.6991291 ],[1.1200347 0.0821873],[4.3977508  1.81888576],[0.85751297 0.04125659],[4.06636591 6.4611391 ],[ 0.77004983 -0.9451728 ]
[6.29905642 3.3982904 ],[-0.46623218  1.10132335],[6.63168971 5.19480721],[-1.06729827  0.42566792],[5.8351109  5.57858668],[-1.06607674 -0.39623867],[3.07555401 4.54307174],[-0.48274052  0.7153414 ],[5.76424834 4.48476922],[0.49323054 0.90476546],[5.39424737 4.27590138],[ 0.88679837 -0.46962447],[5.75783164 6.15479606],[-0.70278069 -0.94788504],[4.28953988 5.70608265],[1.11350599 0.05518825],[4.48516441 1.82644055],[0.89022921 0.11069231],[4.14302231 6.3669288 ],[ 0.7620684  -0.94007595]
[6.2521317  3.50784292],[-0.47217536  1.08981794],[6.524773   5.23605757],[-1.07038545  0.39987659],[5.72923137 5.53852892],[-1.05467114 -0.40812024],[3.02923243 4.61568824],[-0.44201559  0.73823036],[5.81255186 4.57517768],[0.47206698 0.90259523],[5.48240694 4.22934227],[ 0.87969819 -0.45821972],[5.68802657 6.05995786],[-0.6953396 -0.9507164],[4.40059137 5.71031805],[1.10738706 0.02975692],[4.57573228 1.84124388],[0.92079636 0.18639145],[4.2184309  6.27278797],[ 0.74768649 -0.94113904]
[6.20460534 3.61621752],[-0.47602119  1.07991446],[6.41749763 5.27463053],[-1.07384513  0.37280969],[5.62449625 5.49728695],[-1.04360759 -0.42033649],[2.98719951 4.69066328],[-0.39590314  0.76345959],[5.85892259 4.66554245],[0.45508725 0.90432461],[5.57010756 4.18420365],[ 0.87631166 -0.44249913],[5.61945797 5.96536299],[-0.67547283 -0.94061734],[4.51110383 5.71216902],[1.10281702 0.00759485],[4.66881103 1.86347535],[0.94010611 0.25870065],[4.2925817  6.17873225],[ 0.73414086 -0.94113937]
[6.15658057 3.72345765],[-0.48473267  1.06461618],[6.30971007 5.31027344],[-1.08000461  0.34173808],[5.52091962 5.45486641],[-1.02797616 -0.42800024],[2.94996822 4.7681743 ],[-0.34990478  0.7850707 ],[5.90369728 4.75615005],[0.43905239 0.90633233],[5.65741724 4.14062085],[ 0.86872488 -0.43028116],[5.55275545 5.8716529 ],[-0.65970224 -0.93467526],[4.62093394 5.7116678 ],[ 1.0924663  -0.01888061],[4.76363765 1.89310448],[0.95243935 0.33089701],[4.365535   6.08484398],[ 0.72564978 -0.93590457]
[6.10781959 3.82930439],[-0.48946739  1.05321406],[6.20204982 5.34352689],[-1.07490461  0.32185765],[5.41890202 5.41170474],[-1.01112914 -0.43380408],[2.91736495 4.84770766],[-0.30152946  0.80565536],[5.94650718 4.84657785],[0.41657387 0.90171684],[5.74404948 4.09835962],[ 0.86285835 -0.41592998],[5.48741794 5.77833891],[-0.64719071 -0.93165128],[4.72977693 5.70860019],[ 1.08557514 -0.04105688],[4.85965953 1.93022001],[0.96174747 0.40603336],[4.43735179 5.99119763],[ 0.71032936 -0.93733692]
[6.05884755 3.93422882],[-0.49208108  1.04305949],[6.09502222 5.37495775],[-1.0688039   0.30371593],[5.31869334 5.36813431],[-0.99273312 -0.43707478],[2.88992399 4.92943007],[-0.24752204  0.82791083],[5.98742622 4.93689732],[0.40159402 0.90431712],[5.82992414 4.05737963],[ 0.85617674 -0.40200885],[5.42345612 5.68546753],[-0.6330738  -0.92673157],[4.8379763  5.70344316],[ 1.07965184 -0.06051658],[4.95566951 1.97412387],[0.95676444 0.47077467],[4.50805408 5.89783465],[ 0.70200108 -0.93162859]
[6.00941559 4.03792386],[-0.49553557  1.03177979],[5.98815704 5.40411108],[-1.06729337  0.28055666],[5.21976265 5.32369438],[-0.98468868 -0.45063369],[2.86783393 5.01312306],[-0.19179031  0.84774769],[6.02645436 5.02706177],[0.37920539 0.89925509],[5.91521521 4.01791357],[ 0.84684789 -0.39009879],[5.36079174 5.59298974],[-0.62087148 -0.92339655],[4.94533446 5.69618053],[ 1.06546168 -0.08688805],[5.05121253 2.02468441],[0.94826457 0.534878  ],[4.57768898 5.80481426],[ 0.68970577 -0.92974503]
[5.95941834 4.14026116],[-0.50233972  1.01704897],[5.88132557 5.43080073],[-1.06983546  0.25253618],[5.12215861 5.27841005],[-0.96546505 -0.45294519],[2.85139479 5.0986541 ],[-0.13730572  0.86189541],[6.06339012 5.11686639],[0.35862762 0.89600768],[5.99952538 3.97960106],[ 0.83976857 -0.37567748],[5.29911873 5.50064653],[-0.61039173 -0.92120909],[5.05140355 5.68641656],[ 1.0572003  -0.10689671],[5.14510956 2.08092211],[0.92828511 0.58848119],[4.64611708 5.71201888],[ 0.67931946 -0.92570458]
[5.90892989 4.24130483],[-0.50737731  1.00382926],[5.77430328 5.45468326],[-1.06997601  0.22555483],[5.02658123 5.23305006],[-0.9442883  -0.45225881],[2.8403805  5.18537449],[-0.08232714  0.8725369 ],[6.09817367 5.20625929],[0.33745411 0.89222935],[6.08279001 3.94241164],[ 0.82502856 -0.36863576],[5.23874975 5.40878998],[-0.59833039 -0.91719167],[5.15663566 5.67471693],[ 1.04514719 -0.12915715],[5.23708677 2.14261693],[0.90890307 0.64299708],[4.71380086 5.61992006],[ 0.67352988 -0.91714183]
[5.85811136 4.34118337],[-0.50694495  0.99562441],[5.66761979 5.47619022],[-1.06345748  0.20491944],[4.93286608 5.18754724],[-0.92904557 -0.45678939],[2.83491539 5.27301492],[-0.02231484  0.88415757],[6.13122912 5.29564444],[0.32383733 0.89549253],[6.16511189 3.90647329],[ 0.81937141 -0.35202129],[5.17935695 5.31712889],[-0.5903305  -0.91670266],[5.26071701 5.66088788],[ 1.03909532 -0.14449762],[5.32678974 2.20941338],[0.88505071 0.69265708],[4.78105986 5.5288226 ],[ 0.67205021 -0.90447512]
[5.80732986 4.440189  ],[-0.50966335  0.98346764],[5.56148886 5.49553345],[-1.05736848  0.18383717],[4.84051292 5.14142881],[-0.9161165  -0.46366609],[2.8356224  5.36174282],[0.03684416 0.89013694],[6.1627687 5.3851617],[0.30784274 0.89559826],[6.24654267 3.87190827],[ 0.80883713 -0.3396653 ],[5.12073036 5.22552143],[-0.58046333 -0.91365637],[5.36393053 5.64534899],[ 1.02689869 -0.16440737],[5.41401473 2.28104261],[0.85750268 0.73770007],[4.84803435 5.43884488],[ 0.66768785 -0.89486107]
[5.75658017 4.53825569],[-0.50736448  0.9756981 ],[5.45606837 5.51288161],[-1.05234225  0.16184523],[4.74961197 5.09478444],[-0.90053241 -0.46785916],[2.84234509 5.45095338],[0.09784906 0.89364626],[6.19267922 5.47462779],[0.28996735 0.89322913],[6.32706559 3.83875317],[ 0.80188936 -0.32303755],[5.06341387 5.13455014],[-0.56562368 -0.90551503],[5.46584035 5.62776854],[ 1.0137773  -0.18451764],[5.49827923 2.35689849],[0.8259119  0.77719885],[4.91454565 5.34980276],[ 0.6619057  -0.88662118]
[5.70549202 4.63496724],[-0.5140346   0.95892938],[5.35162546 5.52851876],[-1.03795278  0.1497658 ],[4.66043759 5.04790073],[-0.88452724 -0.47134082],[2.85528994 5.54041808],[0.16244862 0.89635698],[6.22089651 5.56392728],[0.27365272 0.89193105],[6.4068086  3.80722219],[ 0.79371827 -0.3067322 ],[5.00769559 5.044501  ],[-0.5489124  -0.89567288],[5.56665987 5.60845622],[ 1.00307216 -0.20099405],[5.57929153 2.43652273],[0.79471148 0.81527806],[4.98019374 5.26131364],[ 0.65268223 -0.88148949]
[5.6538576  4.73013426],[-0.51578292  0.94719077],[5.24819222 5.54255428],[-1.02985702  0.13181794],[4.57277478 5.00058075],[-0.87032755 -0.47665265],[2.87476504 5.62999571],[0.22798916 0.89544485],[6.24722301 5.65281779],[0.25056274 0.88365944],[6.48568759 3.77731704],[ 0.7861154  -0.28896109],[4.95322835 4.95501952],[-0.53856732 -0.89202168],[5.66620265 5.58734414],[ 0.98766688 -0.22127223],[5.65693392 2.51960724],[0.7599183  0.84779059],[5.04496561 5.17339885],[ 0.64452028 -0.87499776]
[5.6020491  4.82410696],[-0.51795197  0.93464239],[5.14555948 5.55477624],[-1.02135113  0.11411382],[4.48659611 4.9527883 ],[-0.85376527 -0.47972075],[2.90072426 5.71919885],[0.29117071 0.88803507],[6.27103686 5.7407138 ],[0.23008973 0.87863186],[6.56380012 3.74923878],[ 0.77494259 -0.27366392],[4.89959964 4.86573309],[-0.53267986 -0.89226728],[5.76423083 5.56424985],[ 0.97421226 -0.23906432],[5.73130394 2.60604232],[0.72662306 0.87961005],[5.10887201 5.0860977 ],[ 0.63479756 -0.86980013]
[5.55032221 4.91709242],[-0.51617811  0.92541959],[5.04385359 5.56531035],[-1.0149196   0.09429218],[4.40191105 4.90451901],[-0.84029795 -0.48605392],[2.93291066 5.80739191],[0.35052606 0.87335145],[6.29301163 5.82829688],[0.20868447 0.87228237],[6.64074695 3.72268144],[ 0.76276187 -0.25859011],[4.8467579  4.77665069],[-0.5241398  -0.88928886],[5.86055718 5.53904738],[ 0.95707901 -0.26021381],[5.80239059 2.69558932],[0.69639896 0.91212286],[5.17181108 4.99933765],[ 0.62197248 -0.86738891]
[5.49851104 5.00887552],[-0.51835727  0.91190497],[4.94297013 5.57401765],[-1.0067044   0.07586574],[4.31897419 4.85601482],[-0.8206465  -0.48620593],[2.97105797 5.89400052],[0.41190967 0.85786594],[6.31274896 5.91515196],[0.18594663 0.86475156],[6.71655085 3.69774998],[ 0.75399695 -0.2391622 ],[4.79546451 4.68855646],[-0.50351525 -0.87445523],[5.95555707 5.51216329],[ 0.94177772 -0.27846779],[5.87021086 2.7880128 ],[0.65945523 0.93538492],[5.23371077 4.91307943],[ 0.61523498 -0.85855122]
[5.44649779 5.09931029],[-0.52261229  0.89611252],[4.84306727 5.58101938],[-0.99002421  0.06570033],[4.2378909  4.80738503],[-0.80201717 -0.48737352],[3.01503533 5.97862385],[0.46981946 0.83645905],[6.33014386 6.00120178],[0.16265974 0.85689255],[6.79152928 3.67487921],[ 0.74633434 -0.21723514],[4.74575224 4.60144774],[-0.49066367 -0.86764034],[6.04884325 5.48330229],[ 0.92153042 -0.30116658],[5.93452574 2.8828348 ],[0.62725476 0.96092292],[5.2946617  4.82744134],[ 0.60627728 -0.85167252]
[5.3943715  5.18846885],[-0.5212045   0.88565472],[4.7447021  5.58692129],[-0.97961966  0.04999935],[4.15826696 4.75821799],[-0.7879943 -0.4935485],[3.06486501 6.06105549],[0.5283373  0.81346661],[6.34545817 6.08670743],[0.14488373 0.85433526],[6.86572808 3.65426681],[ 0.73743003 -0.19496265],[4.69746935 4.51516362],[-0.47511618 -0.85821827],[6.1402124  5.45228905],[ 0.90606175 -0.31875968],[5.9955056  2.97995669],[0.58839754 0.97717482],[5.35479511 4.74257836],[ 0.59583722 -0.84610976]
[5.34235987 5.27652851],[-0.5201178   0.87436721],[4.64769458 5.59157411],[-0.96386979  0.03985493],[4.08027403 4.70864446],[-0.77078142 -0.49687419],[3.12049813 6.14104263],[0.58323146 0.78504761],[6.35897769 6.17190386],[0.12398981 0.8480327 ],[6.93887921 3.63579946],[ 0.72657877 -0.17315606],[4.65059471 4.42966924],[-0.46094101 -0.85023325],[6.23033429 5.41988026],[ 0.89567013 -0.32988418],[6.05239339 3.07841176],[0.5522946  0.99445126],[5.41422536 4.65862221],[ 0.59443133 -0.83140523]
[5.29017593 5.36316588],[-0.5206114   0.86129441],[4.5516314  5.59456406],[-0.95724058  0.01989483],[4.00426466 4.65899064],[-0.74964083 -0.4964508 ],[3.18148549 6.21799174],[0.63498174 0.75234488],[6.37056286 6.25661119],[0.11003912 0.84822168],[7.01106285 3.61971749],[ 0.71609544 -0.14923138],[4.6052305  4.34505543],[-0.44653809 -0.84218801],[6.31931336 5.38633427],[ 0.8807892  -0.34399596],[6.10599678 3.17878894],[0.518628   1.01146477],[5.47348354 4.57609463],[ 0.58951247 -0.82038006]
[5.23797217 5.44850688],[-0.52125832  0.84769693],[4.45657984 5.59586015],[-0.94328571  0.00655639],[3.93048969 4.60949326],[-0.72629442 -0.49395367],[3.24771712 6.29170286],[0.69175646 0.72397126],[6.3801085 6.3406623],[0.08225433 0.83426221],[7.0823561  3.60628315],[ 0.70758207 -0.12129952],[4.5612414  4.26118035],[-0.43445458 -0.83649344],[6.40643647 5.35103985],[ 0.8633912 -0.3600621],[6.15568845 3.28022705],[0.4771224  1.01894667],[5.53220685 4.49463094],[ 0.58180694 -0.81198341]
[5.18608721 5.53284239],[-0.51794667  0.83742152],[4.36260637 5.59548746],[-0.93881929 -0.01697565],[3.85872429 4.55990466],[-0.71069835 -0.49959118],[3.31939364 6.36232771],[0.74081292 0.68767656],[6.38704987 6.42351563],[0.05806561 0.82427074],[7.15275986 3.59571407],[ 0.702528   -0.08762848],[4.51848319 4.17790309],[-0.42163654 -0.82995465],[6.49229667 5.31467554],[ 0.85346471 -0.36730712],[6.201852   3.38293043],[0.44270948 1.03129936],[5.59003454 4.41390257],[ 0.57685386 -0.80045503]
[5.13478997 5.61636941],[-0.51038845  0.83062325],[4.26942687 5.59303092],[-0.92695729 -0.03446296],[3.78868    4.50988142],[-0.69241663 -0.50318655],[3.39568356 6.42904616],[0.78467275 0.64655663],[6.39147001 6.505269  ],[0.02936917 0.80991245],[7.22227592 3.58826312],[ 0.68719741 -0.06167129],[4.47714758 4.09541806],[-0.40743427 -0.82212285],[6.57677378 5.27726521],[ 0.83556631 -0.38135399],[6.24435944 3.4865594 ],[0.40541337 1.03888192],[5.64764342 4.3346044 ],[ 0.57368667 -0.78715446]
[5.08392682 5.6988654 ],[-0.50762118  0.81848662],[4.17751155 5.5888661 ],[-0.91196318 -0.04949733],[3.7205004  4.45949981],[-0.66933956 -0.50265534],[3.47627593 6.49160507],[0.82646945 0.60419683],[6.39304084 6.58562954],[7.25003159e-04 7.96037710e-01],[7.29008297 3.58333423],[ 0.66841357 -0.03707707],[4.43720667 4.01368919],[-0.39155628 -0.81267661],[6.65925805 5.23827312],[ 0.81489196 -0.3976581 ],[6.28318027 3.59091313],[0.37524584 1.0518478 ],[5.70503149 4.25673489],[ 0.57148692 -0.77281095]
[5.03324494 5.78003751],[-0.50370898  0.80716838],[4.08688711 5.58295392],[-0.89928859 -0.06764463],[3.65466281 4.40917938],[-0.6486817  -0.50512168],[3.5609628  6.54990534],[0.86517849 0.56005063],[6.39174414 6.66461751],[-0.02544037  0.78492611],[7.35660202 3.58158712],[0.6604286 0.0011341],[4.39885498 3.93289184],[-0.37824964 -0.80605304],[6.73950423 5.19749802],[ 0.79075469 -0.41702415],[6.31886705 3.69629788],[0.33929297 1.05644678],[5.76213098 4.18023876],[ 0.56693992 -0.760641  ]
[4.98299305 5.86008989],[-0.49779967  0.79732903],[3.99774549 5.57540696],[-0.88286799 -0.0827057 ],[3.59098001 4.35866278],[-0.62617587 -0.50652277],[3.64951936 6.60387359],[0.90609882 0.51996691],[6.38782803 6.74248526],[-0.05189731  0.77335757],[7.42174075 3.58324004],[0.64391267 0.03394429],[4.36165278 3.85258496],[-0.36560074 -0.79989312],[6.81757482 5.15505457],[ 0.76996933 -0.43242886],[6.35125776 3.80234758],[0.30847056 1.06402597],[5.81863618 4.10483855],[ 0.56429183 -0.7462175 ]
[4.93302777 5.93882958],[-0.49889492  0.78008899],[3.91054121 5.56663496],[-0.86068875 -0.09215798],[3.52929439 4.3077078 ],[-0.60658508 -0.51177686],[3.74172568 6.65351775],[0.93401856 0.46929675],[6.3812127  6.81913182],[-0.08035122  0.75960466],[7.48546253 3.58857679],[0.62988648 0.07274802],[4.32564928 3.77283326],[-0.35335353 -0.79399816],[6.89347909 5.11101825],[ 0.74902289 -0.44725475],[6.38047247 3.9089478 ],[0.27772002 1.06950566],[5.87488352 4.03089819],[ 0.56109433 -0.73212793]
[4.88320729 6.01608676],[-0.49663269  0.76587756],[3.82540017 5.55676102],[-0.84261542 -0.10589041],[3.46949365 4.25610028],[-0.58715781 -0.51825684],[3.83667817 6.69814583],[0.96229942 0.42107086],[6.37208137 6.89471345],[-0.10201623  0.75212896],[7.54753241 3.59773072],[0.61325355 0.11271772],[4.29106489 3.69386333],[-0.33810158 -0.78518559],[6.96700264 5.06525261],[ 0.72163963 -0.46780487],[6.40652323 4.01590739],[0.24625783 1.07226215],[5.93072564 3.95829677],[ 0.55647726 -0.71913469]
[4.83364866 6.09193654],[-0.49374394  0.75185504],[3.74191432 5.54531713],[-0.82740067 -0.1234585 ],[3.41211753 4.20427305],[-0.56223754 -0.52031929],[3.93431028 6.73793305],[0.9882019  0.37314893],[6.36026889 6.96900508],[-0.13276965  0.73513966],[7.60740414 3.61054321],[0.58747683 0.14741562],[4.25811638 3.61587212],[-0.32005241 -0.77386728],[7.03794552 5.01762378],[ 0.69689508 -0.48497532],[6.42972445 4.12332137],[0.21821649 1.07598456],[5.98627878 3.88718247],[ 0.55433509 -0.70335767]
[4.78443363 6.16641464],[-0.48916524  0.73901444],[3.66003133 5.53213372],[-0.80881552 -0.1389174 ],[3.35718717 4.15213423],[-0.53768736 -0.5239552 ],[4.03446901 6.77302579],[1.01227554 0.3266448 ],[6.34548585 7.04169289],[-0.16012467  0.72128657],[7.66522494 3.62756707],[0.57026413 0.19515246],[4.22739146 3.53939492],[-0.29779838 -0.75918466],[7.10659745 4.96851055],[ 0.67315663 -0.50010443],[6.44999405 4.23087455],[0.18803466 1.07557871],[6.04157053 3.81761565],[ 0.54996052 -0.68947065]
[4.73567152 6.23957546],[-0.48314044  0.72703897],[3.57998614 5.51732689],[-0.79360606 -0.15892445],[3.30493544 4.09979014],[-0.51009573 -0.52587888],[4.13656481 6.80315221],[1.02983134 0.27663005],[6.32752518 7.11253568],[-0.19789295  0.69677355],[7.72094999 3.64923927],[0.5455167  0.24032631],[4.19834668 3.46382   ],[-0.28365534 -0.75287988],[7.172604   4.91766237],[ 0.64879196 -0.51486348],[6.46695202 4.33803355],[0.15208028 1.06841512],[6.09659079 3.74962325],[ 0.54905636 -0.67172159]
[4.68754367 6.31153577],[-0.477912    0.71358708],[3.5015884  5.50056235],[-0.77236573 -0.17454545],[3.25529086 4.04702934],[-0.48536558 -0.53212898],[4.24046593 6.82849523],[1.04810453 0.2308647 ],[6.30591483 7.18105681],[-0.23165833  0.67619546],[7.77415496 3.67564047],[0.52023535 0.29018476],[4.17096422 3.38911527],[-0.26446072 -0.74175308],[7.23632484 4.8655503 ],[ 0.62374291 -0.52907956],[6.48070393 4.44482088],[0.12540227 1.06932418],[6.1511415  3.68304921],[ 0.5424112  -0.65922239]
[4.63997203 6.38215058],[-0.47588046  0.69630631],[3.42535776 5.48221808],[-0.75198622 -0.19231085],[3.20808615 3.993533  ],[-0.45875863 -0.5380635 ],[4.34570998 6.84895849],[1.05524272 0.17731149],[6.28105721 7.247615  ],[-0.26824045  0.65212219],[7.82515471 3.70763318],[0.49966363 0.35047286],[4.14556069 3.31555657],[-0.24604273 -0.7319077 ],[7.29772499 4.81226349],[ 0.60068853 -0.54003192],[6.4917417  4.55153803],[0.0963409  1.06578516],[6.20528109 3.61800491],[ 0.54048515 -0.641499  ]
[4.59257154 6.45098328],[-0.47214418  0.68026759],[3.35113984 5.46199188],[-0.73396304 -0.21415844],[3.16374862 3.93956539],[-0.43000699 -0.54357331],[4.45176613 6.86429757],[1.06423964 0.12852169],[6.25250025 7.31169789],[-0.30261031  0.62965943],[7.87352867 3.74537786],[0.46543751 0.40289947],[4.12187799 3.24284657],[-0.22987023 -0.72453348],[7.35643696 4.75756216],[ 0.57386092 -0.55347662],[6.50019635 4.65811808],[0.06907347 1.06195526],[6.25955048 3.55507744],[ 0.54230654 -0.61959014]
[4.545644   6.51827879],[-0.46877113  0.6632037 ],[3.27892447 5.43967551],[-0.70959346 -0.23168923],[3.12247386 3.88514267],[-0.3946811  -0.54438155],[4.55877865 6.87500348],[1.07482711 0.08521532],[6.2201853  7.37316951],[-0.34099531  0.60228423],[7.91862    3.78878894],[0.43644192 0.46622069],[4.10016029 3.17120679],[-0.20504028 -0.70892611],[7.41231894 4.70143737],[ 0.54372939 -0.56884413],[6.50577504 4.76410951],[0.04148399 1.05658123],[6.31380145 3.49416706],[ 0.5438362 -0.597414 ]
[4.49927013 6.58405111],[-0.45870512  0.65210357],[3.20921279 5.41558572],[-0.6862342  -0.25208347],[3.08454344 3.83034786],[-0.3627815  -0.55067311],[4.66653736 6.88126881],[1.07871698 0.03928372],[6.18429596 7.4321053 ],[-0.37777119  0.57520726],[7.96060828 3.83860164],[0.3991252 0.5265935],[4.08042101 3.10059742],[-0.18864622 -0.70215061],[7.46517397 4.64383619],[ 0.51436047 -0.58194695],[6.50857273 4.86947067],[0.01360257 1.04963492],[6.36788168 3.43518239],[ 0.53821704 -0.58172798]
[4.45366945 6.64843589],[-0.45256113  0.63623629],[3.14180436 5.3893044 ],[-0.65969281 -0.27166167],[3.05014661 3.77515875],[-0.32669042 -0.5550031 ],[4.77436198 6.88279306],[ 1.07639616 -0.00978281],[6.14432915 7.48786258],[-0.41992857  0.54128756],[7.99827033 3.89410794],[0.35422263 0.58428783],[4.06305981 3.03137615],[-0.16097295 -0.68480543],[7.51515021 4.58506161],[ 0.48413861 -0.59430601],[6.50861507 4.9741165 ],[-0.01355057  1.04218117],[6.42146408 3.37786823],[ 0.53591241 -0.56196907]
[4.40886487 6.71137294],[-0.4443928   0.62151359],[3.07694844 5.36083948],[-0.63533176 -0.29592624],[3.01964477 3.71970241],[-0.282699   -0.55389344],[4.88164371 6.87921281],[ 1.06870541 -0.06200963],[6.10022546 7.54021648],[-0.46005102  0.50751305],[8.03123698 3.9553913 ],[0.3037174  0.64051547],[4.04820809 2.96358884],[-0.13814539 -0.67306592],[7.56184234 4.52487616],[ 0.44685976 -0.61193592],[6.50584588 5.07786736],[-0.04069936  1.03374187],[6.47496959 3.32272276],[ 0.53443524 -0.5405858 ]
[4.36487477 6.77278976],[-0.43574747  0.60634519],[3.01464004 5.32991998],[-0.6080126  -0.32008364],[2.99349831 3.66417462],[-0.24167029 -0.55848978],[4.98822674 6.87059194],[ 1.06489047 -0.10795941],[6.05198383 7.58895155],[-0.50532597  0.46620392],[8.0588837  4.02219637],[0.24730439 0.6939907 ],[4.03585016 2.89716066],[-0.10747595 -0.65415703],[7.60497651 4.46319819],[ 0.4150562  -0.62209802],[6.5001649  5.18053212],[-0.07119543  1.02121585],[6.5280635  3.26949556],[ 0.52861562 -0.52265359]
[4.32159767 6.83249072],[-0.42843161  0.58890809],[2.9554851 5.2968638],[-0.57513588 -0.34156221],[2.97173031 3.60832686],[-0.19310281 -0.55834823],[5.09455141 6.85767976],[ 1.06190397 -0.14920018],[5.99912693 7.63332584],[-0.55389958  0.41863481],[8.08087017 4.09442963],[0.19072065 0.74900376],[4.02647459 2.83248514],[-0.07972381 -0.63916828],[7.64455223 4.40022789],[ 0.37422836 -0.63913847],[6.49178989 5.28225238],[-0.09460363  1.01458805],[6.58084579 3.21838018],[ 0.5248381 -0.5016993]
[4.27914136 6.89048508],[-0.4220155   0.56952694],[2.89965399 5.26153748],[-0.54251472 -0.36650986],[2.95498359 3.55250237],[-0.14302005 -0.55981367],[5.20043364 6.84070111],[ 1.05611976 -0.18940913],[5.94132569 7.67267327],[-0.59854477  0.37122666],[8.09712623 4.17209475],[0.13172897 0.80127006],[4.02053765 2.76991367],[-0.04259672 -0.61605276],[7.67980207 4.33544149],[ 0.32976472 -0.65714918],[6.48117908 5.38331902],[-0.1173632   1.00670532],[6.63299887 3.16916112],[ 0.51818005 -0.48256806]
[4.23714286 6.94630768],[-0.41716208  0.54755656],[2.84684491 5.22329492],[-0.51304848 -0.39830009],[2.94322521 3.49635921],[-0.09156099 -0.56290561],[5.30549685 6.81962781],[ 1.04519339 -0.23144314],[5.87885403 7.70685667],[-0.64841939  0.3140709 ],[8.10719084 4.25460426],[0.06963186 0.84832788],[4.01798815 2.70927355],[-0.00648188 -0.59501924],[7.71079747 4.26918452],[ 0.28778915 -0.66987698],[6.46781597 5.48307375],[-0.14878607  0.98945662],[6.68471624 3.12214273],[ 0.5161827  -0.45760358]
[4.19598842 7.00023166],[-0.40740275  0.52924796],[2.79702856 5.18172262],[-0.48046483 -0.43093553],[2.93691668 3.44005884],[-0.03329173 -0.56224727],[5.40913816 6.79415023],[ 1.02823333 -0.27713369],[5.81158796 7.73525186],[-0.69627659  0.25347556],[8.11095925 4.34153925],[0.00693784 0.8905652 ],[4.01902245 2.65065719],[ 0.03194056 -0.57273892],[7.73677335 4.20100035],[ 0.23370047 -0.69121117],[6.45180891 5.58156966],[-0.16805829  0.983393  ],[6.73625079 3.07770273],[ 0.51638099 -0.42911817]
[4.15570055 7.05214734],[-0.39995271  0.50726103],[2.75092591 5.1371391 ],[-0.44260524 -0.46238144],[2.93676458 3.38399495],[ 0.0296165  -0.56009598],[5.51121895 6.76435688],[ 1.01205275 -0.31957458],[5.73989538 7.75764278],[-0.73677895  0.1941333 ],[8.10813275 4.43209245],[-0.06122308  0.92159128],[4.02441546 2.59471696],[ 0.07859353 -0.54360991],[7.75768757 4.13121603],[ 0.18187777 -0.70659005],[6.43375143 5.6792274 ],[-0.19263485  0.97015524],[6.7874616  3.03583997],[ 0.50923957 -0.40651703]
