[5.26283612 0.15010231],[ 1.92358535 -3.31195126],[7.04923577 2.62441857],[ 4.82781865 -1.25664924],[9.77940486 3.86871174],[3.03033044 3.61680912],[8.24474542 4.32860766],[-4.81642792 -2.52503867],[0.75096653 1.62020746],[ 2.62130074 -0.90069741],[0.3989878  8.24807149],[ 2.39335689 -2.81026122],[9.90083711 7.4516995 ],[1.13612151 4.49633442],[2.56831028 2.86019255],[-1.55392484  0.26245726],[5.20090981 5.3857102 ],[-1.90480135 -2.57928119],[4.17524410e-03 7.72668216e+00],[-1.6246001   4.53658037]
[ 6.11017773 -0.7619436 ],[ 0.68628643 -0.06276445],[8.42043837 2.42521151],[0.70803816 0.13796112],[10.23402715  5.18658234],[-0.41941789  0.94846855],[6.6792535  3.69563794],[-1.15194419 -0.27685128],[2.34994447 1.53032277],[1.25852668 0.3204064 ],[1.60885191 6.9708101 ],[ 0.98997717 -0.93357496],[9.6782055  8.72588537],[-0.90800603  0.45352394],[1.56400702 3.31072673],[-0.50196219  0.63882542],[4.35316788 4.1506603 ],[-0.52109854 -0.8764026 ],[0.07844635 8.96984027],[0.86438345 0.42811197]
[ 6.17908603 -0.76203759],[0.69410725 0.06437927],[8.4889832  2.44209031],[0.66331961 0.20072543],[10.18602294  5.28009408],[-0.53903183  0.92103086],[6.56445425 3.66945646],[-1.14638674 -0.24925719],[2.47481554 1.56470538],[1.23840878 0.36605886],[1.70810781 6.87833058],[ 0.99458409 -0.91667344],[9.58189381 8.76553838],[-1.01398944  0.34066941],[1.51757084 3.37721157],[-0.42779742  0.68928703],[4.30206527 4.06348378],[-0.50124341 -0.86747934],[0.17120235 9.00694551],[0.99180077 0.31702054]
[ 6.24872407 -0.74900602],[0.69726372 0.19640851],[8.55259081 2.46502011],[0.61035787 0.26021159],[10.12616436  5.37025678],[-0.65678109  0.88093191],[6.45007501 3.6458381 ],[-1.13851684 -0.22041243],[2.59776325 1.60355657],[1.22187059 0.41185182],[1.80734652 6.78703746],[ 0.99316395 -0.90627651],[9.47560137 8.79355175],[-1.10912765  0.21882728],[1.47862162 3.44861912],[-0.34849419  0.74075684],[4.25303632 3.97726365],[-0.48105397 -0.85869356],[0.27627378 9.03320875],[1.10199464 0.20414168]
[ 6.3184568  -0.72248401],[0.69838182 0.33663479],[8.6110809 2.494378 ],[0.56244114 0.33102275],[10.0548314  5.4559113],[-0.76558335  0.83357363],[6.33646918 3.62509026],[-1.13397573 -0.1951252 ],[2.71891318 1.64670865],[1.20149896 0.45113144],[1.90678246 6.69711277],[ 0.99550059 -0.89227504],[9.36122497 8.809827  ],[-1.17540515  0.10688469],[1.44752983 3.52483404],[-0.27218636  0.7837926 ],[4.20613423 3.89200735],[-0.45880054 -0.84832556],[0.39067988 9.04754101],[1.18252589 0.08311053]
[ 6.38809118 -0.68163855],[0.69584029 0.48320111],[8.66479775 2.53120756],[0.51117468 0.40601183],[9.97339491 5.53674685],[-0.86369003  0.77968299],[6.22334816 3.60684275],[-1.1266452  -0.16806215],[2.83804094 1.6936579 ],[1.18283552 0.48918993],[2.0065625  6.60870047],[ 0.99862091 -0.87745017],[9.24098207 8.81487087],[-1.22834296 -0.00729382],[1.4245706  3.60554032],[-0.18647121  0.82970977],[4.1613431 3.8076474],[-0.440201   -0.84203016],[0.5120635  9.04997755],[ 1.24039481 -0.03445094]
[ 6.45676218 -0.62643701],[0.67791357 0.62194325],[8.7128552  2.57539324],[0.45070907 0.47961636],[9.88263762 5.61183109],[-0.94928359  0.72142855],[6.11117773 3.59152485],[-1.11875092 -0.14035616],[2.95552933 1.74453667],[1.16844989 0.52973288],[2.10690044 6.52202717],[ 1.00583487 -0.8582957 ],[9.11661686 8.80901202],[-1.25554344 -0.10768936],[1.41065261 3.69091488],[-0.09111343  0.8771161 ],[4.11803252 3.72355303],[-0.42163094 -0.83551206],[0.6382018  9.04101148],[ 1.27694586 -0.14558803]
[ 6.52316779 -0.55762519],[0.64727519 0.75138941],[8.75452412 2.62698924],[0.38198599 0.55274882],[9.78368002 5.68064793],[-1.0258028   0.65646592],[5.99935858 3.57848232],[-1.11796497 -0.12122949],[3.07135822 1.79918446],[1.14690154 0.56141952],[2.20737074 6.43668613],[ 1.005581   -0.84652525],[8.98992115 8.79311802],[-1.27484    -0.20759786],[1.40619755 3.78050582],[-0.00121939  0.91013697],[4.07686191 3.64037194],[-0.4008741  -0.82720252],[0.76716285 9.02145415],[ 1.29715552 -0.24626533]
[ 6.58589055 -0.47651338],[0.60480428 0.86772896],[8.78906167 2.6860056 ],[0.30630563 0.62606107],[9.67800934 5.74320997],[-1.08699254  0.59330233],[5.88823147 3.56790642],[-1.10751325 -0.09313929],[3.18488298 1.85670355],[1.12430665 0.58918221],[2.30816134 6.35287959],[ 1.00940936 -0.83040741],[8.86211548 8.76781645],[-1.28005392 -0.2975864 ],[1.41089753 3.87315433],[0.09421529 0.94045394],[4.03769349 3.5579393 ],[-0.381014   -0.81999856],[0.89720371 8.99209681],[ 1.3033389  -0.33730688]
[ 6.64425356 -0.38414718],[0.55977942 0.97535511],[8.81583351 2.75245314],[0.22616004 0.70050989],[9.56707497 5.7997445 ],[-1.13010582  0.53753749],[5.77783908 3.55980954],[-1.10140274 -0.07005092],[3.2965845 1.9173341],[1.10781427 0.62125928],[2.40895179 6.27030858],[ 1.00815785 -0.81926546],[8.73421463 8.73383748],[-1.2730501  -0.37672662],[1.42504905 3.96833102],[0.19157061 0.96449857],[4.00039928 3.47611291],[-0.36179493 -0.81346864],[1.02725408 8.95410183],[ 1.29607176 -0.42103544]
[ 6.69718026 -0.28241362],[0.50115162 1.05980011],[8.83427752 2.82620481],[0.13837845 0.77032756],[9.45232759 5.85080905],[-1.16583463  0.4815899 ],[5.66815918 3.55407112],[-1.0904911  -0.04295068],[3.40630298 1.98074659],[1.08678422 0.64684733],[2.51013531 6.18938665],[ 1.01473353 -0.79987029],[8.60749092 8.69252991],[-1.26517523 -0.4527944 ],[1.44883803 4.06541578],[0.28557696 0.97752979],[3.9653354  3.39523059],[-0.34035257 -0.80508146],[1.15662213 8.90866901],[ 1.29104546 -0.48469037]
[ 6.74434421 -0.17273417],[0.44117475 1.13052501],[8.84376536 2.90677695],[0.05016489 0.83926298],[9.33372005 5.89561972],[-1.20458493  0.41517687],[5.55950796 3.55098836],[-1.08154266 -0.01792412],[3.51371852 2.04640149],[1.06475911 0.66913021],[2.61144888 6.10989208],[ 1.01117854 -0.79039345],[8.48187502 8.64401591],[-1.24902532 -0.51877306],[1.4816737 4.163149 ],[0.37140322 0.97673029],[3.93251187 3.31526641],[-0.31870276 -0.79680907],[1.28477912 8.85694372],[ 1.27194095 -0.54790733]
