[8.6386747  4.68458033],[-0.85413114  0.66423702],[5.87009182 2.59510323],[-0.75238589 -0.68761821],[5.15262378 3.14062381],[-0.25771141  1.16723203],[2.00628357 8.06389134],[ 1.05379344 -0.85489892],[ 2.70099384 10.15734246],[-0.65048944 -0.14282694],[3.50725593 3.73256784],[0.75223369 0.91565455],[6.74244613 5.90291542],[ 0.76542529 -0.48215328],[6.22798808 5.72580805],[0.54986782 0.71030632],[ 1.66390541 -0.62765692],[ 1.00742649 -0.1760561 ],[4.23047587 2.37085701],[-0.80245903 -0.45645154]
[8.54923375 4.75010788],[-0.93119005  0.64594568],[5.79360913 2.52905489],[-0.77917594 -0.63534979],[5.12648178 3.25636125],[-0.26541678  1.14766855],[2.11073852 7.97781932],[ 1.03482228 -0.86691623],[ 2.63693758 10.13582393],[-0.63427887 -0.29299019],[3.58243623 3.8233639 ],[0.75302589 0.90202557],[6.81684276 5.85235757],[ 0.72149021 -0.52985423],[6.28160235 5.79613663],[0.52293417 0.69686424],[ 1.76809632 -0.63855375],[ 1.07376399 -0.04212433],[4.15023889 2.32770382],[-0.80297275 -0.4071194 ]
[8.45280865 4.81343567],[-0.99402078  0.62066699],[5.7140977  2.46787142],[-0.81138712 -0.58880178],[5.09994889 3.37060837],[-0.26706933  1.13559609],[2.21338777 7.89066709],[ 1.02042958 -0.87376946],[ 2.57450645 10.09869014],[-0.61211354 -0.4491375 ],[3.65778551 3.9129086 ],[0.75261728 0.88764112],[6.88682073 5.7970659 ],[ 0.67729761 -0.57647061],[6.33241685 5.86505013],[0.49737808 0.6855333 ],[ 1.87807198 -0.6361878 ],[1.12303959 0.08884446],[4.06969787 2.28929736],[-0.80765672 -0.36068825]
[8.35098237 4.8742218 ],[-1.04295232  0.59205101],[5.63170845 2.41167036],[-0.83794621 -0.53689975],[5.07322151 3.48365148],[-0.26818721  1.12461021],[2.3142975  7.80256077],[ 0.99522989 -0.8908608 ],[ 2.51475347 10.04588875],[-0.57909129 -0.60415161],[3.73286014 4.00081104],[0.75010661 0.87174676],[6.9524868  5.73732148],[ 0.63675021 -0.61726481],[6.38081183 5.93299803],[0.47016424 0.67318719],[ 1.99208799 -0.62099578],[1.15690498 0.21626366],[3.98871395 2.25561863],[-0.81185026 -0.31256131]
[8.24462755 4.93179348],[-1.08160557  0.55989485],[5.54677591 2.36075987],[-0.86153129 -0.48224308],[5.04626678 3.59550421],[-0.26959732  1.11374538],[2.41259836 7.71266782],[ 0.97284713 -0.90485955],[2.45887543 9.97785581],[-0.53572478 -0.75392551],[3.80770878 4.08717536],[0.74917471 0.85792898],[7.01386175 5.67339812],[ 0.59121158 -0.66023011],[6.42663418 5.99989831],[0.44332855 0.6619954 ],[ 2.10873259 -0.59332605],[1.17428784 0.33650305],[3.90739719 2.22690507],[-0.81569435 -0.26275671]
[8.13451129 4.98569149],[-1.11735701  0.51989039],[5.45899101 2.31478578],[-0.88958638 -0.43290081],[5.01931483 3.70640281],[-0.2689376  1.1047587],[2.5089697  7.62171286],[ 0.95874559 -0.90997462],[2.40793667 9.89546027],[-0.48001696 -0.88994627],[3.88251757 4.17223071],[0.74936294 0.84560938],[7.07085837 5.60551465],[ 0.548701   -0.69688548],[6.46952462 6.06548137],[0.41422253 0.64955004],[ 2.22636143 -0.55408392],[1.17300558 0.44343028],[3.82573797 2.20327596],[-0.81884252 -0.21100542]
[8.0212984  5.03563552],[-1.14341349  0.48137835],[5.36893946 2.27424942],[-0.90934832 -0.37589247],[4.99258012 3.81652811],[-0.26811509  1.09533812],[2.60376382 7.53011028],[ 0.94033136 -0.91880903],[2.36264019 9.79991964],[-0.41950978 -1.0122191 ],[3.95762626 4.25634797],[0.75066159 0.83465127],[7.12338449 5.53392563],[ 0.50110028 -0.73497557],[6.50998948 6.1303485 ],[0.3928312  0.64564939],[ 2.34334317 -0.5045892 ],[1.16272467 0.54246619],[3.74374218 2.18485344],[-0.81840153 -0.15457066]
[7.90618177 5.08215798],[-1.1582932   0.44916152],[5.27735024 2.23984829],[-0.92451405 -0.31434876],[4.96542098 3.92523802],[-0.27320854  1.08082332],[2.69712547 7.43805865],[ 0.92523055 -0.92382615],[2.32393556 9.69339236],[-0.35445181 -1.1150749 ],[4.03294884 4.339468  ],[0.75331157 0.82532343],[7.17092918 5.45851065],[ 0.44914373 -0.77324329],[6.5473605  6.19392588],[0.35639031 0.62793646],[ 2.45851549 -0.44604432],[1.13927015 0.62643408],[3.661905  2.1722692],[-0.82040015 -0.09908532]
[7.78973088 5.12544553],[-1.16859424  0.41831119],[5.1842175  2.21154896],[-0.93959592 -0.25321719],[4.93836135 4.03309931],[-0.26683979  1.077259  ],[2.78877899 7.3453296 ],[ 0.90827708 -0.93025811],[2.29229266 9.57806237],[-0.27714046 -1.18710035],[4.10825745 4.42139112],[0.75038784 0.8107498 ],[7.21339683 5.37960986],[ 0.3992809  -0.80498932],[6.58132893 6.25604724],[0.3223167  0.61407105],[ 2.57142348 -0.379179  ],[1.11587885 0.70715304],[3.57975677 2.16515094],[-0.8223963  -0.04308994]
[7.6723577  5.16565251],[-1.17746322  0.38684922],[5.0896002  2.18934377],[-0.95268218 -0.19110874],[4.91167361 4.14028754],[-0.26631408  1.06703876],[2.87912932 7.25236942],[ 0.90074729 -0.92688784],[2.26813151 9.45622511],[-0.20759389 -1.24753345],[4.18328723 4.50188963],[0.74840839 0.79749047],[7.25052516 5.2974122 ],[ 0.34050578 -0.84086071],[6.6119646  6.31693378],[0.28992634 0.60341266],[ 2.68154093 -0.30491314],[1.08350805 0.77418485],[3.49771818 2.16396985],[-0.81904751  0.01880322]
