[9.46915779 0.97335189],[-2.96803937  4.09659076],[9.95090706 3.02041397],[4.7247954  0.64373347],[8.51311637 8.15765708],[2.92826626 0.94284277],[1.17450789 1.23762262],[ 2.51328462 -2.77558227],[3.85201147 5.97541656],[-3.58583687  0.3399051 ],[8.75713337 3.3817213 ],[3.08153977 1.1191622 ],[0.95389793 5.79925378],[1.19836801 0.51406408],[9.90130918 2.85296637],[-4.59753447  3.73209598],[7.50375978 9.4013772 ],[ 0.63569462 -3.52513216],[7.45076291 0.97153317],[-4.20927927  3.882177  ]
[9.29200451 1.21742282],[-1.30212491  1.78594133],[10.23793643  3.06118213],[2.08400874 0.3168723 ],[8.73617834 8.22590083],[1.82033701 0.5170509 ],[1.35544319 1.04715033],[ 1.4733547 -1.4431797],[3.59892397 5.99794333],[-1.97450618  0.15636561],[8.98466143 3.46593157],[1.81685248 0.6898545 ],[1.0764672  5.84677829],[1.25344842 0.439779  ],[9.65320889 3.0529071 ],[-1.75397915  1.39877503],[7.54796573 9.14568148],[ 0.33452501 -2.05609974],[7.22061869 1.18606211],[-1.61290198  1.53783623]
[9.17693118 1.37403398],[-1.04168773  1.41240553],[10.41711698  3.09050169],[1.57377097 0.27937791],[8.89877124 8.26834427],[1.47404792 0.34410247],[1.49120032 0.92396143],[ 1.28374713 -1.06290692],[3.42593426 6.00957977],[-1.5420645   0.08295995],[9.14514345 3.52886542],[1.44086204 0.58629018],[1.2038953  5.88705274],[1.29219193 0.36537982],[9.49984941 3.17414599],[-1.37979626  1.07907483],[7.57632105 8.96043363],[ 0.24014349 -1.70704646],[7.0817613  1.32171535],[-1.22866211  1.22906215]
[9.07908825 1.50660476],[-0.9288883   1.25652819],[10.56057666  3.11821148],[1.3165761  0.27710972],[9.03623353 8.29638608],[1.28885035 0.21938722],[1.61629679 0.82950052],[ 1.23012288 -0.84063495],[3.28450358 6.01559146],[-1.30738372  0.03735336],[9.27817843 3.58508619],[1.23533942 0.54331221],[1.33483492 5.920251  ],[1.32533761 0.2999272 ],[9.37042197 3.27416615],[-1.23055495  0.93300002],[7.5973737  8.79840046],[ 0.18283826 -1.55285671],[6.96869153 1.43784835],[-1.05264884  1.1070594 ]
[8.98965596 1.62781844],[-0.86828925  1.17246523],[10.68347088  3.1465936 ],[1.14975961 0.29096119],[9.15855574 8.31265503],[1.16410938 0.106881  ],[1.7390065  0.75427496],[ 1.22838248 -0.67049543],[3.1617182 6.0169563],[-1.15239053 -0.0048555 ],[9.3945532  3.63851214],[1.10085865 0.52934923],[1.46841353 5.94692072],[1.34672001 0.23615486],[9.25181429 3.36306634],[-1.14908591  0.8517289 ],[7.61344559 8.64767021],[ 0.14381736 -1.46619131],[6.86979511 1.54593215],[-0.93267759  1.06125158]
[8.90505971 1.74257212],[-0.82758361  1.12532337],[10.79186486  3.17667133],[1.02214149 0.31069464],[9.27052584 8.31838213],[1.07889359 0.00826711],[1.86272494 0.69468758],[ 1.24669462 -0.52572951],[3.05224062 6.01410959],[-1.03781919 -0.04809309],[9.49922731 3.69120304],[0.99633457 0.52573194],[1.60385953 5.96756038],[1.36117504 0.17748489],[9.13946329 3.44535201],[-1.10333616  0.79579348],[7.62628226 8.50389972],[ 0.11483881 -1.41249639],[6.78083196 1.65073461],[-0.8503016  1.0382134]
[8.82337165 1.85310118],[-0.80896134  1.08628946],[10.88882651  3.20913818],[0.92109014 0.34074289],[9.3749075  8.31439254],[ 1.00942605 -0.0893762 ],[1.98847735 0.64857139],[ 1.26883693 -0.39876541],[2.9533861  6.00724643],[-0.94297438 -0.09043104],[9.59422262 3.74371787],[0.90590876 0.52547551],[1.74031964 5.98240016],[1.36993169 0.12289466],[9.03072066 3.52285456],[-1.07515844  0.75466393],[7.63618929 8.3642226 ],[ 0.08220364 -1.38470868],[6.69896664 1.75385482],[-0.78940428  1.02585442]
[8.74322974 1.96036982],[-0.79394653  1.06122075],[10.97654035  3.24506901],[0.83507065 0.37897266],[9.47252298 8.30028142],[ 0.94340021 -0.19374694],[2.1167039  0.61484798],[ 1.29594056 -0.27647735],[2.86339239 5.99609877],[-0.85756153 -0.13191351],[9.68120538 3.79692885],[0.83418929 0.53856486],[1.87752014 5.99211972],[1.37332861 0.0722047 ],[8.92421677 3.59668684],[-1.05816631  0.7211564 ],[7.64307671 8.22693948],[ 0.05534488 -1.3630068 ],[6.62297551 1.85652657],[-0.73335622  1.0270085 ]
[8.66447077 2.06556749],[-0.78296949  1.04235793],[11.05590245  3.2849416 ],[0.75269587 0.41884349],[9.56395353 8.27579777],[ 0.88724931 -0.29445229],[2.24733832 0.59285264],[ 1.3137372  -0.16716999],[2.78162282 5.98076108],[-0.78148412 -0.17806261],[9.76128276 3.85158783],[0.76842346 0.55543638],[2.01494792 5.9970482 ],[1.37319387 0.02558831],[8.81918335 3.667559  ],[-1.04222281  0.69818107],[7.64724754 8.09137811],[ 0.02830064 -1.34891167],[6.55238886 1.95969865],[-0.67991884  1.03623049]
[8.5866736  2.16908943],[-0.77305935  1.02885263],[11.12702483  3.32882415],[0.67036349 0.45967438],[9.6499442 8.2412896],[ 0.83242156 -0.39586392],[2.37978893 0.58171996],[ 1.33018203 -0.0606923 ],[2.70723638 5.96061409],[-0.70604027 -0.22476303],[9.83508192 3.90820652],[0.70761295 0.57697642],[2.1523621  5.99766058],[ 1.37361219 -0.01366808],[8.71534662 3.73614161],[-1.03049605  0.67856561],[7.64897848 7.95723198],[ 0.0076107  -1.33365264],[6.48658732 2.06358182],[-0.6385064   1.04002063]
