[2.20112512 8.80314036],[-2.58387233 -1.37855659],[1.27192031 1.98453648],[ 2.54682965 -3.67307312],[4.5338199  8.36166362],[4.64657167 2.00858172],[2.87590363 2.63349394],[ 1.64755992 -1.21479314],[2.678272   8.49695422],[1.15801334 3.09408089],[9.86444043 2.3609445 ],[-3.54924906  3.89619633],[3.43969097 9.79997311],[1.93931467 3.65528723],[6.21249773 9.09730433],[-4.55760763  4.08865507],[9.68478375 0.63931794],[3.02072386 2.51257683],[5.62179056 2.70815779],[-1.38402625 -2.31071015]
[4.28219177 5.03497969],[ 1.1231825  -0.20553067],[5.44802165 4.51766112],[0.42083364 1.07133866],[6.77650088 5.27230635],[-0.52969187 -0.92596105],[6.33807075 5.53534906],[0.06416023 1.05173027],[6.13712665 6.7551593 ],[ 0.20080658 -1.11231386],[4.94265833 6.04966382],[-0.83706341  0.51193316],[6.08282703 6.95925982],[-0.04175004 -1.16501921],[3.92128352 6.10661465],[ 0.46076929 -1.03973595],[6.76080911 5.27729973],[-1.03062095  0.55368288],[3.75988604 5.02583192],[0.48960225 1.04303912]
[4.3943523  5.01560604],[ 1.11932504 -0.18252618],[5.48950468 4.62454789],[0.40696559 1.06448647],[6.7222508  5.18083972],[-0.55659742 -0.90475756],[6.34341117 5.64014958],[0.04246512 1.04394502],[6.15611297 6.64414497],[ 0.18037755 -1.10650377],[4.85949139 6.10051875],[-0.82507828  0.50636501],[6.07806939 6.84334043],[-0.05301731 -1.15318429],[3.96873044 6.00375232],[ 0.48648506 -1.01904786],[6.65789415 5.33200589],[-1.02889495  0.53916706],[3.80978511 5.12888151],[0.51279967 1.02252518]
[4.50608169 4.99849513],[ 1.11355401 -0.16140301],[5.52932204 4.73048083],[0.39222093 1.05700845],[6.66560684 5.09177354],[-0.57701046 -0.87747521],[6.34680324 5.74433572],[0.02494962 1.03904964],[6.17241124 6.53310916],[ 0.14652899 -1.11287863],[4.77737337 6.15065487],[-0.81662446  0.49698436],[6.07187471 6.72827647],[-0.06909798 -1.14630728],[4.01845678 5.90272978],[ 0.50540813 -1.00370669],[6.555603   5.38571405],[-1.01894492  0.53310175],[3.86257094 5.23044988],[0.54078779 1.006804  ]
[4.6172498  4.98351212],[ 1.10793363 -0.14023091],[5.56762769 4.83562073],[0.37475948 1.04675454],[6.60652578 5.0050216 ],[-0.60287267 -0.85589088],[6.34833078 5.84784954],[0.00508823 1.03058356],[6.1856449  6.42186674],[ 0.12171264 -1.10847036],[4.69626163 6.19999526],[-0.80402058  0.49140802],[6.06427967 6.61410658],[-0.08368531 -1.13807593],[4.07018768 5.80344124],[ 0.52818339 -0.98293794],[6.45386294 5.4383774 ],[-1.01478438  0.52125224],[3.91791308 5.33022423],[0.56424556 0.98700958]
[4.72758325 4.97034529],[ 1.10034385 -0.12159372],[5.60456278 4.94010936],[0.36436551 1.04324127],[6.54503126 4.92059239],[-0.62753424 -0.83328517],[6.34752362 5.95016021],[-0.0154654   1.02126432],[6.19648623 6.31115298],[ 0.09662761 -1.10421392],[4.61634328 6.24870183],[-0.79437995  0.48263531],[6.05538433 6.50090597],[-0.09588189 -1.12768085],[4.12393432 5.70603358],[ 0.54905542 -0.96272747],[6.35281304 5.49013903],[-1.00789985  0.51227522],[3.97534837 5.42780866],[0.58473893 0.96518294]
[4.83719378 4.95906749],[ 1.09465761 -0.10116256],[5.64062843 5.04435643],[0.3541761  1.03879891],[6.48150953 4.83884861],[-0.64495285 -0.80376534],[6.34498882 6.05179956],[-0.03621347  1.01040619],[6.2053033  6.20132724],[ 0.07788748 -1.09416638],[4.53753427 6.29665747],[-0.7800187   0.47824139],[6.04513171 6.38860406],[-0.1078768  -1.11703102],[4.18017684 5.61109095],[ 0.57260919 -0.93913417],[6.25222433 5.54076609],[-1.00425172  0.49981589],[4.03495858 5.52337565],[0.60768654 0.94646655]
[4.94619171 4.94981637],[ 1.08354269 -0.0858622 ],[5.67525577 5.14773231],[0.3395596 1.0299821],[6.41591862 4.75971606],[-0.66720059 -0.77928251],[6.34004196 6.15201554],[-0.06109115  0.99554365],[6.21222931 6.09245845],[ 0.0578281  -1.08594041],[4.45971744 6.34371315],[-0.77839074  0.46064262],[6.03360871 6.27729608],[-0.11987155 -1.10646832],[4.23831569 5.5181166 ],[ 0.5916177  -0.91869141],[6.15213035 5.59026358],[-0.99813438  0.48962432],[4.096673   5.61690521],[0.62515766 0.92289147]
[5.05421488 4.94220108],[ 1.07741306 -0.06597296],[5.70886728 5.25064663],[0.33089094 1.02638705],[6.34844711 4.68336766],[-0.68469879 -0.75022899],[6.33285424 6.25097935],[-0.08276017  0.98356412],[6.21709446 5.98437323],[ 0.03947142 -1.07592375],[4.38239411 6.38929335],[-0.76945229  0.44949897],[6.02092793 6.16707519],[-0.13181413 -1.09606662],[4.29842937 5.42731992],[ 0.6110338  -0.89665901],[6.05233852 5.63841434],[-0.99899563  0.47194332],[4.16005016 5.70804088],[0.6435815  0.90117722]
[5.16151276 4.93648079],[ 1.06926713 -0.04776593],[5.74122829 5.3528045 ],[0.32044055 1.02082272],[6.27900027 4.60969362],[-0.70450559 -0.72357862],[6.3234275  6.34865185],[-0.10677543  0.96888463],[6.21979003 5.87696854],[ 0.01617208 -1.07036734],[4.30591206 6.43367517],[-0.75869174  0.43957851],[6.00714416 6.05798225],[-0.14091282 -1.0830246 ],[4.36028423 5.33859086],[ 0.62676377 -0.87701837],[5.95301801 5.685329  ],[-0.98750357  0.46639449],[4.22510869 5.79688099],[0.66095151 0.87913658]
[5.26788805 4.93248066],[ 1.05903445 -0.03162582],[5.77267297 5.45449665],[0.30808581 1.0126081 ],[6.2074944 4.5386027],[-0.72570209 -0.6983904 ],[6.31150108 6.44476022],[-0.1346645   0.95036804],[6.22007293 5.77007865],[-0.01084765 -1.06753314],[4.23019727 6.47672262],[-0.74980831  0.42709384],[5.99262646 5.95032299],[-0.1494419  -1.07021923],[4.42385933 5.25203326],[ 0.64349291 -0.85517684],[5.85488914 5.73176897],[-0.97743358  0.46017006],[4.29201227 5.88365296],[0.67756517 0.8568616 ]
[5.37323563 4.93007969],[ 1.04973662 -0.01461987],[5.80286522 5.55534694],[0.29621527 1.004823  ],[6.13381542 4.46997149],[-0.74512976 -0.67155493],[6.29685694 6.53910386],[-0.1600827   0.93455736],[6.21780563 5.66369062],[-0.03286083 -1.05853425],[4.15584856 6.51898425],[-0.73606191  0.41919339],[5.97744868 5.84410727],[-0.15452133 -1.05466032],[4.48866712 5.16728775],[ 0.65378562 -0.83838274],[5.75754516 5.77736988],[-0.96992606  0.45138892],[4.36065794 5.9683039 ],[0.69297039 0.83391746]
[5.4780289  4.92979627],[1.04368597 0.00674102],[5.83196056 5.65549794],[0.28531459 0.99768267],[6.05848055 4.40430627],[-0.76114961 -0.641381  ],[6.27940621 6.63161087],[-0.18620578  0.91820158],[6.2136469  5.55851231],[-0.04884177 -1.0437797 ],[4.0823957  6.55994895],[-0.73221455  0.40069478],[5.96166148 5.73931477],[-0.16014308 -1.04017917],[4.55462517 5.08440715],[ 0.66641451 -0.818005  ],[5.66084271 5.82197394],[-0.96343779  0.44134825],[4.43110659 6.05095   ],[0.71395443 0.81705308]
[5.58192315 4.93138924],[1.03393913 0.02487857],[5.85979563 5.75475589],[0.2706868 0.98683  ],[5.98163061 4.34174396],[-0.77416669 -0.60821305],[6.25942002 6.72254036],[-0.21004281  0.90368318],[6.20793816 5.45481126],[-0.06447417 -1.02934855],[4.00983111 6.59952235],[-0.7177085   0.39211101],[5.94494271 5.63559803],[-0.17566016 -1.03528877],[4.6219106  5.00368285],[ 0.67707188 -0.79854465],[5.56463997 5.86540734],[-0.96125544  0.42654432],[4.50326408 6.13154468],[0.72926393 0.79504719]
[5.68463906 4.93459885],[1.02197985 0.04082276],[5.88606888 5.85285791],[0.2555435  0.97595461],[5.90352184 4.28254909],[-0.78838865 -0.57611775],[6.23741274 6.81232495],[-0.22880361  0.89300353],[6.2003582  5.35225083],[-0.08762896 -1.02220347],[3.93847499 6.63796927],[-0.70754394  0.37860983],[5.92691049 5.53267227],[-0.1852305  -1.02345421],[4.69044585 4.92514245],[ 0.6953606  -0.77041106],[5.46878714 5.90745541],[-0.95583226  0.41433182],[4.57681777 6.20983436],[0.74291653 0.77198936]
[5.78634522 4.93960882],[1.0119086  0.05917533],[5.91084335 5.94989822],[0.23974846 0.96474202],[5.82393465 4.22651043],[-0.80513663 -0.54651088],[6.21331049 6.90076185],[-0.25393957  0.87494351],[6.19057518 5.25057015],[-0.10730331 -1.01063668],[3.868182   6.67507544],[-0.69519441  0.36653888],[5.90767494 5.43071218],[-0.20010161 -1.01621247],[4.7609013  4.84955096],[ 0.71282279 -0.7421885 ],[5.37361209 5.94840273],[-0.94539266  0.40696536],[4.65169566 6.28580644],[0.75409224 0.74703768]
[5.88668542 4.9461032 ],[0.99466465 0.07030475],[5.93409073 6.04589144],[0.22865148 0.95851724],[5.74305715 4.17381779],[-0.81468558 -0.50955938],[6.18670444 6.98737857],[-0.28109887  0.85441344],[6.17891287 5.15015065],[-0.12599463 -0.99777118],[3.79946472 6.71129134],[-0.68085157  0.3559805 ],[5.88696827 5.32955516],[-0.21216679 -1.00503766],[4.83310569 4.77683767],[ 0.73091496 -0.71224867],[5.27939077 5.98853624],[-0.94009086  0.39462327],[4.727592   6.35921247],[0.76497382 0.72234709]
[5.98563477 4.95403441],[0.98253857 0.08660931],[5.95609118 6.1411072 ],[0.21145078 0.94599169],[5.66092192 4.1245299 ],[-0.82887944 -0.47712249],[6.15753165 7.07207134],[-0.30418839  0.83747145],[6.16523334 5.05089996],[-0.14501717 -0.9845712 ],[3.73192371 6.7461526 ],[-0.66987865  0.34120091],[5.865106   5.22958855],[-0.22211072 -0.99128338],[4.90709558 4.70715454],[ 0.74458599 -0.68552074],[5.18574895 6.0274673 ],[-0.9346662   0.38197446],[4.80467285 6.43027235],[0.77918512 0.70152334]
[6.08341961 4.96367202],[0.9757132  0.10887455],[5.9767973  6.23550091],[0.20071667 0.9398119 ],[5.57776    4.07888715],[-0.83492471 -0.43622854],[6.12573441 7.15472528],[-0.33193959  0.81533527],[6.14968479 4.95302406],[-0.16669705 -0.97358825],[3.66549596 6.77950196],[-0.65763968  0.32670361],[5.84249214 5.13123668],[-0.22841341 -0.97410934],[4.98213079 4.63988149],[ 0.75711445 -0.65874887],[5.09287475 6.06533971],[-0.9223051   0.37609166],[4.88290259 6.49900567],[0.78524027 0.67307311]
[6.18033419 4.97542798],[0.9616392  0.12526427],[5.99626203 6.32909385],[0.18748629 0.93095694],[5.49379463 4.03716024],[-0.84357679 -0.39743459],[6.09134906 7.23532121],[-0.35765434  0.79453286],[6.13206982 4.85639498],[-0.185185  -0.9585544],[3.60054108 6.81160655],[-0.64242304  0.31433023],[5.81882875 5.03419319],[-0.24219828 -0.96396679],[5.05834338 4.57527196],[ 0.76694442 -0.63344458],[5.00091463 6.10230686],[-0.91661454  0.36351241],[4.96162744 6.56479969],[0.7900589  0.64370314]
[6.27584047 4.98883946],[0.94973834 0.14435082],[6.01416203 6.42157377],[0.17121146 0.91939253],[5.40884149 3.99920798],[-0.85371328 -0.35986542],[6.05438215 7.31378674],[-0.38187385  0.77441051],[6.11267419 4.76135402],[-0.20453267 -0.94395894],[3.53676036 6.84207354],[-0.63158157  0.29642111],[5.7939791  4.93839426],[-0.25450519 -0.95165429],[5.13524379 4.51295363],[ 0.77265342 -0.6111678 ],[4.90966853 6.13814213],[-0.90843147  0.35307698],[5.0411711  6.62801197],[0.79956394 0.61941073]
[6.37033501 5.00440581],[0.93688764 0.16389283],[6.03049133 6.51296887],[0.15574474 0.90891719],[5.32290335 3.9650515 ],[-0.8672531  -0.32555363],[6.01485215 7.39005037],[-0.40890291  0.75054412],[6.09133169 4.66780288],[-0.22169916 -0.92638954],[3.47451997 6.87115004],[-0.61451629  0.28367239],[5.7679986 4.8439569],[-0.26355996 -0.9354791 ],[5.21304431 4.45325071],[ 0.78262872 -0.58340354],[4.81940503 6.17309235],[-0.89617689  0.34669794],[5.12130846 6.6884547 ],[0.80345731 0.58976909]
[6.46316719 5.02158424],[0.91829517 0.17816279],[6.04589952 6.60391506],[0.15073213 0.90813672],[5.23545202 3.93413269],[-0.88097319 -0.29216553],[5.97264791 7.4639099 ],[-0.43450669  0.72714448],[6.0683989  4.57615173],[-0.23809672 -0.9077299 ],[3.41378467 6.89869027],[-0.59975661  0.26738492],[5.74089008 4.75094317],[-0.2761997  -0.92225455],[5.29158205 4.39612644],[ 0.78658507 -0.56048513],[4.73035338 6.20740653],[-0.88664176  0.33781824],[5.20216576 6.74627545],[0.81563734 0.5687502 ]
[6.5540084  5.04005665],[0.89969456 0.19255319],[6.06032965 6.69427782],[0.14237635 0.90344   ],[5.14691197 3.90681127],[-0.89105514 -0.25560975],[5.92762883 7.53512291],[-0.46478267  0.69805536],[6.04374353 4.48631186],[-0.25714396 -0.89104051],[3.35467406 6.92468462],[-0.58450788  0.25025698],[5.71288703 4.65964298],[-0.28219906 -0.90206058],[5.3707381  4.34157167],[ 0.79569569 -0.53122474],[4.64197735 6.24053426],[-0.88129202  0.32419323],[5.28401172 6.80179667],[0.820004   0.54046598]
[6.64320955 5.0602304 ],[0.8850473  0.21180632],[6.07393785 6.78413919],[0.1289672  0.89296061],[5.05715324 3.88288814],[-0.90155102 -0.22042992],[5.87971105 7.60350128],[-0.4914761   0.67139085],[6.01700329 4.39802243],[-0.27570176 -0.87258012],[3.29722906 6.94903308],[-0.56365177  0.23724205],[5.68419722 4.57028362],[-0.29096716 -0.88448718],[5.45065208 4.2898575 ],[ 0.80241516 -0.50300979],[4.55443952 6.27257854],[-0.87028691  0.3158645 ],[5.36626196 6.85446396],[0.8257885  0.51377036]
[6.73099977 5.08245252],[0.86971998 0.23183745],[6.08609249 6.8728489 ],[0.11166359 0.87886715],[4.9665298  3.86263345],[-0.91097167 -0.1849364 ],[5.82949335 7.66950739],[-0.51225232  0.6490815 ],[5.98832341 4.31155155],[-0.29707635 -0.85582122],[3.24215028 6.97229182],[-0.5391397   0.22653841],[5.65488017 4.48294365],[-0.29397634 -0.86093438],[5.53118293 4.24097632],[ 0.81040236 -0.47218427],[4.46760479 6.30336833],[-0.86552419  0.30072037],[5.44910065 6.90449137],[0.83118104 0.48701974]
[6.81721165 5.10670717],[0.85374434 0.25264947],[6.09645908 6.96012964],[0.0959648  0.86707569],[4.87517469 3.84608884],[-0.91191855 -0.14184785],[5.77719546 7.73319676],[-0.531458    0.62667634],[5.95762325 4.22694271],[-0.31636978 -0.83569175],[3.18928937 6.99416727],[-0.51743271  0.21135882],[5.62465467 4.3973743 ],[-0.31073804 -0.85041594],[5.61279439 4.19554905],[ 0.82149185 -0.43639294],[4.38179019 6.33317258],[-0.85549919  0.29064416],[5.53254631 6.95193025],[0.83689198 0.46100077]
[6.90181815 5.13311275],[0.83599166 0.27328769],[6.10535588 7.04633746],[0.07949118 0.85464961],[4.78397853 3.83411582],[-0.91146033 -0.09708858],[5.7229586  7.79454143],[-0.55440655  0.5988206 ],[5.92497661 4.14439111],[-0.33356771 -0.81218977],[3.13880436 7.01463906],[-0.49665506  0.19337019],[5.59300925 4.31318997],[-0.31922858 -0.83023065],[5.69485096 4.15311435],[ 0.82105064 -0.41071338],[4.29687078 6.36184244],[-0.84283051  0.28280175],[5.61630308 6.99652056],[0.83698678 0.42955276]
[6.98461485 5.16162711],[0.81776536 0.29502621],[6.11254647 7.13126746],[0.0648137  0.84444433],[4.69309199 3.82689598],[-0.90774643 -0.04885161],[5.66623    7.85281953],[-0.58193987  0.56468069],[5.89048415 4.06412599],[-0.35558473 -0.79223077],[3.08988563 7.03267845],[-0.48258212  0.16615312],[5.56066716 4.23120656],[-0.32745492 -0.80920085],[5.77693294 4.1133741 ],[ 0.82252288 -0.3819543 ],[4.21311528 6.38962099],[-0.8335005  0.2714957],[5.70017811 7.03807472],[0.8386026 0.3996501]
[7.06541292 5.19221134],[0.8005812  0.31939289],[6.11790145 7.21482784],[0.04414177 0.82876826],[4.60258379 3.82450026],[-0.89982759  0.00356695],[5.60616133 7.90700209],[-0.61505871  0.52299761],[5.85362298 3.98577979],[-0.37806653 -0.77083206],[3.04280946 7.04829472],[-0.45990587  0.14479412],[5.52700594 4.1508885 ],[-0.34392085 -0.79503826],[5.85933335 4.07676063],[ 0.82443789 -0.35112235],[4.13035692 6.41631256],[-0.82272593  0.26123918],[5.78404984 7.07646921],[0.83958757 0.36903646]
[7.14422158 5.22506313],[0.77423391 0.33647498],[6.12134999 7.29701326],[0.02628359 0.81641788],[4.5126786  3.82716582],[-0.89547869  0.05234015],[5.54335791 7.95748471],[-0.64136425  0.4859218 ],[5.81469124 3.90983656],[-0.40078173 -0.74796958],[2.99787499 7.06150285],[-0.43855254  0.11910634],[5.49195338 4.07231765],[-0.35776353 -0.7767709 ],[5.94175692 4.0431353 ],[ 0.82463198 -0.32052338],[4.04843739 6.44170984],[-0.8151039   0.24719277],[5.86811387 7.11190084],[0.84286492 0.34090257]
[7.22044531 5.25974793],[0.74952128 0.35673985],[6.12310013 7.37805528],[0.00666902 0.80247201],[4.42298425 3.83443449],[-0.89573185  0.09531335],[5.47765901 8.00387009],[-0.66999706  0.44396236],[5.77370227 3.83648661],[-0.42198811 -0.72177556],[2.95544327 7.07234535],[-0.40988519  0.09741333],[5.45545592 3.99558823],[-0.37445847 -0.75978315],[6.02441146 4.01287181],[ 0.82778868 -0.2850332 ],[3.96751078 6.46590672],[-0.80333789  0.2367881 ],[5.95214281 7.14416283],[0.84004886 0.30667022]
[7.29397494 5.29632454],[0.72187972 0.37586598],[6.12297551 7.45780859],[-0.01005098  0.7917441 ],[4.33357813 3.84623274],[-0.89286192  0.13981716],[5.40945794 8.04628709],[-0.69470642  0.40325213],[5.73012125 3.76539401],[-0.45115393 -0.70123819],[2.91561456 7.08057042],[-0.38655697  0.06659575],[5.41716784 3.92053611],[-0.3900498  -0.73977295],[6.10708006 3.98595421],[ 0.82763517 -0.25096291],[3.88764981 6.48893004],[-0.7925862   0.22489173],[6.03633249 7.1734569 ],[0.84104622 0.27656817]
[7.36495688 5.33513529],[0.70046726 0.4034458 ],[6.12097392 7.53629584],[-0.02986936  0.77816871],[4.24483094 3.86276998],[-0.8823718   0.19039241],[5.3388675  8.08457171],[-0.71825918  0.36080947],[5.68360993 3.69647073],[-0.47568265 -0.67351598],[2.87826361 7.08564351],[-0.35943387  0.03518532],[5.37747765 3.847724  ],[-0.40413084 -0.7166024 ],[6.18967478 3.96248367],[ 0.82717683 -0.21515889],[3.80885183 6.51072442],[-0.78233337  0.21194829],[6.12046883 7.19959648],[0.83913529 0.24372016]
[7.43358994 5.37663018],[0.6729628  0.42758894],[6.11684024 7.61329438],[-0.05364946  0.76110328],[4.15723388 3.88440119],[-0.8707665   0.24069754],[5.26556034 8.1180845 ],[-0.74836971  0.30833292],[5.63454991 3.63034079],[-0.50405671 -0.64725351],[2.84371346 7.0874224 ],[-0.32924843  0.00191264],[5.33622802 3.77716944],[-0.42017286 -0.69352328],[6.27214629 3.94263308],[ 0.82259133 -0.1812305 ],[3.73113987 6.53125514],[-0.77139037  0.19910132],[6.20457806 7.22262612],[0.84066622 0.21462778]
[7.49916009 5.42035097],[0.64097623 0.44976362],[6.11026446 7.68855912],[-0.07760655  0.74455624],[4.07089874 3.91107128],[-0.8550474   0.29326405],[5.18960232 8.14651636],[-0.77115687  0.2593472 ],[5.58298881 3.56729748],[-0.53015777 -0.61623131],[2.81236428 7.0857855 ],[-0.29457411 -0.03239501],[5.29331046 3.70895865],[-0.43735217 -0.66953812],[6.35466299 3.92680687],[ 0.82756809 -0.13495449],[3.65447403 6.55042032],[-0.76258377  0.18340425],[6.28848534 7.24240205],[0.84178287 0.18534328]
[7.56162351 5.46652088],[0.60732615 0.47308932],[6.10097771 7.7618936 ],[-0.10836361  0.72202148],[3.98598033 3.94274046],[-0.84559832  0.33730214],[5.11106753 8.1695483 ],[-0.80027158  0.19978462],[5.52867629 3.50734713],[-0.55784041 -0.58413873],[2.78465641 7.08058794],[-0.25897333 -0.07196981],[5.24890242 3.64347673],[-0.45468775 -0.64362507],[6.43716614 3.91525682],[ 0.8225168  -0.09564119],[3.57879506 6.56807525],[-0.74828959  0.17233313],[6.37226834 7.25904206],[0.83491022 0.14855128]
[7.62060086 5.51505018],[0.57189442 0.49762093],[6.08885097 7.83324952],[-0.13499141  0.70435533],[3.90235101 3.97900515],[-0.82853345  0.38598706],[5.03006675 8.18683572],[-0.8223152   0.14266926],[5.47142922 3.45057514],[-0.58641511 -0.55022242],[2.76068829 7.07127036],[-0.22094534 -0.11607648],[5.20231396 3.5802641 ],[-0.47498891 -0.61815681],[6.51888819 3.9074861 ],[ 0.81364354 -0.05771851],[3.50437725 6.58442497],[-0.73884079  0.15576262],[6.45538374 7.27202094],[0.82940182 0.11303058]
[7.67607121 5.56622912],[0.53894683 0.52788469],[6.07385847 7.90266404],[-0.16356757  0.68529462],[3.82066378 4.02023834],[-0.80566418  0.43772561],[4.94662316 8.19792082],[-0.84503715  0.07971092],[5.41142098 3.3974288 ],[-0.61427923 -0.51283677],[2.74040782 7.057048  ],[-0.18231481 -0.1672649 ],[5.15390552 3.5199342 ],[-0.49119932 -0.58608817],[6.59972367 3.90364418],[ 0.80046616 -0.02139488],[3.43100157 6.59916582],[-0.72690079  0.14069479],[6.53822084 7.28174487],[0.82599449 0.08021602]
[7.72784338 5.62020112],[0.49836146 0.5539362 ],[6.05631626 7.97048802],[-0.18843976  0.67002985],[3.74117236 4.06640529],[-0.78317936  0.48602906],[4.86132926 8.20288278],[-0.86205493  0.01755705],[5.34867739 3.34821212],[-0.64080284 -0.47131395],[2.72446173 7.03776906],[-0.13773267 -0.22075594],[5.10376035 3.46282657],[-0.51088158 -0.55482805],[6.67951072 3.90384113],[0.79444239 0.02501326],[3.35940752 6.61296301],[-0.7070067   0.13322713],[6.62043411 7.28792807],[0.81697854 0.04214271]
[7.77585253 5.67724864],[0.46097342 0.58667889],[6.03619292 8.03669124],[-0.21464378  0.65341176],[3.66448744 4.11780381],[-0.75150767  0.54038881],[4.77455985 8.20161055],[-0.87417436 -0.04455198],[5.28319871 3.30320517],[-0.6691575  -0.42882634],[2.71310663 7.01284482],[-0.08880352 -0.2785014 ],[5.05167846 3.40901953],[-0.52955916 -0.51967114],[6.7585486  3.90871768],[0.784936   0.07172754],[3.28914703 6.62532219],[-0.69562579  0.11632598],[6.70194023 7.29050532],[0.81556133 0.01211232]
[7.81998491 5.73760564],[0.42147735 0.62075109],[6.01300211 8.10078973],[-0.2508837   0.62693264],[3.59068303 4.17417752],[-0.72718738  0.58377428],[4.68683145 8.194148  ],[-0.88056511 -0.10545408],[5.21506399 3.26276496],[-0.69570445 -0.38175455],[2.70714012 6.98220994],[-0.02831619 -0.33329351],[4.99766753 3.35881972],[-0.55103842 -0.48422674],[6.83673606 3.91857012],[0.77750785 0.12467772],[3.22009708 6.6360043 ],[-0.68413473  0.09835754],[6.7830468  7.28988586],[ 0.80575851 -0.02519443]
[7.85996402 5.80132958],[0.37314522 0.64928069],[5.98603539 8.16211066],[-0.28911911  0.59883591],[3.51956933 4.23494398],[-0.69581441  0.6301493 ],[4.59837607 8.18028696],[-0.88791585 -0.17186256],[5.14416734 3.22705517],[-0.72133406 -0.33121908],[2.70744426 6.94590456],[ 0.0346403  -0.39370661],[4.94158678 3.3124046 ],[-0.5698176  -0.44281454],[6.91354524 3.93328592],[0.76196865 0.17356422],[3.15245463 6.64509039],[-0.66960731  0.08228413],[6.86265198 7.28501453],[ 0.79003699 -0.06848659]
[7.89459568 5.86757159],[0.31772868 0.67432248],[5.9550085  8.22039335],[-0.33127087  0.56695369],[3.45197176 4.30052343],[-0.65945478  0.6774035 ],[4.50958462 8.15996485],[-0.88748008 -0.23475603],[5.0710193  3.19684235],[-0.74132171 -0.27233591],[2.71436995 6.90353445],[ 0.10287117 -0.45551765],[4.88331704 3.26998944],[-0.59448768 -0.40389093],[6.98908068 3.95339708],[0.74842621 0.22911702],[3.08633952 6.65258301],[-0.65362021  0.06647119],[6.94092612 7.27607467],[ 0.77444343 -0.11119302]
[7.92371283 5.93651531],[0.26196513 0.70235102],[5.91969026 8.27540481],[-0.37315673  0.53510966],[3.387998   4.37059985],[-0.61940702  0.72397808],[4.42102655 8.13335528],[-0.88306227 -0.29731307],[4.99593999 3.17272377],[-0.76039557 -0.20982782],[2.72791439 6.85454862],[ 0.17236207 -0.52013913],[4.82258309 3.23164073],[-0.62028202 -0.36269367],[7.06308399 3.97913366],[0.72750749 0.28218171],[3.02154401 6.65814119],[-0.64159211  0.04514541],[7.01783874 7.26309328],[ 0.76111569 -0.15087548]
[7.94702236 6.00818105],[0.20042501 0.72754843],[5.88068493 8.32769477],[-0.40934701  0.50809486],[3.32801947 4.44509679],[-0.57730551  0.76804424],[4.33294469 8.10035212],[-0.87669203 -0.36132706],[4.91892344 3.15494676],[-0.7833786  -0.14897812],[2.74847483 6.7991029 ],[ 0.24190708 -0.58531444],[4.75926994 3.19757758],[-0.64400509 -0.31609349],[7.13497486 4.01039081],[0.70917265 0.34258892],[2.95778205 6.6613026 ],[-0.63132077  0.02007766],[7.09320532 7.24597608],[ 0.74635338 -0.19107043]
[7.96369973 6.08203788],[0.13664006 0.75337426],[5.83722253 8.37638926],[-0.45637041  0.46908748],[3.27231931 4.52383152],[-0.53599713  0.80657475],[4.24585883 8.06116443],[-0.86389938 -0.42163792],[4.8395235  3.14322249],[-0.80349314 -0.08430443],[2.77620656 6.73750245],[ 0.31422629 -0.6440758 ],[4.69381318 3.16858086],[-0.6673655  -0.26561979],[7.20455756 4.0474621 ],[0.68431501 0.40144059],[2.89557054 6.66238764],[-0.6133042   0.00096529],[7.16656258 7.2243548 ],[ 0.72251594 -0.23947659]
[7.97434281 6.15889326],[0.07516071 0.78261563],[5.78945379 8.42149877],[-0.50264207  0.42912441],[3.22110604 4.60653516],[-0.49121302  0.84374356],[4.16037959 8.01616974],[-0.84566794 -0.47841251],[4.75815599 3.1380356 ],[-0.82149289 -0.01714869],[2.81138189 6.67059845],[ 0.38635836 -0.6951115 ],[4.62629668 3.1450775 ],[-0.68652549 -0.20748938],[7.27161558 4.09063356],[0.65561443 0.46147692],[2.83483573 6.66113895],[-0.60289899 -0.02783347],[7.23768301 7.19809449],[ 0.69769053 -0.28772901]
[7.97828585 6.23814573],[0.0025188  0.80119744],[5.73693055 8.4623722 ],[-0.54618212  0.38954246],[3.1741484  4.69250861],[-0.44539591  0.87752012],[4.07695113 7.96565838],[-0.82543957 -0.53446823],[4.67512338 3.13968219],[-0.83877096  0.05018085],[2.85340449 6.5988026 ],[ 0.45455862 -0.73795651],[4.55653095 3.12720907],[-0.70843324 -0.1491182 ],[7.33558702 4.1398312 ],[0.62492065 0.52426985],[2.7753848  6.65712836],[-0.58907227 -0.05569215],[7.30630831 7.16706126],[ 0.67663397 -0.33073897]
[7.97504272 6.31932722],[-0.06714683  0.82231128],[5.67992856 8.49902066],[-0.59487984  0.34182995],[3.13178216 4.78164166],[-0.40029139  0.90609952],[3.99550902 7.90944594],[-0.80269743 -0.58906575],[4.59017437 3.14776701],[-0.85692129  0.11418255],[2.90215646 6.52335136],[ 0.51618794 -0.77259416],[4.48430397 3.11502903],[-0.73496013 -0.09317054],[7.39608415 4.19513043],[0.58551539 0.58280699],[2.71736537 6.650249  ],[-0.57205668 -0.08301118],[7.37264476 7.13165232],[ 0.64940338 -0.37773081]
