[6.28742588 9.98269911],[-0.31968047  1.34865612],[1.05885636 1.27047917],[ 2.33794576 -1.61383388],[6.25829834 5.96421317],[-2.46707755  0.7888575 ],[7.80675974 7.03350868],[2.34046884 3.45590309],[8.82190584 0.2849306 ],[ 1.00106288 -1.4017015 ],[0.51984698 5.7785209 ],[ 4.8468955  -1.53511972],[8.5974378  4.96560907],[1.9438482  0.01485471],[1.64696609 7.18435817],[3.00614075 0.77737933],[1.78924144 5.73228976],[ 3.93916013 -3.86322731],[7.55468578 6.8199386 ],[0.66881075 3.88652657]
[4.72823662 7.72654537],[ 0.1363578  -1.18847559],[5.21129682 3.85006261],[0.57416259 1.09099668],[2.84482456 6.21122983],[-0.21225498 -0.32933546],[6.13773737 8.19969169],[-0.91333196 -0.73511461],[7.41487165 3.07721352],[-0.62801492  1.14408575],[5.78914668 5.52393216],[1.03179387 0.23709931],[7.87749125 6.57200581],[-1.18231184  0.26133931],[6.44644859 6.14634506],[ 0.86786346 -0.49023178],[6.41801033 4.99898243],[0.88238288 0.51866932],[5.07624768 8.05202999],[-0.72297742 -0.85035821]
[4.7431146  7.60835785],[ 0.15945882 -1.17690893],[5.26793955 3.95903621],[0.55828173 1.08789851],[2.82655874 6.17672717],[-0.15177571 -0.36057448],[6.04777519 8.12496652],[-0.88570976 -0.75885088],[7.35239468 3.19142203],[-0.62366412  1.1379252 ],[5.89169557 5.5481263 ],[1.01965975 0.24722394],[7.75929053 6.59673741],[-1.18204821  0.23293146],[6.53277133 6.09750439],[ 0.85649642 -0.48859602],[6.50528343 5.05205271],[0.86307553 0.54276538],[5.00566037 7.96547315],[-0.68797297 -0.87960478]
[4.75981334 7.4909225 ],[ 0.17498489 -1.17082655],[5.32299563 4.06766865],[0.54583425 1.08753843],[2.81466445 6.13904793],[-0.08490384 -0.39296683],[5.96049707 8.04786952],[-0.85782315 -0.78074741],[7.28998423 3.30465469],[-0.62375509  1.12759996],[5.99290231 5.5732028 ],[1.00452443 0.25419943],[7.64128896 6.61880725],[-1.17959717  0.20680336],[6.6176585  6.04854134],[ 0.8431504  -0.48876804],[6.5906787  5.10760157],[0.84710913 0.57056023],[4.93870661 7.87621956],[-0.65185883 -0.90583795]
[4.77827558 7.37439697],[ 0.19278049 -1.16092429],[5.37680197 4.17619225],[0.52745685 1.08008862],[2.80980051 6.09809444],[-0.01149832 -0.42635657],[5.87584755 7.96849865],[-0.83479356 -0.80601713],[7.22781136 3.4170987 ],[-0.61848848  1.12244255],[6.09306692 5.59945497],[0.99873695 0.27096564],[7.52350592 6.63822765],[-1.17660591  0.18110308],[6.7011291  5.99949417],[ 0.82130936 -0.49722639],[6.67438038 5.16586168],[0.82510823 0.59278103],[4.87529812 7.78437593],[-0.61777336 -0.93206611]
[4.79865934 7.25905288],[ 0.21459599 -1.14619984],[5.42881458 4.28401477],[0.51289829 1.07630108],[2.81269154 6.05385704],[ 0.0689297  -0.45974486],[5.79383997 7.88701033],[-0.80666101 -0.82477501],[7.16639486 3.52921326],[-0.6097584   1.11983874],[6.19226801 5.62704511],[0.9843699  0.27978136],[7.40593417 6.65497243],[-1.17327485  0.15537288],[6.78236529 5.94952622],[ 0.80360067 -0.50197938],[6.75550309 5.22595504],[0.7994267  0.61111729],[4.81523261 7.68995748],[-0.5842386  -0.95654608]
[4.8212245  7.14518624],[ 0.23583511 -1.1319441 ],[5.47926011 4.39131916],[0.49954593 1.07318945],[2.82374685 6.0061041 ],[ 0.15096642 -0.4972005 ],[5.7144815  7.80355003],[-0.78050368 -0.84416564],[7.10572501 3.64091333],[-0.60304399  1.11458669],[6.28995777 5.65541723],[0.97010146 0.28834258],[7.28880584 6.66925286],[-1.16729304  0.13232277],[6.86185422 5.89911025],[ 0.78474932 -0.5077728 ],[6.83414278 5.28796311],[0.77400903 0.62961972],[4.75880085 7.59347636],[-0.54607343 -0.9743653 ]
[4.84573522 7.03259037],[ 0.25322051 -1.12084128],[5.52864246 4.49851855],[0.48796085 1.07050729],[2.84316526 5.95457509],[ 0.23844375 -0.53257854],[5.63777385 7.71825024],[-0.75570896 -0.86364136],[7.04564352 3.75198473],[-0.59896655  1.10650608],[6.38609206 5.68450024],[0.9546119  0.29530239],[7.1722186 6.6811735],[-1.15930673  0.11132677],[6.93939828 5.8480587 ],[ 0.7631554  -0.51628198],[6.91033368 5.35190933],[0.74956209 0.64901207],[4.70609763 7.49522367],[-0.50614496 -0.98852285]
[4.87187542 6.92106192],[ 0.26954496 -1.10963965],[5.57706359 4.60558617],[0.48133198 1.0714123 ],[2.87163955 5.89976606],[ 0.33137398 -0.56293102],[5.56352005 7.63104254],[-0.72775537 -0.87866754],[6.98599808 3.8622719 ],[-0.59535639  1.09795225],[6.48099692 5.71460268],[0.94379024 0.30712069],[7.05669863 6.69132071],[-1.15156449  0.09127287],[7.0148603  5.79623118],[ 0.74426942 -0.52205157],[6.98415222 5.41786413],[0.72455068 0.66776017],[4.65750279 7.39573905],[-0.46464616 -0.99978815]
[4.89959542 6.81064504],[ 0.28477384 -1.09852243],[5.62461041 4.71245966],[0.47039077 1.06666631],[2.90949051 5.84213752],[ 0.42525086 -0.58901139],[5.49264078 7.54295512],[-0.69067435 -0.88379577],[6.92672701 3.97172386],[-0.59152881  1.08957583],[6.57456634 5.74564652],[0.92645342 0.31247817],[6.94206109 6.69958861],[-1.14067927  0.07477943],[7.08839681 5.74380067],[ 0.7267009 -0.5262934],[7.05569126 5.48590865],[0.70294517 0.68977336],[4.61299236 7.29512812],[-0.42549951 -1.0121077 ]
[4.92868627 6.70124367],[ 0.29643729 -1.08981244],[5.67104654 4.81879886],[0.45869314 1.06037743],[2.95683231 5.782342  ],[ 0.52024865 -0.60654784],[5.42492471 7.45384103],[-0.66420585 -0.89881432],[6.86779737 4.0802921 ],[-0.58804891  1.08083345],[6.66628626 5.77707476],[0.91039741 0.31840167],[6.82827692 6.70598308],[-1.13431756  0.05388341],[7.15996071 5.69074272],[ 0.70694062 -0.53247894],[7.12425545 5.55532959],[0.66972024 0.69994992],[4.5720129  7.19300515],[-0.38939094 -1.02529711]
[4.95871348 6.59256961],[ 0.30669447 -1.08084779],[5.71636169 4.92452611],[0.44808266 1.05446952],[3.0135164  5.72117112],[ 0.61137313 -0.61665397],[5.36024538 7.36365046],[-0.63398447 -0.90942138],[6.80910637 4.18788174],[-0.58386005  1.07282167],[6.75696329 5.80967159],[0.9022993  0.33278781],[6.71548307 6.71065508],[-1.12162531  0.03958508],[7.22947787 5.63701064],[ 0.68392115 -0.54164129],[7.18987357 5.62613466],[0.64105242 0.71447935],[4.53496995 7.08996294],[-0.3515993  -1.03540496]
[4.99024841 6.48529531],[ 0.32319366 -1.06551185],[5.76054742 5.02955901],[0.43676471 1.04723496],[3.07878401 5.65915869],[ 0.6901932  -0.62472605],[5.29792823 7.27179586],[-0.6110623  -0.92616285],[6.75099273 4.29480404],[-0.57894445  1.06502763],[6.84624729 5.84313921],[0.8822984  0.33531826],[6.60358352 6.71351844],[-1.11477041  0.01928519],[7.29708506 5.58277004],[ 0.66707909 -0.5442396 ],[7.2521681  5.69793004],[0.60618314 0.72272633],[4.50179037 6.98607434],[-0.31047871 -1.04068564]
[5.02313975 6.37927368],[ 0.33429968 -1.05507482],[5.8037162  5.13395041],[0.42715093 1.04093303],[3.15178729 5.59698485],[ 0.76676096 -0.619054  ],[5.23821066 7.17862598],[-0.58377796 -0.93759734],[6.69351321 4.40106425],[-0.57245523  1.05833179],[6.93375462 5.87705428],[0.86893992 0.34403452],[6.49293697 6.71493999],[-1.10136704  0.00607185],[7.36293682 5.52822208],[ 0.65121329 -0.54539136],[7.31144358 5.77101315],[0.57941188 0.73893662],[4.47270721 6.88168889],[-0.27046853 -1.04601992]
[5.05732964 6.27451513],[ 0.34905908 -1.04051646],[5.84597252 5.23772083],[0.41960211 1.03582775],[3.23207313 5.53582781],[ 0.83528209 -0.60501428],[5.18134425 7.08446567],[-0.55632675 -0.94818912],[6.63633324 4.50630196],[-0.5716831   1.04598859],[7.01992537 5.91185216],[0.85174335 0.34908254],[6.3830942  6.71448015],[-1.0932098  -0.01311955],[7.42705261 5.47343509],[ 0.63075054 -0.55064439],[7.36788249 5.84554547],[0.54969939 0.75197911],[4.44763412 6.77684025],[-0.23137344 -1.05103826]
[5.09312552 6.17133783],[ 0.36449924 -1.02535728],[5.88754336 5.34098954],[0.41248297 1.03000806],[3.31851814 5.47616583],[ 0.89385369 -0.58544717],[5.12747488 6.98953141],[-0.5200782  -0.94953231],[6.57957175 4.61064525],[-0.56653493  1.03778612],[7.10440703 5.94716822],[0.83861933 0.35796671],[6.2741782  6.71217782],[-1.08473149 -0.03256374],[7.48905782 5.41808109],[ 0.60998905 -0.55573903],[7.42125406 5.92127705],[0.51740556 0.76226983],[4.42636511 6.67146526],[-0.19352055 -1.05565089]
[5.13021096 6.06944555],[ 0.37809998 -1.0114919 ],[5.92820346 5.44344064],[0.40182323 1.02001084],[3.41020126 5.41855127],[ 0.94026825 -0.56426898],[5.07695218 6.89417768],[-0.49132984 -0.95835539],[6.52354754 4.7143635 ],[-0.55527729  1.03507714],[7.1876485  5.98346153],[0.82347103 0.36516668],[6.16643318 6.70824113],[-1.07294897 -0.04885601],[7.5492045  5.36246144],[ 0.59306538 -0.55645118],[7.4715434  5.99817485],[0.48629807 0.77353992],[4.40890521 6.56573044],[-0.15552023 -1.05851462]
[5.16855431 5.96886348],[ 0.390196   -0.99862169],[5.96804546 5.54511404],[0.39818299 1.01628177],[3.50606679 5.36319332],[ 0.97574825 -0.54253257],[5.02922095 6.79789891],[-0.46180811 -0.96568735],[6.46816384 4.81729588],[-0.55349999  1.02257722],[7.26910646 6.02019776],[0.80564013 0.36946512],[6.05957517 6.70235238],[-1.06447774 -0.06941376],[7.60750449 5.30664542],[ 0.57237761 -0.56034404],[7.5188231  6.07628635],[0.45682563 0.78611992],[4.39543642 6.45996789],[-0.11392961 -1.05660663]
[5.20813058 5.86961373],[ 0.39972543 -0.98782659],[6.00767125 5.64646954],[0.3933556  1.00974249],[3.60492524 5.3099116 ],[ 1.00446277 -0.51873067],[4.984572   6.70102952],[-0.43360063 -0.9739945 ],[6.41305474 4.91909284],[-0.54441383  1.01748811],[7.34888528 6.05746121],[0.79287906 0.37877959],[5.95350423 6.69428075],[-1.05679527 -0.09207333],[7.66375396 5.25048881],[ 0.55066428 -0.56464589],[7.56284959 6.1553379 ],[0.42393889 0.79508319],[4.38620861 6.35451678],[-0.07458399 -1.05620884]
[5.24883861 5.77165667],[ 0.41347272 -0.97225103],[6.04658372 5.74690409],[0.38311547 0.9971621 ],[3.70702318 5.25979386],[ 1.03447154 -0.48548623],[4.94284999 6.60347196],[-0.40074562 -0.97708398],[6.35900383 5.02048   ],[-0.53648017  1.01031824],[7.42733433 6.09562207],[0.77888652 0.38721274],[5.84834215 6.68402146],[-1.04737011 -0.11416582],[7.7172769  5.19338146],[ 0.52296981 -0.57421609],[7.60333466 6.23503171],[0.38726016 0.80024626],[4.38129288 6.24952123],[-0.02860354 -1.04843652]
[5.29078537 5.67513692],[ 0.42571489 -0.95781598],[6.08440691 5.84601564],[0.37205569 0.98377372],[3.8118899  5.21311221],[ 1.05789916 -0.45219752],[4.90387259 6.50510086],[-0.3746879  -0.98606876],[6.30583313 5.12121062],[-0.53059005  1.0006029 ],[7.50452986 6.13479746],[0.76164712 0.3928581 ],[5.74423008 6.67161135],[-1.03578611 -0.13511247],[7.7680894  5.13541677],[ 0.49363186 -0.58459257],[7.6402916  6.31538064],[0.35287649 0.80761941],[4.38021984 6.14462609],[ 0.00799158 -1.04818849]
[5.33394802 5.58007206],[ 0.43739081 -0.94356362],[6.12109566 5.94375922],[0.36307406 0.97249628],[3.91852935 5.16942329],[ 1.07215203 -0.42375837],[4.86768427 6.40605512],[-0.34685191 -0.99243966],[6.25289799 5.22063409],[-0.5250812   0.99087673],[7.58004569 6.17458425],[0.74669003 0.40090777],[5.64151116 6.65731198],[-1.01893354 -0.15124491],[7.81641148 5.07690302],[ 0.47167637 -0.58668843],[7.67409211 6.39672415],[0.32315882 0.81909384],[4.38297057 6.04001477],[ 0.04910028 -1.04162654]
[5.37831462 5.48649226],[ 0.45089983 -0.92709108],[6.15709646 6.04055754],[0.35554016 0.96195797],[4.0264846  5.12862922],[ 1.08704749 -0.39152423],[4.8346582  6.30677396],[-0.31202133 -0.99159618],[6.20070065 5.31924948],[-0.52016052  0.98013903],[7.65368132 6.21479415],[0.72720216 0.40446125],[5.54024854 6.641146  ],[-1.00398045 -0.16978214],[7.86230565 5.01799469],[ 0.44786063 -0.58967943],[7.70447202 6.47874036],[0.28503444 0.82177579],[4.38964409 5.93594801],[ 0.08591901 -1.03778827]
[5.424347   5.39486763],[ 0.46894203 -0.90620748],[6.19216176 6.13610345],[0.34539788 0.94853888],[4.13558636 5.09085701],[ 1.09715626 -0.36147241],[4.80493445 6.20739111],[-0.28086098 -0.99433737],[6.14900245 5.41679631],[-0.51151589  0.97302606],[7.72540594 6.2554006 ],[0.71035323 0.4107427 ],[5.44059387 6.6232201 ],[-0.98869645 -0.18838553],[7.90544751 4.95847063],[ 0.41565362 -0.59992173],[7.73116266 6.56114453],[0.25274293 0.83008577],[4.4002669  5.83260985],[ 0.12594243 -1.0292324 ]
[5.47175121 5.30490888],[ 0.47711254 -0.89481234],[6.22623732 6.23032236],[0.33766284 0.93731989],[4.24568405 5.05618735],[ 1.10484908 -0.33162175],[4.77852935 6.10794732],[-0.24715533 -0.99440247],[6.09841114 5.51383091],[-0.501732    0.96620028],[7.79537093 6.29657558],[0.68798615 0.41178151],[5.34269675 6.60364338],[-0.96962715 -0.20352412],[7.94506258 4.89769007],[ 0.37919356 -0.61288279],[7.75461639 6.6443231 ],[0.2157084  0.83277826],[4.41447381 5.72981602],[ 0.15981812 -1.02460763]
[5.51983748 5.21601212],[ 0.48671263 -0.88091804],[6.2599926  6.32382461],[0.33885699 0.93382988],[4.35636681 5.02438313],[ 1.11038231 -0.30260901],[4.7554849  6.00849635],[-0.2129841  -0.99383386],[6.04883226 5.61018835],[-0.4909409   0.95979738],[7.86346239 6.33822823],[0.67161334 0.4190852 ],[5.24652946 6.58235277],[-0.95487635 -0.22355462],[7.98156761 4.8362267 ],[ 0.35147228 -0.61562287],[7.77443303 6.72781453],[0.18004894 0.83633231],[4.43248163 5.62799277],[ 0.20127826 -1.01076553]
[5.56925623 5.12889011],[ 0.49712216 -0.8659361 ],[6.29350105 6.41654379],[0.33261475 0.92172898],[4.46742973 4.99535555],[ 1.11394676 -0.27463994],[4.73611709 5.90935096],[-0.1740222  -0.98874692],[6.00017433 5.70572656],[-0.48132661  0.95182536],[7.92985741 6.38057347],[0.65539415 0.42699093],[5.15180227 6.55896383],[-0.93817156 -0.24291138],[8.01516322 4.774424  ],[ 0.3181152  -0.62250995],[7.79053038 6.8114798 ],[0.14202642 0.83697456],[4.45428246 5.52727116],[ 0.23567633 -1.00229925]
[5.61951287 5.04310274],[ 0.50863749 -0.84908528],[6.32620858 6.5078566 ],[0.32507354 0.90802528],[4.57891721 4.96925146],[ 1.11705646 -0.24600681],[4.72036977 5.81043428],[-0.13825122 -0.9868181 ],[5.95241042 5.80038061],[-0.47370109  0.94152922],[7.99428042 6.42338014],[0.6321088  0.42821563],[5.0586709  6.53349956],[-0.92097199 -0.26298743],[8.04534175 4.71194268],[ 0.28415606 -0.62814224],[7.80310828 6.8954469 ],[0.10628128 0.8389226 ],[4.47990321 5.42786459],[ 0.27455524 -0.98776234]
[5.67091199 4.95901406],[ 0.52082709 -0.83113422],[6.35827801 6.59788676],[0.31614865 0.89239007],[4.69088778 4.94624322],[ 1.12256357 -0.21361498],[4.70798942 5.71152669],[-0.10912392 -0.99087555],[5.90552034 5.89410231],[-0.46642694  0.93056076],[8.05666105 6.46661474],[0.6154144  0.43646532],[4.96757743 6.50631077],[-0.90092629 -0.28093807],[8.0722998  4.64916622],[ 0.25445714 -0.62767706],[7.81161172 6.97908245],[0.06309855 0.83306777],[4.5091559  5.32975101],[ 0.31188317 -0.9728495 ]
[5.72340841 4.87662247],[ 0.52993342 -0.8157812 ],[6.38989014 6.68675823],[0.31520045 0.88394928],[4.80336062 4.92650949],[ 1.12519789 -0.18260506],[4.69864214 5.61239812],[-0.07951958 -0.99310892],[5.85897789 5.98635558],[-0.46489129  0.9141403 ],[8.11703664 6.51036597],[0.59472668 0.44126622],[4.87853098 6.47731955],[-0.8792446  -0.29820687],[8.09620762 4.58644585],[ 0.22281588 -0.62733584],[7.81561045 7.06194662],[0.01888965 0.82617379],[4.54202085 5.23310206],[ 0.34818964 -0.95706917]
[5.77691822 4.79589986],[ 0.54334931 -0.79556706],[6.42176797 6.77506658],[0.31939686 0.87897429],[4.91557929 4.90935976],[ 1.12133081 -0.15829676],[4.69241265 5.51327353],[-0.04516914 -0.9894316 ],[5.81289403 6.07728058],[-0.4575304   0.90350283],[8.17556208 6.55484919],[0.57487524 0.44758008],[4.79142324 6.44631624],[-0.86341195 -0.32265157],[8.11651913 4.52343463],[ 0.18178389 -0.63409685],[7.81530777 7.14421285],[-0.02658813  0.81745679],[4.57849223 5.13809195],[ 0.38132939 -0.94259218]
[5.8314944  4.71694319],[ 0.54872643 -0.78286603],[6.453796   6.86253426],[0.31878676 0.86780967],[5.02750371 4.89472857],[ 1.11967372 -0.13187153],[4.68951024 5.41445151],[-0.00902966 -0.98314124],[5.76760094 6.16717245],[-0.44919542  0.89337924],[8.23166454 6.59955722],[0.54700274 0.44648636],[4.70603288 6.41290846],[-0.84492554 -0.34628992],[8.1325508 4.4597127],[ 0.13791778 -0.64080145],[7.81081598 7.22592946],[-0.06641757  0.81342874],[4.6181743  5.04454355],[ 0.41378121 -0.92647698]
[5.88672667 4.63941503],[ 0.55647334 -0.76704138],[6.48561617 6.94869341],[0.31605645 0.8536854 ],[5.13936874 4.88287586],[ 1.11709087 -0.10572278],[4.69068197 5.31669767],[ 0.03010782 -0.97425713],[5.7232567  6.25613953],[-0.43881329  0.88468355],[8.28463215 6.64383807],[0.51539793 0.44227047],[4.62278539 6.37735042],[-0.82003304 -0.36506673],[8.14421581 4.39549228],[ 0.09423315 -0.64424108],[7.80196909 7.3068151 ],[-0.11207938  0.80259251],[4.66143501 4.95303458],[ 0.45149267 -0.90340348]
[5.94301967 4.56378232],[ 0.56841848 -0.74651864],[6.51717907 7.03341921],[0.31429409 0.83976883],[5.2506873  4.87332949],[ 1.11274563 -0.08172901],[4.69565589 5.21973565],[ 0.06794753 -0.96624844],[5.68003436 6.34428129],[-0.4277948   0.87588137],[8.33498322 6.68828243],[0.48967521 0.44479824],[4.54220845 6.34003451],[-0.79376435 -0.38368874],[8.15134457 4.33092375],[ 0.04718663 -0.6477051 ],[7.78841197 7.38643649],[-0.15718186  0.79147919],[4.70803184 4.8634902 ],[ 0.48197379 -0.88553294]
[6.00046871 4.49018809],[ 0.58054682 -0.72530623],[6.54868198 7.11682052],[0.31384331 0.82617907],[5.36213321 4.86680201],[ 1.1156434  -0.04907918],[4.70438372 5.12357949],[ 0.10474822 -0.9585701 ],[5.63792812 6.43152195],[-0.41519236  0.86799067],[8.38255608 6.73282276],[0.45937427 0.44374492],[4.46434019 6.3008649 ],[-0.76491655 -0.40122502],[8.15379287 4.26621281],[ 0.00206131 -0.64568277],[7.77049608 7.46502129],[-0.20286448  0.77821109],[4.7581455  4.77629962],[ 0.52039215 -0.85792894]
[6.05906604 4.41867883],[ 0.5931908 -0.7030041],[6.57970397 7.19839547],[0.30544342 0.8041457 ],[5.47329927 4.86301162],[ 1.10913183 -0.02531762],[4.71697827 5.02841366],[ 0.14552385 -0.94621337],[5.59689997 6.51776116],[-0.40508342  0.85701306],[8.42714994 6.7773644 ],[0.43053041 0.44528979],[4.38897091 6.25946484],[-0.74032376 -0.42497148],[8.15150905 4.20166724],[-0.04631978 -0.643202  ],[7.74766096 7.54186403],[-0.25261856  0.75961806],[4.81217447 4.69201882],[ 0.55867455 -0.8288751 ]
[6.11898414 4.34948521],[ 0.60599867 -0.67993991],[6.60987384 7.27774854],[0.29937555 0.78428618],[5.58366402 4.86142645],[ 1.09950589 -0.005267  ],[4.73346748 4.9343478 ],[ 0.18735597 -0.93193652],[5.55690481 6.60289719],[-0.39571891  0.84475967],[8.46900159 6.82226636],[0.40569126 0.45212966],[4.31620163 6.21572304],[-0.71478799 -0.44991396],[8.14444288 4.13761813],[-0.09730339 -0.63946656],[7.72006482 7.61697887],[-0.29944003  0.7421447 ],[4.87001375 4.61072205],[ 0.59987245 -0.79497347]
[6.18021491 4.28266382],[ 0.61902445 -0.65595983],[6.63961381 7.35526416],[0.2982856  0.76871051],[5.69344529 4.86222244],[1.09197858 0.01698247],[4.75423593 4.84182065],[ 0.22615821 -0.92017416],[5.51772877 6.68667219],[-0.38772788  0.8308113 ],[8.50817999 6.86773255],[0.37697778 0.45650977],[4.24596227 6.16934536],[-0.69012429 -0.47812442],[8.13203668 4.07391645],[-0.15166614 -0.6347195 ],[7.68783674 7.69028461],[-0.34641246  0.72224686],[4.93130502 4.53225519],[ 0.62429472 -0.77554734]
[6.24290656 4.21843786],[ 0.6354273  -0.62781032],[6.66941537 7.43133009],[0.29691398 0.75163703],[5.80200018 4.86471453],[1.08078445 0.03429113],[4.77873853 4.75040529],[ 0.26554848 -0.9062143 ],[5.4793817  6.76906659],[-0.37805623  0.81814227],[8.5443756  6.91360242],[0.3454455  0.45963786],[4.17828465 6.12011594],[-0.66346164 -0.50687471],[8.11436852 4.01108467],[-0.20419794 -0.6237509 ],[7.65075725 7.76132532],[-0.39655898  0.69674284],[4.9954839 4.4563084],[ 0.65922353 -0.74306209]
[6.30696387 4.15679683],[ 0.64622906 -0.60435685],[6.69907017 7.50562982],[0.29695983 0.73495922],[5.90985019 4.86934294],[1.07350478 0.05562832],[4.80724267 4.66051261],[ 0.30436377 -0.89148821],[5.44229367 6.8504407 ],[-0.36742459  0.80557761],[8.57738857 6.9598408 ],[0.3133985  0.46397785],[4.11349215 6.06810228],[-0.63185782 -0.53322206],[8.09150591 3.94963045],[-0.25228312 -0.60393406],[7.60864391 7.82966459],[-0.44662902  0.6685995 ],[5.06294421 4.38351745],[ 0.6887081  -0.71361815]
[6.37193631 4.09738346],[ 0.65561344 -0.58136445],[6.72846229 7.57794489],[0.29360138 0.7139155 ],[6.01679693 4.87591999],[1.0659006  0.07642528],[4.83972224 4.57226674],[ 0.34548159 -0.87289945],[5.40571588 6.93000143],[-0.35914372  0.79052993],[8.60707136 7.00647983],[0.27583883 0.46468546],[4.05214933 6.01361748],[-0.59581014 -0.55764962],[8.06302688 3.88957704],[-0.31557278 -0.59464547],[7.5612408  7.89475637],[-0.49921994  0.63485736],[5.13325855 4.31370193],[ 0.72014769 -0.67970574]
[6.43825438 4.04073046],[ 0.6688961  -0.55337742],[6.75795319 7.64852817],[0.29695326 0.69826377],[6.12294596 4.88455249],[1.05756664 0.09664357],[4.87664835 4.48627709],[ 0.39152168 -0.84817581],[5.37059338 7.00863306],[-0.34239943  0.78282763],[8.63266706 7.05296786],[0.23566571 0.46499158],[3.99413226 5.95627928],[-0.56189315 -0.58685752],[8.02848658 3.83096435],[-0.37684358 -0.57849731],[7.50850676 7.95622324],[-0.55523517  0.59403985],[5.20702417 4.24771548],[ 0.7520182  -0.64271499]
[6.50604502 3.98708144],[ 0.68476262 -0.52154022],[6.7877802  7.71747494],[0.30382075 0.68458937],[6.22831199 4.8952676 ],[1.05117172 0.11909611],[4.91790021 4.40256285],[ 0.43589776 -0.82340684],[5.33704562 7.08633452],[-0.32930744  0.77029809],[8.65448578 7.09983871],[0.1991133  0.47115451],[3.93997525 5.89635379],[-0.52227045 -0.6130643 ],[7.98764953 3.77403438],[-0.43943847 -0.55897395],[7.45032882 8.01355877],[-0.60794257  0.55227354],[5.28349969 4.18508321],[ 0.77821845 -0.60877995]
[6.57518105 3.93644294],[ 0.69632518 -0.49264849],[6.81842756 7.78508657],[0.30756973 0.66587159],[6.33309826 4.90832895],[1.04552103 0.14313987],[4.96348849 4.32131896],[ 0.47665207 -0.80026877],[5.3049452  7.16286839],[-0.31563549  0.75732507],[8.67220433 7.14699829],[0.15369315 0.47086188],[3.88973223 5.83362438],[-0.48023322 -0.63956456],[7.9404979  3.71922124],[-0.50057215 -0.53367999],[7.38733766 8.06693758],[-0.65202802  0.51431027],[5.36262767 4.12601021],[ 0.80399731 -0.57257791]
[6.64554229 3.88883266],[ 0.71203888 -0.45815044],[6.84932398 7.85062446],[0.30861059 0.64290477],[6.43695904 4.92345493],[1.03066712 0.15819405],[5.01288565 4.24224929],[ 0.51058367 -0.78131996],[5.27452896 7.23836637],[-0.29365479  0.75141056],[8.68516726 7.19404873],[0.10518068 0.47017481],[3.84397585 5.76838847],[-0.43390658 -0.66457039],[7.88697366 3.66687053],[-0.56614898 -0.50909448],[7.31994304 8.11627089],[-0.69855021  0.46874754],[5.44418231 4.07054088],[ 0.82430135 -0.53920364]
[6.71754909 3.84483865],[ 0.72742675 -0.42212081],[6.88036484 7.9138291 ],[0.31062862 0.61935029],[6.53915659 4.93985053],[1.01538801 0.1716196 ],[5.06609553 4.1656348 ],[ 0.55402272 -0.7501671 ],[5.24611873 7.31300362],[-0.27368544  0.74196167],[8.6931427  7.24103376],[0.05375764 0.46935108],[3.80320948 5.7008653 ],[-0.38048523 -0.68539309],[7.82748815 3.61773334],[-0.62497809 -0.47472097],[7.24805059 8.16092144],[-0.74048806  0.42214287],[5.52795078 4.01871815],[ 0.85089173 -0.49691816]
[6.79072328 3.80416552],[ 0.73689721 -0.39026424],[6.91151841 7.97450789],[0.3140563  0.59553367],[6.63975373 4.95747109],[0.99912968 0.18315247],[5.12332037 4.09193768],[ 0.59262071 -0.72115439],[5.21988404 7.38679182],[-0.25323411  0.73133509],[8.69539798 7.28750437],[-0.00675193  0.46241691],[3.76752418 5.63085594],[-0.33317534 -0.71504042],[7.76207128 3.57210115],[-0.68390542 -0.43829618],[7.17185408 8.2005032 ],[-0.78165827  0.3702683 ],[5.61456085 3.97147378],[ 0.87901722 -0.44974274]
[6.86473907 3.76665483],[ 0.74526884 -0.35782831],[6.94315819 8.03284905],[0.32077944 0.57300176],[6.73930479 4.97682361],[0.9900852  0.20218878],[5.18507399 4.02194942],[ 0.64023843 -0.68031465],[5.19563938 7.45938706],[-0.23169299  0.72031098],[8.69168481 7.33350801],[-0.06963381  0.45595375],[3.73674174 5.55794846],[-0.27944716 -0.74038662],[7.69111692 3.53053807],[-0.74090796 -0.39870749],[7.09175682 8.23480587],[-0.82067294  0.3143373 ],[5.70337778 3.92849565],[ 0.89772102 -0.40905166]
[6.93977731 3.73266955],[ 0.75709787 -0.31992495],[6.97558946 8.08894191],[0.32580428 0.54648396],[6.83754807 4.99768515],[0.97292458 0.21302892],[5.25114775 3.95576213],[ 0.6796918 -0.6444004],[5.1737523  7.53099384],[-0.20437619  0.71320341],[8.68117674 7.37849923],[-0.14046035  0.44430467],[3.71157481 5.48263974],[-0.22474132 -0.76682272],[7.61428543 3.49274799],[-0.79642363 -0.35803141],[7.00813652 8.2635764 ],[-0.85197704  0.25979784],[5.79399219 3.88964623],[ 0.91347938 -0.36861723]
