[6.28742588 9.98269911],[-0.31968047  1.34865612],[1.05885636 1.27047917],[ 2.33794576 -1.61383388],[6.25829834 5.96421317],[-2.46707755  0.7888575 ],[7.80675974 7.03350868],[2.34046884 3.45590309],[8.82190584 0.2849306 ],[ 1.00106288 -1.4017015 ],[0.51984698 5.7785209 ],[ 4.8468955  -1.53511972],[8.5974378  4.96560907],[1.9438482  0.01485471],[1.64696609 7.18435817],[3.00614075 0.77737933],[1.78924144 5.73228976],[ 3.93916013 -3.86322731],[7.55468578 6.8199386 ],[0.66881075 3.88652657]
[ 5.79265491 10.70002006],[-0.6376451   0.07006739],[2.57242599 1.01250188],[1.25204105 0.42497443],[4.86675123 6.32819184],[-0.98746495  0.18211377],[8.42021158 8.22857264],[0.09639767 0.70379518],[ 9.23326801 -0.25911602],[-0.08913823  0.25701314],[2.23384455 5.36828285],[ 1.29305448 -0.1782323 ],[9.66781894 5.06093207],[0.53238082 0.20081647],[3.25631855 7.32354266],[ 1.24495884 -0.14095947],[3.15456103 4.73806106],[ 1.11529933 -0.46767591],[7.53634947 8.22115901],[-0.33778563  0.80344236]
[ 5.72679566 10.70070755],[-0.67888137 -0.05729071],[2.69694904 1.05932226],[1.23726778 0.50980535],[4.76907225 6.3456239 ],[-0.96357612  0.16956038],[8.42652921 8.29742906],[0.03127214 0.67509395],[ 9.21924834 -0.22474486],[-0.19252339  0.43137381],[2.36294424 5.35149168],[ 1.28901935 -0.1576284 ],[9.71759905 5.08227929],[0.4635488  0.22727652],[3.37984857 7.30732919],[ 1.22785677 -0.18102377],[3.26653851 4.69340204],[ 1.12634701 -0.42342219],[7.50010402 8.29954925],[-0.39015076  0.76139543]
[ 5.65703455 10.68834026],[-0.71153983 -0.18697703],[2.81938916 1.11383934],[1.21041625 0.57837263],[4.67369161 6.36183436],[-0.94431858  0.15460705],[8.42627609 8.36349829],[-0.03676848  0.64629522],[ 9.19462543 -0.17269627],[-0.29981822  0.60917537],[2.49155366 5.33663016],[ 1.28166623 -0.14139438],[9.76095088 5.10703327],[0.40105262 0.26647025],[3.50260925 7.28816879],[ 1.22609806 -0.20254384],[3.3795233  4.65306733],[ 1.135073   -0.38158491],[7.45844548 8.37356379],[-0.44215765  0.71963251]
[ 5.58429225 10.66274125],[-0.74149599 -0.32488943],[2.93935597 1.1751687 ],[1.18683909 0.64530107],[4.58009558 6.37646247],[-0.92800593  0.13773649],[8.41892773 8.42653556],[-0.11045418  0.61460862],[ 9.15955291 -0.1030383 ],[-0.39972477  0.78149384],[2.6194892  5.32337583],[ 1.27913238 -0.12159733],[9.79753011 5.13556362],[0.3295145  0.30440769],[3.62458379 7.26643415],[ 1.21303182 -0.23226194],[3.49361608 4.61718441],[ 1.14907454 -0.33365475],[7.41122551 8.4429988 ],[-0.49947724  0.6716195 ]
[ 5.50931822 10.62359883],[-0.75532118 -0.45665624],[3.05668805 1.24266812],[1.15782677 0.70173652],[4.48814491 6.3894506 ],[-0.91002285  0.12313058],[8.40425312 8.48656557],[-0.18400028  0.58529746],[ 9.11522803 -0.01701965],[-0.48314689  0.93459906],[2.74695355 5.31187041],[ 1.27204452 -0.1066627 ],[9.82710698 5.16847845],[0.26202544 0.35534362],[3.74574304 7.24235127],[ 1.20698332 -0.25193858],[3.60842142 4.58543837],[ 1.15131565 -0.29705105],[7.35854111 8.50781473],[-0.55552968  0.62298783]
[ 5.43310361 10.57102279],[-0.76618738 -0.59296936],[3.17109601 1.31551459],[1.13026173 0.75418508],[4.39781776 6.40082251],[-0.8933131   0.10764413],[8.38166955 8.54319687],[-0.26805344  0.54714002],[9.06314806 0.0824185 ],[-0.55270436  1.05066962],[2.87384051 5.30197307],[ 1.26453492 -0.0925656 ],[9.84929647 5.20633024],[0.18163332 0.40309532],[3.86590822 7.21604467],[ 1.19632632 -0.27378873],[3.72397365 4.5579122 ],[ 1.15817128 -0.25476994],[7.30020377 8.56758991],[-0.61189996  0.57129041]
[ 5.35664041 10.50542186],[-0.75762703 -0.71372385],[3.28274293 1.39334805],[1.10274609 0.80164039],[4.30947471 6.41100296],[-0.87539838  0.09415809],[8.35071867 8.59609601],[-0.35107615  0.51065063],[9.00516303 0.19181003],[-0.60417236  1.13144176],[3.00033907 5.29384277],[ 1.26511441 -0.06998539],[9.86278033 5.24879616],[0.09073638 0.45042794],[3.98483692 7.18748702],[ 1.18149692 -0.29805361],[3.83978508 4.53421542],[ 1.15844106 -0.21882035],[7.23592143 8.62170687],[-0.67034431  0.51373604]
[ 5.2821683 10.4288729],[-0.7299455  -0.81487513],[3.39131863 1.4753506 ],[1.06809197 0.83669831],[4.22278396 6.41970345],[-0.8586395  0.0796283],[8.3118244  8.64566853],[-0.431264    0.47599486],[8.94244782 0.30735827],[-0.64777491  1.17545362],[3.12660682 5.28774947],[ 1.26077447 -0.0513524 ],[9.8668446  5.29614801],[-0.0111237   0.49630275],[4.10238815 7.15666732],[ 1.1679814  -0.31954881],[3.95588159 4.5144031 ],[ 1.1623271  -0.17847676],[7.1662242  8.67027119],[-0.72433761  0.45596578]
[ 5.21120707 10.34311148],[-0.69500547 -0.90508452],[3.49661243 1.56077559],[1.03822786 0.87137261],[4.13767532 6.42684744],[-0.83954972  0.06728565],[8.26435449 8.69110238],[-0.51682339  0.43335495],[8.87632684 0.42652164],[-0.67090222  1.20673555],[3.25201436 5.28306233],[ 1.24873803 -0.04127701],[9.8604546  5.34823212],[-0.11551085  0.54740374],[4.21836193 7.12353095],[ 1.15195011 -0.3425444 ],[4.07227656 4.49858824],[ 1.16527543 -0.13789223],[7.09123973 8.71290101],[-0.77696305  0.39402307]
[ 5.14347411 10.24838448],[-0.65798837 -0.98634727],[3.59899633 1.64951142],[1.01012359 0.90323809],[4.05453524 6.43282955],[-0.82120569  0.05444682],[8.20803399 8.73176079],[-0.60918406  0.37917886],[8.80880517 0.54844722],[-0.67721674  1.23072178],[3.37641736 5.27951793],[ 1.24067094 -0.02830053],[9.8433239  5.40536031],[-0.22844148  0.59399247],[4.33316417 7.08861521],[ 1.14372526 -0.35568809],[4.18894225 4.48688278],[ 1.16541692 -0.09868161],[7.01104908 8.74907622],[-0.82832667  0.32689302]
[ 5.08037234 10.14685855],[-0.60415079 -1.04283404],[3.69855347 1.74120354],[0.98113953 0.92995944],[3.97321531 6.43751204],[-0.80354671  0.04079743],[8.14264875 8.76683199],[-0.69732432  0.32205314],[8.74085635 0.67211386],[-0.68388259  1.23857759],[3.50024745 5.27750899],[ 1.23844856 -0.00904393],[9.8145687  5.46681868],[-0.34637663  0.63462301],[4.44706918 7.05243497],[ 1.13399702 -0.36783673],[4.30535951 4.47885878],[ 1.16364777 -0.06100016],[6.92623723 8.77871142],[-0.86879635  0.26387066]
[ 5.02249841 10.03994228],[-0.55314592 -1.09374202],[3.79521391 1.83536502],[0.95318972 0.95370292],[3.89380353 6.44096361],[-0.78479912  0.0280526 ],[8.06860831 8.79589567],[-0.78080376  0.2601131 ],[8.67198963 0.79585962],[-0.69126978  1.23748084],[3.62379389 5.27744737],[1.23182784 0.00718579],[9.77421748 5.53222004],[-0.4602551  0.671814 ],[4.5599222  7.01506742],[ 1.12295981 -0.37939244],[4.42151408 4.47455457],[ 1.15795435 -0.02655172],[6.83721559 8.80153107],[-0.90878574  0.19416295]
[4.96965235 9.92831675],[-0.50327231 -1.13661483],[3.88921648 1.93185135],[0.92680071 0.97532164],[3.81634027 6.44319655],[-0.76502227  0.01601984],[7.98691077 8.81891844],[-0.85133593  0.2003505 ],[8.60307681 0.9198711 ],[-0.68772805  1.2411773 ],[3.74673332 5.27908556],[1.22588008 0.02454376],[9.72276736 5.60097204],[-0.56585223  0.70312749],[4.67114348 6.97605716],[ 1.10255532 -0.39976394],[4.53711588 4.47371935],[1.15447918 0.01035375],[6.74468807 8.81752424],[-0.94072821  0.12559836]
[4.92208648 9.81312515],[-0.45146168 -1.1690322 ],[3.98089931 2.0306428 ],[0.90457143 0.99760849],[3.740687   6.44402781],[-0.74622449  0.00234161],[7.89820077 8.83542281],[-0.91941759  0.13109921],[8.53435995 1.04388667],[-0.68676134  1.23858418],[3.86895735 5.28234727],[1.21858434 0.04078372],[9.66076267 5.67192479],[-0.66970384  0.71680699],[4.78056962 6.93526275],[ 1.0864273  -0.41550893],[4.65256293 4.47684351],[1.15319644 0.05104175],[6.6491692  8.82652496],[-0.96905116  0.05388292]
[4.87951003 9.69493736],[-0.39951725 -1.19280298],[4.07028478 2.13142201],[0.88183912 1.0161194 ],[3.66696975 6.44351038],[-0.72495879 -0.0095949 ],[7.80370669 8.84543274],[-0.97009086  0.06769061],[8.46548838 1.16730865],[-0.68823967  1.2320203 ],[3.98988588 5.28662614],[1.20269424 0.04708268],[9.58922651 5.74399548],[-0.75776088  0.72393849],[4.88848162 6.89304408],[ 1.07248825 -0.42807697],[4.76744877 4.48366192],[1.1419437  0.08253081],[6.55144961 8.82866589],[-0.9828574 -0.0092828]
[4.84224256 9.57483133],[-0.35098695 -1.21311668],[4.15732725 2.2338305 ],[0.85857665 1.03109193],[3.59527643 6.4416553 ],[-0.70573678 -0.02442673],[7.70434956 8.84875715],[-1.01820704 -0.00425624],[8.39645264 1.29000601],[-0.68997315  1.22438117],[4.10984088 5.29209874],[1.1974701 0.0638074],[9.50953853 5.81629025],[-0.83388951  0.72030172],[4.995246   6.84988535],[ 1.06306414 -0.4345083 ],[4.88158296 4.49400504],[1.13867388 0.12253461],[6.45250234 8.82441702],[-0.99734894 -0.0777712 ]
[4.80930313 9.45259221],[-0.30583101 -1.22856351],[4.2419706  2.33752544],[0.83429554 1.04236154],[3.52591226 6.43868409],[-0.68245413 -0.03599401],[7.6005139  8.84464414],[-1.0545225  -0.07565237],[8.32759978 1.41225068],[-0.68552423  1.22180129],[4.22918577 5.29921453],[1.18962159 0.0787776 ],[9.4227554  5.88766889],[-0.90078217  0.70492492],[5.10131735 6.80643975],[ 1.05694925 -0.43541882],[4.99512316 4.50815209],[1.13032011 0.15863636],[6.35199295 8.81291632],[-1.01179256 -0.15196748]
[4.78085589 9.32911243],[-0.2618343  -1.23870759],[4.32384442 2.44189388],[0.80398162 1.04550755],[3.45863298 6.43425376],[-0.66147367 -0.05116275],[7.49348543 8.83335778],[-1.08261562 -0.14802111],[8.25951081 1.53446963],[-0.68103602  1.2177929 ],[4.3474648  5.30753703],[1.18018204 0.0918064 ],[9.32993196 5.95722327],[-0.95358624  0.68554399],[5.20607744 6.76226698],[ 1.03702006 -0.44932792],[5.10773288 4.52584334],[1.11957201 0.19288978],[6.2507963  8.79451068],[-1.01001688 -0.21437935]
[4.75644371 9.20457112],[-0.22593586 -1.25051313],[4.40303905 2.54684153],[0.78366354 1.05676946],[3.39358876 6.42837142],[-0.64093557 -0.06823939],[7.38463793 8.81547662],[-1.09672066 -0.21288654],[8.19180376 1.65621102],[-0.67472414  1.2152843 ],[4.46477825 5.31714702],[1.16663195 0.10074144],[9.23223859 6.02449073],[-1.00124937  0.65658794],[5.30928304 6.71715238],[ 1.02491329 -0.45502151],[5.21872236 4.54638468],[1.09876913 0.21619257],[6.15004605 8.7700026 ],[-1.00410632 -0.27516279]
[4.73609635 9.07959283],[-0.18287538 -1.25022384],[4.48031758 2.65291093],[0.76017719 1.06253909],[3.3308531  6.42095143],[-0.61705336 -0.08370288],[7.2748698  8.79134401],[-1.09910714 -0.27067193],[8.12444239 1.77740946],[-0.67118281  1.20987078],[4.58104914 5.32794086],[1.15969022 0.11616031],[9.12998586 6.08843672],[-1.04230036  0.62208757],[5.41131473 6.67154857],[ 1.0158338  -0.45668847],[5.32817827 4.5697541 ],[1.09113369 0.25220707],[6.04988431 8.73929895],[-0.99853501 -0.33875434]
[4.71950512 8.95432449],[-0.14759548 -1.25296552],[4.55540781 2.75962386],[0.7394264  1.06922725],[3.27069416 6.41207929],[-0.58925644 -0.09714361],[7.16472723 8.76111781],[-1.10084747 -0.33131743],[8.0575563  1.89817162],[-0.66301807  1.20875932],[4.6962489  5.33990843],[1.14519812 0.12390417],[9.02416872 6.14898466],[-1.06934449  0.59243711],[5.51236407 6.62576844],[ 1.00393371 -0.46002469],[5.43644803 4.59634239],[1.07543064 0.28070872],[5.95082898 8.70268431],[-0.98438882 -0.39548818]
[4.70673087 8.82926841],[-0.10577316 -1.2457722 ],[4.62881429 2.86729541],[0.72622849 1.08126535],[3.21295563 6.40138915],[-0.56350801 -0.11502418],[7.05471153 8.72500476],[-1.09606851 -0.38788072],[7.99177272 2.01904509],[-0.65569718  1.20558099],[4.81027043 5.35289389],[1.13474016 0.13534176],[8.91570645 6.20629111],[-1.09686418  0.55570724],[5.61193066 6.5793786 ],[ 0.9866606  -0.46846275],[5.54292418 4.62553951],[1.0544532 0.3033395],[5.85276308 8.65988668],[-0.97781138 -0.46172062]
[4.69785817 8.70475555],[-0.07163266 -1.24371041],[4.70046059 2.9756266 ],[0.70778524 1.08619977],[3.15790576 6.38889587],[-0.53636627 -0.13416266],[6.94558427 8.683589  ],[-1.08697109 -0.44095679],[7.92634251 2.1392387 ],[-0.65274997  1.19850068],[4.92321664 5.36699389],[1.12641272 0.14889851],[8.80507265 6.26023815],[-1.11266168  0.5257966 ],[5.71033168 6.53273568],[ 0.98076533 -0.46478471],[5.64747589 4.65712937],[1.03784462 0.32966194],[5.75620934 8.61124321],[-0.955415 -0.513229]
[4.69221893 8.58046258],[-0.03859717 -1.23908429],[4.77006348 3.08418324],[0.68608603 1.0865719 ],[3.10575949 6.37452849],[-0.50426842 -0.15135885],[6.83764936 8.63712726],[-1.07077262 -0.4871614 ],[7.8613557  2.25887721],[-0.64791799  1.19333838],[5.03541208 5.38257076],[1.11684865 0.16205755],[8.69289136 6.31105926],[-1.12967349  0.49136705],[5.80761205 6.48597197],[ 0.96595714 -0.46932086],[5.75063781 4.69164412],[1.02456026 0.35985164],[5.66150957 8.55704238],[-0.93723027 -0.56940647]
[4.68988417 8.45676012],[-0.00978689 -1.23606577],[4.8378184  3.19303411],[0.66962779 1.09076944],[3.05677993 6.35823342],[-0.47440363 -0.17418931],[6.73143234 8.58617879],[-1.05404249 -0.53208325],[7.79657777 2.37774256],[-0.64616761  1.18544127],[5.1467112  5.39955198],[1.10735452 0.17579264],[8.57902203 6.35827967],[-1.14638159  0.45394538],[5.90346708 6.43882458],[ 0.95103105 -0.4737508 ],[5.85198778 4.7286956 ],[1.00325358 0.38190086],[5.56915114 8.49775343],[-0.91279123 -0.61907043]
[4.69006947 8.33319795],[ 0.01379959 -1.2342502 ],[4.90392131 3.30222162],[0.6530938  1.09338582],[3.01106546 6.33974056],[-0.4389373  -0.19535126],[6.62670553 8.53057262],[-1.03577094 -0.57508544],[7.73212731 2.49596884],[-0.64187237  1.18004714],[5.25656882 5.41738749],[1.09190457 0.1828215 ],[8.46373088 6.40186725],[-1.15483887  0.42217944],[5.99762724 6.39102658],[ 0.93542526 -0.47894973],[5.95131005 4.76803964],[0.97988174 0.40153051],[5.47910991 8.43339171],[-0.88879183 -0.66872624]
[4.6926787  8.21004925],[ 0.03842495 -1.2282605 ],[4.96846892 3.41169588],[0.63810205 1.09606916],[2.96909922 6.31911826],[-0.3970275  -0.21444923],[6.52444332 8.47139251],[-1.01359397 -0.61230391],[7.66808813 2.61362757],[-0.64050652  1.17151023],[5.36537155 5.43641975],[1.08130984 0.19491643],[8.34794146 6.44259078],[-1.16181085  0.39131826],[6.09019052 6.34267985],[ 0.91736132 -0.48649483],[6.04833897 4.80935095],[0.96380873 0.42782441],[5.39198463 8.36462878],[-0.85215308 -0.70463735]
[4.69773621 8.08760732],[ 0.06447299 -1.21863737],[5.03135495 3.52121688],[0.62268654 1.09718839],[2.931496   6.29651841],[-0.35633543 -0.23966349],[6.42422243 8.4083776 ],[-0.9918811  -0.64874893],[7.60439192 2.7306394 ],[-0.63500482  1.16701656],[5.47291248 5.45644055],[1.07210743 0.20818615],[8.23120324 6.47989614],[-1.17257355  0.35485654],[6.18152295 6.29417791],[ 0.90584763 -0.48692058],[6.14362611 4.85318275],[0.94207924 0.44882575],[5.30813702 8.29196242],[-0.82299937 -0.74659674]
[4.70560079 7.96637027],[ 0.09123475 -1.20753345],[5.09287803 3.63095793],[0.60983308 1.09940277],[2.89789762 6.27105616],[-0.31419991 -0.26906734],[6.32624007 8.34185631],[-0.9679804  -0.68151855],[7.54105021 2.84699177],[-0.63382331  1.15813292],[5.57961073 5.47790523],[1.06142403 0.22073391],[8.11369259 6.51377758],[-1.17782122  0.32245144],[6.27109367 6.24502108],[ 0.88952997 -0.49220159],[6.23700279 4.89937389],[0.92678927 0.47643901],[5.22750405 8.21547199],[-0.7903312  -0.78354977]
[4.71578265 7.84596944],[ 0.11193359 -1.20059997],[5.15292245 3.74066492],[0.5924702  1.09600944],[2.86894921 6.24278433],[-0.26675768 -0.29936151],[6.23059643 8.27208899],[-0.94522023 -0.71382754],[7.47792915 2.96256987],[-0.62841303  1.15349597],[5.68507065 5.50045817],[1.04942579 0.23189744],[7.99574195 6.54445881],[-1.18105378  0.29124813],[6.35929326 6.19561722],[ 0.874676   -0.49559677],[6.32859378 4.94810021],[0.90557931 0.49855088],[5.15019582 8.1354255 ],[-0.75687909 -0.81807293]
