[1.14016118 4.4014201 ],[-0.15320773 -0.98039521],[-0.35364328  9.4271274 ],[-0.29648424 -1.13272723],[7.32736627 0.26302463],[-0.31606645  0.10327337],[7.20721457 7.65898754],[-1.27832267 -0.3052731 ],[-0.0458559   3.29735971],[-0.50278359  0.60225457],[2.21990095 0.9854366 ],[-0.53142922 -0.40595361],[8.02660889 2.11825285],[-1.27586373  0.10611406],[3.65527086 6.97178445],[-1.01706608 -0.05119211],[8.66883498 7.54518689],[ 0.37095521 -0.90825997],[1.95361708 1.2466426 ],[ 1.17546957 -0.06959298]
[1.12829674 4.3032257 ],[-0.08523658 -0.98435024],[-0.37749384  9.3098503 ],[-0.17662614 -1.20517461],[7.29003302 0.27906985],[-0.43069573  0.21921905],[7.07994836 7.62547842],[-1.26840605 -0.36609701],[-0.09195726  3.36018743],[-0.42051147  0.65265583],[2.16727912 0.94782595],[-0.52122607 -0.34593198],[7.89790572 2.13094169],[-1.29594546  0.14723986],[3.55396139 6.96322741],[-1.00937177 -0.12036172],[8.70008017 7.45038934],[ 0.2517569  -0.98767149],[2.07152155 1.24387936],[1.1808307 0.0125883]
[1.12316367 4.20466059],[-0.01753146 -0.98665992],[-0.38951348  9.1862858 ],[-0.06402569 -1.2621556 ],[7.24115294 0.30703317],[-0.54598161  0.34081946],[6.95384971 7.58614205],[-1.25157883 -0.41806776],[-0.12970717  3.4280289 ],[-0.33302177  0.70496453],[2.11576697 0.91649516],[-0.50779509 -0.27881027],[7.76799866 2.1478379 ],[-1.30110063  0.1898664 ],[3.45351082 6.94775725],[-1.00030118 -0.18984836],[8.71912697 7.34805963],[ 0.12848127 -1.05732004],[2.18944704 1.24884499],[1.17631514 0.08523951]
[1.12506537 4.10623022],[ 0.05637667 -0.98079777],[-0.3906175   9.05793767],[ 0.04442712 -1.29812917],[7.18100884 0.34720642],[-0.65444106  0.46249717],[6.82960652 7.54196094],[-1.23326097 -0.46494721],[-0.15881004  3.50076082],[-0.24739361  0.75043748],[2.06554704 0.89204787],[-0.49682228 -0.20962793],[7.63794868 2.16887309],[-1.30087467  0.2283682 ],[3.35421576 6.92550417],[-0.9874296  -0.25727143],[8.72587836 7.23950872],[ 0.00508652 -1.11299473],[2.30692806 1.26107627],[1.17352169 0.15972256]
[1.13419136 4.00832922],[ 0.1264477  -0.97641144],[-0.38103588  8.92699717],[ 0.14682523 -1.3173094 ],[7.11023723 0.39879484],[-0.75760713  0.56759186],[6.70699595 7.493036  ],[-1.21843928 -0.51257986],[-0.17862483  3.57844437],[-0.15113177  0.7997681 ],[2.01620287 0.87453893],[-0.48830461 -0.13802283],[7.50819649 2.19362702],[-1.29230804  0.26766683],[3.25628523 6.89649089],[-0.96996179 -0.32193561],[8.72023827 7.12600914],[-0.11867382 -1.15570038],[2.42367999 1.28032876],[1.16253168 0.22619785]
[1.15035379 3.91105119],[ 0.19149624 -0.97361493],[-0.36157449  8.79484797],[ 0.24072008 -1.32392806],[7.03018785 0.46030061],[-0.84431932  0.65500892],[6.58609647 7.43971895],[-1.20158762 -0.55537995],[-0.18854195  3.66092198],[-0.04944714  0.84621688],[1.96799046 0.86473373],[-0.47577438 -0.05703884],[7.37894501 2.22166044],[-1.29286272  0.29145496],[3.16017168 6.86101194],[-0.95104071 -0.38654137],[8.70266212 7.00924087],[-0.23272197 -1.17820037],[2.53924205 1.30613069],[1.14672876 0.28752073]
[1.17318487 3.81444752],[ 0.26154005 -0.96125916],[-0.33344336  8.66230617],[ 0.32059818 -1.3250194 ],[6.94269123 0.5297985 ],[-0.90253344  0.73131486],[6.46696536 7.38233826],[-1.18240767 -0.5930111 ],[-0.18847843  3.74742049],[0.04969127 0.88129514],[1.92089983 0.8631731 ],[-0.46543183  0.02727523],[7.25006253 2.25215665],[-1.28528645  0.31733085],[3.0660168 6.8190696],[-0.93309225 -0.45350217],[8.67389756 6.89082045],[-0.34039381 -1.18734138],[2.65324962 1.33804346],[1.13347894 0.35068347]
[1.20238871 3.71870094],[ 0.32046382 -0.95469032],[-0.29801259  8.5298756 ],[ 0.38740927 -1.32151323],[6.85049251 0.60612943],[-0.93861959  0.79220439],[6.34976283 7.32135988],[-1.16070752 -0.62500889],[-0.17868204  3.83682319],[0.14618021 0.90539829],[1.87468154 0.87014636],[-0.45731544  0.11454388],[7.12183434 2.28491982],[-1.28105624  0.33532768],[2.97398341 6.77069014],[-0.90740708 -0.51392397],[8.63463374 6.77196666],[-0.44308434 -1.18750061],[2.76558051 1.37589961],[1.11390163 0.40696012]
[1.23775485 3.62417304],[ 0.38360807 -0.93824604],[-0.25626209  8.39818783],[ 0.4481638  -1.30955826],[6.75529764 0.68752893],[-0.964541   0.8318048],[6.23462131 7.25723535],[-1.14019257 -0.65492244],[-0.15937015  3.92811586],[0.23894408 0.91827813],[1.82951523 0.8863192 ],[-0.44677211  0.20872887],[6.99447142 2.31973316],[-1.26909537  0.35775007],[2.88462479 6.71635083],[-0.88061446 -0.57366787],[8.58581998 6.65388899],[-0.53265148 -1.17368141],[2.87611062 1.41951934],[1.092768   0.46113391]
[1.27951102 3.53162906],[ 0.4473196  -0.91591383],[-0.20839347  8.26827161],[ 0.50564686 -1.2907293 ],[6.65800555 0.77211396],[-0.97773276  0.86003185],[6.12157361 7.19032776],[-1.12076467 -0.68271628],[-0.13049598  4.02064064],[0.33677797 0.92939701],[1.7856776  0.91235537],[-0.4305741   0.31168648],[6.86808544 2.35644635],[-1.26140027  0.37328502],[2.79808287 6.65616342],[-0.84963616 -0.62934186],[8.52839095 6.53747894],[-0.6150177  -1.15416851],[2.98386163 1.46778958],[1.06181904 0.50325466]
