[3.92687774 5.776953  ],[1.04902915 0.38095992],[2.39707752 1.47861045],[ 1.04220262 -0.48100019],[9.39912981 3.02228973],[-0.16796028 -0.93672456],[8.47243279 7.79105142],[-0.90106684 -1.07108186],[0.65118703 5.7692675 ],[ 0.60383379 -1.14878601],[7.70603044 2.05119466],[-1.23202705  0.22419013],[6.09599961 7.8102599 ],[ 0.97662438 -0.15774891],[ 1.98790744 -0.76073768],[-0.36801901 -0.05177846],[9.30846376 3.41239659],[-0.21310843  1.09197571],[4.71217831 2.9855974 ],[ 0.81283715 -0.68933046]
[4.03258736 5.81248305],[1.06327022 0.32807449],[2.50336046 1.43429755],[ 1.08405919 -0.40397101],[9.37715188 2.92918546],[-0.27064318 -0.92392274],[8.38295453 7.6843108 ],[-0.88820278 -1.06359492],[0.71547518 5.65613906],[ 0.68083261 -1.11330331],[7.58346447 2.07521318],[-1.21848636  0.25633414],[6.19296543 7.78964485],[ 0.9637292  -0.25283329],[ 1.95425911 -0.75979518],[-0.30359591  0.07271751],[9.28259876 3.52082201],[-0.30294722  1.07636244],[4.7936704  2.91809474],[ 0.8194864  -0.65863598]
[4.13944065 5.84251861],[1.074309   0.27346707],[2.61370523 1.39781227],[ 1.11970797 -0.32810809],[9.34501878 2.83763229],[-0.37260919 -0.90731485],[8.29465623 7.5781731 ],[-0.87924965 -1.06071792],[0.78676585 5.54634268],[ 0.74357816 -1.08241825],[7.46251718 2.10257687],[-1.20210769  0.28887854],[6.28839428 7.7594712 ],[ 0.94599206 -0.3485383 ],[ 1.92682518 -0.74640693],[-0.24338211  0.19730455],[9.24817907 3.62768153],[-0.38724981  1.05754429],[4.87594005 2.85367821],[ 0.82747418 -0.62836569]
[4.24737262 5.86716215],[1.08068644 0.21613832],[2.72736587 1.36889186],[ 1.15126948 -0.25171417],[9.30307211 2.74826285],[-0.46695422 -0.88052274],[8.20704569 7.47209948],[-0.8732207  -1.06103518],[0.86427754 5.44003097],[ 0.80762936 -1.04156721],[7.34312867 2.13298703],[-1.18497155  0.31958969],[6.38198598 7.71996668],[ 0.92214494 -0.44410042],[ 1.90619568 -0.71962008],[-0.16617723  0.34165361],[9.20518999 3.73210184],[-0.47041089  1.03143933],[4.95911717 2.7923427 ],[ 0.83616682 -0.59842574]
[4.3560462 5.8862624],[1.09026473 0.1638585 ],[2.84352114 1.34714973],[ 1.16993074 -0.18460367],[9.25196674 2.66192562],[-0.55786074 -0.84884714],[8.12030653 7.36624879],[-0.8614779  -1.05597234],[0.94761305 5.33759512],[ 0.8596634  -1.00534737],[7.2254619  2.16637298],[-1.17002735  0.3459975 ],[6.47253906 7.67059309],[ 0.88927089 -0.54160134],[ 1.89345309 -0.67821534],[-0.08630706  0.48833804],[9.1544342  3.83399851],[-0.54453552  1.00502253],[5.0436051  2.73442284],[ 0.85245709 -0.56111104]
[4.46522781 5.89979512],[1.09222141 0.10595655],[2.96165975 1.33238555],[ 1.19318647 -0.10966279],[9.1916734  2.57871053],[-0.64601018 -0.81360341],[8.03471857 7.26085764],[-0.85099252 -1.05262089],[1.03619705 5.23916006],[ 0.90814706 -0.96620145],[7.10943688 2.20242252],[-1.14841836  0.37683061],[6.55953541 7.61163318],[ 0.85200581 -0.63455321],[ 1.88910693 -0.62194251],[0.00196135 0.63830616],[9.09617063 3.93270678],[-0.61839466  0.96995117],[5.12929149 2.67980812],[ 0.86280641 -0.52962667]
[4.5744064 5.907413 ],[1.08977536 0.04517213],[3.08150161 1.3246812 ],[ 1.20277545 -0.04514862],[9.12300053 2.49942913],[-0.72733589 -0.77226872],[7.95014217 7.15574606],[-0.84506106 -1.05409055],[1.12878097 5.14408203],[ 0.94378274 -0.93426317],[6.99527117 2.24117968],[-1.13239573  0.40039996],[6.64305889 7.54415416],[ 0.8139863  -0.71763232],[ 1.89422321 -0.55055827],[0.10078021 0.78731774],[9.03087594 4.02782182],[-0.68547055  0.93293638],[5.21588854 2.62822473],[ 0.87241663 -0.49866456]
[4.68355115 5.90925722],[ 1.09336517 -0.00736668],[3.20185172 1.32300673],[1.20907242 0.01667363],[9.04618318 2.42417714],[-0.80655747 -0.73091431],[7.86614019 7.05047991],[-0.83227556 -1.04859627],[1.22475671 5.05226002],[ 0.97722133 -0.90001481],[6.88298134 2.28248966],[-1.11732371  0.42139478],[6.72257878 7.46871612],[ 0.77914788 -0.78649224],[ 1.90932302 -0.46500781],[0.20131299 0.92044894],[8.95923555 4.11917057],[-0.74646225  0.89353045],[5.30341891 2.57973679],[ 0.88023836 -0.46897698]
[4.79272131 5.90567954],[ 1.0912154  -0.06251242],[3.32285946 1.32763888],[1.20995786 0.0747595 ],[8.96204902 2.35349921],[-0.87470359 -0.68204756],[7.7834215  6.94574417],[-0.82159058 -1.04559677],[1.32407415 4.96405166],[ 1.00795951 -0.86478091],[6.7720314  2.32559387],[-1.10100272  0.44103718],[6.79817323 7.38650117],[ 0.73197038 -0.85676457],[ 1.93401775 -0.36762782],[0.2901636  1.02141641],[8.88179172 4.2064747 ],[-0.80158654  0.85210686],[5.39149291 2.53400214],[ 0.88125011 -0.44575958]
[4.90168087 5.89674696],[ 1.09019054 -0.11320501],[3.44436709 1.33856354],[1.21369268 0.13745242],[8.87153257 2.28791484],[-0.93834243 -0.6333805 ],[7.70197215 6.84149582],[-0.80940498 -1.04142966],[1.42612789 4.87918082],[ 1.03359868 -0.83172173],[6.66285138 2.37072283],[-1.08495128  0.45890845],[6.86901747 7.29775012],[ 0.68571222 -0.91579599],[ 1.96722876 -0.26148893],[0.37352663 1.09773816],[8.79900937 4.28944321],[-0.85189795  0.80826798],[5.47997499 2.4909125 ],[ 0.88527218 -0.41911863]
[5.01043963 5.88284912],[ 1.08524425 -0.16379039],[3.56547924 1.35499228],[1.20587917 0.18821632],[8.77512359 2.22737519],[-0.98794828 -0.57658161],[7.62163034 6.73754633],[-0.79744999 -1.03763921],[1.53082611 4.7978259 ],[ 1.05816255 -0.79719985],[6.55527723 2.41755387],[-1.0676347  0.4763428],[6.93508555 7.2034226 ],[ 0.63448656 -0.97045236],[ 2.00823362 -0.14910396],[0.44733486 1.14848126],[8.71137514 4.36787208],[-0.89807112  0.76197334],[5.5687657 2.450413 ],[ 0.89136774 -0.38992562]
[5.11829351 5.86364207],[ 1.07536869 -0.21627919],[3.68570465 1.37632285],[1.19763688 0.23721365],[8.67396262 2.17242365],[-1.03607399 -0.52448792],[7.54229544 6.63378205],[-0.78981641 -1.0381924 ],[1.63772691 4.71977363],[ 1.07739452 -0.76606528],[6.44951451 2.46614709],[-1.04717087  0.49571922],[6.99568185 7.10372779],[ 0.58003464 -1.01950619],[ 2.05599034 -0.0328806 ],[0.5074812  1.17424032],[8.6195404  4.44178936],[-0.93814017  0.71592731],[5.65837216 2.41310092],[ 0.89800411 -0.35890869]
[5.22518972 5.83939307],[ 1.0625752  -0.26816911],[3.80483553 1.40221562],[1.18641025 0.28171092],[8.56818974 2.1225071 ],[-1.07446712 -0.47015518],[7.46347394 6.52973145],[-0.7846426  -1.04078051],[1.74647792 4.64483774],[ 1.09530564 -0.73472774],[6.34571501 2.51654597],[-1.02999869  0.51088326],[7.05096102 6.99963489],[ 0.52566244 -1.06106269],[2.10965257 0.08541983],[0.56138435 1.1865816 ],[8.52390804 4.51104416],[-0.97418156  0.668677  ],[5.74826247 2.3785533 ],[ 0.8992483  -0.33254511]
[5.33092385 5.81024768],[ 1.04993366 -0.31631951],[3.92312784 1.4328133 ],[1.17657305 0.32706307],[8.45944314 2.07858322],[-1.10141744 -0.41034937],[7.38562622 6.42588044],[-0.77449297 -1.03839388],[1.85670911 4.57277865],[ 1.11151274 -0.70404276],[6.24354657 2.56830516],[-1.01227353  0.52518984],[7.10074802 6.89166511],[ 0.46909904 -1.09829349],[2.16822613 0.20428714],[0.60734707 1.18758763],[8.42508985 4.57575903],[-1.00098401  0.62624443],[5.83856886 2.34697844],[ 0.90567843 -0.29989149]
[5.43538618 5.77646275],[ 1.0376414  -0.36034449],[4.04014323 1.46758146],[1.16383127 0.36806083],[8.34789906 2.04020822],[-1.12735671 -0.3562222 ],[7.30874096 6.32222178],[-0.76020639 -1.03184755],[1.96897216 4.50429151],[ 1.13040671 -0.66882115],[6.14340604 2.62170852],[-0.99067841  0.54262505],[7.14450778 6.77992081],[ 0.40618338 -1.13541019],[2.23068825 0.32249492],[0.64033355 1.17517851],[8.32357121 4.63602282],[-1.02675659  0.5810457 ],[5.92936934 2.3185903 ],[ 0.91172168 -0.26625287]
[5.53859334 5.73845325],[ 1.02413412 -0.40151492],[4.1556092 1.5060896],[1.14428383 0.40035837],[8.23428349 2.00745357],[-1.14325131 -0.29815471],[7.23323597 6.21914947],[-0.74877448 -1.02849641],[2.08256176 4.43881307],[ 1.13948081 -0.64264411],[6.04530214 2.67669575],[-0.97295207  0.55540977],[7.18253411 6.66529024],[ 0.3549598  -1.15607882],[2.29635391 0.43941736],[0.67368752 1.16414742],[8.21963445 4.69175447],[-1.04974315  0.53527567],[6.02069443 2.29356537],[ 0.91709769 -0.23167991]
[5.64013349 5.69619072],[ 1.00566438 -0.44414875],[4.26887425 1.54741784],[1.12568858 0.43043413],[8.11927849 1.98044062],[-1.15585945 -0.24213923],[7.15872327 6.116258  ],[-0.74266767 -1.03039536],[2.19667256 4.37555072],[ 1.14462595 -0.62072792],[5.94879937 2.73272693],[-0.95783717  0.5642871 ],[7.2157262  6.54900341],[ 0.30790863 -1.17030109],[2.36513366 0.55506356],[0.70091067 1.14807763],[8.11351848 4.74287483],[-1.07082035  0.48834154],[6.11241942 2.27194578],[ 0.91716758 -0.20081288]
[5.73951961 5.64950493],[ 0.98552828 -0.48551179],[4.38063668 1.59203648],[1.10953414 0.46155062],[8.00311963 1.95886362],[-1.1661088  -0.18926792],[7.08479109 6.01317444],[-0.73490012 -1.03016484],[2.31162189 4.31482183],[ 1.15279192 -0.59529765],[5.85377305 2.78954553],[-0.94365952  0.57094774],[7.24410029 6.43128694],[ 0.25969662 -1.18359132],[2.43668951 0.66923039],[0.72713743 1.1325413 ],[8.00561633 4.78949031],[-1.08611792  0.44465699],[6.20407568 2.25338701],[ 0.91686409 -0.16925648]
[5.83727764 5.59926083],[ 0.96856446 -0.51984557],[4.49098695 1.63990148],[1.09819576 0.49635597],[7.886049   1.94240522],[-1.17543567 -0.14104622],[7.01194043 5.91041777],[-0.72245374 -1.02529934],[2.42726658 4.25653258],[ 1.16091168 -0.56957614],[5.76025471 2.84706426],[-0.92640853  0.57959621],[7.26777082 6.3124493 ],[ 0.21430022 -1.19240678],[2.51036379 0.78145229],[0.74990626 1.11579201],[7.89622755 4.83166943],[-1.09993293  0.40026386],[6.29548355 2.23782267],[ 0.90957393 -0.14370996]
