[1.74885019 6.3880691 ],[ 0.18098545 -1.24357884],[3.67913081 2.31291156],[0.29647225 1.18524912],[ 2.23420711 -0.01329416],[ 1.14645025 -0.05317838],[-0.16251323  3.16055037],[0.39022403 1.11478515],[5.03173754 2.71319904],[ 1.01462136 -0.03053401],[7.05085886 4.5064787 ],[0.09905668 0.97867233],[9.81616189 2.34336815],[-0.74145281  1.10125772],[4.92579254 4.78477508],[ 0.5934223  -0.93414805],[7.28757335 6.51650795],[-1.25372344 -0.39281747],[2.90050372 7.817734  ],[ 1.14910548 -0.51669468]
[1.76940062 6.26409436],[ 0.23324589 -1.23192507],[3.70909863 2.43079067],[0.30396301 1.17348069],[ 2.34967984 -0.01350354],[1.16119823 0.04769982],[-0.11842477  3.27100667],[0.49122532 1.09416853],[5.13227237 2.7117456 ],[0.99660493 0.00167913],[7.05724569 4.60367778],[0.03301412 0.96957434],[9.73845836 2.45154975],[-0.8093699   1.06368071],[4.98390469 4.69148906],[ 0.57114276 -0.92966908],[7.16336258 6.47579549],[-1.23095006 -0.42118025],[3.01399613 7.76299205],[ 1.11989123 -0.57797304]
[1.7955689  6.14184145],[ 0.28833044 -1.2143395 ],[3.73957328 2.54728676],[0.30828529 1.15937842],[ 2.46634546 -0.00373736],[1.16997039 0.14599721],[-0.06472817  3.37894765],[0.58168565 1.06400294],[5.23102007 2.7134545 ],[0.97938537 0.03325172],[7.05712118 4.70003962],[-0.03418821  0.95879704],[9.65434803 2.5558018 ],[-0.8696787   1.02290575],[5.03992218 4.59867201],[ 0.54742783 -0.9286854 ],[7.04135523 6.43236311],[-1.21166751 -0.44951606],[3.12419639 7.70202166],[ 1.08574395 -0.63889782]
[1.82711547 6.02138634],[ 0.34174615 -1.1949892 ],[3.77082643 2.66272363],[0.31779164 1.15040351],[2.58342295 0.01552682],[1.17101598 0.23896047],[-2.38777512e-03  3.48358705e+00],[0.66629111 1.0305062 ],[5.32824362 2.71848301],[0.96669636 0.06886283],[7.05017159 4.79519011],[-0.10141151  0.94736344],[9.56479995 2.65610962],[-0.92143914  0.98175498],[5.09358302 4.50591108],[ 0.52414981 -0.92835982],[6.9211865  6.38611699],[-1.1911658  -0.47438552],[3.23126657 7.63552914],[ 1.0553963  -0.69032871]
[1.86359215 5.90264882],[ 0.38724681 -1.17954772],[3.80293279 2.77715526],[0.3257405  1.13962161],[2.70048133 0.04406181],[1.16920869 0.33105295],[0.06831257 3.58491681],[0.74551054 0.99461972],[5.4240695  2.72694692],[0.95226173 0.10284665],[7.03685249 4.88945612],[-0.16311386  0.939311  ],[9.47053889 2.75239385],[-0.96312145  0.94352124],[5.14495998 4.41318673],[ 0.50255693 -0.92704156],[6.80304649 6.33748695],[-1.17207588 -0.49819106],[3.33540841 7.56428039],[ 1.02713398 -0.73403753]
[1.90474358 5.78577426],[ 0.43189083 -1.16114598],[3.83585134 2.89051472],[0.33372163 1.12872911],[2.81670646 0.08119836],[1.15560759 0.41169389],[0.14632832 3.68225652],[0.81184121 0.95016128],[5.51856149 2.73894469],[0.9348297  0.13439598],[7.01747158 4.98286999],[-0.22598517  0.92696138],[9.37201632 2.84446345],[-1.00718606  0.89713068],[5.19365848 4.32007143],[ 0.47245857 -0.93413129],[6.68661549 6.28636753],[-1.1567759  -0.52423613],[3.43675595 7.48895252],[ 1.00122286 -0.77025239]
[1.95016723 5.67074848],[ 0.47653946 -1.13882762],[3.86960439 3.00281304],[0.34250373 1.11841772],[2.93160624 0.12639364],[1.14486927 0.49451672],[0.23042075 3.7748525 ],[0.87086636 0.90358661],[5.61119601 2.75398397],[0.91801785 0.16653892],[6.99169009 5.07478916],[-0.28945665  0.91100247],[9.26966747 2.93223142],[-1.04149216  0.85581908],[5.23990003 4.22680695],[ 0.45278292 -0.93081547],[6.57171726 6.23269475],[-1.13818606 -0.54594471],[3.53507845 7.40979754],[ 0.96348466 -0.81401269]
[1.99979102 5.55785635],[ 0.51759882 -1.11680316],[3.90426587 3.11409579],[0.35047047 1.10691744],[3.04520927 0.17962178],[1.12643798 0.56893831],[0.32026056 3.86290091],[0.9234765  0.85594466],[5.70234189 2.77246578],[0.90408119 0.20244906],[6.95957754 5.16495406],[-0.3502304   0.89414944],[9.16415052 3.01593699],[-1.06913071  0.81747674],[5.28397823 4.13366927],[ 0.43102436 -0.92974114],[6.45882708 6.17710472],[-1.12133071 -0.56747455],[3.62991845 7.32673608],[ 0.93111905 -0.84883334]
[2.05343664 5.44723675],[ 0.55614552 -1.09423232],[3.93992749 3.22440672],[0.35861887 1.09508225],[3.15647173 0.23965857],[1.09873983 0.6310842 ],[0.41511507 3.94621498],[0.97598463 0.81376633],[5.79210395 2.79460924],[0.89331249 0.24285636],[6.92160504 5.25342701],[-0.40999982  0.87375391],[9.05609135 3.09588554],[-1.09290903  0.78020649],[5.3261056  4.04085257],[ 0.41180649 -0.92635519],[6.34751448 6.11929287],[-1.10302369 -0.586597  ],[3.72149738 7.24033685],[ 0.90045891 -0.87863037]
[2.11090108 5.33898726],[ 0.59460892 -1.06885053],[3.97599578 3.33315547],[0.36488557 1.08206546],[3.26464308 0.30538478],[1.06454322 0.68241223],[0.51481444 4.02520128],[1.01832173 0.76735294],[5.88049767 2.82059022],[0.87524263 0.27757078],[6.87761951 5.33960058],[-0.46916559  0.84942707],[8.94613165 3.1724791 ],[-1.10659854  0.75119155],[5.36644007 3.94849316],[ 0.3934567  -0.92233909],[6.23803954 6.05964462],[-1.08540782 -0.60505706],[3.81044003 7.15153734],[ 0.87702925 -0.89829321]
