[1.01472531 2.92295678],[3.31733621 4.45997942],[5.1946151  7.49854447],[4.38816143 3.72606525],[8.61310337 3.28205537],[ 3.57117023 -0.91893295],[2.11905001 0.18511143],[4.72514966 0.01155988],[9.73378549 8.75994939],[ 0.77237662 -4.94982381],[0.44013303 2.53463443],[-1.95814408  2.6096809 ],[1.90586656 2.07059405],[4.26661693 1.46817922],[7.38692549 8.77811961],[1.46847092 3.82697473],[9.58401556 6.57337956],[3.43280693 1.0710327 ],[9.86255863 8.37550144],[3.01390997 1.94773018]
[2.27500256 4.19334636],[1.10999172 0.77047498],[6.51020653 8.27306993],[0.97085892 0.16169915],[9.89269171 3.12525513],[0.66389881 0.22876109],[3.78376676 0.69095399],[1.10784141 0.83127212],[9.55103554 7.07728848],[-0.53691156 -1.14041182],[0.23285372 3.97668069],[0.65904256 1.12287656],[3.50396473 2.80066381],[1.14271668 0.69610249],[7.83345368 9.95520191],[0.20083698 0.46675344],[10.76008165  6.92104496],[0.4906687  0.12258778],[10.8528141   8.93404351],[0.33311992 0.03007892]
[2.38654655 4.26883357],[1.11862048 0.73745332],[6.60746932 8.28592906],[0.97309337 0.09429046],[9.95634539 3.15168856],[0.61042188 0.30199593],[3.8928662  0.77625901],[1.0749001  0.87434057],[9.49504537 6.96459335],[-0.58356424 -1.11486505],[0.30390838 4.08677725],[0.76093282 1.07919916],[3.61776766 2.87126756],[1.13285626 0.71517924],[7.85286079 9.99831003],[0.1864127  0.39386509],[10.80527735  6.93172076],[0.41374582 0.09157682],[10.88221182  8.93300532],[ 0.25503011 -0.05090728]
[2.49935539 4.34156828],[1.1316898  0.71189768],[6.70499185 8.29210379],[0.97583946 0.02793136],[10.01463852  3.18574305],[0.55550162 0.38017214],[3.99880043 0.86565503],[1.04598054 0.91461854],[9.43504991 6.8548974 ],[-0.61567643 -1.0792362 ],[0.38498275 4.19268847],[0.85856532 1.03844423],[3.73027969 2.94336679],[1.11995877 0.72903116],[ 7.87046216 10.03353753],[0.16827985 0.31253198],[10.84301333  6.93960568],[0.33936789 0.0648601 ],[10.9031196   8.92311845],[ 0.16375172 -0.1463546 ]
[2.61310268 4.41151279],[1.1416058  0.68571341],[6.80280482 8.29172522],[ 0.98073829 -0.03472287],[10.06748348  3.22801426],[0.50194373 0.46687344],[4.1017002  0.95861423],[1.01181532 0.94323302],[9.37182806 6.74851286],[-0.64824725 -1.04866606],[0.47459045 4.29371614],[0.93417145 0.98440519],[3.841497   3.01674257],[1.10528927 0.73898038],[ 7.88624202 10.06033529],[0.1522067  0.22727357],[10.87313074  6.94477001],[0.26133526 0.03726681],[10.91494216  8.90370049],[ 0.06995147 -0.24472268]
[2.72811408 4.4792548 ],[1.15723236 0.66834644],[6.90099974 8.28511343],[ 0.97937483 -0.10083099],[10.11432217  3.27866464],[0.43817884 0.55046784],[4.20142672 1.05436844],[0.98191641 0.97003461],[9.30554661 6.6451879 ],[-0.67813046 -1.01925829],[0.57162159 4.38967845],[1.00486361 0.93499764],[3.95126772 3.09101758],[1.09230691 0.74836037],[ 7.90064547 10.07848415],[0.13552962 0.13413793],[10.89481397  6.94672085],[0.17200087 0.00206321],[10.91695072  8.87404279],[-0.03247122 -0.35084826]
[2.84407901 4.54479368],[1.16358993 0.64434725],[6.9986962  8.27163641],[ 0.97659557 -0.1660812 ],[10.15484349  3.33805173],[0.3723673  0.63812465],[4.29827511 1.15263312],[0.95693061 0.99619482],[9.23608998 6.54445651],[-0.71043815 -0.9953429 ],[0.67510791 4.48057803],[1.06381897 0.88370085],[4.06004122 3.16645148],[1.08071159 0.7575298 ],[ 7.91324022 10.08676633],[0.11803725 0.03177279],[10.90751353  6.94532649],[ 0.08238375 -0.02875744],[10.90810668  8.83327781],[-0.1437607  -0.46321742]
[2.96078046 4.60814607],[1.17203988 0.62474859],[7.09569334 8.25137146],[ 0.9650298  -0.23699653],[10.18840422  3.40605196],[0.29801775 0.72140246],[4.39248787 1.25311693],[0.92794202 1.01325318],[9.16359306 6.44616831],[-0.7374022  -0.96889876],[0.78402708 4.56637743],[1.11500545 0.83445568],[4.16750246 3.24255182],[1.06989162 0.76555544],[ 7.92423236 10.0844987 ],[ 0.10032961 -0.08010571],[10.91070154  6.94057143],[-0.02301098 -0.06980895],[10.88842083  8.78176638],[-0.25325    -0.56944436]
[3.07828968 4.66962845],[1.17949917 0.60667309],[7.19200807 8.22469105],[ 0.95831218 -0.29873692],[10.21488512  3.48281103],[0.22846744 0.81019193],[4.48433633 1.35560153],[0.90519432 1.03180023],[9.08872162 6.35069243],[-0.76149267 -0.94260634],[0.89758011 4.64725134],[1.154919   0.78348095],[4.27394413 3.31943909],[1.06019875 0.77320335],[ 7.93337688 10.0704857 ],[ 0.08035572 -0.20382136],[10.90296492  6.93163141],[-0.13164628 -0.10792762],[10.85727778  8.71941923],[-0.36994919 -0.67664986]
[3.19649263 4.72937116],[1.18433071 0.58833946],[7.28747859 8.19191117],[ 0.95083632 -0.35616115],[10.2337258   3.56763818],[0.14955534 0.88656825],[4.57389333 1.45970546],[0.8852529  1.04882609],[9.01182653 6.25808723],[-0.78004931 -0.91363438],[1.01521493 4.72358442],[1.19595966 0.74302517],[4.37936216 3.39696369],[1.05061264 0.77951071],[ 7.94044644 10.04357438],[ 0.0595381  -0.33708263],[10.88382241  6.91865423],[-0.24939354 -0.14886063],[10.8148579   8.64710651],[-0.4784985  -0.76843827]
[3.31513313 4.78732884],[1.19155346 0.57430551],[7.38187857 8.15333948],[ 0.93927618 -0.41213653],[10.24483342  3.65991802],[0.07127595 0.95600277],[4.66157626 1.56542317],[0.86774729 1.06416775],[8.93252127 6.16770382],[-0.79970062 -0.88814776],[1.1362485  4.79562417],[1.22131882 0.69567264],[4.48371547 3.47494548],[1.03766466 0.78104002],[ 7.94556314 10.00312761],[ 0.04414535 -0.47112071],[10.85238639  6.90135496],[-0.37901488 -0.1960968 ],[10.76228048  8.56666511],[-0.57135162 -0.83769517]
