[1.01472531 2.92295678],[3.31733621 4.45997942],[5.1946151  7.49854447],[4.38816143 3.72606525],[8.61310337 3.28205537],[ 3.57117023 -0.91893295],[2.11905001 0.18511143],[4.72514966 0.01155988],[9.73378549 8.75994939],[ 0.77237662 -4.94982381],[0.44013303 2.53463443],[-1.95814408  2.6096809 ],[1.90586656 2.07059405],[4.26661693 1.46817922],[7.38692549 8.77811961],[1.46847092 3.82697473],[9.58401556 6.57337956],[3.43280693 1.0710327 ],[9.86255863 8.37550144],[3.01390997 1.94773018]
[6.56193946 5.89694413],[1.07273431 0.24346759],[8.79405076 5.74247893],[-0.02830921 -1.02583666],[8.50243574 6.23789515],[-0.9437449   0.59471218],[6.62288699 4.56532931],[0.59628602 1.01184364],[6.44764217 4.61388246],[-0.87668208 -0.23461352],[4.75504554 5.77055253],[1.23618422 0.13336278],[7.07677493 5.61457705],[0.82254207 0.70010275],[7.56644857 6.83607617],[-0.20083102 -1.12989583],[7.92878832 5.90106516],[-1.06990172 -0.33086596],[8.25758369 6.23753181],[-0.91975152 -0.68125662]
[6.66908389 5.92099587],[1.07005992 0.23776774],[8.78935851 5.64024148],[-0.06634263 -1.01950078],[8.40763154 6.29598213],[-0.95115021  0.56808706],[6.68187461 4.66578634],[0.58764022 1.00151455],[6.36044602 4.59188099],[-0.87101759 -0.209239  ],[4.87837599 5.78347561],[1.22957286 0.12432357],[7.15815148 5.68374366],[0.80685573 0.68504984],[7.54636156 6.72357871],[-0.20201509 -1.12118222],[7.8221444  5.86802168],[-1.06218182 -0.3293095 ],[8.16607702 6.17014506],[-0.91177708 -0.66790255]
[6.77561279 5.94417224],[1.06237317 0.22766056],[8.78082374 5.53866483],[-0.10515601 -1.0126465 ],[8.31232376 6.35160865],[-0.95546952  0.54390189],[6.74054736 4.76574457],[0.58759005 0.99929001],[6.27333929 4.57191265],[-0.87043662 -0.18964291],[5.00115729 5.79565239],[1.2261705  0.11956873],[7.23837974 5.75181391],[0.79730338 0.67592915],[7.526038   6.61185203],[-0.20381385 -1.11267649],[7.71659498 5.83545024],[-1.04944315 -0.32258581],[8.07492864 6.1036394 ],[-0.91336246 -0.66450831]
[6.88183149 5.96685012],[1.06004445 0.22421145],[8.76842675 5.43786314],[-0.14342682 -1.00391182],[8.21613611 6.40431583],[-0.96700022  0.51131974],[6.79902729 4.86525976],[0.58190596 0.99086462],[6.18664446 4.55423452],[-0.86470834 -0.1652123 ],[5.12355841 5.80740639],[1.2201204  0.11373574],[7.31766808 5.81898211],[0.78867255 0.66762197],[7.5057612  6.50119895],[-0.20171987 -1.10055299],[7.61218823 5.80344067],[-1.03863689 -0.31755944],[7.9837129  6.03752604],[-0.90982995 -0.65672193]
[6.98734683 5.98875346],[1.04711699 0.2106704 ],[8.75190942 5.33772229],[-0.18546298 -0.99712556],[8.11894996 6.45385106],[-0.97603787  0.47983467],[6.85665872 4.96366151],[0.57329708 0.97981355],[6.10057105 4.5390433 ],[-0.85675007 -0.13862095],[5.24545154 5.81872289],[1.21434282 0.10935418],[7.39614968 5.88537335],[0.77938388 0.65861248],[7.48538637 6.39144031],[-0.20506992 -1.09368632],[7.50871972 5.77179008],[-1.03271298 -0.31760499],[7.89285446 5.97217605],[-0.90694834 -0.64997185]
[7.0916638  6.00936503],[1.04126903 0.20369582],[8.73125059 5.23841268],[-0.22598851 -0.98709474],[8.02125238 6.50058196],[-0.97769558  0.45493686],[6.91346364 5.06100523],[0.56541015 0.96970866],[6.01540129 4.5266278 ],[-0.84673837 -0.10970009],[5.36640367 5.82924805],[1.20391925 0.10025084],[7.47363243 5.9507885 ],[0.76950022 0.64891295],[7.46455563 6.28229973],[-0.20662471 -1.08414659],[7.40630539 5.74058044],[-1.01811749 -0.30897643],[7.80267772 5.90788541],[-0.89843847 -0.63770911]
[7.19515899 6.02906302],[1.02944629 0.19107542],[8.70668261 5.14031114],[-0.26689233 -0.97618224],[7.92348006 6.54489463],[-0.97779809  0.4313012 ],[6.96969134 5.15754425],[0.55656256 0.9585465 ],[5.93114134 4.51702914],[-0.83833764 -0.08216332],[5.48678586 5.83936872],[1.20273375 0.10141334],[7.55042136 6.01552854],[0.76667026 0.64629373],[7.4440308  6.17454169],[-0.20632782 -1.07357763],[7.30504637 5.70995125],[-1.00981665 -0.30645128],[7.71291307 5.84436745],[-0.89298813 -0.62882456]
[7.29776096 6.04780052],[1.02151064 0.18256592],[8.67824976 5.04359863],[-0.30141463 -0.95770221],[7.82534631 6.58645763],[-0.98300163  0.40168779],[7.0254724  5.25340226],[0.55582305 0.95524799],[5.84750836 4.50995935],[-0.83061734 -0.05556031],[5.60626003 5.84883663],[1.19042804 0.09153497],[7.62673404 6.0798199 ],[0.75891714 0.6388696 ],[7.42302342 6.06736025],[-0.2146184 -1.0705691],[7.20440156 5.67931382],[-0.99971394 -0.30296991],[7.62384638 5.78188599],[-0.88589445 -0.61837441]
[7.39933364 6.06545719],[1.00789544 0.16837591],[8.64632854 4.94872865],[-0.33534883 -0.93798958],[7.72692555 6.62524649],[-0.98493025  0.37449924],[7.08083994 5.34857502],[0.55311587 0.94973757],[5.76504208 4.50596291],[-0.82000975 -0.02566952],[5.72471274 5.85751758],[1.17838847 0.08173162],[7.70238159 6.14348223],[0.75251536 0.63286777],[7.40160403 5.96095021],[-0.2143707  -1.05836844],[7.1048615  5.64911956],[-0.98865145 -0.29849132],[7.53563195 5.72059438],[-0.87909959 -0.60816219]
[7.49978726 6.08192099],[0.9981918  0.15795975],[8.61098218 4.85582557],[-0.37367391 -0.92197628],[7.62839154 6.66136342],[-0.98685423  0.34661837],[7.13564387 5.44289608],[0.54343761 0.93720941],[5.68327485 4.50458332],[-8.14034382e-01 -7.46722204e-04],[5.84242009 5.8656958 ],[1.16998003 0.07618008],[7.77720186 6.20635982],[0.7416964  0.62248415],[7.38002895 5.85557324],[-0.2184531  -1.05037858],[7.00657476 5.61953149],[-0.97770916 -0.29385124],[7.44808501 5.66031008],[-0.8741363  -0.59985505]
[7.59883408 6.09688509],[0.98396727 0.14238994],[8.57161383 4.76441646],[-0.41140183 -0.90378127],[7.52955844 6.69452962],[-0.98995806  0.31642827],[7.18974826 5.53624184],[0.53783917 0.92886372],[5.60241267 4.50599012],[-0.80317073  0.02887909],[5.95897079 5.87298695],[1.1619556 0.0705481],[7.85084109 6.26809592],[0.73366331 0.61482425],[7.35809676 5.75107755],[-0.22122007 -1.04056893],[6.90909527 5.59009356],[-0.96757121 -0.29053804],[7.36115851 5.60097395],[-0.86584304 -0.58831862]
[7.69662955 6.1104373 ],[0.97194076 0.12873583],[8.52882646 4.67522144],[-0.44568427 -0.88137688],[7.43056735 6.72477565],[-0.98967361  0.28862015],[7.24309754 5.62856219],[0.52910188 0.91753332],[5.52252501 4.51023827],[-0.79378637  0.05680435],[6.07457986 5.87958309],[1.15274972 0.06391536],[7.9234477  6.32883768],[0.72164719 0.60318805],[7.33603578 5.64771516],[-0.22053499 -1.02727323],[6.81267567 5.56103443],[-0.96001428 -0.28990757],[7.27483913 5.54256792],[-0.86166052 -0.58099192]
[7.79340853 6.12282453],[0.96013743 0.1155295 ],[8.4821746 4.5878891],[-0.48577215 -0.86346564],[7.33170518 6.7523124 ],[-0.98960176  0.25995146],[7.2954965  5.71968863],[0.51855106 0.90473236],[5.44393061 4.51763123],[-0.77697459  0.09218521],[6.18922451 5.88547642],[1.14408601 0.05799039],[7.99501776 6.38858263],[0.71052478 0.59247099],[7.31403923 5.54566613],[-0.21978377 -1.01417897],[6.71697775 5.53197397],[-0.95303067 -0.29054734],[7.18910412 5.48505261],[-0.85422575 -0.57052234]
[7.88910193 6.13399032],[0.95020512 0.10434636],[8.43182769 4.50272298],[-0.52201978 -0.84064181],[7.2327629  6.77684293],[-0.99064948  0.22898859],[7.34705362 5.8097604 ],[0.51190019 0.89601995],[5.36687237 4.52842369],[-0.76241754  0.12545406],[6.30277779 5.89056159],[1.12766315 0.04419626],[8.06553413 6.44731657],[0.69754354 0.57993594],[7.2924506  5.44522391],[-0.21321455 -0.9960346 ],[6.62216982 5.50301286],[-0.94337015 -0.28895575],[7.10416893 5.42864285],[-0.84781345 -0.56099838]
[7.983837   6.14409271],[0.94201511 0.09534718],[8.37810143 4.42012685],[-0.54985982 -0.80863948],[7.13372957 6.79821983],[-0.99124571  0.19714644],[7.39759834 5.8986257 ],[0.50032165 0.88272743],[5.29160469 4.5428901 ],[-0.74265964  0.16413152],[6.41500035 5.89453399],[1.12060524 0.0391171 ],[8.13505388 6.50510068],[0.68970055 0.57261749],[7.27104928 5.34610907],[-0.21564095 -0.98704636],[6.52855025 5.47442604],[-0.92808446 -0.28172462],[7.01978378 5.37308875],[-0.84098686 -0.55117344]
[8.07739436 6.15295034],[0.92869569 0.08133805],[8.3215854  4.34074416],[-0.57971728 -0.77823838],[7.03436635 6.81605236],[-0.99321743  0.16198818],[7.44711032 5.98630667],[0.49088142 0.87190223],[5.2178856  4.56078901],[-0.73107858  0.19432687],[6.52647724 5.89801509],[1.10739127 0.02876666],[8.20368187 6.56205174],[0.68204313 0.56561717],[7.24908678 5.24762311],[-0.22493531 -0.98371452],[6.43621437 5.4463396 ],[-0.92128525 -0.28282347],[6.93584276 5.318271  ],[-0.83796318 -0.54534256]
[8.16952859 6.16030656],[0.91393843 0.06565309],[8.26227421 4.26462224],[-0.6047639  -0.74243177],[6.93541767 6.83092919],[-0.98550546  0.13582467],[7.49580927 6.07304416],[0.48409549 0.86380948],[5.1458688  4.58222197],[-0.70904553  0.23454606],[6.636828   5.90064235],[1.09888524 0.02310135],[8.27108739 6.61785017],[0.66793529 0.55222667],[7.2262565  5.14961733],[-0.23016994 -0.97476721],[6.34481699 5.41836721],[-0.90638108 -0.27624176],[6.85260587 5.26443622],[-0.82642275 -0.53097028]
[8.26033688 6.16623145],[0.90358601 0.05436647],[8.20028895 4.19194345],[-0.63323582 -0.70937957],[6.83708975 6.8430218 ],[-0.97948208  0.10746789],[7.54403451 6.15916584],[0.48037662 0.85852298],[5.07570234 4.60729995],[-0.69025036  0.27095485],[6.74647841 5.90289001],[1.09382154 0.02193254],[8.33710916 6.67233812],[0.65559004 0.5406375 ],[7.20351013 5.05311277],[-0.22628788 -0.95692502],[6.25485866 5.39102163],[-0.89495476 -0.27281849],[6.77025948 5.21178577],[-0.8177101  -0.51923465]
[8.35011306 6.17106524],[0.89025367 0.04065776],[8.13513926 4.12229304],[-0.66921938 -0.68300959],[6.73912202 6.85198344],[-0.97705402  0.07432184],[7.5916595  6.24451765],[0.47118416 0.84765255],[5.00792    4.63650087],[-0.66693049  0.3114017 ],[6.8553739  5.90483297],[1.08299954 0.01594427],[8.40176468 6.72553864],[0.64058662 0.52646134],[7.18071894 4.95795769],[-0.22880938 -0.9453703 ],[6.16557234 5.36351404],[-0.89008327 -0.27678383],[6.68893488 5.1604757 ],[-0.81003112 -0.50821843]
[8.43843086 6.17439861],[0.87656813 0.02654007],[8.06633929 4.05526592],[-0.70257918 -0.65329441],[6.64173327 6.85791047],[-0.96963034  0.04520143],[7.63840273 6.32883298],[0.46397376 0.83893059],[4.94230243 4.66952995],[-0.64448754  0.34992181],[6.96284326 5.90580565],[1.06958773 0.00677413],[8.46501213 6.77741884],[0.62504209 0.51183338],[7.15729558 4.8636271 ],[-0.23667697 -0.93807098],[6.07708882 5.3358851 ],[-0.8789725  -0.27519502],[6.60796036 5.10984108],[-0.80732339 -0.50238178]
[8.52541953 6.17637424],[0.86101376 0.01078532],[7.99466513 3.99170105],[-0.73031014 -0.61738797],[6.54503026 6.86082801],[-0.9653424   0.01197733],[7.68427731 6.41213165],[0.45315887 0.82674776],[4.87921901 4.70664193],[-0.61584631  0.39341665],[7.0691165  5.90601667],[ 1.05670591 -0.00184187],[8.52674487 6.82788084],[0.60810399 0.49590377],[7.13340884 4.77039496],[-0.23819083 -0.92369739],[5.98998665 5.3086887 ],[-0.86571913 -0.27135871],[6.52755281 5.06008316],[-0.801847   -0.49380789]
[8.6109988 6.1769292],[ 0.84763375 -0.00260405],[7.92018729 3.93172058],[-0.75932223 -0.58230953],[6.44869118 6.86026891],[-0.96057395 -0.02253628],[7.72906193 6.49421699],[0.43973825 0.8122967 ],[4.81899278 4.74802397],[-0.58710956  0.43548168],[7.17421094 5.90547733],[ 1.04451256 -0.00964208],[8.58732655 6.87730114],[0.60042149 0.48944317],[7.109416   4.67865086],[-0.24075117 -0.91020331],[5.90436536 5.28203666],[-0.84723949 -0.26209277],[6.44774601 5.01123618],[-0.79679891 -0.48565624]
[8.69497341 6.17588044],[ 0.83224694 -0.01799935],[7.84273858 3.87518893],[-0.78893723 -0.54765108],[6.35288352 6.85622963],[-0.95112061 -0.05402816],[7.7726384  6.57501751],[0.42834666 0.80029189],[4.76161207 4.7934877 ],[-0.55904016  0.47487634],[7.27810067 5.90417634],[ 1.03358406 -0.01604254],[8.64659795 6.92554583],[0.58324377 0.47369875],[7.08508443 4.58820244],[-0.243471   -0.89630225],[5.82003178 5.25575741],[-0.83757544 -0.26171453],[6.36850457 4.96326047],[-0.78791069 -0.47367941]
[8.77726256 6.17314834],[ 0.81289536 -0.03736622],[7.76248445 3.82227915],[-0.81590866 -0.51036684],[6.25790239 6.84886052],[-0.94697007 -0.09215558],[7.81518211 6.65473862],[0.4227709  0.79433454],[4.70710035 4.84283527],[-0.52669891  0.5161313 ],[7.38120573 5.90259821],[ 1.02330043 -0.02071338],[8.70409161 6.97216094],[0.56916884 0.46119088],[7.06068266 4.49935526],[-0.24506127 -0.88106963],[5.73706963 5.22991771],[-0.82207516 -0.25551162],[6.28973607 4.91607094],[-0.78735118 -0.47010654]
[8.8575334  6.16837639],[ 0.79392711 -0.05668725],[7.67972889 3.77329041],[-0.83871424 -0.46901794],[6.16360085 6.83784302],[-0.93682945 -0.1261145 ],[7.85714156 6.73382775],[0.41665232 0.78765754],[4.65599405 4.8963444 ],[-0.49608662  0.55289065],[7.48307037 5.90034514],[ 1.01463964 -0.02360374],[8.76033846 7.01770109],[0.55568249 0.44956655],[7.03595256 4.41189012],[-0.25006222 -0.8686232 ],[5.65552814 5.20456887],[-0.80695886 -0.24967761],[6.211134   4.86932995],[-0.78161742 -0.46168581]
[8.93614791 6.16192194],[ 0.7791881  -0.07152574],[7.59474638 3.72848487],[-0.86296753 -0.42927021],[6.07025893 6.8233023 ],[-0.92864779 -0.16357322],[7.89856086 6.81230625],[0.40527102 0.77551448],[4.60805957 4.95348681],[-0.45990096  0.59209719],[7.58390746 5.89768018],[ 1.00211173 -0.02970574],[8.81495109 7.06180636],[0.53865563 0.4346529 ],[7.01031818 4.32532785],[-0.26013363 -0.85985324],[5.57533014 5.17963476],[-0.79725849 -0.24937005],[6.13300945 4.82333116],[-0.77943158 -0.45689166]
[9.01298534 6.15369619],[ 0.75748608 -0.09309723],[7.50747423 3.68775931],[-0.88163062 -0.38450848],[5.97803475 6.80523774],[-0.91549004 -0.19755627],[7.93814346 6.88891685],[0.38834681 0.75874547],[4.56418249 5.01481004],[-0.42002033  0.6313585 ],[7.68329334 5.89420711],[ 0.98520574 -0.04032579],[8.86805001 7.10462415],[0.52208019 0.42050854],[6.98419672 4.24021463],[-0.26074913 -0.84085599],[5.49624838 5.1548527 ],[-0.78401281 -0.24593972],[6.05533697 4.77803774],[-0.77268387 -0.4476345 ]
[9.08740623 6.14305122],[ 0.73244196 -0.11836779],[7.4179927  3.65113176],[-0.90603007 -0.34643333],[5.88724633 6.78383032],[-0.89986158 -0.23028036],[7.97625822 6.96410158],[0.37207838 0.74317747],[4.52445211 5.08002236],[-0.3724372   0.67428344],[7.78099814 5.88965201],[ 0.96859271 -0.05114783],[8.91921335 7.14576317],[0.50422368 0.40536614],[6.95790024 4.15690293],[-0.26422092 -0.82429987],[5.41851817 5.13043096],[-0.77198951 -0.2439275 ],[5.97850853 4.73385063],[-0.76405565 -0.4362752 ]
[9.15973319 6.13028925],[ 0.71433339 -0.13654155],[7.32669706 3.61888281],[-0.91901111 -0.29783902],[5.798103   6.75917694],[-0.88169298 -0.26158519],[8.01263897 7.03765834],[0.35564334 0.72816939],[4.48955666 5.14937028],[-0.3239191   0.71344754],[7.87711052 5.88406591],[ 0.95457727 -0.05959031],[8.96870134 7.18551741],[0.48570544 0.38994476],[6.93103165 4.07506901],[-0.27153302 -0.81063006],[5.34184537 5.10604257],[-0.7610981  -0.24360456],[5.90264266 4.69091128],[-0.75280821 -0.42197047]
[9.23009511 6.11558083],[ 0.69294028 -0.15754243],[7.23416298 3.5915252 ],[-0.92919089 -0.24694694],[5.71074839 6.73130916],[-0.86440171 -0.29491547],[8.04749271 7.10985801],[0.33931877 0.71379105],[4.45967654 5.22254957],[-0.27154719  0.75136732],[7.97198091 5.87782336],[ 0.94139523 -0.06669051],[9.01612275 7.22353329],[0.46281706 0.37052327],[6.903502   3.99472189],[-0.27987842 -0.79692698],[5.26638638 5.0817853 ],[-0.74790642 -0.24143006],[5.82802411 4.64955381],[-0.74261909 -0.40815308]
[9.29834841 6.09882651],[ 0.66971612 -0.17989896],[7.14063315 3.56925746],[-0.94116598 -0.19840568],[5.62545574 6.70039102],[-0.8439783  -0.32613439],[8.08038542 7.18033075],[0.32116465 0.69841068],[4.43501051 5.29922819],[-0.2186483   0.78444542],[8.06549474 5.87084726],[ 0.92948986 -0.07215051],[9.0611224  7.25949271],[0.4386267  0.35017668],[6.87526938 3.9159354 ],[-0.28518296 -0.77905963],[5.19252991 5.05801968],[-0.72969847 -0.23434816],[5.75428437 4.60945512],[-0.73336305 -0.39496226]
[9.36422465 6.07980019],[ 0.64620792 -0.2021203 ],[7.04588701 3.55175622],[-0.95246223 -0.15063645],[5.54198197 6.66605397],[-0.82598888 -0.36133174],[8.11192737 7.24975044],[0.31024217 0.69058564],[4.41587899 5.37917491],[-0.16224756  0.81531539],[8.15750171 5.8630295 ],[ 0.90788103 -0.08712959],[9.10386754 7.29360455],[0.4146135  0.33047734],[6.84679182 3.83925887],[-0.28751508 -0.75753092],[5.11997841 5.0344308 ],[-0.72211647 -0.23833946],[5.68145658 4.57067878],[-0.72386471 -0.38118355]
[9.42739783 6.05822294],[ 0.61592498 -0.23072334],[6.95038216 3.53933261],[-0.95623429 -0.09660293],[5.46024372 6.62804313],[-0.80790059 -0.39823802],[8.14209778 7.3181209 ],[0.29125794 0.6750203 ],[4.40244806 5.46198332],[-0.10448069  0.84175435],[8.24711027 5.85341563],[ 0.88449844 -0.10505432],[9.1438     7.32535901],[0.38258596 0.30323992],[6.81793409 3.76462981],[-0.2937317  -0.73896611],[5.04833616 5.01054804],[-0.7098162  -0.23850291],[5.60952075 4.53323794],[-0.71303353 -0.36572775]
[9.48734422 6.03360033],[ 0.58284363 -0.26181277],[6.8543635  3.53211302],[-0.96279889 -0.04680129],[5.38017942 6.58610856],[-0.79152723 -0.43882857],[8.17021354 7.38481856],[0.27321696 0.66120529],[4.39549633 5.54781354],[-0.03452893  0.87375055],[8.33467371 5.84227901],[ 0.86499171 -0.11953265],[9.18089419 7.35478092],[0.35843285 0.28443526],[6.7883601  3.69182502],[-0.29897924 -0.71812425],[4.97819703 4.98689707],[-0.69279076 -0.23436195],[5.53870828 4.49741156],[-0.70377836 -0.35130892]
[9.54459206 6.00651732],[ 0.5600821  -0.28167219],[6.75813568 3.53023967],[-0.96207197  0.00874669],[5.3023945  6.54067769],[-0.76560519 -0.47137583],[8.19664997 7.45028529],[0.25432298 0.64703669],[4.39507258 5.63604208],[0.02571459 0.88970166],[8.42041997 5.82982653],[ 0.84918671 -0.13026397],[9.21552513 7.38230813],[0.33341681 0.26545466],[6.75832325 3.62122689],[-0.30625732 -0.69815024],[4.90977195 4.96365583],[-0.67470174 -0.22947035],[5.46867089 4.46289487],[-0.70040212 -0.3424737 ]
[9.59910053 5.97704434],[ 0.52891317 -0.30879332],[6.66183872 3.53368883],[-0.96326033  0.06039326],[5.22717691 6.49189949],[-0.73980387 -0.50542465],[8.22116232 7.51433329],[0.23515564 0.63324125],[4.40076428 5.72569324],[0.0905265 0.9048901],[8.5046511  5.81639372],[ 0.83253454 -0.14126737],[9.2472954  7.40761522],[0.30116853 0.23998971],[6.72706654 3.55222225],[-0.31753408 -0.68033736],[4.84306308 4.94079524],[-0.65931325 -0.22767361],[5.39899227 4.4292817 ],[-0.69530552 -0.33193677]
[9.65008703 5.94450857],[ 0.49076209 -0.34177584],[6.56524162 3.54196923],[-0.96556592  0.10778747],[5.15444616 6.43954818],[-0.71375004 -0.54072197],[8.24381869 7.57708901],[0.21509903 0.61912474],[4.41274154 5.81640344],[0.15125879 0.91083656],[8.58693658 5.8015792 ],[ 0.81658824 -0.15148847],[9.27586534 7.43044102],[0.26895532 0.21539074],[6.69491663 3.48531767],[-0.32549223 -0.65755825],[4.77810907 4.91830424],[-0.64152876 -0.22394855],[5.32989265 4.39679451],[-0.68507682 -0.31613301]
[9.69727672 5.90876111],[ 0.45357985 -0.37235841],[6.46870283 3.55511939],[-0.96264209  0.15724764],[5.08457768 6.38385432],[-0.68081685 -0.57048224],[8.26442035 7.63842123],[0.19765928 0.60830006],[4.43123268 5.90789928],[0.21683115 0.91655557],[8.6678796  5.78603943],[ 0.80146731 -0.15992899],[9.30098813 7.45062716],[0.23358667 0.18857477],[6.66209245 3.42089202],[-0.33208962 -0.63180997],[4.71487211 4.89609624],[-0.6227642  -0.21983578],[5.26194442 4.36604363],[-0.67455404 -0.29946605]
[9.74054669 5.8698424 ],[ 0.41057953 -0.40692772],[6.37293419 3.57356353],[-0.95245482  0.21142581],[5.01793986 6.32506149],[-0.65144313 -0.60503035],[8.28287782 7.69830169],[0.17012863 0.588081  ],[4.45603248 5.99949552],[0.2806192 0.9162438],[8.7472061  5.76958741],[ 0.78606262 -0.16797827],[9.32202264 7.46763171],[0.18922763 0.15381622],[6.6284831 3.359004 ],[-0.3420547  -0.60760905],[4.65344731 4.87420477],[-0.60589973 -0.21825863],[5.19482701 4.33675871],[-0.66778374 -0.28620303]
[9.77959311 5.82765176],[ 0.36792175 -0.43891091],[6.27819852 3.59730661],[-0.94392864  0.26116629],[4.95455073 6.26306272],[-0.6165507  -0.63528787],[8.29861713 7.75624537],[0.14568914 0.5719779 ],[4.48722956 6.09088371],[0.34526441 0.91286306],[8.8246611  5.75202759],[ 0.76547637 -0.18074773],[9.33847014 7.48106743],[0.14192901 0.11730519],[6.59338636 3.29915662],[-0.36014241 -0.58921586],[4.59364474 4.85236441],[-0.5879837  -0.21650628],[5.12853426 4.30896227],[-0.65704791 -0.26863038]
[9.81395369 5.78197608],[ 0.31975797 -0.47364544],[6.18420741 3.62572504],[-0.93375193  0.30869651],[4.89462   6.1979495],[-0.58052201 -0.66554616],[8.31173512 7.81244555],[0.11477728 0.55031325],[4.52449305 6.18136765],[0.39852309 0.89509481],[8.90003229 5.73318349],[ 0.7407895  -0.19728205],[9.35013911 7.49086949],[0.0901442  0.07765465],[6.55654379 3.24133676],[-0.37678241 -0.56684983],[4.5359367  4.83096464],[-0.56595633 -0.21136059],[5.06356501 4.28320699],[-0.64377092 -0.24779822]
[9.84294064 5.73243543],[ 0.26097114 -0.51555447],[6.09179045 3.65929482],[-0.91574804  0.36097123],[4.83820911 6.12967565],[-0.54557791 -0.69787755],[8.32165051 7.86642876],[0.08466226 0.5306422 ],[4.56731671 6.2702112 ],[0.4575902  0.88112935],[8.97330123 5.71306994],[ 0.72143688 -0.20803977],[9.35634549 7.49649631],[0.03283182 0.03398049],[6.51846887 3.18631005],[-0.38561368 -0.53421115],[4.48060641 4.81021956],[-0.54218942 -0.20518101],[4.99961413 4.25925581],[-0.63803263 -0.23398159]
[9.86581834 5.67868204],[ 0.19601116 -0.55929272],[6.00101665 3.69776441],[-0.89891144  0.40854952],[4.78528259 6.05812086],[-0.5096351  -0.72992193],[8.32856653 7.91850761],[0.0533726  0.51080671],[4.61567274 6.35718953],[0.50864198 0.857422  ],[9.04427445 5.69154156],[ 0.69673121 -0.22375007],[9.35631215 7.49732897],[-0.03404351 -0.01760013],[6.47900341 3.13417143],[-0.40289417 -0.50732764],[4.4276199  4.79001753],[-0.51831806 -0.19978442],[4.93640233 4.23686321],[-0.62595239 -0.21349799]
[9.88165913 5.62027886],[ 0.12085951 -0.60769231],[5.91200971 3.74088714],[-0.88154756  0.45286609],[4.7363547  5.98373304],[-0.46779069 -0.75670403],[8.33231716 7.96861832],[0.02211794 0.4920332 ],[4.66927693 6.44188172],[0.56303257 0.83588996],[9.112692   5.66837385],[ 0.67393023 -0.23721791],[9.3495802  7.49308048],[-0.10399196 -0.07048184],[6.43816771 3.0852234 ],[-0.4149224  -0.47227626],[4.37680675 4.77008562],[-0.49627118 -0.19735384],[4.87432612 4.21647991],[-0.61644435 -0.19496976]
[9.88985598 5.55723183],[ 0.04380681 -0.65135888],[5.82482556 3.78832318],[-0.86112021  0.49623729],[4.69146161 5.90649939],[-0.42911522 -0.78697496],[8.33239494 8.01636078],[-0.0214963   0.46207941],[4.72808853 6.52414006],[0.61207062 0.80814612],[9.17867708 5.64373698],[ 0.64855561 -0.25263572],[9.33538245 7.48316345],[-0.17912787 -0.12674368],[6.39579433 3.03960239],[-0.43148869 -0.43858403],[4.32830967 4.75044738],[-0.47347321 -0.19542936],[4.81303317 4.19780009],[-0.60735207 -0.17647707]
[9.89059887 5.49041951],[-0.02905976 -0.68385784],[5.73979818 3.84002099],[-0.83970141  0.53675587],[4.65059206 5.82640012],[-0.38505309 -0.81173208],[8.32827927 8.06134112],[-0.06057477  0.43794081],[4.79163323 6.60343759],[0.65963291 0.77866441],[9.2420188 5.617487 ],[ 0.62022429 -0.27035209],[9.3132391 7.4672754],[-0.26234642 -0.18937872],[6.35194257 2.99769919],[-0.4466312  -0.40002237],[4.28237235 4.73121374],[-0.44644555 -0.19063938],[4.75311814 4.18147576],[-0.59380843 -0.15273821]
[9.88359683 5.42026478],[-0.11192822 -0.71888395],[5.65727466 3.89594037],[-0.81000509  0.58184111],[4.61415844 5.74385952],[-0.3423051  -0.83758626],[8.31994139 8.10364901],[-0.10563492  0.40892978],[4.85975446 6.67960628],[0.7022775  0.74432921],[9.30264349 5.58961867],[ 0.59160655 -0.28754494],[9.28259485 7.44501913],[-0.35209191 -0.25712836],[6.30674432 2.96000544],[-0.46033513 -0.35625286],[4.23917639 4.7124227 ],[-0.41819087 -0.18614353],[4.69433198 4.16733449],[-0.58124884 -0.12933318]
[9.86809258 5.34680067],[-0.19821471 -0.74913608],[5.57756819 3.95603795],[-0.78340584  0.62019548],[4.58237364 5.65913645],[-0.29105297 -0.85451042],[8.30639446 8.14241055],[-0.16554349  0.36624588],[4.93209935 6.75232133],[0.74782181 0.71335167],[9.3602605  5.55992964],[ 0.55805735 -0.30878614],[9.24282483 7.41588375],[-0.44116657 -0.32337308],[6.25963075 2.92634149],[-0.48147676 -0.31594077],[4.19877557 4.69396671],[-0.39026135 -0.18371199],[4.63701675 4.15578814],[-0.56225992 -0.09861838]
[9.84374896 5.2705154 ],[-0.28784414 -0.77450118],[5.50055346 4.01981435],[-0.75617629  0.65542035],[4.55576209 5.57277685],[-0.24101129 -0.87237783],[8.28718484 8.17728212],[-0.22060468  0.32931975],[5.00885291 6.82183187],[0.78442411 0.67426999],[9.41468028 5.52832358],[ 0.52623929 -0.32724196],[9.19424857 7.38023795],[-0.52989957 -0.38917302],[6.21016219 2.89667202],[-0.50774485 -0.27668919],[4.16114254 4.67562924],[-0.35941231 -0.18036187],[4.58161185 4.14738386],[-0.54500501 -0.0684611 ]
