[6.99078656 8.48529804],[-1.17083988  0.10329174],[1.94820186 4.05086692],[-0.48135752  0.86937279],[7.93956289 4.9657312 ],[0.28566194 0.86660719],[2.97089383 6.66227695],[-0.91743878 -0.04967235],[3.31802204 1.68964258],[-0.91828232  0.50084932],[9.42179634 4.28244589],[-0.04787094 -0.87960347],[0.52798907 2.1241712 ],[-0.48865948  0.77635711],[5.79590098 5.95018804],[-0.9476969  0.5832286],[2.35190839 7.32337066],[ 1.17277914 -0.52200495],[4.09007307 4.7536043 ],[-0.59946989 -0.84571465]
[6.87307961 8.49130967],[-1.18526549  0.01475602],[1.90341551 4.13921558],[-0.41704607  0.89492365],[7.96426339 5.05338129],[0.20479632 0.88305982],[2.88067227 6.6555502 ],[-0.88712975 -0.08457321],[3.22841134 1.74387986],[-0.87742734  0.57958217],[9.41093472 4.1946447 ],[-0.17097285 -0.87686102],[0.48384902 2.20602376],[-0.39298575  0.86045456],[5.70041344 6.00641115],[-0.95828052  0.54530791],[2.46806822 7.26996302],[ 1.15245491 -0.54385883],[4.03082971 4.66963286],[-0.58792952 -0.8360431 ]
[6.7541629  8.48861826],[-1.19636972 -0.07212973],[1.86490564 4.22993693],[-0.35465284  0.91786505],[7.98010429 5.14203378],[0.11373208 0.89200795],[2.79291073 6.64483494],[-0.86842616 -0.130014  ],[3.14275787 1.80561054],[-0.83618864  0.6535117 ],[9.38735469 4.10712432],[-0.29862872 -0.87025254],[0.44943901 2.29597755],[-0.29737405  0.93473709],[5.60376315 6.05880617],[-0.97566703  0.50168649],[2.5822875  7.21455416],[ 1.13092814 -0.56513583],[3.97284639 4.58679477],[-0.57414312 -0.82294553]
[6.63439537 8.47740383],[-1.20066137 -0.15391099],[1.83265989 4.32290937],[-0.29183374  0.93970923],[7.98739329 5.23219573],[0.02902461 0.90804568],[2.70712375 6.62967011],[-0.84679229 -0.17276439],[3.06164078 1.87484975],[-0.78680451  0.72950384],[9.35108222 4.020747  ],[-0.4274514  -0.85675102],[0.42485373 2.39307958],[-0.19514821  1.00456098],[5.50578828 6.10726367],[-0.98454381  0.46687472],[2.69429087 7.15700689],[ 1.11251347 -0.58211867],[3.91597058 4.50505519],[-0.56333491 -0.81157146]
[6.51440261 8.45816262],[-1.19608574 -0.22754939],[1.80675184 4.41801975],[-0.22657025  0.96178824],[7.98575896 5.32349173],[-0.06379944  0.91554559],[2.62335564 6.61006057],[-0.82927241 -0.2202542 ],[2.98530577 1.95118907],[-0.7385678   0.79737366],[9.30205386 3.93621249],[-0.55292111 -0.83292454],[0.41047116 2.49654611],[-0.09306742  1.06233358],[5.40695011 6.1522879 ],[-0.99261606  0.43332225],[2.80467331 7.09809128],[ 1.09293297 -0.59817653],[3.85986038 4.42420876],[-0.55975373 -0.80597029]
[6.39507566 8.43181997],[-1.18822085 -0.29672645],[1.78704691 4.51488899],[-0.16740738  0.97545653],[7.97460587 5.41523764],[-0.1605322   0.91763797],[2.5417466  6.58605807],[-0.80120554 -0.25806473],[2.91392292 2.03407233],[-0.68782339  0.86027406],[9.24026487 3.85410673],[-0.67960339 -0.80552923],[0.4058688  2.60482431],[0.00292205 1.10361994],[5.30718991 6.19384585],[-1.00305708  0.3973575 ],[2.91306906 7.03760494],[ 1.07438967 -0.61196611],[3.80414915 4.34404843],[-0.55436267 -0.79690216]
[6.27653348 8.39862   ],[-1.18136158 -0.3658345 ],[1.77349685 4.6132497 ],[-0.10370136  0.99114796],[7.9541942  5.50743344],[-0.24845931  0.9244402 ],[2.46269673 6.55799712],[-0.77750277 -0.30098561],[2.84764531 2.12289717],[-0.63796223  0.91476623],[9.16679719 3.77582916],[-0.78675416 -0.75725872],[0.410959   2.71685314],[0.09641803 1.13324256],[5.2065362 6.2319403],[-1.00818246  0.36639608],[3.01913163 6.97529874],[ 1.05026208 -0.63064745],[3.74914546 4.26503516],[-0.54610309 -0.78355219]
[6.15903838 8.35893275],[-1.16957178 -0.42851553],[1.7664884  4.71318594],[-0.03977258  1.00376488],[7.92465822 5.59967391],[-0.34227368  0.91916367],[2.38569068 6.52524442],[-0.75949313 -0.35121756],[2.78646123 2.21691848],[-0.58502334  0.96517047],[9.08303316 3.70272567],[-0.88907553 -0.70610154],[0.42520106 2.83129376],[0.18748278 1.15375773],[5.10533615 6.26690862],[-1.01613339  0.33259849],[3.12329934 6.9117008 ],[ 1.03562776 -0.63849903],[3.69471411 4.18717631],[-0.53777107 -0.76865639]
[6.04300545 8.31336697],[-1.1504878  -0.48153706],[1.76554477 4.81393162],[0.02190532 1.01178487],[7.88593907 5.69121744],[-0.43153452  0.91072002],[2.31119919 6.48810428],[-0.73192101 -0.39330787],[2.73072552 2.31578383],[-0.53067247  1.01007884],[8.98955301 3.63502012],[-0.97431496 -0.6429473 ],[0.44808183 2.94706768],[0.26862873 1.15992454],[5.00349213 6.29862049],[-1.01970699  0.30274404],[3.22552896 6.84691008],[ 1.009747  -0.6564904],[3.64155666 4.11130035],[-0.5274419  -0.75072163]
[5.92905446 8.2628546 ],[-1.12949522 -0.52901943],[1.7705109  4.91510673],[0.07702043 1.01117328],[7.8380203  5.78119714],[-0.5257837   0.88831767],[2.23924983 6.44646719],[-0.70725349 -0.43986   ],[2.6805891  2.41897962],[-0.47419124  1.05069124],[8.88805083 3.57379258],[-1.0536707  -0.58111923],[0.47895443 3.06322083],[0.3479258  1.16198378],[4.90100845 6.32704777],[-1.02878396  0.26669863],[3.32545554 6.78063079],[ 0.99073861 -0.666943  ],[3.5889095  4.03676617],[-0.52433487 -0.73851168]
[5.81709128 8.20764409],[-1.10861141 -0.57331883],[1.78116676 5.01632378],[0.13704377 1.01376788],[7.78094152 5.86871173],[-0.61576638  0.86017281],[2.16998855 6.40031426],[-0.67634557 -0.48174544],[2.6357982  2.52565658],[-0.42340606  1.08038676],[8.77952844 3.51920991],[-1.11477286 -0.51015872],[0.51726299 3.17903423],[0.41715732 1.15338217],[4.79768589 6.35186994],[-1.03438994  0.23286068],[3.42367748 6.71356794],[ 0.97117881 -0.67669856],[3.53663916 3.96359893],[-0.52188835 -0.72540243]
[5.7073107  8.14828384],[-1.08822247 -0.61452855],[1.79809763 5.11793313],[0.20055802 1.0170728 ],[7.71548837 5.95348707],[-0.69426105  0.83235646],[2.10401385 6.35010069],[-0.64224457 -0.52176463],[2.59579318 2.63482608],[-0.37626384  1.10282204],[8.66541709 3.47176898],[-1.16647178 -0.43945812],[0.56232354 3.29386058],[0.48188692 1.14121771],[4.69366801 6.37312249],[-1.04431789  0.19349246],[3.51999918 6.64562779],[ 0.95553437 -0.68163839],[3.48487424 3.89208007],[-0.51400473 -0.70536606]
[5.59970456 8.08511018],[-1.06338297 -0.64780924],[1.82096799 5.21935294],[0.25482356 1.00920874],[7.64215174 6.03487214],[-0.77187502  0.79401939],[2.04141257 6.2957823 ],[-0.60926627 -0.56423118],[2.56063841 2.74620468],[-0.32738914  1.12373237],[8.54657787 3.43131388],[-1.20643616 -0.36751812],[0.61369014 3.40738036],[0.54430303 1.1284404 ],[4.58883635 6.3905207 ],[-1.04703287  0.15967802],[3.61460017 6.57708964],[ 0.9352443  -0.69028898],[3.4336399 3.8223781],[-0.51333385 -0.69105555]
