[5.06792042 8.14575038],[-1.12270141 -4.06789974],[2.45271893 4.719974  ],[0.5169978  4.41759902],[2.18021442 6.49028597],[ 3.7759439  -1.05813262],[3.75623916 0.30897493],[3.06562132 0.19433446],[8.06733921 5.4001233 ],[-0.11104407  4.39766027],[8.61734526 3.33119452],[-4.39517649 -2.03457717],[8.74732991 9.62090347],[-0.34417122 -4.75046409],[0.2309229  0.75553173],[0.51289128 4.16508387],[0.29915851 9.5471252 ],[-1.91795299 -2.76464632],[5.9687798  6.13141238],[-3.34946613  4.68677082]
[3.88189287 3.29466044],[-0.1665231  -0.64460019],[5.85285288 7.19243591],[ 0.77445579 -0.54546942],[6.71101284 4.70536487],[ 0.47742658 -0.39336445],[5.23165286 5.21410223],[-0.38879378  1.03810938],[3.8831825  6.71075554],[-0.83988147 -0.65285255],[3.68647757 5.37529903],[-0.54066285  0.86803461],[4.77951262 5.31233809],[-0.98083507 -0.43898046],[3.9460458  5.55400352],[0.85838659 0.63699926],[3.45917523 5.36838697],[ 1.0663128  -0.35663729],[2.23517628 6.28210819],[-0.18765325 -1.00514819]
[3.86526804 3.23106093],[-0.16609856 -0.62741945],[5.92924033 7.135966  ],[ 0.74966177 -0.58688337],[6.7573393  4.66587143],[ 0.44834066 -0.3970802 ],[5.19224823 5.31717764],[-0.40130068  1.02138442],[3.80025599 6.64428673],[-0.81695626 -0.67481074],[3.63385198 5.46250066],[-0.51365035  0.87399341],[4.68137748 5.26868442],[-0.97863682 -0.43099505],[4.03160056 5.61697759],[0.85389895 0.62365116],[3.56561394 5.33344114],[ 1.06250764 -0.34217915],[2.21932908 6.18108398],[-0.1315486  -1.01709203]
[3.84880277 3.16933038],[-0.1623131  -0.60625165],[6.00256344 7.07496037],[ 0.71678623 -0.63259275],[6.80072267 4.62603862],[ 0.41743123 -0.40125652],[5.15132746 5.41831833],[-0.41375352  1.00471567],[3.71961284 6.57560838],[-0.79575736 -0.69859217],[3.58372603 5.55003825],[-0.49072169  0.87479447],[4.58378946 5.2261172 ],[-0.9721917  -0.41952639],[4.11686552 5.67876656],[0.85089425 0.61159762],[3.67151499 5.2997886 ],[ 1.05212444 -0.33449915],[2.20905923 6.0789716 ],[-0.07417859 -1.02497483]
[3.83261858 3.109646  ],[-0.15853069 -0.58449338],[6.07240171 7.00938105],[ 0.68111963 -0.67717299],[6.84105785 4.5859065 ],[ 0.38844466 -0.40196883],[5.10959623 5.51817382],[-0.42093666  0.99213533],[3.64158571 6.50504559],[-0.76745552 -0.7152947 ],[3.53565941 5.637388  ],[-0.47019721  0.87256241],[4.48695269 5.18477675],[-0.96441445 -0.40722788],[4.20178288 5.73928866],[0.8496166  0.60100882],[3.77635496 5.26681562],[ 1.04424611 -0.32540314],[2.20458671 5.97626476],[-0.01580301 -1.02921592]
[3.81708795 3.05243565],[-0.15136336 -0.55891171],[6.13867168 6.93954645],[ 0.64355924 -0.71953571],[6.87787062 4.54516553],[ 0.34994303 -0.41043202],[5.06702628 5.6166029 ],[-0.43012293  0.97664936],[3.56617438 6.432595  ],[-0.73880151 -0.73171605],[3.4894217 5.7242677],[-0.45446067  0.8650976 ],[4.39072896 5.14446764],[-0.96042084 -0.39947799],[4.28661679 5.79879212],[0.84941292 0.59139124],[3.88071098 5.23505303],[ 1.0446067  -0.30790223],[2.20565346 5.87299423],[ 0.0363423  -1.03625228]
[3.80216049 2.9976971 ],[-0.14829737 -0.53685619],[6.20126613 6.86576499],[ 0.6073765 -0.7563483],[6.9109856  4.50382967],[ 0.31049251 -0.41781822],[5.02391457 5.71380564],[-0.43147706  0.96781964],[3.49375229 6.35862125],[-0.71002069 -0.74811852],[3.44491001 5.81053528],[-0.43397059  0.8619692 ],[4.2954291  5.10543683],[-0.95064734 -0.38629661],[4.37114539 5.85703573],[0.8449515  0.57722587],[3.9851574 5.2051634],[ 1.04239246 -0.29171016],[2.21201348 5.76930237],[ 0.09055165 -1.03725075]
[3.78767629 2.94533968],[-0.14288217 -0.51167726],[6.25959982 6.78787715],[ 0.56109833 -0.79886013],[6.94011278 4.46182723],[ 0.27119605 -0.42270869],[4.98044653 5.80983968],[-0.43927737  0.95137147],[3.42405795 6.2828494 ],[-0.68441067 -0.76783688],[3.40274487 5.89673541],[-0.41076661  0.86043786],[4.20071883 5.06729558],[-0.9445312  -0.37767547],[4.45511733 5.91373045],[0.83762782 0.55968198],[4.08929643 5.17683634],[ 1.03828792 -0.27696157],[2.22377307 5.66567044],[ 0.14285916 -1.0364213 ]
[3.7741346 2.8959364],[-0.12984614 -0.47821853],[6.31382851 6.70647688],[ 0.5204521  -0.83151615],[6.96477787 4.41893669],[ 0.22210696 -0.434639  ],[4.9357881  5.90381518],[-0.45311198  0.92895911],[3.35710467 6.20527908],[-0.65678512 -0.78567812],[3.36250577 5.98234805],[-0.39632161  0.8495259 ],[4.10653659 5.02987925],[-0.93933289 -0.37103253],[4.53851358 5.96879416],[0.83521533 0.54647124],[4.19270087 5.1496459 ],[ 1.03079969 -0.26594345],[2.24032863 5.5619205 ],[ 0.18810482 -1.037863  ]
[3.76157973 2.84959854],[-0.12058203 -0.44773444],[6.36343458 6.62147335],[ 0.47033811 -0.86911835],[6.98447125 4.37494863],[ 0.17095011 -0.44539263],[4.88998049 5.99578027],[-0.46333893  0.90996725],[3.29292737 6.12593254],[-0.62690752 -0.8013704 ],[3.32397013 6.06711158],[-0.376628    0.84339368],[4.01289294 4.99309327],[-0.93357764 -0.36493958],[4.62171117 6.0225649 ],[0.83019259 0.53033411],[4.29529445 5.1234756 ],[ 1.02154264 -0.25709112],[2.26142541 5.45828183],[ 0.23259055 -1.03522395]
[3.74974126 2.80615073],[-0.11553316 -0.42038751],[6.40842892 6.53333036],[ 0.42819637 -0.89447321],[6.99876211 4.32978313],[ 0.11735224 -0.45480716],[4.84344609 6.08611061],[-0.46613034  0.89765703],[3.23161032 6.04488372],[-0.59729582 -0.81740385],[3.2873778  6.15119482],[-0.35649083  0.83691882],[3.91984779 4.95687336],[-0.92252629 -0.35463973],[4.70464147 6.07493806],[0.82535143 0.51398276],[4.39710572 5.09831978],[ 1.01358859 -0.24718415],[2.28713354 5.35529472],[ 0.2835462  -1.02196114]
[3.73861639 2.76570896],[-0.10652241 -0.38781781],[6.44846337 6.44212163],[ 0.37256076 -0.92882577],[7.00780873 4.28399277],[ 0.05901157 -0.46485623],[4.79636628 6.17489262],[-0.47595986  0.87745749],[3.17334283 5.96231718],[-0.56595279 -0.83183814],[3.25290798 6.234694  ],[-0.33398728  0.83178705],[3.82797949 4.92174861],[-0.91380372 -0.34695137],[4.78720277 6.12576294],[0.82568379 0.50229528],[4.49829776 5.07433324],[ 1.00821239 -0.23456271],[2.31804362 5.25388047],[ 0.33226028 -1.00811578]
[3.72815151 2.72835359],[-0.10195739 -0.3582256 ],[6.48307164 6.34786102],[ 0.32093901 -0.95437443],[7.01047059 4.2368908 ],[-0.00278612 -0.47340286],[4.74860227 6.26192153],[-0.48332311  0.85908307],[3.11831824 5.87840405],[-0.53584172 -0.84770021],[3.22053626 6.3174704 ],[-0.31585331  0.8213023 ],[3.73716028 4.88754419],[-0.90363107 -0.33833608],[4.86947738 6.17508237],[0.81727785 0.4814038 ],[4.59890175 5.05157002],[ 1.00289426 -0.22164156],[2.35336759 5.15359536],[ 0.37631063 -0.9948522 ]
[3.71861676 2.6945123 ],[-0.09107033 -0.32067658],[6.51281206 6.25152681],[ 0.2712175  -0.97437921],[7.00649938 4.18874774],[-0.07188177 -0.48380251],[4.69975699 6.3467546 ],[-0.49483187  0.83628863],[3.06642674 5.79302226],[-0.50267094 -0.86052536],[3.19038576 6.39956086],[-0.28724525  0.8201168 ],[3.64741907 4.85423557],[-0.89321792 -0.33001434],[4.950827  6.2221744],[0.81051953 0.4610917 ],[4.69871885 5.02985242],[ 0.98981226 -0.2165684 ],[2.39365306 5.05534348],[ 0.42838211 -0.97069449]
[3.70999096 2.66433739],[-0.08576889 -0.28681726],[6.53711627 6.15293645],[ 0.21403179 -0.99753796],[6.99569521 4.1399281 ],[-0.1467186  -0.49411861],[4.65016814 6.4296878 ],[-0.49926563  0.81990299],[3.01784279 5.70635253],[-0.4645418  -0.86848493],[3.16312847 6.48146908],[-0.25991436  0.81575221],[3.55847993 4.82147157],[-0.88451365 -0.32437274],[5.03146729 6.26715773],[0.80052642 0.4366042 ],[4.79732867 5.00868931],[ 0.98354629 -0.20544732],[2.43836469 4.95889803],[ 0.46682276 -0.95655138]
[3.70192687 2.63769043],[-0.0747585  -0.24500726],[6.55556218 6.05212588],[ 0.15731275 -1.01557017],[6.97706187 4.09005179],[-0.22747023 -0.50391352],[4.59962633 6.51044387],[-0.51112685  0.79558665],[2.97336032 5.61913149],[-0.42559409 -0.87643831],[3.13795033 6.56222965],[-0.24225602  0.80078883],[3.47081101 4.78964594],[-0.86959129 -0.31290409],[5.11147186 6.31000342],[0.7981772  0.41882655],[4.89509204 4.9884312 ],[ 0.97074932 -0.20086168],[2.48707758 4.86422105],[ 0.50751291 -0.93633878]
[3.69517056 2.61555246],[-0.06036942 -0.197347  ],[6.56848132 5.94984273],[ 0.10091837 -1.02964437],[6.94991264 4.03908731],[-0.31665834 -0.51549869],[4.54785889 6.58870825],[-0.52505139  0.76880355],[2.93232154 5.53066034],[-0.39416348 -0.89186594],[3.1147269 6.6416418],[-0.22026975  0.78925606],[3.38451486 4.75883643],[-0.85754754 -0.30461207],[5.19119891 6.3509963 ],[0.79558556 0.40016463],[4.99160147 4.96862288],[ 0.95811805 -0.19675917],[2.54000134 4.77187149],[ 0.55096495 -0.91014404]
[3.68961646 2.59808308],[-0.04976615 -0.15062035],[6.57594549 5.84650439],[ 0.04754305 -1.03751111],[6.91387106 3.98731429],[-0.40382141 -0.51870317],[4.49462617 6.66420042],[-0.53854755  0.74203188],[2.89426389 5.44051976],[-0.36455485 -0.90829987],[3.09385107 6.71998106],[-0.19638201  0.77819923],[3.29917724 4.72856964],[-0.84908177 -0.30078667],[5.27053908 6.38995784],[0.79250221 0.38024308],[5.08708925 4.94945006],[ 0.95142845 -0.18684493],[2.59711206 4.68213495],[ 0.58915865 -0.88610364]
[3.6853775  2.58570037],[-0.03620561 -0.09769174],[6.57820127 5.74263665],[-0.00395856 -1.04102707],[6.86932543 3.93571535],[-0.48487592 -0.51033814],[4.44022305 6.73716143],[-0.54756352  0.71900946],[2.85930124 5.348915  ],[-0.33378625 -0.9226999 ],[3.07557448 6.79734059],[-0.1708542   0.76703523],[3.21470074 4.69864712],[-0.84146561 -0.29888008],[5.34925122 6.42656291],[0.78102853 0.35089989],[5.18162426 4.9309958 ],[ 0.93936671 -0.18223644],[2.65779426 4.59472643],[ 0.62170645 -0.86425736]
[3.6827315  2.57902659],[-0.01817835 -0.03664954],[6.57488647 5.63813652],[-0.06437434 -1.05036628],[6.81676339 3.88526756],[-0.56749204 -0.49922533],[4.38504558 6.80789853],[-0.55754922  0.6940541 ],[2.82765437 5.25615316],[-0.29584495 -0.92917687],[3.05982853 6.87347873],[-0.1432252  0.75626  ],[3.13121855 4.66909419],[-0.82850595 -0.29259276],[5.42724405 6.46059644],[0.77718222 0.32800888],[5.27507548 4.91311559],[ 0.93090672 -0.17410532],[2.72158497 4.50953167],[ 0.65494971 -0.83830542]
[3.68178848 2.5785563 ],[0.00163243 0.03021388],[6.5661074  5.53343257],[-0.11211025 -1.04448925],[6.7556566  3.83580268],[-0.65297116 -0.48819484],[4.32878215 6.8760093 ],[-0.57038876  0.66536276],[2.79995486 5.16289024],[-0.26209898 -0.93984479],[3.04705116 6.94863672],[-0.11188018  0.74695709],[3.04889987 4.63999611],[-0.81615139 -0.28771716],[5.50490543 6.49234973],[0.77771163 0.30867181],[5.36741791 4.89579575],[ 0.91581079 -0.17264255],[2.78898216 4.42735779],[ 0.69204424 -0.80565549]
[3.68265534 2.58481709],[0.01717699 0.09717013],[6.55234683 5.42917629],[-0.16410866 -1.04140529],[6.68650812 3.78800864],[-0.72722066 -0.46498052],[4.27102228 6.94099446],[-0.58683578  0.63216461],[2.77574658 5.06872773],[-0.22268117 -0.94393281],[3.0372552  7.02259286],[-0.08492173  0.73096952],[2.96781828 4.6113549 ],[-0.80707182 -0.28688448],[5.58232168 6.52183959],[0.77202721 0.28238743],[5.45854185 4.87889338],[ 0.9065997  -0.16541857],[2.85957805 4.34808187],[ 0.7179609  -0.78127429]
[3.68538343 2.59830666],[0.0385961  0.17453372],[6.53332718 5.3252702 ],[-0.21505697 -1.03526958],[6.61035608 3.74294008],[-0.7943     -0.43521119],[4.21167131 7.00266115],[-0.5996367   0.60153549],[2.75520001 4.97391348],[-0.18600297 -0.94993505],[3.03028072 7.09496814],[-0.05400569  0.7167192 ],[2.88792393 4.58302497],[-0.79006268 -0.27901726],[5.65905035 6.54852184],[0.76413749 0.2526976 ],[5.54840927 4.86237987],[ 0.89223145 -0.16343514],[2.93262494 4.27125012],[ 0.74636109 -0.75153539]
[3.6903346  2.61983813],[0.05815085 0.25447608],[6.5090278  5.22188577],[-0.26828059 -1.02949911],[6.52754994 3.7007924 ],[-0.85740367 -0.40396994],[4.15100465 7.06116698],[-0.61323718  0.56883539],[2.73867912 4.87888354],[-0.14519056 -0.95141037],[3.02638917 7.16577911],[-0.02374996  0.69919643],[2.81001009 4.55575633],[-0.76882623 -0.26699619],[5.73517813 6.57236769],[0.75982669 0.22545812],[5.63688385 4.84609749],[ 0.87950629 -0.16000121],[3.00846996 4.1974822 ],[ 0.77318633 -0.72074682]
[3.69728687 2.64961635],[0.08235776 0.34308811],[6.47969439 5.11943762],[-0.32028051 -1.02119578],[6.43872331 3.6618666 ],[-0.91661677 -0.37295174],[4.08896603 7.1163209 ],[-0.62706552  0.53447674],[2.7262074  4.78369536],[-0.10582489 -0.95372468],[3.02564907 7.23482594],[0.00895946 0.68130652],[2.73377892 4.52923033],[-0.75631115 -0.26415467],[5.81072423 6.5932845 ],[0.75159077 0.19318422],[5.72429365 4.83038476],[ 0.86653726 -0.15641498],[3.0870217  4.12694608],[ 0.79780086 -0.68962133]
[3.70676032 2.68851665],[0.10957599 0.43768339],[6.44567608 5.01838584],[-0.360748  -1.0007079],[6.34470305 3.62651592],[-0.96686401 -0.33817642],[4.02549384 7.16790822],[-0.64099088  0.49839217],[2.71762605 4.68828081],[-0.06689613 -0.95538638],[3.02829205 7.30204098],[0.04542301 0.66396224],[2.65856241 4.50269612],[-0.74692128 -0.26564899],[5.88574081 6.61121284],[0.74828132 0.16479558],[5.81018184 4.81480149],[ 0.85179865 -0.15477878],[3.16809848 4.05971122],[ 0.82109498 -0.65732408]
[3.71929203 2.73728716],[0.13877297 0.53540991],[6.40719254 4.91896935],[-0.40839988 -0.98702889],[6.24610595 3.59477516],[-1.00322622 -0.29576648],[3.96081516 7.21598633],[-0.65159881  0.46386547],[2.71298935 4.59281584],[-0.0264041  -0.95432827],[3.03475404 7.36750595],[0.08256293 0.64351281],[2.58442932 4.47609229],[-0.7333215  -0.26415661],[5.96021487 6.6260411 ],[0.74311406 0.13353303],[5.89493477 4.79973788],[ 0.83961983 -0.15011786],[3.25129582 3.99561261],[ 0.84361352 -0.62350368]
[3.73397499 2.79504872],[0.15943594 0.6240026 ],[6.36418855 4.82119285],[-0.45332638 -0.97010539],[6.14422494 3.56735173],[-1.03597279 -0.25539065],[3.89507174 7.2605155 ],[-0.6657906  0.4238551],[2.71258723 4.49768341],[ 0.01681322 -0.94969441],[3.04458599 7.43039957],[0.11557254 0.61528698],[2.51190091 4.44983983],[-0.7157092  -0.25945779],[6.03426044 6.63778923],[0.73579764 0.09928654],[5.97827743 4.78495328],[ 0.82767201 -0.14505409],[3.3369333  3.93520798],[ 0.86831438 -0.58498836]
[3.75102932 2.86183715],[0.18256891 0.71191356],[6.31706237 4.7254871 ],[-0.49085379 -0.94581113],[6.0394647  3.54404969],[-1.05992291 -0.21241044],[3.82735105 7.30035867],[-0.68469607  0.37650183],[2.71665837 4.40319669],[ 0.06177194 -0.94262398],[3.05832498 7.49086618],[0.15789046 0.59201359],[2.44123456 4.42412375],[-0.69592062 -0.25325139],[6.10690461 6.64536162],[0.71688157 0.05164467],[6.06010007 4.77036014],[ 0.80907479 -0.14650933],[3.42446294 3.87819348],[ 0.87894981 -0.55839825]
[3.77076847 2.93751097],[0.20916842 0.79728842],[6.26598131 4.63199653],[-0.53065759 -0.92394716],[5.93259682 3.52504808],[-1.07701483 -0.16828016],[3.75826056 7.33585658],[-0.69867202  0.3314537 ],[2.72498439 4.30924264],[ 0.10541131 -0.93554236],[3.07654561 7.5490104 ],[0.20856877 0.57206259],[2.37246633 4.3989138 ],[-0.68001581 -0.2516741 ],[6.17798189 6.64839682],[0.70442883 0.00858363],[6.14009738 4.75564953],[ 0.79206488 -0.14652566],[3.51307706 3.82393037],[ 0.89370537 -0.52618895]
[3.7927365  3.02091554],[0.22833855 0.86750289],[6.2109707  4.54073703],[-0.57024343 -0.90199249],[5.82410498 3.51026861],[-1.09413574 -0.12972062],[3.68781345 7.36674005],[-0.70698669  0.28909676],[2.73789412 4.21627072],[ 0.15354139 -0.92296684],[3.09963609 7.60468287],[0.25173062 0.5390355 ],[2.30541221 4.37393375],[-0.66243678 -0.24944667],[6.24801253 6.64726266],[ 0.69243363 -0.03522075],[6.21846817 4.74102042],[ 0.77484401 -0.14653992],[3.60303169 3.77284183],[ 0.90800494 -0.49266589]
[3.81644284 3.11074139],[0.24382586 0.92548713],[6.15172782 4.45140565],[-0.60953263 -0.87963246],[5.71406312 3.49918325],[-1.10218529 -0.08823168],[3.61644296 7.39315463],[-0.72117194  0.23785927],[2.75506267 4.12407928],[ 0.19305779 -0.917202  ],[3.12719217 7.65692168],[0.29970046 0.50513897],[2.24020148 4.34920919],[-0.64217174 -0.24559236],[6.31650783 6.64133655],[ 0.67975516 -0.08116677],[6.29520108 4.72648919],[ 0.75827152 -0.14560431],[3.6944391  3.72522783],[ 0.92113827 -0.45834477]
[3.84172271 3.20594255],[0.2603872  0.97559767],[6.08917776 4.36489856],[-0.64292046 -0.85212103],[5.60330062 3.49211106],[-1.11420157 -0.05548753],[3.54349349 7.41408932],[-0.73577217  0.18216983],[2.77653627 4.03291092],[ 0.23625058 -0.90591114],[3.15971629 7.70563313],[0.34916071 0.46649419],[2.17686472 4.32466185],[-0.6250541  -0.24607045],[6.38384108 6.63087553],[ 0.66892538 -0.12608188],[6.37024138 4.71203052],[ 0.74296931 -0.14306176],[3.78699619 3.68097065],[ 0.93085394 -0.42575069]
[3.8684738  3.30552363],[0.27330094 1.01330731],[6.02279692 4.28062822],[-0.68027449 -0.82900897],[5.49197564 3.48868212],[-1.1139684  -0.01534696],[3.46962722 7.42979801],[-0.74313754  0.12980955],[2.8022549  3.94290491],[ 0.27996219 -0.89204012],[3.19745412 7.75042158],[0.40531664 0.42796525],[2.11547047 4.30022892],[-0.60259842 -0.24252974],[6.45003714 6.61584673],[ 0.65400785 -0.17551903],[6.44335205 4.69744212],[ 0.71885117 -0.14914174],[3.88060794 3.64013815],[ 0.93889434 -0.39314183]
[3.89622587 3.40820536],[0.28113455 1.03854354],[5.95301515 4.19896763],[-0.71160105 -0.80067288],[5.38074867 3.48916496],[-1.11129445  0.02363004],[3.39498714 7.44002425],[-0.75073028  0.07293421],[2.83254101 3.85456971],[ 0.32558404 -0.87449974],[3.24092812 7.79113892],[0.4616782  0.38286889],[2.05607932 4.27583853],[-0.58406529 -0.24437385],[6.5146392  6.59575442],[ 0.63448604 -0.22992342],[6.51423436 4.68242465],[ 0.70012551 -0.14982486],[3.9753516  3.60298505],[ 0.95264319 -0.35288817]
[3.92486684 3.51318656],[0.29097389 1.05935256],[5.880427   4.12041396],[-0.73941095 -0.76989591],[5.26947565 3.49301903],[-1.11198598  0.05497758],[3.31944586 7.4441762 ],[-0.75949259  0.00987907],[2.86742626 3.7681199 ],[ 0.37039251 -0.85581572],[3.28995262 7.82692341],[0.52106863 0.33410012],[1.99870817 4.25134465],[-0.55746712 -0.23982854],[6.57695824 6.56987146],[ 0.61112152 -0.28844915],[6.58312466 4.66723946],[ 0.67515544 -0.15639072],[4.07082658 3.56929557],[ 0.95960643 -0.31796476]
[3.95450991 3.61996676],[0.29929145 1.07282948],[5.80483946 4.04466348],[-0.77002038 -0.74304979],[5.15829294 3.49996395],[-1.10990226  0.0849513 ],[3.24324527 7.44197382],[-0.762664   -0.05294668],[2.90645063 3.68332544],[ 0.40984958 -0.83982688],[3.34505149 7.85765199],[0.58046689 0.27915366],[1.944082   4.22731808],[-0.53439974 -0.24034415],[6.63704206 6.53825607],[ 0.59043981 -0.34378998],[6.64937987 4.65125589],[ 0.65048505 -0.16273673],[4.16696717 3.53914562],[ 0.9639084  -0.28418221]
[3.98475609 3.72764624],[0.30267325 1.07721057],[5.72670039 3.97204604],[-0.79365127 -0.71045199],[5.04749483 3.50989957],[-1.10573703  0.11342703],[3.16696126 7.43345615],[-0.76320436 -0.11845354],[2.94962145 3.60046746],[ 0.45384918 -0.81663277],[3.40583405 7.88234726],[0.63711235 0.21595296],[1.8921355  4.20352042],[-0.50505036 -0.23644446],[6.69458804 6.50069327],[ 0.55774994 -0.40993877],[6.7134499  4.63493544],[ 0.63165412 -0.1628138 ],[4.26374675 3.5126552 ],[ 0.97195089 -0.2450048 ]
[4.01491884 3.8352218 ],[0.30177262 1.0751692 ],[5.64628889 3.90271443],[-0.81157457 -0.67342112],[4.93737259 3.52277636],[-1.09614029  0.14433659],[3.09038892 7.41785445],[-0.76569391 -0.19203563],[2.9969434  3.51981153],[ 0.49298739 -0.79559711],[3.47224676 7.9004641 ],[0.69048656 0.14528376],[1.84298834 4.17987159],[-0.4763053  -0.23528742],[6.74921721 6.4569574 ],[ 0.52931459 -0.46984281],[6.77577138 4.61878595],[ 0.61203127 -0.16281366],[4.36101278 3.48984957],[ 0.9752446  -0.20902622]
[4.04513104 3.94263072],[0.30436352 1.0745372 ],[5.56385079 3.83678917],[-0.83325158 -0.64142936],[4.82828731 3.53870793],[-1.0840019   0.17550954],[3.01415887 7.39517981],[-0.75654254 -0.25992315],[3.04815484 3.44138336],[ 0.53491781 -0.76883389],[3.54376523 7.91113272],[0.74026569 0.06831979],[1.7967042  4.15620692],[-0.44853004 -0.23756394],[6.80018247 6.40655086],[ 0.48760359 -0.54005502],[6.8358085  4.60234599],[ 0.58747245 -0.16716397],[4.45891474 3.47104662],[ 0.9783744  -0.17119558]
[4.0752814  4.04956997],[0.30318858 1.06861921],[5.47970881 3.77446697],[-0.84898728 -0.60468708],[4.72039099 3.55763094],[-1.07181786  0.20464772],[2.93892168 7.36551454],[-0.74842153 -0.33448151],[3.1034848  3.36569387],[ 0.5711206  -0.74499125],[3.62041973 7.91423602],[ 0.79414599 -0.00456244],[1.75322962 4.1322069 ],[-0.41858576 -0.24052748],[6.84716011 6.34950428],[ 0.45135968 -0.60066356],[6.89340234 4.58551025],[ 0.566786   -0.16704017],[4.55652906 3.45546222],[ 0.97408618 -0.1402734 ]
[4.10557833 4.15610061],[0.30528388 1.06425252],[5.39378057 3.71553886],[-0.8674341 -0.5720094],[4.61412916 3.57981184],[-1.05457617  0.23756523],[2.86474754 7.32835118],[-0.73543671 -0.40996565],[3.16254399 3.29265253],[ 0.61164303 -0.71376339],[3.70228721 7.91002494],[ 0.84095062 -0.08101813],[1.71362683 4.10863797],[-0.37636232 -0.23423914],[6.8896987  6.28584071],[ 0.40183113 -0.66917908],[6.94857788 4.56837852],[ 0.53712686 -0.17512548],[4.65392825 3.44321477],[ 0.97391462 -0.1043803 ]
[4.1361166  4.26213714],[0.3051488  1.05603149],[5.3059427  3.65973458],[-0.88694427 -0.54205836],[4.50918401 3.60477939],[-1.04295555  0.26270756],[2.79220807 7.28370929],[-0.71336414 -0.48161593],[3.22541337 3.22264279],[ 0.64674762 -0.68490098],[3.78835043 7.89795981],[ 0.87941822 -0.159864  ],[1.67754696 4.08482494],[-0.34243233 -0.23982064],[6.92741515 6.21577445],[ 0.35431528 -0.72918332],[7.00062518 4.55030165],[ 0.50668913 -0.18344715],[4.75143257 3.43476141],[ 0.97298874 -0.06760142]
[4.16662742 4.36729709],[0.30742756 1.04931537],[5.21625378 3.60693266],[-0.90485696 -0.51239667],[4.40547018 3.63221311],[-1.03021651  0.28656656],[2.72203948 7.23183637],[-0.6900947  -0.55654246],[3.29222735 3.15611066],[ 0.68561407 -0.64911824],[3.87765962 7.87780925],[ 0.90540978 -0.2428983 ],[1.64544917 4.06084445],[-0.29817608 -0.23910719],[6.96039578 6.14007109],[ 0.30484894 -0.78408633],[7.04984673 4.53165375],[ 0.47504921 -0.19208738],[4.84885673 3.43007553],[ 0.97367204 -0.02772855]
[4.19738832 4.47174228],[0.3094903  1.04106247],[5.12509436 3.55732516],[-0.91810148 -0.47982554],[4.30316304 3.66205595],[-1.0179972   0.30781918],[2.65426771 7.17234189],[-0.66282915 -0.63126557],[3.36260571 3.09299805],[ 0.71834667 -0.61619503],[3.96949392 7.8497874 ],[ 0.93039307 -0.31638872],[1.6177938  4.03672972],[-0.25685547 -0.24587081],[6.98784353 6.05868622],[ 0.24841617 -0.83784822],[7.09571173 4.51199172],[ 0.4425034 -0.200758 ],[4.94582982 3.42891493],[0.96481289 0.00358837]
[4.2283706  4.57532057],[0.31204594 1.03220181],[5.03278136 3.51106195],[-0.92772358 -0.44525426],[4.202098   3.69392066],[-1.0036102   0.32883472],[2.58978346 7.10579623],[-0.623722   -0.69675251],[3.43632747 3.03341208],[ 0.75780142 -0.57321039],[4.06301309 7.81419937],[ 0.93989778 -0.39341709],[1.59441121 4.01182786],[-0.20926056 -0.25147577],[7.0097321  5.97241735],[ 0.18852857 -0.88698443],[7.1383073  4.49150349],[ 0.40706171 -0.21117991],[5.0417046  3.43067532],[0.95390575 0.0328391 ]
[4.25918864 4.6775687 ],[0.30833543 1.01678137],[4.93951114 3.46818498],[-0.93684354 -0.41176571],[4.10282765 3.72816273],[-0.98169756  0.35595453],[2.52947109 7.03287708],[-0.57960106 -0.75877659],[3.51356635 2.97787515],[ 0.786809   -0.53716196],[4.15727715 7.7713176 ],[ 0.94202017 -0.46545255],[1.57611591 3.98641384],[-0.15360807 -0.25470744],[7.02521475 5.88126195],[ 0.12461711 -0.93116303],[7.17709292 4.46976841],[ 0.3702338  -0.22172487],[5.13643593 3.43531575],[0.9410121  0.06021791]
[4.29015575 4.77876242],[0.31272716 1.00856528],[4.8454599  3.42870653],[-0.94184491 -0.37570748],[4.00553363 3.76484481],[-0.963735    0.37788064],[2.47366838 6.95381949],[-0.53383086 -0.81958952],[3.59384056 2.92624671],[ 0.81763087 -0.4958599 ],[4.25106642 7.72113912],[ 0.93349202 -0.53638874],[1.56322704 3.96020958],[-0.09912082 -0.26534449],[7.03454144 5.78632885],[ 0.06039751 -0.96768313],[7.21196088 4.44682   ],[ 0.32746361 -0.23665713],[5.23010585 3.44293726],[0.93175196 0.09168668]
[4.32163995 4.87913602],[0.31522878 0.99702894],[4.75096437 3.39283197],[-0.94848491 -0.34253393],[3.91028038 3.8038958 ],[-0.93958894  0.40470774],[2.42264103 6.86890778],[-0.48760026 -0.87914073],[3.67698796 2.87871374],[ 0.84557627 -0.45398367],[4.34398564 7.6644352 ],[ 0.92337688 -0.59727568],[1.556291   3.93311247],[-0.03548021 -0.27357548],[7.03750008 5.68818508],[-0.00164557 -0.99447144],[7.24260977 4.42252577],[ 0.28414433 -0.25029206],[5.32297088 3.45387454],[0.92499789 0.12674845]
