[5.06792042 8.14575038],[-1.12270141 -4.06789974],[2.45271893 4.719974  ],[0.5169978  4.41759902],[2.18021442 6.49028597],[ 3.7759439  -1.05813262],[3.75623916 0.30897493],[3.06562132 0.19433446],[8.06733921 5.4001233 ],[-0.11104407  4.39766027],[8.61734526 3.33119452],[-4.39517649 -2.03457717],[8.74732991 9.62090347],[-0.34417122 -4.75046409],[0.2309229  0.75553173],[0.51289128 4.16508387],[0.29915851 9.5471252 ],[-1.91795299 -2.76464632],[5.9687798  6.13141238],[-3.34946613  4.68677082]
[4.64761637 6.55556355],[-0.28583877 -1.13264544],[2.85157181 6.24061646],[0.51712144 0.94878513],[3.73380442 6.02166243],[ 1.09292133 -0.36378269],[5.14670092 0.9604022 ],[0.76990787 0.99432495],[7.62825188 6.87786855],[-0.74590854  0.83237047],[6.96863336 2.98930071],[-1.25327855  0.13751957],[8.23217051 7.94398786],[-0.72649316 -1.13001013],[0.79302963 2.42333857],[0.71933197 1.16565897],[2.62864793e-03 8.02056713e+00],[ 0.40335371 -1.23156148],[4.90704319 7.29438302],[-0.82724814  0.57733897]
[4.61925906 6.44297757],[-0.28097655 -1.11892726],[2.90477582 6.33371554],[0.54569753 0.91229961],[3.84238787 5.98537554],[ 1.07850568 -0.36237465],[5.22076374 1.06266154],[0.70865462 1.04681014],[7.55070558 6.95835975],[-0.80390924  0.7778729 ],[6.84407518 3.00594876],[-1.23719645  0.19569154],[8.1580884  7.83274712],[-0.75698534 -1.09740146],[0.8664477  2.53876613],[0.74932322 1.14392194],[0.04706133 7.89852032],[ 0.48126315 -1.21139109],[4.82384059 7.34986072],[-0.83733774  0.53196504]
[4.59139508 6.33173795],[-0.27438143 -1.10412893],[2.96073551 6.42314897],[0.57580475 0.8789248 ],[3.94933072 5.94895146],[ 1.06435909 -0.36219687],[5.28856389 1.16965889],[0.64766614 1.09206115],[7.46762261 7.03344657],[-0.85641617  0.72442221],[6.72085978 3.02796778],[-1.22432302  0.24685437],[8.08092028 7.72451791],[-0.78633777 -1.06790266],[0.9425812  2.65193619],[0.77157374 1.11848516],[0.09861456 7.77841976],[ 0.54960899 -1.18907779],[4.73921679 7.40043385],[-0.85321134  0.481482  ]
[4.56410416 6.22185463],[-0.26978094 -1.0919367 ],[3.01989968 6.50947663],[0.60297592 0.84335164],[4.05512497 5.9128057 ],[ 1.04702425 -0.36548573],[5.35044369 1.28097209],[0.58989913 1.13266406],[7.37937894 7.10303437],[-0.90771673  0.66720035],[6.59914677 3.05512981],[-1.20932821  0.29641171],[8.00070451 7.61893995],[-0.81432944 -1.04063874],[1.0207389  2.76257446],[0.79190273 1.0953077 ],[0.15743866 7.66144481],[ 0.62262853 -1.15340588],[4.65332949 7.44628764],[-0.86423425  0.43587997]
[4.53729042 6.11319554],[-0.26521205 -1.080025  ],[3.0819673  6.59247533],[0.63478052 0.81316616],[4.15919101 5.87626949],[ 1.03347671 -0.36618646],[5.40661758 1.39601532],[0.53357749 1.16680106],[7.28628424 7.16691527],[-0.9528307   0.61092761],[6.47895943 3.08708992],[-1.19673227  0.33960601],[7.91785646 7.51608004],[-0.84026915 -1.01478171],[1.10096819 2.87111333],[0.81390436 1.07721805],[0.222722  7.5476116],[ 0.68266426 -1.1222643 ],[4.56631278 7.48753554],[-0.87422192  0.39083145]
[4.5107001  6.00550586],[-0.26420072 -1.07131066],[3.14677973 6.67205025],[0.66355485 0.78057693],[4.26192043 5.83966515],[ 1.01902522 -0.36803801],[5.456992  1.5139306],[0.47257901 1.18912013],[7.18891928 7.22515443],[-0.99276651  0.5546728 ],[6.35995503 3.12303765],[-1.18159119  0.38047133],[7.83269682 7.41592534],[-0.86559388 -0.99153698],[1.18336427 2.97795196],[0.83137739 1.05746078],[0.2935756 7.4368614],[ 0.73724665 -1.08876496],[4.47826075 7.52419783],[-0.88477939  0.3443034 ]
[4.4847583  5.89921628],[-0.25565496 -1.05558211],[3.21456989 6.7484891 ],[0.69284097 0.74893285],[4.36323591 5.80288854],[ 1.00771215 -0.36701703],[5.5013056 1.6338281],[0.41688839 1.21085529],[7.08792596 7.27789482],[-1.02821071  0.49821972],[6.24253436 3.16295629],[-1.16847765  0.41557144],[7.74521469 7.3181608 ],[-0.88413691 -0.9643847 ],[1.26741749 3.08287641],[0.84947702 1.04128178],[0.36976014 7.32965617],[ 0.78479097 -1.05593427],[4.38930754 7.55630257],[-0.89178638  0.30010107]
[4.45961118 5.79441164],[-0.24678536 -1.04017334],[3.28523729 6.82173471],[0.71903094 0.71464877],[4.46349958 5.76631562],[ 0.99574996 -0.36620524],[5.54008884 1.75561419],[0.36322171 1.22826841],[6.98299961 7.3243314 ],[-1.06816905  0.43164355],[6.12661357 3.20637493],[-1.1498875  0.4523512],[7.65590871 7.22299995],[-0.90006238 -0.93740226],[1.3530648  3.18609988],[0.86413222 1.02429682],[0.45061954 7.22594973],[ 0.8306057  -1.01912877],[4.30000947 7.58429714],[-0.89727006  0.25653647]
[4.43533861 5.6911016 ],[-0.23843081 -1.02588933],[3.35838875 6.89144167],[0.74503942 0.68067227],[4.56249402 5.72976024],[ 0.98368831 -0.36540231],[5.57389313 1.87919772],[0.31575521 1.24501512],[6.87494518 7.36472755],[-1.09328457  0.37531644],[6.01240354 3.25316427],[-1.13114713  0.48614571],[7.5651016 7.1304981],[-0.9179033  -0.91490184],[1.44010489 3.28767447],[0.87405177 1.00504977],[0.53574258 7.12585545],[ 0.87071293 -0.98315623],[4.20986983 7.60754459],[-0.90364351  0.21006748]
[4.41179103 5.58908922],[-0.23432033 -1.01601703],[3.43428254 6.95791962],[0.77021422 0.64642576],[4.66044023 5.69346041],[ 0.97455398 -0.36116996],[5.60294369 2.00411575],[0.26500645 1.25224667],[6.76419496 7.39910258],[-1.12204185  0.31104321],[5.90058548 3.30375827],[-1.10691673  0.52370632],[7.47264872 7.04026606],[-0.93185021 -0.89084894],[1.52797676 3.38729038],[0.88073516 0.98503659],[0.62462233 7.02932057],[ 0.90816438 -0.9456213 ],[4.11933087 7.62630227],[-0.90914773  0.16271187]
[4.38867859 5.48810982],[-0.2288683  -1.00440362],[3.5125692  7.02087643],[0.7959356  0.61330245],[4.75730702 5.65744724],[ 0.96187782 -0.36003877],[5.62730852 2.12988248],[0.22043902 1.26029721],[6.65097336 7.42722429],[-1.14158408  0.25171332],[5.79088125 3.35768421],[-1.08742044  0.55410523],[7.37887604 6.95240325],[-0.94090701 -0.86407395],[1.61632547 3.4848292 ],[0.88644766 0.96633496],[0.71678332 6.93625829],[ 0.93074679 -0.91938537],[4.02814638 7.6401043 ],[-0.91488828  0.11257194]
[4.36608173 5.38828052],[-0.22169152 -0.99085463],[3.59315641 7.08028107],[0.81854999 0.57771866],[4.85296558 5.62161735],[ 0.95108315 -0.35676681],[5.64712573 2.25612215],[0.17782687 1.2656394 ],[6.53635508 7.44984787],[-1.15123354  0.20002348],[5.68327567 3.41467481],[-1.06443099  0.58560738],[7.28402928 6.86694998],[-0.95198421 -0.84130303],[1.70547411 3.58082476],[0.89357177 0.95095319],[0.81092843 6.84569642],[ 0.95293096 -0.89065906],[3.93604803 7.64838713],[-0.92331778  0.05631103]
[4.34415167 5.2897503 ],[-0.21785161 -0.98068379],[3.67610973 7.13627354],[0.84030974 0.54214888],[4.94735455 5.58593417],[ 0.93842245 -0.35515895],[5.66305495 2.38299036],[0.13862047 1.2688575 ],[6.42087923 7.46732934],[-1.15688267  0.1509116 ],[5.57783363 3.47457057],[-1.0429953   0.61335122],[7.18830016 6.78390908],[-0.96131978 -0.81857232],[1.79501845 3.67505676],[0.89920416 0.93587553],[0.90727078 6.75810546],[ 0.97113394 -0.86362329],[3.84346331 7.65123717],[-0.92517269  0.00344984]
[4.32247576 5.19213941],[-0.21322347 -0.96903088],[3.76116625 7.18868015],[0.86265107 0.50805326],[5.04052573 5.55047806],[ 0.92306136 -0.35593525],[5.67484874 2.50978432],[0.09929078 1.26833664],[6.30467038 7.47966682],[-1.16895149  0.09375852],[5.47424118 3.53683022],[-1.02870917  0.63145112],[7.09151734 6.70293294],[-0.97389123 -0.80085958],[1.88532863 3.76806304],[0.90614168 0.92366444],[1.00528717 6.67316204],[ 0.98996858 -0.83419462],[3.75117001 7.64916262],[-0.9230427  -0.04771288]
[4.30116716 5.09561412],[-0.21401972 -0.96238279],[3.84811513 7.23738791],[0.87611221 0.46599565],[5.13218003 5.51496051],[ 0.90946999 -0.35500955],[5.68306419 2.63666028],[0.06391626 1.26741426],[6.18771415 7.48661987],[-1.16986981  0.04566154],[5.37261792 3.60132099],[-1.00245692  0.65948027],[6.99365029 6.62380924],[-0.98328351 -0.78173956],[1.97581114 3.85940106],[0.90371494 0.90355308],[1.10491807 6.59097117],[ 1.0011929  -0.81092875],[3.65916741 7.64190758],[-0.91536944 -0.09604866]
