[10.41242677  6.77041778],[0.28475818 0.58128258],[1.13704171 8.46168043],[-0.27846362 -0.85754332],[8.96594821 7.42412447],[ 0.72768654 -0.31709325],[2.51364355 4.61241965],[1.1452093  0.64774868],[6.70501428 1.77465986],[ 0.76470382 -0.1866715 ],[2.62634238 6.48835427],[0.58387522 0.95647746],[3.31145592 6.46557488],[-0.6603147  -0.64040895],[6.68600858 3.18853471],[-1.05299968 -0.07413838],[7.82116388 5.68649526],[-0.65080199 -0.9422436 ],[8.33416435 8.53489523],[0.08827089 0.74874327]
[10.43584859  6.82913584],[0.18185597 0.59230355],[1.11472605 8.37192161],[-0.1672376  -0.93602943],[9.03627766 7.39005514],[ 0.67887522 -0.36454907],[2.62812069 4.67647238],[1.14594772 0.63509254],[6.78188045 1.76092476],[ 0.76878933 -0.0913514 ],[2.68778638 6.5818903 ],[0.64392089 0.91353375],[3.24824276 6.40050742],[-0.60690464 -0.66409167],[6.58029056 3.18455723],[-1.0630383  -0.00806486],[7.75465246 5.59403606],[-0.67964744 -0.90755126],[8.34006969 8.60818596],[0.02985314 0.71751336]
[10.44851881  6.88884415],[0.06962814 0.60099952],[1.10385062 8.2749532 ],[-0.0504091  -1.00159085],[9.10145982 7.35091507],[ 0.62619752 -0.41689396],[2.74246924 4.73910789],[1.14110418 0.61771851],[6.85865744 1.75641478],[0.76856686 0.00368798],[2.75528434 6.67126372],[0.70567486 0.87391894],[3.1901013  6.33271716],[-0.5558293  -0.69183525],[6.47408659 3.18745623],[-1.06474966  0.0615165 ],[7.68516701 5.50486036],[-0.70663389 -0.87292646],[8.33995701 8.67831296],[-0.03286835  0.68473368]
[10.45008661  6.94986507],[-0.03938882  0.61905713],[1.10455722 8.17192239],[ 0.06705865 -1.05388226],[9.16157193 7.30673532],[ 0.57406683 -0.46857691],[2.85641723 4.80010145],[1.13970685 0.60414914],[6.93612555 1.76242559],[0.77857272 0.11547595],[2.82874852 6.7565494 ],[0.76355798 0.83216562],[3.13740855 6.26239739],[-0.49900847 -0.7158208 ],[6.36761697 3.1969466 ],[-1.06207497  0.12992433],[7.61291688 5.41898751],[-0.73797097 -0.84444935],[8.33354951 8.74526603],[-0.09901918  0.65094421]
[10.44016794  7.01233504],[-0.15868706  0.63101089],[1.11700795 8.06444904],[ 0.17797156 -1.09612764],[9.2162063  7.25717002],[ 0.51394048 -0.52713561],[2.97045262 4.86003083],[1.13934888 0.59288749],[7.01386828 1.77926113],[0.77635854 0.22237221],[2.90777625 6.83754021],[0.81712416 0.78827916],[3.09013704 6.18931769],[-0.44708248 -0.7466354 ],[6.26149112 3.21308791],[-1.05765087  0.19475864],[7.5379068  5.33625661],[-0.76280232 -0.81107401],[8.32044797 8.80886904],[-0.16386746  0.62050776]
[10.41809054  7.07586127],[-0.28302481  0.63911625],[1.14052722 7.95373397],[ 0.29079938 -1.11627615],[9.26448495 7.20151136],[ 0.44884335 -0.58831321],[3.08438868 4.91881813],[1.1358722  0.57944817],[7.09145619 1.80722613],[0.77356671 0.33629563],[2.99215744 6.91426912],[0.87086377 0.7472639 ],[3.04844644 6.11345802],[-0.38478454 -0.76888384],[6.15606556 3.23569204],[-1.04642037  0.26084035],[7.46054633 5.25691538],[-0.78600129 -0.77765057],[8.30036178 8.86900275],[-0.23847574  0.5817136 ]
[10.38319482  7.13970074],[-0.41850505  0.6330802 ],[1.17525572 7.84192668],[ 0.39971478 -1.12048684],[9.30596471 7.13962767],[ 0.3803195  -0.64902713],[3.1978482  4.97614247],[1.13431986 0.56817573],[7.16830377 1.84649021],[0.76228732 0.44885183],[3.08127162 6.98641017],[0.91136886 0.69611988],[3.01291254 6.03520297],[-0.32544021 -0.79593145],[6.0516407 3.2645071],[-1.03927101  0.31705868],[7.38098418 5.18096148],[-0.80638898 -0.74286184],[8.27261526 8.92510267],[-0.31801024  0.53873563]
[10.33486634  7.20269608],[-0.54520947  0.62765905],[1.21990645 7.72976885],[ 0.49284574 -1.11954497],[9.34062975 7.07196068],[ 0.31215736 -0.70419902],[3.31083749 5.03204552],[1.12877266 0.55318718],[7.24341129 1.89669251],[0.74014949 0.55612912],[3.17430827 7.05346574],[0.94783218 0.64413506],[2.98349636 5.95436072],[-0.26279041 -0.82088559],[5.94876802 3.2994882 ],[-1.01769224  0.38231426],[7.29962042 5.10865829],[-0.82358611 -0.70615148],[8.2364963  8.97647832],[-0.40331317  0.4896139 ]
[10.27411113  7.26473319],[-0.67001517  0.61009603],[1.27366743 7.61849056],[ 0.58332978 -1.10208975],[9.36779389 6.99841285],[ 0.2305403  -0.76606028],[3.42374751 5.08697254],[1.12758047 0.54362273],[7.31602636 1.95754444],[0.71195811 0.66099594],[3.27092898 7.11543028],[0.98487478 0.59613367],[2.96043621 5.87107957],[-0.19620443 -0.84255427],[5.84778645 3.34047171],[-0.99967256  0.43861732],[7.21619207 5.03961854],[-0.84632853 -0.67626643],[8.19196334 9.02296982],[-0.48789243  0.43913114]
[10.20132712  7.32456589],[-0.78505141  0.5836828 ],[1.33625647 7.50956467],[ 0.66552675 -1.07671854],[9.38683237 6.91911816],[ 0.14864941 -0.819991  ],[3.53635254 5.14079003],[1.12653722 0.53488314],[7.38549824 2.02864152],[0.67429459 0.7576061 ],[3.37069345 7.17221085],[1.01217618 0.54187611],[2.94422766 5.78580239],[-0.12777649 -0.86266412],[5.74903672 3.38724578],[-0.97478991  0.49647518],[7.13059793 4.9736055 ],[-0.86293577 -0.64161463],[8.13866907 9.06392237],[-0.57216803  0.38485992]
[10.11752682  7.38118128],[-0.88878289  0.54700235],[1.40644455 7.40330442],[ 0.73501678 -1.04930707],[9.39742188 6.83462235],[ 0.06338806 -0.86817921],[3.64887332 5.19380994],[1.12330762 0.52511295],[7.45093928 2.10908392],[0.63350612 0.84959882],[3.4734663  7.22403726],[1.0401859  0.49230038],[2.93476462 5.69845413],[-0.06266787 -0.88508516],[5.65277408 3.43954441],[-0.95225218  0.54670414],[7.04319462 4.91085169],[-0.88497197 -0.61364896],[8.07707584 9.09928844],[-0.65783524  0.32307412]
