[9.74148666 9.48394485],[-4.57371708  3.74043602],[5.05629203 6.70482407],[0.56680169 4.26401876],[8.88847453 6.99895727],[-0.96580345  0.38726941],[6.48636129 8.03952301],[-4.33273087  3.75717946],[2.70737912 6.81917649],[1.09209056 3.81948967],[1.60971121 8.55973853],[-3.24830029 -0.08192477],[9.1378885  5.15796079],[ 3.249285   -4.12475088],[3.78479043 1.95707189],[ 2.39562581 -2.5006111 ],[2.745426   5.68605233],[-1.65923236  4.86253624],[1.30786924 1.67820019],[0.46428839 2.4840016 ]
[9.49253894 9.6806802 ],[-1.78588005  1.32670338],[5.09338254 6.98137773],[0.28108557 2.07844931],[8.78770621 7.03617178],[-1.04332058  0.3599966 ],[6.24841249 8.24286995],[-1.68649194  1.40741166],[2.78373131 7.07719367],[0.61627426 1.97597618],[1.36992197 8.55116542],[-1.91054665 -0.09606804],[9.32208265 4.91972567],[ 1.27936966 -1.71066214],[3.96041457 1.77959363],[ 1.41755123 -1.3703897 ],[2.65051425 5.97110514],[-0.65742881  2.06063389],[1.34995604 1.88691945],[0.40176082 1.82744188]
[9.33398435 9.79086869],[-1.44617171  0.93589815],[5.11805982 7.1628812 ],[0.21974472 1.61884924],[8.68001746 7.07053778],[-1.10637158  0.32836071],[6.10131774 8.36249433],[-1.32128193  1.03790155],[2.84065004 7.2501058 ],[0.54013987 1.54485298],[1.20191888 8.53973235],[-1.49849249 -0.13161247],[9.42933671 4.77159006],[ 0.91385856 -1.31623691],[4.08832063 1.66219514],[ 1.17832217 -1.01780274],[2.5961427 6.1505031],[-0.45506733  1.60273533],[1.39051595 2.05624657],[0.41169106 1.58717492]
[9.19615257 9.87296636],[-1.32970316  0.72000189],[5.13838554 7.31270015],[0.18905949 1.39832193],[8.56689167 7.10175972],[-1.1531455   0.29667245],[5.97756187 8.45609634],[-1.17182009  0.84996532],[2.8936794  7.39289178],[0.52445162 1.32894201],[1.06429991 8.52455498],[-1.27255872 -0.17384559],[9.50986123 4.64984743],[ 0.70984075 -1.13755923],[4.20074865 1.57204318],[ 1.08308939 -0.79781108],[2.55673189 6.29934785],[-0.34100853  1.39567403],[1.43294311 2.20818847],[0.43723393 1.46214508]
[9.06541887 9.93637593],[-1.29099297  0.55558365],[5.15658252 7.44565824],[0.17448007 1.26853568],[8.44979048 7.12985673],[-1.18879628  0.26350743],[5.86496015 8.53483035],[-1.08898905  0.73053651],[2.94646637 7.51863522],[0.53486096 1.19572279],[0.94508039 8.50477044],[-1.12166022 -0.22429635],[9.57322404 4.54191312],[ 0.56111698 -1.03104831],[4.30622003 1.50060572],[ 1.03449272 -0.6341167 ],[2.52703205 6.43249265],[-0.25738977  1.27552272],[1.47846899 2.350586  ],[0.47093205 1.38842215]
[8.93699897 9.98497013],[-1.28175844  0.41838235],[5.17330157 7.5676409 ],[0.16222474 1.17796996],[8.3296191  7.15461577],[-1.21239599  0.23263627],[5.75858081 8.60307621],[-1.04329654  0.63729078],[3.00079381 7.63303946],[0.55357944 1.09761442],[0.83925116 8.47996071],[-0.99711277 -0.2701779 ],[9.62296803 4.44267033],[ 0.43545971 -0.95885292],[4.40843266 1.44446752],[ 1.01263637 -0.49143845],[2.50515351 6.55612471],[-0.18451261  1.1994034 ],[1.5272014  2.48673206],[0.50492948 1.33881696]
[ 8.80893091 10.0208272 ],[-1.27975293  0.30222238],[5.18874103 7.68166436],[0.14741359 1.10638557],[8.20752468 7.17639119],[-1.22746286  0.20413149],[5.65564866 8.66275501],[-1.01887185  0.55712296],[3.05752026 7.73896971],[0.57898493 1.02100194],[0.74488373 8.45047556],[-0.89103878 -0.3183906 ],[9.66041726 4.34933873],[ 0.31707413 -0.90770252],[4.50933088 1.40214468],[ 1.00744243 -0.35567776],[2.49026282 6.67347339],[-0.11146144  1.15288746],[1.57937729 2.61871373],[0.53655703 1.30085571]
[ 8.68068187 10.04555637],[-1.28864986  0.190823  ],[5.2030397  7.78961711],[0.13867171 1.05458027],[8.08431251 7.19550618],[-1.23542412  0.17913276],[5.55465926 8.71501658],[-1.0030055   0.48873673],[3.11699003 7.837936  ],[0.61072066 0.95986279],[0.66044618 8.41589745],[-0.79563924 -0.37023392],[9.68645393 4.26075869],[ 0.20578901 -0.86341796],[4.61010003 1.37318015],[ 1.00879698 -0.22391509],[2.48230759 6.78666993],[-0.04773676  1.11340004],[1.63430671 2.74705555],[0.56379988 1.26939284]
[ 8.55179103 10.05983117],[-1.29096108  0.09417948],[5.21629966 7.89271567],[0.12750709 1.00966594],[7.96042521 7.21213308],[-1.24335437  0.15195015],[5.45505715 8.76094228],[-0.99253537  0.42804936],[3.17948682 7.9309524 ],[0.63856542 0.900738  ],[0.58545169 8.3761762 ],[-0.70578476 -0.42567341],[9.70136291 4.17627839],[ 0.09174353 -0.82722594],[4.71096392 1.35713281],[ 1.01038763 -0.09534214],[2.48061474 6.89639144],[0.0142668  1.08285624],[1.69192678 2.87261602],[0.58762474 1.24210583]
[ 8.42251047 10.06456435],[-1.29433764  0.00169579],[5.2286311  7.99185286],[0.11919934 0.97415225],[7.83587076 7.22605557],[-1.24901359  0.12487604],[5.3559785 8.8007077],[-0.99156729  0.36579363],[3.24517142 8.01867741],[0.67154507 0.85082649],[0.51890463 8.33029586],[-0.62523319 -0.49242612],[9.70422623 4.09480409],[-0.03417006 -0.80137654],[4.81213863 1.35414676],[1.00911493 0.03192426],[2.48501737 7.0033046 ],[0.07355118 1.05616376],[1.75230983 2.99611227],[0.61398882 1.22264086]
