[6.80612281 2.01843259],[ 0.63886908 -0.20417507],[1.61238826 2.97134958],[-0.11534929  1.10729969],[1.58158139 4.52133328],[-0.42403686  0.79216424],[3.28314508 6.61514448],[ 0.75078493 -1.01792049],[3.86054269 3.13530699],[-0.96702997  0.23365254],[7.48655856 3.93035233],[-1.15953334  0.54735484],[5.26993096 2.05100834],[0.91910365 0.56842573],[3.72085245 2.13005452],[-0.63249574 -0.62908486],[4.5874171  9.85947302],[ 0.99737215 -0.47589255],[5.12504453 4.94267959],[-0.94140941  0.56374036]
[6.86857796 2.00014674],[ 0.6100635  -0.16135909],[1.60437521 3.08228975],[-0.04313175  1.11318048],[1.54222934 4.60096899],[-0.36123885  0.802418  ],[3.35725703 6.51336031],[ 0.73119412 -1.01824506],[3.7643288  3.15995747],[-0.95670662  0.25963142],[7.37041    3.98371673],[-1.16315146  0.52046401],[5.35993237 2.11011499],[0.87766534 0.61022414],[3.6576433  2.06905946],[-0.63272044 -0.59163541],[4.68561478 9.80552114],[ 0.96533869 -0.60133249],[5.03078465 4.99751076],[-0.94329722  0.53372713]
[6.92795719 1.98609011],[ 0.57672079 -0.12010152],[1.60381051 3.19396018],[0.03188109 1.12005633],[1.50947385 4.68193972],[-0.29403911  0.81662083],[3.42953386 6.41161888],[ 0.7148801  -1.01625076],[3.66931402 3.18730221],[-0.94415607  0.28650293],[7.25395343 4.03450905],[-1.16702127  0.4944267 ],[5.44542766 2.17299563],[0.83292188 0.64790963],[3.59436783 2.01184492],[-0.6312121  -0.55081451],[4.77993354 9.73926194],[ 0.91989161 -0.72176277],[4.93662487 5.04972163],[-0.94052356  0.51017897]
[6.98409255 1.9764372 ],[ 0.54614172 -0.07210351],[1.61064106 3.30610928],[0.10192818 1.11993745],[1.48323123 4.76406093],[-0.23046912  0.82588018],[3.50019655 6.31005421],[ 0.69923118 -1.01426205],[3.5754439  3.21714425],[-0.93088662  0.31254646],[7.13686405 4.08245827],[-1.17426907  0.46500152],[5.52674696 2.23992688],[0.79327527 0.69044411],[3.53111213 1.95867695],[-0.63606266 -0.51441785],[4.86934591 9.6615588 ],[ 0.86936723 -0.8279967 ],[4.84255441 5.09945659],[-0.93960585  0.48602218]
[7.03696463 1.97162798],[ 0.51268106 -0.02183008],[1.6241775  3.41791118],[0.16983242 1.11700422],[1.46370917 4.84736602],[-0.15915769  0.84056437],[3.56937148 6.20873995],[ 0.68283791 -1.0134769 ],[3.48328275 3.24992909],[-0.91161822  0.34377671],[7.01962198 4.12806433],[-1.17374775  0.44414823],[5.60413146 2.31113861],[0.75290843 0.73218486],[3.4676586  1.90954157],[-0.63500713 -0.46992582],[4.95343579 9.5739221 ],[ 0.81122333 -0.92284983],[4.74831957 5.14655763],[-0.94523405  0.45584111]
[7.08660214 1.97226834],[0.47863245 0.03428616],[1.64439372 3.52925437],[0.23406798 1.10943221],[1.45142562 4.93207389],[-0.08892809  0.85065865],[3.63704654 6.10763368],[ 0.6696894  -1.00964353],[3.39285558 3.28560806],[-0.8996828   0.36668901],[6.90212527 4.17129646],[-1.17517087  0.42157023],[5.67715022 2.38618675],[0.70809494 0.76928831],[3.40409951 1.8647702 ],[-0.63973921 -0.42870529],[5.03184702 9.4778193 ],[ 0.75561318 -0.99793112],[4.65365212 5.19076579],[-0.94985215  0.42657369]
[7.13252372 1.9785763 ],[0.44330247 0.09665755],[1.67099026 3.63976724],[0.29498012 1.09802743],[1.44603041 5.01749196],[-0.01645701  0.8596215 ],[3.70326417 6.00676285],[ 0.65234484 -1.01006358],[3.3036225  3.32348488],[-0.88530084  0.39022128],[6.78462505 4.21244077],[-1.17792683  0.39824598],[5.74582421 2.46506783],[0.66569033 0.80848759],[3.34002938 1.82421223],[-0.64434593 -0.38471306],[5.10435446 9.37462441],[ 0.69300665 -1.06519551],[4.55886835 5.23239081],[-0.94577293  0.40612784]
[7.17487871 1.99152616],[0.40428263 0.16429033],[1.7030697  3.74858218],[0.35029256 1.08213319],[1.44814282 5.10384561],[0.05626736 0.86437974],[3.7677281  5.90585137],[ 0.63636302 -1.00877109],[3.21618605 3.36401325],[-0.86703809  0.41652451],[6.66689827 4.25128338],[-1.17352815  0.3819548 ],[5.81015459 2.54774123],[0.62359815 0.84743378],[3.27519995 1.78789283],[-0.65329298 -0.34231165],[5.17045807 9.26521291],[ 0.63208671 -1.11827886],[4.46426044 5.27176228],[-0.94714364  0.38054851]
[7.21324312 2.01164413],[0.36167537 0.23838138],[1.74081929 3.85596001],[0.40351276 1.06441953],[1.45742999 5.19037518],[0.13096681 0.86710834],[3.83064908 5.8051314 ],[ 0.62346175 -1.00423391],[3.13014485 3.40665997],[-0.85197743  0.43797071],[6.54956587 4.28852405],[-1.17163689  0.36430858],[5.86993999 2.63393232],[0.57262582 0.87674282],[3.2094873  1.75596576],[-0.66056518 -0.29537705],[5.23038127 9.15090144],[ 0.56603359 -1.16674614],[4.36955347 5.30859754],[-0.94527765  0.35795714]
[7.24686237 2.03922612],[0.31283435 0.31712816],[1.78375    3.96147149],[0.45313701 1.04409074],[1.47424878 5.27701851],[0.20423323 0.86393948],[3.89270269 5.70526797],[ 0.61692829 -0.99382573],[3.04626016 3.45204827],[-0.82534771  0.47008973],[6.43267892 4.32429935],[-1.16741079  0.35004833],[5.92493176 2.72331801],[0.52677199 0.91023463],[3.14306582 1.72890553],[-0.6681973 -0.2456798],[5.28399423 9.03244742],[ 0.50294392 -1.20443605],[4.27496726 5.34311285],[-0.94693814  0.33177092]
