[9.28743465 6.75378843],[-0.67420201 -1.01215226],[9.58922856 8.90790577],[-3.20902911 -1.99216312],[5.37334765 4.67578077],[-1.7951053  -2.52581236],[7.68321194 0.09878982],[-0.70517018  1.22209708],[2.06924154 5.9991207 ],[-1.04537247 -3.38982253],[5.05753219 8.48327672],[-1.38979858  0.29642515],[8.50610168 9.69187917],[ 3.23861049 -2.58622106],[8.14672384 1.32605313],[3.24748527 1.29967488],[9.1219419  1.15307135],[-1.27944514  2.51096915],[6.25762125 1.41732   ],[ 0.43347046 -3.53605543]
[9.21868721 6.65240145],[-0.70087754 -1.01571249],[9.36459828 8.76579006],[-1.75917907 -1.14246551],[5.23802804 4.48294351],[-1.08997133 -1.58075621],[7.61535745 0.22100004],[-0.65436436  1.22175503],[1.9995181  5.75466265],[-0.49014628 -1.9470092 ],[4.92687538 8.50729161],[-1.2374591   0.18432854],[8.71880664 9.51606548],[ 1.59521869 -1.38512286],[8.38000547 1.42356409],[1.83534885 0.81285187],[9.01884516 1.35534874],[-0.87947896  1.72218659],[6.28976252 1.16686666],[ 0.26404114 -1.95447086]
[9.14785428 6.5512411 ],[-0.7151565  -1.00703859],[9.20855506 8.66159246],[-1.41177464 -0.97180809],[5.14210182 4.34108857],[-0.85630112 -1.29526973],[7.5518974  0.34305054],[-0.61295984  1.22258432],[1.96182944 5.58062795],[-0.28110157 -1.5878023 ],[4.80868138 8.52070981],[-1.13095369  0.08675077],[8.85635951 9.38991702],[ 1.20743964 -1.17969394],[8.54131363 1.49959014],[1.44304279 0.72881184],[8.93838817 1.51321599],[-0.74796735  1.46972643],[6.3141122  0.99599444],[ 0.2297077  -1.52020778]
[9.07533585 6.45066774],[-0.73149132 -1.000844  ],[9.07667068 8.56803407],[-1.24693413 -0.91411333],[5.0636023  4.21941395],[-0.72184708 -1.15050379],[7.49238258 0.46532672],[-0.57961238  1.22161261],[1.94173116 5.4313674 ],[-0.12829065 -1.41711547],[4.69974843 8.52468003],[-1.05207881 -0.00811653],[8.96552757 9.27533133],[ 0.99071685 -1.12559393],[8.67411429 1.57139122],[1.23033225 0.71440143],[8.86665528 1.65296597],[-0.69245901  1.33885028],[6.33672984 0.85668506],[ 0.22548278 -1.28444599]
[9.00176317 6.35125088],[-0.73990617 -0.98767224],[8.95722641 8.47762535],[-1.14852192 -0.89775575],[4.99647545 4.10914605],[-0.62463585 -1.06089485],[7.43604947 0.5875971 ],[-0.54826986  1.2232252 ],[1.9359547  5.29536125],[ 0.00825585 -1.31287548],[4.59782197 8.51909759],[-0.98840094 -0.1036777 ],[9.05681251 9.16348152],[ 0.84142025 -1.11701777],[8.78953709 1.643329  ],[1.08466428 0.72630307],[8.79904851 1.78274018],[-0.66360356  1.26187262],[6.3597064  0.73676126],[ 0.23496776 -1.12316879]
[8.92733395 6.25308507],[-0.74692923 -0.97410564],[8.84583847 8.38776766],[-1.0798276  -0.89829352],[4.93774276 4.00597681],[-0.55160395 -1.00519541],[7.38254752 0.70988429],[-0.52351524  1.2212929 ],[1.9425789 5.167288 ],[ 0.12471233 -1.250026  ],[4.50211958 8.50420216],[-0.92854485 -0.19635302],[9.13459636 9.0510671 ],[ 0.71712234 -1.13419114],[8.89234347 1.71733875],[0.97302592 0.75311207],[8.73353121 1.90623927],[-0.6489776   1.21070248],[6.38356726 0.63050301],[ 0.24504531 -1.00451923]
[8.85201738 6.15604303],[-0.75867248 -0.96613936],[8.7403456  8.29730988],[-1.03113829 -0.91087977],[4.8859349  3.90767079],[-0.48624887 -0.96353282],[7.33185508 0.83240984],[-0.49281544  1.22679809],[1.96092671 5.04505928],[ 0.24078705 -1.19697218],[4.41177502 8.47950131],[-0.87593365 -0.29519658],[9.20099931 8.93659145],[ 0.61142155 -1.15784141],[8.98498483 1.79447204],[0.88070688 0.78908135],[8.6689579 2.0253207],[-0.64069059  1.17545821],[6.40843679 0.53479044],[ 0.25366866 -0.91146012]
[8.77599456 6.06022179],[-0.76418623 -0.95288504],[8.63955378 8.20571821],[-0.98833299 -0.92373109],[4.83989334 3.81253285],[-0.43341271 -0.93859687],[7.28359741 0.95492111],[-0.47020945  1.22571688],[1.99071495 4.92778164],[ 0.35210679 -1.15123   ],[4.32648255 8.44462971],[-0.82958146 -0.40235805],[9.25731171 8.81952759],[ 0.51815732 -1.18164689],[9.06871255 1.87519561],[0.79657335 0.82720654],[8.60535851 2.14168221],[-0.63537955  1.14935485],[6.43428476 0.4477197 ],[ 0.26456735 -0.8306208 ]
[8.69923637 5.96549763],[-0.7695168  -0.94030739],[8.54260244 8.11262647],[-0.95084235 -0.93754511],[4.79906769 3.7196561 ],[-0.38248025 -0.91877315],[7.23778769 1.07754789],[-0.44558739  1.22727938],[2.03095784 4.8145396 ],[ 0.45353432 -1.11193584],[4.24594302 8.39896759],[-0.77877504 -0.50896267],[9.3043617  8.69979415],[ 0.4217362  -1.21459057],[9.14449368 1.95998522],[0.71924133 0.86807076],[8.54207872 2.25565062],[-0.63152777  1.12964532],[6.46161776 0.3686177 ],[ 0.28330503 -0.75159444]
[8.62207308 5.87210911],[-0.77353663 -0.92741474],[8.44904292 8.01798346],[-0.91910787 -0.95346377],[4.76323956 3.62852533],[-0.33445082 -0.90457934],[7.19422523 1.2001415 ],[-0.42742094  1.22303521],[2.08119731 4.70537795],[ 0.55068867 -1.07068106],[4.17102439 8.34300264],[-0.71995268 -0.61106818],[9.34240627 8.57730698],[ 0.33919447 -1.2355701 ],[9.21267006 2.04882315],[0.64543627 0.90918137],[8.47860602 2.36734811],[-0.63539883  1.10754387],[6.49111612 0.29735544],[ 0.30697705 -0.67427252]
