[9.80682351 8.68420365],[2.37420755 4.89637922],[8.8384686  0.53456428],[0.53236149 0.28022668],[9.72639777 1.541832  ],[ 4.20219175 -0.65036384],[6.30527199 5.76884415],[-0.61174967  0.1984429 ],[3.59454988 9.85288023],[-3.86534636 -3.80478218],[3.74133228 6.91538585],[ 2.37930528 -4.78807838],[2.91409054 5.77845794],[-2.75705808  0.28149095],[0.77415227 6.0650199 ],[ 4.84264921 -0.3625419 ],[6.12219371 0.27577999],[-0.65215288 -4.7431457 ],[1.67788985 7.44680014],[2.88764621 2.14326259]
[6.57435655 7.32744147],[-0.66837933 -1.06615566],[6.29787034 5.04807014],[-0.84927388  0.6744017 ],[7.78023675 4.70163683],[-1.14110157  0.42245643],[2.92558371 4.85942307],[-0.04025355 -0.82166615],[4.8839947 4.7521736],[ 0.8472339  -0.69691931],[7.14029376 3.37094691],[ 0.73093395 -0.17311808],[4.06021874 4.80508007],[ 1.17826285 -0.18581181],[6.50514055 5.02907105],[ 0.91189447 -0.31492885],[4.91529015 3.02718131],[0.1305789  1.19826339],[6.34901718 5.53906614],[ 0.45577145 -0.97295566]
[6.5083254  7.22073552],[-0.65225409 -1.06785144],[6.21316899 5.11482586],[-0.84283707  0.66261078],[7.66652142 4.74326711],[-1.13697648  0.40626351],[2.92509037 4.7760032 ],[ 0.02999005 -0.84676856],[4.96867341 4.68305281],[ 0.84744428 -0.68439007],[7.21279862 3.3546761 ],[ 0.72424102 -0.14707715],[4.17794106 4.78724821],[ 1.17078622 -0.17646009],[6.59570138 4.99724937],[ 0.89785998 -0.32301655],[4.92910566 3.14657375],[0.14475029 1.18850128],[6.39357402 5.44174043],[ 0.43353298 -0.97534722]
[6.44387827 7.11385522],[-0.63651415 -1.06949755],[6.12889989 5.18017019],[-0.83956666  0.64717681],[7.55320816 4.78324194],[-1.1295263   0.39307203],[2.93193407 4.69048271],[ 0.10579896 -0.86416405],[5.05366145 4.61548351],[ 0.85287324 -0.66638168],[7.28510904 3.34156427],[ 0.72170033 -0.11513295],[4.29478906 4.77014787],[ 1.16801406 -0.16369364],[6.68483607 4.96458215],[ 0.88467939 -0.33050531],[4.94413474 3.2647918 ],[0.15917946 1.17907276],[6.43576313 5.3440517 ],[ 0.40927433 -0.97930618]
[6.38113828 7.00695761],[-0.61685623 -1.0670407 ],[6.04503858 5.24402596],[-0.83555131  0.63196802],[7.44064936 4.82192384],[-1.12271542  0.37954307],[2.9459904  4.60303393],[ 0.17357759 -0.88557483],[5.13915127 4.54969207],[ 0.85852461 -0.64779027],[7.35696806 3.33153903],[ 0.71314274 -0.08752006],[4.41131797 4.75430647],[ 1.16130987 -0.15460183],[6.77258526 4.93109239],[ 0.87268726 -0.33693923],[4.96073833 3.38215217],[0.17122385 1.16634792],[6.47531504 5.2457962 ],[ 0.38440249 -0.98303663]
[6.32042513 6.90034597],[-0.59924323 -1.0669326 ],[5.96131319 5.30606268],[-0.83649388  0.6110817 ],[7.32888798 4.85938017],[-1.11228142  0.36984942],[2.96672338 4.51364332],[ 0.24215032 -0.90000189],[5.22519142 4.48576575],[ 0.86319    -0.62978371],[7.42819565 3.32457758],[ 0.71124399 -0.05154754],[4.52700734 4.73915693],[ 1.15040259 -0.15077562],[6.85916372 4.89699791],[ 0.85769983 -0.3461829 ],[4.97853331 3.49822563],[0.18415989 1.15464303],[6.51284436 5.14764005],[ 0.36774737 -0.97870887]
[6.26123074 6.79352242],[-0.58542093 -1.07017756],[5.87777162 5.36625155],[-0.83623201  0.59069107],[7.218115   4.89582937],[-1.10094905  0.36150526],[2.99461323 4.42343305],[ 0.31692252 -0.90174062],[5.31131348 4.42326482],[ 0.8600143 -0.6195105],[7.49917715 3.32126865],[ 0.70867638 -0.01392861],[4.64153538 4.72422859],[ 1.14131288 -0.14688107],[6.94414341 4.86186121],[ 0.84521054 -0.35322742],[4.99761899 3.61310806],[0.1951634  1.14074297],[6.5484036  5.04959698],[ 0.34336096 -0.98213815]
[6.20366016 6.6866324 ],[-0.56735567 -1.06897317],[5.79426437 5.42436661],[-0.8346232   0.57079159],[7.10826975 4.93125956],[-1.09517139  0.34772049],[3.02985183 4.33326415],[ 0.38943266 -0.89873719],[5.3971718  4.36183967],[ 0.85786569 -0.60829078],[7.5698077  3.32175321],[0.70337076 0.02341548],[4.75510261 4.70957504],[ 1.13330081 -0.14298755],[7.02799024 4.82615161],[ 0.83181437 -0.36086821],[5.01809942 3.72688025],[0.21146621 1.13155876],[6.58173239 4.9514467 ],[ 0.32356075 -0.9805685 ]
[6.14776048 6.57972913],[-0.55103195 -1.06939466],[5.71118391 5.48072304],[-0.8257341   0.55754995],[6.99899826 4.96527221],[-1.08974257  0.33286767],[3.07214841 4.24358922],[ 0.45808853 -0.89172377],[5.48311741 4.30184445],[ 0.86364155 -0.58893262],[7.63987605 3.32606773],[0.69793458 0.06314521],[4.86840728 4.69587655],[ 1.13089136 -0.13276698],[7.11037756 4.78955773],[ 0.81660487 -0.37035312],[5.04023777 3.83971075],[0.23094734 1.12443836],[6.61296772 4.85335111],[ 0.30335009 -0.97918109]
[6.09353078 6.4728333 ],[-0.53033647 -1.0653664 ],[5.62873723 5.53547735],[-0.82469391  0.53590246],[6.89027271 4.99776361],[-1.08710011  0.31442478],[3.12139884 4.15511281],[ 0.52827356 -0.87507152],[5.56992676 4.24410915],[ 0.8742179  -0.56396383],[7.70922222 3.33430739],[0.6878118  0.10082043],[4.98104682 4.68277479],[ 1.12101838 -0.13031737],[7.19117    4.75193578],[ 0.80179821 -0.37953692],[5.06376693 3.95123401],[0.24018552 1.10672663],[6.64203274 4.75525526],[ 0.27957754 -0.98093869]
[6.04161518 6.36654093],[-0.50846601 -1.06112077],[5.54647398 5.58809578],[-0.81966636  0.51728798],[6.78162797 5.02813329],[-1.08342706  0.29523256],[3.17753405 4.06857162],[ 0.5942543  -0.85448724],[5.65723123 4.18834289],[ 0.87030818 -0.55298946],[7.77731776 3.34619656],[0.6743397  0.13756343],[5.09280388 4.669975  ],[ 1.11722073 -0.12257623],[7.2705699  4.71349243],[ 0.78423183 -0.39130841],[5.08866958 4.06142516],[0.25294962 1.09213224],[6.66917443 4.65744843],[ 0.2613398 -0.9771799]
[5.99173285 6.26048681],[-0.49153632 -1.06217702],[5.4649791  5.63908886],[-0.80969094  0.503051  ],[6.67376876 5.05698294],[-1.07412688  0.28138907],[3.24020911 3.98444312],[ 0.65634987 -0.82956142],[5.74426154 4.13378392],[ 0.86775113 -0.54079021],[7.84425676 3.36208931],[0.65974369 0.1759734 ],[5.20393651 4.6577063 ],[ 1.11091128 -0.11744893],[7.34830682 4.67396474],[ 0.76785619 -0.40190935],[5.11457635 4.16989397],[0.26350211 1.07565207],[6.69437754 4.55990034],[ 0.2404747  -0.97589947]
[5.94345887 6.15426753],[-0.47426758 -1.06253866],[5.38459182 5.68874799],[-0.79947153  0.48864835],[6.56669987 5.08429622],[-1.06755091  0.26442909],[3.30837403 3.90250436],[ 0.70513499 -0.80962322],[5.83087157 4.08026829],[ 0.86522797 -0.52873972],[7.90940851 3.38162145],[0.64439227 0.21618376],[5.31465456 4.64618337],[ 1.10305819 -0.11344719],[7.42425182 4.63321893],[ 0.75085924 -0.41316403],[5.1416789  4.27684866],[0.27685709 1.06168572],[6.71739243 4.4624144 ],[ 0.22352222 -0.97013736]
[5.89682862 6.04794451],[-0.45561524 -1.06123762],[5.30480726 5.73650602],[-0.79546249  0.46711651],[6.4602986  5.10988439],[-1.0614786  0.246226 ],[3.38172224 3.82325758],[ 0.75916208 -0.77675076],[5.91739066 4.02812656],[ 0.86541608 -0.51380123],[7.97316527 3.40547036],[0.62917231 0.25966882],[5.42426933 4.63468883],[ 1.0924445  -0.11340901],[7.49872561 4.59158916],[ 0.73906618 -0.41890316],[5.17005122 4.38232492],[0.29162005 1.04862091],[6.73845878 4.36525118],[ 0.19944102 -0.97130993]
[5.85227766 5.94193714],[-0.4381798  -1.06162638],[5.22529241 5.78191886],[-0.79608442  0.4396847 ],[6.35448408 5.13358457],[-1.05423431  0.22820824],[3.46014653 3.74732777],[ 0.80823927 -0.74178413],[6.00390171 3.9774676 ],[ 0.86345578 -0.50072805],[8.03475152 3.43316357],[0.60702088 0.29909911],[5.5330159  4.62336267],[ 1.08374996 -0.11200726],[7.57160622 4.54899091],[ 0.71757326 -0.43406429],[5.20007367 4.48660109],[0.30879146 1.03674978],[6.75731422 4.26820582],[ 0.17762147 -0.96957991]
[5.80919012 5.83564452],[-0.42338393 -1.0639843 ],[5.14594529 5.82474327],[-0.78913592  0.41838137],[6.24969926 5.15576777],[-1.04054642  0.2164867 ],[3.54300272 3.67474642],[ 0.84890625 -0.70880042],[6.09038265 3.92829114],[ 0.86685122 -0.4819966 ],[8.09453847 3.46537615],[0.59126683 0.34824231],[5.6406825  4.61192015],[ 1.07193622 -0.11469783],[7.64241228 4.50495264],[ 0.69692075 -0.44833726],[5.23136115 4.58920549],[0.31469842 1.013198  ],[6.77416098 4.17152593],[ 0.15805178 -0.96531924]
[5.76758188 5.72914462],[-0.40780019 -1.06496774],[5.06721158 5.86529768],[-0.78398678  0.3941147 ],[6.14595772 5.1764514 ],[-1.03423737  0.19710793],[3.6303643  3.60620629],[ 0.89512135 -0.66421576],[6.17680901 3.88061443],[ 0.86375618 -0.46946397],[8.15255663 3.50248595],[0.57008762 0.39541606],[5.74759332 4.60061448],[ 1.06529129 -0.11238438],[7.71094304 4.45927999],[ 0.67490303 -0.46388398],[5.26403781 4.6902373 ],[0.3350031 1.0033167],[6.78891367 4.07516079],[ 0.14000858 -0.95906532]
[5.72804775 5.62304735],[-0.38344148 -1.05772442],[4.98899313 5.9033624 ],[-0.78150419  0.36578815],[6.04267374 5.19495103],[-1.02948908  0.17458502],[3.72181388 3.54187359],[ 0.93396713 -0.62148164],[6.26315578 3.83443455],[ 0.86297595 -0.45430247],[8.20841977 3.54444142],[0.54573128 0.44270119],[5.85387109 4.58957503],[ 1.06031737 -0.10826503],[7.77740594 4.4122028 ],[ 0.65366428 -0.47829821],[5.29829005 4.78976944],[0.35185278 0.98895867],[6.80209192 3.97962681],[ 0.12225659 -0.95288135]
[5.69067423 5.51735934],[-0.36263951 -1.05459416],[4.91091855 5.93839902],[-0.78060722  0.33398362],[5.94014627 5.21142135],[-1.02000152  0.15575913],[3.81702439 3.48194823],[ 0.96946137 -0.57698388],[6.3497846  3.79016234],[ 0.86725495 -0.43334935],[8.26162441 3.59105798],[0.51624595 0.48793199],[5.95923155 4.57852052],[ 1.05029248 -0.10966445],[7.84186584 4.36382734],[ 0.635628   -0.48901621],[5.33423815 4.88781599],[0.36816685 0.97288903],[6.81350869 3.88472832],[ 0.10343807 -0.94766543]
[5.6551894  5.41179036],[-0.34578627 -1.05537112],[4.83342047 5.97065227],[-0.7701638   0.31007883],[5.83850459 5.22590113],[-1.00932666  0.13721962],[3.91543823 3.42635685],[ 0.99828482 -0.53476543],[6.43654061 3.74771519],[ 0.86733095 -0.4160191 ],[8.31223214 3.64269364],[0.4924432  0.54168126],[6.06391485 4.56764909],[ 1.04216605 -0.10906493],[7.9044585  4.31434826],[ 0.61619842 -0.50049715],[5.37173933 4.98412933],[0.38422073 0.95565184],[6.82291742 3.79025267],[ 0.08291643 -0.94358351]
[5.62180319 5.30655005],[-0.32360404 -1.05114893],[4.75662475 6.0000916 ],[-0.76546818  0.27868944],[5.73841319 5.23900843],[-0.9946948   0.12290045],[4.01657256 3.37501216],[ 1.02468155 -0.49119861],[6.5230323  3.70674557],[ 0.86444621 -0.40147323],[8.35994552 3.6993151 ],[0.46185623 0.59106292],[6.16782575 4.55686747],[ 1.03726616 -0.10531869],[7.96527491 4.26392189],[ 0.60229021 -0.50574555],[5.41103137 5.07884478],[0.40268387 0.93956539],[6.83044517 3.69638024],[ 0.06692213 -0.93462991]
[5.59060031 5.20168088],[-0.29966279 -1.04554824],[4.68030955 6.02629472],[-0.75668694  0.2491888 ],[5.63916704 5.25002097],[-0.98799616  0.09934744],[4.12037039 3.32823735],[ 1.04941989 -0.44556528],[6.60946983 3.66748325],[ 0.86496495 -0.38303384],[8.40439405 3.76076843],[0.42696823 0.63802806],[6.27092067 4.54613451],[ 1.02715643 -0.10692062],[8.02437364 4.21268277],[ 0.58137879 -0.51722926],[5.4522979  5.17200631],[0.42125456 0.92213177],[6.83646176 3.60348561],[ 0.05297616 -0.92383372]
[5.56171156 5.09726077],[-0.28007971 -1.04480715],[4.60498126 6.04956105],[-0.7504173   0.21522775],[5.54078262 5.2588037 ],[-0.98098102  0.07470883],[4.2262136  3.28575296],[ 1.06450119 -0.40682251],[6.69601521 3.63015589],[ 0.86623645 -0.36311908],[8.4451076  3.82674372],[0.38766857 0.68193801],[6.37328942 4.5355242 ],[ 1.02058791 -0.10489964],[8.08163211 4.16058502],[ 0.5616961  -0.52670079],[5.49548122 5.26341914],[0.43810862 0.90167217],[6.84059379 3.51119624],[ 0.03559561 -0.91593873]
[5.53494977 4.99308284],[-0.25779678 -1.04139651],[4.53009524 6.06911135],[-0.74751144  0.17508188],[5.44344007 5.2653881 ],[-0.96555825  0.05726299],[4.33354408 3.24721577],[ 1.08011121 -0.36561487],[6.78269669 3.59486852],[ 0.86608262 -0.34382553],[8.4820313  3.89728439],[0.35019362 0.7281925 ],[6.47464163 4.52473902],[ 1.00955376 -0.10782125],[8.13650785 4.10716528],[ 0.5335844  -0.54379772],[5.54019943 5.35259691],[0.45726197 0.88267107],[6.84360836 3.42029229],[ 0.02400658 -0.90292609]
[5.51005084 4.88890443],[-0.23998062 -1.04191721],[4.45595621 6.08495236],[-0.73559104  0.1410859 ],[5.34733648 5.26987791],[-0.9549392   0.03398916],[4.44215107 3.21260356],[ 1.09254271 -0.32588689],[6.86927614 3.56145313],[ 0.86625911 -0.32364089],[8.51476414 3.97200237],[0.30434007 0.76591672],[6.57486882 4.5136085 ],[ 0.99782883 -0.11206448],[8.18853935 4.05204808],[ 0.5061483 -0.5592909],[5.58683684 5.43980807],[0.47673484 0.86264762],[6.84533457 3.33054772],[ 0.01155596 -0.89096073]
[5.48728717 4.78502599],[-0.21801283 -1.03828541],[4.38301781 6.09726954],[-0.72353653  0.104432  ],[5.25265698 5.27235789],[-0.93965587  0.01448326],[4.55207716 3.18213882],[ 1.10434156 -0.28477744],[6.95573133 3.52994615],[ 0.86243502 -0.30685894],[8.54286783 4.05042262],[0.26025747 0.80465536],[6.67406691 4.50217415],[ 0.98793793 -0.11485104],[8.23753016 3.99513937],[ 0.47794939 -0.57442161],[5.63527034 5.52480439],[0.49158993 0.83677936],[6.84599003 3.24215496],[ 2.23301207e-04 -8.78261225e-01]
[5.4666663 4.681464 ],[-0.19598928 -1.03455894],[4.31121769 6.10569099],[-0.71059439  0.06535111],[5.15959307 5.27293292],[-9.19369628e-01 -8.09880896e-04],[4.66301176 3.15569095],[ 1.11422763 -0.24403076],[7.04186562 3.50020131],[ 0.85796618 -0.29030703],[8.56630899 4.13237651],[0.20874793 0.83427894],[6.77253546 4.49073563],[ 0.97784296 -0.11760109],[8.28383397 3.93690939],[ 0.44587014 -0.59222698],[5.68558499 5.60754332],[0.51239679 0.81551398],[6.84538357 3.15490167],[-0.01441372 -0.86881647]
[5.44833361 4.57835347],[-0.16977335 -1.02680553],[4.24096275 6.11028674],[-0.69635191  0.02415515],[5.06828162 5.27166917],[-0.90675209 -0.02457475],[4.77476888 3.13323036],[ 1.11813301 -0.2079096 ],[7.12723879 3.47179748],[ 0.84911517 -0.27820953],[8.58479876 4.21738881],[0.15863747 0.86297686],[6.86943413 4.47840265],[ 0.96267674 -0.12671472],[8.32663131 3.87667548],[ 0.41057277 -0.61167962],[5.73793681 5.6880402 ],[0.53287027 0.79240967],[6.84340925 3.06870834],[-0.02643468 -0.85648442]
[5.4325431  4.47590402],[-0.14665277 -1.02267381],[4.17227163 6.11070588],[-0.67782626 -0.01672912],[4.97826961 5.26797846],[-0.89331823 -0.0493385 ],[4.88689491 3.11438909],[ 1.12214978 -0.17113472],[7.21249843 3.44540184],[ 0.85500425 -0.25051663],[8.59799004 4.30484694],[0.10404611 0.88451425],[6.9651696  4.46548287],[ 0.95186775 -0.1319191 ],[8.36639242 3.81506889],[ 0.38192688 -0.62294544],[5.79207057 5.76589058],[0.55309993 0.76768637],[6.84018705 2.98370851],[-0.03654685 -0.84208164]
[5.41892958 4.37374768],[-0.12687864 -1.02157391],[4.10523676 6.10662111],[-0.66264546 -0.06546749],[4.88963847 5.26175377],[-0.87996733 -0.07612387],[4.99941636 3.09925511],[ 1.12726689 -0.13238748],[7.29769953 3.42118698],[ 0.85222985 -0.23050271],[8.60565975 4.39424652],[0.05202684 0.90551491],[7.05975003 4.45195016],[ 0.940756   -0.13779907],[8.40296982 3.75209901],[ 0.34845342 -0.63732826],[5.84832525 5.84128376],[0.57016805 0.73815637],[6.83596059 2.90014641],[-0.04980908 -0.83092267]
[5.40778611 4.2721954 ],[-0.09901126 -1.01260601],[4.0399769  6.09766835],[-0.64159678 -0.11342665],[4.80244743 5.25284703],[-0.86368066 -0.10210329],[5.11235628 3.08796524],[ 1.12955837 -0.09531278],[7.38240571 3.39878674],[ 0.84379597 -0.21566472],[8.60775057 4.48518155],[-0.00957314  0.91329803],[7.15353799 4.43816203],[ 0.93046857 -0.14255785],[8.43614645 3.68773368],[ 0.31314985 -0.65163369],[5.90622977 5.91359469],[0.5893562  0.70925535],[6.8302579 2.817583 ],[-0.06399839 -0.8200729 ]
[5.39910343 4.17119981],[-0.07577506 -1.00830979],[3.97648592 6.08330265],[-0.62580191 -0.17243351],[4.71704957 5.24140977],[-0.84267916 -0.12528313],[5.2253705  3.08025179],[ 1.13131135 -0.05825794],[7.46643508 3.37804854],[ 0.83735231 -0.19850835],[8.60407408 4.57711058],[-0.06563975  0.92273304],[7.246442   4.42403858],[ 0.92792077 -0.13942337],[8.4653235  3.62158141],[ 0.27159547 -0.66978823],[5.96612747 5.98300342],[0.60895148 0.67902171],[6.82335489 2.73633757],[-0.07651672 -0.80727563]
[5.39247752 4.07041099],[-0.05395782 -1.00465684],[3.91494416 6.0630896 ],[-0.60286129 -0.23066293],[4.63372523 5.22754213],[-0.82465341 -0.15330273],[5.33828234 3.07599426],[ 1.12658586 -0.02738781],[7.54974862 3.35897261],[ 0.82958684 -0.18230879],[8.59489253 4.66986018],[-0.11524905  0.93394507],[7.33910541 4.41030507],[ 0.92447898 -0.13594827],[8.49059071 3.55398207],[ 0.23184065 -0.68371528],[6.02803406 6.04934764],[0.62992154 0.64834012],[6.81484193 2.65605204],[-0.09220604 -0.79681476]
[5.38845798 3.97039829],[-0.02843927 -0.99757171],[3.8560869 6.0371187],[-0.57467276 -0.29020263],[4.55241612 5.21096352],[-0.80122193 -0.17826146],[5.4509333  3.07502716],[1.12490513 0.00664128],[7.63271082 3.34197718],[ 0.83233319 -0.15466921],[8.58044119 4.76315045],[-0.17134419  0.93346597],[7.43114294 4.39666695],[ 0.91803468 -0.13490694],[8.51164631 3.48488988],[ 0.19073312 -0.69624501],[6.09192763 6.11241849],[0.64979169 0.61464888],[6.80472808 2.57681934],[-0.10896501 -0.78661522]
[5.38695511 3.87106868],[ 7.21952044e-04 -9.86812319e-01],[3.80023331 6.00503075],[-0.54295835 -0.35321908],[4.47322104 5.19153627],[-0.78138346 -0.20942522],[5.56313958 3.0771962 ],[1.11561426 0.03290666],[7.71556917 3.32744171],[ 0.82748568 -0.13328261],[8.56075827 4.85651247],[-0.22339021  0.93175629],[7.52209185 4.38269526],[ 0.90200516 -0.14363427],[8.52885148 3.41492876],[ 0.1491797  -0.70673837],[6.15799861 6.17221214],[0.67299847 0.58232042],[6.79329719 2.49899782],[-0.11695921 -0.76717637]
[5.38828437 3.7726947 ],[ 0.02292278 -0.98340032],[3.74757577 5.96630062],[-0.50788621 -0.42020519],[4.39603263 5.16886192],[-0.76274399 -0.24494899],[5.67408302 3.08156037],[1.10522503 0.05609216],[7.79770166 3.31483943],[ 0.81629953 -0.11762531],[8.53595047 4.94952254],[-0.27092961  0.92924509],[7.61149858 4.367869  ],[ 0.88501536 -0.15418397],[8.54182421 3.34398351],[ 0.10664182 -0.71536323],[6.22611582 6.2283978 ],[0.69010987 0.54184154],[6.78094101 2.42299364],[-0.12834991 -0.75104449]
[5.39197721 3.67484168],[ 0.04996559 -0.97455978],[3.69891383 5.92099501],[-0.46425655 -0.48590154],[4.32090067 5.14265044],[-0.74105293 -0.28095788],[5.78424892 3.08847466],[1.09754518 0.08140135],[7.87893239 3.30403625],[ 0.80954129 -0.09706863],[8.50615846 5.04177544],[-0.3245326  0.9154111],[7.69944138 4.35218394],[ 0.87532705 -0.15810211],[8.5501132  3.27190506],[ 0.05620887 -0.72857636],[6.29626984 6.28075379],[0.71334907 0.50538859],[6.76775966 2.34892318],[-0.13726262 -0.73234636]
[5.39824639 3.57775506],[ 0.07465415 -0.96783861],[3.65464946 5.86880074],[-0.4176358  -0.55559271],[4.24820901 5.11292776],[-0.71286642 -0.31407481],[5.89361381 3.0978603 ],[1.08803444 0.10437655],[7.95962919 3.29548356],[ 0.80418947 -0.07405788],[8.4711866  5.13259262],[-0.37467935  0.90027791],[7.78613257 4.33581205],[ 0.86122179 -0.16673652],[8.55327007 3.19860679],[ 0.00733256 -0.73648708],[6.36875863 6.32937699],[0.73699385 0.46736484],[6.75349112 2.27654782],[-0.14907626 -0.71609688]
[5.40678435 3.48118084],[ 0.09726068 -0.96237224],[3.61580325 5.81006541],[-0.35902193 -0.61974309],[4.17859202 5.07997332],[-0.6796718  -0.34573187],[6.00190818 3.10936783],[1.07786076 0.12567136],[8.03954629 3.28903009],[ 0.79541089 -0.05364309],[8.43111438 5.22157569],[-0.42443825  0.88084061],[7.87147378 4.31861094],[ 0.84671223 -0.17618227],[8.55192525 3.12505819],[-0.03775746 -0.73757827],[6.44347553 6.37396542],[0.75584757 0.42259179],[6.73798769 2.20577387],[-0.16195579 -0.70026281]
[5.41810233 3.38568162],[ 0.12806446 -0.94879102],[3.58261633 5.74443471],[-0.30718025 -0.69584958],[4.11207097 5.04343257],[-0.64673524 -0.38169563],[6.10910578 3.12287806],[1.06821478 0.14653295],[8.11838869 3.2844509 ],[ 0.7845148  -0.03478481],[8.38600375 5.30831594],[-0.4756032   0.85537796],[7.95540734 4.30049271],[ 0.83104515 -0.18722751],[8.54567188 3.05116649],[-0.08772276 -0.74012764],[6.52035849 6.41425599],[0.78085332 0.38209489],[6.72107539 2.13650374],[-0.17618933 -0.68493694]
[5.43241341 3.29143266],[ 0.15642183 -0.9378881 ],[3.55504487 5.67146165],[-0.2435241  -0.76308561],[4.04910201 5.00334289],[-0.61136651 -0.41951274],[6.21561868 3.1387504 ],[1.06057856 0.16945155],[8.19648773 3.28215163],[ 0.77607429 -0.01239808],[8.33620732 5.39270504],[-0.51872895  0.8331267 ],[8.03791334 4.28138008],[ 0.82042921 -0.19365139],[8.53409204 2.97687579],[-0.14318976 -0.74441431],[6.59923935 6.44990663],[0.79806894 0.33193639],[6.70263062 2.06870209],[-0.19321378 -0.67143071]
[5.44986298 3.19857231],[ 0.19328577 -0.91873992],[3.53450375 5.59234641],[-0.1669496  -0.81884846],[3.98972329 4.95929021],[-0.57407556 -0.46014266],[6.32119786 3.15672618],[1.05332692 0.19230918],[8.27341081 3.28179862],[0.76258839 0.00560608],[8.28215633 5.47467615],[-0.56251666  0.80528629],[8.1192563  4.26152386],[ 0.80456781 -0.20537796],[8.51711502 2.90249242],[-0.1968453  -0.74319702],[6.67998871 6.48059455],[0.81516978 0.27989224],[6.68246124 2.00228785],[-0.20702912 -0.65357366]
[5.47078926 3.10738633],[ 0.22571387 -0.90451184],[3.5213311  5.50739493],[-0.09546596 -0.8784392 ],[3.93462981 4.91148507],[-0.52746974 -0.49639417],[6.42600159 3.17693949],[1.04176256 0.21079839],[8.34928667 3.28358705],[0.75721863 0.03264529],[8.22370011 5.55360703],[-0.60746574  0.77171328],[8.19926283 4.24073123],[ 0.79418684 -0.21188014],[8.49472128 2.82835351],[-0.25464552 -0.74259255],[6.76238989 6.50593381],[0.83343291 0.22729266],[6.66083001 1.93762331],[-0.2259389  -0.63986672]
[5.49489784 3.01757272],[ 0.25596153 -0.89220529],[3.51529937 5.41669334],[-0.02277684 -0.93197916],[3.8839264  4.85952582],[-0.48771322 -0.54469573],[6.52976936 3.19908696],[1.03364138 0.23215373],[8.42437824 3.28790696],[0.74189627 0.05108075],[8.1607262  5.62893447],[-0.65237125  0.73372146],[8.2783094  4.21937075],[ 0.78708474 -0.21490232],[8.4664389 2.7543575],[-0.31253018 -0.73831829],[6.84658774 6.52592661],[0.84883595 0.1707413 ],[6.63760545 1.87468494],[-0.23911244 -0.61934326]
[5.52191943 2.9289098 ],[ 0.28508254 -0.88022646],[3.51631105 5.32078746],[ 0.04516831 -0.98222866],[3.83749439 4.80277018],[-0.44167394 -0.59191862],[6.63252169 3.22314458],[1.02463703 0.25212962],[8.49826854 3.29444332],[0.73318559 0.07711532],[8.09369866 5.70067062],[-0.69155105  0.69685576],[8.3561701  4.19723746],[ 0.77135177 -0.22661164],[8.43217124 2.68076826],[-0.37376753 -0.73389882],[6.93216751 6.54004892],[0.86208302 0.11098322],[6.6128429  1.81363079],[-0.2552986  -0.60075779]
[5.55193083 2.84155898],[ 0.31346446 -0.86822862],[3.52466608 5.22089035],[ 0.12170108 -1.01426152],[3.79559039 4.74096952],[-0.39531981 -0.64367962],[6.73432441 3.24913827],[1.01113932 0.26726989],[8.57101907 3.30337803],[0.71931074 0.09917978],[8.02270021 5.76843674],[-0.72691772  0.65920372],[8.43234549 4.17379211],[ 0.75552839 -0.23898741],[8.3921903 2.6081859],[-0.42468875 -0.7162711 ],[7.01889069 6.54798145],[0.87173449 0.04696292],[6.58647472 1.75450539],[-0.27281137 -0.58233581]
[5.58489939 2.75557625],[ 0.34633118 -0.85086716],[3.540875   5.11847342],[ 0.19788365 -1.03666921],[3.75887382 4.67432236],[-0.33442951 -0.68532314],[6.83490408 3.27672597],[1.00077545 0.28468436],[8.64203239 3.31420592],[0.70101153 0.11753188],[7.94830094 5.83234589],[-0.75951503  0.61978135],[8.50724606 4.14941044],[ 0.74011496 -0.25105271],[8.34702653 2.53738433],[-0.47717317 -0.69806654],[7.10679426 6.549728  ],[ 0.88482177 -0.01331278],[6.55854192 1.697471  ],[-0.28608459 -0.558474  ]
[5.62103605 2.6712455 ],[ 0.37634209 -0.8356234 ],[3.56480513 5.0144649 ],[ 0.27765968 -1.04481357],[3.72820617 4.60326061],[-0.27724043 -0.73463017],[6.93434583 3.30592231],[0.98850619 0.29951515],[8.71113586 3.32682711],[0.68009632 0.13397577],[7.87078045 5.89222869],[-0.78841506  0.57964094],[8.58080105 4.12400907],[ 0.72934225 -0.25862262],[8.29684577 2.46872633],[-0.52501514 -0.67349356],[7.19554662 6.54502955],[ 0.88888169 -0.08171304],[6.52951702 1.64311025],[-0.29525543 -0.52944999]
[5.66001479 2.58833949],[ 0.40451046 -0.82101893],[3.59598124 4.90946319],[ 0.34469068 -1.05430849],[3.70398735 4.52784387],[-0.206933   -0.77385361],[7.03262066 3.33662496],[0.97713461 0.31451814],[8.77840608 3.34139145],[0.66482896 0.15700178],[7.79056493 5.94808082],[-0.81662377  0.53598184],[8.65289461 4.09746043],[ 0.71225538 -0.27272084],[8.24172834 2.40244123],[-0.575444   -0.65019873],[7.28448859 6.53332769],[ 0.88989585 -0.152042  ],[6.49956778 1.5916994 ],[-0.30465021 -0.49951595]
