[9.80682351 8.68420365],[2.37420755 4.89637922],[8.8384686  0.53456428],[0.53236149 0.28022668],[9.72639777 1.541832  ],[ 4.20219175 -0.65036384],[6.30527199 5.76884415],[-0.61174967  0.1984429 ],[3.59454988 9.85288023],[-3.86534636 -3.80478218],[3.74133228 6.91538585],[ 2.37930528 -4.78807838],[2.91409054 5.77845794],[-2.75705808  0.28149095],[0.77415227 6.0650199 ],[ 4.84264921 -0.3625419 ],[6.12219371 0.27577999],[-0.65215288 -4.7431457 ],[1.67788985 7.44680014],[2.88764621 2.14326259]
[10.01836147  9.88684544],[-0.55953461  0.43815643],[8.97411614 1.55027856],[-0.31016313  1.26543713],[10.9150962   1.77554601],[0.29379562 0.79571405],[5.39571433 5.94536769],[-0.93410846  0.09240151],[2.80003814 8.38952684],[-0.0896735  -1.26037321],[4.56002906 5.46881983],[ 0.65327779 -0.93753677],[1.67725709 5.86445423],[-0.63039073 -0.02100954],[2.52256101 5.88428056],[ 1.29065932 -0.17112687],[ 5.77101615 -0.87546923],[-0.43739486 -0.18918593],[3.16375797 7.99911883],[ 1.22770251 -0.0389476 ]
[9.95551019 9.92575857],[-0.69963274  0.33614308],[8.94032336 1.67706477],[-0.36797617  1.26546305],[10.93788724  1.86016655],[0.16469286 0.89852902],[5.30198983 5.95366323],[-0.93946176  0.07390384],[2.79445745 8.26303834],[-0.02149742 -1.26730326],[4.62549084 5.37598477],[ 0.6573266  -0.91807499],[1.61709251 5.86129564],[-0.57189926 -0.0415024 ],[2.65094236 5.86684443],[ 1.27711442 -0.17775953],[ 5.72495429 -0.88770802],[-0.48108023 -0.05086212],[3.28642581 7.99191275],[ 1.22743507 -0.10204618]
[9.87869118 9.95385855],[-0.83225941  0.22751734],[8.90093651 1.80338042],[-0.42058514  1.25805993],[10.9479171   1.95487305],[0.03395606 0.99126234],[5.20792626 5.9601413 ],[-0.93990207  0.05718807],[2.79531334 8.13592909],[ 0.04027624 -1.27170624],[4.69133239 5.2850086 ],[ 0.66117496 -0.89994065],[1.56274883 5.85590561],[-0.51417256 -0.06609296],[2.77813681 5.84884598],[ 1.26859443 -0.18033106],[ 5.67478265 -0.88523702],[-0.52094243  0.10324926],[3.40874654 7.97843866],[ 1.21766129 -0.16776052]
[9.78948071 9.97106016],[-0.94887865  0.11618133],[8.85650953 1.92865594],[-0.46801314  1.24593175],[10.94418846  2.05742571],[-0.10591077  1.05897189],[5.11409098 5.96511029],[-0.93418449  0.04455132],[2.80283954 8.00922602],[ 0.11003621 -1.26160287],[4.75763599 5.19588593],[ 0.66595496 -0.88156096],[1.51463443 5.84829408],[-0.44852032 -0.08732523],[2.90425102 5.83034931],[ 1.25460034 -0.18880966],[ 5.62075753 -0.86678109],[-0.5595257   0.26644196],[3.53027889 7.95888229],[ 1.21265835 -0.22239202]
[9.68934488 9.97679878],[-1.05368341 -0.0050947 ],[8.80753029 2.05250524],[-0.51065324  1.23078598],[10.92722841  2.16635115],[-0.23704632  1.11115697],[5.02081512 5.96873124],[-0.93158501  0.02733077],[2.81669379 7.88318974],[ 0.16674679 -1.25805908],[4.82448823 5.10865051],[ 0.67142269 -0.86286439],[1.47342082 5.83861296],[-0.37422505 -0.10575151],[3.02922425 5.81123377],[ 1.24432146 -0.19400862],[ 5.56303347 -0.83178829],[-0.58928109  0.43794457],[3.65089279 7.93378528],[ 1.19980666 -0.27845922]
[9.57984176 9.97036802],[-1.1303904 -0.1209907],[8.75458992 2.17480652],[-0.54958238  1.2128664 ],[10.89742796  2.27937951],[-0.3586343   1.14449633],[4.92794174 5.97067923],[-0.92519634  0.01216043],[2.83632422 7.75795818],[ 0.22487792 -1.2465112 ],[4.8920136  5.02340204],[ 0.67963614 -0.84158412],[1.43961199 5.82671209],[-0.29790492 -0.12946959],[3.15313455 5.79156026],[ 1.2340632  -0.19925296],[ 5.50276799 -0.77970165],[-0.61284252  0.60372178],[3.77027075 7.90342534],[ 1.18450527 -0.33114265]
[9.46381286 9.95252018],[-1.18114466 -0.22940299],[8.69774375 2.29506367],[-0.5871415   1.19181243],[10.85566444  2.39445115],[-0.47508962  1.15358794],[4.83547775 5.97080698],[-0.92640699 -0.01235598],[2.8616644  7.63406113],[ 0.28274428 -1.22985851],[4.9602457  4.94016605],[ 0.68364697 -0.82446527],[1.4137697  5.81234296],[-0.21691915 -0.157389  ],[3.27618519 5.77155481],[ 1.22611804 -0.2015915 ],[ 5.44082958 -0.71147448],[-0.62217649  0.75943953],[3.88782838 7.86773723],[ 1.16632613 -0.3821554 ]
[9.34367314 9.92411917],[-1.21964703 -0.33868302],[8.63759155 2.41345535],[-0.61404033  1.17709841],[10.80303753  2.50981247],[-0.57397172  1.15253566],[4.74305138 5.96850871],[-0.91913535 -0.03084157],[2.89240679 7.51169715],[ 0.33286285 -1.21582496],[5.02879894 4.85857785],[ 0.68877953 -0.8059047 ],[1.39642233 5.79507189],[-0.1321709  -0.19189063],[3.39848234 5.75139501],[ 1.22076513 -0.20046959],[ 5.37907951 -0.6281829 ],[-0.61140592  0.90157709],[4.00368935 7.82731528],[ 1.1482662  -0.42802109]
[9.22074735 9.88532189],[-1.23472796 -0.43413963],[8.57483479 2.53024411],[-0.64047749  1.1587941 ],[10.74143487  2.62468762],[-0.65536898  1.14362763],[4.65160527 5.96456296],[-0.90959793 -0.04800466],[2.92782952 7.39068354],[ 0.37646745 -1.20259805],[5.09806773 4.77906032],[ 0.69804484 -0.78297765],[1.38776205 5.77399542],[-0.03783928 -0.22829872],[3.52016741 5.73133654],[ 1.21239252 -0.2011964 ],[ 5.31902133 -0.53193167],[-0.58698387  1.01990521],[4.11747487 7.78224897],[ 1.12650635 -0.47343859]
[9.09693368 9.83735501],[-1.23700984 -0.52086593],[8.50928678 2.64491855],[-0.67059326  1.13430773],[10.67186052  2.73777758],[-0.7290602   1.12211375],[4.56088482 5.95860611],[-0.90394718 -0.07054887],[2.96762023 7.27124741],[ 0.41715538 -1.18735848],[5.1681959  4.70178057],[ 0.70166429 -0.76541028],[1.38914639 5.74928721],[ 0.06791172 -0.26533793],[3.64094031 5.71114333],[ 1.20244194 -0.20326375],[ 5.26212688 -0.42494268],[-0.55115     1.11402254],[4.22890005 7.73264788],[ 1.10198153 -0.51802926]
[8.97354646 9.78133879],[-1.22806756 -0.59651469],[8.44126886 2.75757353],[-0.69230321  1.11583496],[10.59556826  2.84851154],[-0.79458055  1.09247158],[4.47092655 5.9505116 ],[-0.89759751 -0.09399043],[3.01116625 7.15327792],[ 0.45481411 -1.17025907],[5.23880226 4.62639551],[ 0.71172877 -0.74098287],[1.40164786 5.72083059],[ 0.18309112 -0.3044491 ],[3.76055568 5.69057427],[ 1.18714971 -0.21112074],[ 5.20885547 -0.31001729],[-0.51361836  1.18096838],[4.3379225  7.67881233],[ 1.07931453 -0.55721071]
[8.85143509 9.71823145],[-1.21119799 -0.66191395],[8.37077303 2.86797936],[-0.71606839  1.09353689],[10.51321159  2.95612843],[-0.84865726  1.06190943],[4.38192715 5.94031616],[-0.88137977 -0.10903523],[3.05846285 7.03718768],[ 0.49139585 -1.15065157],[5.31000413 4.55306124],[ 0.71243537 -0.72551703],[1.42623756 5.68854685],[ 0.30929869 -0.3416804 ],[3.87874251 5.66924659],[ 1.17748455 -0.21441846],[ 5.15953253 -0.18933634],[-0.47526655  1.22734373],[4.44499054 7.62157369],[ 1.06236662 -0.58657306]
[8.73151399 9.64930071],[-1.18608188 -0.71455123],[8.29829638 2.97645077],[-0.73452816  1.07452187],[10.42569312  3.06042936],[-0.898609    1.02581034],[4.29457037 5.9286096 ],[-0.86740425 -0.1269408 ],[3.10946898 6.92325507],[ 0.52634961 -1.12985837],[5.38144395 4.48146183],[ 0.71461186 -0.70817064],[1.46363533 5.65245536],[ 0.43490783 -0.38394467],[3.99614391 5.64780396],[ 1.16969011 -0.21517098],[ 5.11435061 -0.06449261],[-0.42722885  1.26840537],[4.55016773 7.56139588],[ 1.04051411 -0.61715549]
[8.61426943 9.57553677],[-1.15636796 -0.75723093],[8.22371876 3.08268926],[-0.75730886  1.04975802],[10.33394138  3.16149142],[-0.93755599  0.99319596],[4.20834125 5.9147644 ],[-0.85724695 -0.15029667],[3.16404355 6.81160184],[ 0.5604374  -1.10743115],[5.45303359 4.41154822],[ 0.71465902 -0.69258056],[1.51362807 5.61223482],[ 0.56491229 -0.41920964],[4.11251548 5.62604901],[ 1.15590431 -0.22196657],[5.07385943 0.06375078],[-0.38108906  1.2965153 ],[4.65322834 7.49837471],[ 1.02115031 -0.64234704]
[8.50006153 9.4978558 ],[-1.12808026 -0.7956901 ],[8.14715253 3.18667607],[-0.77451585  1.02921219],[10.23829847  3.25899689],[-0.97527389  0.95610283],[4.12318119 5.89853994],[-0.84485658 -0.17337985],[3.22143818 6.70175723],[ 0.58636025 -1.09002133],[5.52455004 4.34313216],[ 0.71528648 -0.67608263],[1.57630388 5.56865252],[ 0.68876339 -0.44956376],[4.22764439 5.6037138 ],[ 1.14594997 -0.22550264],[5.03772324 0.1941855 ],[-0.33991589  1.31319622],[4.75404564 7.43265545],[ 0.99425176 -0.67267553]
