[6.44050311 3.96232979],[-0.54563113  0.85678014],[4.30683179 4.7815339 ],[ 1.10626297 -0.27301657],[8.10781429 7.62675628],[-0.21109924 -1.2729288 ],[6.45217704 5.32168741],[0.85273127 0.38230449],[4.52325695 1.68564758],[-0.97018412  0.34112202],[6.49607671 6.02584258],[0.4378832  0.79452331],[2.16639092 7.02449936],[-0.7059267   0.09909912],[6.30664409 2.96970914],[-0.10477722 -0.88678816],[4.65598868 3.97963689],[1.07230639 0.31843571],[2.05880534 4.12212162],[0.2819585 1.1161728]
[6.38422465 4.0484765 ],[-0.57984528  0.86434443],[4.41711453 4.75486187],[ 1.09528601 -0.26477737],[8.08355331 7.49991377],[-0.27406291 -1.26403766],[6.53645459 5.35952915],[0.83351695 0.37513838],[4.42717481 1.72327343],[-0.94891954  0.412947  ],[6.53854815 6.10439869],[0.40922392 0.77447739],[2.09755436 7.03153352],[-0.66876602  0.04331295],[6.29459201 2.88234066],[-0.13586708 -0.86020151],[4.76231165 4.01183687],[1.05615192 0.32748619],[2.0902838  4.23260341],[0.34564983 1.09197189]
[6.32542367 4.13573218],[-0.59753367  0.87766955],[4.52603648 4.72867525],[ 1.08343223 -0.25883176],[8.05334634 7.37422814],[-0.33020219 -1.25019626],[6.6186163  5.39643303],[0.81295375 0.36612217],[4.33371787 1.76831948],[-0.92246121  0.48472994],[6.57810027 6.18096647],[0.38044122 0.75570321],[2.03265744 7.03308215],[-0.62812381 -0.01177383],[6.27940183 2.79762451],[-0.16814476 -0.83419775],[4.86734306 4.04526624],[1.04369685 0.34018274],[2.12780416 4.34044722],[0.40474783 1.06530522]
[6.2647872  4.22377624],[-0.61794664  0.87910718],[4.63412779 4.70343233],[ 1.07504386 -0.2494557 ],[8.01804308 7.2503024 ],[-0.37545282 -1.22858168],[6.69881641 5.43252173],[0.79039804 0.35489495],[4.24332342 1.8206671 ],[-0.8872923   0.55936779],[6.61501334 6.2559581 ],[0.35963359 0.74603187],[1.97205835 7.02916564],[-0.58804793 -0.07150708],[6.26092505 2.71551084],[-0.20102406 -0.80754923],[4.97146204 4.08032309],[1.03603848 0.35844829],[2.17155441 4.44600622],[0.46976159 1.04551046]
[6.20207492 4.31156399],[-0.63484037  0.87702079],[4.7412232  4.67895213],[ 1.06659538 -0.24042549],[7.97808194 7.12824649],[-0.42195522 -1.2111743 ],[6.77659086 5.46728486],[0.76791716 0.34315766],[4.15648326 1.8802068 ],[-0.85169903  0.62806848],[6.65000997 6.33017266],[0.33975782 0.73779572],[1.91520404 7.01872138],[-0.54637603 -0.1356743 ],[6.23915663 2.6361339 ],[-0.23718328 -0.78256264],[5.07404638 4.11644009],[1.01493044 0.36295467],[2.22156298 4.54937033],[0.53078997 1.02232762]
[6.13793338 4.39909867],[-0.64706326  0.87370242],[4.84734533 4.65523928],[ 1.05881493 -0.23085132],[7.93388913 7.00821482],[-0.46009658 -1.18836085],[6.85241404 5.50116639],[0.75144432 0.33741353],[4.07299148 1.94604986],[-0.81405169  0.69166935],[6.68262868 6.40321132],[0.3139051  0.72447213],[1.86295738 7.00196155],[-0.49691901 -0.19902957],[6.21337894 2.55899054],[-0.27921314 -0.76075011],[5.17523826 4.15371018],[1.00667741 0.38034121],[2.27742801 4.65021412],[0.58291071 0.99133607]
[6.07272782 4.48621242],[-0.65718928  0.86773922],[4.95309842 4.6329436 ],[ 1.05548302 -0.21561756],[7.88600639 6.89042195],[-0.49584445 -1.16630845],[6.9265561  5.53445741],[0.73293844 0.32996934],[3.99358118 2.0182178 ],[-0.7736406  0.7509829],[6.71271163 6.47501774],[0.28591502 0.71001259],[1.8156433  6.97845384],[-0.44872669 -0.27185875],[6.183738  2.4845081],[-0.31269048 -0.72766487],[5.27513522 4.19227365],[0.9913126  0.39092012],[2.33840674 4.74795948],[0.63744125 0.96466472]
[6.00631083 4.57234532],[-0.66830562  0.85724325],[5.05793145 4.61160201],[ 1.0416421  -0.21084225],[7.83467733 6.77482569],[-0.52758572 -1.14299692],[6.9991391  5.56731645],[0.71934573 0.32795755],[3.91862572 2.09637253],[-0.72721787  0.80916143],[6.74001605 6.5454607 ],[0.26079786 0.69960182],[1.77323818 6.94729319],[-0.39761739 -0.3510646 ],[6.15056468 2.41327736],[-0.34871266 -0.69447264],[5.37336391 4.23175022],[0.97366413 0.39896883],[2.40434961 4.84263538],[0.68324336 0.93110975]
[5.93920962 4.65770182],[-0.67583212  0.84733261],[5.16175734 4.59110643],[ 1.03426966 -0.19963675],[7.78029177 6.66153911],[-0.55673606 -1.11983306],[7.07011736 5.59976011],[0.70009117 0.32085969],[3.84823893 2.17991827],[-0.67997223  0.86114817],[6.76484457 6.61494221],[0.2339131  0.68830655],[1.73661197 6.90839594],[-0.33418437 -0.42764424],[6.11369462 2.34542098],[-0.38972999 -0.66321026],[5.46971574 4.27189293],[0.95630494 0.40683416],[2.47493315 4.93411938],[0.72720801 0.89777071]
[5.87142507 4.74201711],[-0.68041461  0.8380563 ],[5.26466582 4.57156112],[ 1.02485531 -0.19025185],[7.72277905 6.55024532],[-0.59034237 -1.1030723 ],[7.1393866  5.63173873],[0.68390917 0.31741181],[3.78297989 2.26871714],[-0.62551113  0.91338553],[6.78662995 6.68300184],[0.20408545 0.67538029],[1.70663407 6.86166407],[-0.26387725 -0.50689649],[6.07281298 2.28095439],[-0.4276485  -0.62535325],[5.56471773 4.31322987],[0.94291757 0.41910133],[2.54989961 5.02236707],[0.77253878 0.8680128 ]
[5.80298598 4.82511262],[-0.68746982  0.82448932],[5.36677179 4.55312174],[ 1.01474638 -0.1810572 ],[7.66247913 6.44110701],[-0.61519505 -1.07965578],[7.20680038 5.66316389],[0.6640065  0.31080638],[3.72301626 2.3622532 ],[-0.57155826  0.95845335],[6.80553936 6.7499336 ],[0.17434042 0.66364779],[1.68400023 6.80688243],[-0.18787514 -0.58891414],[6.02805512 2.22036765],[-0.46939506 -0.58770373],[5.65822067 4.35564728],[0.92593248 0.42805119],[2.62902968 5.1073829 ],[0.81113115 0.83387262]
[5.73384596 4.9067803 ],[-0.69658993  0.80741435],[5.46783625 4.53557116],[ 1.00642381 -0.16999414],[7.59961042 6.33412279],[-0.64238025 -1.0605628 ],[7.2723561  5.69409196],[0.64782357 0.3085785 ],[3.66818069 2.4597241 ],[-0.5227396   0.99251138],[6.82132552 6.81560594],[0.1450657  0.65362829],[1.66908396 6.7436933 ],[-0.10957013 -0.67450339],[5.97938333 2.16399989],[-0.50474765 -0.53980374],[5.7498103  4.39873981],[0.90598987 0.43384451],[2.71201076 5.1891051 ],[0.84523121 0.79782196]
[5.66430577 4.98718913],[-0.69484974  0.79991492],[5.56791928 4.51900049],[ 0.99423261 -0.16253298],[7.53419725 6.22914378],[-0.66243984 -1.03601907],[7.33638383 5.72493409],[0.63343705 0.30912206],[3.61859435 2.56069641],[-0.46991994  1.02512582],[6.83418329 6.88032425],[0.11406134 0.6428792 ],[1.6627209  6.67252569],[-0.01757175 -0.74863278],[5.92679913 2.11224277],[-0.5450975  -0.49290869],[5.83962273 4.44262877],[0.89045737 0.44411862],[2.7980818  5.26703379],[0.87518971 0.7602441 ]
[5.594485   5.06633629],[-0.69897608  0.78546032],[5.66696144 4.50335724],[ 0.98596483 -0.15092994],[7.46706127 6.12678068],[-0.68026292 -1.01160679],[7.39873604 5.75564352],[0.61594651 0.30754685],[3.57446813 2.66485267],[-0.41171008  1.05800433],[6.84400193 6.94407717],[0.08094348 0.63101065],[1.66582081 6.59427595],[ 0.07787453 -0.81708413],[5.87023005 2.06542989],[-0.58535527 -0.44183261],[5.92777592 4.48745121],[0.8742315  0.45400058],[2.88725675 5.34144556],[0.90914706 0.72939286]
[5.5242893  5.14402905],[-0.70287005  0.77033954],[5.76477573 4.48848628],[ 0.96851196 -0.1485693 ],[7.39777577 6.02640668],[-0.70732112 -0.99792596],[7.45908027 5.78598365],[0.58983391 0.29825744],[3.53627706 2.7721442 ],[-0.34961709  1.08943192],[6.85046983 7.00666237],[0.04762249 0.62006635],[1.67812422 6.50921236],[ 0.17287985 -0.87761296],[5.80964658 2.02393871],[-0.62629303 -0.38740691],[6.01474403 4.5337408 ],[0.86042385 0.46720069],[2.97944694 5.41253726],[0.93471899 0.69303621]
[5.4541352  5.22059819],[-0.69821835  0.76291008],[5.86100671 4.47396976],[ 0.95750628 -0.14036644],[7.32609668 5.92766524],[-0.72387124 -0.97484426],[7.51667706 5.81529007],[0.56458366 0.29048456],[3.50398093 2.88201721],[-0.29762173  1.10618467],[6.85345142 7.06805362],[0.01170753 0.60762238],[1.69991847 6.41869764],[ 0.26384576 -0.92900047],[5.74461402 1.98771652],[-0.6715269  -0.33375882],[6.09997881 4.58101873],[0.84389436 0.47804688],[3.07412239 5.48005862],[0.95910113 0.65824925]
[5.38462561 5.29656217],[-0.69015576  0.7580687 ],[5.95655907 4.460742  ],[ 0.95250923 -0.12503412],[7.25290394 5.83128226],[-0.74049081 -0.95358086],[7.57189832 5.84401802],[0.53990428 0.28429446],[3.47697916 2.99351138],[-0.24438865  1.1212711 ],[6.85257198 7.12799104],[-0.02784018  0.59275314],[1.73090411 6.32397732],[ 0.35373152 -0.96434181],[5.67557898 1.95754148],[-0.70842814 -0.26859023],[6.18363208 4.62948063],[0.82844246 0.4905605 ],[3.17102326 5.54402882],[0.97814016 0.62084532]
[5.31568075 5.37176484],[-0.68743753  0.74720659],[6.05144042 4.44893379],[ 0.94547208 -0.11056574],[7.17816038 5.73706353],[-0.75554607 -0.93222253],[7.62485152 5.872387  ],[0.51621757 0.28033046],[3.45515511 3.10624959],[-0.1876581   1.13741258],[6.84749525 7.18625846],[-0.07398146  0.57252458],[1.77047577 6.226281  ],[ 0.43570206 -0.98817533],[5.6029916  1.93416638],[-0.74292258 -0.19825841],[6.26549689 4.67897793],[0.80905722 0.49962257],[3.26979485 5.60435354],[0.99737249 0.58619384]
[5.24703806 5.44588434],[-0.68364002  0.73688169],[6.145521   4.43852465],[ 0.93908874 -0.09443568],[7.10229642 5.64529082],[-0.76397452 -0.90575337],[7.67509339 5.9000785 ],[0.48831723 0.27341063],[3.43889456 3.22032468],[-0.13547296  1.14594214],[6.83814762 7.24290537],[-0.11341824  0.56003808],[1.8179157  6.12686547],[ 0.51273534 -0.99725176],[5.5269506  1.91791729],[-0.77932757 -0.12808063],[6.34577773 4.72976759],[0.79855217 0.51828695],[3.37029021 5.66114209],[1.01573266 0.55326167]
[5.17866999 5.51884121],[-0.68228877  0.72363222],[6.23923452 4.43009173],[ 0.93275505 -0.07641635],[7.02538015 5.55588679],[-0.7756302  -0.88382916],[7.72231708 5.92691964],[0.45597642 0.2634467 ],[3.42774184 3.33505541],[-0.08590856  1.15007834],[6.82479156 7.2982665 ],[-0.15641241  0.54459086],[1.87290781 6.02730478],[ 0.58599961 -0.99221042],[5.4476017  1.90904692],[-0.80862349 -0.05042853],[6.42491487 4.78238719],[0.78332287 0.53333375],[3.47274645 5.71491894],[1.03291323 0.52237528]
[5.11083162 5.59084504],[-0.67591969  0.71494081],[6.3320206  4.42321558],[ 0.923827   -0.06003094],[6.9472721  5.46859494],[-0.78362951 -0.8593265 ],[7.76644432 5.95298092],[0.4242373  0.25572437],[3.42181435 3.45036631],[-0.03404822  1.15452788],[6.80671568 7.35169741],[-0.2071636   0.52206735],[1.93498597 5.92881056],[ 0.65034577 -0.98035867],[5.36504217 1.90760182],[-0.83882976  0.02477821],[6.50221165 4.83622837],[0.76473188 0.54568521],[3.57660213 5.76542859],[1.04493848 0.48902331]
[5.04324895 5.66157792],[-0.67571818  0.69969246],[6.42391031 4.41803867],[ 0.91221948 -0.04518527],[6.86834158 5.38367639],[-0.79511873 -0.83935238],[7.80765558 5.97862319],[0.398346   0.25582274],[3.42078248 3.5657742 ],[0.01526666 1.15533245],[6.78355    7.40288829],[-0.25625638  0.50163941],[2.00302355 5.8317468 ],[ 0.70953059 -0.95968039],[5.27975352 1.91381947],[-0.86452557  0.10124591],[6.57774341 4.89143774],[0.74635991 0.55904569],[3.68131314 5.81236521],[1.05110429 0.45182986]
[4.9759056  5.73098722],[-0.67223584  0.68735999],[6.51466916 4.41442178],[ 0.89870491 -0.03135963],[6.78812973 5.30058079],[-0.80808197 -0.8216821 ],[7.84611723 6.00422812],[0.3714256  0.25719714],[3.42473911 3.68125036],[0.06509718 1.15525986],[6.75501447 7.45157962],[-0.30979148  0.47677681],[2.07632307 5.73669269],[ 0.75725093 -0.9388177 ],[5.19245817 1.92802136],[-0.87895961  0.18423154],[6.65143916 4.94802494],[0.72771598 0.5729574 ],[3.78693484 5.85598707],[1.060295 0.419987]
[4.90922604 5.79946048],[-0.66124523  0.68216714],[6.60371896 4.41183192],[ 0.88457226 -0.018036  ],[6.70702263 5.21961406],[-0.81417253 -0.79791645],[7.88152318 6.02973359],[0.33958011 0.25621751],[3.43349215 3.7964776 ],[0.10832045 1.14769445],[6.72124026 7.49787263],[-0.36467421  0.44992983],[2.15469451 5.6445111 ],[ 0.80871329 -0.90486055],[5.10386775 1.95037506],[-0.89298949  0.2613761 ],[6.723106   5.00587975],[0.7052084  0.58382457],[3.89318958 5.89624337],[1.06487105 0.3855627 ]
[4.84292701 5.86667856],[-0.66202213  0.66487182],[6.69178001 4.41106794],[8.74139228e-01 4.30483844e-04],[6.62533736 5.1410205 ],[-0.81919249 -0.77374103],[7.91336524 6.05490252],[0.30016015 0.25053087],[3.44660961 3.91099372],[0.1529231  1.14152136],[6.68191928 7.54136613],[-0.41882559  0.42256337],[2.23741905 5.55533261],[ 0.84710461 -0.87617819],[5.01471779 1.98090936],[-0.89100809  0.34693566],[6.79237491 5.06471368],[0.68023848 0.5930296 ],[3.99990107 5.93314808],[1.06887461 0.35246478]
