[6.26714031 6.14185768],[ 0.56046373 -1.0615961 ],[1.54584791 1.33314613],[1.10964328 0.83634679],[3.48076613 2.95662765],[-0.87082884  0.21752078],[5.61350117 8.05861875],[ 0.14782713 -1.34019059],[3.29540309 5.50222805],[-0.38257694  0.72438222],[9.66174339 2.02098404],[0.58307416 0.17846589],[8.78070643 3.71588029],[-0.27821863 -1.06532014],[8.64253332 3.84910091],[0.69406597 0.32150851],[8.23436482 3.17323585],[-0.71163457  0.97947813],[0.2084585  0.92574035],[-0.37353914  0.37079916]
[6.32130168 6.0352716 ],[ 0.52129729 -1.07172234],[1.6566069  1.41587046],[1.10786516 0.82060795],[3.3957611  2.97996815],[-0.83297633  0.24607968],[5.62746758 7.92459344],[ 0.13356555 -1.33815529],[3.25939476 5.57374457],[-0.3369042   0.70689769],[9.71652461 2.04144144],[0.51288791 0.23207507],[8.74923015 3.61059525],[-0.35042227 -1.03975694],[8.70979734 3.88210324],[0.65038343 0.33794041],[8.1618112  3.26988028],[-0.7398903   0.95254925],[0.1767463  0.96795071],[-0.25879051  0.47470451]
[6.37134248 5.92746006],[ 0.47773877 -1.0861491 ],[1.76749987 1.49739899],[1.10823834 0.80844124],[3.31440001 3.00613828],[-0.79725852  0.27462184],[5.64011596 7.79090112],[ 0.11733825 -1.33759303],[3.22803633 5.643633  ],[-0.29256564  0.68870327],[9.76408738 2.06744589],[0.43829285 0.28929858],[8.71046221 3.50777099],[-0.42326225 -1.01516928],[8.77236224 3.91651403],[0.59986164 0.3495249 ],[8.08630128 3.36358644],[-0.76976754  0.92178855],[0.15725783 1.02104439],[-0.12869837  0.58811824]
[6.41724679 5.81846484],[ 0.44246025 -1.09174925],[1.87819461 1.57753112],[1.10616367 0.79486091],[3.2364644  3.03509065],[-0.76270513  0.30338055],[5.65107186 7.6572819 ],[ 0.10589114 -1.33085044],[3.20126512 5.71185306],[-0.24433153  0.67413069],[9.80383806 2.09929491],[0.35955639 0.35213046],[8.66465166 3.40763425],[-0.4945184  -0.98923834],[8.82994134 3.95227349],[0.55298723 0.36741303],[8.00807162 3.45438101],[-0.79520714  0.89338222],[0.15098268 1.0852173 ],[0.00422797 0.69444153]
[6.45937715 5.70867198],[ 0.40222684 -1.10195301],[1.98874614 1.65642367],[1.10614772 0.78444273],[3.16157823 3.06654772],[-0.72996093  0.33094339],[5.66113262 7.52451571],[ 0.09288579 -1.32688633],[3.17938093 5.77862457],[-0.19199266  0.6623771 ],[9.83576505 2.13802131],[0.27498608 0.42013686],[8.61214614 3.31050484],[-0.55784475 -0.95581519],[8.8828447 3.9900082],[0.50341182 0.38619294],[7.9270553  3.54199604],[-0.82510281  0.85864133],[0.1584206  1.15980072],[0.14534581 0.79563648]
[6.49791679 5.59831264],[ 0.369696   -1.10415293],[2.09898461 1.73401111],[1.09942215 0.76822332],[3.09037941 3.10121635],[-0.69570327  0.36081684],[5.66979742 7.39209355],[ 0.08174644 -1.32034783],[3.16295785 5.84433332],[-0.13875047  0.64912449],[9.85876528 2.18365019],[0.18609891 0.49520032],[8.55345285 3.21682372],[-0.61703042 -0.91910387],[8.93051493 4.02955034],[0.44939895 0.40474035],[7.84305946 3.6260566 ],[-0.85245856  0.8246248 ],[0.18013569 1.24390159],[0.29051164 0.88537252]
[6.53319612 5.48772455],[ 0.33694381 -1.10655786],[2.20856761 1.81001895],[1.09441593 0.75422585],[3.02265324 3.13892966],[-0.65705068  0.39526104],[5.67785796 7.26076043],[ 0.07724619 -1.30887747],[3.15199857 5.90871483],[-0.07958587  0.6387988 ],[9.87236488 2.23680373],[0.08625704 0.56961724],[8.48864042 3.12657109],[-0.67578135 -0.88279832],[8.97249959 4.07090275],[0.39381541 0.42663305],[7.7567211  3.70701863],[-0.87496619  0.79368472],[0.21605145 1.33588479],[0.42556913 0.94988056]
[6.56504139 5.37676283],[ 0.29881692 -1.11362571],[2.31792792 1.88495546],[1.09342629 0.74530732],[2.95885303 3.18015145],[-0.61596094  0.43213396],[5.68540047 7.13044004],[ 0.0734338 -1.2978645],[3.14689114 5.97180778],[-0.02314799  0.62189543],[9.87579359 2.29761812],[-0.0175549   0.64749524],[8.4185262  3.04045368],[-0.72690446 -0.84030336],[9.00878234 4.11457642],[0.33202074 0.44792299],[7.66837203 3.78504479],[-0.89321999  0.76539879],[0.26524195 1.43346768],[0.55494385 0.99692623]
[6.59307576 5.26517679],[ 0.26312925 -1.11669778],[2.42716508 1.95903436],[1.09189676 0.73706428],[2.89926198 3.22514307],[-0.57585547  0.46758162],[5.6921608 7.0008113],[ 0.06284223 -1.29351619],[3.1479009  6.03346537],[0.03996798 0.60710824],[9.8687254  2.36626395],[-0.1250085   0.72388985],[8.34292254 2.95813454],[-0.78620487 -0.80746281],[9.03895662 4.16075441],[0.26818919 0.47333201],[7.57783871 3.85980543],[-0.9173953   0.72957311],[0.32614294 1.53414262],[0.66017516 1.01316669]
[6.61772721 5.15350544],[ 0.22981559 -1.11679753],[2.53629073 2.03239134],[1.08996712 0.7296816 ],[2.84381439 3.2737655 ],[-0.53402999  0.50372598],[5.69799599 6.87178358],[ 0.05527366 -1.28566324],[3.15504237 6.09321293],[0.1038832  0.58806683],[9.8506582  2.44212707],[-0.23536014  0.79275152],[8.26179678 2.8794184 ],[-0.83510997 -0.76611456],[9.06237871 4.2094334 ],[0.2014726  0.50246844],[7.48524408 3.93125845],[-0.93112344  0.70269381],[0.39701303 1.6357732 ],[0.75463873 1.01697416]
