[0.25625758 8.47128917],[1.43134919 4.37139884],[8.86277127 2.78480118],[2.74804681 0.23656188],[3.45776917 3.89581911],[-1.9020066   3.16640257],[7.19797807 0.90023705],[0.12650049 2.97789247],[7.53406219 3.65302892],[1.88009098 2.87586771],[0.74847252 1.01077699],[-3.61046357 -0.05191776],[1.7717764  9.28152985],[ 0.459844   -4.91089351],[4.35076531 8.57557068],[3.37716581 1.5547295 ],[6.8982477  6.32832588],[ 2.084024   -1.42515201],[4.34117927 8.23168696],[-0.59738061 -1.54541785]
[0.35025916 8.74189826],[0.75031863 1.97385925],[9.07892005 2.80669398],[1.78595199 0.21776169],[3.32543756 4.11993625],[-1.02291988  1.76630556],[7.20487327 1.13477106],[0.02491853 1.97141221],[7.6678842  3.86432349],[1.03420277 1.70757924],[0.49455444 1.01162116],[-1.97137465  0.05771761],[1.80190079 8.98438132],[ 0.24945419 -2.18897279],[4.58802457 8.68130267],[1.85976734 0.78823911],[7.06813369 6.20924703],[ 1.43639388 -1.04037205],[4.28626272 8.08523726],[-0.50611382 -1.39795002]
[0.42091259 8.91097969],[0.68777665 1.47904032],[9.23732827 2.82982721],[1.42203389 0.24870459],[3.23635204 4.2770989 ],[-0.78772845  1.42967709],[7.20391775 1.31450116],[-0.04175705  1.66676732],[7.75621479 4.01786077],[0.76423193 1.41068171],[0.32291549 1.02200727],[-1.52357413  0.14552054],[1.82638349 8.79184945],[ 0.2480922 -1.7366984],[4.75299537 8.74734545],[1.49553182 0.55918355],[7.19655914 6.11257462],[ 1.16276361 -0.90848586],[4.23866587 7.94962452],[-0.44759973 -1.31993155]
[0.48988899 9.04456146],[0.70195795 1.21611137],[9.36782157 2.85677041],[1.20360197 0.29324378],[3.16458476 4.41154481],[-0.65823138  1.2749599 ],[7.19715378 1.47340664],[-0.09396565  1.52498786],[7.82400669 4.15152371],[0.6006354  1.27696016],[0.18377486 1.04102914],[-1.277623    0.23579824],[1.8525067  8.62931255],[ 0.27850303 -1.53425317],[4.89309275 8.79584109],[1.32373181 0.41844035],[7.30397135 6.02522088],[ 0.99518553 -0.84696355],[4.19626128 7.82019558],[-0.40268685 -1.27280334]
[0.562527   9.15699287],[0.75483326 1.04175528],[9.47993074 2.88875507],[1.04595102 0.3483994 ],[3.10338472 4.53423572],[-0.56764502  1.18888434],[7.18506772 1.62131011],[-0.14441808  1.44249891],[7.8777171 4.2753827],[0.47891222 1.20791265],[0.06500863 1.06932623],[-1.1048981   0.33175817],[1.88181191 8.48166206],[ 0.30867321 -1.42739881],[5.0197799  8.83172415],[1.21941773 0.30392469],[7.39716824 5.94226862],[ 0.87465737 -0.81516525],[4.15800033 7.69463926],[-0.36321499 -1.240289  ]
[0.64097175 9.25368936],[0.81289276 0.8936409 ],[9.57777336 2.9265472 ],[0.91055129 0.40447936],[3.0505017 4.6504228],[-0.49423687  1.13697307],[7.16851948 1.76295185],[-0.18785511  1.39197803],[7.92004999 4.39375744],[0.37113022 1.16451954],[-0.03841506  1.10742282],[-0.96650866  0.4318184 ],[1.91475933 8.3429564 ],[ 0.35135724 -1.35073944],[5.13787193 8.85679789],[1.1498607 0.2022553],[7.47957449 5.86155124],[ 0.77778537 -0.79993416],[4.12365052 7.57197141],[-0.32597827 -1.21595906]
[0.72540072 9.33634704],[0.87449683 0.75979174],[9.66299986 2.97035537],[0.79576903 0.47277972],[3.00445413 4.76248216],[-0.42796189  1.10646286],[7.14791519 1.90050627],[-0.22492277  1.35958893],[7.95245201 4.50900455],[0.28096271 1.14496399],[-0.12887058  1.15575939],[-0.84365414  0.5361197 ],[1.95177781 8.2104827 ],[ 0.39009486 -1.2999619 ],[5.25066434 8.87271192],[1.11146068 0.12030841],[7.55277316 5.7815722 ],[ 0.69057521 -0.79830361],[4.09275215 7.45128749],[-0.29236875 -1.19851293]
[0.81658134 9.40655039],[0.94743593 0.64378622],[9.73693701 3.02111577],[0.68505718 0.54466665],[2.96428348 4.87166408],[-0.3731208   1.08188404],[7.12334918 2.03489101],[-0.26650397  1.3288033 ],[7.9761051  4.62268989],[0.19192478 1.12884627],[-0.20741682  1.21465981],[-0.72464909  0.64526508],[1.99267169 8.08248951],[ 0.42916612 -1.25983295],[5.35996431 8.88046215],[1.07519315 0.03449281],[7.61787157 5.70161385],[ 0.61145319 -0.80268918],[4.06487964 7.33192831],[-0.26471399 -1.18839423]
[0.91480033 9.46519909],[1.01919461 0.53282507],[9.80054201 3.07995998],[0.58260178 0.62835282],[2.92972296 4.97907979],[-0.31725465  1.06868135],[7.09500016 2.1667389 ],[-0.29778233  1.31084548],[7.99117282 4.73514538],[0.10789972 1.11873093],[-0.27385481  1.28478054],[-0.60256044  0.7582109 ],[2.03746792 7.95818331],[ 0.46631143 -1.22736187],[5.46610276 8.87985502],[ 1.04760761 -0.04694003],[7.67525657 5.62095589],[ 0.53965723 -0.80821935],[4.03972739 7.21351903],[-0.23764638 -1.17915403]
[1.01991523 9.51286101],[1.08371587 0.42271255],[9.85333208 3.14684245],[0.47231383 0.70904387],[2.90073898 5.08549684],[-0.26100725  1.06186215],[7.06359163 2.29682611],[-0.3315973   1.28972126],[7.99814597 4.84686519],[0.02860663 1.11225502],[-0.32795037  1.36606806],[-0.47933009  0.86605271],[2.08573349 7.83675212],[ 0.49767625 -1.20256118],[5.5692064  8.87068536],[ 1.01604087 -0.13512712],[7.72570377 5.5397039 ],[ 0.46922958 -0.8175264 ],[4.01745223 7.09617633],[-0.2084654  -1.16832895]
