[0.82113415 5.0129618 ],[ 1.57009383 -0.75097662],[9.15398839 5.04200827],[0.06496552 3.62115319],[6.585984   1.60629904],[-4.66983396  2.75480697],[3.88198071 8.11174173],[3.86432015 4.12859546],[0.25259968 6.12817468],[-0.8745922  -4.58694872],[2.96238863 4.02686538],[-4.02087614 -3.88262156],[3.23784477 5.53939166],[4.43408702 1.28483348],[5.01961089 0.78891249],[ 4.00091191 -3.90400225],[8.88131088 6.63111236],[-4.44427075 -0.53974332],[9.15655087 7.57093188],[3.52616585 0.82705651]
[6.0659602  4.64803877],[1.01640004 0.16723976],[5.22860899 6.17537452],[-0.82294753 -0.71756035],[4.4883179  5.96122236],[0.31622243 0.87803063],[6.78819507 5.9261827 ],[-0.08415689 -1.1519519 ],[4.43220998 3.97742734],[1.14853516 0.22904471],[4.51937612 2.89128949],[1.04308204 0.61179173],[7.70626607 4.93183629],[ 0.52317689 -0.67885476],[6.88189304 3.70028065],[-0.34843367  1.11351383],[4.17821966 4.59782714],[-0.5856172  -0.68002353],[7.78625871 5.16619286],[-1.10926879 -0.49344019]
[6.16704836 4.66498515],[1.00169103 0.16782173],[5.14775979 6.10252039],[-0.79247516 -0.73783179],[4.52150062 6.04781893],[0.34818919 0.85447938],[6.77866759 5.8114717 ],[-0.10289177 -1.13909933],[4.54638953 4.00064764],[1.13551722 0.2355964 ],[4.62274093 2.95326255],[1.02581196 0.62900676],[7.75697045 4.86298277],[ 0.48888179 -0.69989457],[6.84630128 3.81093999],[-0.36129486  1.10151518],[4.12094839 4.52921697],[-0.55679489 -0.68932152],[7.67551621 5.11756536],[-1.10464988 -0.47832102]
[6.26673896 4.68202293],[0.98734136 0.16801819],[5.07020974 6.02791334],[-0.7622216  -0.75790312],[4.55792593 6.13202897],[0.38306976 0.83220314],[6.76732602 5.69802138],[-0.12371566 -1.12975915],[4.65964069 4.02486851],[1.12867592 0.24796394],[4.72436277 3.01686629],[1.00672064 0.64283021],[7.803844   4.79174322],[ 0.44931365 -0.72377054],[6.80954458 3.92043889],[-0.37380524  1.08825339],[4.06668923 4.45974453],[-0.52940389 -0.70128517],[7.56534477 5.07052801],[-1.10094442 -0.46485583]
[6.36490964 4.69894886],[0.97491545 0.16921401],[4.99560691 5.95123569],[-0.73074112 -0.77645953],[4.59787274 6.21394399],[0.41875461 0.80869569],[6.75407781 5.58564684],[-0.14148882 -1.11815581],[4.77226542 4.05039644],[1.12523911 0.26414376],[4.82457185 3.08228576],[0.99362512 0.66149905],[7.8466496  4.71813708],[ 0.40771263 -0.74700494],[6.77140685 4.02842853],[-0.38912031  1.07138751],[4.01550124 4.38934619],[-0.49508572 -0.7076279 ],[7.45542927 5.02465327],[-1.09692028 -0.45246995]
[6.46167737 4.71579529],[0.96393096 0.17119303],[4.9240549  5.87261873],[-0.70035114 -0.79584853],[4.64163043 6.293635  ],[0.4549618  0.78338706],[6.73899174 5.47433622],[-0.15996573 -1.10789229],[4.88419465 4.07722224],[1.11342981 0.27222   ],[4.92322874 3.14926514],[0.9789495  0.67727741],[7.88547812 4.64252687],[ 0.37167986 -0.76201474],[6.73165991 4.134634  ],[-0.40777734  1.05085456],[3.96754051 4.31803792],[-0.46381041 -0.71839915],[7.34578167 4.97981262],[-1.09711332 -0.4457165 ]
[6.55720778 4.73269138],[0.94764162 0.16755672],[4.85579853 5.79232805],[-0.66788734 -0.81299189],[4.68892801 6.3706105 ],[0.49228997 0.75711921],[6.72210474 5.36408277],[-0.17452864 -1.09422159],[4.99519184 4.10507835],[1.10579597 0.28419188],[5.02035273 3.21769534],[0.96130911 0.68880944],[7.9205621  4.56539405],[ 0.32787065 -0.78232539],[6.69012758 4.23887117],[-0.42314403  1.03346506],[3.9228881  4.24576299],[-0.42877002 -0.72683158],[7.23629632 4.9357418 ],[-1.09339831 -0.43673094]
[6.65115835 4.74922624],[0.93293509 0.16462081],[4.79051515 5.71006341],[-0.63693173 -0.83135219],[4.74004387 6.44493073],[0.52990644 0.72885877],[6.70371403 5.25508901],[-0.19165287 -1.08400683],[5.1049518  4.13361831],[1.09126885 0.28833548],[5.11553034 3.28701098],[0.94618603 0.701226  ],[7.95119059 4.48631091],[ 0.28543112 -0.79814741],[6.64729028 4.3415586 ],[-0.43298134  1.02060286],[3.88186508 4.172691  ],[-0.39166942 -0.7348071 ],[7.12721413 4.89254211],[-1.08850772 -0.42780653]
[6.74378224 4.76558744],[0.92171412 0.16475804],[4.72840979 5.6260588 ],[-0.60173551 -0.84524056],[4.79451753 6.51591551],[0.56023472 0.69126437],[6.68369058 5.147173  ],[-0.21003843 -1.07543291],[5.2133759  4.16263478],[1.07896126 0.293586  ],[5.20908628 3.35739514],[0.92603894 0.70732577],[7.97777135 4.40597596],[ 0.24494559 -0.80937037],[6.60365571 4.44306738],[-0.43907195  1.0099334 ],[3.84449314 4.0986849 ],[-0.35289219 -0.74266106],[7.01862532 4.85017096],[-1.08081705 -0.41718487]
[6.8355759  4.78226656],[0.91599827 0.17083351],[4.66959977 5.54044717],[-0.5718678  -0.86424708],[4.85235952 6.58337444],[0.60051988 0.66152932],[6.66191223 5.04020765],[-0.22473097 -1.06318627],[5.32081109 4.19239856],[1.07133795 0.30319665],[5.30090879 3.42860222],[0.91049882 0.71669052],[8.00019627 4.32454812],[ 0.20176281 -0.82058356],[6.55905994 4.54309956],[-0.45162753  0.99184472],[3.81148024 4.02427478],[-0.31001432 -0.7484681 ],[6.91074487 4.80877752],[-1.0767204  -0.41086486]
[6.92676984 4.79957348],[0.90587186 0.17333671],[4.61442395 5.45358582],[-0.53199031 -0.87329751],[4.91424571 6.64776458],[0.63793566 0.62673074],[6.63869065 4.93446242],[-0.23991649 -1.0519859 ],[5.4273875  4.22302929],[1.05733906 0.30640486],[5.39135416 3.50086594],[0.89923975 0.72925231],[8.01822872 4.24206606],[ 0.15459647 -0.83284768],[6.51331722 4.64140707],[-0.46091823  0.97643312],[3.78272893 3.94916507],[-0.26711203 -0.75609267],[6.80365074 4.76835085],[-1.06549284 -0.39801931]
[7.01699919 4.81718539],[0.89817291 0.17853188],[4.56298764 5.36556252],[-0.49825852 -0.8886096 ],[4.97985262 6.70855293],[0.67366027 0.58824741],[6.61392353 4.82979917],[-0.25652459 -1.04240502],[5.53254221 4.25389337],[1.04773866 0.31282915],[5.4803107  3.57396845],[0.88309103 0.73578382],[8.03109167 4.15809567],[ 0.10483646 -0.8438764 ],[6.46690451 4.73837665],[-0.46653061  0.96353911],[3.75826575 3.87320602],[-0.22101134 -0.76216858],[6.69735206 4.72885457],[-1.06031275 -0.3918469 ]
[7.10617375 4.83505029],[0.88631161 0.17971999],[4.51507468 5.27617028],[-0.45767933 -0.89691679],[5.04882073 6.76518561],[0.7083246  0.54681088],[6.58731089 4.72592426],[-0.27640622 -1.03565014],[5.63671209 4.28536879],[1.03395065 0.31479948],[5.56788103 3.64789804],[0.86852063 0.74280874],[8.0391505  4.07335201],[ 0.05547427 -0.8512999 ],[6.41978026 4.83385408],[-0.47542963  0.94648212],[3.73851819 3.79665336],[-0.17419031 -0.76932986],[6.59171284 4.69007095],[-1.05221489 -0.38369976]
[7.19406709 4.85292608],[0.87631972 0.18259968],[4.47114352 5.18585504],[-0.41961396 -0.90800291],[5.12163411 6.81797532],[0.74677597 0.50767714],[6.55887208 4.62291404],[-0.29187843 -1.02415241],[5.73981849 4.31732686],[1.02556122 0.32174677],[5.65382172 3.72229946],[0.85377669 0.7484908 ],[8.04215656 3.98792159],[ 0.00424623 -0.8571641 ],[6.3718615  4.92768929],[-0.48498934  0.92807985],[3.7237305 3.7195761],[-0.12208164 -0.77291412],[6.4868981 4.6520782],[-1.04396695 -0.37608105]
[7.28098844 4.87113744],[0.8623605  0.18182086],[4.43134755 5.09474549],[-0.37785634 -0.91576994],[5.19817829 6.86667776],[0.78265914 0.46488443],[6.52903806 4.52118194],[-0.30527491 -1.01102365],[5.84197209 4.34985915],[1.01641627 0.32774411],[5.73847607 3.79740576],[0.83823883 0.75235339],[8.03983714 3.90188445],[-0.05022432 -0.86260725],[6.32316242 5.01983054],[-0.49073777  0.91283595],[3.71408383 3.64199372],[-0.07235948 -0.78034307],[6.38306797 4.61498508],[-1.03105867 -0.36422889]
[7.36630373 4.88903747],[0.84293856 0.17499988],[4.39546814 5.00260117],[-0.3389607 -0.9263261],[5.27796247 6.91070717],[0.81216682 0.41474478],[6.49754278 4.42044457],[-0.31961828 -0.99871367],[5.94282695 4.38257683],[1.00092683 0.32657086],[5.82140752 3.87267171],[0.82099341 0.75337431],[8.03195773 3.81538381],[-0.10476628 -0.86431365],[6.27404794 5.11056024],[-0.49053163  0.90255061],[3.70947402 3.56368877],[-0.02137309 -0.78728846],[6.28064489 4.57920575],[-1.01730108 -0.35121957]
[7.44982684 4.9063594 ],[0.82830556 0.17215331],[4.36352219 4.90945111],[-0.3008491  -0.93743085],[5.36080457 6.94979339],[0.84271349 0.36503283],[6.46520443 4.32148379],[-0.3252268  -0.97890203],[6.04231519 4.41530237],[0.9894642  0.32847613],[5.9024586  3.94782864],[0.80177693 0.7513179 ],[8.01886093 3.72910269],[-0.1621507  -0.86574395],[6.22458749 5.19983996],[-0.49989202  0.88179383],[3.71003744 3.4847482 ],[ 0.03351002 -0.79066086],[6.17924588 4.54436136],[-1.0104663  -0.34558627]
[7.53228579 4.92379615],[0.81912375 0.1749396 ],[4.33537464 4.81520987],[-0.25861929 -0.94378427],[5.4464148  6.98360416],[0.86911829 0.31084893],[6.43225961 4.22438159],[-0.3348562  -0.96442798],[6.14099255 4.44855091],[0.98203119 0.33445246],[5.98180541 4.0229455 ],[0.78576438 0.75144835],[7.99994833 3.64279496],[-0.21613109 -0.86000067],[6.17469984 5.28752359],[-0.49938484  0.87015267],[3.71630518 3.40567077],[ 0.09203078 -0.79066821],[6.07879068 4.51030532],[-0.99912684 -0.33611681]
[7.61371957 4.94141807],[0.81057098 0.17861198],[4.31164446 4.72052511],[-0.21588418 -0.94978349],[5.53494047 7.01228745],[0.90044775 0.26221939],[6.39795368 4.12832239],[-0.35268538 -0.95806096],[6.23894011 4.48241524],[0.97667074 0.34267758],[6.05963791 4.09811454],[0.77110339 0.75197823],[7.9754974  3.55707897],[-0.26954406 -0.85056401],[6.12440341 5.37354004],[-0.50782253  0.84887433],[3.72848847 3.32666373],[ 0.15283461 -0.78812747],[5.97926485 4.4769517 ],[-0.98975004 -0.32936921]
[7.69386298 4.95898186],[0.79148243 0.17170127],[4.29215908 4.62522003],[-0.17383094 -0.95604294],[5.62601784 7.0355833 ],[0.922198   0.20505201],[6.36258232 4.03361493],[-0.36056461 -0.94210216],[6.3358749  4.51662651],[0.96314253 0.34244309],[6.13619507 4.17348117],[0.75931204 0.75446084],[7.94590526 3.47263087],[-0.32290226 -0.83865587],[6.0730127 5.4571714],[-0.51922211  0.82450037],[3.74687074 3.24806127],[ 0.21536968 -0.78306324],[5.88092357 4.4445055 ],[-0.97856388 -0.32118841]
[7.77236571 4.97609649],[0.77450579 0.16643665],[4.2770454  4.52949091],[-0.12522568 -0.95533022],[5.71889522 7.05283056],[0.93709273 0.14184989],[6.32629077 3.94034548],[-0.36563379 -0.92380658],[6.43152693 4.55084256],[0.95105387 0.34289956],[6.21156341 4.24904095],[0.7438675  0.75238429],[7.91106565 3.38958162],[-0.37637067 -0.82445857],[6.0206378  5.53850508],[-0.52550776  0.80483007],[3.77138924 3.16992931],[ 0.27470331 -0.77944014],[5.7834357 4.412567 ],[-0.97399444 -0.32064088]
[7.84893659 4.99241133],[0.75801775 0.16088807],[4.26665151 4.43368895],[-0.08330172 -0.961149  ],[5.81339497 7.06396127],[0.95159148 0.07977077],[6.28928637 3.84866304],[-0.37533522 -0.91080081],[6.52614928 4.5852648 ],[0.94083554 0.34488476],[6.28533719 4.32429839],[0.7301053  0.75110279],[7.87077563 3.30797244],[-0.42951503 -0.80753247],[5.96794568 5.61813783],[-0.52509195  0.79090361],[3.80212157 3.0925634 ],[ 0.33938089 -0.76793057],[5.68655834 4.38075083],[-0.96180823 -0.31399191]
[7.92415602 5.00846082],[0.74513751 0.15884965],[4.26038787 4.33731282],[-0.04232598 -0.96642664],[5.90950619 7.06916395],[0.96843748 0.02267747],[6.25148662 3.75843523],[-0.3816253  -0.89481372],[6.61964493 4.61975849],[0.92792634 0.34368726],[6.35744829 4.39909841],[0.71294439 0.74557709],[7.82504789 3.22803902],[-0.48380159 -0.78965828],[5.91507092 5.69609776],[-0.5349371  0.7657375],[3.83932436 3.01649986],[ 0.40417333 -0.75315368],[5.59076202 4.34942594],[-0.95282908 -0.3113463 ]
[7.99771983 5.02392324],[0.72794997 0.15210916],[4.2586992  4.24094301],[ 0.00818365 -0.96128098],[6.00674138 7.06824799],[ 0.97473534 -0.04201676],[6.21292912 3.66965629],[-0.39005797 -0.88136473],[6.71185812 4.65410025],[0.91692952 0.34366986],[6.42813545 4.47359633],[0.7027064  0.74613629],[7.77414314 3.1502282 ],[-0.5330741  -0.76520912],[5.86154216 5.77184387],[-0.53689873  0.74777527],[3.88344307 2.94253351],[ 0.47549886 -0.72813571],[5.49593112 4.31837916],[-0.93868578 -0.30460633]
[8.06984125 5.03897692],[0.71408098 0.14852934],[4.2616259  4.14469475],[ 0.05025587 -0.96341962],[6.10416815 7.06054521],[ 0.97459696 -0.11074867],[6.173752   3.58242695],[-0.39323695 -0.86314744],[6.80317862 4.68863868],[0.90687593 0.34443492],[6.49784138 4.54814863],[0.69035929 0.74370951],[7.71864166 3.07524326],[-0.57550336 -0.73299081],[5.80778545 5.84571484],[-0.5366534   0.73107198],[3.93409481 2.87070143],[ 0.53814158 -0.70694318],[5.40262183 4.28810421],[-0.92641945 -0.30000275]
[8.14057207 5.0536641 ],[0.70000883 0.14466588],[4.26889389 4.04845958],[ 0.09369529 -0.96232711],[6.20188697 7.04644857],[ 0.97876195 -0.17135799],[6.13392928 3.49666746],[-0.40086456 -0.8497482 ],[6.89329409 4.72303035],[0.89309335 0.34086652],[6.56633595 4.62243977],[0.68153227 0.743961  ],[7.65874767 3.00336305],[-0.6214215 -0.7036314],[5.75377992 5.91759345],[-0.54346878  0.70637681],[3.99130355 2.80155939],[ 0.60946129 -0.67146315],[5.31033056 4.25802476],[-0.91666174 -0.29904314]
[8.20970044 5.067761  ],[0.6819628 0.1365774],[4.28049682 3.95242696],[ 0.14000982 -0.95633924],[6.29956948 7.02606224],[ 0.97513516 -0.2353613 ],[6.09374808 3.41262649],[-0.40425017 -0.83271456],[6.98192312 4.75690557],[0.87796603 0.33495461],[6.63403136 4.69679413],[0.67150788 0.7421085 ],[7.59428553 2.93446577],[-0.6683655  -0.67489312],[5.69923929 5.98710779],[-0.54642749  0.68469172],[4.05520146 2.73582934],[ 0.66693545 -0.64355086],[5.21946876 4.22845894],[-0.90115678 -0.29294192]
[8.27732215 5.08133535],[0.66809807 0.13252629],[4.29677166 3.85710607],[ 0.18335377 -0.95171066],[6.39689681 6.999515  ],[ 0.97296676 -0.29299504],[6.0531224  3.33015787],[-0.40823108 -0.81669361],[7.06911693 4.79021723],[0.86471386 0.32998966],[6.70061529 4.77081182],[0.65876636 0.7366943 ],[7.52502197 2.86833782],[-0.71569649 -0.64659167],[5.64484501 6.05484116],[-0.54327511  0.66799234],[4.12481703 2.67320234],[ 0.72563803 -0.60752624],[5.12994312 4.19924983],[-0.88701021 -0.28903121]
[8.34289712 5.09382364],[0.64489769 0.11857558],[4.31744301 3.76243081],[ 0.23131149 -0.94022548],[6.49344475 6.96690864],[ 0.96001309 -0.35628566],[6.011853   3.24903516],[-0.41541423 -0.80402895],[7.15530542 4.82333021],[0.85808159 0.33127447],[6.76545741 4.84378409],[0.64131209 0.72587667],[7.45135227 2.80534054],[-0.753961   -0.60981417],[5.59020466 6.12029141],[-0.54819417  0.6422055 ],[4.20016718 2.61439993],[ 0.78140184 -0.56723484],[5.04206649 4.17064098],[-0.87101398 -0.28375948]
[8.4064745  5.10521017],[0.62533681 0.10777229],[4.34322586 3.66928447],[ 0.28118894 -0.9255157 ],[6.58854087 6.92806269],[ 0.94445255 -0.4172784 ],[5.97029076 3.16958769],[-0.41651533 -0.78571451],[7.24078774 4.85653011],[0.84944494 0.33056779],[6.82896201 4.916046  ],[0.63048383 0.72092516],[7.3743845  2.74651487],[-0.7851726  -0.56668426],[5.5352541  6.18329213],[-0.55070819  0.61775622],[4.28108467 2.55999221],[ 0.83446496 -0.52215954],[4.95567555 4.14240651],[-0.85705698 -0.28134459]
[8.46840117 5.11580832],[0.61125254 0.10226811],[4.373963   3.57767296],[ 0.33305083 -0.90688874],[6.68221971 6.88353002],[ 0.929271   -0.47222945],[5.92831213 3.09165019],[-0.42314358 -0.77317734],[7.32511777 4.88934938],[0.83756905 0.32608707],[6.89168339 4.98806869],[0.62078705 0.71622429],[7.29437435 2.6920385 ],[-0.81588825 -0.52393071],[5.48010223 6.24384045],[-0.55180815  0.5935525 ],[4.36674764 2.50989244],[ 0.877906   -0.47954514],[4.8706311  4.11431128],[-0.84334647 -0.28028464]
[8.5287262  5.12566098],[0.59235464 0.09185926],[4.40948068 3.48763267],[ 0.37597218 -0.89474636],[6.77420514 6.83360945],[ 0.91117955 -0.52437354],[5.88598274 3.01526727],[-0.42462642 -0.75574077],[7.40824139 4.92167495],[0.82373344 0.319048  ],[6.95327862 5.05942573],[0.61081071 0.7104573 ],[7.21125032 2.64173032],[-0.84300625 -0.47890276],[5.42465509 6.30172109],[-0.55658449  0.56441819],[4.45683872 2.4644882 ],[ 0.92476915 -0.42645469],[4.78722577 4.08654254],[-0.82640653 -0.2768455 ]
[8.58683545 5.1341258 ],[0.56956227 0.0770841 ],[4.44955327 3.39921292],[ 0.42298516 -0.8756264 ],[6.86431997 6.77870722],[ 0.88728151 -0.57661359],[5.84359949 2.94070092],[-0.42575636 -0.73836249],[7.48964539 4.95290493],[0.80400716 0.30492619],[7.01360271 5.12989414],[0.59758414 0.70070426],[7.12556438 2.59601182],[-0.86840622 -0.43345071],[5.36883572 6.35672619],[-0.55946318  0.53580833],[4.55109778 2.42423062],[ 0.96052449 -0.37753513],[4.70539973 4.05895743],[-0.81282565 -0.27779788]
[8.64235583 5.14077184],[0.54342934 0.05832408],[4.49398912 3.3125265 ],[ 0.47085806 -0.85250136],[6.95176124 6.71854895],[ 0.86173776 -0.62544258],[5.80104959 2.86780744],[-0.42412569 -0.7184693 ],[7.56934642 4.98292384],[0.79121722 0.29656177],[7.07280247 5.19954685],[0.58557659 0.69140648],[7.03706956 2.55447733],[-0.89960487 -0.39589369],[5.3129802  6.40904766],[-0.55401669  0.51403082],[4.64862003 2.38885332],[ 0.98974574 -0.32929141],[4.62503091 4.03131002],[-0.79733845 -0.27814973]
[8.69576544 5.14602899],[0.5231307  0.04511781],[4.54327937 3.2283521 ],[ 0.51605096 -0.82932805],[7.03654864 6.65366923],[ 0.83331414 -0.67198077],[5.75866472 2.79688479],[-0.42360575 -0.70008248],[7.64815514 5.01247354],[0.78293897 0.29242436],[7.13091808 5.26835015],[0.57781014 0.6855838 ],[6.94596497 2.51707753],[-0.92126709 -0.35131714],[5.25717534 6.45861825],[-0.5603919   0.47880735],[4.74903728 2.35854714],[ 1.01851526 -0.27603228],[4.54604693 4.00338838],[-0.78078774 -0.27894904]
[8.74693282 5.14973915],[0.49858325 0.02738203],[4.59682523 3.14639777],[ 0.55563127 -0.80836982],[7.11838623 6.58427689],[ 0.80136051 -0.71712915],[5.7163346  2.72778805],[-0.42869071 -0.68753972],[7.72569682 5.04114828],[0.7673719  0.28033277],[7.18817341 5.33644521],[0.56541735 0.67431391],[6.85261075 2.48392014],[-0.94335947 -0.30989009],[5.20113142 6.50497524],[-0.56152324  0.44700276],[4.85188219 2.33337093],[ 1.04036405 -0.22485558],[4.46876826 3.97537188],[-0.76359796 -0.28040719]
[8.79547755 5.1514881 ],[0.47261438 0.00783424],[4.65440815 3.06679577],[ 0.59695622 -0.78216354],[7.19692593 6.51050296],[ 0.76915168 -0.75785744],[5.67323981 2.6597059 ],[-0.43137546 -0.67230412],[7.80188258 5.06877137],[0.75366741 0.26933364],[7.2442969  5.40348421],[0.55530295 0.66457938],[6.75736543 2.45508025],[-0.95975691 -0.26560783],[5.14473605 6.54781153],[-0.56289213  0.41288749],[4.95707844 2.31371803],[ 1.06394969 -0.16692251],[4.39323799 3.94717034],[-0.74535165 -0.28221063]
[8.84114695 5.15098548],[ 0.43987092 -0.01888143],[4.71652094 2.99037608],[ 0.64249476 -0.74847093],[7.2716602  6.43229916],[ 0.72444688 -0.8065456 ],[5.63021233 2.59347676],[-0.43182196 -0.65496301],[7.87670752 5.09526278],[0.74308663 0.26068645],[7.29960735 5.46970752],[0.54882071 0.65764979],[6.66050483 2.43054911],[-0.9757575  -0.22396185],[5.08827065 6.58719285],[-0.56677687  0.37400528],[5.06429001 2.29975998],[ 1.08008774 -0.11180518],[4.31977848 3.91896671],[-0.72367304 -0.28184426]
[8.88389664 5.14814776],[ 0.41350407 -0.03951464],[4.78305384 2.91736566],[ 0.68904186 -0.7102538 ],[7.34194762 6.34947945],[ 0.68054356 -0.84982837],[5.58694347 2.52878811],[-0.43353087 -0.63880288],[7.95047206 5.12086472],[0.73283013 0.25189243],[7.35405551 5.53498167],[0.53686113 0.64442709],[6.56244241 2.41042266],[-0.98217465 -0.17564883],[5.03117724 6.62231244],[-0.57171994  0.33131067],[5.17279687 2.29117579],[ 1.08867453 -0.06085757],[4.24862544 3.89088033],[-0.70250425 -0.2832177 ]
[8.92375414 5.14298439],[ 0.38312951 -0.06429601],[4.85414087 2.84826089],[ 0.73045943 -0.67343179],[7.40783062 6.26254638],[ 0.63956291 -0.88566757],[5.54356247 2.46577766],[-0.43314903 -0.62047965],[8.02297801 5.14532509],[0.71780036 0.23767006],[7.40730134 5.59889075],[0.52689813 0.63246771],[6.46404038 2.39533963],[-0.98578637 -0.12638177],[4.9742     6.65363098],[-0.56634422  0.29612579],[5.28162801 2.28724363],[ 1.08630356 -0.01940212],[4.17947244 3.8624542 ],[-0.67817568 -0.28313237]
[8.96027382 5.1350368 ],[ 0.34611289 -0.09583636],[4.92927583 2.78294114],[ 0.76763772 -0.63691381],[7.46969476 6.17231642],[ 0.60146203 -0.91462375],[5.49993643 2.40432376],[-0.43588279 -0.60509691],[8.09424458 5.16859618],[0.70394093 0.22398032],[7.45951476 5.66152835],[0.51761061 0.62039566],[6.36515375 2.3849327 ],[-0.98937813 -0.07972072],[4.91733188 6.68085053],[-0.57142239  0.24728775],[5.39032512 2.28759199],[1.08579561 0.02464304],[4.11278399 3.83399385],[-0.65603112 -0.28677813]
[8.99301143 5.12385271],[ 0.30449281 -0.13199958],[5.00780143 2.72113868],[ 0.79968378 -0.60170172],[7.52775874 6.07937483],[ 0.56111005 -0.94235121],[5.45634464 2.34472167],[-0.43634497 -0.58731626],[8.16411857 5.19044805],[0.69314425 0.21257018],[7.51085376 5.72297159],[0.5074689  0.60662854],[6.26615218 2.37930909],[-0.98948563 -0.03200846],[4.86039678 6.7034424 ],[-0.57233163  0.19888032],[5.49915668 2.29259659],[1.09206412 0.07713783],[4.04838565 3.80515214],[-0.63278306 -0.29123679]
[9.02137836 5.10884788],[ 0.26056905 -0.1703224 ],[5.08911878 2.66262201],[ 0.82699157 -0.56771995],[7.58165356 5.98370165],[ 0.51839326 -0.9689532 ],[5.41277731 2.2869782 ],[-0.4362576  -0.56879075],[8.23259489 5.21080405],[0.6797576  0.19778803],[7.56083155 5.78265257],[0.49273088 0.58750897],[6.1670277  2.37820756],[-0.99149007  0.01084623],[4.80326375 6.72087158],[-0.57107079  0.14828205],[5.60836375 2.30273504],[1.09213303 0.12595682],[3.986285   3.77572768],[-0.60677305 -0.29510236]
[9.04500675 5.08968531],[ 0.21342274 -0.21140346],[5.17308969 2.60759401],[ 0.85627334 -0.5283761 ],[7.6314049  5.88565295],[ 0.47599499 -0.9921193 ],[5.36934652 2.23122711],[-0.43164869 -0.54551071],[8.3000823  5.23000639],[0.67041187 0.18660883],[7.60976646 5.84081087],[0.48387859 0.57341915],[6.06798341 2.38151242],[-0.98937855  0.05475807],[4.74613497 6.73288286],[-0.57057063  0.09205224],[5.71747009 2.31773346],[1.08734858 0.17158174],[3.92685505 3.74587846],[-0.58089043 -0.30131204]
[9.06389017 5.06642348],[ 0.16448853 -0.25342086],[5.25992664 2.55662056],[ 0.88137451 -0.4896208 ],[7.67676523 5.78529649],[ 0.43212209 -1.01362046],[5.32630867 2.1777472 ],[-0.42920237 -0.52414334],[8.36666393 5.24810362],[0.65826301 0.17226827],[7.65753328 5.89723352],[0.4730733  0.55650349],[5.96971341 2.3896499 ],[-0.97721014  0.10654207],[4.68924054 6.73918751],[-0.5657344   0.03473925],[5.82610662 2.33735841],[1.08242693 0.21810832],[3.87019225 3.71546295],[-0.55114395 -0.30614383]
[9.07761286 5.03875303],[ 0.10584929 -0.30384539],[5.34923811 2.50965465],[ 0.90503764 -0.44897439],[7.71781668 5.68300733],[ 0.39049818 -1.03015666],[5.28336997 2.12627726],[-0.42941602 -0.50504337],[8.43172685 5.26442226],[0.64201253 0.15296625],[7.70404347 5.95174304],[0.46000405 0.5364147 ],[5.87213447 2.40231582],[-0.9709304   0.14962695],[4.63259551 6.7392271 ],[-0.56655636 -0.03438942],[5.9338121  2.36122452],[1.06758381 0.25493964],[3.81643984 3.6843664 ],[-0.52178545 -0.3141127 ]
[9.08550633 5.00616435],[ 0.04768651 -0.35191539],[5.44090478 2.46690867],[ 0.92855485 -0.40513812],[7.75443864 5.57892662],[ 0.34317873 -1.04969535],[5.24038494 2.0767163 ],[-0.42895631 -0.48478442],[8.49525252 5.27885191],[0.62854564 0.13556412],[7.74941187 6.00436046],[0.44943351 0.517836  ],[5.77570076 2.41968124],[-0.95835905  0.1965783 ],[4.576079   6.73221589],[-0.56123737 -0.10440521],[6.04020355 2.38891525],[1.05720552 0.29582728],[3.76588523 3.65258671],[-0.48997792 -0.32264603]
[9.08732067 4.96862458],[-0.01574781 -0.40277026],[5.53458227 2.42835885],[ 0.94856879 -0.36175212],[7.78685813 5.4735415 ],[ 0.30595043 -1.05718274],[5.19795156 2.02971163],[-0.4241506  -0.45967832],[8.55737323 5.29144462],[0.61451521 0.11681525],[7.79351115 6.05485527],[0.43336708 0.49271268],[5.68070474 2.44180138],[-0.9428691   0.24406813],[4.52067552 6.71842847],[-0.54957774 -0.1752611 ],[6.14562279 2.42078294],[1.04515647 0.33553881],[3.7186526  3.61992752],[-0.45282804 -0.32921805]
[9.08208551 4.92545324],[-0.08901863 -0.46009924],[5.63015813 2.3942008 ],[ 0.9645182  -0.31934338],[7.81550468 5.36740271],[ 0.26456201 -1.06766669],[5.15588923 1.98513805],[-0.41611111 -0.4307198 ],[8.61808143 5.30211296],[0.60102599 0.09781358],[7.83622329 6.1030026 ],[0.42313774 0.47230238],[5.58685049 2.46810889],[-0.9317352   0.28390433],[4.46616081 6.6968858 ],[-0.54117557 -0.25734083],[6.2491775  2.45591714],[1.02694657 0.36796844],[3.67525144 3.58654694],[-0.41310476 -0.33691269]
[9.06979942 4.87701834],[-0.15890771 -0.51012459],[5.72736506 2.36446111],[ 0.98149754 -0.27300477],[7.84023457 5.26051529],[ 0.22547841 -1.07446765],[5.1144504 1.9433148],[-0.41042097 -0.40339256],[8.6773068  5.31070748],[0.58421547 0.07464606],[7.87820667 6.14933954],[0.41445505 0.45214925],[5.49449849 2.49862519],[-0.91463351  0.32666039],[4.41276588 6.6670002 ],[-0.52859772 -0.34351075],[6.35138436 2.4947565 ],[1.01556601 0.4072206 ],[3.63595401 3.5523244 ],[-0.3702476  -0.34561887]
