[0.82113415 5.0129618 ],[ 1.57009383 -0.75097662],[9.15398839 5.04200827],[0.06496552 3.62115319],[6.585984   1.60629904],[-4.66983396  2.75480697],[3.88198071 8.11174173],[3.86432015 4.12859546],[0.25259968 6.12817468],[-0.8745922  -4.58694872],[2.96238863 4.02686538],[-4.02087614 -3.88262156],[3.23784477 5.53939166],[4.43408702 1.28483348],[5.01961089 0.78891249],[ 4.00091191 -3.90400225],[8.88131088 6.63111236],[-4.44427075 -0.53974332],[9.15655087 7.57093188],[3.52616585 0.82705651]
[2.25668846 4.56443471],[ 1.25609804 -0.21286895],[8.70546504 6.46808496],[-0.82308918  0.78625523],[5.25370421 2.66192604],[-0.77653763  0.92881687],[5.13242784 8.91868452],[0.98953435 0.03952535],[0.51536847 4.58622221],[ 0.80824882 -0.91351645],[2.01793605 2.97858761],[-0.34053301 -0.62125602],[4.81161197 5.88040854],[1.09649098 0.10334101],[6.25130335 0.14169348],[0.8937182  0.22140309],[7.20138127 6.30735949],[-1.19449483 -0.34931225],[10.33299042  7.62697741],[ 0.41745691 -0.36725158]
[2.38235977 4.54461543],[ 1.25433683 -0.18668565],[8.62027617 6.54385205],[-0.88210121  0.7266246 ],[5.17785818 2.75559572],[-0.74136618  0.94369963],[5.231492   8.91765235],[ 0.99207933 -0.05932588],[0.60012144 4.49777055],[ 0.88531226 -0.85542264],[1.98713836 2.91745162],[-0.2768641  -0.60356601],[4.92070325 5.88959809],[1.08419424 0.07920645],[6.34012727 0.17022259],[0.88155492 0.34876197],[7.08257569 6.27157768],[-1.17848586 -0.36300419],[10.36968503  7.58560219],[ 0.31481836 -0.46154111]
[2.50731354 4.52676082],[ 1.24831371 -0.1671381 ],[8.5296079  6.61375937],[-0.9307045   0.67105774],[5.1056076  2.85083804],[-0.70498019  0.95974325],[5.33087706 8.9069723 ],[ 0.99166812 -0.15742087],[0.69206223 4.41507949],[ 0.95002622 -0.80036627],[1.96255369 2.85772183],[-0.21064325 -0.58755356],[5.02819788 5.89592019],[1.07088348 0.05218595],[6.42733019 0.21134928],[0.86301746 0.474913  ],[6.96559544 6.23472975],[-1.16020524 -0.37276813],[10.39577966  7.53461827],[ 0.2080484  -0.55630758]
[2.63202071 4.51117561],[ 1.24524417 -0.14522325],[8.43394787 6.67766028],[-0.97867015  0.60970977],[5.03680477 2.94747507],[-0.67139678  0.97262916],[5.43017071 8.88669097],[ 0.98752717 -0.2537372 ],[0.79003639 4.33789106],[ 1.01162616 -0.73980595],[1.94506137 2.79982091],[-0.13974837 -0.57176192],[5.13458362 5.8997275 ],[1.05717922 0.02414625],[6.51226326 0.26487912],[0.83529254 0.5956    ],[6.84997754 6.19647632],[-1.15132043 -0.3915592 ],[10.41103946  7.47430726],[ 0.0949082  -0.65076915]
[2.7563713  4.49771073],[ 1.23922055 -0.12700374],[8.33399996 6.73563481],[-1.02154243  0.54747185],[4.9709998  3.04502721],[-0.64235089  0.98069706],[5.5283966 8.8564321],[ 0.97574659 -0.35128164],[0.89391049 4.26691724],[ 1.06358993 -0.68068369],[1.93460637 2.74320735],[-0.06549966 -0.5574717 ],[5.24018226 5.90130178],[1.0529247  0.00575609],[6.59378542 0.32991571],[0.79559435 0.70537717],[6.73570973 6.1568004 ],[-1.1349944  -0.40269814],[10.41413788  7.40419062],[-0.03298736 -0.74967266]
[2.87993963 4.48578796],[ 1.23564939 -0.10810309],[8.22991009 6.78721712],[-1.0586609   0.48486548],[4.90832942 3.14358675],[-0.61115366  0.99026935],[5.62540244 8.81679693],[ 0.96353925 -0.44049942],[1.00245436 4.20167571],[ 1.10462701 -0.62581461],[1.93187026 2.68806126],[ 0.01371719 -0.54325849],[5.34518359 5.90090791],[ 1.04621453 -0.01437769],[6.67109075 0.40562237],[0.74819161 0.805777  ],[6.6227594  6.11571495],[-1.12371769 -0.41882809],[10.40464436  7.32500997],[-0.15894477 -0.83382763]
[3.00343802 4.47607819],[ 1.23142281 -0.08931651],[8.12246396 6.83262627],[-1.09125581  0.4214989 ],[4.84876428 3.24304982],[-0.58092515  0.99815082],[5.72042133 8.767961  ],[ 0.93799489 -0.53332142],[1.11492751 4.14202725],[ 1.14409265 -0.56698881],[1.93760646 2.63463984],[ 0.10215172 -0.5247786 ],[5.44928361 5.89828532],[ 1.03584387 -0.03803722],[6.74325131 0.49076946],[0.69634173 0.89739457],[6.51104402 6.07309781],[-1.10511125 -0.42785199],[10.38226283  7.23781644],[-0.28810991 -0.90718705]
[3.12625277 4.46792215],[ 1.22362702 -0.07527605],[8.01184921 6.8715183 ],[-1.11977344  0.35680748],[4.79219746 3.34324485],[-0.54856692  1.00744693],[5.81304714 8.71053449],[ 0.91322205 -0.61459246],[1.23082363 4.08798642],[ 1.17290666 -0.51417513],[1.95266265 2.58331378],[ 0.20112609 -0.50018939],[5.55240161 5.89335569],[ 1.0241209  -0.06297517],[6.81030742 0.58482609],[0.6424713  0.97994801],[6.40147321 6.02993564],[-1.08569776 -0.43448154],[10.34692303  7.14393011],[-0.41403001 -0.96385686]
[3.24831741 4.46115026],[ 1.2156235  -0.06263426],[7.89905529 6.90441851],[-1.14064824  0.2959708 ],[4.7389532 3.4444017],[-0.5148993   1.01685917],[5.90277093 8.64511113],[ 0.87986467 -0.69336015],[1.34950568 4.03931506],[ 1.19908992 -0.4604203 ],[1.97807967 2.53473157],[ 0.30654121 -0.47244534],[5.65446591 5.88605589],[ 1.01423115 -0.08602989],[6.87153302 0.6862656 ],[0.58082089 1.04598388],[6.29379787 5.98612439],[-1.06964087 -0.44354264],[10.299605    7.04552952],[-0.52977087 -1.00027337]
[3.36962944 4.45562071],[ 1.21041026 -0.04821457],[7.78413974 6.93097766],[-1.15493835  0.23754076],[4.6893802  3.54672437],[-0.47776477  1.02810681],[5.9890954  8.57229541],[ 0.84584083 -0.76190869],[1.47032042 3.99566686],[ 1.21560778 -0.41398529],[2.01437574 2.48918695],[ 0.42039735 -0.43730483],[5.75538979 5.8762968 ],[ 1.00379702 -0.10961484],[6.92624209 0.79350022],[0.51589596 1.09954241],[6.18770918 5.94139307],[-1.05240295 -0.45122853],[10.24164591  6.94474681],[-0.62853382 -1.01399916]
[3.49019988 4.45127412],[ 1.20306951 -0.03676777],[7.66805907 6.95182765],[-1.16482828  0.18114213],[4.6432366  3.64982518],[-0.44452291  1.03429759],[6.07177163 8.4929043 ],[ 0.80642586 -0.82549478],[1.59275921 3.95670587],[ 1.23345689 -0.36470298],[2.06214768 2.44732032],[ 0.53569122 -0.39864047],[5.85525743 5.86418098],[ 0.99207765 -0.1341551 ],[6.97466192 0.90579697],[0.45453371 1.14644991],[6.0830227 5.8955763],[-1.04260812 -0.46657348],[10.17446625  6.84335992],[-0.71190348 -1.01071387]
