[4.66520406 4.5514484 ],[-0.21414932  1.09754268],[8.7034433  4.31815421],[-1.12915847  0.69311849],[7.22509075 8.31939556],[-1.02303024 -0.87146369],[6.97271641 0.09620928],[-1.20818804  0.37928366],[2.42542158 9.06661867],[-0.42786009 -1.16899441],[1.29317703 6.59560671],[ 0.18658917 -1.18043192],[2.80582314 5.98195451],[0.7194746  0.81785294],[1.93686929 2.00033304],[0.05840768 1.27316424],[4.45092685 8.72214825],[ 0.9734269  -0.41092099],[6.39448178 0.54081964],[ 0.71555234 -0.0275572 ]
[4.64398862 4.6603676 ],[-0.20741715  1.0839015 ],[8.59002676 4.38599317],[-1.14059328  0.66223868],[7.12380502 8.23175105],[-1.0063137  -0.88458671],[6.85288456 0.13911659],[-1.18721492  0.47763006],[2.38656669 8.9479682 ],[-0.34940571 -1.20242234],[1.31547519 6.47804474],[ 0.25854683 -1.17031422],[2.87969389 6.06203954],[0.75697427 0.78322551],[1.94593932 2.12745517],[0.12452593 1.27100509],[4.54745161 8.67631908],[ 0.95662269 -0.50390627],[6.46553619 0.54361116],[0.70369621 0.08266793]
[4.62355213 4.76810211],[-0.19947359  1.07282853],[8.47550697 4.45079152],[-1.1523492   0.63112507],[7.02391127 8.1426375 ],[-0.99154759 -0.8972467 ],[6.73552701 0.19155255],[-1.15986222  0.56880018],[2.35568773 8.82658459],[-0.27245703 -1.22791978],[1.34502943 6.36191932],[ 0.33152783 -1.15207173],[2.95709449 6.13852536],[0.79243058 0.74824222],[1.9615287  2.25430056],[0.18616423 1.26516352],[4.64255928 8.62212009],[ 0.94313804 -0.58010289],[6.53524313 0.55765719],[0.69350668 0.20272557]
[4.60397292 4.87483084],[-0.19388186  1.06012407],[8.35979521 4.51243744],[-1.16174902  0.60191386],[6.92582074 8.05270292],[-0.96981363 -0.90056691],[6.62088743 0.25241661],[-1.13248313  0.64665603],[2.33247978 8.70309262],[-0.19628227 -1.24485815],[1.38119404 6.24730448],[ 0.39592126 -1.13483622],[3.03755138 6.21110878],[0.81605308 0.70308631],[1.98272212 2.38011155],[0.23760302 1.25157196],[4.73552732 8.56017062],[ 0.91749303 -0.65546886],[6.60398918 0.58425546],[0.67905425 0.32833847]
[4.58471262 4.98011438],[-0.19240046  1.04477181],[8.24339197 4.57141106],[-1.16615056  0.57787608],[6.82984574 7.96249165],[-0.9499879  -0.90359712],[6.50906132 0.32050749],[-1.10601857  0.71116696],[2.31610498 8.57763447],[-0.13139107 -1.26266379],[1.42403903 6.1349735 ],[ 0.46108447 -1.11058409],[3.12059492 6.27947732],[0.84420859 0.66401272],[2.00907543 2.50470674],[0.28753133 1.23884245],[4.82581743 8.49118671],[ 0.88990232 -0.72061979],[6.67076995 0.62336451],[0.65838478 0.45701643]
[4.56600338 5.08430212],[-0.18360146  1.0372424 ],[8.12642836 4.62787694],[-1.17353964  0.55088386],[6.73582562 7.87204648],[-0.93162126 -0.90619905],[6.40009169 0.39469344],[-1.07275262  0.77157586],[2.30625515 8.45091965],[-0.06510735 -1.2696033 ],[1.47295447 6.02494803],[ 0.51774165 -1.0882626 ],[3.20623034 6.34379439],[0.86684798 0.62097383],[2.04026659 2.62799057],[0.33661379 1.22742601],[4.9129753  8.41587835],[ 0.85469127 -0.7823674 ],[6.73529939 0.67557619],[0.63005257 0.58601865]
[4.5479007  5.18747228],[-0.17940031  1.02532985],[8.00883512 4.68172718],[-1.17646781  0.52806799],[6.64328108 7.78106315],[-0.92008757 -0.91401023],[6.29485187 0.47488775],[-1.03268384  0.8303548 ],[2.30292159 8.32379341],[-0.00237762 -1.27235609],[1.52718673 5.91713565],[ 0.56426714 -1.06936368],[3.29412586 6.40387295],[0.89309267 0.58298666],[2.07590462 2.74977727],[0.37770981 1.21030532],[4.99667331 8.33495417],[ 0.81889015 -0.83496664],[6.79651905 0.74048694],[0.59077499 0.7089686 ]
[4.53034469 5.28959001],[-0.17422896  1.01456672],[7.89114937 4.73351927],[-1.17454436  0.51069832],[6.55207765 7.68956096],[-0.90554934 -0.91735056],[6.19344945 0.56042036],[-0.99779996  0.8766904 ],[2.30574351 8.19665222],[ 0.05825846 -1.26999818],[1.5860548  5.81153055],[ 0.6139046  -1.04105779],[3.38465271 6.46025735],[0.91533279 0.54296515],[2.1159126  2.87019658],[0.41973889 1.19576197],[5.07632562 8.24873916],[ 0.77460349 -0.88755475],[6.85311514 0.817081  ],[0.53833925 0.81977411]
[4.51335594 5.39068508],[-0.16647334  1.0064138 ],[7.77345902 4.7834166 ],[-1.1785273   0.48784792],[6.46202891 7.5974943 ],[-0.89436139 -0.92268508],[6.09570021 0.6504281 ],[-0.95800189  0.92172732],[2.31419035 8.06965125],[ 0.1108076  -1.26845916],[1.64989588 5.70900643],[ 0.66304972 -1.0085498 ],[3.4771435  6.51246236],[0.93472112 0.50167659],[2.15982389 2.98896897],[0.45791158 1.17950123],[5.15164985 8.15774712],[ 0.73245604 -0.93057141],[6.90388851 0.90406451],[0.47780627 0.91958237]
[4.49678357 5.49061709],[-0.16091657  0.99627366],[7.65505232 4.83064895],[-1.18499563  0.46124351],[6.37329424 7.50515219],[-0.88122876 -0.92484914],[6.00190072 0.74464828],[-0.91887262  0.96101644],[2.32793756 7.94319389],[ 0.16419879 -1.25978521],[1.71830929 5.60961801],[ 0.7071108  -0.97659581],[3.57136726 6.56040954],[0.95090414 0.45873517],[2.20712962 3.10581362],[0.48638195 1.1561224 ],[5.22304183 8.06305172],[ 0.69659574 -0.96123464],[6.94887006 1.00094353],[0.41812306 1.01250384]
