[1.83887882 5.722916  ],[ 4.10340358 -3.97996271],[8.71759488 8.09842243],[-4.85273135  3.64892489],[3.0184349  9.00276915],[3.48599921 3.80019337],[9.87380212 5.15045648],[ 0.53932626 -1.32529811],[6.06650021 6.38581206],[-4.32817076  1.57111044],[6.01415497 9.52122302],[-0.49137232 -0.58707584],[3.25347454 5.7000647 ],[0.93610691 0.89406406],[6.29918993 1.80230843],[1.91248925 4.75461027],[6.64294011 4.00678545],[-2.18269816 -2.69608812],[9.64270567 1.0226151 ],[-0.51304401 -0.06132824]
[6.55200393 4.97062546],[0.9012024  0.39941105],[4.82137364 6.55259799],[-0.36993729 -1.04085866],[6.56201568 7.13939564],[ 0.20440768 -1.14085635],[6.53365736 4.01253165],[-1.0306159  0.560502 ],[3.02662967 5.79940433],[ 0.12934436 -0.93109773],[5.42549226 5.0470399 ],[ 0.10690364 -0.99206486],[7.34848752 6.44908445],[ 0.78982506 -0.40471773],[6.29846854 6.66378747],[-0.45896497  0.84844097],[3.75049416 4.55298149],[-0.05120027  1.09752968],[6.27642697 4.58749267],[-0.64120623  0.95821915]
[6.64145732 5.01172109],[0.88723238 0.42201303],[4.78602635 6.44863203],[-0.33740915 -1.03871843],[6.5809448  7.02530058],[ 0.17628206 -1.13890737],[6.43150501 4.06952355],[-1.01443018  0.57702056],[3.04269727 5.70536125],[ 0.19083515 -0.94946626],[5.4364421 4.9484433],[ 0.11355217 -0.97840246],[7.42599282 6.40690111],[ 0.75918482 -0.43993177],[6.25143901 6.74738431],[-0.48019133  0.82479946],[3.748041   4.66305125],[0.00229884 1.103575  ],[6.21288853 4.68325357],[-0.63350635  0.9529682 ]
[6.7291886  5.05478671],[0.86770252 0.43963255],[4.75370933 6.34469431],[-0.30690287 -1.03782094],[6.5971323 6.9114751],[ 0.14781271 -1.13716423],[6.33105051 4.12816235],[-0.99648077  0.59370221],[3.0651062  5.61006591],[ 0.25555014 -0.95686954],[5.44818775 4.85132996],[ 0.11869217 -0.96655305],[7.50035981 6.36115858],[ 0.72966702 -0.47317282],[6.20249833 6.82877723],[-0.50206059  0.79949411],[3.75090382 4.77353779],[0.05181024 1.1028244 ],[6.1497199  4.77808227],[-0.62920846  0.9442316 ]
[6.81479384 5.09945766],[0.84210784 0.45139254],[4.72448814 6.24092209],[-0.27571823 -1.03565942],[6.61035002 6.79773833],[ 0.11816968 -1.13583894],[6.23219462 4.18819412],[-0.97904137  0.60830174],[3.09408019 5.51450247],[ 0.322598   -0.95446528],[5.46012465 4.7551089 ],[ 0.12042612 -0.95729351],[7.57195791 6.31234696],[ 0.69985042 -0.50525447],[6.15125434 6.90748614],[-0.52334061  0.77396862],[3.7585738  4.88374077],[0.10278783 1.10205903],[6.08710196 4.87214554],[-0.62253284  0.93757575]
[6.8980693  5.14553131],[0.8229426 0.4696823],[4.6982865  6.13730159],[-0.24726111 -1.03552952],[6.62069454 6.684254  ],[ 0.08885374 -1.13370309],[6.13525511 4.2498004 ],[-0.96046702  0.62296241],[3.12943476 5.41923499],[ 0.38302016 -0.95102568],[5.47245864 4.66005709],[ 0.12630025 -0.94357988],[7.64021355 6.26003877],[ 0.66586216 -0.54003228],[6.09764214 6.98335216],[-0.5496251   0.74247612],[3.77103411 4.99346804],[0.14655103 1.09268726],[6.02505849 4.96543234],[-0.61585069  0.93064149]
[6.97937304 5.19340964],[0.80140201 0.48616902],[4.67483741 6.03365919],[-0.2214997  -1.03694098],[6.62836613 6.57124836],[ 0.06479185 -1.12623779],[6.03989514 4.31252683],[-0.94402919  0.63412525],[3.17085655 5.32472415],[ 0.44136595 -0.94193212],[5.48560504 4.56658887],[ 0.13306352 -0.92935137],[7.70490045 6.20416993],[ 0.62916692 -0.57572532],[6.04162076 7.05623629],[-0.56600941  0.71974609],[3.78818769 5.10252568],[0.19515541 1.08689343],[5.96403768 5.05835106],[-0.60434523  0.9278611 ]
[7.05829606 5.24272572],[0.77721137 0.50032635],[4.65431577 5.93026817],[-0.18976747 -1.0316651 ],[6.63372063 6.4590481 ],[ 0.04102224 -1.11904503],[5.94604458 4.37617902],[-0.93385911  0.63774394],[3.21784666 5.231248  ],[ 0.49818507 -0.92660679],[5.4992618  4.47439235],[ 0.14178348 -0.91295086],[7.76618257 6.14510175],[ 0.59619064 -0.60554513],[5.98410568 7.12691186],[-0.58439345  0.69341139],[3.8097965  5.21055015],[0.23839153 1.07497477],[5.90360263 5.15041171],[-0.60473298  0.91302939]
[7.13498636 5.29366869],[0.75661896 0.51862395],[4.63674754 5.82721517],[-0.16033213 -1.02803796],[6.63641329 6.34730511],[ 0.01475427 -1.11387372],[5.85365142 4.44056549],[-0.91402488  0.64988842],[3.27025562 5.13939644],[ 0.54757977 -0.91156089],[5.51386481 4.38388357],[ 0.14846642 -0.89900429],[7.82404651 6.08304897],[ 0.56278544 -0.63341339],[5.92458491 7.19471269],[-0.60396993  0.66442468],[3.83589959 5.31751091],[0.28291385 1.0633693 ],[5.8434773  5.24134276],[-0.5977568   0.90557296]
[7.20916477 5.34601601],[0.72695498 0.5283325 ],[4.62225381 5.72467315],[-0.12968891 -1.02279295],[6.63672068 6.23631535],[-0.00962738 -1.10692957],[5.76322996 4.50612395],[-0.89476664  0.66080572],[3.32734412 5.04915287],[ 0.59551039 -0.89093359],[5.52903755 4.29468325],[ 0.15408057 -0.88587281],[7.87818343 6.01795086],[ 0.52130029 -0.66673021],[5.86329614 7.25972651],[-0.62425383  0.63314535],[3.86621598 5.42304103],[0.32340348 1.04726809],[5.7838302  5.33129522],[-0.59522935  0.89348167]
[7.28078955 5.39977034],[0.70605765 0.54737249],[4.61075854 5.62261422],[-0.1020428  -1.01995029],[6.63469361 6.12612337],[-0.03168488 -1.09772827],[5.67435226 4.57234877],[-0.88179034  0.66448652],[3.38924626 4.96129945],[ 0.64273746 -0.8649705 ],[5.54496868 4.20699432],[ 0.16283502 -0.86960855],[7.92803426 5.94953149],[ 0.47851445 -0.69835642],[5.79978912 7.32133984],[-0.6426247   0.60210279],[3.90008551 5.52648775],[0.35642388 1.02426576],[5.72462428 5.42021968],[-0.59048652  0.88340882]
[7.35010016 5.45524414],[0.67999281 0.5620205 ],[4.60195022 5.52082606],[-0.07449239 -1.01602808],[6.63052329 6.01690491],[-0.04835619 -1.08347824],[5.58719391 4.63932005],[-0.86192912  0.67430383],[3.45577244 4.87622356],[ 0.68738866 -0.83604224],[5.5613155  4.12049161],[ 0.16567785 -0.85873806],[7.97369452 5.87819295],[ 0.43384223 -0.72870675],[5.73479644 7.38011257],[-0.65874039  0.5715471 ],[3.93762113 5.62800684],[0.39347815 1.00529146],[5.66599734 5.50822951],[-0.58225968  0.87648922]
[7.41695038 5.51236628],[0.65637991 0.57989412],[4.59578704 5.41937429],[-0.04993324 -1.0139136 ],[6.62454746 5.90891592],[-0.07199698 -1.0769854 ],[5.50196715 4.70718801],[-0.84220055  0.68336888],[3.52655308 4.79409249],[ 0.72904555 -0.80492331],[5.5783508  4.03549558],[ 0.17682933 -0.83945248],[8.01482705 5.80393049],[ 0.38676574 -0.7579643 ],[5.66795649 7.43549925],[-0.67784455  0.53607263],[3.97890319 5.72765141],[0.42956579 0.98502056],[5.60827499 5.59560078],[-0.57246283  0.87058549]
[7.48109747 5.57097432],[0.62753808 0.59333338],[4.59190475 5.31805191],[-0.02656632 -1.0112398 ],[6.61613349 5.80153947],[-0.09723713 -1.07130672],[5.41863056 4.77584767],[-0.8235732   0.69067521],[3.60155587 4.71537081],[ 0.7707208  -0.76902499],[5.59661098 3.95250766],[ 0.18400893 -0.82463428],[8.05128941 5.72696857],[ 0.34374498 -0.77949638],[5.59927114 7.48729962],[-0.69481885  0.50063381],[4.02357254 5.82505222],[0.4649642  0.96413928],[5.55122198 5.68205252],[-0.56808928  0.85894884]
[7.54235378 5.63096166],[0.59616598 0.60509438],[4.59055518 5.21725378],[ 0.00195303 -1.00233559],[6.60536951 5.69494392],[-0.11723201 -1.05987159],[5.33665556 4.84469642],[-0.81309766  0.68898784],[3.68034029 4.64007932],[ 0.80515597 -0.73590266],[5.61508848 3.87054314],[ 0.18892658 -0.81120569],[8.08325113 5.64782752],[ 0.29470613 -0.80349598],[5.52932297 7.53588737],[-0.70474201  0.47024976],[4.07148444 5.92006476],[0.49432213 0.93729084],[5.49487379 5.76759414],[-0.55895447  0.85172275]
[7.60036041 5.69205883],[0.56273925 0.61574863],[4.59197616 5.11728155],[ 0.0271366  -0.99616825],[6.59219458 5.58909977],[-0.1451909  -1.05572226],[5.25614358 4.91375436],[-0.79810584  0.69110569],[3.7624277  4.56816818],[ 0.83567035 -0.70260732],[5.63441298 3.790284  ],[ 0.19961366 -0.79194966],[8.10987362 5.5660649 ],[ 0.23965441 -0.8291004 ],[5.45786873 7.58081336],[-0.7215283   0.43071149],[4.12215331 6.01223895],[0.52131381 0.90852755],[5.43936357 5.85231327],[-0.55259015  0.84129712]
[7.65513535 5.75438468],[0.53191681 0.63006149],[4.59550404 5.01759933],[ 0.04661074 -0.99390845],[6.57674902 5.48422638],[-0.1635876  -1.04168785],[5.17757121 4.98343586],[-0.77508044  0.70072149],[3.84771628 4.4999276 ],[ 0.86880796 -0.66285574],[5.6550911  3.71221379],[ 0.21292981 -0.7704711 ],[8.13104493 5.48202552],[ 0.18719512 -0.8476554 ],[5.38488112 7.62180766],[-0.73806665  0.3889114 ],[4.17570311 6.10172434],[0.55242556 0.88392688],[5.38444207 5.93593227],[-0.54405453  0.8328047 ]
[7.70654075 5.81791214],[0.49963872 0.64408175],[4.60139834 4.91862959],[ 0.07115613 -0.985497  ],[6.55931084 5.38058948],[-0.18631053 -1.03210956],[5.10094796 5.05369896],[-0.75972324  0.70210811],[3.93615323 4.4356837 ],[ 0.89801316 -0.62337837],[5.6767117  3.63590715],[ 0.21896435 -0.75607387],[8.14698323 5.39634041],[ 0.13246131 -0.86440201],[5.31041032 7.65865496],[-0.74885109  0.35014845],[4.23257867 6.18893916],[0.58443136 0.8597214 ],[5.33011849 6.01842824],[-0.54318971  0.81637957]
[7.75447435 5.88265758],[0.458721   0.65071638],[4.6097494  4.82054952],[ 0.09809205 -0.97383561],[6.53976258 5.27808892],[-0.20775345 -1.02103372],[5.02599663 5.12420549],[-0.74227022  0.70497378],[4.02745346 4.37550371],[ 0.92507913 -0.58259755],[5.69896107 3.56109535],[ 0.22426913 -0.74183554],[8.15733382 5.30908471],[ 0.07331383 -0.88115306],[5.23436459 7.69098489],[-0.76967581  0.29823016],[4.29231234 6.27338338],[0.61257193 0.83152238],[5.27627446 6.09966959],[-0.5341069   0.80794612]
[7.79877325 5.94859277],[0.42454075 0.66542112],[4.6207594  4.72362539],[ 0.12464958 -0.96205754],[6.51795066 5.17660556],[-0.22833622 -1.0085244 ],[4.95283982 5.19501829],[-0.72165049  0.71041731],[4.12120698 4.31930509],[ 0.94865507 -0.5422425 ],[5.72179123 3.4877924 ],[ 0.23313488 -0.72341334],[8.16158587 5.22022139],[ 0.01340695 -0.8937122 ],[5.1567359  7.71844488],[-0.78243065  0.25091954],[4.35550154 6.3556267 ],[0.6490054  0.81110558],[5.22286323 6.17957518],[-0.53415823  0.79015879]
[7.83914935 6.01556409],[0.38439949 0.67565717],[4.63449583 4.62797084],[ 0.15144759 -0.94958638],[6.49414299 5.07643499],[-0.24940687 -0.99639461],[4.88198944 5.26659064],[-0.69725776  0.71904116],[4.21725292 4.26722332],[ 0.97166129 -0.49949752],[5.74531068 3.41615605],[ 0.23802433 -0.70842996],[8.15972126 5.13021062],[-0.05043909 -0.90548641],[5.07774838 7.74091137],[-0.79524592  0.19990799],[4.42144216 6.43492619],[0.66969668 0.77485698],[5.1698712  6.25811741],[-0.52608193  0.78022657]
[7.87536109 6.08349027],[0.34219427 0.68543645],[4.65081288 4.53349933],[ 0.17652909 -0.9380572 ],[6.4681363  4.97741841],[-0.26754406 -0.9807927 ],[4.81318567 5.33860136],[-0.67908591  0.7208161 ],[4.31535693 4.21931745],[ 0.98870197 -0.45997082],[5.76949493 3.34622468],[ 0.24442209 -0.69134694],[8.15161747 5.03940116],[-0.11375905 -0.91211261],[4.99753458 7.75813799],[-0.80554112  0.14749529],[4.49009464 6.5112436 ],[0.70173248 0.74989556],[5.11755747 6.33551308],[-0.51831393  0.76952715]
[7.90777888 6.15288719],[0.30486723 0.70134689],[4.66990699 4.44047839],[ 0.20602858 -0.92161877],[6.44065096 4.8802723 ],[-0.28180471 -0.96193791],[4.74630838 5.41086714],[-0.66046454  0.72240866],[4.41486871 4.17516892],[ 1.00161318 -0.42262262],[5.79403937 3.2777635 ],[ 0.24846811 -0.67574855],[8.13688239 4.94787909],[-0.17895255 -0.91570509],[4.91627854 7.76990993],[-0.81891715  0.08783776],[4.56151264 6.58462207],[0.72474877 0.71585565],[5.06588178 6.41167793],[-0.51522629  0.75370934]
[7.93588623 6.22336694],[0.25896167 0.71014511],[4.69203769 4.34919585],[ 0.23402331 -0.90644547],[6.41161588 4.7848693 ],[-0.29687303 -0.94414024],[4.68118711 5.48315615],[-0.63960259  0.72563249],[4.51539697 4.13456098],[ 1.00971929 -0.38859208],[5.81904289 3.21095925],[ 0.25603004 -0.65584216],[8.11554139 4.85613098],[-0.24719817 -0.91788428],[4.83397796 7.7757739 ],[-0.82709051  0.02871071],[4.63494902 6.65431289],[0.74155183 0.67557259],[5.01455152 6.48628419],[-0.51005014  0.73968793]
[7.95965631 6.29504801],[0.21816329 0.72529753],[4.71681562 4.25932613],[ 0.26015318 -0.89216997],[6.38070645 4.6908873 ],[-0.32171376 -0.93570258],[4.61823088 5.55581126],[-0.61989581  0.72700613],[4.61667922 4.09736463],[ 1.01646481 -0.35469149],[5.84496621 3.14633207],[ 0.26327895 -0.63574799],[8.08764333 4.76464471],[-0.31030325 -0.91095633],[4.75122904 7.77586908],[-0.82804166 -0.02758538],[4.7103488 6.7202517],[0.7671852  0.64400886],[4.9641872  6.55990466],[-0.49838296  0.7314845 ]
[7.97918124 6.36812195],[0.17330816 0.73723142],[4.74432138 4.17104499],[ 0.28874111 -0.87454711],[6.3476207 4.598109 ],[-0.34017046 -0.91999918],[4.55710653 5.62843303],[-0.60279234  0.72515504],[4.71896564 4.06397098],[ 1.02735466 -0.31476148],[5.87169896 3.0838321 ],[ 0.27055541 -0.61495138],[8.05360112 4.67416859],[-0.37052517 -0.89814746],[4.66822114 7.76994887],[-0.832206   -0.09172656],[4.78820813 6.78293221],[0.78985387 0.60952235],[4.91459727 6.63228252],[-0.49342787  0.71601851]
[7.99361617 6.44184113],[0.11684498 0.73885576],[4.77467122 4.08454874],[ 0.31543278 -0.85799963],[6.31263456 4.50686587],[-0.36092972 -0.90612018],[4.4981232  5.70126766],[-0.57401788  0.7342281 ],[4.82210286 4.03442886],[ 1.03413708 -0.27716658],[5.8990897  3.02338385],[ 0.27828108 -0.59285436],[8.01408428 4.58562758],[-0.42184395 -0.87455486],[4.58510956 7.75767632],[-0.83020172 -0.15461818],[4.86843824 6.84227516],[0.81504446 0.57772822],[4.86593901 6.70352151],[-0.48061133  0.70776449]
[8.00255078 6.51593738],[0.05949042 0.74086409],[4.80752002 3.99960211],[ 0.34211758 -0.84014534],[6.27540883 4.41689361],[-0.38527544 -0.89486904],[4.44160586 5.77455113],[-0.55546022  0.73222254],[4.92558934 4.00837627],[ 1.03541026 -0.24405603],[5.92739103 2.96532408],[ 0.28816511 -0.56779793],[7.96886455 4.49896412],[-0.48336781 -0.8591652 ],[4.50213303 7.7387989 ],[-0.82852552 -0.22287767],[4.9508119  6.89807716],[0.83128349 0.53718849],[4.81831445 6.77365028],[-0.47130205  0.69530433]
[8.00587798 6.59040944],[0.00525227 0.74683409],[4.84310526 3.91656127],[ 0.36862544 -0.82141887],[6.23614652 4.32848806],[-0.39986099 -0.87318543],[4.38722209 5.84787492],[-0.53239678  0.73395987],[5.02942806 3.98590891],[ 1.039786   -0.20655462],[5.95679863 2.90992851],[ 0.29860596 -0.54134762],[7.91763473 4.41409373],[-0.53953372 -0.83639744],[4.41926043 7.71276438],[-0.82731841 -0.2970309 ],[5.03464944 6.94965753],[0.84404931 0.4929872 ],[4.77139158 6.84227317],[-0.468128    0.67616001]
[8.00341594 6.66513381],[-0.05726926  0.74491418],[4.88126752 3.83538499],[ 0.3963073  -0.80023667],[6.19506611 4.24190554],[-0.42050264 -0.85711315],[4.33522144 5.92140574],[-0.50666774  0.73745477],[5.13357922 3.96714538],[ 1.04226211 -0.16953295],[5.98713882 2.85711837],[ 0.30812944 -0.51475377],[7.86091681 4.33168849],[-0.59391399 -0.81068892],[4.33725304 7.67981104],[-0.81247133 -0.36226423],[5.12013923 6.99718654],[0.86488989 0.45693577],[4.72496338 6.90913626],[-0.46197038  0.65948998]
[7.994481   6.73946827],[-0.12278776  0.74036866],[4.92193384 3.75612929],[ 0.42046426 -0.78120075],[6.15217239 4.15720745],[-0.43906786 -0.83845197],[4.28575968 5.99519883],[-0.48540653  0.73547374],[5.23799689 3.95217539],[ 1.04467538 -0.13100019],[6.01836478 2.806961  ],[ 0.3182892  -0.48630236],[7.79868508 4.25182131],[-0.64982888 -0.78572659],[4.25695579 7.64036454],[-0.79266632 -0.42640847],[5.20759186 7.04102117],[0.88322755 0.41899347],[4.67910275 6.97425476],[-0.45651635  0.64150112]
[7.97910509 6.8134394 ],[-0.18766513  0.73589662],[4.96513878 3.67896682],[ 0.4449743  -0.76043796],[6.10761061 4.07459169],[-0.45375051 -0.81546295],[4.23851556 6.06884522],[-0.45932928  0.73745302],[5.34214671 3.94059206],[ 1.04106585 -0.09780943],[6.05079044 2.75989714],[ 0.33296274 -0.45203175],[7.73145675 4.17506054],[-0.69289677 -0.74776672],[4.17897011 7.59466234],[-0.76773417 -0.48874812],[5.29717397 7.08141073],[0.90639731 0.38707689],[4.63368137 7.03743599],[-0.45059067  0.62334576]
[7.95688261 6.88655191],[-0.25707187  0.72574984],[5.0109756  3.60413286],[ 0.47138824 -0.73640826],[6.06098973 3.99372115],[-0.47522031 -0.79839382],[4.19358699 6.1423483 ],[-0.43702277  0.73472388],[5.44633758 3.93280671],[ 1.04153244 -0.05894118],[6.08472101 2.71636906],[ 0.34522991 -0.41869484],[7.65963989 4.10179888],[-0.74146613 -0.7156539 ],[4.1038455  7.54294948],[-0.73699651 -0.54809234],[5.38800783 7.11758175],[0.90776324 0.33377724],[4.58905703 7.09896466],[-0.44368086  0.60532521]
[7.92779909 6.95862977],[-0.32483055  0.71503748],[5.05974905 3.53206331],[ 0.50338778 -0.70549283],[6.0127145  3.91508039],[-0.4918124  -0.77587804],[4.15108669 6.21572794],[-0.40875513  0.73689888],[5.5503793  3.92878677],[ 1.03699846 -0.02363461],[6.11993643 2.67631945],[ 0.35870238 -0.38237556],[7.58328065 4.0320306 ],[-0.78726849 -0.6815154 ],[4.03168544 7.48506705],[-0.70766036 -0.61130776],[5.47933975 7.14875161],[0.91947439 0.29040571],[4.54502651 7.15855147],[-0.43836441  0.58486153]
[7.89162354 7.02917003],[-0.39604665  0.69773193],[5.11134888 3.46278216],[ 0.52649486 -0.68193396],[5.96250099 3.83845231],[-0.51262294 -0.75673657],[4.11129439 6.28913993],[-0.38514299  0.73314489],[5.6539583  3.92833748],[1.03227517 0.01250028],[6.15666564 2.64016917],[ 0.37641761 -0.33974796],[7.50244086 3.96571582],[-0.82746073 -0.64305231],[3.96270579 7.42100879],[-0.67188151 -0.66995229],[5.57199454 7.17578517],[0.93391111 0.25084916],[4.50168462 7.21620168],[-0.43161524  0.56486116]
[7.84815587 7.09760775],[-0.47000548  0.67351687],[5.16543988 3.39612947],[ 0.55736819 -0.64879789],[5.91053232 3.76410425],[-0.52910688 -0.73249545],[4.07384414 6.3621046 ],[-0.3619402  0.727943 ],[5.75684854 3.9313302 ],[1.02488761 0.04676723],[6.19513408 2.6083676 ],[ 0.39194528 -0.29688173],[7.41781723 3.90340873],[-0.8669868  -0.60547748],[3.8976698  7.35139066],[-0.63154854 -0.72515104],[5.66571223 7.19854019],[0.94289658 0.20695804],[4.45868428 7.27146997],[-0.42552549  0.54321673]
[7.79782062 7.16389154],[-0.53681583  0.65098398],[5.22269215 3.33295109],[ 0.5837371  -0.61837722],[5.85694843 3.69225229],[-0.54245469 -0.70434574],[4.03919123 6.43495855],[-0.33175809  0.72827408],[5.85874939 3.9375199 ],[1.01443283 0.07839361],[6.23508316 2.58091765],[ 0.40771556 -0.25096055],[7.32959963 3.84511964],[-0.90084238 -0.56419097],[3.83630566 7.27587217],[-0.59706922 -0.78638256],[5.76013464 7.21676885],[0.94375149 0.15589572],[4.41660811 7.32482845],[-0.41814162  0.52162059]
[7.7405582  7.22736088],[-0.60891585  0.61674575],[5.28242121 3.27275858],[ 0.60786693 -0.58809806],[5.80199031 3.62321361],[-0.5550024  -0.67461945],[4.00727287 6.50749022],[-0.30259055  0.72616147],[5.95996855 3.94729398],[1.00598732 0.11334069],[6.2768778  2.55849058],[ 0.42762754 -0.19756226],[7.23805958 3.79090553],[-0.92852851 -0.51906667],[3.77882075 7.19470114],[-0.55042085 -0.8345975 ],[5.85476582 7.23003718],[0.94607004 0.10682735],[4.37540086 7.37609112],[-0.40718391  0.50224672]
[7.67633925 7.2873017 ],[-0.67735193  0.57885651],[5.34412448 3.2152634 ],[ 0.62703389 -0.56061664],[5.74570665 3.55712038],[-0.57137411 -0.6478175 ],[3.9786061  6.58005301],[-0.2706169   0.72493693],[6.06003229 3.96028088],[0.99624143 0.14758467],[6.32063148 2.54156324],[ 0.44168572 -0.14610652],[7.14388273 3.74123054],[-0.95369321 -0.47357011],[3.72586655 7.10864062],[-0.50855438 -0.88600823],[5.94934114 7.23813333],[0.94510563 0.05498977],[4.33520579 7.4252585 ],[-0.39674398  0.48083935]
[7.60543394 7.34320918],[-0.74093293  0.53766483],[5.40824805 3.16113394],[ 0.65469647 -0.5223204 ],[5.68769426 3.49366984],[-0.59021716 -0.62239035],[3.95323563 6.65249469],[-0.23657717  0.72377639],[6.15876908 3.97638258],[0.97883424 0.174694  ],[6.36576396 2.52996361],[ 0.45788485 -0.08821792],[7.04740304 3.69620817],[-0.97634601 -0.42777269],[3.67791451 7.01835994],[-0.4548213  -0.92351087],[6.0441323  7.24142504],[0.94854072 0.00906452],[4.29576092 7.47191003],[-0.39217511  0.4519166 ]
[7.52794464 7.39433064],[-0.80608088  0.4859806 ],[5.475048  3.1108714],[ 0.6809765  -0.48281743],[5.62777522 3.43279747],[-0.60816917 -0.59491501],[3.93151578 6.72495041],[-0.19977362  0.72300034],[6.25603127 3.99547506],[0.966854   0.20771036],[6.41264743 2.52452779],[ 0.48131416 -0.01807052],[6.94885807 3.65584599],[-0.99484644 -0.38020427],[3.63486937 6.92400643],[-0.40502751 -0.96188581],[6.138762   7.23969328],[ 0.9468744  -0.04055386],[4.25677868 7.51558567],[-0.38602238  0.42275018]
[7.44432144 7.4401976 ],[-0.86492364  0.43122491],[5.54422076 3.06443983],[ 0.70396891 -0.44389017],[5.56621202 3.37488245],[-0.62044008 -0.56056483],[3.91311857 6.79685874],[-0.17036604  0.71270458],[6.35200821 4.01783846],[0.95278461 0.23970769],[6.4618628  2.52638916],[0.50173435 0.05502673],[6.84840919 3.62006172],[-1.01704746 -0.33902211],[3.59721424 6.82638245],[-0.34830065 -0.99020846],[6.23330324 7.23318199],[ 0.94290465 -0.09034507],[4.21881942 7.55664877],[-0.37446208  0.39687367]
[7.35529425 7.48060251],[-0.91613746  0.37481448],[5.61543296 3.02178071],[ 0.72087639 -0.40829313],[5.50312724 3.3201713 ],[-0.64043052 -0.53267304],[3.89781056 6.86778943],[-0.13469018  0.70667275],[6.44649964 4.04336722],[0.9366498 0.2705752],[6.51282407 2.53557754],[0.51862468 0.13092408],[6.7459452  3.58841973],[-1.03280548 -0.29492258],[3.565293   6.72614934],[-0.28858455 -1.01242578],[6.32724818 7.22158509],[ 0.93551724 -0.14171419],[4.18198712 7.59497785],[-0.36110592  0.37040226]
[7.26147145 7.51523959],[-0.96064839  0.31606672],[5.68862169 2.98310922],[ 0.74294027 -0.36458902],[5.43827292 3.26854226],[-0.65935352 -0.50245118],[3.88582743 6.9377578 ],[-0.10050653  0.69680163],[6.53944965 4.07209963],[0.92491738 0.30689586],[6.56572532 2.55295069],[0.53670429 0.21495737],[6.64198513 3.56110482],[-1.04527808 -0.25073395],[3.53912023 6.62363712],[-0.23398778 -1.0361794 ],[6.42032794 7.20481945],[ 0.92754695 -0.19165652],[4.14625254 7.63028928],[-0.35174798  0.33722638]
[7.16337471 7.54373787],[-1.00137307  0.25238192],[5.76390859 2.94886233],[ 0.763935   -0.31863591],[5.3712815 3.2197464],[-0.67900444 -0.47185442],[3.87758934 7.00692636],[-0.06465426  0.68573599],[6.63086935 4.10418178],[0.90421229 0.33552808],[6.61992507 2.57856728],[0.54550241 0.29664062],[6.53707916 3.53838085],[-1.05409287 -0.20553485],[3.51829186 6.51886041],[-0.18140666 -1.0572654 ],[6.51206621 7.18262036],[ 0.90844021 -0.25083431],[4.11154999 7.66222851],[-0.34194616  0.30141156]
[7.06169025 7.56594061],[-1.03229504  0.19051275],[5.84144795 2.91955261],[ 0.7855599  -0.26823146],[5.30264583 3.17439308],[-0.69481434 -0.43616424],[3.87322541 7.07512613],[-0.02307098  0.67729572],[6.7203621  4.13931092],[0.8843746  0.36591082],[6.67483678 2.61251861],[0.55164068 0.38229779],[6.4315387 3.5202895],[-1.05549256 -0.15541424],[3.50291754 6.41239841],[-0.12810982 -1.0730539 ],[6.60224265 7.15495484],[ 0.89293157 -0.30414094],[4.0779595  7.69054551],[-0.32962873  0.26458695]
[6.95752451 7.58223963],[-1.05053443  0.13509748],[5.92098652 2.89531814],[ 0.80348002 -0.21754953],[5.23256061 3.1328054 ],[-0.70691255 -0.39541319],[3.87249709 7.14180364],[0.01167636 0.65897454],[6.80786017 4.17752007],[0.86369001 0.39645027],[6.73024566 2.65523059],[0.5566785  0.47294718],[6.32602213 3.50730192],[-1.05832495 -0.10826035],[3.49262875 6.30438462],[-0.07660096 -1.085306  ],[6.69101495 7.12226303],[ 0.87603491 -0.35565999],[4.04560883 7.71499087],[-0.31681796  0.22421782]
[6.85167077 7.59287996],[-1.06633385  0.07720703],[6.00229122 2.87632848],[ 0.82264011 -0.16146894],[5.16109031 3.09518772],[-0.72081118 -0.35509056],[3.87576533 7.20699889],[0.05456603 0.64524133],[6.89305575 4.21859213],[0.84016965 0.42498328],[6.78571164 2.70682251],[0.54958525 0.55645274],[6.21975232 3.49837955],[-1.06385293 -0.06753333],[3.48788439 6.19575456],[-0.01841514 -1.08679154],[6.77763111 7.08408835],[ 0.85484045 -0.40866277],[4.01458051 7.73521371],[-0.30244727  0.1807763 ]
[6.74444917 7.59771097],[-1.07698562  0.01989755],[6.08531031 2.86298079],[ 0.83411178 -0.10851328],[5.08811594 3.06155156],[-0.73616661 -0.31501133],[3.8834361  7.27073627],[0.10040547 0.63036948],[6.97587184 4.2625333 ],[0.81684834 0.45465957],[6.84015774 2.76664064],[0.5419391 0.6428424],[6.11345308 3.49392039],[-1.06414867 -0.0241734 ],[3.48847977 6.08670483],[ 0.02999458 -1.09361202],[6.86217929 7.04083928],[ 0.83570728 -0.45604123],[3.98494147 7.75078481],[-0.29040704  0.1296827 ]
