[1.83887882 5.722916  ],[ 4.10340358 -3.97996271],[8.71759488 8.09842243],[-4.85273135  3.64892489],[3.0184349  9.00276915],[3.48599921 3.80019337],[9.87380212 5.15045648],[ 0.53932626 -1.32529811],[6.06650021 6.38581206],[-4.32817076  1.57111044],[6.01415497 9.52122302],[-0.49137232 -0.58707584],[3.25347454 5.7000647 ],[0.93610691 0.89406406],[6.29918993 1.80230843],[1.91248925 4.75461027],[6.64294011 4.00678545],[-2.18269816 -2.69608812],[9.64270567 1.0226151 ],[-0.51304401 -0.06132824]
[3.26067157 4.76702757],[ 1.16941301 -0.4082955 ],[7.23779254 8.73233438],[-1.13639289 -0.01558217],[4.38379866 9.73752324],[ 1.15496949 -0.07896762],[9.81511274 4.03497028],[-0.58915491 -0.80963042],[4.62448897 6.82204521],[-0.91116028  0.17355326],[5.52850289 8.41548514],[-0.30501773 -1.18919966],[4.35898131 6.40900155],[1.06850791 0.44644322],[6.77814662 3.44804905],[0.16983495 1.21875332],[5.61547386 3.03318884],[-0.80099843 -0.41199929],[8.61646298 1.58451769],[-1.01922289  0.88602008]
[3.37800588 4.72851319],[ 1.17603419 -0.36347433],[7.12386364 8.72652886],[-1.13914369 -0.09766107],[4.49904818 9.72450418],[ 1.15078115 -0.17898913],[9.75169728 3.95635726],[-0.67775887 -0.76120521],[4.53434707 6.83800631],[-0.89072042  0.14690983],[5.49939918 8.29625766],[-0.27672058 -1.194295  ],[4.46598353 6.45191641],[1.07102665 0.41163175],[6.79364545 3.56949157],[0.14001286 1.21004509],[5.53533618 2.99518866],[-0.80463973 -0.35056152],[8.51584275 1.67484154],[-0.9953478   0.91716919]
[3.49591533 4.69435518],[ 1.18324579 -0.31871293],[7.01048166 8.71331187],[-1.13023311 -0.16820004],[4.61362292 9.70170072],[ 1.14078978 -0.27540899],[9.67948575 3.882675  ],[-0.76614502 -0.71234158],[4.44631321 6.85144421],[-0.86901944  0.12299646],[5.4726704  8.17629294],[-0.25419368 -1.20063887],[4.57317655 6.49136337],[1.07181747 0.37653396],[6.80610143 3.69000542],[0.11072942 1.20174044],[5.45454589 2.96314784],[-0.81036635 -0.2891723 ],[8.41752604 1.76789558],[-0.97063699  0.94346223]
[3.61437501 4.66449713],[ 1.18748668 -0.27698084],[6.89778212 8.69282099],[-1.12483876 -0.24282801],[4.72723401 9.66980606],[ 1.13084509 -0.36101867],[9.59892505 3.81431201],[-0.84440718 -0.65475763],[4.36058487 6.86269089],[-0.84826345  0.09938288],[5.44829701 8.05597884],[-0.23329829 -1.20497391],[4.68076151 6.52770075],[1.07886676 0.34966633],[6.81576302 3.80979143],[0.08457546 1.19572239],[5.37301936 2.93717939],[-0.81962991 -0.22942797],[8.32130869 1.86299365],[-0.95276073  0.95888875]
[3.73330322 4.63887578],[ 1.18751321 -0.23920591],[6.78591419 8.66511029],[-1.11343548 -0.31224863],[4.83950972 9.62958158],[ 1.11500259 -0.44125382],[9.51041153 3.75143141],[-0.92541435 -0.60336637],[4.2765407  6.87118935],[-0.83134354  0.07184179],[5.42652289 7.935878  ],[-0.20233929 -1.19704494],[4.78860393 6.56100608],[1.07912119 0.31786128],[6.82319062 3.92925875],[0.06460782 1.19379021],[5.29076706 2.91746974],[-0.82401096 -0.16312335],[8.22732458 1.95992949],[-0.92984745  0.97650981]
[3.85225179 4.61700898],[ 1.19200638 -0.19738745],[6.67544845 8.63071837],[-1.09684492 -0.37636802],[4.95000621 9.5816968 ],[ 1.0923994  -0.51722677],[9.41471092 3.69434186],[-0.988385   -0.53919431],[4.19430072 6.87702898],[-0.8132028   0.04520908],[5.40768212 7.81644868],[-0.17586934 -1.19258155],[4.89649305 6.59122094],[1.08238208 0.29062632],[6.82830491 4.04813298],[0.03863662 1.18446882],[5.20794645 2.90434191],[-0.83058134 -0.0975366 ],[8.13527725 2.05816806],[-0.90957522  0.98951483]
[3.97133622 4.59904146],[ 1.18990036 -0.1618744 ],[6.56661064 8.5899027 ],[-1.07936422 -0.43927079],[5.05791983 9.52638155],[ 1.06723137 -0.58601449],[9.31302698 3.64367688],[-1.04527435 -0.47531567],[4.11377024 6.88006823],[-0.7973728   0.01546186],[5.39123578 7.69732706],[-0.15261539 -1.18920074],[5.00489533 6.61903389],[1.08572747 0.26621995],[6.83116278 4.16636189],[0.02155523 1.18272867],[5.12450936 2.89785823],[-0.83631589 -0.03033564],[8.04534412 2.15771581],[-0.89405885  0.9963073 ]
[4.09009335 4.58447696],[ 1.18705525 -0.12766197],[6.45975068 8.54306115],[-1.05665865 -0.49609493],[5.16306818 9.4644227 ],[ 1.03606746 -0.65140826],[9.20577977 3.59912607],[-1.09494904 -0.4124238 ],[4.03516113 6.88042465],[-0.77840999 -0.01205834],[5.37699019 7.57851852],[-0.13199639 -1.18625311],[5.11342548 6.64431164],[1.08437026 0.23919638],[6.83228313 4.28426201],[0.00189914 1.17618973],[5.03994793 2.8975182 ],[-0.85030982  0.0277791 ],[7.95680631 2.25774309],[-0.87523695  1.00555517]
[4.20878884 4.57357644],[ 1.18690284 -0.09021791],[6.35547126 8.49092906],[-1.02785794 -0.54501718],[5.26528116 9.39653662],[ 1.00850474 -0.70455224],[9.09436329 3.56126762],[-1.13253749 -0.34531479],[3.95838056 6.87789188],[-0.75740385 -0.03893068],[5.36498205 7.460279  ],[-0.10535606 -1.17572136],[5.2216593  6.66680522],[1.07787643 0.20832014],[6.83122613 4.40125514],[-0.02208971  1.16466101],[4.95487565 2.90381734],[-0.85125924  0.0978819 ],[7.87006123 2.3585655 ],[-0.85955519  1.0109032 ]
[4.32727984 4.56626087],[ 1.18095323 -0.05813806],[6.25394193 8.4338802 ],[-1.00289226 -0.5958161 ],[5.36414996 9.32314029],[ 0.97052406 -0.76062159],[8.97949528 3.53001523],[-1.16386244 -0.28021993],[3.88344927 6.87233778],[-0.73849145 -0.06964352],[5.3554055  7.34288136],[-0.0873661  -1.17295099],[5.3295234  6.68653872],[1.07623535 0.18353537],[6.82790485 4.51721962],[-0.04205169  1.15674569],[4.86969242 2.91704017],[-0.85173881  0.16674335],[7.78485748 2.4598699 ],[-0.84490838  1.01474917]
