[4.31917984 6.25442946],[-0.58968042  0.95069823],[5.04008331 8.0525525 ],[-0.45317785 -1.08059112],[6.24677756 7.46038093],[0.58889555 0.72917773],[10.08586203  9.39974791],[0.07821575 0.33737688],[-0.25882835 -0.45302788],[-0.02189282  0.65195392],[6.98832485 6.86920097],[ 0.51475167 -0.77742539],[ 4.56948851 10.40332813],[-0.93882328  0.18386769],[ 6.07386623 10.53731307],[0.83181082 0.05712089],[3.21724111 7.50133895],[ 0.13115386 -1.11989038],[-0.42944962  3.4622373 ],[ 0.11236288 -0.45793559]
[4.26132347 6.34924683],[-0.56548228  0.94788081],[4.99506041 7.94513   ],[-0.44768835 -1.06838177],[6.30427879 7.5334381 ],[0.55882696 0.72968737],[10.08653544  9.431448  ],[-0.067057    0.29574405],[-0.25502249 -0.37701184],[0.098684   0.86528348],[7.03717108 6.7910653 ],[ 0.4609597  -0.78676587],[ 4.47515097 10.41735384],[-0.94707226  0.09711124],[ 6.15662828 10.53876378],[ 0.82272812 -0.02911348],[3.23137044 7.38970162],[ 0.15391137 -1.11018427],[-0.41164996  3.4187846 ],[ 0.24649098 -0.40899481]
[4.20548936 6.4434697 ],[-0.54909296  0.93902706],[4.95061931 7.83891814],[-0.44443333 -1.05919582],[6.35877927 7.6065715 ],[0.52967881 0.73151627],[10.07239152  9.45914127],[-0.21823038  0.25692343],[-0.23879485 -0.28064193],[0.22161735 1.05216171],[7.08047792 6.71179966],[ 0.40665812 -0.79710479],[ 4.38042505 10.42300833],[-0.94582011  0.01725877],[ 6.23837229 10.53139304],[ 0.81204883 -0.11847809],[3.24834665 7.27962074],[ 0.18473662 -1.09235539],[-0.37954122  3.38092094],[ 0.3936837  -0.35045524]
[4.15129709 6.53688781],[-0.53466849  0.92967012],[4.90637077 7.73349245],[-0.43906068 -1.04787414],[6.40990891 7.67946089],[0.49151758 0.72500494],[10.04234222  9.48251365],[-0.38029032  0.21361175],[-0.21071611 -0.16778649],[0.33606044 1.19501068],[7.11848259 6.63163201],[ 0.35051016 -0.80907368],[ 4.28573136 10.42044229],[-0.94882772 -0.06998303],[ 6.31869757 10.51469879],[ 0.79765676 -0.21204726],[3.26799288 7.17093072],[ 0.21216594 -1.07728016],[-0.33227513  3.34935685],[ 0.55293645 -0.27874526]
[4.09899067 6.62985534],[-0.51116189  0.93004429],[4.86266286 7.62917243],[-0.43542879 -1.03885728],[6.45760485 7.75212468],[0.46160186 0.72752611],[9.99600038 9.50159717],[-0.5481231   0.16604391],[-0.17213259 -0.04326893],[0.43122181 1.28620585],[7.15072251 6.55018269],[ 0.29456777 -0.8194552 ],[ 4.19075899 10.40893943],[-0.94925893 -0.15942967],[ 6.39773393 10.48886847],[ 0.78084133 -0.30636085],[3.29074221 7.06411285],[ 0.24494615 -1.05709083],[-0.26892065  3.32546503],[ 0.7110672  -0.20013726]
[4.04916985 6.72298704],[-0.48420101  0.93354123],[4.81968889 7.52609107],[-0.42667776 -1.02551644],[6.50204225 7.82480824],[0.42773931 0.72683964],[9.93236075 9.51515925],[-0.72226675  0.10556336],[-0.12504988  0.0881412 ],[0.50595159 1.33480353],[7.17737576 6.46778583],[ 0.23844652 -0.82828803],[ 4.09610285 10.38861352],[-0.93917731 -0.24298394],[ 6.47486357 10.45352691],[ 0.76102903 -0.40033777],[3.3166578  6.95919796],[ 0.2749223  -1.03970205],[-0.19038498  3.30951418],[ 0.85657055 -0.11867494]
[4.00176415 6.81616466],[-0.46543751  0.92849139],[4.77730697 7.42403795],[-0.42200611 -1.0166888 ],[6.54334302 7.89770786],[0.39691884 0.72985274],[9.85207633 9.52271364],[-0.88353777  0.04183911],[-0.07108692  0.22313157],[0.56896191 1.35913646],[7.19834268 6.38453659],[ 0.18065045 -0.83653276],[ 4.00297929 10.36028683],[-0.9227559  -0.32344985],[ 6.5495308  10.40856413],[ 0.7293229  -0.50077949],[3.34571884 6.85618277],[ 0.30848996 -1.01842015],[-0.09809706  3.30195788],[ 0.98577805 -0.03183606]
[3.95615386 6.90876487],[-0.44859522  0.92176161],[4.73567838 7.32312462],[-0.41421489 -1.00537229],[6.5813462  7.97072835],[0.36250686 0.73002915],[9.7567671  9.52382733],[-1.01926102 -0.02074499],[-0.01164169  0.35942144],[0.61518874 1.36158698],[7.21334636 6.30042006],[ 0.11881762 -0.84590765],[ 3.91132425 10.32355269],[-0.90616883 -0.40754912],[ 6.62080389 10.35368829],[ 0.69415831 -0.59721211],[3.3782051  6.75535716],[ 0.33879016 -1.00033945],[0.00610259 3.30332239],[1.09200196 0.05727734]
[3.91214764 7.00062612],[-0.43183519  0.91517343],[4.69443485 7.22294634],[-0.40948302 -0.99707476],[6.61569795 8.04360619],[0.32722905 0.73033895],[9.64893267 9.51832581],[-1.13323336 -0.09007942],[0.05163987 0.49517247],[0.64813101 1.35150948],[7.22214364 6.21551399],[ 0.05700152 -0.85183936],[ 3.82168408 10.27860193],[-0.88483497 -0.49006711],[ 6.6885142  10.28959416],[ 0.65626929 -0.68661874],[3.41308354 6.65579439],[ 0.36072063 -0.98869289],[0.1195474  3.31345525],[1.17210127 0.14430927]
[3.86979392 7.09180544],[-0.41390641  0.90971576],[4.65369835 7.12361808],[-0.40764643 -0.99183255],[6.64666692 8.11669767],[0.29529293 0.7347112 ],[9.53140682 9.50617309],[-1.21151225 -0.15127964],[0.11812052 0.62992421],[0.67982582 1.34232514],[7.22442353 6.12987239],[-0.00748107 -0.85646242],[ 3.73434364 10.22543197],[-0.86296031 -0.57464553],[ 6.75178796 10.21647049],[ 0.60972774 -0.77327204],[3.45053173 6.55784422],[ 0.38933371 -0.96900644],[0.23965735 3.33199145],[1.22589359 0.2249509 ]
