[3.53213185 5.49169219],[ 0.85916395 -0.8643991 ],[2.22461397 8.2703922 ],[ 0.58631954 -1.25224561],[0.6067601  1.64970768],[-0.49993373  0.04574449],[5.18550921 3.56847487],[-0.87757416  0.70836547],[7.42122028 4.44641497],[-0.34470691  1.04713778],[2.85561566 6.08765666],[ 0.92485183 -0.88277   ],[8.78275621 6.78174197],[ 0.62457536 -0.12123387],[10.01743241  0.68758447],[0.41270427 0.62281388],[7.00858331 0.68303567],[ 0.01642418 -0.32876046],[3.48972998 5.78848244],[-0.57464463  0.6718394 ]
[3.61789296 5.40585121],[ 0.85568414 -0.85299741],[2.28421461 8.14601759],[ 0.60652805 -1.23424794],[0.56053059 1.65784772],[-0.42284844  0.11906542],[5.09845805 3.63895183],[-0.86026728  0.70467489],[7.38394399 4.54957269],[-0.3988032   1.01775237],[2.94797492 5.99996943],[ 0.9212344  -0.87229653],[8.8423647  6.76604077],[ 0.56770307 -0.19313198],[10.05344535  0.75589488],[0.30708525 0.74352974],[7.0078079 0.6533089],[-0.03332516 -0.26568212],[3.4336844  5.85465775],[-0.54479068  0.6536084 ]
[3.70358342 5.32137981],[ 0.85515047 -0.83952879],[2.34551981 8.02318221],[ 0.62052777 -1.22121926],[0.52209691 1.67345041],[-0.34261827  0.19622679],[5.01334819 3.70935772],[-0.84187863  0.70372631],[7.34194687 4.65035819],[-0.44367928  0.99485399],[3.04019124 5.91349804],[ 0.92080967 -0.85954114],[8.89605815 6.74279866],[ 0.50710467 -0.27104149],[10.07831317  0.83584822],[0.19337242 0.85807547],[7.00174133 0.63008416],[-0.08824057 -0.19727922],[3.38083453 5.91932671],[-0.51239188  0.63987521]
[3.78887296 5.23787998],[ 0.85026723 -0.83091663],[2.40795273 7.90146526],[ 0.62837851 -1.21241507],[0.4925265 1.6975993],[-0.24933665  0.28601104],[4.92997256 3.77962318],[-0.82470189  0.70269205],[7.2948299  4.74810184],[-0.49590284  0.96250976],[3.13244567 5.82835646],[ 0.92225028 -0.84538161],[8.94358627 6.7116006 ],[ 0.44226239 -0.35413395],[10.09180333  0.92699012],[0.07519246 0.96147156],[6.99012358 0.61423467],[-0.14121061 -0.11479588],[3.33100117 5.98246567],[-0.48425384  0.62312238]
[3.87420917 5.15576395],[ 0.8535285  -0.81436458],[2.47154472 7.78107978],[ 0.64397635 -1.19478094],[0.47255229 1.73090443],[-0.14851236  0.38121228],[4.84874801 3.85026724],[-0.80170046  0.70842725],[7.24291649 4.84290961],[-0.54317956  0.93234106],[3.22449234 5.74426575],[ 0.91876671 -0.83639686],[8.98447145 6.67195483],[ 0.37285163 -0.44106497],[10.09311405  1.02742372],[-0.05058135  1.04231009],[6.97276703 0.60685626],[-0.20573587 -0.0304238 ],[3.28410361 6.04408787],[-0.45560589  0.60754135]
[3.95920218 5.07462994],[ 0.84933196 -0.80532707],[2.53650637 7.66228459],[ 0.6541753  -1.18195597],[0.46277872 1.77365555],[-0.04407667  0.47582948],[4.76936934 3.92106198],[-0.78426039  0.70917268],[7.18648535 4.93475871],[-0.58592592  0.90362815],[3.31601115 5.66088615],[ 0.91374961 -0.82907981],[9.01796416 6.62329075],[ 0.29820991 -0.53030925],[10.08198987  1.13503233],[-0.1731416   1.10426282],[6.94882716 0.60848196],[-0.27384489  0.06428176],[3.23983434 6.10393243],[-0.42894472  0.59023928]
[4.04420942 4.99483869],[ 0.85006453 -0.7912316 ],[2.6024917  7.54483742],[ 0.66690427 -1.1656377 ],[0.4642599  1.82636597],[0.07354928 0.57691406],[4.69182028 3.99203762],[-0.76571525  0.71140889],[7.12588084 5.02367449],[-0.62492172  0.87538798],[3.4068294  5.57803732],[ 0.9046152  -0.82591093],[9.04381119 6.56576819],[ 0.2165097  -0.62125286],[10.05914812  1.24803747],[-0.28441214  1.14990845],[6.91785529 0.62001832],[-0.34661143  0.16719303],[3.19846278 6.16227147],[-0.39777321  0.57720422]
[4.12906978 4.91624614],[ 0.84680329 -0.78093123],[2.66969932 7.42898571],[ 0.67415016 -1.15427652],[0.4775976  1.88884371],[0.19556011 0.67333907],[4.61640135 4.06352724],[-0.74620263  0.71488971],[7.06145503 5.10967934],[-0.66113892  0.84660161],[3.49719999 5.49597591],[ 0.90399522 -0.81407984],[9.06106161 6.49911235],[ 0.1271925  -0.71153186],[10.02516551  1.3641506 ],[-0.39239934  1.17055088],[6.87917501 0.64192691],[-0.42528757  0.27365653],[3.16052226 6.21958377],[-0.36373869  0.56623164]
[4.21370285 4.8387949 ],[ 0.84339845 -0.77052272],[2.73723462 7.3139561 ],[ 0.67709454 -1.14554352],[0.50341054 1.96070372],[0.3201661  0.76147412],[4.54262399 4.13506121],[-0.7280314   0.71712879],[6.99333387 5.19257086],[-0.70082717  0.8111786 ],[3.58767831 5.41528424],[ 0.90513236 -0.80014078],[9.06899634 6.42357673],[ 0.02954135 -0.79909782],[9.98115183 1.48172804],[-0.48298547  1.18142397],[6.8328798  0.67496571],[-0.50058607  0.38687247],[3.1254124  6.27517984],[-0.3376051   0.54642463]
[4.29783403 4.76223482],[ 0.8416625  -0.75820243],[2.80526064 7.20004566],[ 0.68458805 -1.13142713],[0.54163862 2.04077077],[0.4443513  0.83804897],[4.47084835 4.20700592],[-0.70992022  0.71933996],[6.92187916 5.27240176],[-0.72908037  0.78409672],[3.67812414 5.33585721],[ 0.90270938 -0.78943305],[9.06736067 6.34011253],[-0.06521391 -0.87100227],[9.92877643 1.59981513],[-0.56490452  1.17618455],[6.77929007 0.71937962],[-0.56857014  0.50219981],[3.09310593 6.32892513],[-0.30975275  0.52706838]
