[1.39106101 4.20314774],[ 0.57037406 -0.91279109],[1.48383853 3.91460914],[ 0.73755185 -0.82777557],[6.06385019 4.88879646],[ 0.76057414 -0.69438577],[3.45552986 3.01037531],[0.40513421 1.21169685],[9.12740054 2.71191697],[-0.73576648 -0.6956765 ],[10.2316875   9.28365565],[ 0.45604319 -0.82903577],[5.28489141 8.20599942],[0.81626697 0.49989974],[8.16364686 3.97556181],[-0.63682582  1.06987403],[8.03163876 8.92599073],[-1.17465618 -0.56800137],[5.02510274 5.76332058],[-0.15739512  1.03957338]
[1.45296683 4.11413077],[ 0.66710726 -0.86648743],[1.5620581  3.83480359],[ 0.82291878 -0.77042584],[6.13950392 4.82039494],[ 0.75079439 -0.67583154],[3.49771721 3.1308187 ],[0.43899602 1.19782651],[9.04977949 2.64588225],[-0.81395199 -0.6227438 ],[10.27199683  9.19576691],[ 0.34905966 -0.9275134 ],[5.36764548 8.25288873],[0.83728098 0.43623222],[8.09876231 4.08143514],[-0.6580779   1.04997815],[7.91556341 8.86697162],[-1.14757426 -0.61238779],[5.01045848 5.86642323],[-0.13794039  1.02045837]
[1.52435363 4.03006699],[ 0.75917473 -0.81436898],[1.64848918 3.76095779],[ 0.90352581 -0.70677814],[6.21406961 4.75361269],[ 0.74102653 -0.65968486],[3.54347895 3.25008993],[0.47402162 1.18549783],[8.96438141 2.58707091],[-0.89262376 -0.55282786],[10.30124939  9.09841697],[ 0.23628104 -1.01653892],[5.45244062 8.29328555],[0.85885424 0.37185737],[8.03184194 4.18529769],[-0.67784125  1.02943736],[7.80214891 8.8036448 ],[-1.12027661 -0.65309265],[4.99786598 5.96781564],[-0.11367153  1.00774011]
[1.60458921 3.95142401],[ 0.84304343 -0.75899388],[1.7426747  3.69373818],[ 0.97727587 -0.63860918],[6.28764125 4.68833291],[ 0.73151635 -0.64507899],[3.59236813 3.36780493],[0.50294028 1.16824658],[8.87177474 2.53570588],[-0.96037602 -0.47635405],[10.31891722  8.99269375],[ 0.11915686 -1.09314798],[5.53929053 8.32709228],[0.87774429 0.30378728],[7.9631155  4.28717737],[-0.69640788  1.00820321],[7.6915184  8.73646912],[-1.09112631 -0.6885257 ],[4.98749134 6.0677519 ],[-0.09648883  0.98859269]
[1.69265731 3.87835148],[ 0.9181269  -0.70070946],[1.84365257 3.63330897],[ 1.03905939 -0.57150705],[6.36036284 4.62454437],[ 0.72547409 -0.62832139],[3.64354273 3.48330106],[0.52125899 1.14288463],[8.77289791 2.49220639],[-1.01680615 -0.39451082],[10.3249809   8.88022145],[ 1.42379676e-04 -1.15569716e+00],[5.62811443 8.35413535],[0.9011155  0.23959215],[7.89261574 4.38694315],[-0.70929519  0.99111188],[7.58372721 8.66584531],[-1.06504463 -0.72374934],[4.9788973 6.1658915],[-0.07717576  0.97255027]
[1.78789173 3.81133783],[ 0.98804723 -0.63616838],[1.95026339 3.57953391],[ 1.09110286 -0.50446798],[6.43267892 4.56258477],[ 0.72023203 -0.61163117],[3.69707641 3.59688772],[0.54700648 1.12658221],[8.66854302 2.45669224],[-1.06914981 -0.31623351],[10.31954897  8.76263064],[-0.1070537  -1.19269433],[5.71888558 8.37437721],[0.91682438 0.1678677 ],[7.82076579 4.4848552 ],[-0.72543486  0.96920423],[7.47855345 8.591847  ],[-1.03684499 -0.75405307],[4.97216461 6.26237752],[-0.05879184  0.95595228]
[1.88993869 3.75116628],[ 1.05116445 -0.56722672],[2.06190922 3.53274249],[ 1.14068916 -0.43095963],[6.50455778 4.5023492 ],[ 0.7148827  -0.59564916],[3.75301237 3.70872693],[0.57184212 1.11052826],[8.55980336 2.42942967],[-1.10539014 -0.23034506],[10.30350443  8.64193771],[-0.21340844 -1.21945114],[5.81135401 8.38761203],[0.92866692 0.09307031],[7.74799524 4.58119753],[-0.73007074  0.95727103],[7.37637956 8.51515488],[-1.00837886 -0.78103478],[4.96734739 6.35728601],[-0.03719264  0.94252721]
[1.99756604 3.69765861],[ 1.10224355 -0.50060271],[2.17799253 3.49320048],[ 1.17912981 -0.36051898],[6.57570611 4.44349187],[ 0.70835247 -0.58131887],[3.81131013 3.81888347],[0.5927721  1.09152889],[8.44768619 2.41056177],[-1.13701677 -0.14890717],[10.27717159  8.51928508],[-0.30993669 -1.22961468],[5.90492296 8.39332195],[0.94102767 0.0198297 ],[7.67413415 4.67565757],[-0.74810076  0.93091868],[7.27682482 8.43566553],[-0.98152838 -0.80709895],[4.96492679 6.45104121],[-0.01260369  0.93105149]
[2.11028782 3.65126155],[ 1.14806504 -0.43006144],[2.29740305 3.46050569],[ 1.2081212  -0.29357666],[6.64629857 4.3861506 ],[ 0.70534503 -0.56369513],[3.87179688 3.92729145],[0.61618486 1.07603645],[8.33278961 2.39970938],[-1.16066532 -0.06969148],[10.24167175  8.39626119],[-0.39594296 -1.22674402],[5.99952662 8.39161193],[ 0.95200516 -0.05241626],[7.59878769 4.76776977],[-0.75865144  0.91136119],[7.18024486 8.3539905 ],[-0.95236833 -0.82823237],[4.96459052 6.54323633],[0.00334669 0.91037469]
[2.22677526 3.61145894],[ 1.18135311 -0.36538848],[2.41905713 3.43403932],[ 1.22842137 -0.23162921],[6.71626941 4.33024631],[ 0.6951354  -0.55337695],[3.93435542 4.03392576],[0.63259354 1.05454069],[8.21565334 2.39635275],[-1.17859632  0.00410892],[10.19803405  8.27398119],[-0.47450751 -1.21689044],[6.09489518 8.38251847],[ 0.95419655 -0.12991796],[7.52202527 4.85752614],[-0.77545992  0.88481884],[7.08625071 8.26998677],[-0.92579356 -0.84968774],[4.9660484  6.63355924],[0.02558413 0.89570836]
