[8.09254258 2.83287916],[-3.86635024 -2.0191921 ],[5.35474431 9.47966055],[ 2.02950415 -0.55316385],[1.14552749 4.8050083 ],[-2.31146671  4.13753581],[0.63818114 0.22698582],[-4.7003927  -2.89525533],[8.60803947 4.5470967 ],[ 0.28973642 -4.88298035],[2.33881304 1.4264564 ],[-1.15674624  1.42959409],[2.70068618 4.831035  ],[-0.50944821  2.19093024],[7.66075488 5.03130229],[ 1.26774422 -2.19237638],[1.70636042 3.99340408],[-0.36445132  2.0348917 ],[7.32466492 8.15636102],[4.86092292 4.42087372]
[6.50754976 2.39443608],[-1.22371749  0.03858919],[6.44812619 8.58036389],[ 0.48896478 -1.12603519],[0.77627798 6.18930496],[0.26441452 0.90228399],[-0.45862505 -0.15488533],[-0.34045166  0.44091023],[8.22401697 3.06003125],[-0.80175646 -0.79265403],[1.83960154 2.72755912],[-0.0174227   1.18180357],[2.61544606 6.15569475],[0.19862064 0.92145157],[7.97030352 3.72990862],[-0.25990745 -0.95947927],[1.8249014  5.34823869],[0.46274769 0.97066502],[8.3294295  8.93148203],[0.38070774 0.0543053 ]
[6.38556449 2.4009754 ],[-1.21380912  0.0939494 ],[6.49284841 8.46550021],[ 0.40855467 -1.16724735],[0.80743071 6.27816026],[0.3562798  0.87211056],[-0.48734387 -0.10286842],[-0.23581836  0.59643535],[8.14058173 2.98426406],[-0.86960405 -0.72603609],[1.84100342 2.84574874],[0.0433456  1.18001066],[2.63739838 6.24628071],[0.24085202 0.89079701],[7.93987594 3.63518902],[-0.35144732 -0.93728468],[1.87403907 5.44374187],[0.52038476 0.94000729],[8.36393356 8.93150076],[ 0.31083529 -0.05301435]
[6.26453826 2.41287519],[-1.20294291  0.14723668],[6.53039823 8.3476167 ],[ 0.34265213 -1.18983101],[0.84750576 6.36361986],[0.44718355 0.83872981],[-0.50551238 -0.03564231],[-0.12881714  0.7446148 ],[8.05025326 2.91486211],[-0.93518739 -0.66106432],[1.84818962 2.9635187 ],[0.10457096 1.17946975],[2.663887   6.33410888],[0.28961001 0.86638732],[7.90029216 3.54285202],[-0.43844906 -0.90733246],[1.92862389 5.53591516],[0.57267592 0.90514339],[8.39105779 8.92023114],[ 0.23111017 -0.17333111]
[6.14474833 2.43011957],[-1.19194802  0.197873  ],[6.56108306 8.22736048],[ 0.27276995 -1.21286587],[0.89669696 6.44563578],[0.53456201 0.7993254 ],[-0.5122721   0.04632741],[-0.00797472  0.88979016],[7.9536671  2.85202275],[-0.99398396 -0.59422896],[1.86166359 3.08133757],[0.16480657 1.17684306],[2.69514536 6.41933893],[0.33799583 0.84055553],[7.85219438 3.4538111 ],[-0.52586786 -0.87553206],[1.98865615 5.62487302],[0.62556787 0.87184137],[8.41018237 8.89679155],[ 0.1502487  -0.29672183]
[6.02610321 2.45228754],[-1.17904336  0.24690441],[6.585147   8.10532173],[ 0.208783   -1.22730072],[0.95478222 6.52377484],[0.62474518 0.76094867],[-0.5068879   0.14177808],[0.11436072 1.01394427],[7.85163388 2.79602315],[-1.04651651 -0.5267884 ],[1.8808807 3.1986077],[0.21785279 1.16708494],[2.73115373 6.5018348 ],[0.38531949 0.81234845],[7.79521184 3.36792916],[-0.61115408 -0.83932386],[2.05402496 5.71060127],[0.68059848 0.84176641],[8.42055033 8.86033533],[ 0.05854223 -0.43061397]
[5.90859801 2.47903171],[-1.16945219  0.28874315],[6.60286553 7.98200302],[ 0.14480087 -1.23963893],[1.02156647 6.5977089 ],[0.70901789 0.71593466],[-0.48931394  0.24838173],[0.23203598 1.10924289],[7.74460545 2.74668957],[-1.09044049 -0.45755437],[1.90548375 3.31500834],[0.27302713 1.15995422],[2.77206181 6.58159533],[0.43317683 0.78301375],[7.73042385 3.28644098],[-0.68557608 -0.79148338],[2.12441576 5.79290623],[0.72770309 0.80518444],[8.42140404 8.81030121],[-0.04364274 -0.57118115]
[5.79240883 2.5101185 ],[-1.1537999   0.33302113],[6.61423383 7.85760868],[ 0.08319835 -1.24737455],[1.09638245 6.66676931],[0.78986415 0.66821579],[-0.46064411  0.36279539],[0.34076986 1.17540725],[7.63355328 2.70430119],[-1.12840659 -0.38928525],[1.93546478 3.43056038],[0.3216381  1.14637072],[2.81787677 6.65845664],[0.48235669 0.75325372],[7.65807189 3.20961786],[-0.76133181 -0.74506347],[2.19918875 5.87131323],[0.76931886 0.76491669],[8.41183243 8.74638582],[-0.14882413 -0.70636213]
[5.67787775 2.54557329],[-1.13628768  0.37614939],[6.61931367 7.73241105],[ 0.02012062 -1.25453247],[1.17916957 6.73105158],[0.86645266 0.61872145],[-0.42155661  0.48254706],[0.43911305 1.21589101],[7.51907999 2.66874614],[-1.1582463  -0.32031604],[1.96994202 3.54447649],[0.36752453 1.1318294 ],[2.86855867 6.73220586],[0.52922302 0.71945833],[7.57858339 3.13782848],[-0.83092966 -0.69363189],[2.27808576 5.94575332],[0.80786288 0.72354542],[8.39124851 8.66907594],[-0.26286677 -0.83725401]
[5.56492334 2.58499904],[-1.12011334  0.41455945],[6.61847352 7.60694681],[-0.03910787 -1.25685238],[1.2692536  6.79022633],[0.93333079 0.56380093],[-0.37337587  0.60511577],[0.52343145 1.23362853],[7.40184181 2.63993313],[-1.18414594 -0.25497123],[2.0089786  3.65696416],[0.41303573 1.11792475],[2.92385169 6.80242056],[0.57734481 0.68536173],[7.49242488 3.0713651 ],[-0.89241967 -0.63642164],[2.36031241 6.01563099],[0.8390621 0.6767832],[8.35967923 8.57989635],[-0.3689323  -0.94392526]
[5.45371644 2.6282434 ],[-1.09898096  0.45485367],[6.61162197 7.48123207],[-0.0979155  -1.25724164],[1.36535569 6.84349158],[0.9900791  0.50404024],[-0.31755369  0.72847597],[0.58985437 1.23051047],[7.28253509 2.6178081 ],[-1.20241081 -0.18927951],[2.05246501 3.76800165],[0.45666634 1.10303139],[2.98385628 6.86904866],[0.62300345 0.6473113 ],[7.4006518  3.01100858],[-0.94287905 -0.57118554],[2.44604018 6.08132084],[0.8727178  0.63468252],[8.31779796 8.48118018],[-0.46403373 -1.02321663]
