[8.09254258 2.83287916],[-3.86635024 -2.0191921 ],[5.35474431 9.47966055],[ 2.02950415 -0.55316385],[1.14552749 4.8050083 ],[-2.31146671  4.13753581],[0.63818114 0.22698582],[-4.7003927  -2.89525533],[8.60803947 4.5470967 ],[ 0.28973642 -4.88298035],[2.33881304 1.4264564 ],[-1.15674624  1.42959409],[2.70068618 4.831035  ],[-0.50944821  2.19093024],[7.66075488 5.03130229],[ 1.26774422 -2.19237638],[1.70636042 3.99340408],[-0.36445132  2.0348917 ],[7.32466492 8.15636102],[4.86092292 4.42087372]
[3.65023133 4.14831823],[-0.58331413  0.90335999],[5.65595314 5.18516358],[-0.6875088  -0.89338916],[3.74375616 6.71458182],[ 1.04337468 -0.4809751 ],[1.52704947 2.93017439],[0.97061163 0.88435211],[4.88349988 3.27159377],[-0.96217802  0.6573408 ],[3.55361271 5.59664359],[0.86883454 0.6307673 ],[4.89466048 7.12885369],[ 0.94053421 -0.43869549],[5.03829225 3.06246544],[-1.04330068  0.50657365],[4.59368991 6.50165567],[ 1.01579737 -0.20289032],[6.60657458 6.38692546],[-0.92934288 -0.83007109]
[3.59337    4.23916691],[-0.55452324  0.9128315 ],[5.58660812 5.09693438],[-0.6970104  -0.86901122],[3.84719064 6.66519144],[ 1.02539238 -0.50639088],[1.62423647 3.018157  ],[0.9731012  0.87544714],[4.78826803 3.33824772],[-0.94078325  0.67710547],[3.6409577  5.65867048],[0.8768247  0.60868606],[4.98765754 7.08258453],[ 0.91993074 -0.48543671],[4.9348505  3.11459871],[-1.02549785  0.53559702],[4.69472354 6.47976297],[ 1.00596871 -0.23347211],[6.51346203 6.30457188],[-0.93419707 -0.81846994]
[3.53952817 4.33104235],[-0.52598053  0.92083111],[5.51605761 5.0108484 ],[-0.71054802 -0.84941702],[3.94905581 6.6136091 ],[ 1.00885771 -0.52787537],[1.72160355 3.10522736],[0.97410184 0.86596522],[4.69524122 3.40686295],[-0.91812575  0.69660329],[3.72887358 5.7182933 ],[0.88127092 0.58363564],[5.07883201 7.03211148],[ 0.90141932 -0.52537666],[4.83359673 3.16990211],[-0.99811312  0.5716435 ],[4.79449965 6.45464893],[ 0.98846312 -0.26974128],[6.41987278 6.22333473],[-0.9373756  -0.80622289]
[3.48825857 4.42339577],[-0.50035445  0.92519897],[5.44429641 4.92683131],[-0.71986764 -0.82626255],[4.04928547 6.56000727],[ 0.99499326 -0.54454906],[1.81873198 3.19104713],[0.96927797 0.85134507],[4.60473194 3.47761493],[-0.89106015  0.71924508],[3.81731242 5.7755136 ],[0.88599214 0.55939347],[5.16770596 6.97740675],[ 0.87867801 -0.56537101],[4.73509807 3.22874061],[-0.97476326  0.6017909 ],[4.89273633 6.4261905 ],[ 0.97564593 -0.29967075],[6.32639455 6.14371133],[-0.93295314 -0.78711882]
[3.43937999 4.51598615],[-0.4760984   0.92763763],[5.37166379 4.84515438],[-0.72981556 -0.8044313 ],[4.14757619 6.50426929],[ 0.97549352 -0.56529167],[1.91566703 3.27572606],[0.96911109 0.8420241 ],[4.51687282 3.55051481],[-0.86671993  0.7379274 ],[3.9064712  5.83058994],[0.8959504  0.54112394],[5.25430277 6.91891012],[ 0.85402249 -0.60311856],[4.63875108 3.29027416],[-0.94940433  0.63131564],[4.98979033 6.39495532],[ 0.96261548 -0.32740416],[6.23348989 6.06610706],[-0.92925705 -0.76920462]
[3.39351455 4.60934373],[-0.44819836  0.93238977],[5.29818549 4.76577949],[-0.73974666 -0.78317915],[4.244026  6.4466484],[ 0.95535083 -0.58507218],[2.01262636 3.35954844],[0.96607434 0.8305227 ],[4.43172422 3.62549461],[-0.83941045  0.75831296],[3.99618581 5.88343504],[0.89904768 0.51660649],[5.33826201 6.8566598 ],[ 0.8266013  -0.63985512],[4.54488968 3.35460542],[-0.92848497  0.65424635],[5.08523084 6.36072566],[ 0.94948889 -0.35346346],[6.14054435 5.98984672],[-0.92908327 -0.75554888]
[3.35028253 4.70298498],[-0.41591533  0.94071615],[5.22357788 4.68836868],[-0.75273548 -0.76547749],[4.33870966 6.38737504],[ 0.93675344 -0.60174627],[2.10931744 3.44228059],[0.96611669 0.82260811],[4.34879719 3.70193485],[-0.81446371  0.77495729],[4.08639799 5.93404661],[0.90303245 0.49356748],[5.41946218 6.79090067],[ 0.79491822 -0.67724796],[4.45326962 3.42126241],[-0.90437267  0.67810968],[5.17929414 6.32394526],[ 0.92938628 -0.38428256],[6.04776466 5.91507134],[-0.92956655 -0.74314733]
[3.31065484 4.79773644],[-0.37891238  0.95168543],[5.1481082  4.61314094],[-0.75834852 -0.74087494],[4.43152399 6.32649042],[ 0.91828435 -0.61696701],[2.2058041  3.52403835],[0.96417219 0.8132042 ],[4.26850998 3.78012325],[-0.79141329  0.78847867],[4.17693685 5.98230499],[0.90695648 0.47090097],[5.49735412 6.7214288 ],[ 0.76064263 -0.71391595],[4.3642482  3.49039733],[-0.87512747  0.70523878],[5.27112653 6.28391573],[ 0.9076203 -0.4156814],[5.95465378 5.8412082 ],[-0.93175862 -0.73334375]
[3.2740816  4.89286918],[-0.35304379  0.95040441],[5.07195226 4.5402264 ],[-0.76475109 -0.71749172],[4.52204489 6.26368483],[ 0.89548832 -0.63561624],[2.30222207 3.6050085 ],[0.96444313 0.80655226],[4.19079053 3.85986503],[-0.76415732  0.80498609],[4.2677791  6.02823127],[0.90757423 0.44536418],[5.57157648 6.64821246],[ 0.72540581 -0.7482576 ],[4.27815524 3.56216397],[-0.84386725  0.73269633],[5.3608497  6.24088663],[ 0.88804787 -0.44340601],[5.86147519 5.76844205],[-0.9320038  -0.72232165]
[3.24032334 4.98806709],[-0.32130596  0.95417087],[4.99516301 4.46963889],[-0.77244679 -0.69576877],[4.610705   6.19949517],[ 0.87559155 -0.65011549],[2.39877817 3.68545609],[0.96323721 0.79904951],[4.11570567 3.94110637],[-0.73906734  0.81813495],[4.35904027 6.07198927],[0.91383445 0.42609585],[5.64257377 6.57202387],[ 0.69387022 -0.77566896],[4.19519791 3.63660319],[-0.81531058  0.75576405],[5.44838947 6.19493991],[ 0.86227516 -0.47576885],[5.7684955  5.69696915],[-0.92775679 -0.70734658]
[3.20977637 5.08361196],[-0.28727762  0.95879429],[4.91792495 4.40152946],[-0.77409625 -0.66826489],[4.69732803 6.13386157],[ 0.85410551 -0.66515968],[2.49514826 3.76511025],[0.95956196 0.78949638],[4.04318017 4.02365545],[-0.71422891  0.82988399],[4.45079555 6.11372761],[0.91850582 0.4060371 ],[5.7099559  6.49279021],[ 0.65319762 -0.80904522],[4.11528523 3.71344893],[-0.78355428  0.78025129],[5.53354148 6.14601673],[ 0.84316059 -0.49996189],[5.67577767 5.62680802],[-0.92538721 -0.69473697]
[3.18251935 5.17942673],[-0.25689343  0.95830413],[4.84011747 4.33575355],[-0.78113352 -0.64640066],[4.78151444 6.06647816],[ 0.82865347 -0.68335118],[2.59087047 3.84353655],[0.95455272 0.77873067],[3.97290339 4.10709329],[-0.69079846  0.83924023],[4.542754   6.15322119],[0.91864338 0.38192548],[5.77311367 6.41022737],[ 0.61027007 -0.84136092],[4.03809206 3.79219902],[-0.76197686  0.79281331],[5.61680723 6.09480548],[ 0.81959725 -0.5265286 ],[5.58324742 5.55783269],[-0.92429651 -0.68394315]
[3.15829124 5.27513096],[-0.22650322  0.95679585],[4.76193719 4.27248709],[-0.78509771 -0.62159959],[4.86325187 5.99741502],[ 0.80680127 -0.69704994],[2.68625044 3.92105752],[0.95385389 0.77255862],[3.90508082 4.1915262 ],[-0.66704463  0.84790228],[4.63473814 6.19032814],[0.92083119 0.36014612],[5.83233895 6.3249495 ],[ 0.57310939 -0.86484279],[3.96338448 3.87245129],[-0.73496459  0.80919361],[5.69737531 6.040672  ],[ 0.7916096  -0.55605167],[5.49123921 5.4903332 ],[-0.91899966 -0.66921739]
[3.13713948 5.37066706],[-0.19448087  0.95578988],[4.68311651 4.21144641],[-0.7909893  -0.59895049],[4.94267666 5.92690417],[ 0.78334828 -0.71136639],[2.78157145 3.99799486],[0.95051297 0.76418544],[3.8396378  4.27678422],[-0.64184216  0.85706627],[4.72680953 6.22515248],[0.91774905 0.3335177 ],[5.88797309 6.23758573],[ 0.53945074 -0.88219672],[3.8915017  3.95438779],[-0.70249057  0.82947337],[5.775311   5.98383457],[ 0.76600708 -0.58150206],[5.39938138 5.42389926],[-0.91560791 -0.65695857]
[3.11920516 5.46604752],[-0.16279461  0.95309012],[4.60384906 4.15280601],[-0.79432878 -0.57386487],[5.02004076 5.85529596],[ 0.76648625 -0.71807634],[2.87649195 4.07403776],[0.94852415 0.75737488],[3.77657894 4.36277645],[-0.61862693  0.8633453 ],[4.81847114 6.25720063],[0.91332788 0.30528168],[5.93988824 6.14826009],[ 0.49982342 -0.90294311],[3.82250486 4.03791378],[-0.6768876   0.84139317],[5.85062258 5.92447826],[ 0.74112172 -0.60443363],[5.30748551 5.35828273],[-0.91985995 -0.65307003]
[3.10459742 5.56124139],[-0.12888125  0.95109602],[4.52411145 4.09653438],[-0.80177514 -0.55300526],[5.09582655 5.78317631],[ 0.74760617 -0.72580407],[2.97113842 4.14933888],[0.94616237 0.75046848],[3.71637608 4.4498714 ],[-0.58861888  0.87521901],[4.90976725 6.28648362],[0.91392725 0.28187728],[5.98776085 6.05691468],[ 0.4586843  -0.92247111],[3.75608807 4.12258634],[-0.65105059  0.85225848],[5.92335916 5.86283541],[ 0.71358223 -0.62814658],[5.21561686 5.2934702 ],[-0.91774693 -0.64350674]
[3.09324993 5.65603257],[-0.09813202  0.94456849],[4.44364792 4.04235017],[-0.80705879 -0.53028224],[5.16965849 5.71026146],[ 0.72852356 -0.73287337],[3.06550557 4.22392101],[0.93975502 0.73977815],[3.65902175 4.53794528],[-0.55894974  0.88558049],[5.00132211 6.31366769],[0.91522806 0.25999142],[6.0316689  5.96389192],[ 0.42032039 -0.93678156],[3.69246912 4.20849271],[-0.6250319   0.86197329],[5.99307575 5.79864649],[ 0.6822242  -0.65385865],[5.12424716 5.22988286],[-0.90839045 -0.62699987]
[3.08500658 5.75014302],[-0.06717761  0.93712365],[4.36288567 3.99066622],[-0.80841781 -0.50365131],[5.24145804 5.63655688],[ 0.70714116 -0.74142368],[3.15920064 4.29740257],[0.93546674 0.73119394],[3.6044105  4.62677886],[-0.52982582  0.89435233],[5.0926462  6.33831356],[0.91156702 0.23330161],[6.07195317 5.8697481 ],[ 0.38593249 -0.94527246],[3.6312188  4.29508963],[-0.59599758  0.87371599],[6.05981349 5.73213777],[ 0.652458   -0.67607323],[5.03392316 5.16806461],[-0.89914308 -0.61042397]
[3.08013869 5.84371918],[-0.03136979  0.93290133],[4.28185371 3.94151192],[-0.81042005 -0.4776509 ],[5.31099051 5.56190914],[ 0.6840718  -0.75084228],[3.25267539 4.37024632],[0.93591515 0.72762909],[3.55261943 4.71634109],[-0.50311404  0.89961502],[5.18368133 6.36037532],[0.9113548  0.21019366],[6.10871792 5.77475509],[ 0.35043024 -0.95326146],[3.57301449 4.38292995],[-0.56742006  0.8835774 ],[6.12327193 5.6632037 ],[ 0.61554289 -0.70344277],[4.94416767 5.107542  ],[-0.89983166 -0.60401201]
[3.07896017 5.93687835],[0.00602108 0.92816587],[4.20070366 3.89504819],[-0.81394271 -0.45302228],[5.3782135  5.48635856],[ 0.66238281 -0.75805555],[3.34577117 4.44232056],[0.92890947 0.71677589],[3.50361628 4.80649359],[-0.47555122  0.90468132],[5.27482345 6.38029611],[0.90861829 0.18540761],[6.1418885  5.67900329],[ 0.31407911 -0.96045243],[3.51795928 4.47197489],[-0.53551989  0.89528646],[6.18298862 5.59159108],[ 0.58023449 -0.72702019],[4.85453203 5.0478124 ],[-0.89365673 -0.59137226]
[3.08174704 6.02967151],[0.04877812 0.92634105],[4.11935059 3.85119892],[-0.81214375 -0.42299421],[5.44348406 5.41034011],[ 0.64222136 -0.76301337],[3.43854124 4.51369216],[0.92843299 0.71264703],[3.45758558 4.89730822],[-0.44633034  0.91016735],[5.36537118 6.39741067],[0.90321671 0.1577871 ],[6.17140363 5.58259105],[ 0.27647646 -0.96720992],[3.46561219 4.56165531],[-0.5101976   0.89942536],[6.23927101 5.51782647],[ 0.54618707 -0.74715024],[4.7657855  4.98961915],[-0.88488117 -0.57608871]
[3.08859226 6.12193632],[0.08994002 0.92045387],[4.03823841 3.81043527],[-0.8099587  -0.39206603],[5.50630399 5.3334341 ],[ 0.61634186 -0.77280968],[3.53108925 4.58449277],[0.92146209 0.70228597],[3.41422913 4.98837764],[-0.42019104  0.91172084],[5.45516607 6.41152794],[0.89577384 0.12777529],[6.19699515 5.48543629],[ 0.23373392 -0.97708045],[3.41611347 4.65201173],[-0.4789723   0.90832629],[6.29230954 5.4423144 ],[ 0.51310381 -0.76422097],[4.67762764 4.9326571 ],[-0.8782122  -0.56313823]
[3.09978786 6.21370817],[0.13177591 0.91242116],[3.95705543 3.77249051],[-0.81113816 -0.36427668],[5.56690845 5.25596101],[ 0.59417181 -0.7781152 ],[3.6227697  4.65407545],[0.9132621  0.69049289],[3.37327911 5.07936643],[-0.3961722   0.91059245],[5.54431914 6.42274714],[0.88809327 0.09744134],[6.21832715 5.38743394],[ 0.19188373 -0.98362188],[3.36985308 4.74329835],[-0.44844943  0.91499334],[6.34187368 5.36503959],[ 0.47828505 -0.78083241],[4.58988075 4.87671789],[-0.87710676 -0.5561492 ]
[3.11504725 6.30444067],[0.17158711 0.90013924],[3.87586309 3.73744783],[-0.81180744 -0.33570175],[5.62529299 5.1779962 ],[ 0.57535992 -0.77928801],[3.71405589 4.72290976],[0.9105996  0.68436398],[3.33517083 5.17062924],[-0.36635781  0.91409023],[5.63298912 6.43122902],[0.88270993 0.06967521],[6.23545646 5.28886991],[ 0.14898891 -0.98903519],[3.32656369 4.83511165],[-0.41757655  0.92085979],[6.38795355 5.28620869],[ 0.44301855 -0.79571807],[4.50236679 4.8215676 ],[-0.87164247 -0.54538456]
[3.13423623 6.39379086],[0.21096198 0.88542494],[3.79456627 3.70523012],[-0.81379289 -0.30830029],[5.68170375 5.09985142],[ 0.55373161 -0.78262268],[3.80486954 4.79093022],[0.90310442 0.67346779],[3.30026642 5.26238609],[-0.33403275  0.91849989],[5.72065458 6.43646019],[0.86882211 0.03299481],[6.24807582 5.18966809],[ 0.10328936 -0.99465592],[3.28647137 4.92755022],[-0.38549819  0.92651484],[6.43036857 5.20586237],[ 0.40468458 -0.81138972],[4.41565291 4.7677451 ],[-0.86590416 -0.53441948]
[3.15738601 6.48159516],[0.25026194 0.86857247],[3.71324024 3.67593081],[-0.81389813 -0.27884023],[5.73572138 5.02118645],[ 0.52959356 -0.78757616],[3.89528136 4.85820853],[0.90408472 0.67115828],[3.26830042 5.35422269],[-0.30801086  0.91546504],[5.80733499 6.43839677],[0.86565344 0.00677549],[6.25657805 5.09045744],[ 0.06633427 -0.9898667 ],[3.24943945 5.02035344],[-0.35068445  0.93369086],[6.4689948  5.12411212],[ 0.36643852 -0.82463725],[4.32941051 4.7148945 ],[-0.85815716 -0.52183675]
[3.18421552 6.56737489],[0.2887039 0.849137 ],[3.63210191 3.6497914 ],[-0.80826269 -0.24326001],[5.78735711 4.94210121],[ 0.50437266 -0.79273135],[3.98534089 4.92481817],[0.89943169 0.66335943],[3.23918106 5.44595985],[-0.27498042  0.91837557],[5.89379946 6.43786391],[ 0.86169482 -0.01916635],[6.26149696 4.99187972],[ 0.03199456 -0.98174373],[3.21575256 5.11365363],[-0.32054241  0.93464733],[6.50352181 5.04089161],[ 0.32625269 -0.83720545],[4.24419803 4.66356085],[-0.84679854 -0.50552587]
[3.21519251 6.65139976],[0.33118169 0.83134768],[3.55138883 3.62710643],[-0.80670536 -0.21113455],[5.83668009 4.86275409],[ 0.481215   -0.79500106],[4.0749638  4.99067946],[0.89293817 0.65379889],[3.21299489 5.53755083],[-0.24677797  0.91530686],[5.97937187 6.43426366],[ 0.85133564 -0.05127625],[6.26282268 4.89398598],[-0.00573448 -0.97609314],[3.18522334 5.20712815],[-0.29167213  0.93308864],[6.53404123 4.95654908],[ 0.2849141  -0.84848089],[4.15970809 4.61344183],[-0.842407   -0.49635357]
[3.25032851 6.73343507],[0.37073401 0.80824992],[3.47085997 3.60767495],[-0.80418068 -0.17777418],[5.88355732 4.78309445],[ 0.45737397 -0.79701285],[4.16387902 5.05552488],[0.88281751 0.64048533],[3.19017748 5.62930083],[-0.21308652  0.91590828],[6.06383984 6.42738629],[ 0.8378177  -0.08644182],[6.26010623 4.79647966],[-0.04623215 -0.97144   ],[3.15773753 5.30055188],[-0.25958582  0.93365824],[6.56060911 4.87137738],[ 0.24584278 -0.85516916],[4.07589701 4.56446274],[-0.83299313 -0.48239033]
[3.28934484 6.81297829],[0.4088291  0.78158961],[3.39080988 3.59183283],[-0.80073066 -0.14295088],[5.92818397 4.70340522],[ 0.43272031 -0.79905642],[4.25172303 5.11895883],[0.87436917 0.62843984],[3.17068998 5.72099165],[-0.17844043  0.9157912 ],[6.14715389 6.41720121],[ 0.82430391 -0.12135891],[6.25361273 4.69977486],[-0.08634607 -0.96513717],[3.13350623 5.39401387],[-0.22418103  0.93611515],[6.58285685 4.78525772],[ 0.19844731 -0.86744469],[3.99324811 4.51711195],[-0.82230303 -0.46694171]
[3.33243135 6.89000701],[0.45327972 0.75897104],[3.31116234 3.57954325],[-0.7940854  -0.10460147],[5.97030648 4.62352507],[ 0.40955469 -0.79861064],[4.33914544 5.18160885],[0.8746803  0.62522153],[3.15462511 5.81253199],[-0.14672234  0.91100177],[6.22880454 6.40320309],[ 0.80892886 -0.15833087],[6.24282266 4.60352467],[-0.12929794 -0.95948555],[3.11305018 5.48785084],[-0.18429923  0.94086135],[6.6001539 4.6978668],[ 0.1462353  -0.88102328],[3.91132457 4.47095241],[-0.81303766 -0.45311953]
[3.37968496 6.96437027],[0.49142045 0.727646  ],[3.23185745 3.57078006],[-0.79248536 -0.0711835 ],[6.00989688 4.5435242 ],[ 0.38362389 -0.79989424],[4.42608829 5.24343469],[0.86490453 0.61194073],[3.14159592 5.9034036 ],[-0.11192731  0.90814043],[6.30880403 6.38540373],[ 0.79165391 -0.19706887],[6.22775449 4.50795948],[-0.17218762 -0.95174273],[3.09636403 5.58183207],[-0.14946499  0.93853075],[6.61291107 4.60994868],[ 0.10416246 -0.88169987],[3.83045571 4.42630971],[-0.8034956  -0.43893203]
[3.43125302 7.0359847 ],[0.53512854 0.69949119],[3.15269934 3.56533038],[-0.78966527 -0.03687023],[6.04734977 4.46388774],[ 0.36491869 -0.79328501],[4.51230921 5.30417473],[0.85983284 0.60319867],[3.13219034 5.99402953],[-0.07593188  0.90439014],[6.38738101 6.36406025],[ 0.77529536 -0.23417878],[6.20826966 4.41314544],[-0.21577846 -0.94254171],[3.08337826 5.67570937],[-0.10938781  0.93957735],[6.62080733 4.52145935],[ 0.05250212 -0.88878221],[3.75088512 4.38344149],[-0.79240285 -0.42289158]
[3.48685402 7.10433457],[0.57653932 0.66685272],[3.07377957 3.56325071],[-0.78918719 -0.00533074],[6.08230442 4.3843299 ],[ 0.33688235 -0.79493743],[4.59781641 5.36382915],[0.85081293 0.59034306],[3.12641391 6.08420869],[-0.04005209  0.89849104],[6.46420835 6.33892562],[ 0.7596496  -0.26990858],[6.18469863 4.31960967],[-0.25405904 -0.92651829],[3.07424837 5.769435  ],[-0.0719702   0.93590953],[6.623656   4.43255557],[ 0.0048258  -0.88857001],[3.67221863 4.34196892],[-0.77999448 -0.40559362]
[3.54662353 7.1693395 ],[0.61565414 0.62979141],[2.99583156 3.56524334],[-0.7709228  0.0442182],[6.1144156  4.30463744],[ 0.30728075 -0.7967535 ],[4.68269061 5.42245735],[0.84855545 0.58413517],[3.12431996 6.1737885 ],[-0.00450984  0.89017768],[6.53922539 6.31002049],[ 0.74058457 -0.30809766],[6.15692457 4.22736813],[-0.30229187 -0.91875406],[3.06892431 5.86276144],[-0.03533955  0.92954032],[6.62133779 4.34343232],[-0.04923625 -0.89136202],[3.59450654 4.30194324],[-0.77396698 -0.39469999]
[3.61042458 7.23066096],[0.66035347 0.59640491],[2.91922068 3.57173378],[-0.76127731  0.0855513 ],[6.14357781 4.2248467 ],[ 0.27609494 -0.79864642],[4.76716004 5.4802899 ],[0.84298796 0.5746723 ],[3.12564469 6.26231856],[0.03027704 0.87944338],[6.61216148 6.27717621],[ 0.71924704 -0.34747662],[6.12488874 4.13657113],[-0.33660034 -0.89535625],[3.06758084 5.95566793],[0.00759274 0.92729263],[6.61394586 4.25452305],[-0.09783963 -0.88561675],[3.51765079 4.26325107],[-0.76427055 -0.38026969]
[3.67844482 7.28830764],[0.70460001 0.5609341 ],[2.84354318 3.58230852],[-0.75103672  0.12706936],[6.17003579 4.1453462 ],[ 0.2479448  -0.79627331],[4.85089168 5.53698939],[0.83155873 0.55914642],[3.1306208  6.34984987],[0.0694709  0.87104724],[6.68274214 6.24023402],[ 0.69282536 -0.39066319],[6.08910523 4.04783452],[-0.37988731 -0.87994773],[3.07024437 6.0479509 ],[0.04632811 0.91869777],[6.60155719 4.16619312],[-0.14831857 -0.87887685],[3.44144688 4.22567435],[-0.76202959 -0.37362485]
[3.75074634 7.34220271],[0.74447965 0.51993367],[2.76960831 3.59775271],[-0.73013779  0.17933232],[6.19325298 4.0657473 ],[ 0.21730462 -0.79454604],[4.93379938 5.59243766],[0.82623947 0.54944997],[3.13922581 6.43614331],[0.10609948 0.85803447],[6.75075566 6.19912489],[ 0.66410434 -0.4345644 ],[6.04934262 3.96106247],[-0.41572129 -0.85574393],[3.07689468 6.13938545],[0.08854245 0.91148694],[6.58421706 4.07877244],[-0.1989436  -0.86955693],[3.36552259 4.18878061],[-0.75731989 -0.36521408]
[3.82716305 7.39208834],[0.783123   0.47705292],[2.69742401 3.61807039],[-0.71168923  0.22875522],[6.21340409 3.98640129],[ 0.1878081  -0.79004305],[5.01620145 5.64693822],[0.82330571 0.54209326],[3.15171767 6.52124028],[0.14512728 0.84496485],[6.81566929 6.15348322],[ 0.63329284 -0.47875917],[6.00569768 3.87646902],[-0.45678754 -0.83555498],[3.08797626 6.23017296],[0.13180045 0.90255553],[6.5615092  3.99213711],[-0.25404908 -0.86149127],[3.29022577 4.1528577 ],[-0.74541861 -0.35005382]
[3.90722255 7.4374456 ],[0.81714619 0.42921701],[2.62741227 3.64362956],[-0.68647515  0.28436775],[6.23061471 3.90758801],[ 0.15553452 -0.7868055 ],[5.09826623 5.70066493],[0.81853882 0.53298729],[3.16844204 6.60522326],[0.18986442 0.83469022],[6.87752164 6.10355648],[ 0.60499836 -0.51808468],[5.95812327 3.79413639],[-0.49805509 -0.81431878],[3.10323192 6.31979717],[0.17335202 0.88964646],[6.53336038 3.90654039],[-0.30740564 -0.8485281 ],[3.21645428 4.11880165],[-0.73259982 -0.33365321]
[3.99024279 7.47756177],[0.84602955 0.37588163],[2.56001609 3.67480531],[-0.6618191   0.33851384],[6.24430263 3.82891009],[ 0.11727942 -0.78733525],[5.17980091 5.75342769],[0.81133791 0.52138374],[3.18968633 6.68805773],[0.23230748 0.81890136],[6.93661895 6.04991029],[ 0.57634867 -0.55494301],[5.90624957 3.71382503],[-0.53943965 -0.79174858],[3.12281539 6.40817891],[0.21710043 0.87644644],[6.50010474 3.82259812],[-0.35805304 -0.83028289],[3.14368053 4.08609584],[-0.72266332 -0.32028128]
[4.076538   7.51275307],[0.87842982 0.32674517],[2.49503135 3.71125597],[-0.63387577  0.39413067],[6.25423892 3.75037795],[ 0.08099521 -0.78342569],[5.2609237  5.80533364],[0.81119771 0.51686448],[3.21509554 6.76910166],[0.27591159 0.80154485],[6.99240688 5.99228527],[ 0.53703429 -0.59938338],[5.85035106 3.63594495],[-0.57323314 -0.7605014 ],[3.1464977 6.494859 ],[0.26090309 0.86114921],[6.46206523 3.74087298],[-0.4067023  -0.80789598],[3.07212694 4.05495387],[-0.70861925 -0.30278609]
[4.16555446 7.54255452],[0.90260503 0.270226  ],[2.43290493 3.75322299],[-0.60817218  0.44518425],[6.26031097 3.67212851],[ 0.0400466  -0.78158601],[5.34145213 5.85620616],[0.80076663 0.50194022],[3.24508541 6.84847234],[0.3253242  0.78679845],[7.04436856 5.93049203],[ 0.50058459 -0.6374931 ],[5.79135915 3.5615018 ],[-0.60778743 -0.72949721],[3.17436209 6.5796865 ],[0.2968627  0.83570112],[6.41862791 3.66098162],[-0.46202605 -0.78953552],[3.00167559 4.02525406],[-0.69829339 -0.28911395]
[4.25680438 7.56656948],[0.92158673 0.20953741],[2.37377936 3.80057655],[-0.57525699  0.50038533],[6.26242456 3.59433458],[ 0.00164177 -0.77449982],[5.42128588 5.90592087],[0.79728284 0.49376144],[3.28008942 6.92626444],[0.37411277 0.76787992],[7.09241336 5.86480385],[ 0.45889138 -0.67701636],[5.72915535 3.4904355 ],[-0.63719281 -0.69270235],[3.20625627 6.6623025 ],[0.34009145 0.81535632],[6.36988457 3.58327563],[-0.5113284  -0.76283275],[2.93232265 3.99698088],[-0.68584297 -0.27345271]
[4.34977007 7.58438174],[0.93979124 0.1491958 ],[2.31791684 3.8532408 ],[-0.54088143  0.55331799],[6.26072345 3.51740225],[-0.03646985 -0.76457034],[5.50072302 5.95477269],[0.79247971 0.48429556],[3.31978123 7.00181195],[0.41979256 0.74273408],[7.13608113 5.79516503],[ 0.41250062 -0.71695942],[5.66376817 3.4228362 ],[-0.67006597 -0.65876479],[3.24246049 6.74274634],[0.38386457 0.79302242],[6.31630154 3.50841949],[-0.56126509 -0.73501245],[2.86446982 3.97053499],[-0.67169625 -0.25593621]
[4.44459024 7.59630763],[0.95634093 0.08958951],[2.26607891 3.91156978],[-0.49591897  0.61239624],[6.25495447 3.44134404],[-0.07924304 -0.75641492],[5.57948363 6.00247545],[0.782568   0.46953433],[3.36425377 7.07490451],[0.46791024 0.71693403],[7.17484172 5.72150129],[ 0.36168321 -0.75650146],[5.59518897 3.3587543 ],[-0.70328942 -0.6246346 ],[3.28292811 6.82071731],[0.42618894 0.76674762],[6.25788307 3.43658503],[-0.60659844 -0.7010394 ],[2.79798216 3.94579192],[-0.65649826 -0.23733936]
[4.54091543 7.60226676],[0.97044805 0.03047696],[2.21860742 3.97542155],[-0.45485839  0.66235619],[6.24461746 3.36598233],[-0.12775409 -0.75053111],[5.65717607 6.04859735],[0.77499911 0.45660616],[3.41320129 7.14493528],[0.51317566 0.68545709],[7.20854383 5.64416104],[ 0.31194323 -0.78987713],[5.5234369  3.29825535],[-0.73097358 -0.58457387],[3.32763066 6.89594146],[0.47088294 0.74036919],[6.19491887 3.36819659],[-0.65374297 -0.66769058],[2.73298015 3.92288   ],[-0.64074803 -0.21809541]
[4.63849996 7.60234261],[ 0.97968252 -0.02983005],[2.17559974 4.04434242],[-0.40506798  0.7152449 ],[6.22976928 3.29172061],[-0.17146318 -0.73644384],[5.73473677 6.09406302],[0.77182747 0.4482989 ],[3.46708101 7.21208161],[0.56616272 0.65881725],[7.23720569 5.56367029],[ 0.26078991 -0.81959121],[5.44911867 3.24198595],[-0.75387885 -0.53928926],[3.37664226 6.968236  ],[0.50995499 0.70583826],[6.12711847 3.30306787],[-0.70084248 -0.63344009],[2.66972724 3.90207828],[-0.62397631 -0.19757081]
[4.73643967 7.59598318],[ 0.97930098 -0.09662002],[2.13784995 4.11850517],[-0.34958295  0.76715983],[6.21044545 3.21893299],[-0.216965   -0.72075675],[5.81130973 6.13800899],[0.75976413 0.43065215],[3.52626343 7.27643078],[0.61424633 0.62461162],[7.26073619 5.48044619],[ 0.20768794 -0.84620786],[5.37190492 3.18965074],[-0.7860017  -0.50312229],[3.42981494 7.03721431],[0.55462218 0.67450801],[6.05484386 3.24162342],[-0.74501669 -0.59587518],[2.60799419 3.88317745],[-0.60970846 -0.17948164]
