[6.49964351 2.1071413 ],[-1.09093432 -0.03986643],[1.28826268 8.03297485],[ 0.94167193 -0.99471379],[1.95965237 9.77359521],[1.12231701 0.25639194],[2.95659635 4.47360801],[-0.81359918  0.36464211],[10.60147577  3.08390321],[-0.02010183 -0.49647041],[5.95917794 9.61312282],[-1.07536291 -0.08908795],[7.29983082 3.50200145],[-1.0386109   0.74714166],[1.72198957 9.37377791],[1.02503617 0.41894361],[5.72485572 5.37038607],[-0.43520948 -0.94540637],[8.9879902  0.96678336],[-1.20407097 -0.1165108 ]
[6.39061696 2.10806587],[-1.09223152  0.05491367],[1.38324643 7.93479467],[ 0.95791755 -0.96888836],[2.07431509 9.7939476 ],[1.16628804 0.14837376],[2.87721818 4.51180709],[-0.77355287  0.40005121],[10.59258502  3.03562185],[-0.15970737 -0.46899408],[5.8517465  9.59931513],[-1.07329941 -0.18738043],[7.19682588 3.57706135],[-1.02036618  0.75536594],[1.82756777 9.41042406],[1.08506326 0.31426239],[5.68122472 5.276799  ],[-0.4394287  -0.92836272],[8.86576637 0.9609444 ],[-1.23674276e+00  2.95984034e-04]
[6.28141151 2.11813844],[-1.08933052  0.14801752],[1.47987429 7.83924768],[ 0.97418804 -0.94239806],[2.19253704 9.80333329],[1.19526837 0.03897546],[2.80169479 4.55346559],[-0.73771874  0.43242011],[10.56929561  2.99037724],[-0.30742478 -0.43489067],[5.74489328 9.57594363],[-1.0617321  -0.27812078],[7.0954956  3.65283767],[-1.00644832  0.75999989],[1.93872833 9.43671493],[1.13583507 0.21139783],[5.63683007 5.18459842],[-0.44876786 -0.915846  ],[8.7411291  0.96676306],[-1.2524378   0.11666752]
[6.17224917 2.13693403],[-1.09374349  0.22629536],[1.57786957 7.7461237 ],[ 0.98674576 -0.91894314],[2.31285083 9.80165751],[ 1.21137209 -0.06959036],[2.73005598 4.59868783],[-0.69551385  0.47163837],[10.53063785  2.94869974],[-0.46584004 -0.39662661],[5.6393374  9.54358311],[-1.04952208 -0.36935383],[6.99559959 3.72913419],[-0.99355285  0.76387015],[2.05426178 9.45263951],[1.17671419 0.11138862],[5.5914876  5.09367651],[-0.4601181  -0.90452347],[8.61543145 0.9838716 ],[-1.26193111  0.22191032]
[6.06323712 2.16368007],[-1.08740231  0.30623303],[1.67698537 7.65524244],[ 0.99636457 -0.8977951 ],[2.43483775 9.78997336],[ 1.22470463 -0.16486128],[2.66274317 4.64794494],[-0.65216705  0.51200983],[10.47607466  2.91142044],[-0.62763675 -0.34984425],[5.53522272 9.50224548],[-1.02922921 -0.45372946],[6.896873   3.80569512],[-0.98260459  0.76573395],[2.17335494 9.45876941],[1.20543035 0.01411679],[5.54514567 5.00406838],[-0.46686264 -0.88774045],[8.48930119 1.01109615],[-1.25769198  0.32267365]
[5.95494358 2.19805008],[-1.07870945  0.37929776],[1.77710622 7.56654869],[ 1.00551386 -0.87650821],[2.55740796 9.76880773],[ 1.22392063 -0.25875471],[2.59978474 4.70122662],[-0.60933084  0.55111632],[10.40554891  2.8793689 ],[-0.78048328 -0.28880654],[5.43345984 9.45280697],[-1.00484597 -0.53363189],[6.79926276 3.88245924],[-0.97233958  0.76679638],[2.29483628 9.45544637],[ 1.22415454 -0.07788941],[5.49811431 4.91614685],[-0.4735077  -0.87034887],[8.36373609 1.04770627],[-1.25181765  0.40834601]
[5.84794838 2.23969952],[-1.06098959  0.45241578],[1.87786547 7.47973237],[ 1.01004588 -0.85941666],[2.67945765 9.73851603],[ 1.21923527 -0.34246171],[2.54096691 4.7582086 ],[-0.56682953  0.58844152],[10.3199895   2.85355711],[-0.93074892 -0.22940259],[5.33433992 9.3956289 ],[-0.97590698 -0.60799025],[6.70238659 3.95902013],[-0.96463853  0.76495189],[2.41747659 9.44295231],[ 1.22936744 -0.16898139],[5.45034312 4.82991901],[-0.48480934 -0.85699411],[8.2390914 1.092398 ],[-1.23999359  0.48400907]
[5.7428042 2.2883165],[-1.04346337  0.51680823],[1.97874516 7.39430488],[ 1.00592463 -0.85078864],[2.80066413 9.70019889],[ 1.20454758 -0.42209875],[2.48670184 4.81913016],[-0.52053147  0.62754577],[10.22041079  2.83399127],[-1.05705937 -0.16168201],[5.23792462 9.33089464],[-0.94772515 -0.68158744],[6.60639083 4.03549837],[-0.95593966  0.76393082],[2.54056468 9.42198525],[ 1.22881916 -0.25155768],[5.4013294  4.74496987],[-0.4949282  -0.84131293],[8.11600383 1.14432205],[-1.21778278  0.55650203]
[5.63988587 2.34342384],[-1.01623822  0.58272771],[2.07961168 7.31014323],[ 1.01120109 -0.83258217],[2.92012115 9.65423484],[ 1.18742693 -0.49228184],[2.43719961 4.88396869],[-0.47062807  0.66763979],[10.10959464  2.82148037],[-1.15610683 -0.08989023],[5.14476426 9.25936153],[-0.91409829 -0.74706243],[6.5110329  4.11162901],[-0.9504156   0.75945085],[2.66307612 9.39287424],[ 1.22102983 -0.32890798],[5.35132974 4.66166111],[-0.50385679 -0.82355465],[7.99539017 1.20321516],[-1.1929695   0.62112562]
[5.53959214 2.40464583],[-0.9892984   0.64076474],[2.18095698 7.22777785],[ 1.01260033 -0.81779221],[3.03781746 9.60179127],[ 1.16738174 -0.5539255 ],[2.39269148 4.95266469],[-0.41905995  0.70617979],[9.98999124 2.81589566],[-1.23028923 -0.02072885],[5.0549318  9.18141255],[-0.88150376 -0.81016231],[6.41619039 4.18725972],[-0.94543627  0.75413731],[2.78476701 9.3566099 ],[ 1.21012031 -0.39706755],[5.30024823 4.57998656],[-0.51583741 -0.80786426],[7.87739356 1.26823504],[-1.16860251  0.67603383]
