[2.66310151 6.2687702 ],[ 0.95820972 -1.95182424],[3.64149584 7.95218371],[-2.5267865  -1.09509599],[3.06765359 8.63733628],[3.95452837 2.84772856],[4.91875271 2.79933979],[-0.22407195 -3.15831855],[4.16828142 1.90028418],[4.61404275 4.07445986],[8.2501269 8.672318 ],[ 4.90119499 -4.2504091 ],[0.27258746 9.85072984],[2.10532227 1.58450069],[5.43730583 4.26616345],[-2.06835852 -1.21081728],[2.30250421 9.64058639],[-1.24602281 -2.72822467],[5.74091938 5.00397637],[4.32271038 2.25075505]
[6.02529425 4.5000399 ],[0.83833692 0.32931697],[2.82300468 4.65774861],[ 0.88782763 -0.62100384],[6.19943792 6.97687386],[ 0.00853855 -1.12837524],[3.59012673 3.76959673],[-0.01513005  1.21293462],[5.28515916 6.50175837],[-0.26805547  0.95818413],[6.26413803 5.36212143],[-1.14326485 -0.23687141],[4.32793589 7.74526463],[ 0.58176792 -1.04928396],[2.39200132 5.76651031],[0.08150121 1.01621891],[3.76486531 5.36935151],[ 0.88860171 -0.62003002],[5.95743504 7.95721737],[-1.05615595  0.21031393]
[6.10816516 4.53496766],[0.81818319 0.36859889],[2.91340281 4.59784858],[ 0.92021732 -0.57626651],[6.19850213 6.86433012],[-0.02734606 -1.12265642],[3.58997361 3.89061696],[0.00836111 1.20395794],[5.25726062 6.59653052],[-0.28675418  0.94032489],[6.15009105 5.3396881 ],[-1.14092231 -0.21542438],[4.38522865 7.64027237],[ 0.5684424  -1.04627251],[2.40288242 5.86791144],[0.13438282 1.0097982 ],[3.85380221 5.3082357 ],[ 0.89041107 -0.60190931],[5.8512505  7.97561088],[-1.06722301  0.15741087]
[6.18892275 4.57382021],[0.79565375 0.407373  ],[3.00707243 4.5426638 ],[ 0.95193362 -0.52799994],[6.19393388 6.75233322],[-0.06318894 -1.11655231],[3.59202955 4.01066354],[0.03340716 1.19757396],[5.227699  6.6896886],[-0.30422122  0.9230057 ],[6.03617218 5.31918571],[-1.13861573 -0.19608665],[4.44115695 7.53553125],[ 0.54904225 -1.04949741],[2.41906234 5.96858292],[0.18850337 1.00253341],[3.94312847 5.24917247],[ 0.89592631 -0.57943104],[5.74429766 7.98891823],[-1.07386727  0.10636318]
[6.26740382 4.6166194 ],[0.77258223 0.44748627],[3.10364284 4.49223374],[ 0.97812471 -0.48133663],[6.18600147 6.64115921],[-0.09715991 -1.10864677],[3.5964412  4.12992385],[0.05406716 1.18709749],[5.19657587 6.78126486],[-0.31612206  0.91044327],[5.92252847 5.30056674],[-1.13442736 -0.1766416 ],[4.49531192 7.43066352],[ 0.53369708 -1.04819601],[2.44063333 6.06839215],[0.24336595 0.9938183 ],[4.0330438  5.19243623],[ 0.90344281 -0.5540871 ],[5.63650672 7.9967984 ],[-1.08011283  0.0525865 ]
[6.34342379 4.66336764],[0.74739766 0.48734448],[3.20238291 4.44618245],[ 0.99757594 -0.4383261 ],[6.17441083 6.53054134],[-0.13620992 -1.10498986],[3.60317056 4.2484125 ],[0.0810102  1.18299045],[5.16404107 6.87131256],[-0.33234713  0.89262289],[5.80932185 5.2838409 ],[-1.12932971 -0.15771289],[4.54782756 7.32583816],[ 0.51822346 -1.04677977],[2.46747687 6.16701578],[0.29236654 0.97733784],[4.12365841 5.13823177],[ 0.91041611 -0.52827894],[5.52818562 7.9992543 ],[-1.08627165 -0.00391663]
[6.41693007 4.71420356],[0.7220898 0.5289753],[3.30318096 4.40469907],[ 1.01721491 -0.39200239],[6.15933255 6.42074891],[-0.16569596 -1.09135654],[3.61256285 4.36640754],[0.1056153  1.17572896],[5.13010986 6.95976293],[-0.34528553  0.87721474],[5.69672622 5.26905664],[-1.12366125 -0.13925713],[4.59906408 7.22140907],[ 0.50387767 -1.04445816],[2.49945122 6.26414608],[0.34625239 0.96412194],[4.21505961 5.08675622],[ 0.916342   -0.50237094],[5.41990978 7.9966123 ],[-1.08209601 -0.05195303]
[6.48773868 4.76912533],[0.69595917 0.57155296],[3.40542547 4.36745488],[ 1.02970974 -0.35053371],[6.1410642  6.31205962],[-0.20236761 -1.08494156],[3.62418873 4.48345318],[0.12507958 1.16363956],[5.09505258 7.04678408],[-0.35759399  0.86131994],[5.58450756 5.25584357],[-1.11693303 -0.12141627],[4.64895234 7.11730294],[ 0.49240995 -1.03925693],[2.53683292 6.35987238],[0.40142522 0.95021179],[4.30699037 5.03785574],[ 0.92265577 -0.47514959],[5.31196512 7.98899127],[-1.07454867 -0.09821119]
[6.55566897 4.82812185],[0.66486128 0.61076662],[3.5088309  4.33437265],[ 1.03852951 -0.31071427],[6.11912733 6.20407225],[-0.23563043 -1.07402203],[3.63757936 4.59917355],[0.14478445 1.15295252],[5.05851619 7.13193564],[-0.37072446  0.84400168],[5.47333336 5.24477555],[-1.10728566 -0.10072867],[4.69770531 7.01371424],[ 0.48176378 -1.03343284],[2.57940396 6.45379631],[0.44851213 0.92672064],[4.39944995 4.99162166],[ 0.92627939 -0.44960208],[5.20498315 7.9769325 ],[-1.0642924  -0.14227393]
[6.620512   4.89113319],[0.62907808 0.64667269],[3.61352102 4.30579039],[ 1.05171872 -0.26398251],[6.09396825 6.09729305],[-0.26608132 -1.06014717],[3.65307015 4.71395985],[0.16492946 1.14268042],[5.02072204 7.21536637],[-0.38620618  0.82348584],[5.36304563 5.23566784],[-1.09667672 -0.07960265],[4.74502197 6.91035201],[ 0.46708735 -1.03127916],[2.62695758 6.54560107],[0.50500045 0.91153517],[4.49236354 4.9480819 ],[ 0.93136439 -0.42158422],[5.09876878 7.96015513],[-1.06044343 -0.19404863]
[6.68176423 4.95778157],[0.59477355 0.68519862],[3.71885066 4.28129858],[ 1.05353424 -0.22714816],[6.06563931 5.99178005],[-0.30038166 -1.04992625],[3.67018189 4.82736262],[0.18009585 1.12842231],[4.98136718 7.29670868],[-0.40061669  0.80351682],[5.25362477 5.22845651],[-1.08970869 -0.06274245],[4.79077911 6.80713772],[ 0.4506677  -1.03035611],[2.68019813 6.635831  ],[0.55870028 0.89186445],[4.58546118 4.90706892],[ 0.92770547 -0.40157799],[4.99335342 7.93852094],[-1.04784708 -0.2386256 ]
[6.73926949 5.02801422],[0.55447115 0.71866247],[3.8245822  4.26076108],[ 1.06031634 -0.18402999],[6.03418728 5.88761337],[-0.32979091 -1.03460447],[3.68930734 4.93984384],[0.20315057 1.12176981],[4.94083746 7.37627725],[-0.41104207  0.78660912],[5.14471389 5.22267914],[-1.08687074 -0.05153118],[4.8353513  6.70447356],[ 0.43967783 -1.02412731],[2.73828143 6.72353285],[0.60179149 0.86108806],[4.67830465 4.86817638],[ 0.92641493 -0.37892468],[4.8891875  7.91238089],[-1.03540468 -0.28420908]
[6.79237687 5.10127086],[0.51000121 0.7488653 ],[3.93075567 4.24438253],[ 1.06661467 -0.13971275],[6.00011719 5.78528416],[-0.35001089 -1.01066057],[3.71050664 5.05140386],[0.22252394 1.1110528 ],[4.89879329 7.45364795],[-0.42707368  0.76348497],[5.03637031 5.21822862],[-1.08082124 -0.03851804],[4.87908093 6.60266699],[ 0.43177779 -1.01531077],[2.80072877 6.80821485],[0.64774439 0.83321178],[4.77076252 4.83130851],[ 0.92196092 -0.35921035],[4.78651172 7.88189473],[-1.02144247 -0.32890416]
[6.84122824 5.17776969],[0.46551978 0.77957534],[4.03739678 4.23238766],[ 1.06700606 -0.09927619],[5.96379398 5.68506457],[-0.37590587 -0.99326585],[3.73380499 5.16202854],[0.24257828 1.10058336],[4.85511253 7.52864367],[-0.44496412  0.73790001],[4.92866607 5.21504498],[-1.07104993 -0.02304491],[4.92120463 6.50095253],[ 0.41339146 -1.01609278],[2.86760328 6.8899418 ],[0.68806722 0.79981342],[4.86294833 4.79660944],[ 0.92070682 -0.3357671 ],[4.68550505 7.8471751 ],[-1.00121033 -0.36786375]
[6.88555231 5.25727556],[0.42037228 0.80991714],[4.14396835 4.22438083],[ 1.06911745 -0.05598459],[5.92509143 5.58678016],[-0.39700393 -0.97142199],[3.75899931 5.27149508],[0.25997356 1.08745129],[4.80980262 7.60120685],[-0.45830646  0.71615103],[4.82221374 5.21368799],[-1.05883199 -0.00501419],[4.96163984 6.39935556],[ 0.39893932 -1.01214878],[2.93816712 6.96801284],[0.72277475 0.76134538],[4.95532016 4.76462195],[ 0.92628672 -0.30417425],[4.58647206 7.80850655],[-0.98202808 -0.4080624 ]
[6.92497127 5.33943476],[0.3693836  0.83458992],[4.25081235 4.22087771],[ 1.06675157 -0.01496051],[5.88425708 5.49062712],[-0.42205197 -0.95401641],[3.78584198 5.37957204],[0.27641492 1.07377797],[4.76336347 7.6717473 ],[-0.47042027  0.69455921],[4.71693656 5.21407769],[-1.04733148  0.01216414],[5.00094889 6.29846437],[ 0.3867273  -1.00612938],[3.0124451  7.04251112],[0.76085787 0.72688139],[5.04797247 4.73559479],[ 0.92886368 -0.27402619],[4.48928342 7.76571419],[-0.95933952 -0.44534068]
[6.95934871 5.42411801],[0.32135009 0.86201882],[4.35736357 4.221486  ],[1.06259256 0.02549668],[5.84100175 5.39630757],[-0.44446706 -0.93383898],[3.81480485 5.48673374],[0.29786221 1.06440611],[4.71540483 7.73977499],[-0.48702723  0.66758754],[4.61282302 5.21618587],[-1.03464808  0.03029781],[5.03922255 6.19836322],[ 0.37949846 -0.99532689],[3.09029902 7.11336941],[0.79441901 0.6886905 ],[5.14086029 4.70964078],[ 0.93019788 -0.24350015],[4.39413458 7.71895199],[-0.942864   -0.48922186]
[6.98871433 5.51129384],[0.26833256 0.88367237],[4.4636788 4.2263851],[1.06383068 0.07300734],[5.79499039 5.30351789],[-0.47378116 -0.91991056],[3.84544189 5.5924902 ],[0.31304748 1.04901449],[4.66598062 7.80525326],[-0.49943841  0.64381698],[4.5099879  5.22011267],[-1.02136121  0.04898344],[5.07660332 6.09915147],[ 0.36832388 -0.98869419],[3.17122079 7.18016264],[0.82905994 0.6524733 ],[5.23359986 4.68652728],[ 0.92301622 -0.22033071],[4.30085043 7.66797817],[-0.92183011 -0.52923445]
[7.01286659 5.60067092],[0.21458894 0.90344369],[4.57002746 4.23608064],[1.05981403 0.11781495],[5.74666712 5.21275214],[-0.4967955  -0.89956671],[3.87746769 5.69661517],[0.32997482 1.03597207],[4.61568737 7.86866501],[-0.5094609   0.62119107],[4.40855149 5.22598271],[-1.00542681  0.07043012],[5.11314026 6.00087221],[ 0.36107976 -0.9783202 ],[3.25574019 7.24353569],[0.86312287 0.61711142],[5.32567315 4.66580081],[ 0.91847524 -0.19400728],[4.20981697 7.61313938],[-0.8961816 -0.5648353]
[7.03162593 5.69193524],[0.16089993 0.92176388],[4.6754387  4.24976779],[1.04791333 0.15541233],[5.69590813 5.12390223],[-0.51801948 -0.8770954 ],[3.91142344 5.79964788],[0.34883684 1.02432116],[4.56410033 7.92946394],[-0.52293136  0.59396721],[4.30853148 5.23383378],[-0.99359811  0.08782419],[5.14878947 5.90345833],[ 0.34953343 -0.97220958],[3.34351479 7.3033077 ],[0.89076825 0.57703611],[5.41709356 4.64754566],[ 0.91352629 -0.1673674 ],[4.12170549 7.55511466],[-0.86507127 -0.59455276]
[7.04508223 5.78498395],[0.10497027 0.93560342],[4.77969221 4.26726802],[1.03651052 0.19400066],[5.64298723 5.03726508],[-0.54089411 -0.85615353],[3.94700465 5.90124966],[0.36321252 1.00820395],[4.51120031 7.98751467],[-0.53709205  0.56482735],[4.20979785 5.24351241],[-0.98403679  0.10265284],[5.18317792 5.80657967],[ 0.33702271 -0.96643512],[3.43414834 7.35925585],[0.91651337 0.53692259],[5.50830703 4.63231765],[ 0.91213216 -0.13554451],[4.03665293 7.49408761],[-0.83525662 -0.62515605]
[7.05264663 5.87903093],[0.04740216 0.9459771 ],[4.88279654 4.28865739],[1.02383561 0.23211517],[5.58777624 4.95273306],[-0.56419501 -0.83532222],[3.98457529 6.00176815],[0.38608367 0.99992262],[4.45684104 8.04254275],[-0.54832472  0.53728569],[4.11226982 5.25489166],[-0.96817596  0.12325268],[5.21634204 5.71033292],[ 0.32632632 -0.95834591],[3.52688247 7.41079088],[0.93980176 0.49580592],[5.59941605 4.62040346],[ 0.90924741 -0.10322413],[3.9544837  7.42991402],[-0.80771381 -0.65781716]
[7.05480238 5.97431872],[-0.0030435   0.96026501],[4.9846016  4.31386697],[1.01014594 0.2699703 ],[5.53023588 4.87030677],[-0.58489185 -0.81150339],[4.02413495 6.10112816],[0.40686434 0.98896807],[4.40113054 8.09451619],[-0.56522283  0.5026047 ],[4.01620425 5.26819611],[-0.95226364  0.14377554],[5.24870733 5.61516823],[ 0.32286779 -0.9431729 ],[3.62191859 7.45829064],[0.96147491 0.45514228],[5.68998987 4.61155098],[ 0.90435995 -0.07140548],[3.87498448 7.36239763],[-0.78152644 -0.69168012]
[7.05198043 6.07088763],[-0.05560472  0.96814993],[5.08497249 4.34282657],[0.99859799 0.31069496],[5.47097357 4.79061261],[-0.60152992 -0.7835776 ],[4.06560394 6.1991933 ],[0.41812608 0.96808531],[4.34389373 8.14310381],[-0.57718937  0.47120685],[3.92172132 5.28354407],[-0.93613904  0.16448822],[5.28062042 5.52138009],[ 0.31260731 -0.93527275],[3.71875808 7.50145508],[0.97704101 0.41019325],[5.7801181  4.60602243],[ 0.89590084 -0.04127736],[3.79851746 7.29192298],[-0.74836454 -0.71822085]
[7.04369628 6.16785972],[-0.10854235  0.97206404],[5.18406658 4.37579817],[0.98274053 0.34833778],[5.41008703 4.71375971],[-0.61494384 -0.75227108],[4.10817423 6.29518682],[0.43371025 0.95226372],[4.28535281 8.18835629],[-0.59199561  0.43517393],[3.82844774 5.30053093],[-0.92641898  0.17803762],[5.31137918 5.42829193],[ 0.30553074 -0.92351658],[3.81694258 7.53999136],[0.9873427  0.36147939],[5.86920704 4.60337362],[ 0.88517873 -0.0122372 ],[3.72523222 7.21868251],[-0.71472662 -0.74383781]
[7.02998786 6.26489387],[-0.16708357  0.966551  ],[5.28157581 4.41258839],[0.96434044 0.38431004],[5.34765475 4.63984283],[-0.63420376 -0.72654773],[4.15227176 6.38956375],[0.4475259  0.93462567],[4.22571118 8.23028812],[-0.59955978  0.4044818 ],[3.73661995 5.31931906],[-0.90897907  0.19886982],[5.3415198  5.33646197],[ 0.29820459 -0.91211755],[3.91619845 7.57376398],[0.99957306 0.3160924 ],[5.95730554 4.60377822],[0.87788492 0.021749  ],[3.65549757 7.14309002],[-0.68014805 -0.76805296]
[7.01025665 6.36105876],[-0.22564063  0.95805709],[5.37697576 4.45271098],[0.94570583 0.42024639],[5.28356682 4.56878993],[-0.64623153 -0.69315846],[4.197601   6.48203823],[0.4580012  0.91390699],[4.16508655 8.26882651],[-0.61330572  0.36555338],[3.64640298 5.34005118],[-0.89445505  0.21651712],[5.37092127 5.24577232],[ 0.28893681 -0.90248342],[4.01705152 7.60349934],[1.0150537  0.27673373],[6.04462168 4.60763575],[0.86890438 0.05616993],[3.5891441  7.06502516],[-0.6459963  -0.79217601]
[6.98555314 6.45703289],[-0.26868091  0.96015023],[5.47039478 4.49634115],[0.92509833 0.45480126],[5.21819368 4.50101713],[-0.66173543 -0.66274713],[4.24408012 6.57255579],[0.47069959 0.89564024],[4.10324716 8.30351372],[-0.62200392  0.32930555],[3.55802645 5.36292692],[-0.87848952  0.23555199],[5.39945614 5.15612804],[ 0.28108534 -0.89103377],[4.11909251 7.62906913],[1.02578826 0.23518656],[6.130955 4.614961],[0.85583545 0.08861213],[3.526514   6.98487928],[-0.60779623 -0.81179432]
[6.95586848 6.55229005],[-0.32475431  0.94461183],[5.56217581 4.54390537],[0.90610076 0.49211027],[5.15101645 4.43606299],[-0.68148261 -0.63595086],[4.29201545 6.66142835],[0.48752667 0.88127883],[4.04038253 8.33429734],[-0.6351504   0.28607265],[3.47075761 5.38716173],[-0.86493705  0.25096797],[5.42695298 5.06740359],[ 0.26964517 -0.88252279],[4.22215295 7.65057506],[1.03131858 0.19117449],[6.2163034  4.62596117],[0.84940076 0.13008485],[3.46762933 6.90272245],[-0.56900548 -0.83033528]
[6.92082567 6.64604986],[-0.37926918  0.92674437],[5.65166706 4.59483269],[0.88312008 0.5258501 ],[5.0822502  4.37420773],[-0.69249984 -0.59972381],[4.34131037 6.7485325 ],[0.50200626 0.86441238],[3.97628245 8.36069104],[-0.64788434  0.24028208],[3.38534134 5.41341465],[-0.84058208  0.27694335],[5.45343309 4.97969125],[ 0.26138093 -0.87025193],[4.32540716 7.66740017],[1.03130012 0.14312787],[6.30055427 4.64079161],[0.83450624 0.16566337],[3.41244105 6.81855801],[-0.53275149 -0.8507964 ]
[6.88025226 6.73775844],[-0.43367834  0.90530796],[5.7387826  4.64907717],[0.85829376 0.55816123],[5.01220917 4.31584263],[-0.70784494 -0.56698364],[4.39224816 6.83412275],[0.51633924 0.84693614],[3.91104282 8.38247682],[-0.65762661  0.19421327],[3.30268767 5.44262735],[-0.81496176  0.3048856 ],[5.47890689 4.89305452],[ 0.25069823 -0.85982433],[4.42890469 7.67975449],[1.03733867 0.10317532],[6.38344298 4.65942384],[0.821373   0.20550976],[3.36084199 6.73235095],[-0.49713883 -0.87104807]
[6.83416589 6.82706575],[-0.48548305  0.88264537],[5.82328536 4.70643784],[0.83164118 0.58893083],[4.94049592 4.26065414],[-0.72412971 -0.53440856],[4.44434646 6.91768965],[0.52841436 0.82716189],[3.8444805  8.39912532],[-0.67224447  0.13942876],[3.22230504 5.47433884],[-0.79144987  0.3305318 ],[5.50320073 4.80738214],[ 0.23489386 -0.85370906],[4.53259876 7.68783322],[1.03613726 0.05837073],[6.4649344  4.68209924],[0.80647051 0.24638439],[3.3128836  6.64424413],[-0.46138087 -0.89017835]
[6.78337663 6.91435055],[-0.53012953  0.8624614 ],[5.9053679  4.76714063],[0.8092469  0.62441201],[4.86741593 4.20903171],[-0.73932586 -0.49981223],[4.49779749 6.99941232],[0.54339689 0.81003441],[3.77679933 8.41042757],[-0.67863349  0.08872993],[3.14413637 5.5084569 ],[-0.77232026  0.35132712],[5.525946   4.72242463],[ 0.2269602 -0.838504 ],[4.63635723 7.6917386 ],[1.03893475 0.02011175],[6.54504653 4.70912395],[0.79436052 0.29316319],[3.26854363 6.55432843],[-0.42426109 -0.90677599]
[6.72826983 6.99953028],[-0.57311353  0.83923514],[5.98500184 4.83120571],[0.78337155 0.6568059 ],[4.79258106 4.16067169],[-0.75875268 -0.46873911],[4.55278117 7.0794329 ],[0.55393605 0.78805025],[3.70867064 8.41665201],[-0.68595564  0.03307593],[3.06833611 5.54508198],[-0.74550806  0.37926983],[5.54800544 4.63909279],[ 0.21391263 -0.8283021 ],[4.74024502 7.69182012],[ 1.03790822 -0.01886136],[6.62377656 4.74082183],[0.77883008 0.3398894 ],[3.22821917 6.46310112],[-0.38097001 -0.91635641]
[6.66860212 7.08190779],[-0.62128258  0.80660579],[6.06161581 4.89808495],[0.7504777  0.68228895],[4.71620353 4.11585254],[-0.7693482  -0.42805479],[4.60867935 7.1571137 ],[0.56322471 0.76477145],[3.63978708 8.41705094],[-0.68803984 -0.02213714],[2.995312   5.58457209],[-0.7153584  0.4100974],[5.5689261  4.55698984],[ 0.20383557 -0.81436776],[4.84382263 7.68793734],[ 1.03219049 -0.05997684],[6.70048487 4.7768806 ],[0.75225388 0.3785313 ],[3.19230834 6.37101989],[-0.33894947 -0.9267586 ]
[6.60450156 7.16120231],[-0.66131204  0.77795311],[6.13484396 4.96741838],[0.71581098 0.70605772],[4.63869955 4.07509226],[-0.78458888 -0.39096289],[4.66574962 7.23269855],[0.57822414 0.74693364],[3.5704168  8.41140561],[-0.69665782 -0.08894014],[2.92524313 5.62705873],[-0.68744258  0.43804722],[5.58852638 4.47601132],[ 0.18950966 -0.80367582],[4.94693794 7.68017049],[ 1.02943359 -0.09555231],[6.77398456 4.81636731],[0.7167705  0.41047597],[3.16044714 6.27779936],[-0.29752174 -0.93663551]
[6.53654852 7.23756792],[-0.69656771  0.74984186],[6.20485817 5.03938623],[0.68201509 0.73080219],[4.55977427 4.03817788],[-0.7954234  -0.34873278],[4.72419968 7.30635953],[0.59209853 0.72756913],[3.50077559 8.39940049],[-0.6973601  -0.15318045],[2.85763706 5.67195552],[-0.66587162  0.45843886],[5.60663907 4.39610665],[ 0.17407579 -0.79290304],[5.04938604 7.66859314],[ 1.01813518 -0.13719197],[6.84435027 4.8595826 ],[0.69133025 0.4550694 ],[3.13293937 6.18384147],[-0.25425923 -0.94386339]
[6.46478194 7.31063002],[-0.73852841  0.71097604],[6.27151411 5.11385413],[0.6488748  0.75627137],[4.47975525 4.00552156],[-0.80550266 -0.30482239],[4.78396359 7.37799067],[0.60364934 0.70549436],[3.43099176 8.38061955],[-0.69769223 -0.22271453],[2.79268449 5.71931966],[-0.63560612  0.48621023],[5.62369259 4.31780286],[ 0.164559   -0.77551529],[5.15062168 7.65284385],[ 1.00624036 -0.17773747],[6.9122113  4.90745744],[0.6645136  0.50148353],[3.10977122 6.08922785],[-0.21165309 -0.95074552]
[6.38915424 7.37994264],[-0.77066247  0.67799709],[6.33473296 5.1907475 ],[0.6142345  0.78027068],[4.39881054 3.97738411],[-0.81182017 -0.25617847],[4.8447055  7.44722076],[0.61128912 0.67918317],[3.36168299 8.35511463],[-0.69003298 -0.28971435],[2.73031349 5.76894279],[-0.60785185  0.50996465],[5.63952697 4.24101651],[ 0.15287905 -0.75933074],[5.25058899 7.63305725],[ 0.99397037 -0.21671638],[6.97711709 4.95985051],[0.6311592  0.54434148],[3.09083806 5.99396479],[-0.16955171 -0.95677011]
[6.31029444 7.44574892],[-0.80588042  0.63813974],[6.39436855 5.26992203],[0.57807656 0.8027422 ],[4.31719377 3.95412923],[-0.82131873 -0.20961714],[4.90618327 7.5137747 ],[0.62102694 0.65461339],[3.29311951 8.32261838],[-0.67826014 -0.35801083],[2.67128095 5.82142922],[-0.57199123  0.54030157],[5.65400987 4.16572167],[ 0.13948553 -0.74369854],[5.34947017 7.60963909],[ 0.98158475 -0.25322136],[7.03866747 5.01665015],[0.5985506  0.59073244],[3.07586062 5.8979422 ],[-0.13025296 -0.9636164 ]
[6.22837175 7.5078441 ],[-0.83304356  0.60271275],[6.45035698 5.35130807],[0.5411252  0.82432648],[4.23430862 3.93522909],[-0.8362006 -0.1683669],[4.96910391 7.57831638],[0.63613698 0.63492601],[3.22598821 8.28329937],[-0.66450793 -0.42924545],[2.61584091 5.87686845],[-0.53754581  0.56742814],[5.66709628 4.09199078],[ 0.12048506 -0.7324081 ],[5.44671667 7.5822746 ],[ 0.96559749 -0.29146244],[7.0967154  5.07797894],[0.56118412 0.63494223],[3.06487839 5.80139735],[-0.0890853  -0.96659049]
[6.143555   7.56604327],[-0.86269362  0.56126522],[6.50253516 5.43473382],[0.50645105 0.84805697],[4.15012204 3.92061742],[-0.84732896 -0.12379189],[5.03306264 7.6403922 ],[0.64417766 0.60768014],[3.16038387 8.23677254],[-0.64721923 -0.5015595 ],[2.56420923 5.93528082],[-0.49444134  0.60108467],[5.67837215 4.01957051],[ 0.10707561 -0.71378973],[5.54215107 7.55096967],[ 0.9469678  -0.33044891],[7.15085017 5.1436681 ],[0.51960893 0.67719405],[3.05847657 5.70508143],[-0.04169913 -0.96230382]
[6.05587804 7.62002267],[-0.88914646  0.51946316],[6.55151095 5.52075444],[0.46991986 0.86903962],[4.06544684 3.91108552],[-0.84696448 -0.06752085],[5.09791279 7.69980428],[0.65202511 0.57969572],[3.09692435 8.18323113],[-0.6204435  -0.56819908],[2.51666177 5.99671079],[-0.45744533  0.62616528],[5.68817422 3.94894816],[ 0.09212836 -0.69525413],[5.63600396 7.51616955],[ 0.92929752 -0.36594122],[7.20051264 5.21337037],[0.47549039 0.7188924 ],[3.05640652 5.60886162],[ 1.27924569e-04 -9.61875844e-01]
[5.96547029 7.66955896],[-0.91809168  0.47159057],[6.59659021 5.60860832],[0.43381564 0.88998217],[3.98059615 3.90698781],[-0.85070256 -0.01519842],[5.16341013 7.75624828],[0.65938009 0.55055842],[3.03646987 8.12320209],[-0.59016193 -0.63420673],[2.47320979 6.06091086],[-0.41094983  0.65798273],[5.69657056 3.88034258],[ 0.07522903 -0.6771663 ],[5.72813914 7.47799317],[ 0.91279774 -0.39776404],[7.245827   5.28737889],[0.43325349 0.76379025],[3.05876329 5.513013  ],[ 0.04476808 -0.95700282]
[5.87261039 7.71457325],[-0.93812696  0.42920576],[6.63798248 5.69842712],[0.39184638 0.90413586],[3.89534469 3.9080579 ],[-0.8514231   0.03936229],[5.22968343 7.8097828 ],[0.66871104 0.52268109],[2.97918064 8.05660515],[-0.55423249 -0.69647711],[2.43447839 6.12820248],[-0.36174673  0.68920317],[5.70327477 3.81363765],[ 0.06112395 -0.65438577],[5.81832839 7.43645672],[ 0.89289084 -0.43065404],[7.28661383 5.36560841],[0.38450983 0.80278262],[3.06546492 5.41762742],[ 0.08986417 -0.94976876]
[5.77798534 7.75544912],[-0.95688707  0.38538494],[6.67490809 5.7893878 ],[0.34880696 0.91704921],[3.81035196 3.91489089],[-0.849265    0.09627808],[5.29696615 7.86057171],[0.67790071 0.49396588],[2.92576976 7.98401296],[-0.51280796 -0.75415264],[2.40115107 6.198905  ],[-0.30404375  0.72487019],[5.70855194 3.74928308],[ 0.04540596 -0.63139593],[5.90645538 7.39168107],[ 0.87043005 -0.46375444],[7.32241899 5.44763868],[0.33234338 0.83841623],[3.07672744 5.32310114],[ 0.13768042 -0.93817148]
[5.68164029 7.79195386],[-0.96988567  0.34448679],[6.70777452 5.88183919],[0.30756906 0.93082209],[3.72559328 3.92737107],[-0.84298081  0.15597578],[5.36509086 7.9083746 ],[0.68240097 0.45976423],[2.87673132 7.90587829],[-0.46953206 -0.80988271],[2.37339899 6.2727553 ],[-0.24926724  0.75316125],[5.71228612 3.68736065],[ 0.02698457 -0.60898786],[5.99232104 7.3436865 ],[ 0.84591011 -0.49665827],[7.35284236 5.53304726],[0.27427593 0.86769563],[3.0928571 5.2298793],[ 0.18437668 -0.92634042]
[5.58396239 7.82421607],[-0.98491573  0.29909982],[6.73625487 5.9753682 ],[0.26251563 0.94009212],[3.64153809 3.945824  ],[-0.83626139  0.21455408],[5.43399438 7.95303933],[0.69545679 0.43325255],[2.83213019 7.82234104],[-0.42435065 -0.86232004],[2.35141919 6.34949221],[-0.19309775  0.77801196],[5.71422286 3.62784926],[ 0.00828231 -0.58432254],[6.0757071  7.29248572],[ 0.82257604 -0.5261889 ],[7.37697673 5.62088788],[0.21027204 0.89083236],[3.11341773 5.13771664],[ 0.2284703  -0.91484915]
[5.48517835 7.85221345],[-0.9897247   0.26163357],[6.76009186 6.06965913],[0.21494855 0.94631457],[3.55850381 3.97038259],[-0.82413283  0.2764585 ],[5.50392231 7.99473637],[0.70211109 0.39959063],[2.79235859 7.73398216],[-0.37268247 -0.9059062 ],[2.33495781 6.42838681],[-0.13241116  0.80277727],[5.71392841 3.5705915 ],[-0.01451204 -0.56067596],[6.15646491 7.2381517 ],[ 0.79239184 -0.56035189],[7.39524415 5.71150308],[0.15473604 0.92063023],[3.13851043 5.04693883],[ 0.27511754 -0.89860152]
[5.3856223  7.87608063],[-1.00083008  0.21589714],[6.77920731 6.16457823],[0.16979822 0.95426723],[3.47644757 4.00075493],[-0.81622219  0.33105348],[5.57450893 8.03301114],[0.70824429 0.36442329],[2.75800943 7.64165638],[-0.31752799 -0.94320684],[2.32482066 6.50973517],[-0.07144388  0.82229506],[5.71107793 3.51559619],[-0.0406553  -0.53683766],[6.23410916 7.18040874],[ 0.7616657  -0.59297616],[7.40773414 5.80472883],[0.09422055 0.94253625],[3.16830217 4.95792457],[ 0.32218404 -0.8798149 ]
