[2.66310151 6.2687702 ],[ 0.95820972 -1.95182424],[3.64149584 7.95218371],[-2.5267865  -1.09509599],[3.06765359 8.63733628],[3.95452837 2.84772856],[4.91875271 2.79933979],[-0.22407195 -3.15831855],[4.16828142 1.90028418],[4.61404275 4.07445986],[8.2501269 8.672318 ],[ 4.90119499 -4.2504091 ],[0.27258746 9.85072984],[2.10532227 1.58450069],[5.43730583 4.26616345],[-2.06835852 -1.21081728],[2.30250421 9.64058639],[-1.24602281 -2.72822467],[5.74091938 5.00397637],[4.32271038 2.25075505]
[3.44410852 5.119017  ],[ 0.74909362 -0.73125281],[2.43131849 7.20230978],[-0.68305839 -0.72977449],[4.44726324 9.26162323],[1.01216043 0.01450447],[4.69387638 1.60430984],[-0.31016856 -0.47800678],[5.20670619 3.27211076],[0.44971788 1.15814756],[8.98324032 7.34779648],[-0.17060202 -1.10998226],[ 1.72979635 10.23082131],[ 1.24286567 -0.27616582],[4.11817309 3.84597817],[-1.02459595  0.0216553 ],[1.97368472 8.10846265],[ 0.10485766 -1.2083168 ],[6.94460011 5.89226058],[0.54979152 0.76964777]
[3.520012   5.04772539],[ 0.76811492 -0.69558961],[2.36560859 7.12817846],[-0.63283884 -0.75468936],[4.54820003 9.25914752],[ 1.00565026 -0.06480331],[4.66147793 1.56076916],[-0.33942008 -0.39344122],[5.24942066 3.38833263],[0.40635668 1.16727116],[8.96078222 7.23693976],[-0.27955562 -1.10795713],[ 1.85330109 10.19889742],[ 1.22727654 -0.3605406 ],[4.01630967 3.85102542],[-1.01224608  0.07938851],[1.98656955 7.98777635],[ 0.15362984 -1.20381052],[6.99706496 5.97037652],[0.49760947 0.79063511]
[3.59776585 4.979919  ],[ 0.78727568 -0.66027081],[2.30476432 7.0513373 ],[-0.58347454 -0.78170252],[4.64842005 9.24872235],[ 0.99999909 -0.14197339],[4.62606936 1.52595496],[-0.37208373 -0.30495508],[5.28796363 3.50540342],[0.36678053 1.17562297],[8.92750683 7.1264623 ],[-0.38448283 -1.10006387],[ 1.97531803 10.15912118],[ 1.20858308 -0.43794914],[3.91583378 3.8619013 ],[-0.996576    0.13853815],[2.00445329 7.86786294],[ 0.20370236 -1.19413736],[7.0438291  6.05010471],[0.43834496 0.80459245]
[3.67747047 4.91567923],[ 0.80990901 -0.62135905],[2.24904992 6.97192198],[-0.53221134 -0.80812312],[4.74796184 9.23060893],[ 0.99009257 -0.22048349],[4.58703222 1.50004746],[-0.40685604 -0.21001371],[5.32272825 3.62325451],[0.32807436 1.18019253],[8.88442582 7.01746962],[-0.47633655 -1.07930841],[ 2.09527553 10.11185608],[ 1.19159956 -0.50452109],[3.81682899 3.8784916 ],[-0.98488217  0.1913238 ],[2.0273623  7.74909939],[ 0.25269544 -1.18225466],[7.08492869 6.13149249],[0.38109122 0.82058967]
[3.7594995  4.85542728],[ 0.83164918 -0.58255468],[2.19843202 6.88978186],[-0.47802462 -0.83270948],[4.84657682 9.20489269],[ 0.98282946 -0.29230564],[4.54439479 1.48397215],[-0.44459309 -0.10876564],[5.35350003 3.74126646],[0.28924673 1.18135014],[8.83220719 6.91053354],[-0.56521762 -1.05693929],[ 2.21333645 10.05822416],[ 1.16920916 -0.56702383],[3.7190164 3.9002096],[-0.97121636  0.24257181],[2.0549422  7.63148622],[ 0.29999529 -1.16836811],[7.11981442 6.21401492],[0.31675748 0.83000961]
[3.84342257 4.79882482],[ 0.8447544  -0.55144462],[2.15306277 6.80496237],[-0.42947881 -0.86374617],[4.94421035 9.17200996],[ 0.97095299 -0.36329043],[4.49800395 1.47850323],[-0.48061985  0.0033022 ],[5.38072618 3.85954669],[0.25617191 1.18452157],[8.77146874 6.80609883],[-0.64504092 -1.02791483],[2.32913654 9.99873762],[ 1.1470266  -0.62114505],[3.62261906 3.92692304],[-0.95449048  0.29329157],[2.08753896 7.51568018],[ 0.35113651 -1.14821229],[7.1483329  6.29757177],[0.2525971  0.84010332]
[3.9286589  4.74537289],[ 0.86238598 -0.51497949],[2.11290058 6.71737897],[-0.37398387 -0.88808881],[5.04043811 9.13210785],[ 0.95410247 -0.43321665],[4.44815234 1.48479234],[-0.51656986  0.12325366],[5.40443498 3.97776597],[0.21982045 1.18139823],[8.70313283 6.70476891],[-0.72054053 -0.9983041 ],[2.44226662 9.93374649],[ 1.11588163 -0.67740291],[3.52832298 3.95898229],[-0.9292355   0.34961026],[2.12518823 7.40193854],[ 0.3993601  -1.12858635],[7.17040006 6.38211926],[0.18998551 0.85201762]
[4.015537   4.69551507],[ 0.87464065 -0.48252145],[2.07846309 6.62752355],[-0.31372828 -0.90792265],[5.13462795 9.08517038],[ 0.92779623 -0.50638747],[4.39500506 1.50364127],[-0.54655607  0.25379654],[5.42484913 4.09587904],[0.19068966 1.18247744],[8.62762289 6.60656763],[-0.78668177 -0.96363868],[2.55216115 9.86328784],[ 1.08648774 -0.72635937],[3.43651774 3.99650648],[-0.91063464  0.39635745],[2.1674463  7.29010307],[ 0.444027   -1.10930883],[7.18617027 6.46780826],[0.12500964 0.86113647]
[4.10370753 4.64903113],[ 0.88941722 -0.44625845],[2.04984237 6.53547932],[-0.25914432 -0.93309646],[5.225939   9.03097297],[ 0.89592971 -0.57892173],[4.33885419 1.5355609 ],[-0.57519434  0.38507362],[5.44219747 4.21378733],[0.15845295 1.17759839],[8.54585062 6.51193124],[-0.84450676 -0.92584727],[2.65970946 9.7888327 ],[ 1.06449073 -0.76177271],[3.34676052 4.03868502],[-0.88408249  0.44706008],[2.21368021 7.17988871],[ 0.47939856 -1.09534797],[7.19556167 6.55448848],[0.0629728  0.87227024]
[4.19324996 4.60615097],[ 0.90028405 -0.41230311],[2.02673918 6.44105465],[-0.20066506 -0.95283297],[5.31425164 8.97004734],[ 0.87156588 -0.637009  ],[4.28021753 1.58067166],[-0.59640012  0.51626434],[5.45657195 4.33134606],[0.1319075  1.17587228],[8.4585008  6.42099707],[-0.90055058 -0.89194531],[2.76474601 9.71077927],[ 1.03770175 -0.79708124],[3.25958124 4.08568048],[-0.85973866  0.4919173 ],[2.26348648 7.07131047],[ 0.51490002 -1.07743363],[7.19889881 6.64233191],[2.89047410e-05 8.80425589e-01]
