[2.94002331 7.6923319 ],[4.93192677 3.27044229],[1.16798274 3.97133211],[-0.86544444  4.28211677],[3.47985806 1.26343896],[-2.23698602 -2.15863909],[3.49028887 2.96199059],[-4.39798163 -0.83091064],[0.01189448 7.16107208],[0.65735955 1.22630616],[5.34910659 3.37197869],[-4.87762258  2.3312928 ],[5.69945591 2.38497037],[ 3.86993927 -1.12976732],[5.90603858 0.3144061 ],[-2.49188809  2.89878513],[7.24285143 0.6068491 ],[-4.76242198 -0.80532393],[8.25603349 4.63850754],[-1.17442787  4.05624246]
[4.39908868 8.09013103],[ 1.02103258 -0.34970581],[1.2373145  5.45116711],[0.49789426 0.89978469],[2.43335898 0.48362922],[-0.72831173 -0.20865187],[2.0306991  2.74929332],[-0.89273431 -0.03001562],[1.09861833 7.71665839],[ 1.22436179 -0.08345425],[3.88233324 4.03952529],[-0.97815518  0.41543765],[7.05421688 2.10188591],[0.75284087 0.01317902],[4.89311701 1.64643836],[-0.67479113  1.04772515],[5.5704468  0.68938701],[-1.16863929  0.44353771],[7.39383961 5.91810874],[-1.04018873  0.54995107]
[4.49983982 8.0503222 ],[ 0.99055182 -0.44838987],[1.29021889 5.53876282],[0.55968634 0.8519203 ],[2.36109493 0.46683168],[-0.72060002 -0.13013915],[1.94277546 2.74752729],[-0.86551298 -0.0045144 ],[1.22165511 7.7040816 ],[ 1.23175715 -0.17009406],[3.7853003  4.08067314],[-0.96783095  0.40258088],[7.12730873 2.10550524],[0.71068537 0.06132929],[4.82642717 1.7511814 ],[-0.65923866  1.04720758],[5.45495458 0.73650582],[-1.14344705  0.49610701],[7.28740008 5.96924768],[-1.08859944  0.47201548]
[4.59718074 8.00071522],[ 0.95716903 -0.54118388],[1.3494851  5.62181125],[0.62467296 0.80833506],[2.28957355 0.45810381],[-0.71004616 -0.04388477],[1.8573727 2.7482532],[-0.83936225  0.02267778],[1.34488812 7.6830116 ],[ 1.23245111 -0.24939299],[3.68892044 4.12022913],[-0.95465568  0.39399532],[7.19613128 2.11406223],[0.66639448 0.11108149],[4.76134945 1.85599273],[-0.64322215  1.04822278],[5.34161119 0.7883263 ],[-1.12198975  0.54101142],[7.17663034 6.01284652],[-1.1253182   0.40080417]
[4.6910464  7.94220536],[ 0.92075359 -0.62658399],[1.4149703  5.70027149],[0.68532315 0.76146232],[2.21879171 0.45791589],[-0.70323403  0.04307772],[1.7749498  2.75222008],[-0.80578924  0.06049324],[1.46751349 7.65399275],[ 1.2207255  -0.32840717],[3.59423298 4.15942997],[-0.93800315  0.39149576],[7.26063976 2.12795467],[0.62604369 0.1699532 ],[4.69768468 1.96075632],[-0.6313254   1.04598904],[5.2304921  0.84451943],[-1.09835915  0.58429445],[7.0628208  6.04977471],[-1.15122556  0.33703247]
[4.78097265 7.87540025],[ 0.87860704 -0.7068557 ],[1.48631196 5.77390021],[0.74132311 0.7112912 ],[2.14887316 0.46679907],[-0.69587801  0.13420902],[1.6960123  2.76027661],[-0.77433688  0.09975678],[1.58874951 7.61741131],[ 1.20548323 -0.39988965],[3.50096289 4.19823181],[-0.92604017  0.38608605],[7.32091988 2.1478684 ],[0.57852454 0.22834939],[4.63536579 2.06548735],[-0.6150706   1.04863876],[5.12186743 0.90500843],[-1.07510431  0.62388186],[6.94662487 6.0803948 ],[-1.17244793  0.27519771]
[4.86626094 7.80068398],[ 0.82769286 -0.78512688],[1.56299693 5.84233835],[0.79304034 0.65856833],[2.07984219 0.48506398],[-0.68592384  0.23003186],[1.61952326 2.771674  ],[-0.7535437   0.13035243],[1.7086941  7.57448662],[ 1.18981621 -0.46054569],[3.40910825 4.23678647],[-0.91317427  0.38306443],[7.37618    2.17372363],[0.52552517 0.28883386],[4.57433897 2.17016254],[-0.60795732  1.04254145],[5.01589218 0.96961694],[-1.04557709  0.66665461],[6.82843417 6.10483514],[-1.19322021  0.21130552]
[4.94655633 7.7187708 ],[ 0.77980632 -0.84980124],[1.64486256 5.90562114],[0.84052246 0.60386006],[2.01221214 0.51334848],[-0.66830097  0.3338474 ],[1.54546672 2.78656819],[-0.72854758  0.16686172],[1.82663184 7.52552197],[ 1.16720091 -0.51916116],[3.31826763 4.27480148],[-0.90233419  0.37874199],[7.42616769 2.20608248],[0.47025103 0.35575751],[4.51423662 2.27447757],[-0.59549732  1.04240355],[4.91252852 1.03801057],[-1.01993509  0.70244101],[6.7083423  6.12290452],[-1.2078284   0.15065577]
[5.02158804 7.63042245],[ 0.72166817 -0.91467065],[1.73138905 5.96347355],[0.89258027 0.55647287],[1.94632734 0.55190787],[-0.64568452  0.44039124],[1.47412926 2.80541903],[-0.70025536  0.20837524],[1.94220212 7.4709797 ],[ 1.1425311  -0.57212739],[3.22874009 4.31266561],[-0.89170207  0.37518647],[7.47013533 2.24510869],[0.40811787 0.42528311],[4.45550511 2.37890309],[-0.57956112  1.04555109],[4.8117883 1.1098936],[-0.99494812  0.73465545],[6.58701096 6.13504538],[-1.21952233  0.09120906]
[5.09090496 7.53616292],[ 0.66583757 -0.96787207],[1.82308606 6.01676133],[0.93949105 0.50824144],[1.88274883 0.60093515],[-0.62476704  0.54003217],[1.40568083 2.82855706],[-0.66900616  0.25432168],[2.0551946  7.41137622],[ 1.11654868 -0.61968421],[3.14026122 4.35018549],[-0.87964377  0.37355719],[7.50760707 2.29129797],[0.34188345 0.50056216],[4.39817727 2.48343473],[-0.56925755  1.04291275],[4.71381874 1.18513532],[-0.9636616   0.77056892],[6.464435   6.14105671],[-1.23073958  0.02993485]
[5.1546694  7.43703436],[ 0.60913281 -1.01375523],[1.9190736  6.06506186],[0.97615572 0.45449013],[1.82165396 0.65992169],[-0.59565414  0.63947604],[1.34033991 2.85633343],[-0.63503786  0.304154  ],[2.16558226 7.34731589],[ 1.09178966 -0.65997714],[3.05276779 4.38733883],[-0.86886095  0.37099576],[7.538306   2.34534044],[0.26842357 0.57794691],[4.34156317 2.58742226],[-0.56116177  1.03877167],[4.61876643 1.26363776],[-0.93377802  0.80271358],[6.34125018 6.14138418],[-1.23210455 -0.02239215]
