[2.94002331 7.6923319 ],[4.93192677 3.27044229],[1.16798274 3.97133211],[-0.86544444  4.28211677],[3.47985806 1.26343896],[-2.23698602 -2.15863909],[3.49028887 2.96199059],[-4.39798163 -0.83091064],[0.01189448 7.16107208],[0.65735955 1.22630616],[5.34910659 3.37197869],[-4.87762258  2.3312928 ],[5.69945591 2.38497037],[ 3.86993927 -1.12976732],[5.90603858 0.3144061 ],[-2.49188809  2.89878513],[7.24285143 0.6068491 ],[-4.76242198 -0.80532393],[8.25603349 4.63850754],[-1.17442787  4.05624246]
[5.34192064 5.15923257],[-0.35683394 -1.08299154],[4.00850939 5.96190296],[ 0.93564882 -0.45460215],[1.65476843 2.8629732 ],[0.34908089 1.16305923],[1.06929956 4.39557045],[0.45829518 0.9865831 ],[3.82226277 5.62201467],[ 0.5782083  -0.95196696],[1.53465611 5.10345502],[-0.60647573  0.39299771],[6.49169492 4.10187898],[-1.01065214  0.74035706],[3.37960793 4.59320574],[-0.40308946  0.96115318],[3.28546708 3.2271015 ],[-0.44781984  1.05679066],[4.0670494  5.46844203],[-1.01078229 -0.50747009]
[5.30430387 5.05180767],[-0.39348134 -1.06346798],[4.10093875 5.91495588],[ 0.91353976 -0.48330271],[1.6912349  2.97888492],[0.37919004 1.15417186],[1.11757899 4.49351345],[0.5069641  0.97198165],[3.87861908 5.52644759],[ 0.54964671 -0.95844753],[1.47495098 5.14309598],[-0.5856117   0.40178581],[6.38961849 4.17434838],[-1.03116716  0.70846791],[3.3395377  4.68893749],[-0.39739098  0.95442261],[3.24160399 3.33285945],[-0.43014569  1.05760454],[3.96663387 5.41740764],[-1.00040921 -0.51595391]
[5.26293714 4.94626024],[-0.43270715 -1.0462518 ],[4.19099139 5.86509185],[ 0.8888543  -0.51223465],[1.73065287 3.09388303],[0.40920209 1.14592278],[1.17072929 4.58999802],[0.55419766 0.95601545],[3.93239511 5.43055868],[ 0.52853199 -0.9566378 ],[1.41732528 5.18358908],[-0.56540293  0.40950648],[6.28582003 4.24387694],[-1.04728118  0.67934129],[3.30026533 4.78421277],[-0.38855416  0.95050207],[3.19953678 3.43871489],[-0.40995775  1.06064763],[3.8671702  5.36546967],[-0.98876018 -0.52248483]
[5.21824149 4.8430308 ],[-0.46171099 -1.01912526],[4.27858182 5.81245712],[ 0.8632508  -0.53980863],[1.77270362 3.20773008],[0.43132807 1.1310004 ],[1.22837131 4.68468201],[0.5949196  0.93420738],[3.98392842 5.33473874],[ 0.50463758 -0.95714731],[1.36169754 5.22480446],[-0.54605783  0.41580755],[6.18042085 4.31042875],[-1.06084123  0.65133767],[3.26146046 4.87867931],[-0.38512974  0.94133441],[3.15915168 3.5445271 ],[-0.39630838  1.05705452],[3.76908447 5.31315535],[-0.97357    -0.52421583]
[5.17044971 4.74228824],[-0.49318414 -0.99485704],[4.36357027 5.75712989],[ 0.83828723 -0.56457714],[1.81710086 3.32030988],[0.45788273 1.12193048],[1.28984943 4.77701833],[0.63434882 0.91250039],[4.03348151 5.23929175],[ 0.48620678 -0.95202967],[1.3082528  5.26686698],[-0.52172122  0.42647668],[6.07399067 4.37446764],[-1.0702715   0.62675781],[3.22319962 4.97243463],[-0.37963591  0.93417628],[3.12055142 3.6503863 ],[-0.37722726  1.05852421],[3.67219886 5.26040047],[-0.96235636 -0.5289501 ]
[5.11931772 4.64378333],[-0.53060101 -0.97633414],[4.44634634 5.69973237],[ 0.81384542 -0.58639621],[1.86363353 3.43152128],[0.47359698 1.10355927],[1.35495414 4.86694118],[0.66867565 0.88719703],[4.08096253 5.14414354],[ 0.46408602 -0.9502005 ],[1.25745737 5.31017989],[-0.49281076  0.44104867],[5.96637976 4.43575817],[-1.08217774  0.59871927],[3.18538055 5.0653646 ],[-0.3763144   0.92490355],[3.0839469  3.75644602],[-0.35828837  1.05913766],[3.57661361 5.20740213],[-0.94977593 -0.5312541 ]
[5.06475172 4.54746442],[-0.56020552 -0.94960777],[4.52624068 5.63981243],[ 0.78465814 -0.61104537],[1.91203792 3.54128902],[0.49195914 1.08947279],[1.42369038 4.9546048 ],[0.6987959  0.85918122],[4.12632061 5.04929506],[ 0.44365643 -0.94618845],[1.20927012 5.35462674],[-0.4707041   0.44797395],[5.85764978 4.49426769],[-1.08993853  0.57386888],[3.14825814 5.1577214 ],[-0.36882415  0.91944238],[3.04883359 3.86216624],[-0.34451056  1.05487498],[3.48183853 5.15374986],[-0.94177404 -0.53771381]
[5.0070026  4.45359755],[-0.59317528 -0.92612957],[4.60328837 5.57759763],[ 0.75726533 -0.6319181 ],[1.96180317 3.64926799],[0.50124862 1.06849835],[1.49531451 5.03943934],[0.72843793 0.83259374],[4.16967254 4.95490603],[ 0.42581863 -0.93920415],[1.16371693 5.40014012],[-0.43918592  0.46330459],[5.74856155 4.55071705],[-1.0938128   0.55308354],[3.11206768 5.24968398],[-0.3568134   0.91789057],[3.01514934 3.96752885],[-0.32944943  1.05205889],[3.38834252 5.09997848],[-0.92843972 -0.53787185]
[4.94627213 4.36239995],[-0.62073425 -0.89724451],[4.67752856 5.51333048],[ 0.72672631 -0.65393259],[2.0128388  3.75559654],[0.51744281 1.05626992],[1.56950043 5.12130714],[0.75672709 0.80656426],[4.21095569 4.86094864],[ 0.40011267 -0.93954526],[1.12076155 5.44657653],[-0.41519378  0.46996969],[5.63892939 4.60491191],[-1.09698665  0.53268622],[3.07661733 5.34101365],[-0.35037338  0.91048648],[2.98304676 4.07267393],[-0.31219642  1.051236  ],[3.2962115  5.04627168],[-0.91352555 -0.53542007]
[4.88322282 4.27450787],[-0.64220124 -0.86268043],[4.74847893 5.44672116],[ 0.6941957  -0.67602782],[2.06517689 3.86045861],[0.53054931 1.04238691],[1.64650908 5.20065658],[0.78269384 0.78003903],[4.25000153 4.76732966],[ 0.38005704 -0.9334725 ],[1.0808219  5.49423173],[-0.37933094  0.48717013],[5.52895371 4.65704241],[-1.10364379  0.50869578],[3.04201587 5.43178547],[-0.34388479  0.90271842],[2.95251277 4.17756653],[-0.2981759   1.04697747],[3.20575218 4.99305511],[-0.89803249 -0.53106413]
[4.81763551 4.18967287],[-0.66937433 -0.8338647 ],[4.81625734 5.37808218],[ 0.66019116 -0.69761144],[2.11870035 3.96386939],[0.53933196 1.02552472],[1.7261302  5.27746479],[0.80666059 0.75343021],[4.28691422 4.67422316],[ 0.35931368 -0.92747078],[1.04472546 5.54378185],[-0.343566    0.50260074],[5.41825122 4.70666503],[-1.10709457  0.48701844],[3.0078577  5.52158008],[-0.33902514  0.89345035],[2.92342489 4.28207924],[-0.28470336  1.04213679],[3.11662926 4.94011292],[-0.88667515 -0.52991666]
[4.74953844 4.10793208],[-0.69365875 -0.80208494],[4.88079128 5.30754111],[ 0.62689042 -0.71648268],[2.17312966 4.06570074],[0.54960369 1.01164144],[1.80764921 5.35120785],[0.82298475 0.72104116],[4.32143097 4.58143606],[ 0.33143225 -0.92758693],[1.01209543 5.59467541],[-0.30694074  0.51705905],[5.30745751 4.75438237],[-1.10760657  0.46851648],[2.97412492 5.61038952],[-0.33452125  0.88389165],[2.89550095 4.3859415 ],[-0.2733731   1.03556362],[3.02873595 4.88741645],[-0.87037133 -0.52303995]
[4.67887545 4.02923968],[-0.7161076  -0.76831272],[4.9418055  5.23502832],[ 0.59542015 -0.73143981],[2.22843763 4.16605213],[0.55494989 0.99410358],[1.89101657 5.42201855],[0.84502374 0.69620767],[4.35298317 4.48855068],[ 0.3025373 -0.9269915],[0.98329776 5.64707936],[-0.26803779  0.53163701],[5.19656648 4.80020957],[-1.11064714  0.44752609],[2.94116645 5.69854991],[-0.32442841  0.87948648],[2.86894636 4.48937953],[-0.25921145  1.03167537],[2.94206161 4.83503992],[-0.86444137 -0.52578121]
[4.60560193 3.95356529],[-0.74650797 -0.74234685],[4.99966316 5.16110846],[ 0.56164169 -0.74671646],[2.28444071 4.26488545],[0.56567561 0.98322869],[1.97654964 5.4904091 ],[0.86648473 0.67283741],[4.38240323 4.39651297],[ 0.28524013 -0.91437592],[0.95836929 5.7008023 ],[-0.23055707  0.54240938],[5.0853672  4.84390736],[-1.11418523  0.42555495],[2.90925348 5.7862708 ],[-0.31391041  0.87478159],[2.84369362 4.5923122 ],[-0.24535201  1.02743142],[2.85630257 4.78272916],[-0.85289148 -0.52246025]
[4.52976906 3.8809745 ],[-0.77066039 -0.71002822],[5.05407562 5.08569723],[ 0.52675464 -0.76102262],[2.34160337 4.36274458],[0.57804472 0.97452528],[2.06423933 5.55658305],[0.88316279 0.64691001],[4.40980882 4.30546468],[ 0.26063655 -0.90866547],[0.9376731  5.75595335],[-0.18271924  0.56077533],[4.97408248 4.88566831],[-1.11561161  0.40558659],[2.87794017 5.87305534],[-0.31290143  0.8604788 ],[2.81972964 4.69471997],[-0.23122376  1.02336777],[2.77166915 4.73075245],[-0.83965133 -0.51682181]
[4.45169425 3.8117924 ],[-0.7901406 -0.6729365],[5.104818   5.00878303],[ 0.48871513 -0.77627703],[2.39957416 4.45934185],[0.58513112 0.9614155 ],[2.15313003 5.61978685],[0.89461905 0.61745996],[4.4346709  4.21496677],[ 0.23636431 -0.90139495],[0.92189222 5.81290767],[-0.13406345  0.5765982 ],[4.86291661 4.92569446],[-1.11026744  0.39259033],[2.84723269 5.95891679],[-0.30325589  0.8546456 ],[2.79737545 4.79688468],[-0.21613088  1.01957164],[2.68821378 4.67922696],[-0.83017278 -0.5142853 ]
[4.37137626 3.74602836],[-0.81356938 -0.63975922],[5.15190018 4.93059636],[ 0.44953945 -0.790474  ],[2.45850365 4.55491276],[0.59366946 0.95035073],[2.24321665 5.68018185],[0.90759431 0.59127229],[4.45687807 4.12503328],[ 0.20781658 -0.89703145],[0.91088854 5.87118203],[-0.08417032  0.59015191],[4.75201627 4.96417801],[-1.10670094  0.37815021],[2.81741124 6.04409341],[-0.29345671  0.84845447],[2.77634733 4.89847191],[-0.20630895  1.01042434],[2.60559905 4.62786975],[-0.82229169 -0.51298555]
[4.28894003 3.6838084 ],[-0.83692071 -0.60648553],[5.19461025 4.85066886],[ 0.40356552 -0.80868828],[2.51825539 4.64937652],[0.59893393 0.93668709],[2.3345617  5.73801405],[0.91930965 0.56571269],[4.47597315 4.03537347],[ 0.17530757 -0.89464502],[0.9050641 5.9308067],[-0.03248887  0.60153039],[4.6415749  5.00134673],[-1.10162394  0.3658214 ],[2.78843483 6.12849176],[-0.28418372  0.84131478],[2.75655772 4.99941209],[-0.19091758  1.00681709],[2.52396448 4.57685611],[-0.81147793 -0.50828655]
[4.20451628 3.62526122],[-0.85399997 -0.56693358],[5.23287956 4.76922375],[ 0.36196928 -0.81968757],[2.57831952 4.74231636],[0.60458001 0.9245005 ],[2.4268716  5.79316979],[0.92807068 0.53889688],[4.49217908 3.94640027],[ 0.15080436 -0.88270288],[0.90476876 5.99171936],[0.02937422 0.61870906],[4.53159412 5.03725035],[-1.09592869  0.35455418],[2.76043735 6.21219986],[-0.27350688  0.83500958],[2.7380247  5.09969551],[-0.17902204  0.99963718],[2.44337529 4.52630305],[-0.80121199 -0.50362098]
[4.11841351 3.57070584],[-0.87021573 -0.52637562],[5.26676506 4.68659527],[ 0.31971353 -0.82855102],[2.63901009 4.83413133],[0.60697731 0.90972579],[2.51976619 5.84542427],[0.92951751 0.50611346],[4.50617263 3.85888865],[ 0.12759296 -0.86885594],[0.9108763  6.05430825],[0.09299446 0.6324823 ],[4.42200087 5.07186879],[-1.09539142  0.33826187],[2.73331124 6.29505614],[-0.26782486  0.82330183],[2.72070615 5.19928918],[-0.16436042  0.99513182],[2.36364879 4.47607161],[-0.79481271 -0.5024567 ]
[4.03017589 3.51967928],[-0.89375736 -0.49358492],[5.29612915 4.60292221],[ 0.27092525 -0.84098657],[2.6997559  4.92434237],[0.61000233 0.89666384],[2.61316319 5.89481961],[0.9365213  0.48018664],[4.51713639 3.77213791],[ 0.0928505  -0.86462387],[0.92307934 6.11775636],[0.15079764 0.63545033],[4.31270659 5.10509057],[-1.09067547  0.32603947],[2.70670553 6.37669342],[-0.26101783  0.81269607],[2.7049617 5.298506 ],[-0.14910588  0.9904716 ],[2.28448932 4.42589224],[-0.78764775 -0.50039015]
[3.94038592 3.47271962],[-0.90396282 -0.44750091],[5.32121107 4.51873917],[ 0.22690886 -0.84604145],[2.76069934 5.01318022],[0.60870739 0.88010937],[2.70705054 5.94147974],[0.94139269 0.4534773 ],[4.52514037 3.68642322],[ 0.06857628 -0.84814603],[0.94157004 6.18175717],[0.21815631 0.64287061],[4.20398321 5.13721338],[-1.08640235  0.31374704],[2.68078872 6.45726147],[-0.25778346  0.79824292],[2.69085963 5.39733064],[-0.13331648  0.98558727],[2.20618384 4.37607132],[-0.77826745 -0.49576164]
[3.84886797 3.42965218],[-0.92562635 -0.41336903],[5.34111643 4.43345924],[ 0.17429262 -0.85594306],[2.82153662 5.1004373 ],[0.61110934 0.86821502],[2.80119842 5.98530341],[0.94257339 0.42419075],[4.53023895 3.60195294],[ 0.03297571 -0.84123697],[0.96704679 6.24647706],[0.29057022 0.64987242],[4.09576172 5.16817727],[-1.07767521  0.30604716],[2.6553268  6.53651448],[-0.25283076  0.78544548],[2.67817461 5.49548484],[-0.12095497  0.97698678],[2.12882132 4.32673983],[-0.76989996 -0.49173411]
[3.75551807 3.39027557],[-0.93789513 -0.37080194],[5.35609785 4.34769434],[ 0.12515174 -0.8590289 ],[2.8826983  5.18661598],[0.61285191 0.85619787],[2.89577915 6.02657749],[0.94975624 0.40234354],[4.53203277 3.51854864],[-0.00159166 -0.83096034],[0.99986192 6.31172144],[0.36495137 0.65345238],[3.98846361 5.19846447],[-1.06601973  0.30217718],[2.63026375 6.61439132],[-0.24536143  0.77508464],[2.66633716 5.59241958],[-0.11316217  0.96446912],[2.05277483 4.27831921],[-0.75509894 -0.48060464]
[3.66151209 3.35574407],[-0.94534862 -0.32296353],[5.36593912 4.26156768],[ 0.06960817 -0.86490883],[2.94403807 5.27162406],[0.6106813  0.84085732],[2.9906883  6.06535737],[0.94907872 0.37403356],[4.53006504 3.43601444],[-0.03628191 -0.81786292],[1.03994438 6.37690453],[0.43632872 0.64920156],[3.8821349  5.22821618],[-1.06034311  0.29315145],[2.60616876 6.69141614],[-0.23791101  0.76398714],[2.65570751 5.68852877],[-0.10097137  0.95617377],[1.97794785 4.23078129],[-0.74133955 -0.46991289]
[3.56644339 3.32566314],[-0.95437639 -0.27709739],[5.37040252 4.1752323 ],[ 0.02024995 -0.86074115],[3.0048232  5.35481335],[0.60994965 0.82795868],[3.08555248 6.10137409],[0.94901346 0.34726122],[4.52442153 3.35472193],[-0.07244485 -0.80343131],[1.08673614 6.44103176],[0.50139306 0.63473083],[3.77625256 5.25693109],[-1.05493215  0.283507  ],[2.58280926 6.76729955],[-0.22830522  0.75457942],[2.64609254 5.78360706],[-0.0899087   0.94686706],[1.90450342 4.1843569 ],[-0.72833089 -0.45925616]
[3.47055388 3.30023771],[-0.96178729 -0.22995292],[5.37001138 4.0895461 ],[-0.03018208 -0.85456659],[3.06580457 5.43700365],[0.60810762 0.81438817],[3.18045865 6.13481542],[0.94849034 0.32117404],[4.5152888  3.27513029],[-0.10721989 -0.78499448],[1.14050143 6.5040116 ],[0.57100447 0.62158274],[3.67124117 5.2850251 ],[-1.04494497  0.27891937],[2.56032199 6.84211854],[-0.22584566  0.73741055],[2.63779612 5.87794651],[-0.07824073  0.93768533],[1.83184335 4.13850262],[-0.72495213 -0.4578943 ]
[3.37374773 3.2793146 ],[-0.97249251 -0.18699914],[5.36423343 4.00432165],[-0.08452449 -0.84844539],[3.12695492 5.51821217],[0.61037246 0.80535192],[3.27556834 6.16597669],[0.95269697 0.30132855],[4.50243637 3.19728763],[-0.1463916  -0.76795317],[1.20069998 6.56503018],[0.63374566 0.59936951],[3.56704668 5.31250881],[-1.04094162  0.26860507],[2.53800495 6.9151474 ],[-0.22080895  0.72285091],[2.63054509 5.97124654],[-0.06745645  0.92759731],[1.76043476 4.09371989],[-0.70539758 -0.439729  ]
[3.27612847 3.26287837],[-0.97838963 -0.14041505],[5.35305767 3.91994051],[-0.13957785 -0.83921034],[3.18786889 5.59808432],[0.61010598 0.7944017 ],[3.37050037 6.19461558],[0.94697543 0.27256963],[4.48559604 3.12124102],[-0.18980876 -0.75175486],[1.26715957 6.6237465 ],[0.69428963 0.57378414],[3.4629192 5.3385604],[-1.0378313   0.25615119],[2.51626642 6.9867808 ],[-0.21049961  0.71311353],[2.62460702 6.06375316],[-0.05014049  0.92352124],[1.69085848 4.05068445],[-0.68813544 -0.42284462]
[3.17793438 3.2510598 ],[-0.98690016 -0.09767651],[5.33632382 3.83662703],[-0.19749803 -0.82882579],[3.24894542 5.6770684 ],[0.60843631 0.78241921],[3.46471865 6.22025191],[0.93713785 0.23990552],[4.46451881 3.04710931],[-0.23265706 -0.7312292 ],[1.33909348 6.6793034 ],[0.74507649 0.53814163],[3.35935101 5.36360456],[-1.03255406  0.24562905],[2.49527878 7.05712255],[-0.2057883   0.69714244],[2.62049907 6.15588376],[-0.03507795  0.91589677],[1.62271427 4.00908469],[-0.6759968 -0.4102933]
[3.0791486  3.24367635],[-0.98586843 -0.04719006],[5.31367396 3.75444867],[-0.25772146 -0.8163345 ],[3.30991702 5.75494306],[0.60885476 0.7730113 ],[3.55818963 6.2428594 ],[0.93273569 0.21289111],[4.43930551 2.97536599],[-0.27552348 -0.70695085],[1.41636529 6.73158225],[0.79734647 0.50472693],[3.25654723 5.38783764],[-1.02672416  0.23579589],[2.47510454 7.12617618],[-0.19756037  0.68397066],[2.61741985 6.24677291],[-0.02476159  0.90361927],[1.55574021 3.96872995],[-0.66453503 -0.39775648]
[2.98034969 3.24117515],[-9.87078999e-01 -1.52361432e-04],[5.28480328 3.67355018],[-0.32032683 -0.80159362],[3.37068799 5.83165958],[0.60736996 0.76220332],[3.65111909 6.26270427],[0.92582156 0.18401316],[4.40931229 2.90577349],[-0.32722793 -0.68706767],[1.49856088 6.78029013],[0.84734829 0.4707094 ],[3.15402251 5.41074341],[-1.02393649  0.22206432],[2.45501734 7.1931608 ],[-0.20245829  0.65751379],[2.61541319 6.33647259],[-0.01243415  0.8932714 ],[1.48991245 3.92966142],[-0.65154426 -0.38301277]
[2.88157878 3.24343907],[-0.98556432  0.04793492],[5.24967576 3.59435729],[-0.38109129 -0.78054406],[3.43097706 5.90698917],[0.5987217  0.74482541],[3.7435646  6.27990743],[0.92112313 0.15820006],[4.37415089 2.83841307],[-0.37426858 -0.65775082],[1.58551643 6.82549197],[0.89214737 0.43430486],[3.05205756 5.43253872],[-1.01715408  0.21203134],[2.43469319 7.25775595],[-0.20231676  0.63605531],[2.61481756 6.42528126],[-0.00261472  0.87977206],[1.42537354 3.89209595],[-0.63789942 -0.36681807]
[2.78322746 3.25070651],[-0.98078799  0.09780251],[5.20837629 3.51738111],[-0.44496904 -0.75845412],[3.49075644 5.9809677 ],[0.59890306 0.73685391],[3.8353359  6.29435702],[0.91452508 0.13114456],[4.33389669 2.77382513],[-0.42895288 -0.63139274],[1.67659422 6.86686828],[0.92628902 0.39068725],[2.95074824 5.45330072],[-1.00871529  0.20351687],[2.41465746 7.3204541 ],[-0.19741423  0.61879884],[2.61544962 6.51297876],[0.01553899 0.87424224],[1.36228701 3.85628413],[-0.62366778 -0.34910017]
[2.68540742 3.26292934],[-0.97664622  0.14518112],[5.16096723 3.44309025],[-0.50593746 -0.72958659],[3.55047036 6.05408457],[0.59694185 0.72713502],[3.92628941 6.30596912],[0.90786672 0.10457474],[4.2883228  2.71226268],[-0.48391358 -0.600539  ],[1.77082422 6.90377929],[0.95710031 0.34706772],[2.8501701  5.47309557],[-1.00278747  0.19246438],[2.39494722 7.38122646],[-0.19577981  0.5976094 ],[2.61775007 6.5999158 ],[0.02736133 0.86138883],[1.30065391 3.82232339],[-0.6081954 -0.3291447]
[2.58808577 3.27984868],[-0.9677044   0.19487006],[5.10715331 3.37156316],[-0.56902077 -0.69915861],[3.60987025 6.12613482],[0.59106191 0.71398272],[4.01654644 6.31494194],[0.89832692 0.07600608],[4.23721082 2.65398   ],[-0.5375518  -0.56367763],[1.86772626 6.93610069],[0.98106316 0.30018986],[2.75054339 5.49215935],[-0.98849884  0.19011656],[2.37543426 7.43988446],[-0.1927773   0.57712393],[2.62110805 6.68544459],[0.04278319 0.85204818],[1.24051131 3.79035608],[-0.59329346 -0.30867145]
[2.49183764 3.30181828],[-0.95815641  0.24315676],[5.04707206 3.30327991],[-0.63373722 -0.66727398],[3.66886388 6.19707883],[0.58779274 0.70395926],[4.10621441 6.32147183],[0.89303851 0.05288535],[4.18064662 2.59951702],[-0.59277462 -0.52401637],[1.96715117 6.96406437],[1.00850369 0.26112541],[2.65208078 5.51076466],[-0.98247089  0.18018019],[2.35660075 7.49682261],[-0.18482058  0.56055747],[2.6260146  6.77000085],[0.05523566 0.83892248],[1.18170608 3.76033837],[-0.5834148  -0.29213148]
[2.39669202 3.32864039],[-0.94873809  0.28877945],[4.98083427 3.23862739],[-0.69265594 -0.62717652],[3.72737473 6.2668908 ],[0.58369352 0.69364964],[4.19514927 6.32554177],[0.88831725 0.03145568],[4.11864707 2.54931092],[-0.64627371 -0.47863797],[2.06851206 6.98754591],[1.01690217 0.20721945],[2.55412655 5.52825009],[-0.97628592  0.16980731],[2.3381588  7.55165365],[-0.17876976  0.54114148],[2.63226876 6.85332461],[0.0706618  0.82824959],[1.12403581 3.73217421],[-0.57268435 -0.27366736]
[2.302551   3.35992134],[-0.93435265  0.3361937 ],[4.90839294 3.17775697],[-0.75483396 -0.58882845],[3.7851713 6.3353971],[0.57421517 0.67857623],[4.28345874 6.32739566],[0.87535174 0.00323361],[4.0514053  2.50392927],[-0.69794485 -0.4279649 ],[2.17073889 7.0057936 ],[1.03044606 0.16134666],[2.45707539 5.54497901],[-0.96456389  0.16509461],[2.3206347  7.60479111],[-0.17073087  0.5224108 ],[2.63956538 6.93506535],[0.07785061 0.80919819],[1.06735696 3.70582794],[-0.56146343 -0.25362088]
[2.20984879 3.39580529],[-0.9167222   0.38394598],[4.83018592 3.12120973],[-0.80915652 -0.54202602],[3.842344   6.40275074],[0.56645779 0.66582504],[4.3705719  6.32656019],[ 0.86543817 -0.02122198],[3.97882149 2.46357858],[-0.75327112 -0.37837668],[2.27413134 7.01948878],[1.03649329 0.11217084],[2.36107079 5.5611334 ],[-0.95538367  0.15818007],[2.30394648 7.65602238],[-0.16095137  0.50408358],[2.64814782 7.01544829],[0.09139826 0.79598456],[1.01194001 3.68169056],[-0.54661552 -0.22861639]
[2.11923158 3.43665971],[-0.896759    0.43157502],[4.74659408 3.0693784 ],[-0.8589542  -0.49105934],[3.89868594 6.46880867],[0.56319653 0.65823809],[4.45674224 6.32338644],[ 0.85657924 -0.04336174],[3.90133255 2.42890383],[-0.79635561 -0.31475907],[2.37805475 7.02836066],[1.04190691 0.06591277],[2.26603866 5.57665953],[-0.94370886  0.15392451],[2.2879556 7.7050698],[-0.15700725  0.47854179],[2.65801342 7.09441161],[0.10593763 0.78322276],[0.95807956 3.66020419],[-0.529033   -0.19927795]
[2.03105115 3.48259212],[-0.869992    0.48343523],[4.65826357 3.02284203],[-0.90608846 -0.43847536],[3.95487778 6.53431002],[0.55977011 0.65101648],[4.54185139 6.31789057],[ 0.84284412 -0.06912933],[3.81956591 2.40068715],[-0.83628    -0.24689138],[2.48235381 7.03263164],[1.04451086 0.02068297],[2.17243953 5.59206874],[-0.93147593  0.15114   ],[2.27262905 7.75176173],[-0.15076328  0.45380907],[2.66922661 7.17195799],[0.1173311  0.76667355],[0.90605334 3.64181981],[-0.51348151 -0.17010026]
[1.94495932 3.53296018],[-0.85103209  0.52409389],[4.56536069 2.98160207],[-0.94862648 -0.38350227],[4.01057871 6.59897207],[0.55426982 0.64236216],[4.62557041 6.30984822],[ 0.82916673 -0.09390012],[3.73382064 2.37928296],[-0.87974059 -0.1826342 ],[2.58680676 7.0324756 ],[ 1.04400933 -0.02372666],[2.07961814 5.60674818],[-0.92433125  0.14301802],[2.25793061 7.79590296],[-0.14290486  0.42905351],[2.68143859 7.2476923 ],[0.12676184 0.74787872],[0.85541308 3.62627388],[-0.50094047 -0.14213283]
[1.86096381 3.587415  ],[-0.82949787  0.56374541],[4.46886673 2.9464042 ],[-0.97994683 -0.31952801],[4.06520809 6.662285  ],[0.53945577 0.6251885 ],[4.70731925 6.29874927],[ 0.80837784 -0.12543315],[3.64394044 2.36441945],[-0.91732376 -0.1147441 ],[2.69129321 7.02816346],[ 1.04485409 -0.06262561],[1.98779537 5.62089525],[-0.91191643  0.14027109],[2.24401727 7.83747641],[-0.13466385  0.4028086 ],[2.69498405 7.32190961],[0.14323991 0.73542021],[0.8059891  3.61358082],[-0.49048716 -0.11439182]
[1.77957825 3.64612159],[-0.80117963  0.60685723],[4.36932661 2.91757135],[-1.01046608 -0.25741103],[4.11867591 6.72424359],[0.52920584 0.61342265],[4.78734473 6.28489197],[ 0.79293021 -0.15073066],[3.55069718 2.35657663],[-0.94468744 -0.03990181],[2.79565969 7.01997216],[ 1.04093954 -0.10203625],[1.89732017 5.63490912],[-0.8994699   0.13819452],[2.23069494 7.87609086],[-0.13335848  0.36759469],[2.710168   7.39481746],[0.15733843 0.71953526],[0.7580483  3.60420042],[-0.47088447 -0.07538801]
[1.70111825 3.70906752],[-0.76987344  0.64963762],[4.26708877 2.89512966],[-1.03201906 -0.18971525],[4.17094617 6.7848957 ],[0.51410163 0.5976858 ],[4.86544717 6.26817324],[ 0.77072259 -0.18190893],[3.45512807 2.35645417],[-0.96631113  0.03694832],[2.89950634 7.00789307],[ 1.03741881 -0.13732673],[1.8077046  5.64832406],[-0.89206991  0.13089692],[2.21795619 7.91152621],[-0.1216412   0.34050547],[2.72661451 7.46595825],[0.17218562 0.70370956],[0.71167787 3.59844733],[-0.45889711 -0.04170764]
[1.62560083 3.77593246],[-0.73891333  0.68863847],[4.1629668  2.87957866],[-1.05002682 -0.1216358 ],[4.22134245 6.84366277],[0.4974239  0.58142565],[4.94109577 6.2481352 ],[ 0.74444262 -0.21661356],[3.35756387 2.36392654],[-0.9860685   0.11026715],[3.00266397 6.99214685],[ 1.02617392 -0.17669316],[1.71878192 5.66094508],[-0.88518133  0.12264528],[2.20610165 7.94383457],[-0.1137388   0.30694848],[2.74442671 7.5353491 ],[0.18185646 0.68186056],[0.6665129  3.59617853],[-0.44304186 -0.00191708]
[1.55311385 3.84646025],[-0.71036924  0.7218014 ],[4.05715661 2.87074224],[-1.063983   -0.05364956],[4.27031201 6.90109517],[0.48281664 0.56824946],[5.01473908 6.22530296],[ 0.72491666 -0.24327434],[3.25821667 2.37857049],[-0.99986411  0.18231807],[3.10488528 6.9728113 ],[ 1.01886304 -0.20875968],[1.63084308 5.67302833],[-0.87226756  0.1204114 ],[2.19500513 7.97260901],[-0.1098321   0.26642494],[2.76327962 7.60260063],[0.1960871  0.66394156],[0.62299874 3.59807932],[-0.42757781  0.03998823]
[1.48377546 3.92042937],[-0.67804612  0.75537989],[3.95022782 2.86877431],[-1.07273188  0.01523389],[4.317671   6.95711453],[0.46362151 0.55158442],[5.08613126 6.19957157],[ 0.70243096 -0.2715851 ],[3.15797088 2.40052499],[-1.00436455  0.25613702],[3.20614926 6.9502255 ],[ 1.00634094 -0.24254845],[1.54401982 5.68472237],[-0.86155882  0.11613881],[2.18459874 7.99746674],[-0.09956246  0.2289059 ],[2.78355696 7.66801027],[0.20885012 0.643518  ],[0.58156918 3.60484018],[-0.40092768  0.09575722]
