[1.27161905 5.25818277],[1.64806997 0.24632288],[0.45836999 1.26733395],[-3.37541413  4.699105  ],[1.20221826 7.13825916],[3.70733181 0.61792324],[7.00537476 4.98759075],[-4.66216795  0.71112728],[1.45737844 7.47495202],[-4.65615253 -1.73525553],[0.08182065 0.23215631],[-4.44065809  2.89882372],[8.909318   8.44374664],[-1.93662031 -0.288157  ],[7.40160257 4.67484566],[1.16369471 0.05846215],[4.27173113 9.70823234],[-0.07341333 -1.5279724 ],[8.09366566 7.01789391],[-4.1729398  -4.80816945]
[1.42735402 5.28147812],[1.48263039 0.22130122],[0.27886981 1.52623386],[-1.21134521  1.85966747],[1.46282449 7.17969552],[2.05196928 0.30362704],[6.71607203 5.03174014],[-2.15055949  0.32906109],[1.1813293  7.36937942],[-1.98073317 -0.78875793],[-0.1692483   0.40389564],[-1.75086323  1.29195404],[8.73139613 8.41454879],[-1.65763357 -0.29628746],[7.51181574 4.68144807],[1.04702827 0.07584644],[4.26442678 9.5597151 ],[-0.07395382 -1.44992067],[7.87816722 6.7727423 ],[-1.51464874 -1.68372421]
[1.57037802 5.30276319],[1.38732758 0.20727096],[0.1787049  1.69089585],[-0.83896856  1.50368736],[1.6458068  7.20474134],[1.66503262 0.2053259 ],[6.52721179 5.06120906],[-1.70668344  0.26461716],[1.01126929 7.29834918],[-1.49343137 -0.65961185],[-0.31637486  0.52199282],[-1.26044529  1.11198999],[8.5731599  8.38402613],[-1.52238838 -0.31657797],[7.61173209 4.69014667],[0.9532485  0.09774339],[4.2569824 9.4174201],[-0.07544159 -1.40007965],[7.74449803 6.62785334],[-1.21588731 -1.27988355]
[1.70564519 5.32282745],[1.32218058 0.1945639 ],[0.10598833 1.8338573 ],[-0.63140866  1.37227287],[1.80245293 7.22193356],[1.48494389 0.13988444],[6.36755188 5.0863328 ],[-1.50729995  0.24237392],[0.87514431 7.23460613],[-1.24955108 -0.62273213],[-0.4279608   0.63109933],[-0.99143301  1.08118815],[8.42513254 8.35114267],[-1.4459443  -0.34282491],[7.702897   4.70110335],[0.87020308 0.12029292],[4.24940352 9.2792809 ],[-0.07468241 -1.36336806],[7.62881078 6.50971677],[-1.11376373 -1.10118325]
[1.83523142 5.34151693],[1.27387799 0.18120844],[0.05092479 1.96797454],[-0.47396975  1.31927822],[1.9455902  7.23345639],[1.38343826 0.08934758],[6.22256485 5.1097369 ],[-1.40111158  0.22780638],[0.75894844 7.17304167],[-1.08381636 -0.61249161],[-0.51671669  0.74006702],[-0.79022481  1.10409832],[8.28312531 8.31546735],[-1.40122567 -0.3746411 ],[7.78599124 4.71425181],[0.79336315 0.14379358],[4.24193775 9.14431909],[-0.07301205 -1.33566091],[7.5199865 6.4055525],[-1.06722221 -0.98772757]
[1.9609135  5.35924006],[1.24385768 0.17623664],[0.01005363 2.09840115],[-0.34377159  1.29551305],[2.08058312 7.24026267],[1.31941387 0.04621131],[6.08610355 5.1321831 ],[-1.33191087  0.22295529],[0.65694204 7.11139545],[-0.95992685 -0.62143633],[-0.58749235  0.85208246],[-0.63026296  1.13695371],[8.14499495 8.27679253],[-1.36379952 -0.39917551],[7.86192507 4.73018754],[0.72554459 0.17512081],[4.23447395 9.01163116],[-0.07733637 -1.31966134],[7.41420853 6.31085632],[-1.05025304 -0.90882996]
[2.08407666 5.376685  ],[1.2214351  0.17399032],[-0.01849376  2.22732008],[-0.22940321  1.28423058],[2.20996929 7.24264644],[1.27155705 0.00261977],[5.95489118 5.15382994],[-1.29261398  0.21254312],[0.56589522 7.04801594],[-0.86306574 -0.64694771],[-0.64307297  0.96789966],[-0.48318697  1.17992949],[8.01001098 8.23562722],[-1.33964496 -0.42663527],[7.9312297  4.74947422],[0.66204699 0.21244397],[4.22648774 8.88032704],[-0.08468783 -1.30888508],[7.30937568 6.22311998],[-1.0462473  -0.84631923]
[2.20514603 5.3938697 ],[1.20264155 0.17208049],[-0.03576198  2.35577862],[-0.11914248  1.28364441],[2.33550477 7.24110439],[ 1.24160397 -0.03189061],[5.82728247 5.17486112],[-1.2606045   0.20910996],[0.48420415 6.98202715],[-0.77194844 -0.67340649],[-0.68462223  1.08786532],[-0.34872126  1.21941277],[7.87726167 8.1918708 ],[-1.31622888 -0.44845023],[7.99406016 4.77254324],[0.59490518 0.24992284],[4.21774756 8.75004127],[-0.09159861 -1.29848124],[7.20471246 6.14126964],[-1.05072524 -0.79491406]
[2.3243285  5.41074389],[1.18350598 0.16733423],[-0.04284578  2.48380719],[-0.02446766  1.27653138],[2.45843774 7.23627727],[ 1.21893263 -0.06309475],[5.70239434 5.19556753],[-1.23892526  0.2043966 ],[0.4113155 6.9131944],[-0.68911762 -0.70630828],[-0.71299357  1.2116553 ],[-0.21925879  1.25605792],[7.74668263 8.14604475],[-1.2966267  -0.46847828],[8.0496346  4.79906636],[0.5189721  0.28383115],[4.20811443 8.62058375],[-0.10230769 -1.29200342],[7.09895107 6.06375786],[-1.0630135  -0.75438191]
[2.44177845 5.42721309],[1.16554166 0.16182652],[-0.04086249  2.6110816 ],[0.06346508 1.26918377],[2.57878212 7.22785887],[ 1.18818626 -0.1057317 ],[5.57919331 5.21557629],[-1.22306877  0.19850358],[0.34664809 6.84102166],[-0.60462189 -0.73751055],[-0.7289091   1.33859208],[-0.09988729  1.281692  ],[7.61760908 8.09794726],[-1.28417774 -0.4924193 ],[8.09753628 4.82923589],[0.43564221 0.31731037],[4.19763945 8.49199411],[-0.11012005 -1.28286596],[6.99182873 5.99001343],[-1.07730681 -0.71898546]
