[3.39945982 5.75791451],[ 1.75929741 -1.81881378],[2.03401961 9.36761326],[-4.20370207 -1.32508916],[5.68410959 8.38437546],[0.287792   3.20295573],[3.71415051 1.53732316],[ 4.44517719 -4.13746874],[8.81244741 1.31546694],[-0.87014225  2.12466536],[6.89411021 0.9327837 ],[-4.78205545 -1.45328611],[6.50365807 6.0555157 ],[-4.92898872 -0.88595268],[0.2294136  3.94543029],[-1.2847349   4.65114232],[1.70173344 9.24576984],[2.15991744 2.45026056],[8.17852331 0.26041723],[-1.50962571  3.74240539]
[4.44614704 4.71912944],[ 0.77788274 -0.73282645],[0.89914961 8.39490205],[-0.26407169 -1.14877974],[5.68640306 9.5933665 ],[-0.19005096  0.50429843],[5.01225639 0.82704465],[0.95798936 0.07011153],[7.96152372 2.69761499],[-0.87608946  1.01303711],[5.28002094 0.93901009],[-1.09133929  0.54592632],[4.90400513 5.67132969],[-1.07600436 -0.35665808],[0.31952514 5.48019811],[0.65710314 0.9624141 ],[3.00539771 9.81380112],[ 1.14626981 -0.27245263],[7.37244577 1.82861699],[-0.74500068  1.12940016]
[4.52347036 4.64671659],[ 0.7694532 -0.7148932],[0.87759955 8.27807218],[-0.1657774  -1.18441042],[5.6650375  9.63965819],[-0.23623246  0.42258508],[5.10766465 0.83925428],[0.9512244  0.17586258],[7.87262315 2.79733886],[-0.89892377  0.98436513],[5.17300441 0.99768572],[-1.05142327  0.62407099],[4.79724121 5.63517077],[-1.05651109 -0.36336815],[0.38918628 5.57408808],[0.73595496 0.91602171],[3.11955832 9.78121243],[ 1.13396863 -0.37990508],[7.29758976 1.94097032],[-0.75102732  1.11859972]
[4.59973204 4.57579403],[ 0.75891625 -0.70067239],[0.86572587 8.15815677],[-0.06962407 -1.20945269],[5.63880463 9.67750614],[-0.28827301  0.33432594],[5.20188    0.86174967],[0.93310336 0.2745234 ],[7.78183641 2.89455748],[-0.91645005  0.96023617],[5.06943211 1.06326138],[-1.01763311  0.68855086],[4.69241992 5.59844238],[-1.03981913 -0.37087014],[0.46625783 5.66307793],[0.80643884 0.86564322],[3.23204834 9.73814474],[ 1.11447959 -0.4801929 ],[7.22229404 2.05236053],[-0.75383893  1.11010455]
[4.67536151 4.50665751],[ 0.75049973 -0.68541258],[0.86316718 8.03609181],[ 0.01968148 -1.22822799],[5.60726144 9.70632456],[-0.34387633  0.24029076],[5.29436373 0.89439585],[0.91720509 0.37965373],[7.68958559 2.98960879],[-0.92596176  0.94325243],[4.96918694 1.13485115],[-0.98526157  0.74398208],[4.58951296 5.56129515],[-1.02100778 -0.37448338],[0.55028737 5.74718097],[0.8702096  0.81346588],[3.34219568 9.68538743],[ 1.08743631 -0.57362549],[7.14664754 2.16278927],[-0.76072311  1.09683641]
[4.75038157 4.43923846],[ 0.7489095  -0.66406284],[0.86936969 7.91265502],[ 0.10639832 -1.23629866],[5.57020338 9.7256056 ],[-0.39829737  0.14359056],[5.38472004 0.93723016],[0.89001786 0.47753716],[7.59629878 3.08283473],[-0.93953091  0.9213918 ],[4.87239783 1.21184442],[-0.94853194  0.79676119],[4.48812563 5.52347646],[-1.00768378 -0.38267444],[0.64012441 5.82576365],[0.92688683 0.75958552],[3.44940056 9.62374066],[ 1.05911154 -0.65448938],[7.07030203 2.27187257],[-0.76775432  1.0832334 ]
[4.82499169 4.37367966],[ 0.7458904  -0.64458339],[0.8843324  7.78907729],[ 0.19021126 -1.23578595],[5.52750671 9.73476006],[-0.45640887  0.03769839],[5.47240676 0.99005839],[0.86257777 0.57822952],[7.50172523 3.17390738],[-0.95081095  0.90108558],[4.77954063 1.29406222],[-0.90800631  0.84718544],[4.38797619 5.48476425],[-0.9934687  -0.38966417],[0.73554865 5.89917119],[0.97947077 0.70754494],[3.5537158  9.55463207],[ 1.02690354 -0.72584551],[6.99325756 2.37958835],[-0.77384781  1.07034791]
[4.89941943 4.31017783],[ 0.74273491 -0.62541445],[0.90719552 7.66566746],[ 0.26476968 -1.23260897],[5.47877205 9.73275013],[-0.51737006 -0.07825746],[5.55718592 1.05290442],[0.82936877 0.67503407],[7.40641873 3.26331291],[-0.95566897  0.88659321],[4.69107838 1.38137877],[-0.86268629  0.89679199],[4.28942809 5.44556782],[-0.97705885 -0.39363219],[0.83580543 5.96725606],[1.02573451 0.65540953],[3.65462878 9.478802  ],[ 0.98789367 -0.79250406],[6.91578639 2.48617634],[-0.77684972  1.06006573]
[4.97341254 4.24847049],[ 0.73501217 -0.61090059],[0.93741471 7.54302945],[ 0.33420155 -1.22365081],[5.42403469 9.71881686],[-0.57389246 -0.19834102],[5.63789641 1.1246825 ],[0.78682728 0.76219703],[7.3108567  3.35147707],[-0.95809977  0.87409758],[4.60690847 1.47315353],[-0.82008726  0.93852056],[4.19246165 5.40595831],[-0.96460581 -0.40085309],[0.94031369 6.03007934],[1.06183872 0.59956704],[3.7517318  9.39689248],[ 0.95297234 -0.84533019],[6.83788988 2.59158922],[-0.78440604  1.04486408]
[5.04652729 4.18810263],[ 0.72606033 -0.59770711],[0.97416264 7.42140187],[ 0.39879409 -1.20905932],[5.3631639  9.69192732],[-0.638598   -0.33606681],[5.71425371 1.20499117],[0.73930434 0.84233547],[7.21470968 3.43802558],[-0.96309624  0.85856868],[4.52695423 1.56882188],[-0.78170485  0.97144433],[4.09691626 5.36581804],[-0.94942582 -0.40499415],[1.04817561 6.08736089],[1.09511367 0.54691258],[3.84512332 9.30991124],[ 0.91465349 -0.89323984],[6.75894847 2.69520214],[-0.78806745  1.03369623]
[5.11837791 4.12868008],[ 0.71511407 -0.58660296],[1.01707692 7.30139631],[ 0.45728339 -1.19187912],[5.29685376 9.65183804],[-0.68704925 -0.46643927],[5.78563129 1.29290974],[0.68510138 0.91204573],[7.11838023 3.52332323],[-0.9658816   0.84494717],[4.45113999 1.66788269],[-0.73717839  1.00653116],[4.00258869 5.32496696],[-0.93951875 -0.41443037],[1.15911476 6.13944109],[1.12440239 0.49659175],[3.93437545 9.21818421],[ 0.86868365 -0.94195871],[6.68007505 2.79809386],[-0.78891742  1.02450599]
