[3.39945982 5.75791451],[ 1.75929741 -1.81881378],[2.03401961 9.36761326],[-4.20370207 -1.32508916],[5.68410959 8.38437546],[0.287792   3.20295573],[3.71415051 1.53732316],[ 4.44517719 -4.13746874],[8.81244741 1.31546694],[-0.87014225  2.12466536],[6.89411021 0.9327837 ],[-4.78205545 -1.45328611],[6.50365807 6.0555157 ],[-4.92898872 -0.88595268],[0.2294136  3.94543029],[-1.2847349   4.65114232],[1.70173344 9.24576984],[2.15991744 2.45026056],[8.17852331 0.26041723],[-1.50962571  3.74240539]
[6.47575928 3.34795592],[ 0.55715635 -0.08005814],[2.69728015 5.35385234],[ 0.97024126 -0.67185747],[4.1389712  7.44919977],[-0.2915163  -1.19915453],[6.05440762 3.7375213 ],[-0.30789554  1.14909008],[5.10613795 5.03622081],[-0.92236726  0.6129003 ],[3.65802943 4.03941235],[-0.09386672  1.13417893],[2.40365696 4.4012119 ],[-0.55953998 -0.47252394],[3.62700783 6.29206032],[ 1.11040543 -0.24827663],[4.97813865 6.85480954],[ 0.201883   -1.16661403],[5.00608042 4.70448703],[-0.76688735  0.8111275 ]
[6.53049736 3.34165332],[ 0.53635519 -0.04670653],[2.79446955 5.28762755],[ 0.97168028 -0.65449129],[4.11108598 7.32966588],[-0.26702467 -1.19217279],[6.02208629 3.85162094],[-0.33897123  1.13227065],[5.01425184 5.09709411],[-0.91525173  0.6046965 ],[3.64964236 4.15243151],[-0.07340655  1.12672025],[2.34896586 4.35378675],[-0.53413833 -0.4760313 ],[3.73735042 6.26610169],[ 1.09730451 -0.26978432],[4.99718369 6.73830045],[ 0.18040346 -1.16225599],[4.92938182 4.78490612],[-0.76795951  0.796373  ]
[6.58342792 3.33915409],[ 0.52214239 -0.0026778 ],[2.8919645  5.22331741],[ 0.9758717  -0.63401228],[4.08547986 7.21069615],[-0.24487947 -1.1867582 ],[5.98692806 3.96422527],[-0.36326228  1.12019571],[4.92282289 5.15688491],[-0.91376885  0.5906261 ],[3.64351092 4.26489756],[-0.0521609   1.11970583],[2.29678361 4.30590772],[-0.50727867 -0.47954513],[3.84633022 6.23799877],[ 1.08241746 -0.29195259],[5.0141186  6.62225354],[ 0.15814229 -1.15878312],[4.85309881 4.86436305],[-0.76233329  0.78811034]
[6.63488668 3.34124786],[0.50598223 0.04430032],[2.98972246 5.16091732],[ 0.97943659 -0.61379659],[4.06201583 7.09223867],[-0.2264488  -1.18408129],[5.94916895 4.07533487],[-0.39156266  1.10211036],[4.83123666 5.21492496],[-0.91588399  0.57215262],[3.63911689 4.37630459],[-0.03764601  1.10672975],[2.24784412 4.25815588],[-0.47507052 -0.4793016 ],[3.95399139 6.20791305],[ 1.06970798 -0.3106841 ],[5.02904843 6.50677265],[ 0.1416079  -1.14980456],[4.77698716 4.94259266],[-0.75831927  0.77804028]
[6.68480557 3.34838316],[0.49407451 0.10103902],[3.08779088 5.10051402],[ 0.98290525 -0.59320357],[4.04013376 6.97389112],[-0.21313725 -1.18440588],[5.90914795 4.18509939],[-0.41274353  1.08888011],[4.73958644 5.27123087],[-0.91584794  0.55515763],[3.63636459 4.4866519 ],[-0.01789841  1.09957057],[2.20175046 4.20996532],[-0.44617538 -0.4841602 ],[4.0604554  6.17609761],[ 1.05953056 -0.32537372],[5.04225608 6.3920851 ],[ 0.12212246 -1.14440728],[4.70136735 5.01989419],[-0.75491017  0.76713739]
[6.73295552 3.36091927],[0.46914599 0.15084406],[3.18595217 5.04193109],[ 0.98426402 -0.57445885],[4.01972434 6.85576699],[-0.19405625 -1.17709935],[5.86661063 4.29306975],[-0.43561996  1.0726807 ],[4.64844142 5.32632898],[-0.90802478  0.54585552],[3.63520348 4.5959166 ],[5.68690932e-04 1.09160987e+00],[2.15865955 4.16130561],[-0.41404056 -0.48774065],[4.16571699 6.14269993],[ 1.04779327 -0.34017592],[5.05318957 6.27765203],[ 0.09970331 -1.14104305],[4.62656033 5.09656558],[-0.74390402  0.76358928]
[6.7787818 3.3789251],[0.44419306 0.20713343],[3.28425968 4.98525478],[ 0.98367923 -0.55726273],[4.00102266 6.73820382],[-0.18044282 -1.17427173],[5.82183518 4.39939087],[-0.45759677  1.05579432],[4.55817969 5.3806063 ],[-0.89880554  0.5381568 ],[3.63630668 4.70474321],[0.01806758 1.08150789],[2.11864385 4.11204471],[-0.38263647 -0.49417057],[4.26981335 6.10790582],[ 1.03463135 -0.35494767],[5.0622715 6.163941 ],[ 0.08268782 -1.13247761],[4.55198457 5.17200159],[-0.74451152  0.74820982]
[6.8219401 3.402734 ],[0.41624689 0.26744456],[3.38264418 4.9304556 ],[ 0.98025343 -0.54254224],[3.98397283 6.62127331],[-0.16260255 -1.16637236],[5.77523865 4.50430719],[-0.47385785  1.04268697],[4.46876302 5.43403918],[-0.8878316   0.53227776],[3.63907393 4.81248594],[0.03545832 1.07154776],[2.08231192 4.06256705],[-0.34514314 -0.49689939],[4.37239555 6.07148313],[ 1.01864488 -0.37177601],[5.0696818  6.05109029],[ 0.06084021 -1.12914204],[4.47805132 5.24659133],[-0.7375103   0.74020323]
[6.86186674 3.43250435],[0.38326427 0.33010435],[3.48095598 4.87740353],[ 0.98288973 -0.52149774],[3.96872759 6.50517116],[-0.14268721 -1.15602488],[5.72695908 4.60776705],[-0.49312167  1.0249044 ],[4.38033021 5.48678145],[-0.8800438   0.52332231],[3.64345212 4.91911914],[0.05422344 1.0631385 ],[2.04988015 4.01283876],[-0.30382864 -0.49842356],[4.47371105 6.03376659],[ 1.00575602 -0.38427522],[5.07502316 5.93873658],[ 0.04714942 -1.11700381],[4.40426847 5.3198187 ],[-0.73715544  0.72530955]
[6.89850723 3.4689336 ],[0.34901263 0.39911059],[3.57943844 4.82639175],[ 0.98625879 -0.49907542],[3.95550871 6.39012762],[-0.12367012 -1.14674374],[5.6765465  4.70920329],[-0.51187391  1.00692051],[4.29251534 5.53845656],[-0.87720759  0.50909992],[3.65012466 5.02527555],[0.08145796 1.06184003],[2.02156181 3.96279888],[-0.2632707  -0.50353572],[4.57329741 5.99439081],[ 0.98843193 -0.40077221],[5.07905178 5.82759721],[ 0.03185802 -1.10747683],[4.33068571 5.39170846],[-0.73511394  0.7118408 ]
[6.93134898 3.51226463],[0.30529109 0.46607762],[3.67796499 4.77735934],[ 0.98499388 -0.48078791],[3.94394692 6.27580274],[-0.10844006 -1.14046295],[5.62437888 4.80889739],[-0.53388268  0.98448958],[4.2049082  5.58859714],[-0.87497156  0.49355855],[3.65933047 5.13101473],[0.10005268 1.0503254 ],[1.99765156 3.91244962],[-0.21783783 -0.50682881],[4.67107777 5.95331516],[ 0.96869695 -0.41924476],[5.08148542 5.71734051],[ 0.01666845 -1.09787932],[4.25737797 5.46230842],[-0.72889615  0.70227555]
[6.95986147 3.56268285],[0.26132977 0.53957597],[3.77602539 4.72981733],[ 0.97814872 -0.46822482],[3.93359148 6.16186237],[-0.09887288 -1.13815159],[5.57030376 4.90660961],[-0.5471598   0.96992181],[4.11775331 5.63738299],[-0.86903051  0.48126658],[3.67006418 5.23529154],[0.11453501 1.0353207 ],[1.97815516 3.86148734],[-0.170397   -0.51122588],[4.76735256 5.91089598],[ 0.95475221 -0.4309479 ],[5.0824578  5.60809541],[ 0.00419845 -1.08577625],[4.18441816 5.53166427],[-0.72734419  0.68775967]
[6.98382192 3.62058127],[0.21988293 0.6209561 ],[3.87381274 4.68394366],[ 0.97891664 -0.44775846],[3.9247057  6.04871535],[-0.08219616 -1.12804877],[5.51490438 5.00279356],[-0.56110756  0.95327819],[4.03116648 5.68489924],[-0.86311853  0.4685735 ],[3.6821124  5.33797198],[0.12770721 1.01975976],[1.96339543 3.80991474],[-0.1249646  -0.52085001],[4.86219798 5.86732701],[ 0.94112757 -0.44126397],[5.08208485 5.49994302],[-0.00776011 -1.07343411],[4.11189537 5.59983568],[-0.72311909  0.67563343]
[7.00329089 3.68643501],[0.1647849 0.6916277],[3.97154353 4.64001907],[ 0.97799205 -0.42833354],[3.91721638 5.9363412 ],[-0.06869008 -1.12033641],[5.45804092 5.09718751],[-0.57944954  0.93125262],[3.94500221 5.73095095],[-0.85823308  0.45431043],[3.69577727 5.43940402],[0.14466174 1.0078804 ],[1.95379775 3.75783703],[-0.06794905 -0.52219112],[4.95535931 5.82244616],[ 0.92218437 -0.45618552],[5.08075806 5.39321961],[-0.02132335 -1.06360209],[4.04020258 5.6671888 ],[-0.70976453  0.67238542]
[7.0171223  3.75929332],[0.11213213 0.76552348],[4.06918547 4.59808059],[ 0.97415613 -0.41116869],[3.91113683 5.82483762],[-0.05255598 -1.10941055],[5.39927908 5.18929252],[-0.59701352  0.90950858],[3.85949662 5.77572688],[-0.85073044  0.44234395],[3.71088561 5.53939591],[0.15694035 0.99147639],[1.94964729 3.70520718],[-0.01329738 -0.52908741],[5.04684735 5.77632775],[ 0.90699179 -0.46658072],[5.0776174  5.28706629],[-0.04266676 -1.06038079],[3.96957173 5.7339324 ],[-0.70487677  0.66042656]
[7.02510636 3.83886264],[0.04793443 0.825562  ],[4.16618999 4.55759987],[ 0.96924775 -0.39516558],[3.9066397  5.71439507],[-0.03903648 -1.10092668],[5.33902026 5.27944113],[-0.60856166  0.8928677 ],[3.77490906 5.81947047],[-0.84477197  0.42871979],[3.72723882 5.6377914 ],[0.17280481 0.97899308],[1.9513926  3.65216594],[ 0.04899439 -0.53135973],[5.13636031 5.72874338],[ 0.88602488 -0.48227866],[5.07264439 5.18160542],[-0.05568402 -1.04785364],[3.89925701 5.79929035],[-0.70122112  0.64689138]
[7.02688913 3.92441822],[-0.01515897  0.88146331],[4.26263276 4.51865145],[ 0.96468543 -0.37865949],[3.90343542 5.60479086],[-0.02319193 -1.08934392],[5.27764838 5.36791054],[-0.61852027  0.87671233],[3.69094548 5.86184958],[-0.83323584  0.42020103],[3.74529487 5.7350164 ],[0.18713436 0.96437548],[1.95954547 3.59893844],[ 0.11558442 -0.53201472],[5.22393914 5.67978168],[ 0.86552845 -0.49687834],[5.06623827 5.07726195],[-0.07234469 -1.0388369 ],[3.82964367 5.86361485],[-0.69587263  0.63473687]
[7.02193909 4.014791  ],[-0.08444151  0.92384705],[4.35888726 4.48166364],[ 0.96134991 -0.36011992],[3.90158579 5.49613118],[-0.01327063 -1.08312293],[5.21514577 5.45458216],[-0.62951055  0.85859252],[3.60806682 5.90331014],[-0.82621255  0.40710645],[3.76457125 5.83057656],[0.19962    0.94809942],[1.97434334 3.54552507],[ 0.18094356 -0.53585615],[5.3091292  5.62903806],[ 0.84021908 -0.51598827],[5.05815208 4.97384255],[-0.08818955 -1.02833568],[3.76037415 5.92651382],[-0.69031264  0.62240762]
[7.01063985 4.10950228],[-0.14310554  0.96676222],[4.45513409 4.44690724],[ 0.96151024 -0.33694254],[3.9009435  5.38835593],[ 0.00239538 -1.07040773],[5.15174758 5.53959579],[-0.64081002  0.83919842],[3.52595796 5.94350533],[-0.8169404   0.39580322],[3.78487789 5.92430666],[0.20912466 0.92916889],[1.99608758 3.49208039],[ 0.25375436 -0.53324629],[5.39194161 5.57655903],[ 0.81798262 -0.53151165],[5.04847201 4.87148459],[-0.10465857 -1.01797661],[3.69137343 5.9878724 ],[-0.68970046  0.60469783]
[6.99296618 4.20743255],[-0.20945097  0.9909095 ],[4.55051775 4.41359559],[ 0.94912618 -0.32646591],[3.90167988 5.28167272],[ 0.01337546 -1.06206801],[5.08733138 5.62274323],[-0.64813567  0.82299488],[3.44465207 5.98242229],[-0.807655    0.38403164],[3.80682187 6.0168054 ],[0.23086135 0.92167623],[2.02521406 3.43899635],[ 0.33137908 -0.52565346],[5.47277473 5.52281912],[ 0.79804339 -0.54379399],[5.03723477 4.77027799],[-0.11962603 -1.00570255],[3.62263596 6.0476373 ],[-0.68064954  0.59496367]
[6.96871811 4.30729361],[-0.27351145  1.00637873],[4.64523651 4.38191187],[ 0.94416522 -0.30826401],[3.9034643  5.17581994],[ 0.02404227 -1.05309619],[5.0218804  5.70392988],[-0.66282058  0.79870203],[3.36426554 6.02013311],[-0.80092802  0.36926975],[3.83071785 6.1082629 ],[0.24748124 0.90783541],[2.06216827 3.38680292],[ 0.40813606 -0.51730001],[5.55154304 5.46782545],[ 0.77657798 -0.55668797],[5.02416742 4.67000815],[-0.13911337 -0.9969973 ],[3.55458425 6.1061905 ],[-0.67863082  0.5777856 ]
[6.93859159 4.40864784],[-0.32932427  1.01844523],[4.73961415 4.35224198],[ 0.94151309 -0.28685415],[3.90644215 5.07101811],[ 0.03528907 -1.04306283],[4.95502361 5.78272079],[-0.6751814  0.7761351],[3.28440719 6.0561822 ],[-0.7963774   0.35143995],[3.85629545 6.19831855],[0.26337732 0.89249186],[2.10707073 3.33587477],[ 0.49164854 -0.49873478],[5.62812939 5.41155134],[ 0.75412519 -0.56968168],[5.00948485 4.57097113],[-0.15326303 -0.98247058],[3.4869816  6.16324818],[-0.67457505  0.56213602]
[6.90288353 4.5106466 ],[-0.38836345  1.01641574],[4.83359222 4.32462379],[ 0.93841749 -0.26501869],[3.91057131 4.96727554],[ 0.04787314 -1.03119018],[4.8870709  5.85935839],[-0.68351608  0.75683495],[3.20495391 6.09034511],[-0.7919029   0.33246046],[3.88343566 6.28678215],[0.2803465  0.87758765],[2.16049808 3.2872312 ],[ 0.57719667 -0.47269148],[5.70251088 5.35406308],[ 0.73302885 -0.58039367],[4.99358883 4.47358171],[-0.16430445 -0.96501252],[3.41989584 6.21882494],[-0.66655988  0.5499109 ]
[6.86115975 4.61188761],[-0.44589619  1.007133  ],[4.92703448 4.29900066],[ 0.93187704 -0.24589268],[3.91594038 4.86471757],[ 0.0614454  -1.01805302],[4.81808862 5.9338297 ],[-0.692377    0.73621888],[3.12612961 6.12274276],[-0.78193738  0.31805529],[3.91235543 6.37378935],[0.29869003 0.86308865],[2.22211264 3.24118504],[ 0.65485353 -0.4470209 ],[5.77447967 5.29524589],[ 0.7103163  -0.59182332],[4.97620539 4.3775684 ],[-0.18211987 -0.95387536],[3.35329637 6.27283534],[-0.66326975  0.53236263]
[6.81382563 4.71192223],[-0.50319287  0.98987177],[5.01994822 4.27545483],[ 0.92780711 -0.22345206],[3.92270984 4.76351781],[ 0.07531981 -1.0046389 ],[4.74857415 6.00655068],[-0.70071553  0.71528213],[3.04873278 6.15411711],[-0.7687568   0.30665588],[3.94274872 6.45895088],[0.30982361 0.84077462],[2.29122865 3.19788784],[ 0.72695668 -0.41776109],[5.84395694 5.23511458],[ 0.68047514 -0.60942413],[4.95725333 4.28291502],[-0.19795468 -0.94014093],[3.28739635 6.32543044],[-0.65292146  0.52128726]
[6.76118581 4.81028486],[-0.5476416   0.97799693],[5.11222315 4.25396888],[ 0.916828   -0.20715207],[3.93098326 4.66376898],[ 0.09022553 -0.99032637],[4.67818389 6.07709679],[-0.71054798  0.69206133],[2.9723853 6.1840516],[-0.75915354  0.29096239],[3.97422879 6.54184221],[0.3220481  0.81929806],[2.36772915 3.15821067],[ 0.80093443 -0.37594267],[5.91115715 5.17398144],[ 0.66005173 -0.61655422],[4.93638863 4.18936345],[-0.21796401 -0.92940441],[3.22257334 6.376934  ],[-0.64335225  0.50890051]
[6.70403414 4.90702022],[-0.59357951  0.95743875],[5.20339489 4.2341142 ],[ 0.90641664 -0.19012599],[3.94045425 4.56517316],[ 0.10017246 -0.98045257],[4.60682722 6.145297  ],[-0.71855064  0.66985144],[2.89675941 6.21212389],[-0.75127108  0.27239882],[4.00731535 6.62292935],[0.34078664 0.80335667],[2.45080064 3.12245333],[ 0.86087195 -0.33692562],[5.97567458 5.11154728],[ 0.63028093 -0.63197645],[4.91352123 4.09694694],[-0.23690671 -0.91636125],[3.15885821 6.42732108],[-0.63150397  0.49820025]
[6.64247499 5.00157632],[-0.6357316   0.93460641],[5.29361318 4.21607071],[ 0.89974742 -0.16881592],[3.95087474 4.46756386],[ 0.1094664  -0.97035679],[4.53453405 6.21109745],[-0.73028844  0.64303718],[2.82220658 6.23857376],[-0.73773791  0.25856505],[4.04203959 6.70212799],[0.35362082 0.78044048],[2.53991018 3.09122117],[ 0.91827397 -0.28880794],[6.0373515  5.04776388],[ 0.60268954 -0.64407718],[4.88894315 4.0060491 ],[-0.25770411 -0.90442328],[3.09632563 6.4766036 ],[-0.618036    0.48847734]
[6.57706091 5.09392989],[-0.67084351  0.91327729],[5.38338815 4.20045466],[ 0.89332536 -0.14579254],[3.96213161 4.37091862],[ 0.1172652  -0.96082095],[4.46091556 6.27401373],[-0.74042357  0.61681172],[2.74907019 6.26366957],[-0.72426589  0.24394   ],[4.07808843 6.77903521],[0.36669932 0.75692492],[2.63420024 3.06480511],[ 0.9651593  -0.24007118],[6.09589752 4.98246181],[ 0.57117552 -0.65881593],[4.86253592 3.91665421],[-0.27077724 -0.8838227 ],[3.03507933 6.52482047],[-0.60981242  0.47281917]
[6.50813364 5.1838987 ],[-0.7074529   0.88563129],[5.47238797 4.18706457],[ 0.88470724 -0.12388316],[3.97435939 4.27544484],[ 0.12398224 -0.9517854 ],[4.38638558 6.33435966],[-0.74732792  0.59282825],[2.67716813 6.287139  ],[-0.71622546  0.22282784],[4.11568459 6.85377721],[0.38581935 0.73829649],[2.73304847 3.04366794],[ 1.00880231 -0.18393454],[6.15173258 4.91619188],[ 0.54588335 -0.66603801],[4.83481678 3.82932767],[-0.28553802 -0.86463555],[2.97477191 6.5715443 ],[-0.59764362  0.46023832]
[6.43566304 5.27101333],[-0.74140234  0.85658944],[5.56043466 4.17581949],[ 0.87601672 -0.10108325],[3.98695656 4.18064962],[ 0.13002007 -0.94195057],[4.31117105 6.3922676 ],[-0.75585571  0.56625139],[2.6061626 6.308513 ],[-0.70170868  0.20666886],[4.155136   6.92652415],[0.40252189 0.7157697 ],[2.83577831 3.02815684],[ 1.04453117 -0.12590513],[6.20499306 4.84921708],[ 0.51429675 -0.67824652],[4.80555317 3.74388376],[-0.3006849  -0.84511771],[2.91548441 6.61676866],[-0.59068818  0.44151571]
[6.36006901 5.35530939],[-0.76781347  0.83140223],[5.6473651  4.16665967],[ 0.86049766 -0.08421811],[4.00053948 4.0872449 ],[ 0.14289528 -0.92502732],[4.2353129  6.44767559],[-0.76186634  0.54120422],[2.53688515 6.32849991],[-0.68612483  0.19063376],[4.19610801 6.99680189],[0.41514022 0.68784614],[2.94136549 3.01815815],[ 1.06628906 -0.07383804],[6.25447915 4.78049308],[ 0.47499674 -0.69636586],[4.77503124 3.66067855],[-0.30831117 -0.81760529],[2.85700115 6.66017483],[-0.57979873  0.4256438 ]
[6.28220962 5.43729109],[-0.79386677  0.80323922],[5.732736   4.15919139],[ 0.84871187 -0.06319385],[4.01545238 3.99555504],[ 0.15412195 -0.90996853],[4.15859977 6.50026589],[-0.76759871  0.51525061],[2.46889723 6.34654144],[-0.67212409  0.17148661],[4.23843453 7.06431581],[0.43240558 0.66322934],[3.04919086 3.01377509],[ 1.0889121  -0.01396821],[6.30055561 4.71056807],[ 0.44472164 -0.70370673],[4.7434814  3.57996675],[-0.32587354 -0.79964963],[2.79948933 6.7018223 ],[-0.57330256  0.4042386 ]
[6.20130746 5.51587444],[-0.82119385  0.77096339],[5.81674033 4.1536867 ],[ 0.83279347 -0.04537876],[4.03153913 3.90543276],[ 0.16790756 -0.89221724],[4.08147374 6.55037184],[-0.77327767  0.48836003],[2.40226621 6.36254493],[-0.65976888  0.14901112],[4.28272778 7.12952174],[0.45162294 0.63877425],[3.15851688 3.01491425],[1.09713478 0.03698074],[6.34337419 4.63976422],[ 0.41196163 -0.71177669],[4.71029111 3.50122655],[-0.34125402 -0.77831769],[2.74253248 6.74116484],[-0.56505534  0.38319045]
[6.11790949 5.59133374],[-0.84228495  0.74230466],[5.89939947 4.15026459],[ 0.81924592 -0.0240305 ],[4.04901712 3.81709278],[ 0.1808364  -0.87542111],[4.00357401 6.5975215 ],[-0.782422    0.45666315],[2.33688216 6.37621261],[-0.6470809   0.12485491],[4.32895711 7.19220487],[0.47439975 0.61602692],[3.26856105 3.02124512],[1.10446802 0.09091022],[6.38286185 4.56819071],[ 0.37763079 -0.71956944],[4.67515908 3.42429049],[-0.35845903 -0.75726865],[2.6866512  6.77858602],[-0.55390024  0.36368681]
[6.03250881 5.6639177 ],[-0.86442773  0.71030821],[5.98077424 4.14911472],[0.80926041 0.00234535],[4.06763199 3.73028896],[ 0.19091814 -0.86110123],[3.92521463 6.6418914 ],[-0.78437949  0.43096683],[2.27296411 6.38755617],[-0.62918302  0.10380427],[4.37742516 7.25247208],[0.49304865 0.58712483],[3.37904144 3.03285901],[1.10157756 0.13805952],[6.41856576 4.49559504],[ 0.33601576 -0.73240845],[4.63860015 3.34981416],[-0.37368424 -0.7330942 ],[2.63222631 6.81432663],[-0.5347341  0.3507999]
[5.94526593 5.73356819],[-0.87945068  0.68340259],[6.06113257 4.15068897],[0.7975039  0.02900827],[4.08683185 3.64454698],[ 0.19537984 -0.8512992 ],[3.84630885 6.68327469],[-0.79300585  0.39721078],[2.21106801 6.39692933],[-0.60890347  0.08315971],[4.42756978 7.30956292],[0.51132533 0.55587345],[3.48918679 3.04923376],[1.09938411 0.18773845],[6.45049065 4.42221432],[ 0.30254705 -0.73481957],[4.60004259 3.27735548],[-0.39703213 -0.71533571],[2.57935999 6.84834757],[-0.52544578  0.32649205]
[5.85639625 5.800314  ],[-0.8983198   0.65082309],[6.14007294 4.15477926],[0.78029693 0.05201712],[4.10697012 3.56031073],[ 0.20717368 -0.83363637],[3.76719851 6.7218777 ],[-0.7918637   0.37201991],[2.15084866 6.40376245],[-0.59358458  0.05497553],[4.4798919  7.36377118],[0.53536565 0.52822423],[3.59868106 3.07021605],[1.08950944 0.23107622],[6.47858412 4.34822007],[ 0.2577254  -0.74618921],[4.55951297 3.2071262 ],[-0.41689869 -0.69234159],[2.52754519 6.87996467],[-0.51004009  0.30638136]
[5.76599127 5.86406568],[-0.91012276  0.62363169],[6.21746261 4.1614314 ],[0.76660586 0.08044901],[4.12816077 3.47773301],[ 0.22024665 -0.8142941 ],[3.68791535 6.75761062],[-0.79172309  0.34451531],[2.09227634 6.40774495],[-0.57594186  0.02613085],[4.53459858 7.41508434],[0.55695697 0.49590824],[3.70759383 3.09601612],[1.08616    0.28265065],[6.50227298 4.27331272],[ 0.21022577 -0.75726504],[4.51671936 3.13901808],[-0.43798363 -0.66857469],[2.47728435 6.90948735],[-0.49725708  0.28165591]
[5.67425572 5.92487297],[-0.92548699  0.59136903],[6.29367062 4.17123569],[0.75627577 0.11487795],[4.15069408 3.39712579],[ 0.22901211 -0.79914873],[3.60863154 6.79051353],[-0.79138734  0.31592109],[2.03566883 6.40888722],[-0.55532908 -0.00293928],[4.59142628 7.46301454],[0.57802446 0.46079416],[3.81545437 3.12631851],[1.07006174 0.32234601],[6.52067726 4.19695531],[ 0.15837079 -0.76877239],[4.47187129 3.07343468],[-0.4598431  -0.64365337],[2.42830072 6.93642024],[-0.48207728  0.256966  ]
[5.5813029  5.98269816],[-0.93371292  0.56484114],[6.36828672 4.1840594 ],[0.73575155 0.14161719],[4.17415157 3.31811872],[ 0.24010958 -0.78100922],[3.5291266  6.82022772],[-0.7993654   0.27732525],[1.98098981 6.40680953],[-0.53884704 -0.03983633],[4.65011971 7.50707298],[0.59791724 0.42209282],[3.92172284 3.16060053],[1.05534017 0.36332501],[6.53422362 4.11995394],[ 0.11322299 -0.7700878 ],[4.42482352 3.01043435],[-0.48150403 -0.61644826],[2.38090308 6.96082486],[-0.46643503  0.23015914]
[5.48691128 6.03717677],[-0.95338385  0.52514138],[6.44080592 4.19962778],[0.71440821 0.16984402],[4.19901002 3.2412249 ],[ 0.25457961 -0.75931212],[3.44891246 6.84604842],[-0.80507764  0.23857354],[1.92830068 6.40117549],[-0.51344237 -0.07200155],[4.71096798 7.54730797],[0.61608783 0.37928749],[4.02618726 3.19864502],[1.03323477 0.39663301],[6.54316335 4.04288981],[ 0.06320382 -0.773042  ],[4.37557499 2.95022768],[-0.50236186 -0.58627327],[2.33506533 6.98240131],[-0.45321416  0.19797311]
[5.39106398 6.08810018],[-0.96311985  0.49358131],[6.51113217 4.21808474],[0.69331162 0.20091159],[4.22458568 3.16580856],[ 0.25753545 -0.74817892],[3.36826458 6.86801038],[-0.80615427  0.20209821],[1.87818142 6.3921373 ],[-0.48776618 -0.10834596],[4.77351726 7.58301628],[0.63594357 0.33555485],[4.128508   3.24004139],[1.01434847 0.43243288],[6.54669198 3.96532605],[ 0.00864499 -0.77634647],[4.32405861 2.89296851],[-0.52575244 -0.55636657],[2.29059573 7.00063542],[-0.4383286   0.16399737]
[5.29410845 6.13566463],[-0.97586684  0.45752037],[6.57958564 4.24004647],[0.67297863 0.23601922],[4.25067097 3.09177965],[ 0.26515216 -0.7312961 ],[3.287622   6.88633375],[-0.80476128  0.16599574],[1.83070092 6.37928575],[-0.4597563  -0.14741775],[4.83809365 7.61426855],[0.65749789 0.29108611],[4.22908328 3.28516361],[0.99762918 0.47054038],[6.54478279 3.88765721],[-0.04740522 -0.77694471],[4.27033012 2.83894343],[-0.54922983 -0.52420223],[2.24766312 7.01532864],[-0.41956042  0.13000238]
[5.19599476 6.17965147],[-0.98617888  0.42221899],[6.64571552 4.2653914 ],[0.6472951  0.26906127],[4.27793282 3.01988175],[ 0.27986876 -0.70685337],[3.20714069 6.90096343],[-0.80438051  0.1266993 ],[1.78595823 6.36218664],[-0.43378114 -0.19418782],[4.90444207 7.64056983],[0.67230079 0.23736328],[4.3280244  3.33415816],[0.9795711  0.50769417],[6.53701708 3.80990735],[-0.10657356 -0.77600788],[4.21414615 2.78814769],[-0.57176603 -0.48867623],[2.20671954 7.0265228 ],[-0.40016454  0.09230489]
[5.09746269 6.22067194],[-0.98628829  0.39642625],[6.70890502 4.2938307 ],[0.61881407 0.30256969],[4.30644447 2.950226  ],[ 0.29065512 -0.68585065],[3.12677234 6.91161552],[-0.80366022  0.08519527],[1.74458572 6.34087851],[-0.39488509 -0.23416771],[4.97274701 7.66185949],[0.69128926 0.18567745],[4.42504863 3.38676081],[0.95601156 0.53933282],[6.52333452 3.73248212],[-0.16842991 -0.77311755],[4.15565652 2.74097593],[-0.59540391 -0.45177936],[2.16766809 7.0336534 ],[-0.37735094  0.05300842]
[4.99865933 6.25883139],[-0.99288525  0.3634632 ],[6.76939676 4.32595948],[0.58919589 0.33878004],[4.33594354 2.88261666],[ 0.29960095 -0.66591401],[3.04647934 6.91797658],[-0.80552145  0.03817623],[1.70664381 6.31478194],[-0.36153541 -0.28642276],[5.04257948 7.67750014],[0.70837697 0.12991496],[4.51928853 3.44204568],[0.93406677 0.57153339],[6.50350441 3.65562335],[-0.22941192 -0.76455911],[4.09470425 2.6975188 ],[-0.62256775 -0.41596469],[2.13104413 7.03672652],[-0.35407592  0.00857684]
[4.89910706 6.29352477],[-0.99867711  0.32967874],[6.82678521 4.36176748],[0.55701947 0.37644561],[4.36673284 2.81743068],[ 0.31311861 -0.64077559],[2.96623594 6.91969881],[-0.79868651 -0.00349195],[1.67233484 6.28340162],[-0.32134747 -0.33901663],[5.11435106 7.68772776],[0.72452478 0.07194336],[4.61169025 3.50091248],[0.91082409 0.60254842],[6.47717405 3.57946659],[-0.29505053 -0.75566488],[4.03148825 2.65821905],[-0.6406623  -0.36858305],[2.09690698 7.03520226],[-0.3282976  -0.03974662]
