[8.78631563 4.99480786],[-0.14595243 -0.99071904],[7.56644261 5.07975397],[-1.15985506  0.40036047],[4.15151429 8.7896203 ],[-0.51394691  0.53202211],[2.94941382 4.62708219],[-0.52525778  0.85137437],[6.45657616 7.31341522],[-0.73547527 -0.96297365],[2.57441876 5.0569324 ],[ 1.2181752 -0.3383177],[9.15667908 6.0846319 ],[ 0.19866443 -0.95604791],[8.17336034 9.95408309],[-1.10504478  0.17397208],[ 4.88198537 -0.97916436],[ 6.13070883e-01 -2.77535770e-05],[-0.15608379  5.22015381],[-0.09516918 -0.5508132 ]
[8.76771713 4.89670451],[-0.22717871 -0.97228042],[7.45055302 5.11922971],[-1.15358738  0.39338819],[4.10045139 8.83994424],[-0.50735155  0.47464635],[2.90031196 4.71372277],[-0.45938901  0.87870312],[6.38347876 7.21723893],[-0.72728269 -0.96126336],[2.69608401 5.02466262],[ 1.21456841 -0.30802313],[9.17177586 5.98809663],[ 0.10565873 -0.97176693],[8.0608491  9.96569975],[-1.14296683  0.05922766],[ 4.94608659 -0.97052822],[0.66656654 0.17254577],[-0.15883839  5.16358739],[ 0.03853343 -0.58324346]
[8.74079807 4.80035782],[-0.30926114 -0.95246601],[7.33557095 5.15831793],[-1.14881063  0.38549573],[4.05024944 8.88476049],[-0.49967705  0.41870861],[2.85750622 4.80275178],[-0.39613183  0.90224557],[6.31123684 7.12130024],[-0.71690358 -0.95680703],[2.81740366 4.99532875],[ 1.21392241 -0.27677904],[9.17758706 5.89018674],[ 0.01036991 -0.98587829],[7.94524284 9.96616285],[-1.16776789 -0.04965324],[ 5.01496319 -0.94451297],[0.70825555 0.34717   ],[-0.1476393   5.10400925],[ 0.18737028 -0.60701113]
[8.70560239 4.70604011],[-0.39410217 -0.93299235],[7.22075325 5.19624406],[-1.14379802  0.37666299],[4.00072822 8.9238634 ],[-0.49450505  0.35941379],[2.82120157 4.89420472],[-0.33091154  0.9254764 ],[6.2399078  7.02570354],[-0.70773867 -0.9531033 ],[2.93871735 4.96915019],[ 1.21058294 -0.24878514],[9.1737724  5.79101873],[-0.08563979 -0.9956516 ],[7.82733951 9.95557682],[-1.18720163 -0.15986271],[ 5.08692791 -0.90149298],[0.73363157 0.51739948],[-0.12129103  5.04219189],[ 0.34072915 -0.62766952]
[8.6620112  4.61388967],[-0.4771348  -0.90918683],[7.10655699 5.23340266],[-1.14012328  0.36643993],[3.95151475 8.95673372],[-0.48956554  0.2978317 ],[2.7914963  4.98791458],[-0.26317482  0.94824756],[6.16951614 6.93051982],[-0.69716579 -0.94760115],[3.05956255 4.94556631],[ 1.20788529 -0.22158143],[9.16065614 5.69140907],[-0.17647376 -0.99565321],[7.70829377 9.93452509],[-1.19482532 -0.26288563],[ 5.16099519 -0.84144596],[0.74311783 0.67959439],[-0.07962298  4.9785475 ],[ 0.4959934  -0.63986138]
[8.61009471 4.52419897],[-0.55986774 -0.88306049],[6.99299412 5.26979196],[-1.1299965  0.3626091],[3.90256022 8.98306115],[-0.48945008  0.22822365],[2.76840029 5.08357267],[-0.19838258  0.96473369],[6.10031451 6.83602433],[-0.68727543 -0.94262706],[3.17997086 4.9244904 ],[ 1.20122738 -0.1992833 ],[9.13845442 5.59201132],[-0.26908282 -0.99325449],[7.58894484 9.90346299],[-1.1919533  -0.35841533],[ 5.23489422 -0.76617216],[0.73390418 0.82443611],[-0.02215717  4.91465746],[ 0.64787943 -0.63985307]
[8.55010442 4.43738923],[-0.63691019 -0.85011118],[6.88028383 5.30566648],[-1.12387956  0.3551122 ],[3.85368058 9.00227816],[-0.48483133  0.15869839],[2.75156072 5.18049913],[-0.13963113  0.97226463],[6.03196734 6.7419126 ],[-0.67863703 -0.93850405],[3.29984778 4.90572698],[ 1.19706967 -0.17536202],[9.10698013 5.49305307],[-0.3613939  -0.98628173],[7.47041767 9.86333306],[-1.17738771 -0.44263848],[ 5.3073819  -0.67711588],[0.71166149 0.95098065],[0.04976566 4.85118568],[ 0.78655333 -0.6288891 ]
[8.48309455 4.35455693],[-0.70317626 -0.8066595 ],[6.76797554 5.3405475 ],[-1.12006299  0.34462175],[3.80482542 9.01383639],[-0.49082747  0.07290867],[2.74118424 5.27861163],[-0.07058829  0.98661546],[5.96409911 6.64785616],[-0.67758966 -0.9412898 ],[3.41949833 4.88954141],[ 1.19905094 -0.14507636],[9.06628697 5.39499461],[-0.45172888 -0.97369749],[7.35323829 9.8147172 ],[-1.16241683 -0.52561254],[ 5.37697235 -0.57656899],[0.67701401 1.05459751],[0.13460735 4.78930711],[ 0.90590336 -0.60784632]
[8.40990406 4.27646659],[-0.76239506 -0.75723909],[6.65631785 5.37464438],[-1.11466515  0.33560066],[3.75580396 9.01690837],[-0.48811203 -0.01113923],[2.73707943 5.37736239],[-0.00880926  0.9906468 ],[5.89694815 6.55416392],[-0.66677007 -0.93387221],[3.53903932 4.87613679],[ 1.19075023 -0.12438616],[9.01695907 5.29871288],[-0.5371259  -0.95408038],[7.23831682 9.75867763],[-1.13423669 -0.59249711],[ 5.4424652 -0.4669466],[0.63115802 1.13372383],[0.23064115 4.73032682],[ 1.0078581  -0.57361464]
[8.33046102 4.20291073],[-0.82712364 -0.71499544],[6.54493759 5.40752839],[-1.11037825  0.32454779],[3.7074863  9.01162752],[-0.48208522 -0.09961165],[2.73956862 5.47675699],[0.05668906 0.99473072],[5.83048887 6.46084207],[-0.6608584  -0.93092485],[3.65789147 4.86489418],[ 1.18601445 -0.10085134],[8.9593188 5.2046847],[-0.61436445 -0.92528693],[7.12603994 9.69597643],[-1.10975479 -0.65934067],[ 5.50310773 -0.35037338],[0.5807426  1.19436714],[0.33568835 4.67501182],[ 1.08894111 -0.5325013 ]
