[9.37188449 8.74708083],[ 0.23644547 -1.2958499 ],[6.73477004 1.44012761],[-1.06038793 -0.10241955],[7.31106271 4.67880613],[-1.10178472  0.28081789],[6.40159795 3.1651331 ],[-0.40530275 -0.93976151],[6.4920604  6.15324035],[-0.44683305 -1.16012549],[4.14390271 1.74406713],[ 1.2099583  -0.09105147],[2.85382331 2.06855787],[0.84231652 1.00564321],[9.54395647 0.67294991],[ 0.30707671 -0.46941176],[5.87870877 4.46720959],[0.69373388 0.82034219],[5.08898663 4.47932786],[ 0.71144299 -0.93508559]
[9.39107507 8.61622269],[ 0.14738546 -1.32088072],[6.62891948 1.43273473],[-1.05560202 -0.04489041],[7.20106674 4.70506611],[-1.09684136  0.24584324],[6.36122066 3.07217762],[-0.40064306 -0.91808207],[6.44854639 6.03748559],[-0.42125055 -1.15292723],[4.26512273 1.73798476],[ 1.21419041 -0.03094003],[2.93901889 2.16725688],[0.86217643 0.96949154],[9.57155952 0.62810537],[ 0.24613421 -0.42590414],[5.94821685 4.5477636 ],[0.69696944 0.79126033],[5.16044427 4.38672818],[ 0.71853129 -0.91629402]
[9.40164808 8.4832671 ],[ 0.06521108 -1.33692716],[6.52345234 1.43086345],[-1.05160108  0.00912004],[7.09155917 4.72785064],[-1.09162434  0.21163769],[6.32099509 2.98099377],[-0.40194046 -0.90376904],[6.40725909 5.92208861],[-0.40580522 -1.15598781],[4.38639735 1.73751539],[1.2104131  0.02042558],[3.02681173 2.26309366],[0.89096147 0.94499626],[9.59306229 0.58779756],[ 0.18343646 -0.37996367],[6.01821791 4.62555853],[0.70331094 0.76484021],[5.23273232 4.29607021],[ 0.7263117  -0.89791436]
[9.40460466 8.34930429],[-0.00756898 -1.34385453],[6.41874259 1.43462432],[-1.04152678  0.06672293],[6.98299456 4.74768982],[-1.08260186  0.18232192],[6.28079066 2.89134523],[-0.39982759 -0.88704829],[6.36763141 5.80656711],[-0.38485308 -1.15245963],[4.50766889 1.7425407 ],[1.21020135 0.07513267],[3.11697466 2.35610157],[0.91395834 0.91729834],[9.60781121 0.5519014 ],[ 0.1122012  -0.33616064],[6.0889426  4.70077185],[0.70661109 0.73478378],[5.30559883 4.20702176],[ 0.72977045 -0.88436416]
[9.4003901  8.21474065],[-0.07597833 -1.34693301],[6.31517928 1.44417536],[-1.0293746   0.12416013],[6.87490963 4.76416355],[-1.07580047  0.1504333 ],[6.24106465 2.80356957],[-0.39689259 -0.87086445],[6.33029356 5.69158426],[-0.36179597 -1.14722482],[4.62803263 1.75204791],[1.19970405 0.11728519],[3.20945583 2.44648353],[0.93585598 0.89099096],[9.61543132 0.52078924],[ 0.03736665 -0.28743789],[6.16015069 4.77310122],[0.71908436 0.71325058],[5.3789412  4.11944707],[ 0.73621147 -0.86803435]
[9.38971254 8.08016921],[-0.13724893 -1.34453176],[6.21274338 1.45924391],[-1.01873028  0.1771789 ],[6.76777736 4.77773589],[-1.06614063  0.12181522],[6.20160403 2.71734302],[-0.39078118 -0.85238732],[6.29493359 5.57680497],[-0.34380284 -1.14658826],[4.74739774 1.76571532],[1.18984197 0.15809802],[3.30422401 2.53445517],[0.95953607 0.86893571],[9.61543531 0.49493143],[-0.03736846 -0.22800104],[6.23232087 4.84295547],[0.72237654 0.68179791],[5.4527431  4.03331699],[ 0.73731587 -0.85706782]
[9.37302273 7.9458653 ],[-0.19497323 -1.34040572],[6.1114232  1.47948898],[-1.00429335  0.23048955],[6.66137319 4.78820115],[-1.06114807  0.0881312 ],[6.16238679 2.63255478],[-0.3895977  -0.83953416],[6.2613772  5.46213059],[-0.32767944 -1.14702523],[4.86595672 1.78358785],[1.18117272 0.19910197],[3.40084632 2.61982752],[0.97447022 0.84047549],[9.60718471 0.47484899],[-0.12546887 -0.16938709],[6.30490678 4.90970996],[0.72753448 0.65137384],[5.52705814 3.94869099],[ 0.74610083 -0.83834738]
[9.35091697 7.81221253],[-0.2477371  -1.33381928],[6.01175656 1.50512132],[-0.98721176  0.28345665],[6.55552648 4.79530666],[-1.056563    0.05301893],[6.12352523 2.54925405],[-0.38654965 -0.82549486],[6.22952371 5.34755119],[-0.31107526 -1.14605974],[4.98384434 1.80574814],[1.17287416 0.24017243],[3.49881268 2.70231146],[0.98548221 0.81017028],[9.59024345 0.46143863],[-0.21566431 -0.09887766],[6.37808109 4.97344954],[0.73436627 0.62171386],[5.60194873 3.86564024],[ 0.7509735  -0.82337754]
[9.32356852 7.67914931],[-0.29881149 -1.32729313],[5.91367509 1.53575473],[-0.97345916  0.32947211],[6.45038722 4.79909606],[-1.04507553  0.02389306],[6.08493471 2.46730129],[-0.38321107 -0.81162156],[6.19977369 5.2335211 ],[-0.28579398 -1.13649856],[5.10038741 1.83141612],[1.15868029 0.27354747],[3.59781146 2.78178363],[0.99957753 0.78476624],[9.56382883 0.45535075],[-0.31799462 -0.02606893],[6.45212182 5.03436132],[0.74288676 0.59285215],[5.67715464 3.78392848],[ 0.75329599 -0.81066321]
[9.29146093 7.54697437],[-0.34440923 -1.31763507],[5.81713765 1.57095659],[-0.95641565  0.37473661],[6.34645488 4.80003088],[-1.03405753 -0.00576574],[6.0465631  2.38660272],[-0.38288987 -0.80105936],[6.17218469 5.12006708],[-0.26737443 -1.13386099],[5.21533813 1.86014937],[1.14136169 0.30168293],[3.6986283  2.85924444],[1.01405084 0.76211364],[9.52672929 0.45676115],[-0.42606046  0.05393418],[6.52676288 5.09208486],[0.74911037 0.56065786],[5.75252154 3.70343381],[ 0.75229282 -0.80092545]
[9.25470902 7.41559659],[-0.38881559 -1.30850531],[5.72259578 1.61079403],[-0.93602897  0.41975465],[6.24382531 4.79818897],[-1.01955319 -0.03205864],[6.00812676 2.30686229],[-0.38509099 -0.79294684],[6.14642368 5.00690348],[-0.24652302 -1.12805675],[5.32868658 1.89172642],[1.12619131 0.33011414],[3.80066382 2.93431329],[1.02219603 0.7351058 ],[9.47835925 0.46619196],[-0.54126512  0.13548314],[6.60191366 5.14641966],[0.75465545 0.52663482],[5.82826904 3.62441168],[ 0.76085387 -0.78127962]
[9.21427222 7.28572516],[-0.4186052 -1.2884059],[5.63013319 1.65498495],[-0.91280128  0.46390638],[6.14228839 4.79333014],[-1.00828701 -0.06238404],[5.969444   2.22792365],[-0.38438183 -0.78162304],[6.12267063 4.89425402],[-0.22712699 -1.12341262],[5.44049871 1.92605462],[1.11152232 0.35760152],[3.90319194 3.00642405],[1.02929807 0.70833103],[9.41843024 0.48387654],[-0.65536977  0.2193813 ],[6.67739068 5.19705955],[0.75490194 0.48596662],[5.90408369 3.54658382],[ 0.75653351 -0.77412093]
